,-0.10712435307692307,-0.08927029423076922,-0.07141623538461538,-0.05356217653846153,-0.03570811769230768,-0.017854058846153834,1.3877787807814457e-17,0.01785405884615386,0.03570811769230771,0.053562176538461556,0.0714162353846154,0.08927029423076925,0.1071243530769231,0.12497841192307695,0.14283247076923078,0.1606865296153846,0.17854058846153847,0.19639464730769235,0.21424870615384617,0.232102765
AbrB_genes,[],[],[],[],['rocC'],"['yvzA' 'yvgO' 'yvcB' 'rocB' 'ycbD' 'yphF' 'ycbC' 'yqcF' 'yvcA' 'yflD'
 'rsiW' 'sigW' 'rocA' 'ycbE' 'yqcG' 'yknZ' 'yphE']","['yknY' 'yknX' 'dacF' 'yvnA' 'yfmJ' 'ycbF' 'ycbH' 'ynzD' 'ctaB' 'yomJ'
 'rqcH' 'yknW' 'phrK' 'xynC' 'ctaO' 'ydjI' 'yddJ' 'ydeH' 'ycbG' 'ybfQ'
 'yokK' 'ydjH' 'cwlS' 'yerI' 'bmrC' 'ylbA' 'bmrD' 'yokJ' 'besA' 'yrzI'
 'ydjG' 'ctaF' 'yqaP' 'ntdR' 'yxeD' 'yqxJ' 'yokL' 'yokI' 'yxzE' 'yvmC'
 'yocD' 'yqzG' 'yorD' 'ywbF' 'ctaD' 'pspA' 'sdpC' 'ctaE' 'mcpA' 'pbpH'
 'yflA' 'phy' 'pksC' 'xynD' 'yncM' 'ahpT' 'yqxI' 'yurI' 'yfmI' 'sunA'
 'yvrO' 'ybaJ' 'cypX' 'ydeJ' 'ywbE' 'yvqJ' 'yjdG']","['ywoF' 'yvrN' 'bmrB' 'ahpA' 'ycbJ' 'yolA' 'bdhA' 'yxbC' 'yhaP' 'sunT'
 'ctaC' 'ctaG' 'yjdB' 'yobO' 'yflB' 'yscB' 'ybfO' 'bdbB' 'yrpD' 'yolB'
 'pksF' 'ymzB' 'yhaQ' 'rapK' 'yjcM' 'ybdO' 'ppsD' 'yxbD' 'ppsB' 'pksG'
 'ppsC' 'yolC' 'ymaE' 'acpK' 'ybfP' 'ybdN' 'pksE' 'ppsA' 'pksD' 'csn'
 'ppsE' 'bdbA' 'yvrP' 'pksH' 'pksI' 'sdpA' 'ylaE' 'rocG' 'yolJ' 'nprE'
 'tlpA' 'ycdA' 'yfmG' 'yxaL' 'bslA' 'pksR' 'sivA' 'pksJ' 'sivC' 'yoqM']",['sdpB' 'yxaJ' 'pksN' 'pksL' 'lip' 'yoaW' 'pksM'],[],[],[],[],[],[],[],[],[],[],[]
SinR_genes,[],[],[],[],[],[],['ywbD' 'lytF' 'mstX' 'epr' 'yugO'],['yvgN'],[],[],[],[],[],[],[],[],[],[],[],[]
SigA_genes,[],[],[],[],"['gltA' 'gltB' 'pstBA' 'bglP' 'dppC' 'yqiI' 'ald' 'pstBB' 'dppB' 'frlM'
 'frlD' 'yurJ' 'yqiH' 'alsD' 'frlN' 'lytE' 'alsS' 'sr1' 'pstA' 'nrdF']","['frlO' 'motS' 'dppD' 'ykuP' 'sacP' 'gltC' 'bglH' 'pstS' 'dppE' 'dppA'
 'pstC' 'gutP' 'comS' 'ykuO' 'putC' 'sacA' 'nadC' 'nrdI' 'ykuN' 'pdhB'
 'putB' 'scr' 'nrdE' 'ymaB' 'srfAC' 'fliW' 'srfAB' 'nadB' 'motP' 'sigI'
 'srfAA' 'nadA' 'gutB' 'csrA' 'sacB' 'ftsW' 'lctP' 'gapB' 'proJ' 'flgK'
 'ywcH' 'mccB' 'rapA' 'mtlD' 'mccA' 'ywdA' 'sbp' 'fliH' 'flgL' 'cysI'
 'ybgB' 'phrA' 'era' 'yviE' 'glcR' 'rsgI' 'pdhD' 'yxiE' 'fliI' 'xylA'
 'sipS' 'yqaN' 'fliF' 'cdd' 'nadR' 'acoR' 'rhaA' 'fliJ' 'tuaC' 'recO'
 'fliQ' 'fliE' 'yqzL' 'cheY' 'flgB' 'clpY' 'swrD' 'cysJ' 'amhX' 'yjmD'
 'phoC' 'tagD' 'ylxX' 'fliR' 'hutH' 'fliG' 'ribT' 'tatAD' 'yqzO' 'sacX'
 'ribD' 'yqiK' 'uxaC' 'yjmC' 'tuaB' 'flgC' 'fliY' 'pupG' 'srfAD' 'sda'
 'rhaM' 'ribA' 'ykoL' 'yabE' 'hutU' 'mta' 'folB' 'swrA' 'recU' 'fliL'
 'ribE' 'hutM' 'pdhC' 'tagA' 'copA' 'rapB' 'yneJ' 'gapA' 'fliM' 'yaaJ'
 'levB' 'mdh' 'yrvO' 'tuaA/1' 'yueD' 'hmp' 'folK' 'trmU' 'copZ' 'minJ'
 'tuaA/2' 'ybfM' 'hutG' 'resA' 'veg' 'purF' 'spo0B' 'folC' 'yrrT' 'addB'
 'pabC' 'yazB' 'vmlR' 'etfA' 'parE' 'swrAA/2' 'yrhC']","['mecA' 'fadF' 'secA' 'pdhA' 'ylxF' 'mtlF' 'rpoY' 'mhqD' 'comFB' 'mtrB'
 'codY' 'cggR' 'purQ' 'acdA' 'flgE' 'phoD' 'pssA' 'capA' 'eno' 'thrR'
 'ribH' 'glnR' 'bshB2' 'arsR' 'sacY' 'cymR' 'purL' 'purS' 'ftsZ' 'tuaD'
 'proH' 'capE' 'obg' 'putP' 'gamA' 'cheD' 'psd' 'fadR' 'ywhA' 'purD'
 'pabB' 'folE' 'yneN' 'fadN' 'perR' 'sspH' 'flgM' 'yojE' 'cmoO' 'licT'
 'gamR' 'purB' 'ftsA' 'murAA' 'cheW' 'purC' 'gltR' 'uxuA' 'rhaR' 'ganB'
 'cca' 'tuaE' 'pbpF' 'nagR' 'nifS' 'bshC' 'defA' 'flhB' 'rhaEW' 'resD'
 'ylxW' 'ascR' 'prfB' 'blt' 'resC' 'comQ' 'ywkB' 'yjmF' 'ggaB' 'bmrR'
 'hutI' 'sigX' 'rhaB' 'fadA' 'hemX' 'gltX' 'fadE' 'addA' 'rsiX' 'ponA'
 'trpP' 'kdgT' 'yloM' 'pucA' 'sul' 'pucF' 'bshA' 'yvyG' 'sigD' 'swrB'
 'spoIIIE' 'etfB' 'kdgA' 'comA' 'rpsD' 'fmt' 'rnjB' 'ytpP' 'hemC' 'dapA'
 'cheA' 'mreD' 'codV' 'cmoJ' 'exuT' 'yjmB' 'yacF' 'clpQ' 'rplB' 'ytpR'
 'recA' 'comFC' 'pucD' 'ysxC' 'sufU' 'mtlR' 'resE' 'grpE' 'txpA' 'comX'
 'ymfC' 'capC' 'yflH' 'bltD' 'topB' 'lgt' 'pucC' 'purN' 'capB' 'tuaG'
 'bshB1' 'ykzB' 'frlB' 'ccdA' 'gtaB' 'pgk' 'fliZ' 'maeA' 'znuC' 'pgm'
 'flhG' 'ispA' 'comP' 'argF' 'flgD' 'pckA' 'odhB' 'pucE' 'pabA' 'drm'
 'fadB' 'resB' 'rapC' 'ctc' 'yflG' 'ccpA' 'kduI' 'yojF' 'ccpC' 'jag'
 'pucB' 'rnjA' 'tcyJ' 'glnA' 'ylbQ' 'msrA' 'narI' 'uxaB' 'citB' 'mreC'
 'purM' 'mgsA' 'hemZ' 'znuB' 'tagF' 'treA' 'feuB' 'tcyN' 'tuaH' 'comEB'
 'ylaB' 'kduD' 'yacP' 'rplD' 'yloN' 'fliP' 'cmoI' 'cheC' 'kinC' 'menD'
 'pheA' 'ylxP' 'groEL' 'lcfB' 'purH' 'znuA' 'cysK' 'yuxK' 'sufB' 'hprT'
 'gabD' 'rplW' 'sprA' 'remB' 'nrgA' 'ylaA' 'recF' 'proI' 'tagG' 'yqaI'
 'parC' 'ytpQ' 'msrB' 'thiE' 'xynB' 'acuA' 'abf2' 'xynP' 'fliK' 'nusA'
 'glmM' 'lutR' 'ggaA' 'ribR' 'narH' 'gabT' 'cysH' 'lepA' 'gbsB' 'rapD'
 'tuaF' 'araE' 'icd' 'yqdA' 'rsbW' 'ylxM' 'yqaG' 'mhqP' 'comGG' 'dra'
 'uxaA' 'flhA' 'tcyK' 'leuA' 'ssuA' 'groES' 'sirB' 'ypbS' 'ylxR' 'phoB'
 'fruC' 'ssuD' 'birA' 'clpX' 'nfrA' 'ezrA' 'mrnC' 'ytnM' 'comC' 'sufS'
 'cwlO' 'gamP' 'comEC' 'pucG' 'tagB' 'yuxO' 'glpP' 'carB' 'mutY' 'flhF'
 'yqaM' 'ktrC' 'snaA' 'prs' 'yotJ' 'sprB' 'manA' 'murB' 'tyrS' 'tpi'
 'hemL' 'yacO' 'hemN' 'bmr' 'yqaL' 'mreB' 'ssbA' 'dapB' 'narK' 'valS'
 'yvoD' 'cysP' 'xylB' 'yvyF' 'liaF' 'acuB' 'rbfA' 'rpsJ' 'cheB' 'ylaD'
 'cspB' 'yhcY' 'yqaJ' 'nagB' 'pyrP' 'yqaK' 'tetB' 'ykqA' 'tcyM' 'yueB'
 'rplS' 'yukD' 'spoIIIJ' 'divIB' 'yukB' 'dnaK' 'hemD' 'ytxM' 'hemB' 'ywbI'
 'leuD' 'radC' 'hlpB' 'malA' 'yflI' 'lysS' 'tilS' 'manP' 'yhdK' 'hbs'
 'rsbV' 'mhqE' 'phoP' 'argB' 'yotK' 'ssuC' 'rplGA' 'mtnN' 'ylaC' 'mhqO'
 'fbp' 'ydcG' 'ytzK' 'dapG' 'pycA' 'kdgK' 'ylnD' 'tatCD' 'yueC' 'sndA'
 'nasB' 'yqeT' 'ydfK' 'comGB' 'des' 'ganS' 'galE' 'dtpT' 'rsbX' 'yneI'
 'csbA' 'lrpC' 'yoyC' 'ypqP' 'acuC' 'ntdC' 'pbpD' 'sbcD' 'treP' 'sufD'
 'ydhF' 'odhA' 'yqaH' 'tcyL' 'minD' 'adaB' 'aprX' 'nagA' 'cdaR' 'cysS'
 'glcP' 'whiA' 'yutF' 'yhdA' 'arsC' 'thiM' 'feuC' 'ahpC' 'ssuB' 'cysE'
 'sufC' 'yaaA' 'sbcC' 'yxeK' 'yotE' 'rpsR' 'sdhB' 'tagE' 'exuR' 'gbsA'
 'BSU_misc_RNA_26' 'ypjD' 'pheT' 'ylnF' 'glyA' 'comGE' 'murG' 'yotM'
 'ureC' 'narJ' 'wprA' 'comEA' 'comFA' 'speB' 'comGD' 'citG' 'pamR' 'bglS'
 'yutE' 'trmD' 'tagH' 'med' 'phoR' 'licC' 'gyrA' 'yqaF' 'pdp' 'ldh' 'yutD'
 'yotG' 'comGC' 'cdaA' 'yeaB' 'lmrB' 'ybbA' 'iolA' 'hemA' 'rpsF' 'lcfA'
 'rpsS' 'ptsI' 'yfkH' 'ywrA' 'sat' 'sigA' 'nasE' 'trxA' 'pdeH' 'snaB'
 'argC' 'yotD' 'speD' 'BSU_misc_RNA_29' 'opuD' 'guaA' 'crh' 'arfM' 'ytfP'
 'ohrR' 'menC' 'hypO' 'ylqD' 'rpoC' 'pheS' 'glsA' 'nasC' 'hrcA' 'efeB'
 'smc' 'yqcK' 'asd' 'kdgR' 'pta' 'yhcZ' 'ntdA' 'yvcN' 'putR' 'proA' 'narG'
 'mtlA' 'melE' 'yotH' 'yvcD' 'yukE' 'argJ' 'pyrF' 'maf' 'leuB' 'liaS'
 'infB' 'pucM' 'ybfK' 'ahpF' 'chrS' 'sigB' 'arsB' 'yotC' 'gudB' 'rpsN'
 'menB' 'araB' 'lonA' 'radA' 'malP' 'leuC' 'minC' 'lmrA' 'metC' 'hprK'
 'yotI' 'ackA' 'azoR2' 'rpmH' 'ykoP' 'dnaJ' 'rimM' 'melR' 'rplC' 'rsbS'
 'pmi' 'argD' 'rplV' 'yqeV' 'rpsQ' 'rpsM' 'ywrB' 'ctaA' 'rpsH' 'araA'
 'metI' 'manR' 'bglC' 'speE' 'nupN' 'pucK' 'cstA' 'sdhA' 'iolC' 'wapI'
 'rplX' 'guaD' 'melD' 'trmFO' 'glnT' 'disA' 'rpmJ' 'liaG' 'proB' 'licB'
 'araL' 'alkA' 'liaR' 'pyrE' 'gyrB' 'spo0A' 'yvoE' 'phoA' 'ybzG' 'licR'
 'ntdB' 'yvcI' 'yyaF' 'iolB' 'carA' 'yotB' 'gcaD' 'dnaA' 'rsbT' 'menF'
 'thrS' 'yhxA' 'comZ' 'nupC' 'rpoB' 'licA' 'rplN' 'abnA' 'yosX' 'yczL'
 'ycnL' 'sigM' 'mhqA' 'rplP' 'ygaN' 'mleN' 'mtnA' 'ftsH' 'feuA' 'mleA'
 'ypzF' 'yukC' 'yfkJ' 'nupP' 'gabR' 'menE' 'comGF' 'adaA' 'cysC' 'pucH'
 'ptsA' 'pucJ' 'BSU_misc_RNA_28' 'pyrK' 'yqxD' 'ppiB' 'yvoF' 'glvR' 'pyrR'
 'rppH' 'purK' 'ylxS' 'rnc' 'phrI' 'nadE' 'infA' 'nupQ' 'abn2' 'rsbU'
 'nupO' 'fabL' 'ganP' 'pbuX' 'yqeU' 'ansA' 'ilvC' 'yvcJ' 'pyrG' 'sspE'
 'glmR' 'abfA' 'dnaG' 'pucL' 'rpmD' 'psdS' 'mtnU' 'citR' 'mhqN' 'rplO'
 'ffh' 'BSU_misc_RNA_27' 'ureB' 'fur' 'thrZ' 'licH' 'rsbR' 'bmrA' 'comGA'
 'xynA' 'ycbK' 'rplE' 'wapA' 'mtnE' 'ptsH' 'treR' 'ansB' 'ogt' 'glmS'
 'iolR' 'ganA' 'pyrD' 'psdR' 'araQ' 'araM' 'mbl' 'melC' 'araP' 'yhdL'
 'iolD' 'yfkI' 'araD' 'ftsY' 'dynA' 'rpsE' 'purE' 'yxeM' 'tagU' 'iolF'
 'spo0F' 'mtnK' 'citZ' 'yxeN' 'cysL' 'spoIIT' 'rplR' 'iolS' 'ureA' 'iolE'
 'rpoE' 'sndB' 'araN' 'nagP' 'rpsP' 'rpoA' 'ganQ' 'yfmP' 'rplF' 'rpsK'
 'purA' 'yxeO']","['sdhC' 'spoIIIL' 'phrC' 'ywzB' 'ansZ' 'pyrAA' 'iolG' 'cssS' 'nasF' 'rpmC'
 'pyrAB' 'rtpA' 'clpP' 'rocR' 'ilvH' 'araR' 'secY' 'iolI' 'adk' 'cssR'
 'ylbP' 'ywoD' 'zagA' 'rpsC' 'ilvB' 'glpQ' 'nrgB' 'fabD' 'mtnB' 'map'
 'efeO' 'spx' 'htpG' 'mtnX' 'dnaN' 'yfmO' 'spoIIE' 'ydfM' 'ysfE' 'pyrC'
 'BSU_misc_RNA_15' 'acpA' 'efeU' 'mtnD' 'pyrB' 'ctsR' 'psdB' 'yflN' 'kinE'
 'yjdF' 'BSU_misc_RNA_21' 'ylqC' 'fapR' 'mtnW' 'pfeT' 'iolJ' 'fabG' 'melA'
 'citA' 'iolH' 'degQ' 'ywoC' 'cadA' 'fnr' 'plsX' 'xpt' 'mcsA' 'acsA'
 'psdA' 'rplQ' 'gabP' 'ywoB' 'BSU_misc_RNA_10' 'hutP' 'yhdF' 'catE' 'yxeQ'
 'catD' 'purT' 'mcsB' 'citM' 'fabF' 'lutP' 'mrgA' 'braB' 'clpC' 'yciB'
 'folEB' 'fabHA' 'zinT' 'htrA' 'ytrF' 'ytrA' 'glpT' 'rapI' 'ytrD' 'ytrC']",['ytrE' 'clpE' 'nasD' 'liaH' 'ytrB' 'liaI' 'ohrA' 'ptsG'],[],[],['dctP'],[],[],[],[],[],[],[],[]
RemA_genes,[],[],[],[],[],[],['opuCC' 'opuCA' 'opuCB' 'opuCD'],[],[],[],[],[],[],[],[],[],[],[],[],[]
AbrB and SinR_genes,[],[],[],[],[],[],['spoVG' 'sigF' 'rok' 'spoIIAA' 'spoIIAB'],[],['pnbA'],[],[],[],['slrR'],[],[],[],[],[],[],[]
AbrB and SigA_genes,[],[],[],[],['sdpI' 'sdpR' 'yocH'],"['gmuE' 'gmuF' 'yxnB' 'yxbA' 'yxbB' 'gmuG' 'secE' 'gmuR' 'gntR' 'phrE'
 'gntK' 'spo0E' 'antE' 'gntP']","['skfC' 'skfF' 'rpmGB' 'skfE' 'skfB' 'sigH' 'skfG' 'rbsR' 'rbsD' 'skfA'
 'skfH' 'albF' 'qcrC' 'abrB' 'amyE' 'qcrA' 'phrH' 'asnH' 'gmuD' 'albE'
 'albC' 'qcrB' 'rbsK' 'rbsA' 'dhbA' 'albD' 'yxaB' 'albB' 'yxaA' 'cccA'
 'albG' 'yxaM' 'gntZ' 'scoC' 'gmuC' 'rapH' 'rbsC' 'rbsB' 'dhbC' 'albA'
 'dhbB' 'dhbE' 'ycnI' 'ptpZ' 'tkmA' 'yydH' 'ycnJ']","['ugd' 'comK' 'yydJ' 'yydI' 'ptkA' 'ycnK' 'ywcE' 'dhbF' 'ybdZ' 'gmuA'
 'glpD' 'yydF' 'gmuB' 'sboX' 'yydG' 'bacF']",['glpK' 'bacE' 'glpF' 'sboA' 'bacD' 'bacB' 'bacC'],['bacA'],[],[],[],[],[],[],[],[],[],[]
SinR and SigA_genes,[],[],[],[],[],[],['lytC' 'degS' 'degU' 'lutB' 'lutA' 'lytB' 'rapG' 'lutC' 'lytA' 'phrG'],['kapB'],['kinB'],[],[],[],[],[],[],[],[],[],[],[]
SigA and RemA_genes,[],[],[],[],[],['opuAC' 'opuAB' 'opuAA'],['opuBD' 'opuBC' 'opuBB' 'opuBA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
"AbrB, SinR, and SigA_genes",[],[],[],[],[],[],['sigE' 'spoIIGA' 'sinR' 'sigG' 'sinI'],['aprE'],[],[],[],[],[],[],[],[],[],[],[],[]
"AbrB, SinR, SigA, and RemA_genes",[],[],[],[],[],[],[],[],[],[],[],[],['epsC'],['epsD' 'epsF' 'epsH' 'epsK' 'epsG' 'epsE'],['epsJ' 'epsB' 'epsI' 'epsL' 'epsN' 'epsM' 'epsO' 'epsA'],[],['tapA' 'sipW'],[],['tasA'],[]
