,A,MetJ,HypT
abx_mega__teix_dmso__1,-0.6279820965,-1.4685724122,0.0741109368
abx_mega__dmso-10__1,-1.0292885242,-0.6874576332,0.3653079179
abx_mega__van_dmso__1,4.9238987195,1.8757119637000002,-0.6120314556
abx_mega__ramo_h2o__1,2.0574471072,-0.3903623893,-0.3168600234
abx_mega__tec_h2o__2,0.9164032782,-0.40979099550000003,-0.033486216400000005
abx_mega__h2o-7__1,0.1252146992,-0.9738386864,0.4968439302
abx_mega__cro_h2o__1,0.8032055933000001,-1.2605855585,-0.0031837897
abx_mega__tric_ethanol__1,-1.0453510056,-0.38763987250000004,0.35270339900000003
abx_mega__nor_naoh__1,0.6181148326,-0.1136530568,0.1338990858
abx_mega__teix_dmso__2,0.0165569444,-0.25135357950000004,-0.0191068351
abx_mega__nal_naoh__3,0.3820261441,0.214215927,0.1633467039
abx_mega__novo_h2o__2,2.8411838288,0.8093946188000001,-1.2744726761
abx_mega__dmso-10__2,-0.9792000732,-0.5582080501000001,0.27646395560000003
abx_mega__phos_h2o__3,-1.1128629155,-0.3542533297,0.1902904023
abx_mega__dmso-6__2,-0.5756302846,-0.3589944296,0.5800801668000001
abx_mega__rfp_ethanol__1,3.9098461751,-0.7406759567000001,-0.8721171035
abx_mega__dmso-5__3,-0.090916354,-0.0672705727,0.6291444161
abx_mega__amyc-d_dmso__1,1.5171386223,0.48031390620000003,-0.5899620519000001
abx_mega__sxt_dmso__1,-1.5538299691000002,-0.4810864589,-0.1324200173
abx_mega__dmso-1__1,-1.6410090292000001,-0.3561953483,0.1940757311
abx_mega__pen_h2o__1,-0.3985019965,-0.15797222760000001,-1.5537300295
abx_mega__dmso-10__3,-1.0936375929,-0.8327759997,0.3674755966
abx_mega__nal_naoh__4,1.1568328888,0.1361310898,-0.07415547260000001
abx_mega__cip_naoh__1,0.6270380821,-0.1124377586,-0.2841210829
abx_mega__pen_h2o__2,-0.1945196815,-0.6408068597000001,-0.4147987527
abx_mega__ery_dmso__2,3.0411750571,0.19444017090000001,0.899088459
abx_mega__dmso-2__2,1.2724755953,-0.5395666118,0.7814569269
abx_mega__van_dmso__2,4.3985857248,2.0446102753,-0.1523734115
abx_mega__h2o-1b__1,-1.3634756381,-0.3177654897,-0.4565992425
abx_mega__ery_h2o__1,3.4607266294,0.0931874413,0.1726118664
abx_mega__bacit_h2o__1,4.4202840379,-0.14375315460000002,-0.45633170570000003
abx_mega__chl_h2o__2,4.6460707718,-0.0099062796,0.557121643
abx_mega__str_h2o__2,1.6860351266,0.2544478882,0.5624285932
abx_mega__rfp_ethanol__2,3.7666735892,-0.33341943960000003,0.7314922774
abx_mega__polmyx_h2o__2,-0.8885373664,-0.8973512783,-0.5945041413000001
abx_mega__tric_h2o__1,-0.5576745611,-0.7685836753,0.1791619481
abx_mega__cip_naoh__2,1.2717090900999999,0.1898433843,0.22374797340000002
abx_mega__novo_h2o__3,2.2393016027,0.7472586213,-1.8209205979
abx_mega__bacit_dmso__1,1.9633179502,-0.0309615065,0.1850783634
abx_mega__gen_h2o__1,4.9713642329,0.5312786365000001,0.6045643772
abx_mega__bacit_dmso__2,2.3897750362,-0.0434292837,-0.06816811960000001
abx_mega__chl_dmso__1,1.5210172367,-0.6758867198,0.7994934834
abx_mega__bacit_h2o__2,2.9323838067,0.5672953288,-0.5575450467
abx_mega__lvx_dmso__1,0.7685340328,0.1172277625,0.0803774238
abx_mega__bacit_h2o__3,3.1085070144999998,-0.0734469231,-0.30523789230000004
abx_mega__nor_naoh__2,0.5640840792,-0.034314122600000004,-0.0696715389
abx_mega__amyc-d_dmso__2,1.2152447371,0.2259162998,0.7467206980000001
abx_mega__polmyx_h2o__3,1.5662982761,-1.6145138888,0.9569539955
abx_mega__naoh-6__1,-0.6058166653,-0.3921706237,0.4096490041
abx_mega__cst_h2o__2,0.9994446148,0.0072714481,0.3106887119
abx_mega__h2o-1b__2,-0.1056150522,-0.6054968164,-0.0502354296
abx_mega__rfp_h2o__1,1.8139944932,-0.2579717138,0.23532353120000002
abx_mega__tet_h2o__1,1.0060441015,0.5628574338,-0.2140065343
abx_mega__flavo_dmso__1,0.9386032310000001,0.08976073,-0.0107755295
abx_mega__zeocin_h2o__1,-0.08560981270000001,-0.5513569066,-0.1094290074
abx_mega__nor_naoh__3,0.933518328,0.011578854100000001,0.0126468386
abx_mega__rach_dmso__2,0.21482055490000002,-1.7715237855,0.41399597590000003
abx_mega__thio_dmso__2,2.7815383957,0.43874485230000004,0.6596581523
abx_mega__amyc-d_dmso__3,2.944817632,0.7266227623,0.5758878620000001
abx_mega__rif_dmso__2,2.0282625237,0.292959535,0.6717976694000001
abx_mega__amyc-d_dmso__4,-0.0706776731,0.2921644228,0.28108046400000003
abx_mega__teix_dmso__3,-0.1565872197,0.006873742,-0.2343366832
abx_mega__valin_dmso__1,2.4108608519,0.1781643092,0.3547213395
abx_mega__teix_dmso__4,-0.5731742355,-0.2042039779,0.09918989710000001
abx_mega__ethanol-10__1,-0.8051505548000001,-1.0268610723,0.1060296335
abx_mega__inh_h2o__1,0.5545779293,-1.2843808998,-0.0991175046
abx_mega__rif_dmso__3,-0.5833087684,-0.0717766286,0.029988723000000002
abx_mega__van_dmso__3,4.0912959405,1.497018913,-0.0652289156
abx_mega__doxo_dmso__1,-1.3883320417,-0.5843132791,-1.0641909756
abx_mega__tmp_dmso__1,-0.29077020870000003,-0.2227038825,0.4576137813
abx_mega__ethanol-10__2,-1.1757605264,-1.4383404365,-0.2379356699
abx_mega__tmp_dmso__2,-0.31060120690000004,-0.2266942248,0.219077186
abx_mega__amyc-d_dmso__5,1.3911084766,0.7440078659,0.4533817047
abx_mega__novo_h2o__4,2.1946924623,0.6000166815,0.021006198400000002
abx_mega__cro_h2o__2,1.8127100619,-1.0745080307000001,0.12288031740000001
abx_mega__cro_h2o__3,-0.0228268264,-0.8808997148000001,-0.0736767668
abx_mega__gen_h2o__2,5.6017640665,1.0466949104,0.6242639232
abx_mega__phos_h2o__4,0.6623230932,-1.1143057715,0.4550097361
abx_mega__metro_dmso__2,0.021208605800000002,-0.3720665479,0.612743742
abx_mega__ery_h2o__2,2.5846441247,-0.2196611172,0.0897334075
abx_mega__sacet_h2o__1,-0.289776519,-0.8672465952,-0.2323627858
abx_mega__nal_naoh__5,1.0779167033000001,0.0935793662,0.0650422202
abx_mega__bacit_h2o__4,3.9114684567999998,0.8999233975,-0.40197488060000003
abx_mega__cip_naoh__3,0.9813276021,-0.053544753800000004,-0.2672554553
abx_mega__ethanol-8__1,-1.6692286301,-0.45464826880000003,-0.3469258405
abx_mega__h2o-8a__1,0.8435747932000001,-0.3984392848,0.15650593640000002
abx_mega__ery_h2o__3,3.4803119444,0.274794001,0.2378242439
abx_mega__flavo_dmso__2,0.9239129366000001,-1.146717875,0.0170954618
abx_mega__rif_dmso__4,0.28916114800000003,0.1176421794,-0.3484575981
abx_mega__novo_h2o__5,2.0267269812,0.7695359482,-1.8756583893
abx_mega__teix_dmso__5,-1.2945047363,-0.6817589075,0.18146123900000002
abx_mega__naoh-2__1,1.1535610228,-1.040761317,0.5637560875000001
abx_mega__novo_h2o__6,2.5076825049,0.332431639,-1.4819383412
abx_mega__ctx_h2o__3,0.6583518927,-0.6676934986,-0.23235329770000002
abx_mega__rach_dmso__3,-0.8103374039,-1.2172149599,0.2716933791
abx_mega__valin_dmso__2,2.4099803743,0.1493266179,0.45923292800000004
abx_mega__amyc-d_dmso__6,1.8284484080999999,1.2741009509,0.5428816590000001
abx_mega__dox_dmso__2,0.9565360319,0.10281598730000001,0.2011985028
abx_mega__teix_dmso__6,-1.6380318074,-1.1119872039,-0.06850365750000001
abx_mega__naoh-6__2,-0.21855926450000002,-0.2982022984,0.1850666632
abx_mega__inh_h2o__2,0.5818394134,-0.3910603634,-0.41863704150000003
abx_mega__chl_h2o__3,1.8410328686000001,-1.4644660594,0.5356990769000001
abx_mega__nal_naoh__6,1.2853185643,0.1999521535,-0.1943332859
abx_mega__chl_dmso__2,0.9297207838,-0.44758977990000004,0.7617581933
abx_mega__rach_dmso__4,0.0058809518,-1.3181221834,0.4353908242
abx_mega__teix_dmso__7,-1.4007919244,-1.2548217211,0.4114982385
abx_mega__ceru_ethanol__1,-0.8630857775,-0.6991232283000001,0.0811042813
abx_mega__dmso-7__1,-1.4868002037,-0.8153199611,0.5908057213
abx_mega__naoh-6__3,-0.8388893753000001,-0.3482364247,0.27851429310000003
abx_mega__phos_ethanol__2,-0.6301235757,-0.5163411486,0.21140718830000002
abx_mega__metro_dmso__3,-1.0858839775,-0.0951561914,0.3443299382
abx_mega__van_dmso__4,3.8527670194,1.6031078214,-0.7045378738
abx_mega__h2o-10__1,0.7135283218,-1.3894949460000001,-0.0052580112
abx_mega__h2o-10__2,0.4599311506,-1.2488180275,-0.1080964878
abx_mega__dmso-6__3,-0.9681190381,-0.37180389,0.6349552206
abx_mega__mem_dmso__1,0.6525789548,-0.7064359301,-0.1572379211
abx_mega__ethanol-8__2,-1.2434615562,-0.477498436,-0.3080131718
abx_mega__chl_h2o__4,1.0385939727,-1.3787116507000001,0.7438080637000001
abx_mega__van_h2o__1,1.361258368,0.31873230810000003,-0.8831945634
abx_mega__dcs_h2o__1,-1.0196070692,-0.9920957043,0.15711904810000002
abx_mega__rif_dmso__5,-0.1667460912,0.13784930110000002,0.1836250968
abx_mega__dox_dmso__3,1.2351092518,0.3024781861,0.8137265499
abx_mega__mem_dmso__2,1.1868333907,0.11283527500000001,0.3511646833
abx_mega__lvx_dmso__2,0.238049739,0.0832992183,-0.2543385937
abx_mega__tet_h2o__2,4.7147244679,-0.0899008461,0.9469802535
abx_mega__phos_h2o__5,1.8490983801,-0.9443195107000001,0.7099523405
abx_mega__monac_dmso__1,1.0570180387,-0.2242228144,-0.5233169065000001
abx_mega__str_h2o__3,0.2696236701,-1.2531977052,-0.1068800684
abx_mega__zeocin_h2o__2,3.6603965192,-1.3183519878,0.35349330090000003
abx_mega__amyc-d_dmso__7,1.4182149263000001,1.6055788987000001,0.8245156354000001
abx_mega__fidax_dmso__1,-2.2644444279,-1.1256373706,0.1389197514
abx_mega__h2o-1a__1,0.5069953463,0.052646285200000004,-0.132027204
abx_mega__dox_dmso__4,-0.2348018265,0.06721838620000001,0.3150863292
abx_mega__lzd_dmso__2,1.3358809914,0.0601268983,0.5405367647
abx_mega__tet_h2o__3,1.2626768549,0.500749326,-0.09155455750000001
abx_mega__dmso-1__2,-1.507226562,0.1646561845,0.10541955400000001
abx_mega__sxt_dmso__2,0.4170523205,0.2887725936,-0.449489191
abx_mega__tric_ethanol__2,-1.0276065907,-0.45150232090000003,0.1313511996
abx_mega__teix_dmso__8,1.3060229016,0.1449709172,-0.1145846059
abx_mega__ramo_h2o__2,2.9885294515,-0.4111128632,-0.4244190903
abx_mega__inh_h2o__3,-0.5492497604000001,-0.9804090701,0.0225940134
abx_mega__cst_h2o__3,-0.0128434902,-0.420313512,0.2461232825
abx_mega__dmso-9__1,-0.2489072088,-0.36097493680000003,0.2198303036
abx_mega__ethanol-8__3,-1.5836935268999999,-0.658598796,-0.2690577648
abx_mega__monac_dmso__2,2.4543526654,0.0859699313,-0.4596510218
abx_mega__dmso-9__2,-0.2251583962,-0.056531958300000004,0.2422919862
abx_mega__metro_dmso__4,0.9760528183,-0.0657527742,0.5147844767
abx_mega__ctx_h2o__4,0.6861866801000001,-1.2195638147,0.0021869756
abx_mega__zeocin_h2o__3,4.0606288978,-0.9381857241,0.6336767168
abx_mega__bacit_h2o__5,4.2158120231,0.7941592326,-0.0562107648
abx_mega__reta_dmso__1,1.1060057778,0.0035606812,0.6868037140000001
abx_mega__ery_h2o__4,4.678106567,-0.5455809346,1.0151167177
abx_mega__ceru_ethanol__2,0.07873541590000001,-0.4327363481,0.608658248
abx_mega__fidax_dmso__2,-1.9981728243,-0.8784672115000001,0.2219230231
abx_mega__novo_dmso__1,2.2026129259,0.7608278469,-1.3540624727
abx_mega__naoh-6__4,-0.5056508035,-0.2808755515,-0.0065233407000000005
abx_mega__amyc-d_dmso__8,1.3437639523,-0.0196693251,0.4865546865
abx_mega__chl_dmso__3,0.9063456502,-0.4573428372,0.8100229667000001
abx_mega__nal_naoh__7,-0.2235259363,-0.056259308800000005,0.11909401680000001
abx_mega__teix_dmso__9,-0.6542363857,-0.9696799653,0.085352288
abx_mega__ery_dmso__3,1.4405996863000001,-0.6634208939,0.7114092041000001
abx_mega__tmp_dmso__3,-0.8295857956,-0.2311632119,0.213207325
abx_mega__sxt_dmso__3,-0.3823904057,-1.7079097569,-0.0447966013
abx_mega__polmyx_h2o__4,1.8953279085,-1.3156921128,1.0172017306
abx_mega__mem_dmso__3,-0.6102629311000001,-0.42324587280000003,0.13803143040000002
abx_mega__nal_naoh__8,1.5615995088,-1.0645483841,0.302154578
abx_mega__pen_h2o__3,-0.8497278775,-0.389603782,-0.2877275273
abx_mega__van_dmso__5,3.7953418455,1.6826066537000002,-0.9333773687
abx_mega__zeocin_h2o__4,3.2392805767,-1.0522541601,0.1088895349
abx_mega__h2o-6__2,-0.7843177744000001,-0.1944240827,0.06546567290000001
abx_mega__tet_h2o__4,1.8417731867,0.293242624,-0.10860988220000001
abx_mega__nor_naoh__4,0.6261789565,7.8967e-05,0.11934171510000001
abx_mega__cip_naoh__4,0.9542393785000001,0.0424415529,0.4614157801
abx_mega__tmp_dmso__4,-0.1486711882,-0.3334734809,0.43834583600000004
abx_mega__reta_dmso__2,3.2297325657,-0.21543861190000002,0.9236674930000001
abx_mega__mem_dmso__4,0.9811948028,-1.7013523737,-0.5489325034
abx_mega__dox_dmso__5,0.5967483381,-0.6475057488,0.812314517
abx_mega__tmp_dmso__5,-0.8956351774,0.0151489763,0.4426574075
abx_mega__flavo_dmso__3,0.6840524353,-0.9491507863,0.0994962196
abx_mega__tmp_dmso__6,0.1634207434,0.10231823030000001,0.45363373220000003
abx_mega__ceru_ethanol__3,-0.3782814933,-0.3365910674,-0.6812781043
abx_mega__teix_dmso__10,0.5604498617,0.0992530826,0.1985001639
abx_mega__novo_h2o__7,2.070914834,0.7807493990000001,-1.262060851
abx_mega__fidax_dmso__3,-0.7377110298,-0.3095224708,-0.0700978332
abx_mega__h2o-1a__2,-0.8865386337000001,0.024521657000000002,0.1510856327
abx_mega__dcs_h2o__2,-0.9947325552,-0.5496307586,-0.2547545283
abx_mega__cst_h2o__4,-0.18142165570000002,-0.561990846,0.35399795370000003
abx_mega__van_h2o__2,1.4531243678,-0.1531773126,-0.4490211751
abx_mega__pen_h2o__4,-0.7273044568,-0.184616106,-0.074817649
abx_mega__h2o-8b__2,-0.1290857282,-1.2241279914,0.1604609069
abx_mega__reta_dmso__3,2.7147033713,-0.8165026056,0.6684448039
abx_mega__dmso-7__2,-1.2920229512999999,-1.0714866617,0.6258829284
abx_mega__rfp_h2o__2,2.1273107432,-0.31613551830000003,0.0811388999
abx_mega__rif_dmso__6,1.6964322996,0.20185464390000002,0.2767119588
abx_mega__sxt_dmso__4,-0.4143206621,-1.3772808673,0.0802676975
abx_mega__cip_naoh__5,-0.43222605150000004,-0.0271495975,0.0085022464
abx_mega__dmso-9__3,0.0875497868,0.1321149074,0.20892809240000002
abx_mega__mem_dmso__5,0.3823435515,-0.7258438099000001,-0.16173932400000002
abx_mega__tric_h2o__2,-0.6438472919,-0.5363507287,0.533711075
abx_mega__phos_h2o__6,-1.0575374694,-0.3186648735,0.23306156120000002
abx_mega__h2o-7__2,0.0159022291,-0.7735402441,-0.15052175210000002
abx_mega__h2o-10__3,0.265167486,-1.1985457424,-0.32457143580000003
abx_mega__h2o-8a__2,0.5634140231,-0.3998010436,0.036726136
abx_mega__thio_dmso__3,3.0981436474,-1.1888576788,0.41306928800000003
abx_mega__lzd_dmso__3,1.4487984841000001,-0.3103230191,0.5461801473
abx_mega__monac_dmso__3,0.7328341282,1.1909252125,-0.564220166
abx_mega__polmyx_h2o__5,0.8902439733,-0.5326552423,0.29753461740000003
abx_mega__naoh-6__5,-0.6358480909,-0.3756870021,0.2836998242
abx_mega__teix_dmso__11,-0.5866365987000001,-0.12275190820000001,-0.0795287248
abx_mega__van_h2o__3,2.6186734457,-0.3086355026,-0.8589273222
abx_mega__teix_dmso__12,-0.0033481727,-0.1671918567,0.17900454940000002
abx_mega__dox_dmso__6,0.6098056712000001,-1.0200996928,0.7762778215
abx_mega__teix_dmso__13,-0.30575556470000004,-1.0889231607,-0.14815902420000002
abx_mega__h2o-7__3,-0.0848367983,-0.6901545754,-0.088922267
abx_mega__str_h2o__4,2.4046053572,0.1142478843,0.46460675090000003
abx_mega__tec_h2o__3,3.3524362448,-1.2833550277999999,0.3194891194
abx_mega__phos_h2o__7,-1.2852628692999999,-0.27724572470000003,0.2984071595
abx_mega__chl_h2o__5,4.850714704,-0.3328845521,0.5401019368000001
abx_mega__polmyx_h2o__6,2.0434223019,-1.2391925315,1.0190470791
abx_mega__teix_dmso__14,-0.7457690321,-0.0408909234,-0.0768958226
abx_mega__rif_dmso__7,1.6032573258,0.30088418780000004,0.6496255142
abx_mega__ramo_h2o__3,2.7817224213,0.4367346608,-0.3482039636
abx_mega__fidax_dmso__4,-0.29828295860000004,-0.3324335727,0.1104466706
abx_mega__teix_dmso__15,-1.154454447,-0.9863021728,0.29097097850000003
abx_mega__thio_dmso__4,2.1324262193,-0.9743015708,0.2253966658
abx_mega__rif_dmso__8,1.5287215132,0.37562390840000004,-0.06810393590000001
abx_mega__reta_dmso__4,3.5645964759,-0.573458235,0.7334368237000001
abx_mega__inh_h2o__4,0.119697466,-1.3592820428,0.43337232480000004
abx_mega__novo_dmso__2,2.2496071047,0.5839077832,-2.1420900083
abx_mega__dcs_h2o__3,-0.2051359126,-1.1209138827,0.0596103978
abx_mega__h2o-8b__3,-0.693950613,-0.14662932280000002,0.12354232200000001
abx_mega__valin_dmso__3,-0.5822409935,-0.011800287500000001,0.1865342039
abx_mega__h2o-2__1,0.9566004679000001,-0.24191498520000002,0.2102544734
abx_mega__cro_h2o__4,0.1662299776,-0.1439071946,-0.0367353868
abx_mega__dcs_h2o__4,-1.4215521882,-1.1894848074,0.3116219199
abx_mega__str_h2o__5,-0.1368011178,-1.6299511794,0.1556656244
abx_mega__h2o-8a__3,0.5635888115000001,-0.9065545594000001,-0.1068560743
abx_mega__dox_dmso__7,-0.32787090210000003,-0.0372618629,0.1797103465
abx_mega__doxo_dmso__2,-0.6937034298,-0.9649927322,-0.5913322818
abx_mega__teix_dmso__16,-0.9097262610000001,-0.9564541674,0.022402523100000002
abx_mega__rfp_h2o__3,2.0002685468,-0.29031851810000003,0.3228222087
abx_mega__ethanol-10__3,-1.01627173,-0.7909997178,0.2777744076
abx_mega__naoh-2__2,1.3787804386,-1.002008295,-0.14081026500000002
abx_mega__van_h2o__4,1.8768295871,0.35756158600000004,-0.8368389618000001
abx_mega__sacet_h2o__2,0.15539028970000002,-0.6865093054,0.0540247224
abx_mega__monac_dmso__4,2.0360183254,0.291061993,-0.4592174484
abx_mega__h2o-2__2,1.4581453467,-2.5134022693,0.0111231027
abx_mega__zeocin_h2o__5,0.6552125449,-0.8031622515,-0.0290554614
abx_mega__nor_naoh__5,0.15672414610000002,-0.037785891200000005,-0.0562712172
abx_mega__naoh-9__2,0.00033616660000000004,-0.1203171604,0.2465375099
abx_mega__dmso-7__3,-0.8513343591,-1.4044789165,0.5641680921000001
abx_mega__van_h2o__5,2.0592356669,0.1985315645,-0.5184038454000001
abx_mega__flavo_dmso__4,0.8212332696,-1.1852708918000001,-0.0178508545
abx_mega__novo_dmso__3,2.3516269264,0.7639769496000001,-1.2390111539
abx_mega__polmyx_h2o__7,0.4689263469,-0.1708369019,-0.1434236939
abx_mega__teix_dmso__17,-1.5830803310000001,-1.2931599556,0.050508164
abx_mega__doxo_dmso__3,-3.3812050994,-1.3692282218,-1.3316386117
abx_mega__mem_dmso__6,-0.583070151,0.0690832752,0.1347006013
abx_mega__h2o-1a__3,0.37954328740000004,-0.0771679422,-0.0190584287
abx_mega__bacit_dmso__3,2.9394101528,-0.3194448608,0.46315937970000004
abx_mega__dox_dmso__8,1.4129396233,-0.0618305709,0.5456099412000001
abx_mega__teix_dmso__18,-0.384892347,-0.1799655001,0.1275650469
abx_mega__h2o-6__3,-1.1928908139,-0.31812414920000004,0.2216760463
abx_mega__pen_h2o__5,-0.1615023984,-0.248454786,-1.081975395
abx_mega__lzd_dmso__4,0.0117364307,-0.1825042399,0.3410322186
abx_mega__daro__1,2.2519626221,-0.8234342280000001,0.07674693590000001
abx_mega__solv__1,2.4801452315,-1.0469287322,-0.08570044190000001
abx_mega__daro__2,1.5666797759,-0.8685040919,0.018180789000000003
abx_mega__daro__3,1.6326541059,-0.8870444532,0.2529537154
abx_mega__solv__2,1.9893799268,-0.9410260026,0.045848132
abx_mega__solv__3,1.7343636441,-1.1186502306,0.2996811072
abx_mega__dmso-4__1,1.8887142108,-0.3087255389,1.2155930918
abx_mega__kirr_dmso__1,3.5925129959,0.1886967716,0.8507008569000001
abx_mega__kirr_dmso__2,4.2284800078,0.0888553373,0.7599569535
abx_mega__kirr_dmso__3,4.8879538556,0.320914859,1.3464702857
abx_mega__dmso-4__2,2.3541133749,0.0167501879,0.8513058663
abx_mega__dmso-4__3,1.3535754882,-0.09886924230000001,0.7739034652
ackA_pta__dnaA46_del_ackA__1,-1.2335806213,-0.0109923763,0.690592113
ackA_pta__dnaA46_del_ackA__2,-1.486385069,-0.4207271361,1.0157280711
ackA_pta__dnaA46_del_ackA__3,-0.9976929971,-0.17394798790000002,0.5874012963
ackA_pta__dnaA46_del_pta__1,-2.8144652171,-0.47110330980000004,1.1396842978
ackA_pta__dnaA46_del_pta__2,-1.2320075482,-0.1392366323,0.2517150245
ackA_pta__dnaA46_del_pta__3,-1.2832877317,-0.0082624607,0.7345780516
ackA_pta__dnaA46__1,-0.1713072653,-0.14982539590000002,0.2439160964
ackA_pta__dnaA46__2,0.4748491078,-0.2413622561,-0.09884008870000001
ackA_pta__dnaA46__3,-0.5533676310000001,-0.0387484877,0.2820566405
ackA_pta__del_ackA__1,-1.0009787993,0.0534500189,0.9686696840000001
ackA_pta__del_ackA__2,-1.6801885441,-0.2279592249,1.0030969306
ackA_pta__del_ackA__3,-0.9394584637000001,0.00212534,0.7658812747
ackA_pta__del_pta__1,-0.7667117153,0.127204492,-0.2539254272
ackA_pta__del_pta__2,0.0214994384,-0.1382235239,0.2388952182
ackA_pta__del_pta__3,-0.4277609372,-0.0573548672,0.4483919961
ackA_pta__wt__1,-0.19941330370000002,-0.0210249303,-0.0975470261
ackA_pta__wt__2,0.2485342614,0.0883875964,0.1036051889
ackA_pta__wt__3,-0.049120957800000004,-0.0673626661,-0.0060581628
anticancer__5fu__1,0.6220796032,0.0587018835,-0.3886386853
anticancer__5fu__2,0.5484151857,0.061370467000000005,-0.5961956755
anticancer__cap__1,0.0593177307,-0.4131840061,-0.4270431235
anticancer__cap__2,-0.2597423639,-0.5982157836,-0.3032993231
anticancer__cap__3,-0.0103987162,-0.5851376713,-0.4982393497
anticancer__wt__1,0.38431299360000004,0.2390288322,-0.0805977199
anticancer__wt__2,-0.3023625524,-0.0709076647,0.023350898300000002
anticancer__wt__3,-0.0819504412,-0.1681211675,0.057246821600000004
anticancer__5fu__3,0.3791597872,0.1531250414,-0.24807841290000002
bio_pln__aero_pln__1,-0.1358829679,0.0981280535,0.0516460368
bio_pln__aero_pln__2,0.1358829679,-0.0981280535,-0.0516460368
bio_pln__anaero_pln__1,-1.2263976178,-0.1077155622,0.2083329186
bio_pln__anaero_pln__2,-0.5974781602,-0.0403600004,-0.0266796062
biocide__bzcl_12h__1,1.7680818596,0.7255897567,-0.1018651559
biocide__bzcl_12h__2,-4.1668854639,-0.23671844490000002,-0.049136839200000004
biocide__bzcl_12h__3,1.2025012977,0.7914245862,0.1681362416
biocide__etoh_12h__1,0.5220226273,0.10391071460000001,0.18644224180000002
biocide__etoh_12h__2,0.8654287572,0.1656939258,0.33906611140000004
biocide__etoh_12h__3,-0.0033536442000000003,0.1404964641,0.09771676730000001
biocide__gluald_12h__1,-0.5427968736000001,0.0031721304,0.3498902332
