,A,PspF
SRX2723964,0.6758662216,-0.029916774200000003
SRX2723965,-0.0049320068,0.5570855003
SRX2723966,0.3471991813,0.0649323512
SRX2723967,-0.40046570740000004,-0.13227709840000001
SRX2723968,0.0532665261,0.0673447472
SRX6977206,1.6132777365000002,-1.4300925837
SRX6977207,1.5517448146000001,-1.5671436141
SRX6977208,0.5587407938,0.2212208663
SRX6977209,0.5878973589,0.0656277474
SRX6977210,-0.11516139880000001,0.5176179908
SRX6977211,1.1605750766,-0.055121860800000005
SRX6977212,-0.14835279880000002,-0.0343937863
SRX6977213,-1.0122222779,0.089515647
SRX6977214,1.8623157907,-1.9007706501000001
SRX1153733,-0.5052732165,0.3043479604
SRX1153734,0.5052732165,-0.3043479604
SRX1153735,-0.790046597,0.3429884012
SRX1153736,0.0042750786,-0.0817462083
SRX5204053,-0.9783935467,-0.47312102570000003
SRX5204054,-0.7723732090000001,-0.2554459479
SRX5204055,-1.0381052081,-0.23859468190000002
SRX5204056,0.45264576170000004,-0.025866733200000002
SRX5204057,1.0772730575,0.1406933142
SRX5204058,0.7944273416000001,0.1029903227
SRX5204059,0.2914487774,-0.10737073130000001
SRX5204060,-0.7710842018,0.1543965889
SRX5204061,-0.3731601285,0.2476940701
SRX5204062,-0.40538175930000003,-0.0518018055
SRX5204063,-0.4931256355,-0.5692082743
SRX5204064,-0.1803875713,0.1272646475
SRX5204065,1.1554555558,0.3919202366
SRX5204066,1.4842249368,-0.1657537282
SRX5204067,1.40842726,-0.0381693565
SRX5204068,-0.0708072149,-0.11579019630000001
SRX5204069,-0.0583750097,-0.315769805
SRX5204070,-0.3564568085,-0.0020979807
SRX5204071,3.0020213206,0.0378704052
SRX5204072,0.48566969130000004,0.2695927698
SRX5204073,2.2198679062,0.3655527371
SRX5204074,-0.7654275448000001,0.0598914056
SRX5204075,-0.2021642174,0.06523972930000001
SRX5204076,-0.2988847598,0.0575828563
SRX5204077,-0.7405391248000001,0.2977209588
SRX5204078,0.1992308285,0.34879400450000003
SRX5204079,-0.4529805907,0.23906999820000002
SRX5204080,-0.12226839810000001,0.29593352710000004
SRX5204081,-0.1837435463,0.017974658100000002
SRX5204082,-0.40458494310000004,-0.0458685068
SRX5204083,-0.8297686141,-0.1096468607
SRX5204084,-0.9907822444000001,0.15271298460000002
SRX5204085,-1.0776417022,-0.0511491524
SRX5204086,-1.6059924123,-0.9612915371
SRX5204087,1.4397259057,-0.15305456720000002
SRX5204088,0.2743164462,-0.344536532
SRX5204089,0.2916735519,0.1213888899
SRX5204090,-0.40567539999999996,0.1702529586
SRX5204091,-0.3251784633,0.10377337360000001
SRX5204092,-1.689428981,-0.1379942471
SRX5204093,-1.2434555005,-0.014502936400000001
SRX5204094,-0.7294416944000001,-0.0991980298
SRX5204095,0.4731247912,-0.0081064265
SRX5204096,0.0343060784,-0.0963338338
SRX5204097,-0.5074308696000001,0.1044402603
SRX683459,0.29644624210000003,0.1756737418
SRX683460,2.6220250279,1.7232669770000002
SRX683461,0.1857282261,-0.1631800621
SRX683462,3.4252802327,1.4610113892
SRX683463,-0.48217446810000003,-0.0124936796
SRX683464,3.2603406198,1.7038317445
SRX683465,-0.8006134835000001,0.0352684331
SRX683466,0.7768224376,1.6569143593
SRX683467,-0.130953085,0.2852630447
SRX683468,3.0916025477,1.6173806517
SRX683469,-0.7382208666000001,-0.0422953528
SRX683470,0.9801615181000001,1.5047000839
SRX322077,-1.4053112705,0.1646581435
SRX322078,-1.0455158734,0.2812861546
SRX322079,-1.0579966429,-0.031279000200000004
SRX322080,-0.1230282521,0.2435065408
SRX322081,-0.9397321111,-0.2893387953
SRX322082,-0.9301968019,0.1058766485
SRX322083,0.9756358952,0.047065119100000004
SRX322084,0.1487579792,-0.1509252586
SRX322085,-1.1243938744,0.1038601395
SRX2708592,-2.2634918759,-0.0656987358
SRX2708593,-1.6637063783000001,0.42030066380000003
SRX2708594,0.623441031,0.667903651
SRX2708595,0.9228990088000001,0.4793261431
SRX2708596,-0.6751821794,-0.4396552161
SRX2708597,-0.2477168294,-0.039670927
SRX2708598,-1.1242454381,-0.0322379984
SRX2708600,0.5980167977,0.5625086213
SRX2708601,0.1257430685,-0.45562691310000003
SRX2708602,0.6052291702,0.0857398926
SRX2708603,-0.17257893940000002,-0.6899590611
SRX3073814,-0.36460951880000003,-0.1837559236
SRX3073815,3.8342996584,-1.3883484194
SRX3073816,7.1826406673,-2.5270197616
SRX3073817,8.3251925133,-2.1476578958
SRX3073818,8.2798601722,-2.7755564149
SRX3073819,0.736539342,-0.0794561771
SRX3073820,3.9029763152,-2.0558689303
SRX3073821,4.9425968864000005,-2.161610432
SRX3073822,6.6607312294,-2.5976428604
SRX3073823,8.3400498338,-3.077230017
SRX3073824,0.36460951880000003,0.1837559236
SRX3073825,3.0609547849,-1.2053310051000001
SRX3073826,6.5570806865,-2.2005021373
SRX3073827,7.9001579004,-2.1706118045
SRX3073828,7.8954735436,-1.8338944035
SRX3073829,-0.1304366985,-0.0263237358
SRX3073830,3.2933157665,-2.1478639888
SRX3073831,5.3764144955,-2.9320153926
SRX3073832,7.2683338792,-2.5425865281
SRX3073833,7.4025384644,-1.5185887082
SRX2391456,0.0325003286,-0.1313958525
SRX2391457,0.0647473174,-0.3087356314
SRX2391458,-0.053288990200000004,0.1314573272
SRX2391459,-0.052137151400000005,-0.1351496375
SRX2391460,-0.9055427402,-0.07996128620000001
SRX2391461,-0.050433807600000005,0.1808030715
SRX2391462,-0.2575726814,-0.0407075737
SRX2391463,-0.6334533636,0.13755008800000001
SRX2391464,-0.8151512416000001,0.1373455007
SRX2391465,-0.3420340251,-0.20628199200000003
SRX2391466,-0.1601472683,-0.044320710400000005
SRX2391467,-0.1223645102,-0.0694973668
SRX2391468,0.0328390199,-0.0841259678
SRX2391469,-0.0271764141,0.1342083267
SRX2391470,0.7616272168,0.2881388669
SRX2391471,0.7800714515,0.1344736618
SRX2391472,0.8895219238000001,0.3651767031
SRX2391473,0.6448484026,0.1146540838
SRX2391474,0.2295637905,-0.057854364000000005
SRX2391475,0.7749692628,0.33562095270000003
SRX2391476,0.5655021006000001,0.394821491
SRX2391477,0.6768510745,0.1607382302
SRX2391478,1.2556600901000001,0.17182229270000002
SRX2391479,0.0376507909,0.6044478958
SRX2391480,0.728606598,0.1964869099
SRX2391481,-0.5346876751,0.10418083610000001
SRX2391482,0.6829888993000001,0.366430276
SRX2391483,0.0076382274,0.1346363826
SRX2391484,-0.7851749411000001,-0.0193669185
SRX2391485,-0.4209793422,-0.2920121564
SRX2391486,-0.2557195659,-0.2542825294
SRX2391487,-0.6692703606,0.1401579167
SRX2391488,-0.14501891290000002,-0.1145637655
SRX2391489,-0.3601513099,0.014259724100000001
SRX2391490,-0.5620517795000001,0.0117642217
SRX2391491,-0.1723622222,0.09351647490000001
SRX2391492,-1.4920315307,-0.0010913749
SRX2391493,-0.1232756966,0.0263335251
SRX2391494,-1.1668470573,0.0665458285
SRX2391495,0.1223645102,0.0694973668
SRX2391496,-0.2464121018,0.039638916600000004
SRX2391497,-0.17250672120000002,0.08559130720000001
SRX2391498,0.4084684428,0.2770352122
SRX2391499,0.2978455553,0.0857114498
SRX2391500,0.22110618410000002,0.2330067291
SRX2391501,0.43448145860000004,0.2173466742
SRX2391502,0.08190268760000001,-0.2664510775
SRX2391503,0.7827122584,0.6298200512000001
SRX2391505,0.9509641944,0.2634988958
SRX2391506,0.5252007517,0.2659653892
SRX2391507,0.8017107827000001,-0.023608234500000002
SRX2391508,-0.690794529,0.2395420521
SRX2391510,1.1569122172,0.32201063690000004
SRX2391512,1.0204816979,0.1111957314
SRX2391513,0.4803726411,-0.0751046001
SRX2391514,-0.23645199400000003,-0.09398108220000001
SRX5632598,1.5560738096,0.8184781875
SRX5632599,0.8931417493,0.0046831579
SRX5632600,-2.8752646628000003,1.0125211533
SRX5632601,-2.4367759592000002,0.6138831037
SRX5632602,5.1899246771,1.2870635823
SRX5632603,-4.233847517,0.3929256092
SRX5632604,2.2754022498,1.4204909391
SRX5632605,4.7507249415,1.273933818
SRX5632606,-0.39932342460000003,0.5556587052
SRX5632607,0.2571555052,-0.0731691414
SRX5632608,0.0218189716,-0.2223175823
SRX5632609,0.4169182321,0.9115071297
SRX5632610,0.9113010831,0.5985031099
SRX5632611,-0.4387372037,-0.6891895474
SRX5632612,0.6143529827,-0.6774777996
SRX5632613,1.7032406732,0.13682243260000002
SRX5632614,0.3435980602,-0.5686550135
SRX5632615,-0.056512100600000004,-0.9805695692
ERX2874132,13.2968810068,0.4411780127
ERX2874133,13.7503663238,0.2721129015
ERX2874134,-2.4816429121,0.7523103414000001
ERX2874135,-2.0685704632,0.8313243384000001
ERX2874136,1.3860983392000001,0.6406637104
ERX2874137,1.6744380722,0.7919549488000001
ERX2874138,14.5913627996,-0.075124639
ERX2874139,14.9556456177,-0.0857100153
ERX2874140,0.6861187422,0.07706117030000001
ERX2874141,-0.6861187422,-0.07706117030000001
ERX2874142,-0.1172248382,0.45418621680000004
ERX2874143,-0.3538779825,0.43909618980000004
ERX2874144,0.8212687859000001,0.30763002030000003
ERX2874145,1.8405124653,-0.0645690379
ERX2874146,-0.3936627093,0.5915796278000001
ERX2874147,-0.6231920655000001,0.0514074032
SRX1300292,1.1864456818,-0.4238069827
SRX1300293,-1.1864456818,0.4238069827
SRX1300299,4.9997044874,-0.2071084486
SRX1300300,-1.5894644185,-0.4697972926
SRX1300304,-1.6945704683,0.8993656859
SRX1300305,-1.6463063368,0.5620389818
SRX1300306,-3.1468167189,0.7975285236
SRX1300310,-1.6601374907,1.0569424461
SRX1300311,-0.4683918467,0.5923114803
SRX7291195,0.0816233789,0.5289338528
SRX7291196,0.21427253640000002,0.430782125
SRX7291197,0.09743679890000001,0.5265503601
SRX7291198,0.1944668314,0.1176449511
SRX7291199,-0.1750241192,0.0021403407
SRX7291200,-0.0194427122,-0.1197852918
SRX7291201,-0.0509406165,0.5759602923
SRX7291202,0.19066591,0.8721398290000001
SRX7291203,0.22088470810000002,0.6232475329
SRX7291204,0.0486949857,-0.08071004920000001
SRX7291205,0.21995458280000002,0.1710124506
SRX7291206,0.3287929589,0.22008414010000002
SRX2436955,-1.7738872835000001,0.355465719
SRX2436956,-2.2863991375,0.4018838523
SRX2436957,-2.5969078443,0.2760246442
SRX2436958,-2.1218031712,0.48493690920000004
SRX2436959,-1.7705131441000002,0.0224707939
SRX2436960,-0.1623246462,0.3028841786
SRX2436961,-3.0857264233,0.8244037187000001
SRX2436962,0.3321439578,0.4119228552
SRX2436963,-0.6064671242,-0.0218705036
SRX2436964,3.7687287563,0.4452404019
SRX2436965,-0.20751840670000002,0.4143051916
SRX2436966,-0.051860022500000005,-0.0375506036
SRX2436967,-2.8156003646,1.0332064326000001
SRX2436969,-0.5961442312,0.0186399447
SRX2436970,-0.5564393321000001,-0.0188560275
SRX2436971,-2.929871105,0.8630963374
SRX2437029,-0.6112843219,0.6463817783
SRX2437030,-2.1568367707,0.4271737443
SRX2437031,0.3803842913,0.31692218650000004
SRX2437032,0.3575426014,0.45609647200000003
SRX2437033,0.3610545503,-0.2543240329
SRX2437034,-0.2519327202,0.1571687059
SRX2437035,-1.5409791322,0.391407196
SRX2437036,-1.9317066926000002,0.5877338358
SRX2437037,3.7416128721,0.13971076300000002
SRX2437038,-1.4919162747,-0.028830481
SRX2437039,-0.0448128983,-0.0506160343
SRX2437040,-1.3548573343,0.5307047085000001
SRX2437041,-2.0745754268,0.336944571
SRX2437042,1.4844365977,-0.24411306970000002
SRX2437043,3.3763369086,0.270259645
SRX2437044,0.4345193571,-0.24320575660000002
SRX4705203,8.4188229218,0.5727217658
SRX4705204,-0.0389686213,-0.326145307
SRX4705205,0.1714570031,-0.29841519520000004
SRX4705206,0.32910665570000003,-0.32743351190000003
SRX4705207,3.5612933459000002,-0.1077867572
SRX4705208,3.5002108138,-0.350582541
SRX4705209,3.7962035420999998,-0.2627295316
SRX4705210,0.8998666267000001,-0.5513678205
SRX4705211,0.8852904764,-0.2733073254
SRX4705212,1.0896535447,-0.1275466072
SRX4705213,-0.955544445,-0.09670927480000001
SRX4705214,-0.5863046868,0.1091515341
SRX4705215,0.7388497936,-0.0995188822
SRX4705216,-0.7817895225,0.0761501314
SRX4705217,1.044615009,-0.0067804029
SRX4705218,0.5401738517,0.0177068945
SRX4705219,-0.2225709387,0.3300621843
SRX4705220,-0.24412554250000001,0.2558476847
SRX4705221,-0.27653567300000004,-0.3393495673
SRX4705222,-0.8957434765000001,0.1593671201
SRX4705223,8.2312903527,0.5545579913
