,A,RbsR,Crp
SRX5694350,-0.3581436342,-0.1308396319,-1.3897674496999999
SRX5694351,-2.2607239401,-2.0050019437,-0.94657928
SRX5694352,-1.6860985614000001,0.3444765389,-0.11358356480000001
SRX5694353,2.7685420714999998,1.0797243307,0.2090437913
SRX5694354,-1.052101313,0.5641214478000001,0.156288703
SRX5694356,2.2694293785,1.1268540488,0.1914919696
SRX5694357,-1.9092669560000002,-2.2805760713,-1.6521756011000002
SRX5694358,11.9514676377,0.8463731394,-0.2527058608
SRX5694359,-0.1155749625,0.4382638722,-0.30657057660000003
SRX5694360,0.9522486720000001,0.4075028647,-0.2669976047
SRX5694361,-3.5352260964999997,-2.5716375679,-1.0307723459
SRX5694362,1.7946336422,0.2059647567,-0.0309958632
SRX5694363,-2.04730267,0.0007769536,-0.3804310446
SRX5694364,1.2797741067000001,-0.0721790472,-2.3462003852
SRX5694365,0.6935551165,0.6245479025,-0.6041545277
SRX5694366,3.4467438896,1.1060015761,-0.054980210200000004
SRX5694367,-0.48363908710000003,-1.6540209978,-0.7076949831
SRX5694368,4.6391250286,1.5250016241000002,0.1102525246
SRX5694369,-0.7719078069,0.6385823396,-0.0590977866
SRX5694370,2.4795151703,0.8262743665000001,-0.22081801820000002
SRX5694371,0.5192502422,-1.8004431636,-2.3057897995
SRX5694372,0.1693786133,0.487136006,-0.3165443482
SRX5694373,-0.3597092539,-0.0754811432,-1.5399098517
SRX5694374,8.0727268835,-0.284110003,-0.3411830033
SRX5694375,-1.5940255124,0.4996447525,-0.0340696975
SRX5694376,1.5657355436,0.1686740888,-0.31705369640000003
SRX5694377,9.5356226576,0.5941473270000001,-0.5697764494
SRX5694378,1.4376678617,0.6292187088,-0.31765341210000003
SRX5694379,-2.9163936120000002,0.0400018857,-0.25011430100000004
SRX5694380,0.7661870823,0.5796207307,-0.8373204843000001
SRX5694381,-3.8980440085,-3.0495023468,-1.2728116676
SRX5694382,0.2815521428,0.0265165171,-0.025511662
SRX5694383,-1.7452528203000002,0.2535574141,0.1480773849
SRX5694384,0.6586118251,0.0325692037,0.1439389809
SRX5694385,-1.4236250451,-0.4945253653,0.0779751018
SRX5694386,-2.987760792,-1.7533206068,-2.8414442095
SRX5694387,3.4130480516,1.1349230163,0.0426535923
SRX5694388,-5.3700425922,-1.8606678275,-1.6022828696
SRX5694389,-3.3131951405,0.1058365904,-0.0800003088
SRX5694390,-2.0165075729,0.557743887,0.0001683552
SRX5694391,-1.3998227865000001,0.6134356894,0.1315329539
SRX5694392,-4.589350162,0.1189690167,-0.1486598298
SRX5694393,0.38042643540000004,0.3983631909,0.232671539
SRX5694394,-0.10317899920000001,0.6748906071,0.2168248136
SRX5694395,-0.9791332178000001,0.16325238590000002,-0.3791651303
SRX5694396,-1.1352486556999999,-2.2887461713,-0.8353134788000001
SRX5694397,0.5780327828,0.49589995350000005,-0.0202364792
SRX5694398,1.0294041172,0.3867799356,-0.0607073754
SRX5694399,-2.7678502175,-0.2246940278,-0.2527744328
SRX5694400,0.4976238382,0.5688302542,-0.1981004934
SRX5694401,0.0687923812,0.46818898210000004,-0.021523506600000002
SRX5694402,-2.8320317008,-2.1275671823,-2.6700349591
SRX5694403,0.5231103492,-0.7708248541,-0.9103162108
SRX5694404,0.30742579340000004,0.7901267201000001,0.0943710534
SRX5694405,0.8365022515,0.6399905214,-0.1829334597
SRX5694406,-0.2972164212,0.1971414678,-0.3972091841
SRX5694407,0.7698260254,0.4699713479,-0.2638287498
SRX5694408,-0.8474137757,0.577680101,0.0417388443
SRX5694409,-3.4955994818000002,-1.3185047884,-2.2693012292
SRX5694410,0.7292432341,-0.2726820856,-0.1972134109
SRX5694411,-2.080380676,-1.8073751137,-0.8663395759
SRX5694412,0.5389132941,0.7237824303,0.1259657223
SRX5694413,1.8114485617,0.1693724225,-0.6476176532
SRX5694414,-3.8657594223,-3.0637698628,-1.42088019
SRX5694415,-2.0755483722,0.3191829471,0.007690172800000001
SRX5694416,0.1827582847,-0.0265720535,0.0575483496
SRX5694417,0.9413253235000001,0.052502335000000004,0.2665585241
SRX5694418,-1.8751358866,-1.4600069385,-1.9463157999
SRX5694419,0.1932401194,-0.6513589951000001,-1.5689931018
SRX5694420,-0.7478063042,0.40386440170000004,-0.0638843971
SRX5694421,1.3880351604,0.3595256103,-0.6176702001000001
SRX5694422,-3.0239258386,-0.2450927565,-0.058214080700000004
SRX5694423,2.4585640086,0.8449328126000001,-0.3208467193
SRX5694424,-0.0833424091,-0.5577919198,-0.3043319677
SRX5694425,0.7863940593000001,0.3711640819,0.2263080572
SRX5694426,0.12566865730000001,0.5012593548000001,-0.6604587882
SRX5694427,-1.481457312,0.3826481369,0.1652363888
SRX5694428,-1.3003273877,0.45381103850000004,0.073808526
SRX5694429,-1.7510883657,-2.4532894916,-1.4421129371
SRX5694430,-1.6235943672,-0.0445879722,0.0124821121
SRX5694431,-0.7008393683,-0.0376699355,-0.0624036472
SRX5694432,1.6767660447,0.6014457057,-0.3304413054
SRX5694433,1.8927936061000001,0.7239006352,-0.8187488844
SRX5694434,-0.3475001253,-0.8500852123,-0.6212632720000001
SRX5694435,-3.5088152047,-1.824214216,-2.0377494386
SRX5694436,-3.2436115747,-2.3350765457,-2.3919325405
SRX5694437,-3.8063224968,-0.9438274435,-0.2507206522
SRX5694438,-1.466733003,0.1284663728,0.07346573220000001
SRX5694439,7.4013943045,-0.1641611415,0.3143882568
SRX5694440,1.2272767501,0.1290602974,0.1617989176
SRX5694441,-0.41749154860000004,-1.3878501794,-0.4081937196
SRX5694442,-4.8119603938,-1.6394393625,-1.7002395932
SRX5694443,0.36917646800000004,0.093687433,0.1538530863
SRX5694444,-2.5460365382,0.37598011670000003,0.1414549701
SRX5694445,-1.1652891485,-1.0458340332,-1.7943494913
SRX5694446,3.0248537844,0.9750803117000001,0.2193526747
SRX5694447,-1.9040072674,-0.181971651,-0.3849941899
SRX5694448,1.7250758113,0.8648825137,-0.732440443
SRX5694449,-0.8723137965000001,0.43280063820000003,0.1017285234
SRX5694450,4.4166724187,1.4482424897000001,-0.2163555027
SRX5694451,-0.7709899019,-0.12413994760000001,-0.1832599433
SRX5694452,-1.6408542011,-2.4196794888,-0.9702752261
SRX5694453,1.2945623643,-0.4066137697,-0.7029806271
SRX5694454,0.4142106218,0.0409541067,0.2689052974
SRX5694455,0.5884269928,-1.0336580305,-1.7485042558
SRX5694456,1.0929484436,0.4487068583,0.2638014382
SRX5694457,2.0164330038,0.8246131163,0.1813226141
SRX5694459,3.7176271805,1.3847694745,-0.0659537084
SRX5694460,-2.9972173294,-2.0198511815,-2.6935232182
SRX5694461,0.7967116594,0.4017361507,-0.24608755940000002
SRX5694462,-3.5536478619,-0.5262961424,-1.4072956342
SRX5694463,-0.8605197737,0.7923727500000001,0.13500124700000002
SRX5694464,0.5616742672,0.5347544338,-0.16266356510000002
SRX5694465,1.3651549826,1.1969729893,-0.08100398930000001
SRX5694466,-3.4356190736,-0.5868361181,-0.0203257193
SRX5694467,1.0940512832,0.4957566225,-0.0864598209
SRX5694468,6.5357349294,-0.7276647001000001,0.09512308080000001
SRX5694469,-2.0335504169,-0.1956898374,0.056592892000000006
SRX5694470,-0.39703047500000005,-0.1456683242,-0.0203162279
SRX5694471,0.9279460220000001,0.7556921790000001,0.08127249760000001
SRX5694472,1.4925759086000001,0.8134558231,-0.42764759150000003
SRX5694474,0.2003298963,0.1985402545,-0.3318785326
SRX5694475,-0.5402167432,0.2308604036,-0.1072682971
SRX5694476,0.7596349732000001,0.2106917412,0.2832759084
SRX5694477,-2.8138266852,-1.8214570194,-2.220698214
SRX5694478,-3.9800131604,0.11326479910000001,-0.324421403
SRX5694479,-0.1724194453,-0.8775216893000001,-2.078741852
SRX5694480,-1.1118703806,-0.24825495960000002,-0.8986833081000001
SRX5694481,-1.7326568174,0.061747131100000005,-0.39061972300000003
SRX5694482,2.1372627877,0.7927472782,0.5302146851
SRX5694483,-0.702477774,0.2122213976,-0.0648156579
SRX5694484,1.1957703615,0.6551208059,-0.2015433442
SRX5694485,-1.4617898648,0.5546316255,0.0561230447
SRX5694486,0.6233007706,-0.0009492070000000001,0.1840419059
SRX5694487,-0.6727662120000001,-0.0576637444,-0.0687134662
SRX5694488,0.8852268956,0.7395374899,-0.0029101905
SRX5694489,1.4862010426,0.5476922594,-0.2414092729
SRX5694491,0.3047429665,-1.0182764672,-1.3992598427
SRX5694492,0.5048767943,-0.9341341454000001,-1.4757436121
SRX5694493,-1.6581567046,-2.4789053135,-1.5239909109
SRX5694494,1.4803412709,0.5671792014,-0.5778881676000001
SRX5694495,0.3700384083,0.2093747921,0.2383405456
SRX5694496,0.8671838743,-0.1450665271,0.2231626615
SRX5694497,-0.0593897903,-0.37675476680000003,-0.6145709097000001
SRX5694498,-0.4286357724,0.7666213080000001,0.0065499987
SRX5694499,-0.29881145270000004,0.133609887,-0.2166458346
SRX5694500,-5.6354024217,-0.5392998302,-0.6082655704000001
SRX5694501,-0.8585824995,-0.1778987253,0.012213341
SRX5694502,0.8833630407,-0.1232705848,-0.8489028276
SRX5694503,2.2390419321,-0.6029237837,-1.5276697252
SRX5694504,0.7000329108000001,0.1855446751,0.23647347670000002
SRX5694505,-3.3596110648,-1.5302661532,-2.8546736802
SRX5694506,0.2187150125,0.5225974562,-0.6676717403
SRX5694507,0.7261882499,-0.1616988842,0.10364661430000001
SRX5694508,0.2592306844,0.4246008552,-0.8174938777
SRX5694509,0.2473341329,-0.3176233831,-0.1972418484
SRX5694510,-1.8833148408,-0.3220335512,-0.2550231206
SRX5694511,-2.4427405131,0.1376167641,-0.1637807405
SRX5694512,0.1765023255,-0.7194545196000001,-1.3135012281
SRX5694513,-1.1381735643,0.0063389981,-1.2176583871
SRX5694514,-3.071991352,-1.7913020138,-2.7449780099
SRX5694515,-1.3842074411,0.3838597884,0.1674650962
SRX5694516,9.5875721465,0.6146325284,0.7184192778
SRX5694517,0.7839752596,0.9021403006000001,-0.0899811296
SRX5694518,0.38645216590000003,0.3568685621,-0.0284053616
SRX5694519,-0.9145114444,-0.1356457183,-0.4440190169
SRX5694520,0.6743969318,-0.1887282971,-0.3742459546
SRX5694521,1.0106915797,0.48527199390000003,-0.0823108953
SRX5694522,0.1511137687,0.8171602391,0.19009073370000001
SRX5694523,-0.0708546859,1.2126736828,0.1230572979
SRX5694524,0.9277454431000001,0.1936002182,-0.3090692798
SRX5694525,-0.2047671591,-0.2989726299,0.1271493457
SRX5694526,-1.6007855773,-0.24323611280000001,-0.057352962300000004
SRX5694527,-5.0598324359,-0.5220255186,-0.7911037301
SRX5694528,-0.361062519,-0.9815728816,-2.2550692285
SRX5694529,0.4582189245,0.9535481492000001,0.09459037740000001
SRX5694530,0.9536441102000001,0.2674374688,-0.3417330189
SRX5694532,0.7255069469000001,-0.8640576078000001,-0.7655932475
SRX5694533,-0.6776591265,0.39219185570000004,-0.8230648089
SRX5694534,-1.3757363824,-2.234096488,-1.0244460877
SRX5694535,-0.14641854340000002,-0.1337758148,-0.3020521984
SRX5694536,0.9688993066,0.7672115422,0.0940214917
SRX5694537,2.0037405557,0.92423917,0.0455558508
SRX5694538,0.6835076138,0.4814279401,0.22416250880000002
SRX5694539,-3.2761926399,0.1929355767,-0.4554145486
SRX5694540,1.1764443345,-0.7645222627,-0.9496879326000001
SRX5694541,0.48111378060000004,0.4609766302,-0.14394191280000002
SRX5694543,7.5323697834,-0.0506158442,0.257330798
SRX5694544,1.4513855053,0.3698028869,-0.3373228733
SRX5694545,-1.4446632691999999,0.3728190195,0.035948117
SRX5694546,-0.5594594375,0.3049676717,-0.3182627866
SRX5694547,-1.3568849524,0.6827895828,-0.1118469182
SRX5694548,0.2142721903,0.1722403776,-0.0372321217
SRX5694550,-0.1380430233,-0.5761007843,-0.4922607946
SRX5694551,0.4248262944,-0.16296316760000001,-0.4416388787
SRX5694552,-0.9042026146000001,-0.3376948972,0.0105278607
SRX5694553,-0.2156354999,0.1278069398,0.2876777482
SRX5694554,0.4556063468,-0.0632761792,-0.1645882529
SRX5694555,0.5719274402,-0.6074758261000001,-0.8421746734000001
SRX6072760,3.6899759213000003,0.48503526410000003,-0.7797289048
SRX6072761,0.6498398088,-0.2915722396,-0.9412126322000001
SRX6072762,2.7215672216,0.7649125427,-0.555678611
SRX6072763,2.430108643,0.7785968385,-0.38526479500000005
SRX6072764,1.0023954248,-0.4982582365,-1.0984957077
SRX6072765,3.1870342437,0.7542463420000001,-0.4458656036
SRX6376491,-1.0627972326,0.41658649600000003,-0.23661516940000002
SRX6376492,-1.3125280174,-1.8414655706,-1.8181327083
SRX6376493,-2.240714853,-1.8731410782000002,-2.037821897
SRX6376494,-3.5615996389999998,-0.8997830064000001,-2.2059426753
SRX6376495,-1.1191317716,0.5768282733,-0.4792645071
SRX6376496,-1.2973368278000001,0.4110317241,-0.054275376300000004
SRX2723951,-1.1619320742,0.9575063911,1.2971935035
SRX2723952,1.7130058249,2.2066134712,2.020927993
SRX2723953,-2.6451649058,0.3404241597,0.5760517667
SRX2723954,3.9263768354,3.9159278418000003,2.383091682
SRX2723955,-3.0695839422,-0.1427505761,1.2512872247
SRX2723956,-3.0387365409,0.7324932522000001,1.4331106707
SRX2723957,-0.2031647128,0.2439777066,0.1517886605
SRX2723958,-3.6929391309,-0.8566537925000001,-0.2646015759
SRX2723959,0.08932272370000001,0.4920851007,0.256464884
SRX2723960,0.6069094097000001,1.2048910429,0.9591927252
SRX2723961,4.0957739314,3.4343154461,2.5388323397
SRX2723962,-1.9136788719000002,0.7900499701,0.9744724369000001
SRX2723963,-2.6278765102,-0.3786593709,-0.30103145470000003
SRX2723964,-2.7033464192,-0.0380622836,1.2020478367
SRX2723965,-1.3446200397,0.5009478925,0.7380002376
SRX2723966,1.4950964507,-0.0464053625,0.0829169912
SRX2723967,-0.3085505571,0.059790765700000005,-0.075921268
SRX2723968,-1.1865458935,-0.0133854032,-0.006995723200000001
SRX6977206,0.36034606140000003,-0.8847773415,-0.2546401567
SRX6977207,0.3273969773,-0.6589860377,-0.30518404320000003
SRX6977208,5.5165698470999995,1.1769260534,-0.5181824078
SRX6977209,4.8503889047,0.9992916061,-0.675081557
SRX6977210,4.9987782024000005,0.9423655965000001,-0.7835359689
SRX6977211,-0.579514434,-0.1782496327,0.2440588662
SRX6977212,0.4422367217,0.09950829400000001,-0.0309117965
SRX6977213,0.1372777123,0.0787413387,-0.21314706960000002
SRX6977214,0.11570867600000001,-1.3636804170999999,-0.39514538390000004
SRX1153733,-0.38817931650000004,0.1399150805,0.1831441383
SRX1153734,0.38817931650000004,-0.1399150805,-0.1831441383
SRX1153735,-1.4801160096000001,0.2259813236,-0.1003374077
SRX1153736,-1.965876983,0.1303615901,-0.0489066405
SRX5204053,1.229434133,-0.0234134815,-0.1152614403
SRX5204054,-2.4271528856,-0.5028286308000001,0.33069778580000003
SRX5204055,-0.19856819450000002,0.093492118,0.0395780566
SRX5204056,-1.2883874051,0.3234304127,0.0799160108
SRX5204057,-1.3748232476,0.16731383290000001,0.13476163600000002
SRX5204058,-1.1012584174,0.39698527840000003,0.1271931801
SRX5204059,-2.2059073629,-0.16135784620000002,0.3101981754
SRX5204060,-2.3943612319,-0.4770901413,0.16749059400000002
SRX5204061,-2.2141148866,-0.1235378958,0.2033144985
SRX5204062,-1.1763763838,0.1318651097,0.0350800225
SRX5204063,-1.1535715887,-0.30887126460000003,-0.018607714600000002
SRX5204064,-1.0871215904,0.12055350620000001,0.0177745832
SRX5204065,-1.0951289093,0.3814055907,0.1296212176
SRX5204066,-1.3364272999,0.32819921420000003,0.0410003929
SRX5204067,-1.0324342055,0.4327246561,0.1329939336
SRX5204068,-1.656142709,0.029466957300000002,-0.0046637408
SRX5204069,-1.4781076883,-0.47065806800000004,-0.0345939636
SRX5204070,-2.1654903684,-0.158824,-0.0639964626
SRX5204071,-2.2118515894,-0.0995503898,0.2637505564
SRX5204072,-1.6068729955,-0.0493570199,0.1366857256
SRX5204073,-2.108748776,-0.249983838,0.12908140170000001
SRX5204074,-2.2932805544,-0.3941277067,-0.0130459532
SRX5204075,-0.7337319997,-0.09652199610000001,-0.051017588700000005
SRX5204076,-1.9786947987,-0.7057500776000001,-0.0771750924
SRX5204077,-1.2981182983,-0.0104118211,0.0070308263
SRX5204078,-1.6841909885000002,-0.001870616,-0.0562055273
SRX5204079,-0.83549481,-0.10734324170000001,-0.019864096300000002
SRX5204080,-2.508486158,-0.1567079958,0.1456210242
SRX5204081,-3.0432206116,-0.44412428130000003,0.0296414633
SRX5204082,-3.069396532,-1.1543907693,0.1012229557
SRX5204083,-3.0034728228,-0.0170288248,0.0599384649
SRX5204084,-3.5027590076,0.0054655564,0.1659899168
SRX5204085,-2.2806733196,-0.26931982400000004,0.13117654180000002
SRX5204086,0.2124118073,0.2788316827,-0.45115989980000004
SRX5204087,0.3563766163,0.5501393263000001,-0.042227577700000005
SRX5204088,-0.0129395901,0.7393940852,-0.3036384238
SRX5204089,-1.3981828238,0.1235597726,0.0831416516
SRX5204090,-1.7201467115,-0.28620601,0.1639234027
SRX5204091,-2.086171942,-0.011324693200000001,-0.0031211273
SRX5204092,-0.7157248843,-0.2822781562,-0.0810982225
SRX5204093,0.0685948843,0.1290777713,-0.1099524013
SRX5204094,-0.9738146656000001,-0.2721709249,0.0403956206
SRX5204095,-0.2627758656,-0.0465038897,0.2016413779
SRX5204096,0.3112953375,0.027307265600000002,-0.2203103585
SRX5204097,-0.048519472,0.0191966241,0.0186689805
SRX683459,-0.1978706426,0.0571104553,-0.0666339028
SRX683460,-5.589321578,0.6612718128,0.503766096
SRX683461,1.0428777647,0.2888522199,-0.1321270107
SRX683462,-5.669660711,-0.43705171070000004,0.4881845549
SRX683463,-0.8450071221000001,-0.3459626752,0.1987609135
SRX683464,-5.9354186064,0.5628328835,0.5070739993
SRX683465,1.390636689,0.18720428320000002,-0.8734644257
SRX683466,-5.4314693207,-0.2868684046,0.0105121308
SRX683467,0.187569954,0.30267538850000003,-0.3758395962
SRX683468,-4.9536640141,0.3258461569,-0.080117849
SRX683469,0.0422656093,-0.0370488317,-0.5751663553
SRX683470,-5.1619449198,0.0920420044,-0.1688967908
SRX322077,-2.0770140148,-0.7546404472,-0.0693545751
SRX322078,-0.23420646620000002,0.19721276000000001,-0.33321683020000004
SRX322079,0.3615818538,0.2577874114,-0.0393089613
SRX322080,-1.9542334338,-0.2522326922,-0.099687806
SRX322081,0.2906338666,-0.012520998700000001,0.25691065290000004
SRX322082,-1.0080182752,-0.0406708165,0.162327729
SRX322083,0.2802672062,0.2759832518,0.2204930321
SRX322084,-0.7754115634000001,-0.1880347054,-0.4360373755
SRX322085,0.4951443573,-0.08794854640000001,0.2155443434
SRX2708592,-1.7442874551,-1.1276235474,-1.2995977401
SRX2708593,-0.2690348171,-1.0280301499,-1.3858488461
SRX2708594,-1.7335994662,-1.3221364559,-1.1551255076
SRX2708595,0.19770734210000002,-0.10950125250000001,-0.0264047357
SRX2708596,-0.2694861697,0.0834133011,0.1464903964
SRX2708597,0.0717788277,0.0260879514,-0.1200856607
SRX2708598,2.6109704336,0.7632524889000001,-0.2522707463
SRX2708600,0.9630606146,-0.0997185735,-0.2711134562
SRX2708601,1.0124718443,0.1465972939,-0.0595239595
SRX2708602,-0.2923725279,-0.20174107160000002,0.5050291552
SRX2708603,1.052462114,0.4840001036,0.0660056332
SRX3073814,-0.7219638885,-0.2259541465,-0.13018558560000001
SRX3073815,-3.7892174851,-1.5621974018,-1.1339696385
SRX3073816,-2.470649468,-3.832661701,-2.4550083112
SRX3073817,-1.3841456794,-3.1088521731,-4.1870252178
SRX3073818,-2.0459324661,-3.0261645347,-3.2111292318
SRX3073819,-0.7082985596,-0.110061799,0.3613869819
SRX3073820,-3.294405954,-1.0905985793,-0.6674396287000001
SRX3073821,-0.6989324827000001,-2.8834657429,-2.2221447579
SRX3073822,-1.3620078127,-3.5536629802,-3.4198734015
SRX3073823,-0.29994613200000003,-2.8865579095,-3.2339359789
SRX3073824,0.7219638885,0.2259541465,0.13018558560000001
SRX3073825,-3.0366881645,-1.1205088441,-1.2511893155
SRX3073826,-1.2793803142,-3.3442906345,-2.3292575708
SRX3073827,-0.5373611478,-3.5759387193,-4.1135135934000004
SRX3073828,-2.5216116197,-3.1302981712,-3.434645459
SRX3073829,-1.0107029129,-0.2389314562,0.1876233269
SRX3073830,-1.7715461344,-1.4014753433,-1.1638283926
SRX3073831,-1.0602323895,-3.1411197447,-2.0312934097
SRX3073832,-0.267105339,-3.6762256342,-3.5341055024
SRX3073833,-1.572509489,-3.1385421183,-3.0369515843
SRX2391456,1.1592618671000001,-0.16482369090000001,0.1036371583
SRX2391457,2.7518649156,0.5472381676,-0.2296760947
