,A,FecI
misc__bw_delfadr__1,1.6945251021,8.432347015
misc__bw_delfadr__2,2.4787147608,8.5668249947
misc__nitr_031__1,0.9336780678000001,7.4729421386
omics__wt_glu__1,2.2272741812,6.0156521904
omics__wt_glu__2,1.7927522922999999,5.4992619361
omics__wt_gly__1,2.0113123478,6.446780834
omics__wt_gly__2,2.5278379280000003,6.3634672321
omics__wt_thr__1,1.4080995875,5.3107355968
omics__wt_thr__2,2.0323672819,5.6143198192
omics__bw_ac__1,-0.2822838359,6.7319180499
omics__bw_ac__2,0.1363033673,6.952363856
omics__bw_fum__1,1.4445514575,6.8238908826
omics__bw_fum__2,1.6320549525999999,6.842861024
omics__bw_glc__1,2.6908285401,7.3602508461
omics__bw_glc__2,2.1887603486,7.5267904995
omics__bw_pyr__1,1.2785520247,6.7970045334
omics__bw_pyr__2,0.44610653920000004,6.9450282474
ompr__wt_nacl__1,4.4233017095000005,8.924203553
ompr__wt_nacl__2,3.9470147975,8.8143999986
ompr__bw_delompr_nacl__1,6.5117313852,6.9894452841
ompr__bw_delompr_nacl__2,5.9017288997,7.3395948762
minspan__wt_ade__1,1.8202359504,6.3120354929
minspan__wt_glc__1,1.075630096,5.6899762923
minspan__wt_glc__2,0.9146133918,5.5789496411
minspan__wt_glc__3,-0.014763287200000001,5.7159638109
minspan__wt_glc__4,0.5642993258,5.9389374209
minspan__wt_glc_anaero__1,0.0962136469,3.9388244023
minspan__wt_glc_anaero__2,3.156168298,4.1130467092
minspan__wt_trp__1,-0.6209052148,2.9688278896
minspan__bw_delcra_glc__1,-0.22158923460000002,3.8566042273
minspan__bw_delcra_glc__2,0.1109056778,3.4282902922
minspan__bw_delcra_trp__1,-2.1695987679,3.6700184019
minspan__bw_delmntr__1,1.8662896768000001,3.4906861316
minspan__bw_delnac_ade__1,-2.0545820891,7.2422084621
minspan__bw_delnac_glc__1,0.5703891793,4.9192215769
cra_crp__wt_ac__1,2.0397031248,7.5204567312
cra_crp__wt_ac__2,2.779741124,7.7957445218
cra_crp__wt_fru__1,1.4933064293,6.4590812386
cra_crp__wt_fru__2,1.2847169665,6.5780611667
cra_crp__delcra_ac__1,1.6142116087,9.6994355491
cra_crp__delcra_ac__2,2.1091065068,9.7323438038
cra_crp__delcra_fru__1,1.1291676744,9.1104439942
cra_crp__delcra_fru__2,2.1259553292,9.2848092593
cra_crp__delcra_glc__1,1.5109141229,7.1839369694
cra_crp__delcra_glc__2,0.3969270267,7.195573914
rpoB__wt_031__1,-1.2156590279,6.1511967687
rpoB__wt_044__1,0.6915244637,6.7008639288000005
rpoB__wt_lb__1,8.251901193,5.8830591919
rpoB__wt_lb__2,8.2466294718,5.9137680612
rpoB__rpoBE546V_031__1,-0.3968351773,6.1916449483000005
rpoB__rpoBE546V_044__1,-0.6409697669000001,6.7657722337
rpoB__rpoBE546V_lb__1,6.6557444859,5.6754460046
rpoB__rpoBE546V_lb__2,6.187360313,5.9295344021
rpoB__rpoBE546V_glc__1,2.3320368553,7.0922402567
rpoB__rpoBE672K_glc__1,-1.2435070758,6.8002787691
rpoB__rpoBE672K_glc__2,-0.5391085622,6.8174157088000005
rpoB__rpoBE672K_lb__1,-1.0764125567,5.4009847881
rpoB__rpoBE672K_lb__2,-1.2300494779,5.5853512496
crp__wt_fru__1,0.7785439046,6.8600167586000005
crp__wt_glyc__1,0.0868023081,5.9826952454
crp__wt_glyc__2,-0.7990923412000001,6.3155578133
crp__delar1_glyc__1,-0.5098031698000001,7.9336354328
crp__delar1_glyc__2,1.9362134442,7.9994454821000005
crp__delar1ar2_glyc__1,-0.3477502832,6.4760841612
crp__delar1ar2_glyc__2,-0.7104647782,6.6980424922
crp__delar1ar2_glyc__3,-1.6513513729,7.0084783504
crp__delar2_glyc__1,-1.4608596076,5.6156734
crp__delar2_glyc__2,-2.4175271688,5.0815214851
crp__delar2_glyc__3,-2.0143888027,5.1826329202
crp__delcrp_fru__1,-0.8882672783000001,7.5775693603
crp__delcrp_fru__2,-0.7289137236000001,7.2284484492
crp__delcrp_fru__3,-0.4349086445,7.4537051949
crp__delcrp_glc__1,0.8494301185,7.5775828889
crp__delcrp_glc__2,0.8251114899,7.5468876594
crp__delcrp_glc__3,2.2356376755,7.5572613335
crp__delcrp_glyc__1,0.6135013581000001,9.0835091094
crp__delcrp_glyc__2,0.6857788023,8.982303548400001
crp__delcrp_glyc__3,-0.072399432,8.9177019233
glu__glu_ale3__1,4.2139068979,6.2696233577000005
glu__glu_ale4__1,0.3741076739,7.0290882026
glu__glu_ale5__1,0.7068480665,7.0140262991
glu__glu_ale6__1,1.7953758885000002,5.3847551758
glu__glu_ale8__1,1.391227817,6.2396323741
glu__glu_ale9__1,1.3441299359,6.6417400279
glu__glu_ale10__1,1.8677243625000002,5.4031947739
42c__wt_42c__1,-1.0435127727,6.9241198124
42c__42c_ale1__1,3.2915843866,4.4759013158
42c__42c_ale2__1,4.3288142026,7.9316950455
42c__42c_ale3__1,3.0587164541,7.5315669853
42c__42c_ale4__1,1.3983146071,8.773225296
42c__42c_ale5__1,1.2786405768,7.0479910964
42c__42c_ale6__1,6.2186800794,5.6119580529
42c__42c_ale8__1,1.80107131,8.238666829
42c__42c_ale9__1,3.4004651296,7.5026548161
42c__42c_ale10__1,3.0279918716,8.4340003564
ssw__wt_ac__1,4.6432032049,8.9958863093
ssw__wt_glc__1,1.174513157,7.045892191
ssw__wt_glyc__1,1.4476767048,5.1699071422
ssw__wt_xyl__1,0.2429133035,6.9208445864
ssw__glc_ale1__1,1.2676726269,3.3364145283
ssw__glc_ale2__1,0.30583823930000004,2.8414553863
ssw__glc_ale3__1,1.0472349734,3.6403657888
ssw__glyc_ale1__1,2.7555880355999998,4.1461446628
ssw__glyc_ale2__1,1.9740608881,4.0451436097
ssw__xyl_ale1__1,2.0655599643,5.6622504501
ssw__xyl_ale2__1,0.4424747945,6.8263257121
ssw__xyl_ale3__1,2.4699489641,6.8836303944
ssw__glc_ac_ac2__1,1.9962836837000002,8.880626781
ssw__glc_ac_glc1__1,4.734976495,8.4303505458
ssw__glc_ac_glc2__1,-1.2059470996,3.4356874333
ssw__glc_glyc_glc__1,1.4222131545,6.038477843
ssw__glc_glyc_glyc__1,1.2996236462000001,6.2872680585000005
ssw__glc_xyl_glc__1,-1.1585498587,4.6992120797
ssw__glc_xyl_xyl__1,0.2230048574,7.7376451632
pgi__glu4_delpgi__1,5.8220297779,9.7192850514
pgi__pgi_ale1__1,3.4745982351,7.4648292986
pgi__pgi_ale2__1,3.8185542788999998,9.0411830165
pgi__pgi_ale3__1,4.654013182,7.5965761965
pgi__pgi_ale5__1,5.6055148947,5.8672111463
pgi__pgi_ale6__1,5.0229160001,6.1765539352
pgi__pgi_ale7__1,2.1717530549,6.0292428578
pgi__pgi_ale8__1,3.8838912636,5.6409040946
ica__wt_glc__1,1.4043545370000001,5.9252154049
ica__wt_glc__2,0.7621570647,5.7309628224
ica__wt_glc__3,1.889081999,8.0580169343
ica__wt_glc__4,0.358427033,7.4557730302
ica__arg_sbt__1,0.1823891776,5.848637024
ica__arg_sbt__2,0.2978404569,5.987841437
ica__cytd_rib__1,2.2443786627,4.6509642238
ica__cytd_rib__2,2.2860948131,4.4716319425
ica__gth__1,4.2060663579,7.62942592
ica__gth__2,5.0785444773,7.5578881877
ica__leu_glcr__1,-0.4043176506,5.7784508388999996
ica__leu_glcr__2,-0.879331406,6.2580079167000005
ica__met_glc__1,1.9421129188,5.7933537026
ica__met_glc__2,0.8634518747000001,5.9981314689000005
ica__no3_anaero__1,-0.2966730755,7.6022454688
ica__no3_anaero__2,0.1679835829,7.904123174
ica__phe_acgam__1,-0.9566384498,6.163663136
ica__phe_acgam__2,-0.5066589056,6.3621814899
ica__thm_gal__1,0.2107436776,6.0510390721
ica__thm_gal__2,0.34766078770000003,6.1367360074
ica__tyr_glcn__1,-0.5171768794,5.504537972
ica__tyr_glcn__2,-0.24666720600000003,5.4609403532
ica__ura_pyr__1,0.22950330330000002,7.4520515752
ica__ura_pyr__2,1.6964396212000001,7.2441512046
ica__wt_glc__5,0.8407862020000001,5.3502074695
ica__wt_glc__6,1.1631210763,4.9913559511
ica__bw_delpurR_cytd__1,0.7974591390000001,6.3462075064
ica__bw_delpurR_cytd__2,1.3927687869,6.4984870049
ica__ade_glc__1,2.4747336606,6.2299182536
ica__ade_glc__2,2.6779526056,6.2725264343
ytf__wt_glc__1,1.5776321919,8.0590022109
ytf__wt_glc__2,-0.2188387763,7.3699258116
ytf__delyafC__1,-1.4191889777,4.2631060851
ytf__delyafC__2,-0.5369425779,4.7039206985
ytf__delyeiE__1,-0.1463214242,4.6282315242
ytf__delyeiE__2,-2.0064229599,4.0387647096
ytf__delyiaJ__1,-2.8100107737,3.7562515704
ytf__delyiaJ__2,-1.5507458783999999,4.230042615
ytf__delyieP__1,0.8030948482,6.2077122811
ytf__delyieP__2,0.36711178850000004,6.3929730506
ytf__wt_ph5__1,1.2297645347,7.5716232661
ytf__wt_ph5__2,0.7650526604,7.4247242717
ytf__wt_ph8__1,2.3379497796,8.6432306482
ytf__wt_ph8__2,2.4467232297,8.8332981159
ytf__delybaO__1,-1.9547682965000002,4.2113890321
ytf__delybaO__2,-0.2742336163,4.6985950636
ytf__delybaQ__1,1.5086035146999999,6.7861194937
ytf__delybaQ__2,1.5336117135,6.8345558685
ytf__delybiH__1,2.5910009722,8.4668432846
ytf__delybiH__2,2.0865392213,9.0368546513
ytf__delydcI_ph5__1,0.9615230792,7.1141506867
ytf__delydcI_ph5__2,0.7128336430000001,7.0380480217
ytf__delydcI_ph8__1,2.5729115636,9.0913242643
ytf__delydcI_ph8__2,2.5262321894,8.4818817229
ytf__delyddM__1,-0.4260192659,5.5609169067
ytf__delyddM__2,-1.0105378773,5.6945063932
ytf__delyheO__1,-2.1486098511,4.330697743
ytf__delyheO__2,-0.17697231160000002,4.6392257652
fps__bw_glc__1,1.3608302183,6.790215564
fps__bw_glc__2,0.7762177990000001,6.6661692674
fps__fps_thrA_ale1__1,0.6567802579,6.4649218055
fps__fps_thrA_ale1__2,0.3636240469,6.2741228902
fps__fps_thrA_ale2__1,-0.7681039006,6.0892652848
fps__fps_thrA_ale2__2,-0.10989359700000001,6.1228469135
fps__fps_serB_ale1__1,0.45187278070000003,6.7744377492000005
fps__fps_serB_ale1__2,0.4430287987,6.8102577379
fps__fps_serB_ale4__1,2.3591584684,7.227331856
fps__fps_serB_ale4__2,2.315849132,7.4550350851000005
fps__fps_ptsI_ale1__1,0.8241648533,6.0434394857000004
fps__fps_ptsI_ale1__2,0.4498894814,6.0861790292
fps__fps_ptsI_ale3__1,0.0861598371,5.9275533329000005
fps__fps_ptsI_ale3__2,0.1323543574,5.8949853657
pal__lyx_ale2_f6__1,0.408169926,7.0566587546
pal__lyx_ale2__1,1.0890088957,6.1203773577
pal__lyx_ale2__2,-0.0948777767,6.267258123
pal__lyx_ale4__1,1.0890088957,6.1203773577
pal__lyx_ale4__2,-0.0948777767,6.267258123
pal__5drib_ale10_f18__1,0.2398984197,6.3459208908
pal__5drib_ale10_f18__2,-1.4200085281,5.8514717566000005
pal__5drib_ale10__1,0.8766458536,6.552285814
pal__arab_ale14_f9__1,1.1192994599,6.7830436844
pal__arab_ale14_f9__2,1.7303436486,6.7593369726
pal__arab_ale14__1,0.3096782367,5.7354164046000005
pal__arab_ale14__2,0.7958900387000001,6.2489711603
pal__arab_ale16__1,0.24257874570000001,7.2652179924
pal__arab_ale16__2,1.1338064571,7.0611115561
pal__tartr_ale26_f10__1,3.2317182432,6.9723082745
pal__tartr_ale26_f10__2,3.1800380276,7.3187702581
pal__tartr_ale26__1,2.7393831287,7.0263901109
pal__tartr_ale26__2,2.6822034052,7.1805332614
pal__tartr_ale28_f10__1,0.4933594925,6.2404861812
pal__tartr_ale28_f10__2,2.7144066812,6.8855914549
pal__tartr_ale28__1,2.2634612023000003,5.9333362106
pal__tartr_ale28__2,2.4954715309,6.0131586294
efeU__delmenFentC_citr__1,11.8185059801,6.0899844876
efeU__delmenFentC_citr__2,11.5403669223,6.0480487477
efeU__delmenFentC__1,3.3450344546,9.5092511646
efeU__delmenFentC__2,3.2404324328,9.592507103300001
efeU__menFentC_ale39__1,-3.7035955093,4.1506303309
efeU__menFentC_ale39__2,-2.7506429426,3.7774112947000003
efeU__menFentC_ale29__1,7.7644268549,6.6130576999
efeU__menFentC_ale29__2,8.760619472,6.5930698352
efeU__menFentC_ale30__1,7.8211277106,5.2479597188
efeU__menFentC_ale30__2,7.7034097625,5.9673294485
efeU__menFentCubiC_ale36__1,-2.8843361358,8.7362919661
efeU__menFentCubiC_ale36__2,-2.3671381348000002,8.6504049657
efeU__menFentCubiC_ale37__1,-4.1103935394,9.1304878214
efeU__menFentCubiC_ale37__2,-3.6344054483,8.9260671778
efeU__menFentCubiC_ale38__1,-0.5191130194,5.2145439532
efeU__menFentCubiC_ale38__2,-1.9472740644000002,6.3619485898
