,A,SgrR,DksA
abx_mega__nor_naoh__2,0.050743755700000004,0.1821376033,-0.31636876610000003
abx_mega__amyc-d_dmso__2,1.1212516812,0.3593092833,0.5787198654
abx_mega__polmyx_h2o__3,3.0184946815,1.950500563,0.3660417513
abx_mega__naoh-6__1,-0.2540661334,0.7143032736,-0.36239417760000003
abx_mega__cst_h2o__2,0.7999129774,0.5678375778,0.059364920200000004
abx_mega__h2o-1b__2,2.4251268957,0.1574701372,-0.8958578769000001
abx_mega__rfp_h2o__1,0.8740466514,0.6278932930000001,1.0262994789
abx_mega__tet_h2o__1,-0.8423886678,-1.1055767059,-0.0952412805
abx_mega__flavo_dmso__1,2.08796022,0.2077719687,0.1710652292
abx_mega__zeocin_h2o__1,1.0867655571000001,0.5724837618,-0.36584136840000003
abx_mega__nor_naoh__3,0.1449387943,-0.0060809383,-0.3541855899
abx_mega__rach_dmso__2,0.6197244556,0.1984489434,-1.0643612056
abx_mega__thio_dmso__2,0.9630362453,-0.4301963351,-0.6224541947000001
abx_mega__amyc-d_dmso__3,0.7115638455000001,0.07820849810000001,0.7773529769
abx_mega__rif_dmso__2,0.2521393804,1.3465361777,0.1631230618
abx_mega__amyc-d_dmso__4,0.368871276,-0.319541093,0.3487348609
abx_mega__teix_dmso__3,1.1843999967,-0.0148565082,-0.4761936906
abx_mega__valin_dmso__1,0.6634293545000001,0.5880526859,1.08445114
abx_mega__teix_dmso__4,-0.1292535168,-0.0042793707,-0.3535643456
abx_mega__ethanol-10__1,0.7442375291000001,0.8789610994,-0.6857625580000001
abx_mega__inh_h2o__1,-0.0139326863,0.5247004359,-0.7084154291
abx_mega__rif_dmso__3,0.6780759956,-0.0647428754,1.0735694525
abx_mega__van_dmso__3,0.36623764950000004,-0.0268286346,0.1768441288
abx_mega__doxo_dmso__1,1.1874565507,0.6754616969,0.013947737600000001
abx_mega__tmp_dmso__1,-0.1536531383,-0.1988084313,-0.41450732700000004
abx_mega__ethanol-10__2,-0.0706603437,0.6451515701,-0.5246727524
abx_mega__tmp_dmso__2,-0.0234139118,-0.4489256625,-0.5190014335
abx_mega__amyc-d_dmso__5,-0.1099785746,-0.7317293216,0.7127983846
abx_mega__novo_h2o__4,6.9707139261,0.6147026991,-0.6354766983
abx_mega__cro_h2o__2,0.9463320834000001,0.7839393629,-1.5678141209
abx_mega__cro_h2o__3,0.7667843235,0.3996272963,-1.2345564901000001
abx_mega__gen_h2o__2,3.3041668027,1.6772284408,1.0689218194
abx_mega__phos_h2o__4,2.709092373,1.6826445545,0.6400824561
abx_mega__metro_dmso__2,-0.6394353039,0.5110608595,-0.0912576615
abx_mega__ery_h2o__2,4.20863114,-0.36102287780000003,-1.1065067019
abx_mega__sacet_h2o__1,-0.39794999600000003,1.491467799,-0.41985398100000004
abx_mega__nal_naoh__5,-0.8403142674,-0.1176612076,-0.40819962060000003
abx_mega__bacit_h2o__4,2.5065012738,0.1328749462,0.6760975843
abx_mega__cip_naoh__3,-0.1345760905,-0.0418059333,-0.7121262563
abx_mega__ethanol-8__1,0.0411235066,0.3474028075,-1.0177504126
abx_mega__h2o-8a__1,1.1281730013,0.39004097870000004,-0.5237962713000001
abx_mega__ery_h2o__3,1.481066749,-0.3758852285,-1.6952586682000002
abx_mega__flavo_dmso__2,1.2542407117,0.7172975496,-1.3770742384
abx_mega__rif_dmso__4,0.3669644372,0.6770195626000001,0.9345906848000001
abx_mega__novo_h2o__5,7.1063556991,-0.1559861831,-0.5952857154
abx_mega__teix_dmso__5,0.572602685,-0.0414568872,-1.0696603748
abx_mega__naoh-2__1,2.2217039565,1.0013132275,0.1315297219
abx_mega__novo_h2o__6,6.0073377563,0.043304318200000004,-0.9374782446000001
abx_mega__ctx_h2o__3,0.6879382425,0.6541609708,-1.4956127749
abx_mega__rach_dmso__3,1.1307584668,-0.32334321520000003,-0.9396772857000001
abx_mega__valin_dmso__2,0.7255985687000001,0.4506269707,0.3719371446
abx_mega__amyc-d_dmso__6,-0.17225183,-0.2643070423,0.7021786564
abx_mega__dox_dmso__2,-0.1574035593,0.4928927735,0.4949182972
abx_mega__teix_dmso__6,0.47775488180000003,-0.12904721260000002,-1.0644481708
abx_mega__naoh-6__2,0.3303162515,0.6411909339,-0.41399600210000004
abx_mega__inh_h2o__2,0.4971657983,1.4028549287,-1.6955392754
abx_mega__chl_h2o__3,0.9434909759000001,0.071229386,-1.1464032076
abx_mega__nal_naoh__6,-0.42221157270000004,-0.1179002524,-0.3090133799
abx_mega__chl_dmso__2,0.8287644258,0.1704025029,0.7507226407
abx_mega__rach_dmso__4,-1.2318341769,0.5258395887,-1.4328351897
abx_mega__teix_dmso__7,0.8951082627,0.3026056085,-1.0064876157
abx_mega__ceru_ethanol__1,0.3177949646,1.095412554,-0.5134403208
abx_mega__dmso-7__1,-0.7267745487,-0.1387768866,-1.3445810974
abx_mega__naoh-6__3,-0.4625547788,0.6186598225000001,-0.37449435340000004
abx_mega__phos_ethanol__2,0.8383391603,0.7260886525,-0.9853820798
abx_mega__metro_dmso__3,1.1747567198,0.7427518605,-0.1171962431
abx_mega__van_dmso__4,-0.5057424424,-0.5472000092,0.1458325385
abx_mega__h2o-10__1,1.0538541507,0.2853011619,-0.5422610031
abx_mega__h2o-10__2,1.0234754093,0.8159707626,-0.3387883521
abx_mega__dmso-6__3,-1.747891705,-0.1036829923,-0.0903261711
abx_mega__mem_dmso__1,0.3401881625,0.1311078943,-1.3409204355
abx_mega__ethanol-8__2,0.413453326,0.4437926162,-0.3777948351
abx_mega__chl_h2o__4,1.3323738202,-0.0400560668,-1.0727130494
abx_mega__van_h2o__1,1.4623539563,-0.4265761974,0.7046135893000001
abx_mega__dcs_h2o__1,1.1629154498,0.6624877555,-1.1753780495
abx_mega__rif_dmso__5,-0.1592845943,0.642551466,0.3325371885
abx_mega__dox_dmso__3,-0.8236749511,-0.1787316316,-0.0718394443
abx_mega__mem_dmso__2,0.6651787853000001,0.114831469,-0.9393288181
abx_mega__lvx_dmso__2,-0.4400935407,-0.2242930387,-0.6611010356
abx_mega__tet_h2o__2,2.3716037163,0.0951075313,-1.7028385763
abx_mega__phos_h2o__5,0.6318100915,1.6014181979000002,0.3502689351
abx_mega__monac_dmso__1,-0.6376411574,0.8797138364,-0.8011182626000001
abx_mega__str_h2o__3,0.1952855533,1.0268174904,-0.1784521724
abx_mega__zeocin_h2o__2,2.0817591004000002,2.004687274,0.1198518174
abx_mega__amyc-d_dmso__7,-1.2326928519,0.0941252714,0.7354116947
abx_mega__fidax_dmso__1,-0.19149565540000002,0.2697266162,-0.6110729892
abx_mega__h2o-1a__1,-0.23054127400000002,-0.0581309797,0.0691907586
abx_mega__dox_dmso__4,-1.1349430692,0.6531016494,0.3414524069
abx_mega__lzd_dmso__2,1.0460797021,-0.0731372183,-1.1542465683
abx_mega__tet_h2o__3,-0.5370186547,-0.7297560937,0.0478525708
abx_mega__dmso-1__2,-0.9861877855000001,-0.7149234710000001,-0.3499324023
abx_mega__sxt_dmso__2,1.0294245438,0.2970814516,-0.43557479720000003
abx_mega__tric_ethanol__2,-0.3538406075,1.2398666081,-0.5513841421
abx_mega__teix_dmso__8,1.1426502419,-0.4827789282,-0.10373164280000001
abx_mega__ramo_h2o__2,3.4055360733,0.8598760728,0.2270982299
abx_mega__inh_h2o__3,0.8249443162000001,0.6779691436,-0.6376971432
abx_mega__cst_h2o__3,1.4291110162,-0.1247345071,-0.3760324049
abx_mega__dmso-9__1,-0.2244367387,0.454057219,-0.46519328870000004
abx_mega__ethanol-8__3,-0.6910134796,0.7345587719000001,-0.7822723891000001
abx_mega__monac_dmso__2,-0.986038014,0.1554286664,-0.9004408757000001
abx_mega__dmso-9__2,-0.4656312218,0.35689182620000004,-0.6005458013
abx_mega__metro_dmso__4,0.1180737164,0.6409185513,0.0642187768
abx_mega__ctx_h2o__4,0.9038546277,0.5853266567000001,-1.7330636676000002
abx_mega__zeocin_h2o__3,2.7278434462,2.2966806612,0.7704900631
abx_mega__bacit_h2o__5,2.4935203036,1.0472632826,0.5167951557
abx_mega__reta_dmso__1,-0.0605275235,0.1289868082,-0.7978517958
abx_mega__ery_h2o__4,2.3289196616,-0.1080177325,-2.169273553
abx_mega__ceru_ethanol__2,0.016642221000000002,0.934140925,-1.5459389284
abx_mega__fidax_dmso__2,0.471488693,0.3180636552,-0.6247802446
abx_mega__novo_dmso__1,5.9591995182,0.4568945963,0.0886342678
abx_mega__naoh-6__4,-0.3592670194,0.23168116030000002,-0.36644001
abx_mega__amyc-d_dmso__8,0.8436141265,0.40828819380000003,0.46067032760000004
abx_mega__chl_dmso__3,1.0894902313000001,0.1045137181,0.4017623739
abx_mega__nal_naoh__7,0.8015995714,0.3997863164,-0.8452471641
abx_mega__teix_dmso__9,0.2853060793,-0.0038096059,-1.0201044064
abx_mega__ery_dmso__3,1.0704403897,0.3551295025,0.044110105000000004
abx_mega__tmp_dmso__3,-0.7747616423,-0.2710017422,-0.4793026307
abx_mega__sxt_dmso__3,-0.4018587863,0.5947547956,-1.8499483511
abx_mega__polmyx_h2o__4,4.2361313318,1.6990520424,0.37634445650000004
abx_mega__mem_dmso__3,0.7311603969,0.30544301300000004,-0.6026887206
abx_mega__nal_naoh__8,0.5805784868,0.6824813657000001,0.1422954123
abx_mega__pen_h2o__3,1.0893319797,0.6058438616,-0.4139112641
abx_mega__van_dmso__5,0.0813972588,-0.9465338526,0.1553606494
abx_mega__zeocin_h2o__4,1.2776999505,1.9168412499,0.1869534046
abx_mega__h2o-6__2,0.0327549366,0.2593458837,-0.5345277824
abx_mega__tet_h2o__4,0.8002527301,-0.7230373646,0.0091161821
abx_mega__nor_naoh__4,0.2163139379,0.3709646588,-0.8149179079000001
abx_mega__cip_naoh__4,0.6351685727,0.1930497043,-0.7337431354
abx_mega__tmp_dmso__4,0.0411855458,-0.0320248728,-0.8798204046
abx_mega__reta_dmso__2,1.6845481102000002,0.6467878018000001,-2.4252963485
abx_mega__mem_dmso__4,1.1175149411,1.0284172449,-1.571116419
abx_mega__dox_dmso__5,-0.1386842475,0.31449154,-0.1059502531
abx_mega__tmp_dmso__5,0.6060327480000001,-0.18598078,-0.9757366008
abx_mega__flavo_dmso__3,0.3761968814,0.6733013138,-1.4386826231
abx_mega__tmp_dmso__6,0.5672373449,-0.7599032155000001,-1.2275599565
abx_mega__ceru_ethanol__3,-2.0393849523,1.0451765375,-0.917754595
abx_mega__teix_dmso__10,0.4343715107,0.0184187173,0.1252603962
abx_mega__novo_h2o__7,6.3593821284,0.5597102394,-0.9901763855000001
abx_mega__fidax_dmso__3,0.7282988525,0.521514463,-0.3895469009
abx_mega__h2o-1a__2,0.017657046500000002,-0.0757972994,-0.031577787
abx_mega__dcs_h2o__2,1.2142513714,0.2860283135,-0.5867701361000001
abx_mega__cst_h2o__4,0.8756584083000001,0.1231298484,-0.1991091214
abx_mega__van_h2o__2,1.999097123,0.3437514591,0.25873266570000003
abx_mega__pen_h2o__4,1.6251065437999999,0.5704070565,-0.7574178195
abx_mega__h2o-8b__2,-0.730151132,0.6831460124000001,-1.0541472706
abx_mega__reta_dmso__3,1.1490304616,0.5140034129000001,-2.2830549081
abx_mega__dmso-7__2,-0.20382072510000002,0.4348175053,-1.2829112334000001
abx_mega__rfp_h2o__2,0.9073068408,0.6500888481,1.0596320384
abx_mega__rif_dmso__6,0.7936501522,0.8101540884,0.9230987954000001
abx_mega__sxt_dmso__4,0.1215930692,0.5108441889,-1.6342728147
abx_mega__cip_naoh__5,-0.0324668304,0.2204677744,-0.2433947682
abx_mega__dmso-9__3,0.310913097,0.205236736,-0.8743358784
abx_mega__mem_dmso__5,1.1736184605,0.5565832405,-1.3750109793
abx_mega__tric_h2o__2,-0.5428981536,1.5310213682,-0.38438979360000003
abx_mega__phos_h2o__6,0.2631500686,0.3697257061,-0.6699357975
abx_mega__h2o-7__2,0.64310475,0.9340978131000001,-1.1547598209
abx_mega__h2o-10__3,0.809881771,0.4862299155,-0.5294604192
abx_mega__h2o-8a__2,0.36780435300000003,0.4163916467,-0.3928269915
abx_mega__thio_dmso__3,0.9723441104,0.3044213202,-2.2245428139
abx_mega__lzd_dmso__3,1.6739187647,0.31020688760000004,-1.3771484085
abx_mega__monac_dmso__3,-1.6397901583999999,-0.188429555,-0.0786628565
abx_mega__polmyx_h2o__5,2.1264525786,0.6854433672,-0.2835812093
abx_mega__naoh-6__5,0.2049945296,0.490502441,-0.5021661505
abx_mega__teix_dmso__11,0.50075241,0.1179821763,-0.41804929230000004
abx_mega__van_h2o__3,2.3120457362,0.2216857104,0.35412912490000004
abx_mega__teix_dmso__12,1.3610223281,0.030150096,-0.6166606756
abx_mega__dox_dmso__6,4.06542032,1.5879189866,1.5901263975000002
abx_mega__teix_dmso__13,2.8234425522,0.3253570161,-0.4244751994
abx_mega__h2o-7__3,-0.3652633689,0.2150946418,-1.4182270162
abx_mega__str_h2o__4,3.6268056561,1.3472542528,0.1392238338
abx_mega__tec_h2o__3,4.0593655347,1.2364529295,0.8014953929
abx_mega__phos_h2o__7,0.4992353359,0.3980842718,-0.6735589682
abx_mega__chl_h2o__5,3.5187033294,-0.6335033824,-1.3675863194
abx_mega__polmyx_h2o__6,2.1860339059,2.2708867403,0.3597141682
abx_mega__teix_dmso__14,0.8506543582,0.2262037958,-0.5610848153
abx_mega__rif_dmso__7,0.0945842841,1.1318713555,0.5196732625
abx_mega__ramo_h2o__3,2.5768063995,0.7376962173,0.348969034
abx_mega__fidax_dmso__4,0.8989169767,0.2686903867,-0.1824112344
abx_mega__teix_dmso__15,0.47590667880000004,0.2420836774,-0.8450917606
abx_mega__thio_dmso__4,0.8592987332,-0.07061233160000001,-2.082523084
abx_mega__rif_dmso__8,0.9980813104,0.5177640169000001,1.1357380366
abx_mega__reta_dmso__4,2.0485410663,0.5162179737,-2.0291746834
abx_mega__inh_h2o__4,0.8607914657,1.7706107334999999,-1.7340444698000002
abx_mega__novo_dmso__2,5.5208682596,0.28659853760000004,0.0631771414
abx_mega__dcs_h2o__3,0.1952479695,0.3003791375,-1.2092358348
abx_mega__h2o-8b__3,-0.07560708740000001,0.2949148458,-0.9174711914
abx_mega__valin_dmso__3,-0.0258301013,-0.3704751088,0.9292488409
abx_mega__h2o-2__1,2.1782255321,1.4892190072,0.5037139462
abx_mega__cro_h2o__4,0.35873723620000003,0.6397480538,-0.7130568700000001
abx_mega__dcs_h2o__4,0.5403551606,0.4131971971,-1.4006765258
abx_mega__str_h2o__5,0.6846222181,0.8354114467,-0.384609015
abx_mega__h2o-8a__3,0.5353067056,0.481959697,-0.7433492825
abx_mega__dox_dmso__7,-1.0018877733,0.5751504230000001,0.39001145660000003
abx_mega__doxo_dmso__2,1.372682698,0.8641540275,0.0318658517
abx_mega__teix_dmso__16,3.0728452103,0.1636155192,-0.34745616300000004
abx_mega__rfp_h2o__3,0.9309785456,0.7129967432000001,1.0163238314
abx_mega__ethanol-10__3,0.5105443771,0.5488041683,-0.7347110385000001
abx_mega__naoh-2__2,0.4433378724,1.706264348,0.5195180661000001
abx_mega__van_h2o__4,1.9398535604,-0.0801124996,0.7878876425
abx_mega__sacet_h2o__2,-0.5820947063,0.8587717122,-0.34869558240000004
abx_mega__monac_dmso__4,-0.20187392910000002,0.5615022797,-0.6259057211
abx_mega__h2o-2__2,0.2301710959,1.4721410615,0.2787714211
abx_mega__zeocin_h2o__5,0.9595721312000001,0.781091815,-0.3595264066
abx_mega__nor_naoh__5,-0.015409372900000001,-0.11469720450000001,-0.8679491588
abx_mega__naoh-9__2,0.2265776734,0.6980356749000001,-0.7946764752000001
abx_mega__dmso-7__3,0.2432614947,0.3204541557,-1.5067211631
abx_mega__van_h2o__5,2.377544145,-0.5296628336,0.5763680181
abx_mega__flavo_dmso__4,0.4284132002,0.46678051340000004,-1.4311050286
abx_mega__novo_dmso__3,6.1782073259,0.3219834334,-0.2558812988
abx_mega__polmyx_h2o__7,0.8642819468,0.1712167734,-1.0631106757
abx_mega__teix_dmso__17,0.9037422611,-0.0724556674,-0.8264912114
abx_mega__doxo_dmso__3,1.139450554,1.3187652217,-0.09547435330000001
abx_mega__mem_dmso__6,0.6490067379000001,0.3191325964,-0.5022335114
abx_mega__h2o-1a__3,0.21288422740000001,0.1339282791,-0.0376129716
abx_mega__bacit_dmso__3,0.2787667913,1.1013155421,0.9732095405000001
abx_mega__dox_dmso__8,0.232512976,1.2263155173,1.1855126913
abx_mega__teix_dmso__18,-0.0281403087,-0.1390649303,-0.2443495203
abx_mega__h2o-6__3,-0.1687428344,0.6445015150000001,-0.5393117402000001
abx_mega__pen_h2o__5,0.6440839220000001,-0.22141961270000002,0.4775416632
abx_mega__lzd_dmso__4,1.241077094,0.3535124974,-1.0263430997
abx_mega__daro__1,1.2115777966,0.06433389070000001,-0.3428712887
abx_mega__solv__1,2.1410431765,0.2965595881,-0.3083721229
abx_mega__daro__2,0.46946647300000005,0.22494074320000002,-0.1707255945
abx_mega__daro__3,1.4524477454,0.6939820377,0.1428619425
abx_mega__solv__2,1.4845712309,-0.1270490258,-0.9655616608
abx_mega__solv__3,1.0077201692,0.4946664243,0.1294630341
abx_mega__dmso-4__1,-0.056935424400000004,0.8698179311,-0.0896921183
abx_mega__kirr_dmso__1,2.1033030492,-0.7577992049000001,-1.2101033617
abx_mega__kirr_dmso__2,1.9431409107,-0.5940027026,-1.2290827352
abx_mega__kirr_dmso__3,4.4642868964,0.0677716901,-1.0803041385
abx_mega__dmso-4__2,-0.010261973300000001,1.0387286717,-0.09187795750000001
abx_mega__dmso-4__3,-0.4087586344,0.3313950782,0.0733693529
ackA_pta__dnaA46_del_ackA__1,-1.6936786411,0.0709802719,0.196012406
ackA_pta__dnaA46_del_ackA__2,-1.1314186498,0.4815085576,0.6079058310000001
ackA_pta__dnaA46_del_ackA__3,-0.8314254050000001,0.294202754,0.2361118931
ackA_pta__dnaA46_del_pta__1,-2.5295043399,0.6344804978,1.1628890098
ackA_pta__dnaA46_del_pta__2,-1.2173590234,-0.2870262319,-0.010576070100000001
ackA_pta__dnaA46_del_pta__3,-0.4589726395,0.49750440830000003,0.1896194094
ackA_pta__dnaA46__1,-0.20717133810000002,0.0108368418,0.0591269184
ackA_pta__dnaA46__2,1.0073228622,0.0005731836,-0.28179835400000003
ackA_pta__dnaA46__3,-0.3117477455,-0.0196807253,0.1202351447
ackA_pta__del_ackA__1,-2.3742694866000003,0.3580350967,0.2618332897
ackA_pta__del_ackA__2,-2.3643630545,0.9061554211,0.8823509394
ackA_pta__del_ackA__3,-1.7661348830999999,0.31638045530000003,-0.007193932100000001
ackA_pta__del_pta__1,-0.308324776,-0.1505103073,-0.4915067732
ackA_pta__del_pta__2,-0.8482047014,0.1486301408,0.2395755377
ackA_pta__del_pta__3,-0.847979055,0.1647669559,0.0519526259
ackA_pta__wt__1,-0.2262325336,-0.08672377910000001,0.2318098408
ackA_pta__wt__2,-0.1006042998,0.004595035700000001,-0.16258154630000002
ackA_pta__wt__3,0.3268368334,0.08212874340000001,-0.06922829450000001
anticancer__5fu__1,0.6259454122,-1.2092328298,-0.9481420635000001
anticancer__5fu__2,0.2979675207,-0.8109192045,-0.8598823830000001
anticancer__cap__1,0.20480903860000002,0.14720553150000001,-0.6248388045000001
anticancer__cap__2,0.4319710579,0.09336931180000001,-0.6743078610000001
anticancer__cap__3,0.3887492428,0.1314838563,-0.6061806166
anticancer__wt__1,0.0492315486,-0.2426983526,0.2975420616
anticancer__wt__2,0.0739021616,-0.0786748655,-0.0322618557
anticancer__wt__3,-0.12313371020000001,0.321373218,-0.2652802059
anticancer__5fu__3,1.4757734501,-0.8922553421,-0.9905780388000001
bio_pln__aero_pln__1,-0.0725184525,0.07964760180000001,-0.0248108216
bio_pln__aero_pln__2,0.0725184525,-0.07964760180000001,0.0248108216
bio_pln__anaero_pln__1,0.1604464279,0.3491997254,-0.778776452
bio_pln__anaero_pln__2,0.31355030640000003,-0.0294644634,-0.6722676961
biocide__bzcl_12h__1,-0.18789154560000002,-0.2912906913,0.0521113979
biocide__bzcl_12h__2,-0.4128051177,-0.0591774512,0.5299226275
biocide__bzcl_12h__3,-0.1573700489,-0.4110841633,0.2818543479
biocide__etoh_12h__1,0.3361448077,-0.20030278410000002,-0.6737009582
biocide__etoh_12h__2,0.7542571456,-0.0827366882,-0.6437245928
biocide__etoh_12h__3,0.20382579820000002,0.0664392281,-0.5778661406
biocide__gluald_12h__1,-0.4244875285,0.3036139351,0.0183201079
biocide__gluald_12h__2,0.009422986500000001,0.23724813660000002,0.09519462640000001
biocide__gluald_12h__3,-0.7173769648,0.2711779239,0.17542557490000002
biocide__h2o2_12h__1,0.3847854517,0.035400424,-0.0535485177
biocide__h2o2_12h__2,0.096404132,-0.0535058344,-0.0173218224
