,A,ComK
G150_1,-8.4915901598,-3.3920666667
G150_2,-8.888645183,-3.0705666667
G150_3,-8.4472248839,-3.2257666667000002
G180_1,-6.6971294723,-3.3349666667
G180_2,-8.5140885548,-3.3691666667
G180_3,-6.5352555868,-3.7855666667000003
C30_1,19.7014951576,1.4161333333
C30_2,19.9860931423,1.7061333333
C90_1,18.1655198876,1.5892333333000002
C90_2,21.1243484854,2.0152333333
BI_1,4.1723777481,-0.6864666667
BI_2,4.2703004554,-0.37526666670000003
BC_2,-2.8918979927,-2.3443666667
BC/t_1,-1.1904485464,-2.3766666667000003
BC/t_2,-2.4766811856,-1.6869666667
BC_1,-1.1324831429,-2.4253666667
Sw_1,0.33042707450000003,-1.9681666667000002
Sw_2,1.1449284346,-1.6993666667
BT_1,-2.3996149084000002,0.1642333333
BT_2,-2.8286705675,-0.4323666667
B36_1,-2.4856526555,0.6729333333
B36_2,-3.1841068601,0.5836333333
B60_1,-6.0462020608,-0.7701666667
B60_2,-5.630588111,-0.40596666670000003
M9exp_1,-2.6666208253,0.0953333333
M9exp_2,-2.61075383,-0.2098666667
M9exp_3,5.2773746553,0.1145333333
M9tran_1,18.1339089839,1.8499333333
M9tran_2,19.034582084,1.6064333333
M9tran_3,13.7594776303,1.6501333333
M9stat_1,-2.6469957239,-1.7663666667
M9stat_2,-2.3821604207,-2.0631666667
M9stat_3,-2.5057839577000003,-2.3200666667
M+G_1,14.4334658888,1.4642333333
M+G_2,6.8233213345,0.7215333333
M+G_3,5.4462291106,0.6870333333
Glu_1,10.8112987399,1.7004333333
Glu_2,8.1457892513,1.0843333333
Glu_3,2.4651973233,0.5304333333
Fru_1,-10.1424812489,-1.4354666667
Fru_2,5.5453514809,1.0164333333
Fru_3,-1.0551870835,0.0507333333
Mal_1,12.3776458963,0.5335333333
Mal_2,1.1530791286,-0.3168666667
Mal_3,0.3211840682,-0.1444666667
G+S_2,23.7767974934,2.1223333333
G+S_3,20.1746038991,2.2909333333
Pyr_1,13.2417506918,1.2745333333
Pyr_2,20.7693154814,2.0611333333
Pyr_3,21.2469999122,1.9871333333
Gly_1,1.992899307,-1.3673666667
Gly_2,2.7652842207,-0.5381666667
Gly_3,2.4772651272,-2.0205666667
Glucon_1,3.6761507691,-0.0929666667
Glucon_2,-3.0171382318,-0.2740666667
Glucon_3,1.1208989713,-1.2077666667
aero_1,-1.7559195585,0.4923333333
aero_2,-1.1316469081,0.0412333333
aero_3,-1.617492401,0.2640333333
nit_1,16.3028876169,1.5393333333
nit_2,17.8884737835,1.6839333333000002
nit_3,17.5205315121,1.4424333333
ferm_1,12.8939009556,0.6159333333
ferm_2,14.6412045559,0.4985333333
ferm_3,13.0150760724,0.9912333333000001
T-5.40H_1,21.356547993,2.4074333333
T-4.40H_1,23.6579175546,2.5735333333
T-3.40H_1,22.5157547446,2.5309333333
T-2.40H_1,21.5707025021,1.9846333333000001
T-1.40H_1,19.5544158498,1.4909333333
T-1.10H_1,19.1582783908,1.4238333333
T-0.40H_1,19.1743563467,1.6376333333000002
T0.0H_1,19.075802392699998,1.3103333333
T0.30H_1,17.2702895237,-0.8249666667000001
T1.0H_1,14.8822632034,-0.9634666667
T1.30H_1,14.3794086035,-0.9958666667
T2.0H_1,12.5548416244,-0.8225666667
T2.30H_1,13.2352480128,-0.2104666667
T3.0H_1,11.4233082551,-0.5356666667000001
T3.30H_1,12.1307001904,-0.0025666667000000002
T4.0H_1,13.2858592227,0.2269333333
T5.0H_1,12.1288689585,0.0724333333
HPh_1,-0.9194462295,0.3557333333
HPh_2,-2.422596354,-0.31476666670000003
HPh_3,-0.7138055651,-0.30366666670000003
LPh_1,-0.42437509630000003,-0.0090666667
LPh_2,-1.0653817221,0.1974333333
LPh_3,1.6792990978,-0.2704666667
LPhT_1,-8.3874359323,-0.6155666667
LPhT_2,-8.9086867163,-0.7203666667
LPhT_3,-9.0605177077,-0.5088666667
SMMPr_1,13.7043431893,1.6729333333
SMMPr_2,13.1088486265,1.5062333333
SMMPr_3,15.0420313386,1.8537333333000001
HiTm_1,-8.2605522305,-0.5362666667
HiTm_2,-10.6086592331,-0.2184666667
HiTm_3,-10.0082624488,0.0076333333000000005
LoTm_1,-7.575936148,0.0502333333
LoTm_2,-9.3755874542,-0.10276666670000001
LoTm_3,-9.282677144200001,0.3060333333
HiOs_1,16.8582430558,1.5486333333
HiOs_2,15.086271904,1.2882333333
HiOs_3,19.3886190383,1.7207333333000001
BMM_1,-2.9111017371,0.1440333333
BMM_2,-3.8126986765,-0.0574666667
BMM_3,-4.7945589113,-0.16796666670000002
Heat_1,-10.7829708692,0.2499333333
Heat_2,-10.9818873181,0.0891333333
Heat_3,-9.3680383679,-0.2564666667
Cold_1,-2.7962622941,-2.0096666667
Cold_2,-2.5705371277999998,-2.4103666667
Cold_3,-4.1552640454,-2.7070666667000003
Etha_1,-5.725667792,-2.3929666667
Etha_2,-4.6183146754,-2.5719666667
Etha_3,-6.4276943107,-2.4849666667
SMM_1,4.8359542975,0.9113333333
SMM_2,9.0738603421,1.3496333333
SMM_3,5.0371240406,0.9538333333000001
Salt_1,4.5512250933,-1.3167666667
Salt_2,1.9205139573,-2.0377666667
Salt_3,2.1526839436,-1.9416666667
Mt0_1,-9.6510567027,-1.2454666667
Mt0_3,-12.1282160207,-2.0903666667
M0t45_1,-5.2927837689,-0.0337666667
M0t45_2,-8.9366863307,-0.8264666667
M0t45_3,-9.5432596191,-0.6694666667
M0t90_1,-2.0938403244,-1.1035666667
M0t90_2,0.3700825186,-0.1846666667
M0t90_3,-6.148543666,-0.6582666667
M40t45_1,-4.9475081296,-0.6557666667000001
M40t45_2,-1.2798632929,0.1587333333
M40t45_3,-10.4150671623,-0.6829666667000001
M40t90_1,-2.830470624,-0.8182666667
M40t90_2,-0.8531177542,-0.1413666667
M40t90_3,-9.2911590517,-0.7463666667000001
dia0_1,-10.4618730656,-1.4403666667000001
dia0_2,-11.0128260515,-0.8822666667
dia0_3,-11.4236880169,-1.1333666667
dia5_1,-9.8305043937,-2.0983666667
dia5_2,-9.2452160946,-1.5503666667
dia5_3,-10.2741289633,-1.4466666667
dia15_1,-8.9992055324,-2.4772666667
dia15_2,-9.8031000405,-1.7417666667
dia15_3,-8.8498119714,-1.8987666667
Diami_1,-6.1103351454,-2.2331666667
Diami_2,-8.1665001044,-1.7248666667
Diami_3,-5.733561574,-1.8307666667
Paraq_1,-6.0409629088,-1.5605666667
Paraq_2,-7.6483911983,-0.7575666667000001
Paraq_3,-4.4217164888,-2.0403666667
H2O2_1,-6.9122020385,-1.7793666667
H2O2_2,-7.1871526998,-1.5031666666999999
H2O2_3,-5.2807281789000005,-1.9184666667
Oxctl_1,-5.2674669122,-1.7634666667
Oxctl_2,-5.310959993,-1.1737666667
Oxctl_3,-7.157265745,-0.7226666667
GM-0.1_1,-2.0826640037,-0.2290666667
GM-0.2_1,-1.9094124915,-0.6521666667
GM+5_1,-0.4160085298,-0.7049666667000001
GM+15_1,1.0075015647,0.32423333330000004
GM+25_1,3.347190665,0.9868333333
GM+45_1,7.874649383,1.4574333333
GM+60_1,10.0469517111,1.3713333333
GM+90_1,10.6015974561,1.2304333333
GM+120_1,7.9046360351,0.3839333333
GM+150_1,20.6822037095,2.7614333333000003
GM-0.1_2,-2.8165471431,-0.0271666667
GM-0.2_2,-2.4778732309000002,-0.0661666667
GM+5_2,-1.9962181925,-0.3796666667
GM+10_2,-1.9811568884000001,-0.3880666667
GM+15_2,-1.8921073868,0.0391333333
GM+25_2,-1.2629631658,0.2911333333
GM+45_2,-0.45716946950000004,-0.6447666667
GM+60_2,0.4832395156,-0.6838666667000001
GM+90_2,2.5874247083,1.3223333333
GM+150_2,29.7580962498,2.7301333333
GM-0.1_3,0.8591418204,0.8601333333000001
GM-0.2_3,1.3361462096,0.6781333333
GM+5_3,6.3248687056,1.1800333333
GM+10_3,5.9270856877,-0.0832666667
GM+15_3,7.3999165255,1.5211333333
GM+25_3,9.6854391574,1.2463333333
GM+45_3,14.0636326185,1.8266333333
GM+60_3,15.720089807699999,1.0189333333
GM+90_3,16.0485874261,1.2136333333
GM+120_3,13.6974378582,1.0826333333
GM+150_3,23.6348198602,2.7816333333000003
MG-0.1_1,-6.3404297179,-0.7557666667
MG+5_1,-5.5831668787,-0.4610666667
MG+10_1,-5.7741507337,-0.0506666667
MG+15_1,-5.3345071506,-0.8831666667
MG+25_1,-6.4216432085,-0.5468666667000001
MG+45_1,-7.5172889322,-0.4156666667
MG+120_1,-0.3088795545,-0.0965666667
MG+150_1,12.1122630953,1.4017333333
MG-0.1_2,-7.5095293577,-2.1455666667
MG-0.2_2,-7.708832323,-1.5060666667
MG+5_2,-7.8921751778,-1.3301666667
MG+10_2,-8.3064467633,-1.1269666667
MG+15_2,-8.1656166451,-0.42456666670000004
MG+25_2,-8.4744690674,-1.3251666667
MG+45_2,-8.5869137138,-1.4633666667
MG+60_2,-9.0622074344,-1.1947666667
MG+90_2,-8.718195358100001,-1.0112666667
MG+120_2,-4.697305841,0.3669333333
MG-0.1_3,-9.7796554172,-0.9126666667000001
MG-0.2_3,-8.7717460088,-1.5429666667
MG+5_3,-8.1702828429,-1.5132666666999999
MG+10_3,-6.9370198787,-1.8078666667
MG+15_3,-9.6195898245,-1.2202666667
MG+25_3,-10.5493679339,-1.3182666667
MG+45_3,-10.9165383477,-0.7900666667
MG+60_3,-8.9094416129,-1.1227666667
MG+90_3,-10.678726046,-0.5553666667
MG+120_3,-7.420327184,-0.5005666667
MG+150_3,-1.6104497757,0.4866333333
