,A,RpoS
ecoli_00071,1.8561717602,0.027857161000000002
ecoli_00072,1.5552832236,0.048182902
ecoli_00073,-14.6547913631,-0.27702965700000004
ecoli_00074,-13.5314588867,-0.08955874200000001
ecoli_00075,-2.2020566452,0.016084043000000003
ecoli_00077,0.1355688665,0.268831166
ecoli_00078,-1.0940054551,0.030301163000000002
ecoli_00079,-12.3285565076,0.12121000100000001
ecoli_00080,-1.509340054,0.083390378
ecoli_00081,-2.4327813276,0.41288737200000003
ecoli_00082,0.8307712216,0.343919792
ecoli_00083,0.4653781155,0.222851611
ecoli_00084,-0.9205552366,0.32115443200000005
ecoli_00085,-0.4093725057,0.286542844
ecoli_00086,0.7151214720000001,0.5809128020000001
ecoli_00087,0.0987829066,0.6237719420000001
ecoli_00088,4.7337628044,0.44571107200000004
ecoli_00089,4.8751314662,0.527806022
ecoli_00090,1.3592301397,-0.06741426
ecoli_00091,1.6223616870000002,-0.009461412
ecoli_00092,0.9041783358000001,0.41899008200000004
ecoli_00093,2.8974307137,-0.002706628
ecoli_00094,10.7325988241,0.5912388620000001
ecoli_00095,10.4571454401,0.555214862
ecoli_00096,-1.1944309862,1.075322802
ecoli_00097,-1.5947504942,1.046519562
ecoli_00098,2.7687388067,0.663852262
ecoli_00099,2.438399503,0.6135239920000001
ecoli_00100,-13.3445419647,0.129992928
ecoli_00101,-21.2912508053,-0.926944088
ecoli_00102,-21.7215280164,-0.9221537670000001
ecoli_00103,-25.4822482126,-0.9664375940000001
ecoli_00104,-26.0085130704,-0.89091248
ecoli_00105,-4.5496170771,-0.08924797200000001
ecoli_00106,-9.368509207,0.38219653200000003
ecoli_00107,-10.0842527071,0.29671736200000004
ecoli_00108,4.1503787246,0.45762537200000003
ecoli_00109,4.1324303027,0.33209055200000004
ecoli_00110,1.0363008639,0.193629716
ecoli_00111,1.3836125616000001,0.33613993200000003
ecoli_00112,1.1984709915,0.21436483
ecoli_00113,0.5774435816,1.187215512
ecoli_00114,-0.6767440376,1.041209602
ecoli_00115,-1.0632770199000001,1.000426512
ecoli_00116,13.3293991406,1.403545152
ecoli_00117,13.4505741128,1.312142502
ecoli_00118,13.645835091,1.332774822
ecoli_00119,12.0476794175,1.220202512
ecoli_00120,12.3001435695,1.232196922
ecoli_00121,13.1099375851,1.2185585620000001
ecoli_00122,12.0953037495,1.473030322
ecoli_00123,12.9742750454,1.491695502
ecoli_00124,13.5301165538,1.425635312
ecoli_00125,-28.677944737,0.7930836120000001
ecoli_00126,-24.9976799784,-0.261345063
ecoli_00127,-24.6696409368,-0.923966688
ecoli_00128,-30.2573102953,-1.072388459
ecoli_00129,-24.9267545386,0.8990942620000001
ecoli_00130,-27.4102114116,-0.267016099
ecoli_00131,-27.7934868708,-0.06099581900000001
ecoli_00132,-6.8499116878,-0.281531602
ecoli_00133,-18.0918437989,-0.48538561300000005
ecoli_00134,-22.7845827716,-0.28717722
ecoli_00135,-34.074718325,-0.530759834
ecoli_00136,-27.379954011,-0.06679679300000001
ecoli_00137,-26.7309552366,-0.4238999
ecoli_00138,-19.8881337096,-1.679026192
ecoli_00139,-18.1089385538,-0.6158962060000001
ecoli_00140,-23.1427033665,-0.5299862820000001
ecoli_00141,-27.046460751,-0.523400039
ecoli_00142,10.7357067288,1.223033602
ecoli_00143,-2.5720387632,-0.634528351
ecoli_00144,-3.1052341387,-0.137538191
ecoli_00145,-9.5372728256,0.24299832000000002
ecoli_00146,-21.9900741159,0.743275232
ecoli_00147,-17.1959014402,0.42675417200000004
ecoli_00148,-21.0896866941,-0.580133845
ecoli_00149,-19.9775507325,0.25396372500000003
ecoli_00150,-20.7838206143,-0.752617222
ecoli_00151,-26.3617992701,0.0710249
ecoli_00152,-30.9473849773,0.116572929
ecoli_00153,-22.268257973,-0.28887214
ecoli_00154,-10.0295225866,-0.9307193810000001
ecoli_00155,-21.5691398115,-0.209421098
ecoli_00157,-5.1249183366,0.518224082
ecoli_00158,-13.4077607186,0.460795852
ecoli_00159,-27.390226213,-0.634889455
ecoli_00160,-23.5423693635,-0.264002552
ecoli_00169,-17.6049531171,-0.760218982
ecoli_00170,-18.0922863322,-0.853688909
ecoli_00171,-11.1232178044,0.049913986
ecoli_00172,-8.1009667655,0.090811919
ecoli_00173,-8.0247471622,0.589161122
ecoli_00174,-7.5984813739,0.38819800200000004
ecoli_00175,15.6269663545,0.7651803420000001
ecoli_00176,16.0024875693,0.6480234420000001
ecoli_00177,19.6160932387,0.891268402
ecoli_00178,18.3328039971,1.006328562
ecoli_00179,-14.0006408787,-0.236939853
ecoli_00180,-14.2287135704,-0.303417861
ecoli_00181,-15.6966610704,-1.022815705
ecoli_00182,-15.641188767,-1.1022078180000001
ecoli_00183,-4.6976872345,-0.195428179
ecoli_00184,-4.3332774039,-0.121725145
ecoli_00185,-13.3595453731,-0.492266825
ecoli_00186,-17.2026239459,-0.58526513
ecoli_00187,-0.3143587762,0.606615282
ecoli_00188,-0.39285907870000003,0.6685109720000001
ecoli_00189,-15.3342612052,-0.5756726790000001
ecoli_00190,-15.065681912,-0.507721481
ecoli_00191,-9.4325842053,0.20881733900000002
ecoli_00192,-10.4655445577,0.446916122
ecoli_00193,-14.406164072,-0.44323311600000004
ecoli_00194,-12.2010525159,-0.344020588
ecoli_00195,-25.6664202982,-1.10661481
ecoli_00196,-18.9767677476,-0.40072797
ecoli_00197,-18.8403442774,-0.41283612900000005
ecoli_00198,-25.9716662954,-1.293643016
ecoli_00199,4.4703608966,0.341964942
ecoli_00200,2.101972196,0.6804132620000001
ecoli_00201,4.8533883579,0.556544842
ecoli_00202,5.2190749895,0.6846965420000001
ecoli_00203,-1.0898979535,0.24851932100000002
ecoli_00204,-2.7985136416,0.072319354
ecoli_00205,5.8756043959,0.602499332
ecoli_00206,8.7403228739,0.775933062
ecoli_00207,-2.1181429871,0.622855142
ecoli_00208,2.0432118404,0.770140982
ecoli_00209,5.5680493476,0.46668029200000005
ecoli_00210,5.294475829,0.490794722
ecoli_00211,1.1580198052,0.413575132
ecoli_00212,1.2988960287,0.42222096200000003
ecoli_00213,2.8076360727000003,0.39317079200000005
ecoli_00214,0.7501680303,0.509847962
ecoli_00215,1.6776579038000001,0.110479853
ecoli_00216,1.7995186162999999,0.19184862700000002
ecoli_00217,6.7524668814,0.7546381320000001
ecoli_00218,5.3874230245,0.858339712
ecoli_00219,1.6916152435,0.23723094300000003
ecoli_00220,2.1910945931,0.21605959200000002
ecoli_00221,1.925932294,0.5150319520000001
ecoli_00222,-2.4429916736,0.075430536
ecoli_00223,3.2375094813,0.590555552
ecoli_00224,3.4492148571,0.554853602
ecoli_00225,3.7055385875,0.440513052
ecoli_00226,1.1901653799,0.5138055220000001
ecoli_00227,-5.6518212214,-0.42322193300000005
ecoli_00228,-5.814746686,-0.397225969
ecoli_00229,-1.8472684829000001,0.39264833200000004
ecoli_00230,-2.087310794,0.40612146200000004
ecoli_00231,-6.5644791338,0.563901842
ecoli_00232,-6.3760602767,0.45276521200000003
ecoli_00233,-0.0058585484,0.19160315700000002
ecoli_00234,0.3666198684,0.146452999
ecoli_00235,8.2733057515,0.361100702
ecoli_00236,8.2941170802,0.14233325400000002
ecoli_00237,2.1037042098,1.047253142
ecoli_00238,1.5719723541000001,0.915891192
ecoli_00239,-2.3185877463,0.5594406820000001
ecoli_00240,-1.2992656889,0.625345122
ecoli_00241,7.3602150404,1.221120712
ecoli_00242,-2.0586814395,0.9668986020000001
ecoli_00243,-3.6613866524,1.011708712
ecoli_00244,-13.6088495219,-0.31484015
ecoli_00245,-9.9613913786,-0.48601730600000004
ecoli_00246,-5.908472013,0.652653732
ecoli_00247,-6.531238372,0.6990012320000001
ecoli_00248,-9.2953631694,0.720726312
ecoli_00249,2.3013539179,0.672899162
ecoli_00250,3.7115142077,0.514171322
ecoli_00251,-12.2881393034,-0.065868839
ecoli_00252,-12.989289362000001,-0.171776657
ecoli_00253,-23.830613736,-0.002671377
ecoli_00254,-13.7876795736,0.191384187
ecoli_00255,1.9162656066000001,1.052987252
ecoli_00256,6.5033037105,1.117358552
ecoli_00257,-2.7055088514000003,0.389226942
ecoli_00258,-2.9321535155,0.314109252
ecoli_00259,16.5424310135,1.265058722
ecoli_00260,13.9286452763,0.9722561120000001
ecoli_00261,-4.5885403903,0.063914889
ecoli_00262,-6.756155877,0.36638761200000003
ecoli_00263,3.332376743,0.43246427200000004
ecoli_00264,3.9085461999,0.389756152
ecoli_00265,12.9022106342,1.177584972
ecoli_00266,12.1103505787,1.115352902
ecoli_00267,-12.4289517123,-0.068474823
ecoli_00268,-11.5653526279,-0.114093364
ecoli_00269,-19.9922040994,0.653364402
ecoli_00270,-19.3388835779,0.730860912
ecoli_00271,-26.6273793174,-0.6166222720000001
ecoli_00272,-23.7613529805,-0.36928399700000003
ecoli_00273,-2.5136335417,0.204656004
ecoli_00274,-3.4024175599,0.245879587
ecoli_00275,-3.4312896466,0.5874251220000001
ecoli_00276,-2.92535982,0.40229103200000005
ecoli_00277,-25.1249498578,0.33760438200000004
ecoli_00278,-28.9100291481,0.321729782
ecoli_00279,-0.2261817499,0.8863017320000001
ecoli_00280,-1.6399663307,1.151312292
ecoli_00281,-15.0135178149,-0.870570438
ecoli_00282,-8.0258666285,-0.053842641000000004
ecoli_00283,-6.0577734509,0.030154189
ecoli_00284,-5.6346326228,0.189315261
ecoli_00285,-23.2920792311,-0.9715555750000001
ecoli_00286,-23.0156321349,-0.9203768010000001
ecoli_00287,-3.146742387,0.746716032
ecoli_00288,-4.0440920804,0.640421412
ecoli_00289,-13.568402145,-0.18854235400000002
ecoli_00290,-9.7542022852,0.030013313000000003
ecoli_00291,-0.5755874456,0.41317053200000003
ecoli_00292,0.0860445214,0.44372140200000004
ecoli_00293,3.1939672015,0.9644070320000001
ecoli_00294,2.9411110213000002,0.825257302
ecoli_00295,-9.4138396441,-0.490303827
ecoli_00296,-8.2989283487,-0.46322188700000005
ecoli_00297,3.3670768184,0.630730562
ecoli_00298,3.9326046957000003,0.697185532
ecoli_00299,-14.5228275786,-0.7608141740000001
ecoli_00300,-14.1578125616,-0.7927318760000001
ecoli_00301,-27.3982122382,-0.37281189800000003
ecoli_00302,-28.6412993733,-0.370992619
ecoli_00303,2.5848770919,0.04685425
ecoli_00304,0.049540904600000005,0.363218242
ecoli_00305,-0.14030164850000001,0.414445702
ecoli_00306,0.1140072673,0.635844992
ecoli_00307,0.24782336600000002,0.416631322
ecoli_00308,1.1109495958,0.349855482
ecoli_00309,0.2452105258,0.27863103300000003
ecoli_00310,0.3876055491,0.352076192
ecoli_00311,-14.8016105453,0.081373631
ecoli_00312,-8.9014932836,0.289872226
ecoli_00313,-0.1458248275,0.434302342
ecoli_00314,0.0681008879,0.44545774200000005
ecoli_00315,-3.3128445026,-0.592986713
ecoli_00316,-3.0843629094,-0.6825730510000001
ecoli_00317,1.948507181,-0.48291984600000004
ecoli_00318,1.8036030754999999,-0.666881703
ecoli_00319,-15.3292696298,0.230084175
ecoli_00320,-13.9060660636,0.23440550300000002
ecoli_00321,-9.7655358798,1.010209612
ecoli_00322,-9.8880369682,0.9647885620000001
ecoli_00323,-15.1370852922,0.378515502
ecoli_00324,-12.4299616748,0.446818512
ecoli_00325,-11.7861127174,0.523289032
ecoli_00326,-2.8348283558,1.140273702
ecoli_00327,-16.1281434761,1.471336792
ecoli_00328,-16.6094144461,0.989478182
ecoli_00329,-15.5111740667,1.105704232
ecoli_00330,-14.5223237945,1.308540662
ecoli_00331,-20.3366833322,0.864667662
ecoli_00332,-21.842622063,1.044993532
ecoli_00333,-18.2636485712,0.8066634020000001
ecoli_00334,-18.9835366302,0.7939193720000001
ecoli_00335,-26.1418615883,-0.18988374400000002
ecoli_00336,-23.3621835818,-0.012120128
ecoli_00337,-20.3201202689,0.380774492
ecoli_00338,-19.3960491307,0.425706862
ecoli_00339,-28.5409726425,-0.28424791600000004
ecoli_00340,-24.5668844755,-0.020286427000000003
ecoli_00341,-28.2947816972,-0.353377109
ecoli_00342,-28.4330405816,-0.353964906
ecoli_00343,-22.1743018473,0.292686165
ecoli_00344,-21.2709041957,0.284491559
ecoli_00345,-22.0163386854,0.461398122
ecoli_00346,-19.4568062643,0.5234612820000001
ecoli_00347,-5.2746206476,1.136906472
ecoli_00348,-2.7417526393,1.106938532
ecoli_00349,-18.4692346955,0.8895994620000001
ecoli_00350,-18.6985387874,1.002864882
ecoli_00351,-4.7750407624,1.666172602
ecoli_00352,-23.8609501021,0.761387542
ecoli_00353,-16.4318707568,1.073754122
ecoli_00354,-16.6567109188,0.9053895820000001
ecoli_00355,-4.1126564867,1.278137802
ecoli_00356,-4.1187188993,1.205160902
ecoli_00357,-8.296622694,1.469231752
ecoli_00358,-8.4761932171,1.445767052
ecoli_00359,-31.1692796955,0.914250742
ecoli_00360,-31.1997830219,0.839892022
ecoli_00361,-32.5858789632,0.6100121420000001
ecoli_00362,-32.6783273896,0.7799764520000001
ecoli_00363,13.548792231,0.780609612
ecoli_00364,13.4031870001,0.949769912
ecoli_00365,-37.4905634988,-2.40001744
ecoli_00366,-38.1181249246,-1.6442175950000002
ecoli_00367,-37.8699099383,-2.412374072
ecoli_00368,-38.3957918736,-2.437496206
ecoli_00369,10.553707299100001,0.113079119
ecoli_00370,9.6911772863,0.5862508120000001
ecoli_00371,-38.9790648389,-2.431478613
ecoli_00372,-38.6153697933,-2.200063945
ecoli_00373,-36.5599080289,-2.479313904
ecoli_00374,-36.9658045121,-2.4048321599999998
ecoli_00375,6.2540810737,0.9038694920000001
ecoli_00376,6.0299098088,1.065425372
ecoli_00377,-35.0305239157,-0.970301579
ecoli_00378,-35.250854147,-0.922598691
ecoli_00379,-34.2638443114,-1.479011908
ecoli_00380,-33.9341175285,-1.453408986
ecoli_00381,9.4828050323,0.855176342
ecoli_00382,9.6538920267,0.6537064220000001
ecoli_00383,-37.7165439016,-1.312759304
ecoli_00384,-36.9778592072,-1.226735445
ecoli_00385,-34.5926164019,-1.396097704
ecoli_00386,-35.2409944638,-1.393840567
ecoli_00387,12.3711507864,0.6878804820000001
ecoli_00388,12.9440092485,0.7698332320000001
ecoli_00389,-37.558641125,-1.842582587
ecoli_00390,-37.2373533965,-1.756150681
ecoli_00391,-35.9151212199,-1.8498726840000002
ecoli_00392,-35.8721138372,-1.789965745
ecoli_00393,-33.9337749497,-1.907963797
ecoli_00394,-33.0083478591,-1.944972908
ecoli_00395,-35.3382260029,-1.438491919
ecoli_00396,-34.558072778,-1.5778546850000001
ecoli_00397,-27.1507647235,-0.44932950800000004
ecoli_00398,-26.765038795,-0.22272809400000002
ecoli_00399,-24.8308236319,-1.351382508
ecoli_00400,-24.9261892756,-1.53105376
ecoli_00401,-34.7490294166,-2.061404382
ecoli_00402,-35.5747199229,-1.997902988
ecoli_00403,-33.2344834845,-0.378401614
ecoli_00404,-31.8550163519,-1.5208829650000002
ecoli_00405,-28.3864734832,-0.88529355
ecoli_00406,-29.0359298329,-0.702621626
ecoli_00407,-34.0576601165,-1.400893626
ecoli_00408,-34.2909086127,-1.261976733
ecoli_00409,-31.6414561707,-1.372628723
ecoli_00410,-31.058980208,-1.5608087030000002
ecoli_00411,-34.4170533577,-1.931304048
ecoli_00412,-34.051924364,-1.859626883
ecoli_00413,-35.2967843235,-1.888368872
ecoli_00414,-36.6048997266,-1.830199923
ecoli_00415,-32.5257947214,-1.3972837359999999
ecoli_00416,-32.436455647,-1.338729662
ecoli_00417,-34.250667662,-1.9839582040000001
ecoli_00418,-35.5439051272,-1.9168988690000002
ecoli_00419,-35.2846954532,-1.9041362620000002
ecoli_00420,-34.8168717593,-1.896623705
ecoli_00421,-31.4371797922,-1.426807011
ecoli_00422,-31.9140704525,-1.401286403
ecoli_00423,-30.3669562387,-1.486259717
ecoli_00424,-30.2342563626,-1.602807011
ecoli_00425,-35.8403530397,-1.7950013550000001
ecoli_00426,-35.9584902004,-1.947474307
ecoli_00427,-35.4283236067,-1.652567464
ecoli_00428,-35.8111240386,-1.6748199380000002
ecoli_00429,-35.6867427036,-1.497790775
ecoli_00430,-35.2845651311,-1.530303604
ecoli_00431,-32.7481998117,-1.164812891
ecoli_00432,-30.4663435966,-0.989517818
ecoli_00433,-32.4994222405,-0.86014164
ecoli_00434,-32.8860562084,-0.837791747
ecoli_00435,-31.058741546,-1.386495954
ecoli_00436,-30.7139864605,-1.402138782
ecoli_00437,-35.9098174081,-1.471664917
ecoli_00438,-35.8153460814,-1.549020217
ecoli_00439,-31.5116288346,-0.9616132070000001
ecoli_00440,-29.9686047895,-0.951745735
ecoli_00441,-32.6439395565,-1.531300938
ecoli_00442,-32.5637565739,-1.634359187
ecoli_00443,-35.716756007,-1.565068318
ecoli_00444,-36.2408235384,-1.614135088
ecoli_00445,-33.682805406599996,-1.248922181
ecoli_00446,-33.6540581023,-1.155512192
ecoli_00447,-3.8014157501,0.545286652
ecoli_00448,-7.6458801682,0.418927092
ecoli_00449,7.2357574588,1.5375000920000002
ecoli_00450,8.7122840853,1.406942552
ecoli_00451,-7.0994381877,0.550614182
ecoli_00452,-5.2337016387,0.5427596720000001
ecoli_00453,6.1257022083,0.892385662
ecoli_00454,7.4068687547,1.6646909220000001
ecoli_00455,-2.798278844,0.14008757600000002
ecoli_00456,-2.977876734,0.317528992
ecoli_00457,0.11873718770000001,0.572097892
ecoli_00458,-0.0999473971,0.664503352
ecoli_00459,1.7230697341,0.45651683200000004
ecoli_00460,1.2015562625,0.48580563200000004
ecoli_00461,-14.3951813716,-0.366068699
ecoli_00462,-14.6839391995,-0.18654836400000002
ecoli_00463,16.811320823,1.7351000920000001
ecoli_00464,16.5765837332,1.686986762
ecoli_00465,28.6479831233,1.4074916320000002
ecoli_00466,28.9559948414,1.352980122
ecoli_00467,-25.0995537218,-0.6825328420000001
ecoli_00468,-24.6173006633,-0.726716694
ecoli_00469,29.5385659859,1.308905382
ecoli_00470,28.9453388894,1.2243911920000001
ecoli_00471,-14.9517663967,-1.103766331
ecoli_00472,-14.4727507727,-1.097200214
ecoli_00473,15.4760223934,1.589736432
ecoli_00474,15.985200532,1.709398122
ecoli_00475,-4.6631514972,1.261222212
ecoli_00476,-3.7409123783,1.344198652
ecoli_00477,-21.2821930325,-0.045943153
ecoli_00478,-20.6313481692,-0.080519901
ecoli_00479,17.0199501559,2.143029202
ecoli_00480,17.3888596372,2.130364142
ecoli_00481,10.2851789655,1.9626137520000002
ecoli_00482,10.9753974747,1.923137492
ecoli_00483,5.2660984491,1.017683462
ecoli_00484,4.9839266795,0.9924556320000001
ecoli_00485,-8.7767630735,0.381978592
ecoli_00486,-8.8632173061,0.378607332
ecoli_00487,-14.4488743668,0.602795022
ecoli_00488,-14.275535711,0.6368650020000001
ecoli_00489,7.7491302463,1.367672302
ecoli_00490,8.0461317642,1.439483182
ecoli_00491,-27.5540564433,0.325799862
ecoli_00492,-28.3744234283,0.39428292200000004
ecoli_00493,-6.076164799,1.110020682
ecoli_00494,-5.9121022396,1.140191742
ecoli_00495,21.2896752192,1.650929632
ecoli_00496,20.5255408071,1.5050050220000002
ecoli_00497,28.9975578176,1.405993702
ecoli_00498,28.6826357668,1.369863552
ecoli_00499,10.471200896100001,1.9654553520000002
ecoli_00500,10.4779195168,1.955990402
ecoli_00501,-13.147889142,0.9521508320000001
ecoli_00502,-11.4812073793,1.044374912
ecoli_00503,-11.6050328229,1.2274404620000001
ecoli_00504,-11.792040501,1.175064452
ecoli_00505,9.6457890011,0.8492971020000001
ecoli_00506,9.6605693215,0.8937301820000001
ecoli_00507,2.7484670498,0.47077431200000003
ecoli_00508,1.4187197639,0.35456234200000003
ecoli_00509,2.5353477836,0.548405402
ecoli_00510,2.1758524715,0.47028348200000003
ecoli_00511,-9.7058592909,0.09293588900000001
ecoli_00512,-9.848424886,0.06531996100000001
ecoli_00513,29.8008195193,1.6245794120000001
ecoli_00514,29.9827754945,1.586807102
ecoli_00515,-18.3908824706,0.5992908720000001
ecoli_00516,-18.0115279205,0.6067851120000001
ecoli_00517,-17.3554443136,0.385690382
ecoli_00518,-19.9975235121,0.395483542
ecoli_00519,-23.109078593,0.821033152
ecoli_00520,-23.9862516265,0.48740582200000004
ecoli_00521,-22.7290882373,0.6522788820000001
ecoli_00522,-21.9324153692,0.698912572
ecoli_00523,-22.1581347393,0.6330313320000001
ecoli_00524,-3.9634142023,1.730569362
ecoli_00525,-4.0106044789,1.731126742
ecoli_00526,-3.985701083,1.682178662
ecoli_00527,-4.2057240142,1.717740542
ecoli_00528,8.3537500912,1.524751262
ecoli_00529,-0.7183929875,0.856116462
ecoli_00530,-18.7688821819,0.655051432
ecoli_00531,-15.3796691013,0.485958512
ecoli_00532,-19.0204433295,0.634709132
ecoli_00533,-17.517705838,0.524656542
ecoli_00534,-19.498763769500002,0.773720472
ecoli_00535,-17.5178597026,0.6472917020000001
ecoli_00536,-9.1601751432,0.605508142
ecoli_00537,-2.451741904,0.990139002
ecoli_00538,-10.4417230166,0.408591482
ecoli_00539,-8.0648323963,0.5977885820000001
ecoli_00540,5.8514044223,1.730857472
ecoli_00541,4.5774880418,1.7069542819999999
ecoli_00542,4.5634564162,1.784431142
ecoli_00543,7.011268593,1.9958476520000001
ecoli_00544,3.5533511652,1.542874952
ecoli_00545,4.2640550926,1.534533042
ecoli_00546,-23.579927823,0.786947932
ecoli_00547,-23.0694206181,0.757394302
ecoli_00548,-23.2137794891,0.8782502320000001
ecoli_00549,-22.3670908366,0.9175091620000001
ecoli_00550,-16.2390719084,1.404979642
ecoli_00551,-16.5685263089,1.211564372
ecoli_00552,-22.432871381200002,-0.20712402400000002
ecoli_00553,-21.7694082302,-0.193773294
ecoli_00554,-22.3492484977,0.08313350200000001
ecoli_00555,-21.2021011742,0.21432803700000003
ecoli_00556,-16.6810482664,0.299810982
ecoli_00557,-16.6181829322,0.283518739
ecoli_00558,-17.6227219903,0.116283754
ecoli_00559,-18.4513837259,0.15466231800000002
ecoli_00560,-22.1814898234,0.752842482
ecoli_00561,-24.934146311,0.7440650520000001
ecoli_00562,12.7023685163,2.678412222
ecoli_00563,11.1282880954,2.670276142
ecoli_00564,-12.8884615233,0.021450516000000003
ecoli_00565,-12.8378774652,0.12467335300000001
ecoli_00566,-19.9468877093,0.8053895320000001
ecoli_00567,-19.4904913518,0.764711982
ecoli_00568,-20.6878850983,-0.16620885100000002
ecoli_00569,-20.835682597999998,-0.112423224
ecoli_00570,-19.1083125827,-0.14096666
ecoli_00571,-19.389782055,-0.07097354800000001
ecoli_00572,-11.6992045563,0.31248612200000003
ecoli_00573,-12.9569129228,0.691914182
ecoli_00574,-9.3474705562,0.379909192
ecoli_00575,-9.4910979542,0.492821072
ecoli_00576,-15.697693319,0.644678072
ecoli_00577,-13.4876736996,0.999514192
ecoli_00578,-13.3498833224,0.982890252
ecoli_00579,-14.6475880377,0.8411365120000001
ecoli_00580,-12.1909218123,0.686649932
ecoli_00581,-10.6457973074,0.704788702
ecoli_00582,1.2756003972,0.597734592
ecoli_00583,-1.9039607198000001,0.223916776
ecoli_00584,-18.7597238583,0.7582373720000001
ecoli_00585,-17.52360708,0.7543898320000001
ecoli_00586,-19.8975808506,-0.320550728
ecoli_00587,-21.0294540589,-0.008478832
ecoli_00588,-17.6749298525,-0.00845647
ecoli_00589,-17.3802270445,0.0017487370000000002
ecoli_00590,14.6133269209,1.0723557320000001
ecoli_00591,15.6927879423,1.124229652
ecoli_00592,-17.4981266523,0.702207682
ecoli_00593,-16.8255939692,0.637041792
ecoli_00594,-18.4989302541,0.586811162
ecoli_00595,-17.8398468916,0.7414351720000001
ecoli_00596,-19.8176262952,0.914758582
ecoli_00597,-11.411991994,0.782750752
ecoli_00598,-20.2203262322,1.2547179019999999
ecoli_00599,-12.5244477547,1.389402172
ecoli_00600,-16.0162107085,0.982054222
ecoli_00601,-17.3651539374,0.812947382
ecoli_00602,-19.0328496036,0.638640212
ecoli_00603,-18.7374175954,0.672125622
ecoli_00604,-18.0154499728,0.975388922
ecoli_00605,-19.0481051946,0.6514548920000001
ecoli_00606,-25.9854640987,0.197083491
ecoli_00607,-24.1893746346,0.202627316
ecoli_00608,-17.2830052175,0.075356554
ecoli_00609,-15.4393713061,-0.13739720700000002
ecoli_00610,-15.6786061534,0.11647995500000001
ecoli_00611,-6.0762362838,-0.059910924000000004
ecoli_00612,-25.9729783858,0.040839611000000005
ecoli_00613,-25.899251852,0.48676726200000003
ecoli_00614,-26.718030014,0.381830522
ecoli_00615,-29.3190098713,0.23666745400000003
ecoli_00616,-24.653871748,0.732593782
ecoli_00617,-25.4020880779,0.5610367820000001
