,A,LsrR,RpoS,Crp
nac_ntrc__wt_cytd__1,1.7830547883,0.6437282675,0.9658633820000001,-0.043119613
nac_ntrc__wt_cytd__2,1.2574035257,0.4339476225,0.8995555820000001,-0.07348926
nac_ntrc__wt_gln__1,2.4310065864,0.7072803715,1.143877012,0.16383650300000002
nac_ntrc__wt_gln__2,2.2921159942,0.7310568085,1.201356272,0.11651884600000001
nac_ntrc__bw_delnac_csn__1,4.7432802929,1.0617537695,2.170823912,0.16921202300000002
nac_ntrc__bw_delnac_csn__2,2.9128535338,0.9870769605,2.363496512,0.03216219
nac_ntrc__bw_delnac_cytd__1,1.4835103434,0.5933505065,1.560056102,0.29367586300000004
nac_ntrc__bw_delnac_cytd__2,1.24674787,0.5827079245,1.572826172,0.22863865300000003
nac_ntrc__bw_delnac_gln__1,0.8926259999,0.6503632075,1.461736342,0.505105143
nac_ntrc__bw_delnac_gln__2,1.0379243398,0.6909107765,1.4067977520000001,0.563775123
nac_ntrc__bw_delnac_nh4__1,-0.1856373422,0.0922258105,0.360177262,0.339165103
nac_ntrc__bw_delnac_nh4__2,-0.4225598642,0.2654291375,0.369957452,0.360235063
misc__wt_no_te__1,2.6559494996,0.7209322885,0.9244569520000001,0.32216916300000004
misc__wt_no_te__2,1.7561916735,0.5581373185,0.42003344200000003,0.315987593
misc__bw_delcbl__1,-0.23036306720000002,0.32370705250000004,0.24477252300000002,0.30577407300000004
misc__bw_delcbl__2,0.3955038649,0.4044733285,0.071577395,0.322569413
misc__bw_delfabr__1,-0.18302991400000002,0.4705916175,-0.25510862900000003,0.194465293
misc__bw_delfabr__2,-0.33647515580000004,-0.0346877445,-0.162772564,0.13385438500000002
misc__bw_delfadr__1,-0.5778608907,0.3753519335,0.10687962200000001,0.325118883
misc__bw_delfadr__2,-0.3222455397,0.0542595425,0.197510713,0.343466333
misc__nitr_031__1,1.3427203744,0.5158812035,1.136068692,0.215598863
omics__wt_glu__1,1.4382043485,0.0015367645,-0.23051727,0.348125933
omics__wt_glu__2,0.6602017877,0.1965280785,0.043958795,0.319898823
omics__wt_gly__1,0.9577272178,-0.4187887985,-0.016657597,0.31218181300000003
omics__wt_gly__2,0.6011515438,-0.0334777235,-0.015329333,0.348980073
omics__wt_thr__1,2.5123378354,0.5515035465,-0.276530589,0.883560683
omics__wt_thr__2,2.712094833,0.6698998605,-0.338241102,1.1275514229999999
omics__bw_ac__1,13.6866217171,3.1344558545,1.014675532,0.46435899300000005
omics__bw_ac__2,12.7641433293,3.2927742675,0.977911822,0.46188222300000004
omics__bw_fum__1,2.354310226,1.1210331755,0.727420032,0.44664785300000004
omics__bw_fum__2,1.8369264096,1.3232008325,0.7373106620000001,0.49525865300000005
omics__bw_glc__1,-2.9221815452,-0.0245046545,0.38823240200000003,0.319951353
omics__bw_glc__2,-2.8802336327,0.3012293905,0.395184152,0.360933593
omics__bw_pyr__1,-0.09253986010000001,1.4622778145,1.039849572,0.8061810030000001
omics__bw_pyr__2,-0.0922366029,1.4582171275,1.148814332,0.764467493
ompr__wt_nacl__1,4.0720869152,0.8221661675,1.6465871120000002,-0.686581477
ompr__wt_nacl__2,4.135192565,0.49457022850000004,1.759748342,-0.620927
ompr__bw_delompr_nacl__1,3.6314550805,0.4634637965,0.7287601720000001,-1.046248202
ompr__bw_delompr_nacl__2,3.600501315,0.3055552915,0.573927292,-1.071490687
minspan__wt_ade__1,-2.0874697696,-0.1012748755,-0.41096649500000004,-0.09169608400000001
minspan__wt_glc__2,0.1333388574,0.2865672025,0.115747578,-0.171476714
minspan__wt_glc__3,-0.17776347,0.0774850195,0.027857161000000002,-0.216511799
minspan__wt_glc__4,-0.2532808985,0.2767590185,0.048182902,-0.237794143
minspan__wt_glc_anaero__1,0.1217587242,-0.3455297245,-0.27702965700000004,0.097308024
minspan__wt_glc_anaero__2,-0.9160127087000001,0.4812173115,-0.08955874200000001,0.0007891440000000001
minspan__wt_trp__1,3.3441936617,1.1284618325,0.016084043000000003,0.37930993300000004
minspan__bw_delcra_glc__2,0.2235387188,0.9000396325000001,0.268831166,0.207746483
minspan__bw_delcra_trp__1,1.2130484643,0.7527472295000001,0.030301163000000002,0.245706203
minspan__bw_delmntr__1,1.7741140670000002,0.7100437915000001,0.12121000100000001,0.395080543
minspan__bw_delnac_ade__1,2.3568489980000003,0.4393775145,0.083390378,0.005806082000000001
minspan__bw_delnac_glc__1,-0.7191226394,0.5099602695000001,0.41288737200000003,0.19238992300000002
cra_crp__wt_ac__1,17.3141093821,2.8516064385,0.343919792,0.7848307330000001
cra_crp__wt_ac__2,17.1969424127,2.7479997005,0.222851611,0.774460393
cra_crp__wt_fru__1,4.8888948832,0.6883125595,0.32115443200000005,0.31349375300000004
cra_crp__wt_fru__2,4.6802349701,0.7406749795,0.286542844,0.373244063
cra_crp__delcra_ac__1,13.7722816725,2.6906376985,0.5809128020000001,0.205353913
cra_crp__delcra_ac__2,14.0316298197,2.7281318445,0.6237719420000001,0.159225273
cra_crp__delcra_fru__1,1.1193855308,0.7426724405,0.44571107200000004,0.12650519300000002
cra_crp__delcra_fru__2,0.9037401527000001,0.22171730850000002,0.527806022,0.163147493
cra_crp__delcra_glc__1,0.017796317000000002,0.1881891555,-0.06741426,0.046791002000000005
cra_crp__delcra_glc__2,0.4379285107,0.4720314685,-0.009461412,-0.014761104
rpoB__wt_031__1,10.2713368137,2.1055783995,0.41899008200000004,0.271760703
rpoB__wt_044__1,1.1187092077,0.42362902150000004,-0.002706628,0.20485867300000002
rpoB__wt_lb__1,14.8964302049,2.7458434185,0.5912388620000001,0.24727295300000002
rpoB__wt_lb__2,14.6852177713,2.9528205315,0.555214862,0.204154523
rpoB__rpoBE546V_031__1,4.6665202377,1.0848738915,1.075322802,0.45717146300000006
rpoB__rpoBE546V_044__1,3.5432838899,0.5811051855,1.046519562,0.376256283
rpoB__rpoBE546V_lb__1,8.231615544,1.1771729735,0.663852262,0.11748048200000001
rpoB__rpoBE546V_lb__2,7.5741144903,1.4214183135,0.6135239920000001,0.125422963
rpoB__rpoBE546V_glc__1,-1.4835478184,-0.057069546500000005,0.129992928,-0.004082425000000001
rpoB__rpoBE672K_glc__1,-2.3290846479000002,-0.8915850515,-0.926944088,-0.66628918
rpoB__rpoBE672K_glc__2,-1.9635541970000001,-1.0384320595,-0.9221537670000001,-0.570898456
rpoB__rpoBE672K_lb__1,-3.0120738004,-0.5364719795,-0.9664375940000001,-0.228845183
rpoB__rpoBE672K_lb__2,-0.9564859652000001,-0.5351612035000001,-0.89091248,-0.18410035800000002
crp__wt_fru__1,1.6446274899,0.8149162625,-0.08924797200000001,-0.134837475
crp__wt_glyc__1,3.3423502487,0.9534184115000001,0.38219653200000003,-0.06971342200000001
crp__wt_glyc__2,3.316883902,1.0022760135,0.29671736200000004,0.000271048
crp__delar1_glyc__1,4.1785294672,0.9706928925,0.45762537200000003,0.768482663
crp__delar1_glyc__2,5.1303620466,0.6980164265000001,0.33209055200000004,0.980974663
crp__delar1ar2_glyc__1,2.691758072,1.1669054205,0.193629716,0.29165508300000004
crp__delar1ar2_glyc__2,3.0955985898,1.2095872695,0.33613993200000003,0.25672264300000003
crp__delar1ar2_glyc__3,3.866586101,1.2021082855,0.21436483,0.37124749300000004
crp__delar2_glyc__1,10.0115510447,2.6200825075000003,1.187215512,1.429825303
crp__delar2_glyc__2,9.3249409881,2.4571343645,1.041209602,1.300445483
crp__delar2_glyc__3,8.7602919106,2.4569286715,1.000426512,1.236903523
crp__delcrp_fru__1,2.7396033709000003,0.6262593395,1.403545152,-9.852476477
crp__delcrp_fru__2,2.8011326851,0.5947987415,1.312142502,-9.107951936
crp__delcrp_fru__3,2.7922895777,0.6186783535,1.332774822,-9.852476477
crp__delcrp_glc__1,2.185155837,0.4065772265,1.220202512,-9.025871704
crp__delcrp_glc__2,2.4176726927,0.17240937450000002,1.232196922,-9.566616581
crp__delcrp_glc__3,3.041974401,0.6277894555,1.2185585620000001,-9.852476477
crp__delcrp_glyc__1,2.9102497856,0.8554242145000001,1.473030322,-9.852476477
crp__delcrp_glyc__2,3.147555236,0.9069751805,1.491695502,-9.852476477
crp__delcrp_glyc__3,3.5757423737,1.0210152195,1.425635312,-9.852476477
glu__glu_ale3__1,-3.8402101712,-0.6099849525000001,0.7930836120000001,1.438555163
glu__glu_ale4__1,-2.3602111609,-0.7165592985,-0.261345063,0.12370463300000001
glu__glu_ale5__1,-1.1778985932000001,-0.29364134950000004,-0.923966688,0.23737495300000003
glu__glu_ale6__1,-2.0713414667,-1.4065900555,-1.072388459,-0.266972174
glu__glu_ale8__1,-2.1190989854,-0.6808817165000001,0.8990942620000001,1.5517659030000002
glu__glu_ale9__1,-2.6071883494,-0.4598999865,-0.267016099,0.736260553
glu__glu_ale10__1,-3.567724311,-0.9287292435000001,-0.06099581900000001,1.248499963
42c__wt_42c__1,-0.46277490450000003,0.4926641695,-0.281531602,-0.022893763
42c__42c_ale1__1,2.3572917587,0.8931971365,-0.48538561300000005,0.578078713
42c__42c_ale2__1,-1.3103807358,-0.8878785745000001,-0.28717722,-0.001157444
42c__42c_ale3__1,-1.7399492144000002,-0.5438753745,-0.530759834,-0.163650862
42c__42c_ale4__1,0.3189227707,-0.5780941565000001,-0.06679679300000001,0.18829674300000002
42c__42c_ale5__1,-0.6951873241000001,-0.40662208050000004,-0.4238999,-0.255090408
42c__42c_ale6__1,-4.0396242259,-0.8352305305000001,-1.679026192,0.584709813
42c__42c_ale8__1,-1.2637662488,-0.8047911325,-0.6158962060000001,0.898060053
42c__42c_ale9__1,-3.1309580237,-1.6994414275,-0.5299862820000001,0.234450913
42c__42c_ale10__1,-0.14812411420000002,-0.3898697135,-0.523400039,0.5824345430000001
ssw__wt_ac__1,14.7308412097,2.9166796575,1.223033602,0.155824183
ssw__wt_glc__1,-1.1217901947,-0.3754914545,-0.634528351,0.08995910700000001
ssw__wt_glyc__1,5.907727493,1.2405070975,-0.137538191,0.264629563
ssw__wt_xyl__1,2.721979374,1.0411117965,0.24299832000000002,0.615108903
ssw__glc_ale1__1,0.17900599,0.8330918655,0.743275232,0.311997713
ssw__glc_ale2__1,-0.8370605472,-0.017273503500000002,0.42675417200000004,0.5353218630000001
ssw__glc_ale3__1,-1.6308406444,0.1945915085,-0.580133845,0.445484003
ssw__glyc_ale1__1,0.0582644384,0.6814813175000001,0.25396372500000003,0.29887890300000003
ssw__glyc_ale2__1,-1.2638045566,0.1913049185,-0.752617222,0.302115623
ssw__xyl_ale1__1,-0.2841261687,-0.47269165150000003,0.0710249,-0.214788422
ssw__xyl_ale2__1,-2.2053650146,0.0245591905,0.116572929,0.026451149
ssw__xyl_ale3__1,0.6755593749000001,0.17390305650000001,-0.28887214,-0.313835929
ssw__glc_ac_ac2__1,-0.7499421897,0.0322268815,-0.9307193810000001,0.506935123
ssw__glc_ac_glc1__1,-0.7088261426,0.1904183815,-0.209421098,-0.42053636400000005
ssw__glc_glyc_glc__1,0.3817318247,0.6651054545,0.518224082,0.565682133
ssw__glc_glyc_glyc__1,1.5007192005,1.2116143095,0.460795852,0.307042493
ssw__glc_xyl_glc__1,-3.8157409021,-0.23472190950000002,-0.634889455,0.029020072
ssw__glc_xyl_xyl__1,-0.195115695,0.4483726335,-0.264002552,-0.24384744700000002
ica__wt_glc__1,0.1432868554,0.3269584895,-0.760218982,-0.021205165
ica__wt_glc__2,0.24509939290000002,0.0699362565,-0.853688909,-0.013075078
ica__wt_glc__3,-1.0214612039,-0.0639804685,0.049913986,0.093050269
ica__wt_glc__4,-1.0751695564000001,0.1244446825,0.090811919,0.39985849300000004
ica__arg_sbt__1,5.1827117768,0.8008546635,0.589161122,0.172960833
ica__arg_sbt__2,4.3927203555,0.4180731905,0.38819800200000004,0.493173503
ica__cytd_rib__1,20.5437465672,2.7931538565,0.7651803420000001,0.503238653
ica__cytd_rib__2,20.6647078941,2.9158603175,0.6480234420000001,0.486485123
ica__gth__1,2.6333463482,0.6325441365000001,0.891268402,-0.34473195700000003
ica__gth__2,1.7353274591,0.7334979775,1.006328562,-0.550939686
ica__leu_glcr__1,1.1984143907,-0.3582934055,-0.236939853,1.026079293
ica__leu_glcr__2,1.8930949455000001,-0.2750823195,-0.303417861,0.9645909530000001
ica__met_glc__1,-1.2076520799,-0.7510405995,-1.022815705,-0.0020434050000000003
ica__met_glc__2,-1.2467289831000001,-0.5318049875,-1.1022078180000001,-0.06998529
ica__no3_anaero__1,0.43526287490000004,0.1420275565,-0.195428179,0.166015523
ica__no3_anaero__2,0.3329895118,0.23600946750000001,-0.121725145,0.165936663
ica__phe_acgam__1,-0.8224674496000001,-0.3879476565,-0.492266825,0.08710832
ica__phe_acgam__2,-1.1402445595,-0.41676726950000004,-0.58526513,0.073714532
ica__thm_gal__1,9.949572355899999,2.1821562855,0.606615282,0.419092283
ica__thm_gal__2,9.7353278594,2.0736252285,0.6685109720000001,0.41257850300000004
ica__tyr_glcn__1,0.0357040431,-0.8393031005,-0.5756726790000001,0.211699823
ica__tyr_glcn__2,0.2551041725,-0.6831345435,-0.507721481,0.24928939300000003
ica__ura_pyr__1,0.4142795942,0.2742387025,0.20881733900000002,0.823666823
ica__ura_pyr__2,1.8687111992,0.6220453905000001,0.446916122,1.104333543
ica__wt_glc__5,-0.17669939040000002,-0.1500874475,-0.44323311600000004,0.31050345300000004
ica__wt_glc__6,0.4682034719,-0.20001256450000002,-0.344020588,0.33765284300000004
ica__bw_delpurR_cytd__1,-0.5657091529,-0.2672771015,-1.10661481,-0.141785767
ica__bw_delpurR_cytd__2,-2.440480537,-0.0430401995,-0.40072797,0.255483463
ica__ade_glc__1,-2.2393079007,-0.3976584875,-0.41283612900000005,0.27079068300000003
ica__ade_glc__2,-0.036818791600000005,-0.6932007535,-1.293643016,-0.10748262700000001
ytf__wt_glc__1,1.1202011473,0.5814338135,0.341964942,0.340002173
ytf__wt_glc__2,1.8162718799,1.2587707275,0.6804132620000001,0.487174103
ytf__delyafC__1,4.2032792507,0.8506235715,0.556544842,0.518280163
ytf__delyafC__2,3.8262716677,1.0472799255,0.6846965420000001,0.5586262230000001
ytf__delyeiE__1,2.0552102245,0.8230227775000001,0.24851932100000002,0.452821843
ytf__delyeiE__2,1.8989160864999999,0.5065944045,0.072319354,0.36938018300000003
ytf__delyiaJ__1,3.1623495009,1.1177872295,0.602499332,0.49007886300000003
ytf__delyiaJ__2,3.2512428080999998,0.9482463615000001,0.775933062,0.474334523
ytf__delyieP__1,1.364534365,0.8050223935,0.622855142,0.830611623
ytf__delyieP__2,1.1853112655,0.6319488505,0.770140982,0.7498248230000001
ytf__wt_ph5__1,1.0965140272,0.44148814150000004,0.46668029200000005,0.39857596300000003
ytf__wt_ph5__2,0.7462301602,0.44773879450000004,0.490794722,0.474739703
ytf__wt_ph8__1,0.2936621859,-0.11997097550000001,0.413575132,0.27564292300000004
ytf__wt_ph8__2,-0.20718122300000003,0.4144965955,0.42222096200000003,0.268154863
ytf__delybaO__1,4.5149586089,1.2259509955,0.39317079200000005,0.582376183
ytf__delybaO__2,3.7070873156,1.2054926135,0.509847962,0.636744023
ytf__delybaQ__1,0.6116137345,0.3353868025,0.110479853,0.332940493
ytf__delybaQ__2,0.6434601905,0.08768334850000001,0.19184862700000002,0.32368551300000004
ytf__delybiH__1,1.6633242212,0.8251129395,0.7546381320000001,0.636331983
ytf__delybiH__2,2.6962867449,1.0206531065,0.858339712,0.554671843
ytf__delydcI_ph5__1,0.2879236135,0.33908892350000003,0.23723094300000003,0.36809995300000004
ytf__delydcI_ph5__2,0.4898974153,0.3237600845,0.21605959200000002,0.422601483
ytf__delydcI_ph8__1,0.399192515,0.4040616025,0.5150319520000001,0.363195763
ytf__delydcI_ph8__2,0.21939191600000002,0.3282307635,0.075430536,0.30711134300000004
ytf__delyddM__1,1.055581389,0.3585781485,0.590555552,0.8218948030000001
ytf__delyddM__2,0.5034359213,0.5676927375,0.554853602,0.832054603
ytf__delyheO__1,4.8940151634,0.8111478395,0.440513052,0.596168643
ytf__delyheO__2,3.9237384768,1.2778736785,0.5138055220000001,0.633656513
fps__bw_glc__1,-1.335034862,-0.1205578895,-0.42322193300000005,0.23073483300000003
fps__bw_glc__2,-1.6863248452000001,-0.6474717425000001,-0.397225969,0.160408733
fps__fps_thrA_ale1__1,-0.8175851616,0.2606675385,0.39264833200000004,0.33273120300000003
fps__fps_thrA_ale1__2,-0.2680602744,0.2730356785,0.40612146200000004,0.351625083
fps__fps_thrA_ale2__1,-0.4328729321,0.0980654675,0.563901842,0.22966762300000002
fps__fps_thrA_ale2__2,0.19473475340000002,0.5283033575,0.45276521200000003,0.288967533
fps__fps_serB_ale1__1,0.48986868570000003,0.1262261965,0.19160315700000002,0.263027813
fps__fps_serB_ale1__2,1.0565817347,0.23231888750000002,0.146452999,0.38965776300000005
fps__fps_serB_ale4__1,1.5277514830999999,0.2278781785,0.361100702,0.20591431300000002
fps__fps_serB_ale4__2,2.3610568063,0.8474727475,0.14233325400000002,0.360213693
fps__fps_ptsI_ale1__1,3.9496954618,0.9997804985000001,1.047253142,0.045779202000000005
fps__fps_ptsI_ale1__2,5.1122883563,1.2901897985,0.915891192,0.144864783
fps__fps_ptsI_ale3__1,3.1406833556000002,0.9313823395,0.5594406820000001,0.252590313
fps__fps_ptsI_ale3__2,3.532615074,0.8382857765,0.625345122,0.223236343
pal__lyx_ale2_f6__1,11.7142261215,2.1876179755,1.221120712,0.33342218300000004
pal__lyx_ale2__1,5.7754645736,1.2546465525000001,0.9668986020000001,0.264908103
pal__lyx_ale2__2,5.9550434096,1.2239139445,1.011708712,0.307141653
pal__lyx_ale4__1,4.479646896,0.6518782445,-0.31484015,-0.057655873
pal__lyx_ale4__2,4.5428468641,0.7632968565,-0.48601730600000004,-0.070605865
pal__5drib_ale10_f18__1,13.709279844,2.7190012575,0.652653732,-0.069139537
pal__5drib_ale10_f18__2,13.8045744401,2.6730419375,0.6990012320000001,-0.022394787000000003
pal__5drib_ale10__1,14.1394376306,3.0063507135,0.720726312,0.401836273
pal__arab_ale14_f9__1,2.3622143846,0.4873160125,0.672899162,0.24554710300000002
pal__arab_ale14_f9__2,2.8327318081,0.5771699365,0.514171322,0.412722073
pal__arab_ale14__1,3.2678181648,0.9105724585,-0.065868839,0.376783933
pal__arab_ale14__2,3.2717749894,0.9971014985000001,-0.171776657,0.375609213
pal__arab_ale16__1,9.1880016925,2.3326830255,-0.002671377,0.029854537
pal__arab_ale16__2,9.9758811155,2.3567449845,0.191384187,0.109766425
pal__tartr_ale26_f10__1,14.2239994636,2.4573847665,1.052987252,0.311947293
pal__tartr_ale26_f10__2,15.4117194582,2.5823773345000003,1.117358552,0.19927317300000003
pal__tartr_ale26__1,10.1900907996,1.6156168005,0.389226942,0.385079333
pal__tartr_ale26__2,9.9231045865,1.9947917665000001,0.314109252,0.334463263
pal__tartr_ale28_f10__1,16.0031811756,2.8203152915,1.265058722,-0.0037122770000000004
pal__tartr_ale28_f10__2,15.64781714,3.0572292285,0.9722561120000001,-0.098690551
pal__tartr_ale28__1,7.0595524602,1.0701146865,0.063914889,0.272968543
pal__tartr_ale28__2,5.1810286707,1.8122937325000001,0.36638761200000003,0.268494893
efeU__delmenFentC_citr__1,0.9788990146000001,0.1936501575,0.43246427200000004,0.422197943
efeU__delmenFentC_citr__2,0.135982771,0.2480319525,0.389756152,0.567725263
efeU__delmenFentC__1,2.7483611188,0.5106650335,1.177584972,0.6961985230000001
efeU__delmenFentC__2,2.8216530766,0.5538734735,1.115352902,0.736210653
efeU__menFentC_ale39__1,1.3754597534,-0.11929369150000001,-0.068474823,0.5420487930000001
efeU__menFentC_ale39__2,1.3200256663,0.2282073615,-0.114093364,0.5730386230000001
efeU__menFentC_ale29__1,1.0843464786,-0.6728871005,0.653364402,0.911502773
efeU__menFentC_ale29__2,1.2531240051,-0.5889324395000001,0.730860912,0.943276293
efeU__menFentC_ale30__1,0.5727339885,-0.2582990435,-0.6166222720000001,0.106685208
efeU__menFentC_ale30__2,-0.7917805774000001,-0.1985857105,-0.36928399700000003,0.063971556
efeU__menFentCubiC_ale36__1,-0.20092646390000002,0.3235763605,0.204656004,0.821857583
efeU__menFentCubiC_ale36__2,0.2101560352,0.2612087415,0.245879587,0.648169773
efeU__menFentCubiC_ale37__1,0.6015624928000001,0.6383146665,0.5874251220000001,0.843077653
efeU__menFentCubiC_ale37__2,0.4337666277,0.5247339135,0.40229103200000005,0.8884085730000001
efeU__menFentCubiC_ale38__1,0.7425545886,0.5700995735000001,0.33760438200000004,0.348438943
efeU__menFentCubiC_ale38__2,0.8366031643,0.4906165805,0.321729782,0.309908293
misc2__salc_glc__1,2.7010300235,0.4428192065,0.8863017320000001,-0.030941686000000003
misc2__salc_glc__2,0.8485311022,0.5650399085,1.151312292,-0.041858422
misc2__dbcn_glc__1,-4.1712053603,-0.37101730650000003,-0.870570438,-0.41418928400000005
misc2__dbcn_glc__2,-3.5407170315,-0.1929990915,-0.053842641000000004,-0.322180379
misc2__tyr_glc__1,0.7899019228,0.0536521805,0.030154189,0.482338413
misc2__tyr_glc__2,0.8597716049,0.33595333450000003,0.189315261,0.519726133
misc2__arg_cytd__1,-0.8216312851,-0.3397613135,-0.9715555750000001,0.10509646700000001
misc2__arg_cytd__2,-1.2745477950000001,-0.0189376945,-0.9203768010000001,0.09710128400000001
misc2__delyheO_pyr__1,4.2765219048,0.5114173425,0.746716032,1.000412783
misc2__delyheO_pyr__2,2.9063135006,0.5933632775000001,0.640421412,1.013481493
nquinone__delubiC__1,-0.5499700214000001,0.1169182205,-0.18854235400000002,0.44647993300000005
nquinone__delubiC__2,-0.6322443289,0.3773353645,0.030013313000000003,0.618285233
nquinone__ubiC_ale1__1,0.3498527188,0.2090284065,0.41317053200000003,0.46214110300000005
nquinone__ubiC_ale1__2,0.8784694246,0.6425003335,0.44372140200000004,0.518639853
nquinone__ubiC_ale2__1,1.7393694792,0.5897571015,0.9644070320000001,0.47472340300000004
nquinone__ubiC_ale2__2,1.4953947437,0.4610989455,0.825257302,0.429799533
nquinone__ubiC_ale3__1,-0.1986536307,-0.1186597405,-0.490303827,0.026469302
nquinone__ubiC_ale3__2,-0.4676525764,-0.3494300395,-0.46322188700000005,0.09906102300000001
nquinone__ubiC_ale4__1,1.6480427877000001,0.5318930815,0.630730562,0.49321258300000004
nquinone__ubiC_ale4__2,1.7856346068,0.9570040325,0.697185532,0.508607923
nquinone__delpdhR__1,-0.7220250174,0.0929992055,-0.7608141740000001,0.38566819300000005
nquinone__delpdhR__2,-0.6815723866000001,0.2596597265,-0.7927318760000001,0.362990173
quinone__glu_ale4__1,-0.9223455662000001,-0.2853631245,-0.37281189800000003,0.36842613300000004
quinone__glu_ale4__2,-0.8059196965000001,-0.1274503955,-0.370992619,0.736125773
quinone__delmenF__1,-0.21156406,0.0578502735,0.04685425,0.553279673
quinone__delmenF__2,1.1875650934,0.1693892625,0.363218242,0.42430167300000005
quinone__menF_ale5__1,0.9848045919,0.48237691650000003,0.414445702,0.904530523
quinone__menF_ale5__2,0.872873454,0.13186095350000002,0.635844992,0.929254393
quinone__menF_ale6__1,2.0354233569,0.4875842005,0.416631322,0.9289372330000001
quinone__menF_ale6__2,1.8487186619,0.4114615645,0.349855482,0.9358953230000001
quinone__menF_ale7__1,3.1510547905,0.8917505905,0.27863103300000003,0.8647486830000001
quinone__menF_ale7__2,3.2288208323,1.1621185395,0.352076192,0.829767083
quinone__menF_ale8__1,1.2413867999,0.5141481625000001,0.081373631,1.000233243
quinone__menF_ale8__2,1.5622013926,0.3029542965,0.289872226,0.9954071830000001
quinone__delmenFubiC__1,-0.210859437,0.08298699650000001,0.434302342,0.503242803
quinone__delmenFubiC__2,-0.2589150809,0.22116847650000002,0.44545774200000005,0.5733612730000001
quinone__menFubiC_ale1__1,1.1995337779,0.0378066045,-0.592986713,0.688985203
quinone__menFubiC_ale1__2,0.5648774630000001,0.049490372500000004,-0.6825730510000001,0.689163233
quinone__menFubiC_ale2__1,1.0437847324,-0.20443178450000002,-0.48291984600000004,0.566404903
quinone__menFubiC_ale2__2,1.1534865314,0.29571639250000004,-0.666881703,0.587592463
quinone__menFubiC_ale3__1,1.3829271383,0.2717619705,0.230084175,0.10847917900000001
quinone__menFubiC_ale3__2,1.3387637305,-0.2402757175,0.23440550300000002,0.14360144
quinone__menFubiC_ale4__1,-0.129300938,0.48423876050000003,1.010209612,1.042582673
quinone__menFubiC_ale4__2,0.5160213695,0.43849744150000003,0.9647885620000001,1.027989663
oxyR__wt_glc__1,0.1616904237,0.3028506505,0.378515502,0.09382866100000001
oxyR__wt_glc__2,-0.030440336300000002,0.37993863050000004,0.446818512,0.13043923
oxyR__wt_h2o2__1,-0.177684012,0.4047385515,0.523289032,0.057576022000000004
oxyR__wt_h2o2__2,0.7419088618,0.6101928305000001,1.140273702,0.46187418300000005
oxyR__glu_ale4__1,0.7264107612,0.8799785095,1.471336792,0.7723290730000001
oxyR__glu_ale4__2,-0.5648917709,0.7525526105,0.989478182,0.495795953
oxyR__glu_ale4_h2o2__1,0.6724782642,0.8094806145000001,1.105704232,0.621328373
