,TF,gene_id,effect
1667,SigA,BSU15270,sigma factor
1668,SigA,BSU13530,sigma factor
1669,SigA,BSU17450,sigma factor
1670,SigA,BSU25300,sigma factor
1671,SigA,BSU40030,sigma factor
1672,SigA,BSU26270,sigma factor
1673,SigA,BSU36650,sigma factor
1674,SigA,BSU35700,sigma factor
1675,SigA,BSU27270,sigma factor
1676,SigA,BSU_misc_RNA_72,sigma factor
1677,SigA,BSU10620,sigma factor
1678,SigA,BSU37500,sigma factor
1679,SigA,BSU02850,sigma factor
1680,SigA,BSU25230,sigma factor
1681,SigA,BSU00020,sigma factor
1682,SigA,BSU15600,sigma factor
1683,SigA,BSU30560,sigma factor
1684,SigA,BSU14540,sigma factor
1685,SigA,BSU32300,sigma factor
1686,SigA,BSU14610,sigma factor
1687,SigA,BSU28710,sigma factor
1688,SigA,BSU16590,sigma factor
1689,SigA,BSU26259,sigma factor
1690,SigA,BSU31910,sigma factor
1691,SigA,BSU29010,sigma factor
1692,SigA,BSU19560,sigma factor
1693,SigA,BSU36480,sigma factor
1694,SigA,BSU39420,sigma factor
1695,SigA,new_2273515_2273748,sigma factor
1696,SigA,BSU02290,sigma factor
1697,SigA,BSU34280,sigma factor
1698,SigA,BSU23100,sigma factor
1699,SigA,BSU07900,sigma factor
1700,SigA,BSU32520,sigma factor
1701,SigA,BSU11880,sigma factor
1702,SigA,BSU24610,sigma factor
1703,SigA,BSU35430,sigma factor
1704,SigA,BSU07400,sigma factor
1705,SigA,BSU22070,sigma factor
1706,SigA,BSU29740,sigma factor
1707,SigA,BSU11230,sigma factor
1708,SigA,BSU17400,sigma factor
1709,SigA,BSU36240,sigma factor
1710,SigA,BSU01380,sigma factor
1711,SigA,BSU32470,sigma factor
1712,SigA,BSU30800,sigma factor
1713,SigA,BSU14510,sigma factor
1714,SigA,BSU23560,sigma factor
1715,SigA,BSU01370,sigma factor
1716,SigA,BSU35370,sigma factor
1717,SigA,BSU08730,sigma factor
1718,SigA,BSU16630,sigma factor
1719,SigA,BSU00520,sigma factor
1720,SigA,BSU41040,sigma factor
1721,SigA,BSU27920,sigma factor
1722,SigA,BSU17930,sigma factor
1723,SigA,BSU23570,sigma factor
1724,SigA,BSU29610,sigma factor
1725,SigA,BSU12300,sigma factor
1726,SigA,BSU31200,sigma factor
1727,SigA,BSU05480,sigma factor
1728,SigA,BSU15220,sigma factor
1729,SigA,BSU06490,sigma factor
1730,SigA,BSU02360,sigma factor
1731,SigA,BSU14160,sigma factor
1732,SigA,BSU16020,sigma factor
1733,SigA,BSU33910,sigma factor
1734,SigA,BSU32680,sigma factor
1735,SigA,BSU36300,sigma factor
1736,SigA,BSU33710,sigma factor
1737,SigA,BSU24200,sigma factor
1738,SigA,BSU22140,sigma factor
1739,SigA,BSU08230,sigma factor
1740,SigA,BSU39670,sigma factor
1741,SigA,BSU40420,sigma factor
1742,SigA,BSU23800,sigma factor
1743,SigA,BSU33920,sigma factor
1744,SigA,BSU28790,sigma factor
1745,SigA,BSU34700,sigma factor
1746,SigA,BSU29310,sigma factor
1747,SigA,BSU27510,sigma factor
1748,SigA,BSU13550,sigma factor
1749,SigA,BSU19850,sigma factor
1750,SigA,BSU38590,sigma factor
1751,SigA,BSU25570,sigma factor
1752,SigA,BSU02130,sigma factor
1753,SigA,BSU32820,sigma factor
1754,SigA,BSU36520,sigma factor
1755,SigA,BSU31500,sigma factor
1756,SigA,BSU16170,sigma factor
1757,SigA,BSU25460,sigma factor
1758,SigA,BSU36120,sigma factor
1759,SigA,BSU01910,sigma factor
1760,SigA,BSU03890,sigma factor
1761,SigA,BSU35560,sigma factor
1762,SigA,BSU03230,sigma factor
1763,SigA,BSU07670,sigma factor
1764,SigA,BSU13150,sigma factor
1765,SigA,BSU39370,sigma factor
1766,SigA,BSU02980,sigma factor
1767,SigA,BSU37040,sigma factor
1768,SigA,BSU11250,sigma factor
1769,SigA,BSU18470,sigma factor
1770,SigA,BSU24660,sigma factor
1771,SigA,BSU03050,sigma factor
1772,SigA,BSU40040,sigma factor
1773,SigA,BSU22120,sigma factor
1774,SigA,BSU16190,sigma factor
1775,SigA,BSU09420,sigma factor
1776,SigA,BSU25840,sigma factor
1777,SigA,BSU00640,sigma factor
1778,SigA,BSU31840,sigma factor
1779,SigA,BSU06360,sigma factor
1780,SigA,BSU39480,sigma factor
1781,SigA,BSU00930,sigma factor
1782,SigA,BSU00040,sigma factor
1783,SigA,BSU29700,sigma factor
1784,SigA,BSU36500,sigma factor
1785,SigA,BSU29330,sigma factor
1786,SigA,BSU31560,sigma factor
1787,SigA,BSU10640,sigma factor
1788,SigA,BSU40090,sigma factor
1789,SigA,BSU16030,sigma factor
1790,SigA,BSU00880,sigma factor
1791,SigA,BSU03770,sigma factor
1792,SigA,BSU25289,sigma factor
1793,SigA,BSU02860,sigma factor
1794,SigA,BSU11240,sigma factor
1795,SigA,BSU21680,sigma factor
1796,SigA,BSU08240,sigma factor
1797,SigA,BSU13910,sigma factor
1798,SigA,BSU37160,sigma factor
1799,SigA,BSU31990,sigma factor
1800,SigA,BSU30280,sigma factor
1801,SigA,BSU35610,sigma factor
1802,SigA,BSU27280,sigma factor
1803,SigA,BSU00980,sigma factor
1804,SigA,BSU24980,sigma factor
1805,SigA,BSU37660,sigma factor
1806,SigA,BSU24690,sigma factor
1807,SigA,BSU28150,sigma factor
1808,SigA,BSU15310,sigma factor
1809,SigA,BSU35930,sigma factor
1810,SigA,BSU28530,sigma factor
1811,SigA,BSU28250,sigma factor
1812,SigA,BSU00740,sigma factor
1813,SigA,BSU16610,sigma factor
1814,SigA,BSU09430,sigma factor
1815,SigA,BSU04700,sigma factor
1816,SigA,BSU01340,sigma factor
1817,SigA,BSU23240,sigma factor
1818,SigA,BSU38290,sigma factor
1819,SigA,BSU06480,sigma factor
1820,SigA,BSU01240,sigma factor
1821,SigA,BSU11520,sigma factor
1822,SigA,BSU39390,sigma factor
1823,SigA,BSU01230,sigma factor
1824,SigA,BSU37170,sigma factor
1825,SigA,BSU19210,sigma factor
1826,SigA,BSU39770,sigma factor
1827,SigA,BSU35550,sigma factor
1828,SigA,BSU01400,sigma factor
1829,SigA,BSU38130,sigma factor
1830,SigA,BSU15250,sigma factor
1831,SigA,BSU35450,sigma factor
1832,SigA,BSU26340,sigma factor
1833,SigA,BSU27900,sigma factor
1834,SigA,BSU37550,sigma factor
1835,SigA,BSU30300,sigma factor
1836,SigA,BSU39760,sigma factor
1837,SigA,BSU25810,sigma factor
1838,SigA,BSU00820,sigma factor
1839,SigA,BSU29110,sigma factor
1840,SigA,BSU01760,sigma factor
1841,SigA,BSU32450,sigma factor
1842,SigA,new_1399409_1400187,sigma factor
1843,SigA,BSU01280,sigma factor
1844,SigA,BSU22460,sigma factor
1845,SigA,BSU28070,sigma factor
1846,SigA,BSU32310,sigma factor
1847,SigA,BSU00400,sigma factor
1848,SigA,BSU16940,sigma factor
1849,SigA,BSU15510,sigma factor
1850,SigA,BSU28190,sigma factor
1851,SigA,BSU01170,sigma factor
1852,SigA,BSU39400,sigma factor
1853,SigA,BSU38040,sigma factor
1854,SigA,BSU35030,sigma factor
1855,SigA,BSU28080,sigma factor
1856,SigA,BSU35790,sigma factor
1857,SigA,BSU27260,sigma factor
1858,SigA,BSU16750,sigma factor
1859,SigA,BSU29370,sigma factor
1860,SigA,BSU30420,sigma factor
1861,SigA,BSU28300,sigma factor
1862,SigA,BSU29140,sigma factor
1863,SigA,BSU24960,sigma factor
1864,SigA,BSU13190,sigma factor
1865,SigA,BSU32710,sigma factor
1866,SigA,BSU25780,sigma factor
1867,SigA,BSU35500,sigma factor
1868,SigA,BSU32530,sigma factor
1869,SigA,BSU16130,sigma factor
1870,SigA,BSU02260,sigma factor
1871,SigA,BSU37720,sigma factor
1872,SigA,BSU00180,sigma factor
1873,SigA,BSU38270,sigma factor
1874,SigA,BSU24010,sigma factor
1875,SigA,BSU31960,sigma factor
1876,SigA,BSU40160,sigma factor
1877,SigA,BSU22100,sigma factor
1878,SigA,BSU35760,sigma factor
1879,SigA,BSU35609,sigma factor
1880,SigA,BSU07610,sigma factor
1881,SigA,BSU34140,sigma factor
1882,SigA,BSU00050,sigma factor
1883,SigA,BSU35620,sigma factor
1884,SigA,BSU06310,sigma factor
1885,SigA,BSU22500,sigma factor
1886,SigA,BSU05860,sigma factor
1887,SigA,BSU04250,sigma factor
1888,SigA,BSU35890,sigma factor
1889,SigA,BSU01220,sigma factor
1890,SigA,BSU29470,sigma factor
1891,SigA,BSU33780,sigma factor
1892,SigA,BSU22110,sigma factor
1893,SigA,BSU06460,sigma factor
1894,SigA,BSU31930,sigma factor
1895,SigA,BSU10660,sigma factor
1896,SigA,BSU11190,sigma factor
1897,SigA,BSU09100,sigma factor
1898,SigA,BSU03310,sigma factor
1899,SigA,BSU07890,sigma factor
1900,SigA,BSU39750,sigma factor
1901,SigA,BSU13620,sigma factor
1902,SigA,BSU13360,sigma factor
1903,SigA,BSU16220,sigma factor
1904,SigA,BSU13570,sigma factor
1905,SigA,BSU32440,sigma factor
1906,SigA,BSU01260,sigma factor
1907,SigA,BSU40060,sigma factor
1908,SigA,BSU04730,sigma factor
1909,SigA,BSU05730,sigma factor
1910,SigA,BSU34050,sigma factor
1911,SigA,BSU22450,sigma factor
1912,SigA,BSU38420,sigma factor
1913,SigA,BSU32830,sigma factor
1914,SigA,BSU15520,sigma factor
1915,SigA,BSU36000,sigma factor
1916,SigA,BSU04770,sigma factor
1917,SigA,BSU23360,sigma factor
1918,SigA,BSU34690,sigma factor
1919,SigA,BSU25440,sigma factor
1920,SigA,BSU33490,sigma factor
1921,SigA,BSU14860,sigma factor
1922,SigA,BSU23550,sigma factor
1923,SigA,BSU15980,sigma factor
1924,SigA,BSU35390,sigma factor
1925,SigA,BSU12940,sigma factor
1926,SigA,BSU13460,sigma factor
1927,SigA,BSU29300,sigma factor
1928,SigA,BSU28160,sigma factor
1929,SigA,BSU25470,sigma factor
1930,SigA,BSU07800,sigma factor
1931,SigA,BSU34960,sigma factor
1932,SigA,BSU25490,sigma factor
1933,SigA,BSU35870,sigma factor
1934,SigA,BSU_misc_RNA_2,sigma factor
1935,SigA,BSU23500,sigma factor
1936,SigA,BSU03000,sigma factor
1937,SigA,BSU26330,sigma factor
1938,SigA,BSU22230,sigma factor
1939,SigA,BSU32550,sigma factor
1940,YfmP,BSU07400,repression
1941,YfmP,BSU07390,repression
1942,GlpP,BSU09300,antitermination
1943,GlpP,BSU09290,antitermination
1944,GlpP,BSU02140,antitermination
1945,GlpP,BSU02130,antitermination
1946,GlpP,BSU09280,antitermination
1947,LnrK,BSU08310,activation
1948,LnrK,BSU08330,activation
1949,LnrK,BSU08320,activation
1950,SigE,BSU27450,sigma factor
1951,SigE,BSU36040,sigma factor
1952,SigE,BSU15270,sigma factor
1953,SigE,BSU08980,sigma factor
1954,SigE,BSU38970,sigma factor
1955,SigE,BSU32890,sigma factor
1956,SigE,BSU17420,sigma factor
1957,SigE,BSU29110,sigma factor
1958,SigE,BSU04610,sigma factor
1959,SigE,BSU06290,sigma factor
1960,SigE,BSU40630,sigma factor
1961,SigE,BSU15360,sigma factor
1962,SigE,BSU19710,sigma factor
1963,SigE,BSU14250,sigma factor
1964,SigE,BSU30940,sigma factor
1965,SigE,BSU36430,sigma factor
1966,SigE,BSU15220,sigma factor
1967,SigE,BSU38230,sigma factor
1968,SigE,BSU37890,sigma factor
1969,SigE,BSU29240,sigma factor
1970,SigE,BSU26390,sigma factor
1971,SigE,BSU00580,sigma factor
1972,SigE,BSU37830,sigma factor
1973,SigE,BSU00230,sigma factor
1974,SigE,BSU30960,sigma factor
1975,SigE,BSU18210,sigma factor
1976,SigE,BSU15200,sigma factor
1977,SigE,BSU07270,sigma factor
1978,SigE,BSU29060,sigma factor
1979,SigE,BSU04630,sigma factor
1980,SigE,BSU15180,sigma factor
1981,SigE,BSU24430,sigma factor
1982,SigE,BSU00630,sigma factor
1983,SigE,BSU05740,sigma factor
1984,SigE,BSU33480,sigma factor
1985,SigE,BSU37920,sigma factor
1986,SigE,BSU08930,sigma factor
1987,SigE,BSU09770,sigma factor
1988,SigE,BSU25060,sigma factor
1989,SigE,BSU27300,sigma factor
1990,SigE,BSU19890,sigma factor
1991,SigE,BSU24390,sigma factor
1992,SigE,BSU10950,sigma factor
1993,SigE,BSU06280,sigma factor
1994,SigE,BSU27690,sigma factor
1995,SigE,BSU06270,sigma factor
1996,SigE,BSU08920,sigma factor
1997,SigE,BSU35240,sigma factor
1998,SigE,BSU39060,sigma factor
1999,SigE,BSU25750,sigma factor
2000,SigE,BSU01520,sigma factor
2001,SigE,BSU37840,sigma factor
2002,SigE,BSU15250,sigma factor
2003,SigE,BSU17640,sigma factor
2004,SigE,BSU37870,sigma factor
2005,SigE,BSU29080,sigma factor
2006,SigE,BSU36420,sigma factor
2007,SigE,G8J2-20,sigma factor
2008,SigE,BSU12110,sigma factor
2009,SigE,BSU28100,sigma factor
2010,SigE,BSU12050,sigma factor
2011,SigE,BSU10600,sigma factor
2012,SigE,BSU22240,sigma factor
2013,SigE,BSU10400,sigma factor
2014,SigE,BSU19700,sigma factor
2015,SigE,BSU29239,sigma factor
2016,SigE,BSU30080,sigma factor
2017,SigE,BSU24120,sigma factor
2018,SigE,BSU07280,sigma factor
2019,SigE,BSU06890,sigma factor
2020,SigE,BSU25360,sigma factor
2021,SigE,BSU19880,sigma factor
2022,SigE,BSU37810,sigma factor
2023,SigE,BSU37900,sigma factor
2024,SigE,BSU37880,sigma factor
2025,SigE,BSU27830,sigma factor
2026,SigE,BSU37820,sigma factor
2027,SigE,BSU38980,sigma factor
2028,SigE,BSU25770,sigma factor
2029,SigE,BSU12330,sigma factor
2030,SigE,BSU18220,sigma factor
2031,SigE,BSU19720,sigma factor
2032,SigE,BSU24440,sigma factor
2033,SigE,BSU11760,sigma factor
2034,SigE,BSU06900,sigma factor
2035,SigE,BSU29090,sigma factor
2036,SigE,BSU09780,sigma factor
2037,SigE,BSU28110,sigma factor
2038,SigE,BSU18260,sigma factor
2039,SigE,BSU19110,sigma factor
2040,SigE,BSU15090,sigma factor
2041,SigE,BSU36060,sigma factor
2042,SigE,BSU15170,sigma factor
2043,SigE,BSU37860,sigma factor
2044,SigE,BSU03390,sigma factor
2045,SigE,BSU36070,sigma factor
2046,SigE,BSU27970,sigma factor
2047,SigE,BSU00610,sigma factor
2048,SigE,BSU24410,sigma factor
2049,SigE,BSU33470,sigma factor
2050,SigE,BSU10610,sigma factor
2051,SigE,BSU19320,sigma factor
2052,SigE,BSU24160,sigma factor
2053,SigE,BSU27980,sigma factor
2054,SigE,BSU11750,sigma factor
2055,SigE,BSU19970,sigma factor
2056,SigE,BSU25350,sigma factor
2057,SigE,BSU15030,sigma factor
2058,SigE,BSU12370,sigma factor
2059,SigE,BSU12320,sigma factor
2060,SigE,BSU18780,sigma factor
2061,SigE,BSU30970,sigma factor
2062,SigE,BSU07300,sigma factor
2063,SigE,BSU12360,sigma factor
2064,SigE,BSU28960,sigma factor
2065,SigE,BSU10790,sigma factor
2066,SigE,BSU16720,sigma factor
2067,SigE,BSU19820,sigma factor
2068,SigE,BSU15810,sigma factor
2069,SigE,BSU09830,sigma factor
2070,SigE,BSU37910,sigma factor
2071,SigE,BSU15210,sigma factor
2072,SigE,BSU09165,sigma factor
2073,SigE,BSU05710,sigma factor
2074,SigE,BSU19740,sigma factor
2075,SigE,BSU02600,sigma factor
2076,SigE,BSU23180,sigma factor
2077,SigE,BSU32350,sigma factor
2078,SigE,BSU24380,sigma factor
2079,SigE,BSU14870,sigma factor
2080,SigE,BSU18230,sigma factor
2081,SigE,BSU29100,sigma factor
2082,SigE,BSU17030,sigma factor
2083,SigE,BSU08640,sigma factor
2084,SigE,BSU19689,sigma factor
2085,SigE,BSU19860,sigma factor
2086,SigE,BSU25530,sigma factor
2087,SigE,BSU31730,sigma factor
2088,SigE,BSU11300,sigma factor
2089,SigE,BSU19870,sigma factor
2090,SigE,BSU03100,sigma factor
2091,SigE,BSU11730,sigma factor
2092,SigE,BSU15260,sigma factor
2093,SigE,BSU01570,sigma factor
2094,SigE,BSU38240,sigma factor
2095,SigE,BSU17720,sigma factor
2096,SigE,BSU19930,sigma factor
2097,SigE,BSU23170,sigma factor
2098,SigE,BSU18240,sigma factor
2099,SigE,BSU11780,sigma factor
2100,SigE,BSU15240,sigma factor
2101,SigE,BSU00590,sigma factor
2102,SigE,BSU19680,sigma factor
2103,SigE,BSU11740,sigma factor
2104,SigE,BSU06910,sigma factor
2105,SigE,BSU00570,sigma factor
2106,SigE,BSU27430,sigma factor
2107,SigE,BSU28320,sigma factor
2108,SigE,BSU10940,sigma factor
2109,SigE,BSU07290,sigma factor
2110,SigE,BSU09940,sigma factor
2111,SigE,BSU13830,sigma factor
2112,SigE,BSU25760,sigma factor
2113,SigE,BSU12390,sigma factor
2114,SigE,BSU18239,sigma factor
2115,SigE,BSU22250,sigma factor
2116,SigE,BSU12090,sigma factor
2117,SigE,BSU10900,sigma factor
2118,SigE,BSU27670,sigma factor
2119,SigE,BSU11310,sigma factor
2120,SigE,BSU06920,sigma factor
2121,SigE,BSU28380,sigma factor
2122,SigE,BSU36410,sigma factor
2123,SigE,BSU27840,sigma factor
2124,SigE,BSU24420,sigma factor
2125,SigE,BSU19830,sigma factor
2126,SigE,BSU15230,sigma factor
2127,SigE,BSU13840,sigma factor
2128,SigE,BSU31280,sigma factor
2129,SigE,BSU19910,sigma factor
2130,SigE,BSU25520,sigma factor
2131,SigE,BSU00160,sigma factor
2132,SigE,BSU31279,sigma factor
2133,SigE,BSU37850,sigma factor
2134,SigE,BSU11290,sigma factor
2135,SigE,BSU19940,sigma factor
2136,SigE,BSU23620,sigma factor
2137,SigE,BSU00620,sigma factor
2138,SigE,BSU23530,sigma factor
2139,SigE,BSU24400,sigma factor
2140,SigE,BSU23190,sigma factor
2141,SigE,BSU27440,sigma factor
2142,SigE,BSU29160,sigma factor
2143,SigE,BSU38990,sigma factor
2144,SigE,BSU12380,sigma factor
2145,SigE,BSU13710,sigma factor
2146,SigE,BSU19250,sigma factor
2147,SigE,BSU36050,sigma factor
2148,SigE,BSU24150,sigma factor
2149,SigE,BSU23616,sigma factor
2150,SigE,BSU31270,sigma factor
2151,SigE,BSU19690,sigma factor
2152,SigE,BSU39590,sigma factor
2153,SigE,BSU09400,sigma factor
2154,SigE,BSU22800,sigma factor
2155,SigE,BSU27460,sigma factor
2156,SigE,BSU22520,sigma factor
2157,SigE,BSU32900,sigma factor
2158,SigE,BSU17740,sigma factor
2159,SigE,BSU25070,sigma factor
2160,SigE,BSU08970,sigma factor
2161,SigE,BSU12350,sigma factor
2162,SigE,BSU36750,sigma factor
2163,SigE,BSU32910,sigma factor
2164,SigE,BSU19920,sigma factor
2165,SigE,BSU01530,sigma factor
2166,SigE,BSU19900,sigma factor
2167,SigE,BSU24370,sigma factor
2168,SigE,BSU19730,sigma factor
2169,SigE,BSU39000,sigma factor
2170,SigE,BSU19330,sigma factor
2171,SigE,BSU00600,sigma factor
2172,SigE,BSU11790,sigma factor
2173,SigE,BSU05730,sigma factor
2174,SigE,BSU24130,sigma factor
2175,SigE,BSU27310,sigma factor
2176,SigE,BSU07310,sigma factor
2177,SigE,BSU30950,sigma factor
2178,SigE,BSU24360,sigma factor
2179,SigE,BSU12340,sigma factor
2180,SigE,BSU06930,sigma factor
2181,SigE,BSU30980,sigma factor
2182,SigE,BSU15190,sigma factor
2183,SigE,BSU19850,sigma factor
2184,SigE,BSU18250,sigma factor
2185,SigE,BSU11770,sigma factor
2186,SigE,BSU17970,sigma factor
2187,SigE,BSU24140,sigma factor
2188,SigE,BSU29070,sigma factor
2189,SigE,BSU24170,sigma factor
2190,SigE,BSU40940,sigma factor
2191,SigW,BSU00260,sigma factor
2192,SigW,BSU18590,sigma factor
2193,SigW,BSU35120,sigma factor
2194,SigW,BSU02310,sigma factor
2195,SigW,BSU02900,sigma factor
2196,SigW,BSU27180,sigma factor
2197,SigW,BSU36090,sigma factor
2198,SigW,BSU00250,sigma factor
2199,SigW,BSU38270,sigma factor
2200,SigW,BSU02910,sigma factor
2201,SigW,BSU08590,sigma factor
2202,SigW,BSU06280,sigma factor
2203,SigW,BSU06270,sigma factor
2204,SigW,BSU29520,sigma factor
2205,SigW,BSU00580,sigma factor
2206,SigW,BSU38940,sigma factor
2207,SigW,BSU25390,sigma factor
2208,SigW,BSU04590,sigma factor
2209,SigW,BSU31010,sigma factor
2210,SigW,BSU00630,sigma factor
2211,SigW,BSU14340,sigma factor
2212,SigW,BSU31020,sigma factor
2213,SigW,BSU38480,sigma factor
2214,SigW,BSU23830,sigma factor
2215,SigW,BSU30000,sigma factor
2216,SigW,BSU11500,sigma factor
2217,SigW,BSU06200,sigma factor
2218,SigW,BSU27160,sigma factor
2219,SigW,BSU04600,sigma factor
2220,SigW,BSU01730,sigma factor
2221,SigW,BSU11340,sigma factor
2222,SigW,BSU00610,sigma factor
2223,SigW,BSU19290,sigma factor
2224,SigW,BSU35130,sigma factor
2225,SigW,BSU25380,sigma factor
2226,SigW,BSU14360,sigma factor
2227,SigW,BSU28830,sigma factor
2228,SigW,BSU18580,sigma factor
2229,SigW,BSU30010,sigma factor
2230,SigW,BSU38260,sigma factor
2231,SigW,BSU36540,sigma factor
2232,SigW,BSU27170,sigma factor
2233,SigW,BSU08580,sigma factor
2234,SigW,BSU02920,sigma factor
2235,SigW,BSU02890,sigma factor
2236,SigW,BSU00270,sigma factor
2237,SigW,BSU02320,sigma factor
2238,SigW,BSU17840,sigma factor
2239,SigW,BSU02930,sigma factor
2240,SigW,BSU29530,sigma factor
2241,SigW,BSU06190,sigma factor
2242,SigW,BSU00590,sigma factor
2243,SigW,BSU00570,sigma factor
2244,SigW,BSU34430,sigma factor
2245,SigW,BSU06180,sigma factor
2246,SigW,BSU34440,sigma factor
2247,SigW,BSU11330,sigma factor
2248,SigW,BSU11490,sigma factor
2249,SigW,BSU31000,sigma factor
2250,SigW,BSU00620,sigma factor
2251,SigW,BSU12420,sigma factor
2252,SigW,BSU25370,sigma factor
2253,SigW,BSU38280,sigma factor
2254,SigW,BSU02940,sigma factor
2255,SigW,BSU38790,sigma factor
2256,SigW,BSU14350,sigma factor
2257,SigW,BSU14370,sigma factor
2258,SigW,BSU06210,sigma factor
2259,SigW,BSU35110,sigma factor
2260,SigW,BSU02330,sigma factor
2261,SigW,BSU00600,sigma factor
2262,SigW,BSU38250,sigma factor
2263,SigW,BSU36530,sigma factor
2264,SigW,BSU18980,sigma factor
2265,SigW,BSU01740,sigma factor
2266,SigW,BSU06290,sigma factor
2267,SigW,BSU08570,sigma factor
2268,SigW,BSU08760,sigma factor
2269,SigW,BSU35100,sigma factor
2270,FatR,BSU27170,repression
2271,FatR,BSU27160,repression
2272,SigI,BSU14160,sigma factor
2273,SigI,BSU31960,sigma factor
2274,SigI,BSU13450,sigma factor
2275,SigI,BSU14460,sigma factor
2276,SigI,BSU14470,sigma factor
2277,SigI,BSU14150,sigma factor
2278,SigI,BSU31959,sigma factor
2279,SigI,BSU14170,sigma factor
2280,SigI,BSU04400,sigma factor
2281,SigI,BSU11720,sigma factor
2282,SigI,BSU31980,sigma factor
2283,SigI,BSU32000,sigma factor
2284,SigI,BSU31970,sigma factor
2285,SigI,BSU13460,sigma factor
2286,SigI,BSU36530,sigma factor
2287,SigI,BSU09420,sigma factor
2288,SigI,BSU31990,sigma factor
2289,FrlR,BSU32600,repression
2290,FrlR,BSU32580,repression
2291,FrlR,BSU32590,repression
2292,FrlR,BSU32550,repression
2293,FrlR,BSU32610,repression
2294,FrlR,BSU32570,repression
2295,Xpf,BSU12590,sigma factor
2296,Xpf,BSU12730,sigma factor
2297,Xpf,BSU12710,sigma factor
2298,Xpf,BSU12570,sigma factor
2299,Xpf,BSU12740,sigma factor
2300,Xpf,BSU12750,sigma factor
2301,Xpf,BSU12630,sigma factor
2302,Xpf,BSU12720,sigma factor
2303,Xpf,BSU12800,sigma factor
2304,Xpf,BSU12680,sigma factor
2305,Xpf,BSU12749,sigma factor
2306,Xpf,BSU12650,sigma factor
2307,Xpf,BSU12700,sigma factor
2308,Xpf,BSU12620,sigma factor
2309,Xpf,BSU12672,sigma factor
2310,Xpf,BSU12640,sigma factor
2311,Xpf,BSU12660,sigma factor
2312,Xpf,BSU12580,sigma factor
2313,Xpf,BSU12770,sigma factor
2314,Xpf,BSU12790,sigma factor
2315,Xpf,BSU12780,sigma factor
2316,Xpf,BSU12760,sigma factor
2317,Xpf,BSU12810,sigma factor
2318,Xpf,BSU12600,sigma factor
2319,Xpf,BSU12690,sigma factor
2320,Xpf,BSU12610,sigma factor
2321,Xpf,BSU12671,sigma factor
2322,QdoR,BSU39990,repression
2323,QdoR,BSU39980,repression
2324,QdoR,BSU39970,repression
2325,TilS,BSU00680,activation
2326,TilS,BSU00670,activation
2327,TilS,BSU00690,activation
2328,LiaR,BSU33120,activation
2329,LiaR,BSU33080,activation
2330,LiaR,BSU09320,activation
2331,LiaR,BSU05720,activation
2332,LiaR,BSU33110,activation
2333,LiaR,BSU33100,activation
2334,LiaR,BSU09340,activation
2335,LiaR,BSU09330,activation
2336,LiaR,BSU33090,activation
2337,LiaR,BSU33130,activation
2338,BkdR,BSU24030,activation
2339,BkdR,BSU24080,activation
2340,BkdR,BSU24050,activation
2341,BkdR,BSU24040,activation
2342,BkdR,BSU24090,activation
2343,BkdR,BSU24060,activation
2344,BkdR,BSU24070,activation
2345,GlnL,BSU02430,activation
2346,GlnL,BSU02420,activation
2347,BltR,BSU26600,activation
2348,BltR,BSU26590,activation
2349,CymR,BSU39470,repression
2350,CymR,BSU29290,repression
2351,CymR,BSU29400,repression
2352,CymR,BSU15590,repression
2353,CymR,BSU15620,repression
2354,CymR,BSU39500,repression
2355,CymR,BSU08840,repression
2356,CymR,BSU08870,repression
2357,CymR,BSU39460,repression
2358,CymR,BSU15610,repression
2359,CymR,BSU00730,repression
2360,CymR,BSU29320,repression
2361,CymR,BSU39490,repression
2362,CymR,BSU29340,repression
2363,CymR,BSU07200,repression
2364,CymR,BSU39520,repression
2365,CymR,BSU09130,repression
2366,CymR,BSU27250,repression
2367,CymR,BSU07190,repression
2368,CymR,BSU15630,repression
2369,CymR,BSU08830,repression
2370,CymR,BSU15580,repression
2371,CymR,BSU29280,repression
2372,CymR,BSU08850,repression
2373,CymR,BSU15570,repression
2374,CymR,BSU15600,repression
2375,CymR,BSU39510,repression
2376,CymR,BSU27270,repression
2377,CymR,BSU29310,repression
2378,CymR,BSU29330,repression
2379,CymR,BSU27280,repression
2380,CymR,BSU29380,repression
2381,CymR,BSU39480,repression
2382,CymR,BSU27260,repression
2383,CymR,BSU29370,repression
2384,CymR,BSU29300,repression
2385,CymR,BSU29390,repression
2386,CymR,BSU29360,repression
2387,CymR,BSU29350,repression
2388,CymR,BSU08860,repression
2389,CymR,BSU27240,repression
2390,CymR,BSU04520,repression
2391,NadR,BSU27890,repression
2392,NadR,BSU27870,repression
2393,NadR,BSU27880,repression
2394,NadR,BSU27850,repression
2395,NadR,BSU02950,repression
2396,NadR,BSU27860,repression
2397,PucR,BSU32430,activation
2398,PucR,BSU32440,auto-repression
2399,PucR,BSU36640,activation
2400,PucR,BSU32500,activation
2401,PucR,BSU32490,activation
2402,PucR,BSU32430,auto-repression
2403,PucR,BSU36470,activation
2404,PucR,BSU36660,activation
2405,PucR,BSU32480,activation
2406,PucR,BSU13170,activation
2407,PucR,BSU32410,activation
2408,PucR,BSU32510,activation
2409,PucR,BSU32460,activation
2410,PucR,BSU36650,activation
2411,PucR,BSU32520,activation
2412,PucR,BSU32460,auto-repression
2413,PucR,BSU32420,auto-repression
