,A,FrmR
SRX5694529,3.2786217597,-0.5025742297
SRX5694530,2.128423398,0.0960961655
SRX5694532,1.2341092381,0.168881696
SRX5694533,1.3868972556,0.7709734767
SRX5694534,0.1060479591,-1.2376908722
SRX5694535,-0.3245223176,-0.9417608149000001
SRX5694536,2.8258946685,-0.5750332053
SRX5694537,0.39675854860000004,-0.21028388110000001
SRX5694538,-0.2710275119,-0.3303979455
SRX5694539,0.7302945992000001,-2.0655150919
SRX5694540,1.5720161582,0.2583696512
SRX5694541,2.2724529693,-1.2308621788
SRX5694543,7.7511583318,0.48793557800000004
SRX5694544,0.8284011555,-0.6939000891
SRX5694545,1.0112199021,-1.5014055177999999
SRX5694546,5.1113295071,-1.3716572588
SRX5694547,-0.4013666684,-0.2896715445
SRX5694548,-0.1841586067,0.1149753027
SRX5694550,-2.3320573778,-0.6053408716
SRX5694551,-0.7816728268,0.0895831842
SRX5694552,-0.9266024692,-0.6757967362
SRX5694553,-0.9844485605000001,-0.3138519897
SRX5694554,0.9507823031,0.45769045900000005
SRX5694555,0.6045179219,-0.1071762207
SRX6072760,2.4385937278,-1.1008476538
SRX6072761,2.8942999177,-1.3268980403000001
SRX6072762,1.9624646484000001,-1.3755699668
SRX6072763,1.896242033,-0.8750278382000001
SRX6072764,3.1690179108,-1.8232170333000002
SRX6072765,2.032861697,-0.7873191970000001
SRX6376491,-3.0313836574,-1.0421141157
SRX6376492,1.1129701834,1.0303199006
SRX6376493,1.9147572337,1.2231685758
SRX6376494,2.520182311,1.4802141501000001
SRX6376495,-3.083476082,-0.7633964026000001
SRX6376496,-3.030142559,-0.9754165645
SRX2723951,-2.5024428262000002,-0.4563041132
SRX2723952,-2.4311861638,-0.2546943162
SRX2723953,-1.7850223205,0.3567403307
SRX2723954,-2.1080477851,0.12477806300000001
SRX2723955,-2.273290455,-0.9867608386000001
SRX2723956,-1.8461729282000001,0.0719667016
SRX2723957,-0.0648515053,0.061424042000000005
SRX2723958,0.0165155577,0.40644931970000003
SRX2723959,0.0035174686,0.0903200033
SRX2723960,-2.5077051362000002,-0.5025450983
SRX2723961,-2.5520941061,0.0629791665
SRX2723962,-1.4454668577,-0.2416727954
SRX2723963,-0.8773423025,-0.5924384141
SRX2723964,-2.1889378291,-0.9211107637
SRX2723965,-1.095722156,-0.2336599175
SRX2723966,0.5189562600000001,0.17883499760000002
SRX2723967,-0.2302591782,0.006682768800000001
SRX2723968,-0.28869708180000003,-0.1855177664
SRX6977206,1.0202797566,0.5839494737
SRX6977207,0.9187762608000001,0.7146481629
SRX6977208,0.6025879551000001,0.2568602352
SRX6977209,0.7542274785,0.48572110630000004
SRX6977210,0.9435242839,0.3585270748
SRX6977211,0.1411486747,0.0965261724
SRX6977212,-0.4488043682,-0.0398653195
SRX6977213,0.3076556936,-0.056660853000000004
SRX6977214,1.572172085,0.5963592323
SRX1153733,0.18276142410000001,0.0456110632
SRX1153734,-0.18276142410000001,-0.0456110632
SRX1153735,0.6271056825,0.4518128917
SRX1153736,0.4345433354,0.42158407410000004
SRX5204053,0.7330727849,-0.0538839489
SRX5204054,-0.3547117515,0.2936567109
SRX5204055,0.27411197130000003,0.1371229535
SRX5204056,2.9078431204,1.3365953857
SRX5204057,2.9438412581,1.4117380344
SRX5204058,3.0646169337,1.5063832814
SRX5204059,1.3503613777,0.7675518382000001
SRX5204060,0.7486539913,0.3229843877
SRX5204061,0.7289353797,0.3133589651
SRX5204062,1.2552218827,0.2771655509
SRX5204063,0.856866923,0.6172884399
SRX5204064,0.2023461342,0.1776941021
SRX5204065,0.4488313158,-0.3008505877
SRX5204066,0.41193200820000003,-0.3034744714
SRX5204067,0.2743385727,-0.0878207584
SRX5204068,0.6976327035000001,0.31256769230000003
SRX5204069,0.2222583769,-0.06425628700000001
SRX5204070,0.9428562315000001,-0.0223456026
SRX5204071,2.476034532,1.5912908182
SRX5204072,2.1674108467,1.6493514697
SRX5204073,1.3624581835,1.094486778
SRX5204074,-0.3359531653,0.26367855290000003
SRX5204075,-0.10197950830000001,0.0464083281
SRX5204076,-0.3893667488,-0.2637185314
SRX5204077,0.033462963400000004,0.10874627340000001
SRX5204078,0.6468442680000001,0.1897693236
SRX5204079,0.0083463074,0.1403783572
SRX5204080,-1.6080874594,-1.0119636776
SRX5204081,-1.0386338967,-0.6249172451
SRX5204082,-0.8130210725,-0.203439903
SRX5204083,0.4680187468,0.3709092558
SRX5204084,1.087630961,0.5373746732
SRX5204085,0.7491586205,0.474311474
SRX5204086,1.6372160462,0.064451773
SRX5204087,1.4400079111,1.1398570375000001
SRX5204088,2.2073329094,0.45263726530000004
SRX5204089,2.6347028909,1.8424610693
SRX5204090,2.7899681092,1.5449787634
SRX5204091,2.7456118632,1.3139031987
SRX5204092,1.5943291299,0.3999831023
SRX5204093,1.4186194077,0.3307237362
SRX5204094,0.7169055303,0.3640168521
SRX5204095,-0.41738059450000004,0.0760367934
SRX5204096,-0.18048636170000001,-0.5123468888
SRX5204097,0.5978669562000001,0.43631009540000004
SRX683459,0.37393014,0.034542065000000004
SRX683460,-2.2352593757,-1.2963412815
SRX683461,0.2674639528,0.410016967
SRX683462,-0.6132628061000001,-1.1848437563
SRX683463,-0.6413940928,-0.444559032
SRX683464,-1.2068720556,-1.3600322146
SRX683465,0.5911423912,-0.4159755773
SRX683466,0.2447186497,-1.2805522211
SRX683467,0.7189390916,-0.1225157833
SRX683468,-0.1616093113,-1.2490912569
SRX683469,0.4235153893,-0.3618719416
SRX683470,-1.2995433455,-1.9336260129
SRX322077,1.4113504437,0.49362980040000004
SRX322078,0.18554113630000002,0.3158111954
SRX322079,1.8413787858,0.8208397303
SRX322080,-0.7213125051,-0.5060721289
SRX322081,0.19089281660000001,0.6726007929000001
SRX322082,-0.8475395861,-0.2320034382
SRX322083,-1.2687450011,-0.6479478826
SRX322084,0.4415331617,-0.1566203371
SRX322085,0.8272118394,0.8045682197
SRX2708592,-1.7806123738,-0.3308048418
SRX2708593,-1.6065249248,0.3456589872
SRX2708594,-2.4271862759,-0.4542200581
SRX2708595,1.0010122528,0.0077952241
SRX2708596,-0.0718990931,-0.0845265795
SRX2708597,-0.9291131597000001,0.0767313554
SRX2708598,0.9007766632,1.0113651277
SRX2708600,0.2943345839,0.7601233973
SRX2708601,-0.0061418768,-0.1716675157
SRX2708602,-1.8900564759,-1.0465884724
SRX2708603,-0.4783364446,-0.3489019285
SRX3073814,0.6659972084,-0.0938501075
SRX3073815,3.6981050562,0.34067124930000003
SRX3073816,6.3994492729,0.9715367354000001
SRX3073817,8.1377955435,1.7514601202
SRX3073818,7.7899278645,2.4153419967
SRX3073819,0.9040442995,0.4569279405
SRX3073820,4.8241707997,0.6846912115
SRX3073821,6.692631406,1.4684022205
SRX3073822,8.6953358981,1.9621802683
SRX3073823,7.8009463626,2.116597079
SRX3073824,-0.6659972084,0.0938501075
SRX3073825,2.9886100384,0.5709064570000001
SRX3073826,5.9843483708,1.0001556769
SRX3073827,7.3852609787,1.8374440995999999
SRX3073828,8.3920284751,2.7149906623
SRX3073829,0.9877500271,0.30747232550000003
SRX3073830,4.3286569887,0.7183465089000001
SRX3073831,6.9387732037,1.0689621142
SRX3073832,8.112165683,1.9228831944
SRX3073833,7.697343752,2.3973239576
SRX2391456,-0.3480052147,-0.0348521476
SRX2391457,-0.1272560254,-0.4433278638
SRX2391458,-0.355421064,-0.24559873780000002
SRX2391459,-0.4840022981,-0.2797525536
SRX2391460,-0.36819415850000003,0.0006180389
SRX2391461,-0.6060828511,-0.029919706600000002
SRX2391462,-0.5992901268,-0.0200785229
SRX2391463,-0.9631317312000001,0.0014948032000000001
SRX2391464,-0.8563026041,-0.029102420400000002
SRX2391465,-0.714466213,-0.36990996470000004
SRX2391466,-0.1808019078,0.0105369652
SRX2391467,0.0376744201,-0.041976416
SRX2391468,-0.3040563478,-0.1007279202
SRX2391469,-0.3958696506,0.033622884400000004
SRX2391470,0.7217333057,-0.0630754493
SRX2391471,0.8678318731,-0.1488552354
SRX2391472,0.3649120429,-0.1386893543
SRX2391473,-0.0433246684,-0.2353814323
SRX2391474,-0.4609379053,-0.38229902920000003
SRX2391475,0.3340346259,-0.1314978552
SRX2391476,0.0619250141,0.167007696
SRX2391477,0.2310128135,0.0403502247
SRX2391478,-0.6462835650000001,-0.40972493870000004
SRX2391479,-0.11791123860000001,0.053192226200000005
SRX2391480,0.6222196539,-0.1728588858
SRX2391481,0.0084765263,-0.025190240200000002
SRX2391482,0.6270882905,0.0328641842
SRX2391483,-0.21578377940000001,0.1187406413
SRX2391484,-0.28714983650000003,-0.2321857762
SRX2391485,-0.06030008,-0.36383723290000003
SRX2391486,-0.138458201,-0.39856734400000005
SRX2391487,-0.4133103992,0.1098275475
SRX2391488,-0.1836432154,-0.10778776620000001
SRX2391489,-0.1933123797,-0.108953853
SRX2391490,-0.19455532,0.0356954102
SRX2391491,-0.29224306,-0.0019622750000000003
SRX2391492,-0.6289835238,-0.152608717
SRX2391493,-0.2723923091,-0.20387546820000002
SRX2391494,-0.5646751339,-0.32772379100000004
SRX2391495,-0.0376744201,0.041976416
SRX2391496,-0.1120296768,-0.0232423029
SRX2391497,-0.0683946109,0.015883092300000002
SRX2391498,0.5671388905,-0.0060423963
SRX2391499,0.369285491,-0.0664871407
SRX2391500,0.1571016445,-0.17785115410000002
SRX2391501,-0.0862115269,-0.2617572459
SRX2391502,0.134204037,-0.1534940547
SRX2391503,1.8612985268000002,0.2597033944
SRX2391505,0.6417279744000001,0.057474144500000005
SRX2391506,0.2083028693,-0.0399049934
SRX2391507,-0.2820222537,-0.0920540056
SRX2391508,-0.5772357655,-0.155111056
SRX2391510,0.4810903805,0.030733749
SRX2391512,0.3890956783,0.0880469497
SRX2391513,0.2306773387,0.005642511
SRX2391514,-0.24372481310000002,-0.015044565800000001
SRX5632598,1.8066669272,2.1887431712
SRX5632599,2.6262755891,1.0793042364
SRX5632600,1.1402810411,0.8369708554
SRX5632601,1.3799720913,0.8085915537
SRX5632602,1.0613976256,1.1238181481
SRX5632603,2.3785297354,2.1906985252
SRX5632604,1.5241810521999999,1.0217684887
SRX5632605,1.4162388421,1.4480224632
SRX5632606,2.2733728771,1.6739577561
SRX5632607,1.3113668757,1.5887821146
SRX5632608,-1.0042638895,-0.30622527450000003
SRX5632609,1.2867263667,0.7195882546
SRX5632610,0.9715788419,-0.0793393761
SRX5632611,-0.2824624772,-0.41336298
SRX5632612,0.38975764630000004,-0.24620474180000002
SRX5632613,-0.3948676753,1.4734776587
SRX5632614,1.5392748445,-0.2349256556
SRX5632615,1.945460147,0.40549532180000003
ERX2874132,-1.6835847332,0.28367971010000004
ERX2874133,-1.9459240827,-0.2583880337
ERX2874134,-1.4946506232,0.3180802561
ERX2874135,-1.4059408589,-0.0102146018
ERX2874136,-2.2028783537,0.42718099060000003
ERX2874137,-2.0497054671,0.3546412798
ERX2874138,2.2167753198,1.0223429938
ERX2874139,1.7429992733000002,0.6505243126
ERX2874140,-0.42324661100000005,-0.1150548238
ERX2874141,0.42324661100000005,0.1150548238
ERX2874142,-0.9574010857,0.5028811341
ERX2874143,-1.8663046840000002,-0.22252502770000002
ERX2874144,-0.4821871093,0.072353336
ERX2874145,-0.6950312846000001,-0.0268655434
ERX2874146,1.1669434235,0.8426117614
ERX2874147,1.4576274149000001,0.5248385198000001
SRX1300292,0.7049254512,0.4959843839
SRX1300293,-0.7049254512,-0.4959843839
SRX1300299,-0.6075656101,-0.4001260962
SRX1300300,-0.8435435880000001,-0.34534697870000003
SRX1300304,-0.6487089333,-0.1738304599
SRX1300305,-0.08829642630000001,0.09178362300000001
SRX1300306,1.18495883,0.3436455242
SRX1300310,0.3058924572,0.21222776640000002
SRX1300311,-0.9093196762,-0.395581312
SRX7291195,-0.3356655303,0.114882627
SRX7291196,0.1606600598,0.21472196400000002
SRX7291197,0.0791791637,0.2324410646
SRX7291198,0.0750709536,0.0995861806
SRX7291199,-0.1000411512,-0.0394921309
SRX7291200,0.024970197700000002,-0.0600940497
SRX7291201,-0.1246549445,0.1993628919
SRX7291202,-0.32830469560000003,0.2925141738
SRX7291203,-0.23007443600000002,0.1087144356
SRX7291204,0.0747429495,0.0746201679
SRX7291205,-0.0695179231,0.0350616013
SRX7291206,-0.11824404820000001,0.0210106537
SRX2436955,0.8188372542,0.5712921494000001
SRX2436956,3.2559024074,1.1388933742
SRX2436957,3.3060106568,0.9025381925
SRX2436958,2.7934771179,1.1474025785
SRX2436959,2.1771094703,0.4160347945
SRX2436960,-1.2460432061,-0.2448892564
SRX2436961,-0.024808263,0.2598168428
SRX2436962,-2.1994209196,-0.2592600869
SRX2436963,2.5981737435000003,0.6435697905000001
SRX2436964,-2.3332391418,-0.4278523484
SRX2436965,10.3038818591,3.4490263652
SRX2436966,-0.4722932365,0.0009801410000000001
SRX2436967,0.0527936664,0.28777265280000003
SRX2436969,1.9604174672,0.6767933592
SRX2436970,-0.4554902799,0.07604710270000001
SRX2436971,0.11395811360000001,0.24057873970000002
SRX2437029,-1.6277958302000002,0.1373486863
SRX2437030,1.1452177062,0.48914356900000006
SRX2437031,-2.4893032421,-0.6007645802
SRX2437032,-2.1489439692,-0.33382652230000004
SRX2437033,-0.1774479296,-0.24133924380000002
SRX2437034,9.9553687715,2.832402221
SRX2437035,5.2509348163,1.8615172922
SRX2437036,5.3186649963,2.1145752089
SRX2437037,-1.9639579054,-0.3163458638
SRX2437038,-0.8396156994,0.1400787347
SRX2437039,-1.3445870522,-0.2551555881
SRX2437040,5.8118472611000005,2.2873360199
SRX2437041,0.8400637838,0.432012979
SRX2437042,-0.0891325191,-0.1437920772
SRX2437043,-1.9273640525,-0.5637682528
SRX2437044,-0.4862859688,-0.1615199327
SRX4705203,3.684499864,1.9178017196
SRX4705204,-0.8074634309000001,-0.7543812466
SRX4705205,-0.5119654506,-0.5656342737
SRX4705206,-0.3705590676,-0.5662913013
SRX4705207,-0.882684589,0.37922315500000003
SRX4705208,0.3252832647,0.5236171305
SRX4705209,-0.3432808437,0.3299037762
SRX4705210,-1.4096705725,-0.147186367
SRX4705211,-1.0684936973,-0.0944900349
SRX4705212,-1.2513264932000001,-0.2171023585
SRX4705213,-0.1592673546,-0.016782046000000002
SRX4705214,-0.3215933016,-0.2574734119
SRX4705215,0.44801094890000004,-0.1270183846
SRX4705216,-0.2408560233,-0.36987480840000003
SRX4705217,0.060227750100000005,0.4227461031
SRX4705218,0.21347798040000002,0.3484025478
SRX4705219,-0.2367135656,-0.0293357352
SRX4705220,-0.6518064593,-0.6167041120000001
SRX4705221,-0.0901875545,0.0619441456
SRX4705222,-0.42159625430000003,-0.4631363459
SRX4705223,3.4604125279,2.2913963738
SRX4705224,3.6881563120000003,1.9633771881
