,A,SigG
T-0.40H_1,-3.4867504626,0.205633333333334
T0.0H_1,-1.9065010357,0.1116333333333337
T0.30H_1,11.3949753084,0.5919333333333343
T1.0H_1,11.1837466023,0.49453333333333394
T1.30H_1,15.6157348098,1.2959333333333332
T2.0H_1,18.1202939665,2.118833333333334
T2.30H_1,6.4884346236,2.948033333333334
T3.0H_1,9.1461205422,3.157333333333333
T3.30H_1,12.7100107023,4.260333333333334
T4.0H_1,18.6027926758,4.647833333333334
T5.0H_1,34.1076336663,4.663233333333333
HPh_1,2.3289915025,0.6792333333333334
HPh_2,1.232006707,0.1749333333333336
HPh_3,4.5372510984000005,0.5845333333333338
LPh_1,2.2013903168,0.3770333333333342
LPh_2,-2.9978099283,0.42533333333333356
LPh_3,3.8492951093,0.4208333333333334
LPhT_1,7.8213274973,1.1376333333333344
LPhT_2,5.0984306236,0.7903333333333338
LPhT_3,4.178112495,0.9868333333333341
SMMPr_1,22.0570975271,2.203433333333334
SMMPr_2,16.9220330702,1.9235333333333342
SMMPr_3,13.2785569192,1.6422333333333343
HiTm_1,10.6843879462,0.40153333333333396
HiTm_2,3.4305712919,0.07593333333333341
HiTm_3,4.4898513743,0.4683333333333328
LoTm_1,24.448333702,5.553433333333333
LoTm_2,27.8221412916,5.579133333333334
LoTm_3,35.5640846373,5.7988333333333335
HiOs_1,2.6398879537,2.1602333333333332
HiOs_2,7.0135261508,2.597833333333333
HiOs_3,3.4407785606,2.012833333333334
BMM_1,-2.7630895768,-0.0758666666666663
BMM_2,-0.7998124648,-0.3288666666666664
BMM_3,1.3636953943,0.06593333333333362
Heat_1,1.6559180076,0.41763333333333374
Heat_2,0.2690734624,0.05843333333333334
Heat_3,5.85885859,0.46053333333333324
Cold_1,-0.4918757254,-0.3466666666666667
Cold_2,5.4750046276,-0.20826666666666593
Cold_3,10.6087757919,-0.2323666666666666
Etha_1,20.0607161694,0.09473333333333311
Etha_2,22.5331981182,0.042633333333333745
Etha_3,17.6597552477,-0.14626666666666654
SMM_1,1.212879546,0.8162333333333338
SMM_2,-0.4929432783,1.0607333333333342
SMM_3,0.2784797436,1.273933333333333
Salt_1,7.5877508123,0.355033333333334
Salt_2,8.845006818,0.4608333333333343
Salt_3,5.9591232043,-0.13276666666666603
Mt0_1,1.0192871112,0.1926333333333332
Mt0_3,-3.6461608255,-0.18736666666666668
M0t45_1,0.9618683650000001,0.020833333333333925
M0t45_2,-1.3820994773,-0.19276666666666653
M0t45_3,-3.9630415372,0.047733333333333405
M0t90_1,12.4100585181,-0.017966666666666242
M0t90_2,-0.1625201945,0.3796333333333335
M0t90_3,4.3520949966,0.0419333333333336
M40t45_1,4.9983706605,-0.05846666666666689
M40t45_2,2.0111162591,-0.0971666666666664
M40t45_3,-6.6799411433,-0.22256666666666636
