,A,FecI,Crp,PdhR,Fur,HypT,Nac
biocide__ctrl_30m__2,-0.13237873760000002,-0.035920543,-0.2203103585,0.1043086621,-0.17206519210000001,0.1688045057,0.32711491740000004
biocide__ctrl_30m__3,0.0722416489,-0.0064293614,0.0186689805,-0.17285168450000002,0.054125481,-0.43907916080000003,-0.2439721652
clpP__wt__1,0.0022869962,0.0220132171,-0.0666339028,-0.1095196388,-0.0486247704,0.0529679039,-0.5533852514000001
clpP__wt_DPTA__1,1.1605699229,2.367656783,0.503766096,2.3212131487,0.0863759311,0.3959597747,0.5930381582
clpP__wt__2,-0.2150265164,-0.2898320263,-0.1321270107,0.2360880173,0.06502803530000001,-0.3258358773,0.4884816934
clpP__wt_DPTA__2,-1.1077349446,2.3274006055,0.4881845549,2.3553656076,-0.3930604082,0.2638051769,0.5047034774
clpP__wt__3,0.2127395202,0.2678188092,0.1987609135,-0.1265683785,-0.0164032649,0.2728679734,0.06490355810000001
clpP__wt_DPTA__3,2.1381955971,2.0714371692,0.5070739993,2.5320492136,-0.1930249903,0.3496608143,0.6358223002
clpP__delclpP__1,-0.5980184942,0.3505433488,-0.8734644257,-0.6923686761000001,-0.21200383960000002,0.2463666204,-0.6634215222000001
clpP__delclpP_DPTA__1,2.5077258176,2.4350676698,0.0105121308,2.0537940365,-0.5035215756,0.4986696447,-0.0777478375
clpP__delclpP__2,-0.4679958166,0.0929793802,-0.3758395962,-0.1291364353,-0.2831256741,0.0977002228,-0.7788839339
clpP__delclpP_DPTA__2,0.8959258297,2.3640853909,-0.080117849,1.9840214192,-0.40118780330000003,0.45062296150000003,-0.4738907223
clpP__delclpP__3,-0.2192632487,0.23084845610000002,-0.5751663553,-0.5602061941,-0.28666178810000004,0.2149011214,-0.9382792566
clpP__delclpP_DPTA__3,0.2763602531,2.0152343832,-0.1688967908,1.8550166787,-0.3067578717,0.5479625566,0.5475183855
colombos2__delydcR__1,-0.43519690050000004,-0.22503315570000001,-0.0693545751,-0.21195578780000002,-0.30128122220000003,-0.1376868079,0.44684425920000004
colombos2__delydcR__2,0.146784051,-0.11241000620000001,-0.33321683020000004,0.327124377,-0.47141993120000003,0.4318176419,-0.1163842776
colombos2__delydcR__3,0.0773184878,-0.15136032100000002,-0.0393089613,-0.12047321670000001,-0.3329440299,0.06867120980000001,0.446442793
colombos2__delyjiR__1,-0.5566513188000001,-0.051789411,-0.099687806,-1.5700361876,-0.0386088765,-0.0639326103,-0.1519532359
colombos2__delyjiR__2,-0.0510031172,-0.1234718394,0.25691065290000004,0.0497514639,-0.037388450600000005,0.3271214368,-0.4240785973
colombos2__delyjiR__3,-0.6086291395,-0.17479895950000002,0.162327729,0.5527353097000001,0.0415518493,0.0668931685,-0.3311372503
colombos2__wt__1,-0.5442731605000001,0.0062403362,0.2204930321,-0.22778408460000002,0.4150982022,0.4329999755,0.20714403820000002
colombos2__wt__2,-0.197559493,-0.1226029425,-0.4360373755,-0.1591448539,-0.29530520400000004,-0.0038829434,0.0988286963
colombos2__wt__3,0.7418326534,0.1163626063,0.2155443434,0.38692893850000004,-0.1197929981,-0.4291170321,-0.3059727345
crp_k100__ar1_ar2__1,1.2399713209,3.6101560377,-1.2995977401,1.4030829904,-0.3056682926,0.7941330452,-1.0840913514
crp_k100__ar1_ar2__2,1.4347458397000001,4.004313976,-1.3858488461,1.5650687668,-0.8601750464,1.0514647697,-0.7447549546000001
crp_k100__ar1_ar2__3,0.7411603712,1.2551606686999999,-1.1551255076,1.2482974135,-0.1221941395,0.7395813457,-0.2858229832
crp_k100__wt__1,0.28475619690000004,0.0195581723,-0.0264047357,-0.2240427173,-0.1301458119,0.264465131,0.2636663615
crp_k100__wt__2,-0.10416807360000001,0.045504704900000005,0.1464903964,0.10243615,0.056128073800000004,-0.0563823691,0.30264216110000003
crp_k100__wt__3,-0.18058812330000001,-0.06506287720000001,-0.1200856607,0.12160656730000001,0.07401773810000001,-0.2080827619,-0.5663085226
crp_k100__K100Q__1,-1.8855592758,0.7542862794,-0.2522707463,0.7629553657,-0.8608175296,0.7663090249000001,0.5922963151
crp_k100__K100Q__2,-2.4529830229,0.0986061426,-0.2711134562,0.6814967393,-0.3904483173,0.18634658780000002,-1.9807352584000002
crp_k100__K100R__1,-0.6459328258,0.5688795634,-0.0595239595,0.16496625080000002,0.23874563000000001,0.0572500046,-0.0031845242000000003
crp_k100__K100R__2,0.476458223,-1.0479012282,0.5050291552,-0.17636309930000002,-0.7989603254000001,-0.0320967899,1.1080712887
crp_k100__K100R__3,-0.4085698285,0.4664133502,0.0660056332,0.3815607589,0.1526927294,-0.1796379572,0.8939412041
csrA__wt_t00__1,0.3314327362,-0.0319322895,-0.13018558560000001,1.0548497563,-0.1408672877,0.1205530898,-0.3174040127
csrA__wt_t02_30__1,2.3093068048,-2.9008633183,-1.1339696385,-4.8066691379,-1.1689133452,-2.0498352293,0.2947524133
csrA__wt_t05__1,-0.10136019880000001,-3.2440268906,-2.4550083112,-4.8362836336,-2.9631861775,-2.7459787127,-0.1910832728
csrA__wt_t10__1,-3.3954271411,-2.7861291752,-4.1870252178,-3.0574361463,-3.5297433569,-2.7221212412,1.17032103
csrA__wt_t15__1,-3.4620862271,-2.4562693635,-3.2111292318,-2.0634936135,-2.5668577838,-1.3481540780999999,1.5566116184
csrA__delcsrA_t00__1,-0.6082721637,0.31461987350000004,0.3613869819,-0.1158782928,0.0678783641,0.7023910106,0.5542049175
csrA__delcsrA_t02_30__1,0.9917679475000001,-2.8201030620000003,-0.6674396287000001,-4.1631960693,-1.8762897558,-1.6092052317,0.6502142035
csrA__delcsrA_t05__1,-1.5863661512,-3.9264244071,-2.2221447579,-3.9815479125,-3.7489709361,-2.640720308,-0.13079529680000002
csrA__delcsrA_t10__1,-2.1720086537,-3.0342940009,-3.4198734015,-2.4035591286,-3.3741618451,-1.752295814,0.40459741450000003
csrA__delcsrA_t15__1,-2.8714641782,-2.5472179314,-3.2339359789,-1.7811302653,-2.7276941132,-1.9686415366,0.8111033627
csrA__wt_t00__2,-0.3314327362,0.0319322895,0.13018558560000001,-1.0548497563,0.1408672877,-0.1205530898,0.3174040127
csrA__wt_t02_30__2,2.0678170104,-2.2109064457,-1.2511893155,-4.7632823406,-1.3181453672,-2.1057132788,0.7140626522
csrA__wt_t05__2,-0.5867686777000001,-3.3252402541,-2.3292575708,-4.1559703276,-3.2146543061,-3.4180353462,-0.9105122706000001
csrA__wt_t10__2,-3.4334257,-2.4753943104,-4.1135135934000004,-2.7294894993,-3.4136311076,-2.592687556,0.5859012728
csrA__wt_t15__2,-2.854062677,-1.980116709,-3.434645459,-1.7841937843,-2.6486914409,-1.47391458,1.778914086
csrA__delcsrA_t00__2,-0.2292654127,0.2087893576,0.1876233269,1.2950549942,0.0521193676,0.6491307702,0.2111586853
csrA__delcsrA_t02_30__2,1.112099389,-3.0553713808,-1.1638283926,-4.0087070582,-2.2745786592,-1.8767970066,0.7308439224000001
csrA__delcsrA_t05__2,-1.0688160604,-3.1238160571,-2.0312934097,-3.8448274471,-3.4177434893,-3.1147068185,-0.4669245032
csrA__delcsrA_t10__2,-3.1368428668,-3.4834361399000002,-3.5341055024,-2.9597124972,-3.2793318816,-1.8699068202,1.1512954234000001
csrA__delcsrA_t15__2,-2.5832450033,-2.0127606329,-3.0369515843,-1.4356521495,-2.2444235523,-1.7552300104,2.2658742034
cstr_pfr__str_0005m__1,-0.1240993831,-0.1271473135,0.1036371583,0.4719757108,0.1468104123,-0.049249416000000004,-0.4423919163
cstr_pfr__str_0010m__1,-0.2099531906,-0.1803847646,-0.2296760947,0.32200694220000003,0.030636091100000002,-0.14284479560000002,-1.0974946203
cstr_pfr__str_0025m__1,-0.6091297424000001,-0.0150999898,0.0383571309,0.24798378540000002,0.2165533086,0.1271944865,-0.3044895321
cstr_pfr__str_0045m__1,-0.8810185132,-0.34134818170000003,0.0360981407,0.09197997670000001,0.1687751177,0.0891485003,-0.6363163376000001
cstr_pfr__str_0075m__1,-1.124660409,-0.1913195755,0.0112518975,-0.0776232475,0.1222283651,0.0171426897,-0.8040541477
cstr_pfr__str_0120m__1,-1.2520119818,-0.28994114520000003,0.0065400067,-0.0841233265,-0.0269889912,-0.0437939591,-0.7544031449
cstr_pfr__str_0210m__1,-1.3150132816,-0.028431771600000003,0.0613117897,-0.0082234976,0.17495970360000002,0.092930419,-1.0660246207
cstr_pfr__str_0330m__1,-0.8054512197,0.12006614260000001,0.0752505852,-0.012646208400000001,0.0993374357,-0.0343051236,-1.0793681566
cstr_pfr__str_1500m__1,-0.2226437621,0.4466861319,0.0646232551,0.0440286988,0.1582959447,0.3077182229,-1.1462496809
cstr_pfr__str_1560m__1,-0.2685847436,0.1279882259,0.0745769649,0.1161494366,0.1678443773,0.2685503307,-1.230758203
cstr_pfr__str_1680m__1,-1.1083372833,0.1186840739,0.0132959954,0.1242922466,0.0527811919,-0.06685355130000001,-1.3318941256
cstr_pfr__str_ref1__1,0.0787982171,0.12522594210000002,0.0309166155,0.015718507700000002,0.018146145500000002,0.044779511300000005,-0.0092310078
cstr_pfr__str_ref2__1,-0.3814124102,-0.24833985150000001,0.050854043200000004,-0.0985724671,0.00389881,0.093744385,0.0801001955
cstr_pfr__str_ref3__1,-0.3329469915,0.075188142,0.0781229599,-0.019152889200000002,0.021110902100000002,-0.0714303228,0.0585003557
cstr_pfr__pfr_P5_0005m__1,0.25843328990000003,-0.0944422551,0.269221989,-0.8237990038,-0.0329334666,-0.0585573873,0.5574745636
cstr_pfr__pfr_P5_0010m__1,0.134939999,0.014999725,0.0489485095,-0.9690523615000001,-0.2486604023,0.0555681487,0.0315475246
cstr_pfr__pfr_P5_0025m__1,0.1172353814,0.3143004518,0.2725286431,-0.8890017387,-0.11457500350000001,0.25379421620000003,0.5274902704000001
cstr_pfr__pfr_P3_0025m__1,-0.4081566863,0.0291585054,0.079938994,-0.4348806556,-0.0458174613,-0.0112123403,-0.1025300725
cstr_pfr__pfr_P1_0025m__1,-0.6043446824,-0.015504068800000001,-0.0319597258,0.0779093356,0.09232908270000001,0.0274421774,-0.5208330361
cstr_pfr__pfr_P5_0045m__1,-0.5235358756,0.0686225796,0.2169729199,-0.8943765461000001,-0.17086565550000002,0.133145954,0.1923111434
cstr_pfr__pfr_P5_0120m__1,-0.8225182084,-0.0801697366,0.3349589161,-1.0993712756,-0.1208336022,-0.016624787000000002,0.10970125430000001
cstr_pfr__pfr_P3_0120m__1,-0.8905501266,-0.1128017481,0.1103821889,-0.7128919952,0.06861392670000001,-0.1715344824,-1.442094063
cstr_pfr__pfr_P1_0120m__1,-1.6318178308,-0.57733732,0.3563764866,-0.592242008,-0.0178754799,-0.24184924730000001,-0.7291450969000001
cstr_pfr__pfr_P5_0210m__1,-0.4204770407,0.11320274200000001,0.3086663712,-1.0087825413,-0.019448353,0.2566786826,-0.0335288004
cstr_pfr__pfr_P5_1500m__1,0.33441659020000003,0.1552609901,0.48358926430000004,-0.7434636102000001,0.24549681710000001,-0.040438869100000004,-0.5897502677
cstr_pfr__pfr_P3_1680m__1,-0.1399568283,0.2337301779,0.3481544716,-0.5294855544,0.36888590790000003,0.025672624300000002,-0.8021016194
cstr_pfr__pfr_P5_1680m__1,0.1853839828,0.030882669800000002,0.48077671120000004,-0.7388776223,0.13851083520000002,0.007504876000000001,-0.261159293
cstr_pfr__pfr_P1_1680m__1,-0.5115143699,0.2340837328,0.2107291755,-0.1215629936,0.2624664266,0.0302439193,-1.1241325747
cstr_pfr__str_0005m__2,-0.3656461881,-0.29728961660000003,-0.0935369191,0.3445432358,0.079099133,-0.1044325306,-0.8790428288000001
cstr_pfr__str_0010m__2,-0.5768611989,-0.2213678664,-0.24873146470000002,0.3842352154,0.023143631,-0.2575517003,-1.4366181737
cstr_pfr__str_0025m__2,-0.5959082755,-0.084198404,-0.2016487162,0.3759733456,0.164960736,0.0046591867,-1.332528283
cstr_pfr__str_0045m__2,-1.0314956448,-0.24273617620000001,-0.14117476780000002,0.1821169289,0.116726939,-0.0041853409,-1.3686720848
cstr_pfr__str_0075m__2,-1.3509457803,-0.2175893482,-0.126103141,-0.028530346600000003,0.1187253585,-0.062256191,-1.6130972969
cstr_pfr__str_0120m__2,-1.411044872,-0.6142986426,-0.1334760396,-0.1510041053,0.137283824,-0.0127272532,-1.7777067997
cstr_pfr__str_0210m__2,-1.2657442008,-0.3836888553,-0.0672349899,0.0705032005,0.159658195,-0.014356454400000001,-1.8781961546
cstr_pfr__str_0330m__2,-1.2298388842,-0.2386536363,0.0576004129,0.0298840433,0.1877111361,0.09725289470000001,-1.5693955428000002
cstr_pfr__str_1500m__2,-0.9523209774,-0.1752065646,0.2009926933,0.054226282300000005,0.41677936600000004,0.046766364500000004,-1.5181314567
cstr_pfr__str_1560m__2,-0.5839390234,0.1407329524,0.1707298308,0.0863307475,0.22187878290000002,0.22168499330000002,-1.2459424473
cstr_pfr__str_1680m__2,-0.6901988994,0.19292416780000002,0.0692396961,0.0583232642,0.16941765820000002,-0.014784003,-1.3085012925
cstr_pfr__str_ref1__2,-0.0787982171,-0.12522594210000002,-0.0309166155,-0.015718507700000002,-0.018146145500000002,-0.044779511300000005,0.0092310078
cstr_pfr__str_ref2__2,-0.5412070178,0.0728028808,-0.0359995768,-0.0459851753,0.0256086016,0.0020967361,-0.1838106327
cstr_pfr__str_ref3__2,-0.1452447039,0.1186921944,0.058544858000000005,-0.1894164077,0.0545085134,0.0139098076,0.0459041747
cstr_pfr__pfr_P5_0005m__2,0.16473379870000002,-0.3094443195,-0.048752147,-0.7282884184,-0.2637159273,-0.049955589200000004,-0.0645699896
cstr_pfr__pfr_P5_0010m__2,-0.6522687797000001,0.0022926174,0.0814724538,-0.9321809266000001,-0.3128043541,-0.1044202699,0.012304260000000001
cstr_pfr__pfr_P5_0025m__2,-0.800791259,0.0067040713,0.14086945920000002,-0.6604621129,-0.0960139128,0.1178991897,-0.1073242534
cstr_pfr__pfr_P3_0025m__2,-0.8255951096,-0.13625108,-0.0582763844,-0.3424343258,-0.030184756700000002,-0.1851456368,-0.9955109574000001
cstr_pfr__pfr_P1_0025m__2,-1.0961317632,-0.18263284570000002,-0.2331385879,0.1243208333,-0.0086357016,-0.10718395080000001,-1.4523554414
cstr_pfr__pfr_P5_0045m__2,-0.6512043226,-0.09016198,0.0354719414,-0.8413462124000001,-0.0662582299,0.4029998748,-0.1566673329
cstr_pfr__pfr_P5_0120m__2,-0.8362936135,-0.0140556181,0.305318221,-0.9848368024,-0.077451278,0.0816370035,-0.4849177368
cstr_pfr__pfr_P3_0120m__2,-1.0495105498,-0.2120667884,0.0945138693,-0.765204579,-0.0488578203,-0.28820985450000003,-1.4387984182
cstr_pfr__pfr_P1_0120m__2,-1.1255363436,-0.0900273104,-0.0124149267,-0.3637861839,0.0932557873,-0.2591726425,-1.7562619549
cstr_pfr__pfr_P5_0210m__2,-1.0900569407,-0.3126016788,0.3356911857,-0.8581742405,0.3717047229,-0.21135185950000002,-0.9948546993
cstr_pfr__pfr_P5_1500m__2,0.2678650473,0.042176870500000005,0.41076687230000003,-0.5974367328,0.09190021520000001,0.001349148,-0.6437660495
cstr_pfr__pfr_P3_1680m__2,-0.1367716774,0.0125776337,0.3983587121,-0.6551835012,0.000697295,-0.15198457270000001,-0.5201258
cstr_pfr__pfr_P5_1680m__2,-0.4115161805,0.050695011000000005,0.2226821065,-0.43175651140000004,0.17676420680000002,-0.2487641556,-1.0308250546
cstr_pfr__pfr_P1_1680m__2,-0.6939714375,0.005704402700000001,0.03072544,-0.1337111046,0.1282323599,-0.0430692863,-1.4334599002
darobactin__daro_30m__1,-6.5325943238,-1.4590986127,0.9297661229,-0.0941027989,0.07258940650000001,-0.0624594376,0.2298900461
darobactin__daro_30m__2,-5.0013745889,-0.9641236749000001,0.5458194559,0.0469415346,0.4103080046,-0.1821938206,-0.1277900383
darobactin__solv_1h__1,-8.577538131,-1.0802291446,0.8896791535,-1.2572752575,-0.17874328250000002,0.1189581006,4.6228464479
darobactin__solv_1h__2,-10.3501554217,-1.5993037022,0.7544298497,-1.0757136009,-0.1385735763,0.15194225220000002,4.7034342059
darobactin__daro_1h__1,-10.4260483893,-2.0702407859,0.9083268103000001,-1.3918288955,-0.1226744044,0.0655545399,3.8226940949
darobactin__solv_1h__3,-8.8417270687,-0.7430227151000001,0.8378540299,-1.422986448,-0.6662322459000001,0.1707859076,3.7960154205
darobactin__daro_1h__2,-7.8861646307,-0.735455784,1.2087494064,-1.2957888699,-0.0046208559,0.2282195358,4.1568012892
darobactin__daro_1h__3,-7.8076930655000005,-0.6524161105,1.1494446188,-1.3753914259,-0.0251060456,0.3831496687,3.6954601071
darobactin__daro_30m__3,-6.1353597129,-1.0710827135,0.7221774194,-0.1891367377,0.1893534413,-0.0478783668,0.9043513598
darobactin__solv_30m__1,-4.4708023605000005,-0.7902269478,0.3322589038,0.0895839408,0.2590510636,-0.12311219600000001,-0.2340060451
darobactin__solv_15m__1,0.3675807408,0.1524168916,-0.0405799602,-0.1046924466,0.0789821896,0.2006413313,-0.47311655560000004
darobactin__solv_15m__2,-1.4011587024,0.146180278,0.0211711041,0.2007840289,-0.0016186808,-0.2703651396,0.3686973102
darobactin__daro_15m__1,-1.1966266946,-0.7178798442000001,0.32684287360000003,0.0077211162,0.1755329642,0.0131133246,0.6065641717
darobactin__solv_15m__3,1.0335779616,-0.2985971696,0.019408856000000002,-0.0960915823,-0.0773635087,0.06972380830000001,0.1044192454
darobactin__daro_15m__2,-0.059697529400000005,-0.408415595,0.3689308805,-0.14358598320000002,-0.10648117600000001,0.0678633468,-0.31980513990000003
darobactin__daro_15m__3,-0.3634495276,0.5483576113,0.221949515,-0.0486152872,0.5172701398,0.3591135841,-0.014808276700000001
darobactin__solv_30m__2,-4.744153272,-1.0754232887,0.1618995187,-0.16916676490000002,0.0536596393,0.10679975950000001,-0.151996569
darobactin__solv_30m__3,-5.6823475532,-0.7613149050000001,0.2420582473,0.4319771328,-0.0324711059,0.2710530209,0.5705830040000001
ddp__pNT3_aroP__1,-0.1311189736,0.9095796574,0.4265026615,0.3718810863,0.26010932810000004,0.7762308398000001,0.3610556729
ddp__pNT3_aroP__2,-0.29064644570000003,0.7065917385,0.7271404589,-0.129081847,0.4181962946,0.30368082080000003,0.4115972721
ddp__pNT3_bamC__1,3.2513103208,2.3055690044,0.8519065269,3.7222887304,-0.48680264710000004,1.5419433827,-0.1538962398
ddp__pNT3_bamC__2,3.4758313403,2.1542469069,0.5921076495,3.5908897286,-0.6152974599000001,1.3061489757,0.15755825580000002
ddp__pNT3_cusA__1,2.6064311049,1.6783389284,1.0354136519,3.6601598396,-0.34778200340000004,1.3634638383,-0.6361374895
ddp__pNT3_cusA__2,2.8158146146,1.8045721118,0.7451035267,3.875609307,-0.6004339821,1.1029292793,-0.2272648274
ddp__pNT3_hemX__1,-0.5223229306,0.5205983421,0.8182462086000001,0.4314060999,0.1724568417,0.5597753246,-0.2135787106
ddp__pNT3_hemX__2,-1.1393609856,0.49477599780000003,0.7045028161,-0.0551042111,0.07557156150000001,0.31342358670000003,0.0506549066
ddp__pNT3_empty__1,0.029490962800000003,-0.0785269019,-0.139956359,0.0745896904,0.011735173100000001,0.1066107746,0.23662773480000002
ddp__pNT3_empty__2,-0.029490962800000003,0.0785269019,0.139956359,-0.0745896904,-0.011735173100000001,-0.1066107746,-0.23662773480000002
ddp__pNT3_topA__1,0.4429315535,2.0296376913,0.5908025523,2.9761985322,0.1315853546,1.3467986004,-0.1234675219
ddp__pNT3_topA__2,1.1378501949,2.6898341791,0.9994652368,3.0552447574,0.1547747162,1.2107815981,-0.2368067782
ddp__pNT3_yicR__1,0.1196993771,0.6147406597,0.7827099169,0.5280677121,0.0580574898,0.7799087950000001,0.0556943408
ddp__pNT3_yicR__2,0.0427047972,0.8039110608000001,0.7206732189,0.4307788312,0.051789814100000005,0.7835515846000001,0.22297550730000001
ddp__pNT3_yqjD__1,-0.6038680807,-0.2573446018,0.5565290979,0.141391398,0.25839990900000004,0.3192613783,0.2465297549
ddp__pNT3_yqjD__2,-0.9286384686,0.06460345940000001,0.5652993358,-0.39119015360000003,0.1349579705,0.1909398557,-0.0292222513
ecomics__del_gabT__1,-0.1240690693,0.007169020900000001,-0.2183604482,0.0798526205,0.0393142537,-0.20225971780000002,0.3021850769
ecomics__del_gabT__2,0.1240690693,-0.007169020900000001,0.2183604482,-0.0798526205,-0.0393142537,0.20225971780000002,-0.3021850769
ecomics__del_putP__1,1.6396915754,-0.1485449186,0.0496916416,0.2797163097,0.0915854056,0.6624425823,-0.3141160317
ecomics__del_putP__2,1.7440608215000002,0.015865774200000002,0.2503393265,1.3646800627,-0.008811188000000001,-0.0489074347,-0.6914129982
ecomics__del_entF__1,-2.9375390608,-2.0989120696,0.39555321730000004,1.9862175488,0.1343913328,0.4596821125,-0.603981769
ecomics__del_entF__2,0.09865682240000001,-0.393628707,0.11605645020000001,1.369127864,0.4597863586,-0.07863190390000001,-1.2827794452
ecomics__del_entF__3,-0.1327879407,-0.1671243553,0.2931170004,1.3773654183000001,0.40568499350000004,0.1222401921,-1.4617708206
ecomics__del_cysA__1,0.5405377378,-0.8249207195,0.3087574011,1.8767446634,0.2817989522,0.9510851360000001,-1.2442114341
ecomics__del_cysA__2,0.0763155059,-0.3105630514,0.0756466625,2.181460877,0.0914551214,0.8555093842,-1.3932723838
elyC__wt_21C__1,-3.3004439247,-1.3671272334,0.2997067975,-1.2507864928,0.1339626673,-0.09015283860000001,0.3712171798
elyC__wt_21C__2,-3.5708277754999997,-2.2675251569,0.2171652813,-1.0266557872,0.2376566812,-0.0980283134,0.6000124549
elyC__wt_21C__3,-2.8409885944,-1.6357330945,0.20048826090000002,-0.2448109453,0.1667943564,-0.0634267005,0.4134460699
elyC__wt_37C__1,-0.547934401,-0.5766659147000001,0.0055111309,-0.0826815031,-0.0644728675,-0.052678236,-0.15344627630000002
elyC__wt_37C__2,0.3324750618,0.3131462486,0.0383910612,0.037153862100000004,0.032936301,-0.0531803889,0.2050131769
elyC__wt_37C__3,0.21545933920000002,0.2635196661,-0.0439021921,0.045527641,0.0315365666,0.10585862500000001,-0.0515669006
elyC__delelyC_21C__1,-2.2697668513,-1.5481199613999999,0.2526018277,0.0672034985,0.1668143819,-0.1621760362,0.6160958319000001
elyC__delelyC_21C__2,-3.6119205828,-1.5960038222000001,0.270288277,-0.9777351562000001,0.1181870208,-0.1512966378,0.5991998988
elyC__delelyC_21C__3,-2.8179502197,-1.5200657568,0.2825423364,-0.7416694428,0.119857581,-0.2932043372,0.5105421184
elyC__delelyC_37C__1,-0.3728337534,-0.6155345773,0.1877512114,0.0231900534,-0.0026810853000000003,-0.1163929206,-0.2129475968
elyC__delelyC_37C__2,0.6566837661,0.1943566373,0.1650360705,-0.0079309624,-0.002438743,-0.0910370904,0.11471271
elyC__delelyC_37C__3,-0.5693248624,-0.5743481875,0.1449864971,-0.1622223955,-0.0086765052,-0.2719749135,0.08247629370000001
evo_acid_w__F9_2__1,0.895365775,0.012210381400000001,0.45212262210000004,0.9115998682,0.5403496389,-0.2855116384,0.043547938800000005
evo_acid_w__F11_1__1,1.1100693581,0.5922388023,0.0515482653,2.9089177417,0.5186811073,0.9746720385000001,0.0310079984
evo_acid_w__F11_1__2,1.3962422406,0.8864727799000001,0.1563578091,2.9699682279,0.7201567743,0.7775491862,0.2525493138
evo_acid_w__F11_1__3,1.5010533737,0.5333825078000001,0.2851965476,2.8159069387,0.6408318881,0.8141661072,0.567246588
evo_acid_w__wt__1,0.5127059074,0.5187803703,0.1360930215,1.2150391758,0.47459131990000003,0.045242750500000005,0.3465163693
evo_acid_w__F11_2__1,0.6543278763,-0.3216996346,0.1526137479,0.7939172352,0.25822078190000003,0.5892189896000001,-0.1994311823
evo_acid_w__B11_2__1,0.30107866180000004,-0.8141595257,0.7470542054,1.5844768872000001,0.6176420572,1.018372223,0.2818267016
evo_acid_w__F11_2__2,0.7994737099,0.1979010344,-0.0330759678,0.6002803874,0.3675384074,1.1247708932,0.3220773912
evo_acid_w__wt__2,0.9847043656000001,0.7124659069,0.0921125297,1.6655798253,-0.0214305121,0.1854350343,0.31083178
evo_acid_w__B11_1__1,-0.665485153,-0.4299762493,0.0459686345,-1.2430347602,0.5623234531,0.9155969846,0.26427196540000003
evo_acid_w__H9_1__1,3.477750091,3.1617013877,-1.7381250601,4.2453102053,0.9679511212,1.2388278374000001,1.8367398931
evo_acid_w__H9_2__1,0.5922861618,-0.3255937956,0.1060124781,1.3299059186,0.3938777195,0.4453544258,0.2425155854
evo_acid_w__B11_2__2,0.413025211,-0.6066479109,0.7565786075,1.3286358347,0.4481141065,0.8543782013000001,-0.0972159972
evo_acid_w__wt__3,0.1430189969,0.8346280889000001,-0.0206086192,1.4541476583000001,0.1153031922,0.1211857494,0.5223073233000001
evo_acid_w__H9_2__2,0.6075785763,0.0345859295,0.2191212157,1.5776834765,0.4525539635,0.5751106551,0.1089003454
evo_acid_w__B11_2__3,0.3138625094,-0.6530868302,0.701250519,0.8748346009,0.5540256392,0.8899354187,0.3346410848
evo_acid_w__F11_2__3,0.7190915598000001,0.5272732785,0.0061447768000000005,1.236880471,0.5076285818,1.160653039,0.5772709163
evo_acid_w__F9_2__2,1.6056644525000001,0.5362963868,0.5616911087,0.8159341034,0.4800509871,-0.0517242573,0.1174249857
evo_acid_w__wt__4,0.3481032616,0.09243176560000001,0.2075206627,0.7766943792000001,0.1843789778,0.44051471210000004,0.1504897623
evo_acid_w__wt__5,0.6474140049,0.5464039592000001,0.07605606050000001,0.7591451453,0.1278718037,0.5072191575,0.39394036800000004
evo_acid_w__wt__6,-1.308224011,-0.8656651703,-0.0229880917,-2.2989114203,-0.3530012879,-0.41237216720000003,-0.4561873864
evo_acid_w__H9_1__2,3.8307978885000002,3.4137760628000002,-1.7211272316000001,4.0893026163,0.9166136458,1.1528332225,1.7826037421
evo_acid_w__F9_1__1,2.0283856563,1.6655478549,0.33539129840000004,3.0105030815,0.410631464,0.4846492106,0.5981267419
evo_acid_w__F9_1__2,1.602673811,1.3618792231,0.37333806010000004,3.2404934993,0.41348417270000004,0.4032394569,0.4472862951
evo_acid_w__B11_1__2,-0.8068868009,-1.3056621675,0.1027974094,-1.1124414554,0.28405116280000003,0.9102077620000001,0.4260289975
evo_acid_w__H9_2__3,0.4468834034,-0.1226999535,0.2542201101,1.3960241458,0.3691065887,0.8736451940000001,0.1516952055
evo_acid_w__wt__7,0.1599031884,-0.1024183067,0.1532453091,0.6347931368,0.290989885,0.1127566046,-0.1912744808
evo_acid_w__F9_1__3,2.2042426883,1.9183687552,0.3624937381,3.1410720338,0.4310912055,0.4114402197,0.789660318
evo_acid_w__F9_2__3,1.0692118299,-0.1490215521,0.5062765036,0.8302555545,0.4021933099,-0.48751709590000003,-0.22576649310000002
evo_acid_w__wt__8,-0.4434322464,-0.6240781822,-0.3269025847,-2.0677286317,-0.3827079396,-0.3248729756,-0.5276192801
evo_acid_w__B11_1__3,-0.27187234320000003,-0.8913323926000001,0.09219357800000001,-1.4295529239,0.3152315525,0.8767772656,0.3228984654
evo_acid_w__wt__9,-1.0441934674,-1.1125484318,-0.2945282879,-2.1387592688,-0.43599543900000004,-0.6751088656,-0.5490044556
evo_bz__c3_1_bz__1,4.7906134296000005,4.5670617078,-0.385355987,4.7416369539000005,0.4694388149,0.7775541850000001,2.1690772872
evo_bz__c3_1_bz__2,-0.1118592083,-0.1075494682,-0.6930073795,3.0099427273,-0.0941499191,-0.0176106841,-0.1869252247
evo_bz__c3_1_bz__3,-0.5854796912,0.0445824305,-0.7755713976,2.6694410921,-0.26304170590000003,0.019385112200000002,-0.1388109059
