,-0.16295433223216507,-0.13036346578573205,-0.09777259933929902,-0.065181732892866,-0.03259086644643297,5.551115123125783e-17,0.03259086644643308,0.0651817328928661,0.09777259933929913,0.13036346578573219,0.16295433223216518,0.19554519867859818,0.22813606512503123,0.2607269315714643,0.29331779801789726,0.3259086644643303,0.35849953091076336,0.3910903973571964,0.42368126380362947,0.4562721302500624
Crp_genes,[],[],[],[],"['tsx' 'fumA' 'araC' 'mdh' 'caiE' 'citE' 'bhsA' 'paaF' 'hyfJ' 'bglG'
 'truB' 'psuG' 'sgcB' 'cspD' 'yqeF' 'rspB' 'araH' 'malE' 'rhaT' 'glpA'
 'fucI' 'psiE' 'malS' 'epd' 'dcuB' 'sgcX']","['agp' 'aldA' 'aceK' 'dadX' 'fucK' 'nfuA' 'citC' 'araB' 'sgcC' 'chbB'
 'rbsR' 'idnR' 'nirB' 'nanC' 'sgbE' 'speC' 'comR' 'fixB' 'agaW' 'uxaA'
 'manZ' 'trxA' 'dgoA' 'acs' 'chbA' 'prpC' 'modA' 'hyfF' 'gntU' 'rihA'
 'fixA' 'ulaE' 'agaV' 'hyfR' 'nirD' 'manY' 'focB' 'rbfA' 'ebgC' 'plaR'
 'zraR' 'lsrR' 'gcvH' 'araG' 'ygcW' 'puuC' 'paaI' 'uxuR' 'mazE' 'sgcA'
 'puuR' 'mhpC' 'dksA' 'grpE' 'rplI' 'nanS' 'ilvB' 'hflC' 'sgbH' 'hpt'
 'lsrF' 'pck' 'dpiB' 'marA' 'rseD' 'aroA' 'srlB' 'csgE' 'dsdX' 'yhgH'
 'xylA' 'marB' 'caiA' 'tdcF' 'pncB' 'rhaR' 'malK' 'secB' 'yeiP' 'ykgR'
 'chbR' 'paaB' 'mdtF' 'nrdA' 'melA' 'ptsI' 'sgbU' 'dgoR' 'modC' 'galS'
 'uxuA' 'metK' 'chbC' 'hlyE' 'acnA' 'manA' 'fis' 'nagC' 'lgoR' 'kbaZ'
 'rbsC' 'puuB' 'idnK' 'manX' 'casE' 'trg' 'glpT' 'glpF' 'rpoE' 'cas2'
 'gapA' 'mazF' 'sgcQ' 'citF' 'lsrG' 'nanM' 'fadH' 'gutM' 'serC' 'rbsD'
 'xseA' 'envZ' 'sfsA' 'aer' 'lacA' 'csgD' 'rseC' 'hflX' 'rspA' 'psuK'
 'srlE' 'hofB' 'sohB' 'gatZ' 'gpsA' 'ulaF' 'ulaA' 'hflK' 'caiD' 'raiA'
 'yhfA' 'rpsR' 'focA' 'glgS' 'ulaC' 'putP' 'infB' 'murP' 'srlD' 'rseB'
 'dsdA' 'fadD' 'exuR' 'lgoD' 'ppdD' 'casB' 'lhgO' 'hofM' 'mhpA' 'zraS'
 'dusB' 'araA' 'modB' 'nanT' 'uidA' 'caiC' 'ybiT' 'fadL' 'ulaD' 'tdcG'
 'cyaA' 'caiT' 'xylB' 'rbsK' 'prpE' 'galT' 'malT' 'xylG' 'glgA' 'lacY'
 'galP' 'hyfD' 'ulaB' 'nagE' 'hicB' 'aceA' 'gntT' 'umpH' 'fucR' 'mtlR'
 'xylE' 'tdcC' 'mhpE' 'ntrC' 'ubiG' 'glgP' 'lsrK' 'dgoK' 'lsrA' 'dgoD'
 'melB' 'rpsO' 'gntK' 'glpQ' 'casC' 'ldtB' 'dctA' 'rbsA' 'rplM' 'patZ'
 'cspE' 'galM' 'rpsI' 'ugpQ' 'btsT' 'mpl' 'fbaA' 'mhpR' 'hyfB' 'hupB'
 'sgcR' 'ugpB' 'ppiA' 'priB' 'melR' 'rmf' 'glpX' 'malX' 'yahN' 'hyfC'
 'ygeA' 'yjcH' 'idnD' 'rhaS' 'lsrB' 'rseA' 'idnT' 'sodB' 'nagA' 'aspA'
 'glpB' 'gatD' 'puuE' 'fixC' 'hicA' 'dcuR' 'tdcE' 'mhpF' 'malF' 'relA'
 'lacI' 'idnO' 'mlc' 'xylF' 'xylR' 'sgcE' 'csqR' 'hyfA' 'rbsB' 'rhaB'
 'glgC' 'prpD' 'paaJ' 'paaG' 'ycdZ' 'ugpE' 'ascF' 'glcC' 'rof' 'pnp'
 'nagB' 'citG' 'fucU' 'ptsG' 'nrdB' 'argG' 'cas3' 'dgoT' 'rhaA' 'chbG'
 'uxuB' 'hyfG' 'gatC' 'cytR' 'mtlA' 'citX' 'cysG' 'nanE' 'gatY' 'galK'
 'fucP' 'mglC' 'dpiA' 'rhaD' 'galE' 'glpG' 'gatB' 'tdcB' 'lsrD' 'actP'
 'hofN' 'araD' 'pgk' 'preA' 'rpoH' 'glnL' 'araJ' 'prpB' 'narQ' 'citD'
 'yaeQ' 'aegA' 'glpR' 'gyrA' 'cas1' 'crr' 'puuD' 'ampE' 'yhcH' 'ugpC'
 'acnB' 'rpsF' 'sbmC' 'yiaN' 'uidB' 'paaK' 'gcvP' 'uxaB' 'dcuA' 'arfB'
 'yiaL' 'gntP' 'lsrC' 'chiP' 'murQ' 'malM' 'treC' 'hyfI' 'agaA' 'casD'
 'xylH' 'aaeR' 'nirC' 'ascB' 'ygeW' 'paaH' 'bglF' 'paaE' 'gcd' 'mokB'
 'mhpB' 'yiaO' 'tdcD' 'yiaK' 'gutQ' 'hyfE' 'tam' 'mtlD' 'fucO' 'ugpA'
 'treB' 'chbF' 'prpR' 'nupG' 'paaD' 'glpD' 'ebgA' 'pflB' 'yiaM' 'srlA'
 'paaC' 'aldB' 'hofO' 'preT' 'glnA' 'casA' 'ptsH' 'yjhH' 'yjhG' 'mhpD'
 'caiB' 'aaeB' 'deoD' 'chiQ' 'lyxK' 'aaeX' 'paaZ' 'glpE' 'glpC' 'yaeP']","['guaA' 'oxyR' 'malG' 'gadC' 'cstA' 'cdd' 'uidC' 'aaeA' 'hyfH' 'lacZ'
 'csgG' 'gadB' 'csgF' 'deoA' 'guaB' 'deoC' 'ychH' 'yeiW' 'paaA' 'proP'
 'deoB' 'udp' 'lamB' 'uhpT' 'gadA' 'crp']",[],[],[],[],[],[],[],[],[],[],[],[],[]
Nac_genes,[],[],[],['lysA'],"['argO' 'yhhQ' 'yafQ' 'mltD' 'hcaR' 'ygfI' 'yhdV' 'cbrB' 'yihO' 'ybcV'
 'ansP' 'yobB' 'fdhD' 'nrdG' 'alaC' 'fliC' 'ygaM' 'yijO' 'dinJ' 'pdeF'
 'ispB' 'prfC']","['yhcC' 'cfa' 'xdhA' 'ydaU' 'fumD' 'pgaA' 'gudX' 'nudG' 'ecnA' 'yggP'
 'rutB' 'ccmB' 'ybdR' 'ykgH' 'groS' 'yecE' 'yejG' 'ydgH' 'ydiM' 'macA'
 'ytfB' 'yjcO' 'torI' 'asnC' 'ycgV' 'yrhB' 'ivy' 'yjgN' 'ynfA' 'yjeH'
 'ygaV' 'ybbW' 'dsbG' 'evgA' 'ubiA' 'yfdV' 'yafN' 'rfaH' 'mtfA' 'ygiN'
 'pdxK' 'ccmA' 'yqeJ' 'yihQ' 'metE' 'napC' 'phoH' 'eamA' 'yhjE' 'ybdK'
 'narX' 'yfeK' 'curA' 'dapB' 'hemH' 'holE' 'ykgL' 'metR' 'ygiL' 'ycaN'
 'bisC' 'msrA' 'yeiE' 'yieE' 'wza' 'ynjF' 'allR' 'phoB' 'yejB' 'hxpB'
 'nfrB' 'yafD' 'nrfF' 'yhbX' 'yjgH' 'ydiV' 'ynfE' 'uspG' 'yraH' 'ytfJ'
 'yobF' 'pabC' 'yaiZ' 'uvrY' 'lysR' 'dcp' 'mscL' 'emrK' 'ispD' 'wzc'
 'eptA' 'ykgE' 'rlmM' 'htpG' 'nrfG' 'hcaE' 'ydeP' 'pldA' 'ybhD' 'yghS'
 'dppA' 'yfgH' 'ybgE' 'pstS' 'livH' 'trxB' 'torA' 'chpS' 'rhtA' 'ydcI'
 'ydcV' 'yfcP' 'pyrB' 'yjgM' 'yfiR' 'prmB' 'pntA' 'ynfD' 'ligB' 'hemB'
 'yafV' 'dcyD' 'icd' 'cynT' 'hemN' 'livK' 'rnlB' 'yjcB' 'waaF' 'rfbC'
 'lysU' 'kbaY' 'ybeT' 'yfhL' 'ybaL' 'ydiP' 'rfbB' 'yfbV' 'yajD' 'ccmH'
 'tolB' 'rcsA' 'ppc' 'pstC' 'dhaK' 'yhaB' 'narK' 'rpmH' 'cobT' 'ssuE'
 'thrS' 'dhaR' 'ytfP' 'cmtB' 'ybcK' 'cysS' 'ompN' 'ydeQ' 'yhfZ' 'ybjP'
 'yqeB' 'ddlA' 'bssS' 'iaaA' 'yfbL' 'ynfB' 'yohO' 'yecF' 'dnaA' 'ybjX'
 'kdgR' 'queF' 'pdeC' 'mcrB' 'bglX' 'ynfF' 'ygjH' 'ytfK' 'livM' 'yhjD'
 'yjeM' 'cycA' 'ptrA' 'waaG' 'ygcS' 'yeiH' 'fklB' 'insK' 'codA' 'ugd'
 'yoeB' 'elfA' 'yfiL' 'ybhM' 'fliD' 'intD' 'lepB' 'dkgA' 'yniB' 'dld'
 'rep' 'uhpA' 'thiL' 'ppiB' 'ydiL' 'ychA' 'yaiY' 'yfjI' 'yccM' 'ygcO'
 'yafO' 'cmtA' 'ydiO' 'nusB' 'wecH' 'yieP' 'hprR' 'kdsA' 'aroF' 'tfaR'
 'yejM' 'nadD' 'napB' 'yfbK' 'ygcE' 'ynjH' 'cysJ' 'abpA' 'yhbT' 'yneK'
 'ybgC' 'mreC' 'acrE' 'blc' 'cysQ' 'wcaF' 'borD' 'yafK' 'xapR' 'patD'
 'yedL' 'yhfL' 'ybhI' 'yjaH' 'cheA' 'glxK' 'yegL' 'ybjQ' 'ygdB' 'ycgB'
 'yfcO' 'rplU' 'cdaR' 'ydfR' 'ompT' 'bfr' 'yhiJ' 'ibpA' 'ymjA' 'codB'
 'ahpC' 'lepA' 'leuO' 'wzzE' 'ycaC' 'yadC' 'cobU' 'yhcD' 'stfR' 'yiaD'
 'ftnB' 'yigL' 'shiA' 'rpoZ' 'queD' 'ydiB' 'hchA' 'yjeJ' 'yegH' 'yiiF'
 'yieH' 'ybeU' 'ygiM' 'sbcD' 'yjbQ' 'bglH' 'ygdR' 'cynR' 'wcaE' 'elfG'
 'mioC' 'htpX' 'lpxH' 'greB' 'ppnN' 'polA' 'moeA' 'fdoG' 'yjcF' 'yfgG'
 'rsmF' 'amiB' 'htrE' 'wrbA' 'mnmG' 'pinR' 'yjfZ' 'yghT' 'yhhZ' 'ydcT'
 'yaeF' 'yobA' 'yeeZ' 'znuA' 'abgA' 'yhbU' 'yihL' 'map' 'pitB' 'ygaZ'
 'ybfC' 'cho' 'gor' 'scpB' 'rsd' 'ygeG' 'secG' 'ybeQ' 'mcbA' 'gmk' 'wzb'
 'mobA' 'yjbB' 'sdaA' 'lysP' 'yajO' 'ycgX' 'ydcU' 'yecD' 'yehE' 'yidQ'
 'ydaT' 'ydcS' 'nudC' 'ycgJ' 'ydfK' 'ydcZ' 'ygiF' 'yghG' 'ydcY' 'ycaK'
 'yadM' 'ynfG' 'dgcT' 'uspA' 'ygcP' 'pfkB' 'yciZ' 'ybbC' 'ydeE' 'ygaP'
 'iraP' 'pdeL' 'aroD' 'yqeH' 'tauA' 'mdtG' 'cbrC' 'yifB' 'dsbA' 'lrp'
 'dcm' 'kbl' 'yagU' 'rluE' 'amn' 'yfeS' 'ecnB' 'aroE' 'yicJ' 'ygjI' 'pyrL'
 'asnA']","['gltP' 'bfd' 'ackA' 'yegR' 'rlmF' 'yafC' 'yigI' 'yfdE' 'ddpC' 'yebQ'
 'ycaD' 'pphB' 'yihD' 'ppdC' 'kduI' 'yhcA' 'uspC' 'sdiA' 'yhaI' 'ydiY'
 'pinQ' 'osmB']",[],[],[],[],[],[],[],[],[],[],[],[],[]
Fur_genes,[],[],[],[],['ybdZ' 'rcnA' 'fhuE' 'soxS'],"['fes' 'amtB' 'pyrC' 'glnK' 'purR' 'nrdF' 'nrdI' 'entS' 'nohA' 'gspC'
 'yjjZ' 'katE' 'fepD' 'oppB' 'garP' 'gspL' 'ydfN' 'yhhY' 'sufA' 'nrdE'
 'garL' 'metH' 'garK' 'nrdH' 'sufB' 'gnd' 'entF' 'garR' 'gspD' 'sufC'
 'metJ' 'fnr' 'oppD' 'sufE' 'rcnB' 'zinT' 'sufS' 'ftnA' 'fhuD' 'gspJ'
 'fhuC' 'fepB' 'fhuA' 'nfeF' 'zwf' 'sufD' 'gspE' 'oppF' 'aspC' 'feoC'
 'glnD' 'exbD' 'fepG' 'soxR' 'feoB' 'gpmA' 'mntP' 'feoA' 'fepC' 'gspF'
 'gspK']",['exbB' 'fecI' 'fhuB' 'hmp' 'tonB' 'fecR'],[],[],[],[],[],[],[],[],[],[],[],[],[]
HypT and Nac_genes,[],[],[],[],['cydA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR and Crp_genes,[],[],[],[],[],['pdhR' 'aceE' 'aceF'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR and Nac_genes,[],[],[],[],[],['glcA' 'tomB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR and Fur_genes,[],[],[],[],[],['ndh'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp and Nac_genes,[],[],[],[],['mdtE' 'gabP' 'ompA' 'ansB' 'marR' 'osmY' 'gadE'],"['feaR' 'ompR' 'ortT' 'uxaC' 'dadA' 'gabT' 'gabD' 'malY' 'hfq' 'nanA'
 'exuT' 'yjhI' 'feaB' 'gadX' 'mglA' 'glpK' 'aceB' 'araE' 'hofC' 'araF'
 'gatA' 'bglB' 'ampD' 'ilvN' 'yfaE' 'serA' 'nlpE' 'csiE' 'rimP' 'gcvT'
 'caiF' 'nusA' 'tdcA' 'mglB' 'srlR' 'nupC' 'abgR' 'gltA' 'ynfK' 'nadC'
 'cpdB' 'nanK' 'csiD' 'malI']",['tnaB' 'fucA' 'hupA' 'tnaA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp and Fur_genes,[],[],['entC'],[],['cirA'],"['fur' 'fumB' 'sodA' 'sdhB' 'sucB' 'ompW' 'entD' 'sdhA' 'fepA' 'fumC'
 'sucD' 'rpoS' 'sucC' 'fiu' 'sdhD' 'flhC' 'flhD']",['entE' 'entH' 'entA'],['entB'],[],[],[],[],[],[],[],[],[],[],[],[]
Nac and Fur_genes,[],[],[],[],[],['oppA' 'katG' 'fhuF' 'gspH' 'gspO' 'gspM' 'oppC' 'fepE' 'mntH' 'nac'],['tfaQ' 'gspG' 'ygaC'],[],[],[],[],[],[],[],[],[],[],[],[],[]
"PdhR, Crp, and Fur_genes",[],[],[],[],['grcA'],['cyoA' 'cyoB' 'cyoD' 'cyoE' 'cyoC' 'lpd'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"Crp, Nac, and Fur_genes",[],[],[],[],[],['sucA' 'gltB' 'gltF' 'ompF' 'gltD' 'sdhC' 'gdhA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"HypT, FecI, PdhR, Crp, Nac, and Fur_genes",[],[],[],[],[],[],[],[],[],[],[],[],[],['fecE'],['fecD'],['fecC'],['fecB'],['fecA'],[],[]
