,A,AcoR
nit_1,4.4576444584,0.6673333333
nit_2,2.5641007766,0.8234333333
nit_3,3.4505186507,0.5276333333000001
ferm_1,7.2490057479,0.5127333333
ferm_2,5.5063362992,0.3029333333
ferm_3,5.4013065238,0.8933333333000001
T-5.40H_1,-7.441283832,0.9217333333000001
T-4.40H_1,-7.6173455441,0.7339333333
T-3.40H_1,-7.6298546621,0.8363333333
T-2.40H_1,-7.0709039396,0.7966333333000001
T-1.40H_1,-6.6621682363,0.9419333333000001
T-1.10H_1,-6.4395493928,1.1015333333
T-0.40H_1,-6.168177624,0.8040333333
T0.0H_1,-5.0221886483,2.7748333333
T0.30H_1,21.2174379818,4.0270333333
T1.0H_1,21.6810757146,3.9322333333
T1.30H_1,19.8278521419,4.0364333333
T2.0H_1,14.9937322666,3.9688333333
T2.30H_1,13.4438967854,4.6274333333
T3.0H_1,12.0230718161,4.1043333333
T3.30H_1,10.7287263014,4.3812333333
T4.0H_1,9.9376369702,4.1325333333
T5.0H_1,9.603321026,3.0324333333
HPh_1,-2.426682665,0.0929333333
HPh_2,-2.7773294578,-0.4519666667
HPh_3,-2.4056080316,-0.1023666667
LPh_1,-2.8651692224,-0.0489666667
LPh_2,-3.4733701196,0.0504333333
LPh_3,-2.2560344491,-0.1058666667
LPhT_1,3.174951088,-0.0769666667
LPhT_2,2.7748376348,-0.1259666667
LPhT_3,2.6801102132,0.24123333330000002
SMMPr_1,-3.2582816742,0.6035333333
SMMPr_2,-3.1531960846000002,0.7539333333
SMMPr_3,-3.1587752893,0.7975333333
HiTm_1,-1.5146416194999999,1.2718333333
HiTm_2,-1.2687289691,2.0905333333
HiTm_3,-2.7110273643,1.3135333333
LoTm_1,-25.9765451049,-0.2331666667
LoTm_2,-25.720563631,-0.5209666667
LoTm_3,-24.0869467334,-0.5769666667000001
HiOs_1,0.4363525757,1.6805333333
HiOs_2,0.6130587230000001,1.3527333333
HiOs_3,0.2175710763,1.6193333333000002
BMM_1,-1.0924258949,-0.1477666667
BMM_2,-1.095072687,-0.3579666667
BMM_3,-0.8906216714,-0.12076666670000001
Heat_1,-1.7272201716,1.7487333333000001
Heat_2,-1.6209092633000002,1.5585333333
Heat_3,-1.2886980641,1.4493333333
Cold_1,-2.3003005821,-0.5279666667
Cold_2,-2.2592890157,-0.7108666667
Cold_3,-1.9072949247,-0.7670666667
Etha_1,1.9879114606,-0.1038666667
Etha_2,1.2228492145,-0.15916666670000001
Etha_3,1.7411471121000002,-0.3048666667
SMM_1,0.000337396,0.3714333333
SMM_2,-0.6610197652,0.3808333333
SMM_3,-0.7820044938,0.3386333333
Salt_1,-0.1488559828,0.0235333333
Salt_2,-0.3099569368,-0.0723666667
Salt_3,-0.4524113769,0.0629333333
Mt0_1,-3.8904297444,1.7471333332999999
Mt0_3,-6.973248442,3.7738333333
M0t45_1,-2.7961282839,1.0118333333
M0t45_2,-2.5183387215,0.47953333330000003
M0t45_3,-3.0800357351,1.5691333333
M0t90_1,14.0752898031,3.9369333333
M0t90_2,16.6697376797,5.0957333333
M0t90_3,13.191126189,4.6089333332999995
M40t45_1,-2.9177316493000003,1.6328333333
M40t45_2,-2.8154186230000002,5.0307333333
M40t45_3,-4.1497293005,1.7899333333
M40t90_1,13.775169695,4.5522333333
M40t90_2,15.8254805003,5.2353333333
M40t90_3,12.8439242547,4.8986333333
dia0_1,-5.2661018521,2.3741333333
dia0_2,-3.9846177837,2.4299333333
dia0_3,-3.9686140183000003,1.5538333333
dia5_1,-6.2851863923,2.9902333333
dia5_2,-3.4297955306,3.6844333333
dia5_3,-3.498950187,3.7578333333
dia15_1,-2.325903097,3.7617333333
dia15_2,-1.8924242275,2.2132333333
dia15_3,-1.8438543567,1.1545333333
Diami_1,-7.3193125325,2.1514333333
Diami_2,-7.4070306496,2.1701333333
Diami_3,-6.7650019286,2.4226333333
Paraq_1,-7.3172305839,1.1566333333
Paraq_2,-7.7025693501,1.4487333333
Paraq_3,-6.4862177968,-0.0648666667
H2O2_1,-6.0075020351,1.4335333333
H2O2_2,-6.0836686832,1.7928333333
H2O2_3,-4.8967163284,0.8663333333000001
Oxctl_1,-6.3534759395,1.1663333332999999
Oxctl_2,-6.8090503229,1.4413333333
Oxctl_3,-7.9518124803,1.2441333333
GM-0.1_1,-0.2262911659,0.4965333333
GM-0.2_1,0.2662593354,0.7952333333
GM+5_1,-0.6290011115,0.1382333333
GM+15_1,0.3779209371,0.1240333333
GM+25_1,0.5099531740000001,0.0894333333
GM+45_1,-0.1963264469,0.0298333333
GM+60_1,-0.5550732828,-0.29656666670000004
GM+90_1,-0.7342745185,-0.0243666667
GM+120_1,1.3660858933,0.40193333330000003
GM+150_1,-3.1434712242,0.1597333333
GM-0.1_2,-2.4894801333,0.8685333333
GM-0.2_2,-0.7071991716,0.9406333333
GM+5_2,-1.4389841486,0.6137333333
GM+10_2,-0.280913895,-0.0214666667
GM+15_2,1.1682669687,-0.1026666667
GM+25_2,1.7860680177,-0.1662666667
GM+45_2,0.6814479585000001,-0.8906666667
GM+60_2,2.1365028622,-0.4607666667
GM+90_2,0.2776825278,0.26383333330000003
GM+150_2,-2.6807519951,-0.10226666670000001
GM-0.1_3,-0.7670368534,0.7064333333
GM-0.2_3,-1.2786963252999999,0.5662333333
GM+5_3,-1.3249720568,0.7784333333
GM+10_3,0.9656277811,-0.2898666667
GM+15_3,1.3763244653,-0.0632666667
GM+25_3,2.3477931722,-0.1834666667
GM+45_3,1.42517706,0.1614333333
GM+60_3,1.5514321069,-0.19646666670000001
GM+90_3,0.6769310102,-0.033066666700000004
GM+120_3,-0.1688452775,0.4312333333
GM+150_3,-3.8134395798,-0.0089666667
MG-0.1_1,-0.5007686473,1.6003333333
MG+5_1,0.2763374066,0.1123333333
MG+10_1,-1.053534706,0.0484333333
MG+15_1,-0.0391040314,-0.5232666667
MG+25_1,-0.7279260059,-0.3415666667
MG+45_1,0.6422522301,-0.2655666667
MG+120_1,-2.2654905081,0.6647333333000001
MG+150_1,-0.6691131300000001,0.6671333333
MG-0.1_2,-0.44648998430000003,0.9136333333000001
MG-0.2_2,-1.1414833722,1.3740333332999999
MG+5_2,-1.6226810712000002,-0.19946666670000002
MG+10_2,-1.3706234504,-0.3198666667
MG+15_2,-1.2044675822,0.3815333333
MG+25_2,-0.4032652031,-0.4938666667
MG+45_2,-1.1116638887999999,-0.35656666670000003
MG+60_2,-1.8409225235000002,-0.0305666667
MG+90_2,-1.8896332801,-0.41306666670000003
MG+120_2,-3.797377582,0.7603333333000001
MG-0.1_3,-2.2617916845,2.2262333333
MG-0.2_3,-1.5740819402000001,1.7479333333
MG+5_3,-1.7990986073,0.060533333300000006
MG+10_3,-0.6268344405,-0.0732666667
MG+15_3,-1.9079103859000002,-0.0932666667
MG+25_3,-2.2895291487,-0.0588666667
MG+45_3,-3.2957314746,0.2830333333
MG+60_3,-2.3867806088,0.1078333333
MG+90_3,-2.4449144368,0.2055333333
MG+120_3,-2.2304724697,0.3779333333
MG+150_3,0.7655619404,0.4919333333
