,A,ideR,whiB4
ITM_04:24h_h37rv_delam:3,-10.2833158508,0.9740236264000001,-0.115649445
ITM_04:24h_h37rv_DMSO:1,-11.0627042601,-0.6383575695,-0.2928373435
ITM_04:24h_h37rv_DMSO:2,-10.4459650922,-0.37891390500000005,-0.3320693128
JSF:DMSO:1,-0.1560442512,0.0216702997,-0.1376215524
JSF:DMSO:2,0.21792185800000002,-0.1027185432,0.0470967378
JSF:DMSO:3,-0.1107247324,0.0663635917,0.0002360691
JSF:DMSO:4,0.0488471257,0.0146846518,0.0902887455
JSF:JSF_2019:1,1.231129894,1.8464573392,-1.0699971448
JSF:JSF_2019:2,1.2214078936,2.0630339949,-1.0190079243
JSF:JSF_2019:3,0.8443759951,1.6878116605,-1.0173068858
JSF:JSF_2019:4,1.0704339746,2.0035628701,-1.1500019702
JSF:JSF_2026:1,2.5764882213,1.1474937259,-0.6177867091
JSF:JSF_2026:2,2.4229570276,1.2139108568,-0.7793247583
JSF:JSF_2026:3,2.459680809,1.1696962282,-0.6563166691
JSF:JSF_2026:4,2.5767267728,1.1750518332,-0.7396799819000001
MTS1338:over_expression:1,0.9053717395,-0.032787265600000004,-0.3036202349
MTS1338:over_expression:2,-0.9053717395,0.032787265600000004,0.3036202349
PAS:control:1,0.3584530944,0.029316891100000003,-0.0943206229
PAS:control:2,-0.1390852624,-0.0132945431,-0.0118882721
PAS:control:3,-0.219367832,-0.016022348000000002,0.1062088949
PAS:treated:1,4.7490179131,0.5992351291,0.37153676680000003
PAS:treated:2,5.4643193658,0.609192586,0.47095769940000004
PAS:treated:3,4.2620224941,0.6477747624,0.6000113337
THP-1:24h_THP_B_enriched:1,0.8606826307000001,-0.0154615221,0.3344215904
THP-1:24h_THP_B_enriched:2,-0.8606826307000001,0.0154615221,-0.3344215904
aminoimidazoles:02h_treated:1,1.6791234145,0.41561184840000004,0.2136984945
aminoimidazoles:02h_treated:2,1.2897188711,0.42085147110000004,0.1369555071
aminoimidazoles:24h_treated:1,4.5353189704,0.46781895300000004,0.2017862812
aminoimidazoles:24h_treated:2,3.9195659729,0.7650647679,-0.313406801
aminoimidazoles:untreated:1,-0.40989689370000004,0.049391043600000004,0.0684377461
aminoimidazoles:untreated:2,-0.1716818152,0.0894473839,0.1199553715
aminoimidazoles:untreated:3,0.5815787089000001,-0.1388384275,-0.18839311760000002
antibiotic:ctrl_24h:1,1.3570322632,-0.0038705924,0.2625269966
antibiotic:ctrl_24h:2,0.2962086199,0.061761473100000006,-0.2915219892
antibiotic:ctrl_24h:3,0.3561209027,-0.005594408600000001,0.1754643928
antibiotic:ctrl_4h:1,-0.30486821880000003,0.0082683381,0.1844539721
antibiotic:ctrl_4h:2,-0.38471477600000004,0.0810577745,-0.1508071286
antibiotic:ctrl_4h:3,0.6895829948000001,-0.08932611260000001,-0.0336468435
antibiotic:izd_4h:1,-7.2193072403,-1.5206879052,1.3301565606999999
antibiotic:izd_4h:2,-7.0079638474,-1.2870256168,1.4224593388
base:wt_glu_24:1,-0.6090830019,0.4331458708,-0.3156512469
base:wt_glu_24:2,0.09397064570000001,0.30503868160000003,0.035263295300000004
base:wt_glu_24:3,-0.44691203430000004,0.0307697019,0.1368631256
base:wt_glu_6:1,0.2292006789,0.0306810624,0.1435426319
base:wt_glu_6:2,-0.0274633569,-0.026399131500000002,-0.0907105445
base:wt_glu_6:3,-0.20173732200000002,-0.0042819309000000005,-0.052832087400000005
base:wt_llac_24:1,2.9687100592,0.2203127869,0.2312223119
base:wt_llac_24:2,1.7694584897999999,0.248735492,0.4890258012
base:wt_llac_24:3,2.8730212581,-0.1070818822,0.1008003563
base:wt_llac_6:1,4.0019846003,0.0514461077,0.5156355441
base:wt_llac_6:2,3.3368316546,-0.330433354,0.0934298564
base:wt_llac_6:3,4.3709825444,-0.0664230489,-0.0213224012
base:wt_pyr_24:1,-0.1490179194,0.41808228010000004,0.0287214116
base:wt_pyr_24:2,-0.2920791099,0.16150365590000001,-0.6527443582
base:wt_pyr_24:3,-0.8163274915000001,0.21733004,-0.3599912286
base:wt_pyr_6:1,2.95792579,-0.34066366600000003,-0.3562272288
base:wt_pyr_6:2,3.3706327188,0.060276478300000005,0.35444489960000003
base:wt_pyr_6:3,3.2297187219,-0.19237875200000001,0.17656186610000002
biofilm:biofilm:1,4.1960110012,-0.0157722057,0.2229174304
biofilm:biofilm:2,4.1611971433,-0.025080598000000003,0.3038375457
biofilm:planktonic:1,0.0254505304,-0.0136904296,0.025424137700000002
biofilm:planktonic:2,-0.0254505304,0.0136904296,-0.025424137700000002
btz043:0_days_.006:1,-0.120556536,-0.0478231593,0.1218697775
btz043:0_days_.006:2,-0.10614209170000001,-0.1602562357,0.25885207920000003
btz043:0_days_.006:3,0.0165567788,-0.08793373260000001,0.1916022127
btz043:0_days_control:1,-0.1167527829,0.0074260768000000005,-0.0333145381
btz043:0_days_control:2,0.0234945111,-0.0371667713,0.0341165381
btz043:0_days_control:3,0.0932582717,0.0297406945,-0.000802
btz043:1_days_.006:1,-2.3098060142,-0.0266883298,-0.18779066290000002
btz043:1_days_.006:2,-2.7999423895,0.2032679538,-0.26227963730000003
btz043:1_days_.006:3,-2.7601333508,0.2016630067,-0.1795792009
btz043:1_days_.006:4,-2.2051495028,-0.0492157187,-0.0649672062
btz043:1_days_control:1,-1.0851941287,-0.4093023799,0.0129176264
btz043:1_days_control:2,-1.3346055453,-0.3046617384,0.0406213722
btz043:1_days_control:3,-1.2969529180000001,-0.26285706200000003,0.045493569000000005
btz043:1_days_control:4,-1.5461593443,-0.2235033457,-0.0223102757
clarithromycin:1_days_control:1,0.0548935981,-0.0027674265,-0.0769830463
clarithromycin:1_days_control:2,-0.0403758979,-0.0191376344,0.0538248528
clarithromycin:1_days_control:3,-0.0145177002,0.021905060900000002,0.0231581935
cnpB:del:1,-4.5658578594,0.2450445332,0.11127277390000001
cnpB:del:2,-1.8311792545,0.21064467180000002,0.256080686
cnpB:del:3,-3.9887286999000002,0.0371880944,-0.09737164520000001
cnpB:wt:1,-2.2333978703,0.0704718222,-0.1083070264
cnpB:wt:2,0.873050277,-0.0188268361,0.1481063719
cnpB:wt:3,1.3603475933,-0.051644986100000005,-0.0397993455
csoR:ko:1,-1.1436325818,0.0736124472,0.2966122858
csoR:ko:2,-2.1458215206,-0.08724019999999999,0.1194533747
csoR:wt:1,0.1661265317,-0.0578754369,-0.1665335362
csoR:wt:2,-0.1661265317,0.0578754369,0.1665335362
dap:0_days_25:1,0.2788773933,-0.0714338141,0.1854338778
dap:0_days_25:2,0.4225556454,-0.0449330986,0.1717509632
dap:0_days_25:3,0.0789828171,-0.0702423345,0.0650451508
dap:0_days_25:4,-0.0636587037,-0.033976713900000004,0.0189393448
dap:0_days_control:1,0.054589797600000003,-0.0151935974,0.0272742646
dap:0_days_control:2,-0.3706143126,0.037908020300000005,-0.0715417067
dap:0_days_control:3,0.6477639786,-0.061610224000000005,0.0908714042
dap:0_days_control:4,-0.3317394636,0.0388958011,-0.0466039621
dap:1_days_25:1,1.1401920306,-0.3251915074,0.28739369670000003
dap:1_days_25:2,1.6136376983,-0.44369170620000004,0.2974874265
dap:1_days_25:3,1.4890592613,-0.3863214183,0.2851937748
dap:1_days_25:4,1.0019784023,-0.3780586353,0.0572041297
dap:1_days_control:1,-0.32695758210000003,-0.2778792799,-0.056758668500000005
dap:1_days_control:2,-0.43787841980000003,-0.3339802042,0.0092934622
dap:1_days_control:3,-0.3616733164,-0.2246823252,0.05207615
dap:1_days_control:4,-0.33679739200000003,-0.2046765122,-0.0064268647
degradosome:mutant_rnj:1,-1.4351947737000001,-0.2919548254,-0.6225413434
degradosome:mutant_rnj:2,-1.5935725444000002,-0.3047195203,-0.7724139044
degradosome:mutant_rnj:3,-0.6654822968,-0.1647264738,-0.41645212200000004
degradosome:PNPase_ko:1,-0.7556338938,-0.25095087650000003,0.5072878209
degradosome:PNPase_ko:2,-0.0937192397,-0.2585457454,0.4572301662
degradosome:PNPase_ko:3,-0.4122957962,-0.2547647819,0.3378645111
degradosome:Rnase_E_ko:1,3.2555118482,-1.3477312124,-2.4702638193
degradosome:Rnase_E_ko:2,3.4637136864,-1.0281976252,-2.4250774222
degradosome:Rnase_E_ko:3,2.764647752,-1.2742416064,-2.8338575925000002
degradosome:wt_cas9_ctrl:1,-1.2871738879,0.0100045793,-0.062160549600000004
degradosome:wt_cas9_ctrl:2,-1.7588363159,0.1509444722,0.3353559468
degradosome:wt_cas9_ctrl:3,-3.2161017669,-0.222477365,0.1277133465
degradosome:wt_expn:1,-0.022110079,0.023659582300000002,-0.0662699514
degradosome:wt_expn:2,-0.10907282580000001,0.0116308356,-0.071651585
degradosome:wt_expn:3,0.1311829049,-0.0352904178,0.13792153640000002
delam:0_days_.09:1,-0.2322244203,-0.0027188175000000003,0.075827103
delam:0_days_.09:2,0.5459454098000001,-0.1595229663,0.0646355044
delam:0_days_.09:3,0.0758662627,-0.1799320827,-0.08029876700000001
delam:0_days_.09:4,0.26387218290000003,0.0429199675,-0.1146688486
delam:0_days_control:1,0.1505958701,0.0075500321,-0.0414040303
delam:0_days_control:2,-0.8364233489,-0.0122452983,0.0633128745
delam:0_days_control:3,0.2120246153,0.0903052162,-0.0724113947
delam:0_days_control:4,0.4738028635,-0.0856099501,0.0505025505
delam:1_days_.09:1,0.2530171137,-0.33972445100000004,0.6052197221
delam:1_days_.09:2,0.0046373560000000005,-0.3083711437,0.7463306322000001
delam:1_days_.09:3,0.06406650130000001,-0.3366167331,0.5703155824
delam:1_days_.09:4,-0.034375409600000004,-0.3548876462,0.6025915908
delam:1_days_control:1,-0.054991329000000005,-0.1740865647,0.5124056387
delam:1_days_control:2,0.3459932222,-0.2671303801,0.5444533989
delam:1_days_control:3,-0.0419991179,-0.2132325481,0.4676572855
delam:1_days_control:4,0.1977202302,-0.2688347911,0.5145138915
dg_inh:both:1,0.0783800979,0.0880205766,-1.094094688
dg_inh:both:2,-0.6427195176,0.1302027578,-1.0987230935
dg_inh:both:3,-0.1208537662,0.3716905372,-1.0532563227
dg_inh:dg:1,1.0233617118,0.1654013627,-0.4531397941
dg_inh:dg:2,1.0340079083,0.0500854181,-0.41776176260000003
dg_inh:dg:3,0.7730060411,0.24496890610000002,-0.561672315
dg_inh:DMSO:1,0.0714020327,0.06548569380000001,0.0803928126
dg_inh:DMSO:2,-0.1699978994,-0.0450863778,-0.0609508543
dg_inh:DMSO:3,0.0985958668,-0.020399316,-0.0194419583
dg_inh:inh:1,0.5067557066,0.0616972194,-0.9949990028000001
dg_inh:inh:2,0.42309161970000003,0.1821235217,-0.9943848033
dg_inh:inh:3,0.2890322259,0.042134917,-1.0952559045
dormancy:dormant_20d_rifampicin:1,-7.7731060628,0.5048843439,-0.030079801700000002
dormancy:dormant_20d_rifampicin:2,-8.8967455425,0.5371883728,-0.4051112448
dormancy:dormant_20d_rifampicin:3,-8.5431116947,0.49364810270000004,-0.49478950660000004
dormancy:dormant_no_treatment:1,0.7950348352000001,-0.28975625,0.2566252958
dormancy:dormant_no_treatment:2,0.2816424314,0.1951728057,-0.0745679387
dormancy:dormant_no_treatment:3,-1.0766772666,0.0945834443,-0.182057357
eccE1:control:1,0.2172603506,0.09023132290000001,0.0356517081
eccE1:control:2,-0.2172603506,-0.09023132290000001,-0.0356517081
eccE1:delta_eccE1:1,0.00029494090000000003,0.107927585,-0.0204975814
eccE1:delta_eccE1:2,-0.6003074611,0.2932038101,-0.0751349744
eccE1:delta_eccE1_eccE1_HA_comp:1,0.9544308730000001,-0.0452079435,0.23050143320000002
eccE1:delta_eccE1_eccE1_HA_comp:2,0.5916163599,0.0063997169000000005,0.0739877109
eccE1:delta_eccE1_empty_vector:1,-0.2837597774,0.17426232490000002,-0.1385207252
eccE1:delta_eccE1_empty_vector:2,-0.036689714000000005,0.0503645021,0.05614519900000001
eccE1:delta_eccE1_myc_p1_HA_comp:1,0.1302664124,0.4346774571,-0.2281790809
eccE1:delta_eccE1_myc_p1_HA_comp:2,0.3492848492,0.2274683518,-0.0188038167
eccE1:delta_eccE1_mycP1_eccE1_comp:1,0.2044520688,0.0714637067,-0.1208677216
eccE1:delta_eccE1_mycP1_eccE1_comp:2,0.7920793392000001,-0.07373819999999999,0.1737333073
emb:0_days_2.45:1,0.4698743839,-0.0296118509,0.0685207348
emb:0_days_2.45:2,-0.5248788778,0.1660595451,-0.22565921900000002
emb:0_days_2.45:3,0.6475081899,-0.0458455226,-0.1721913593
emb:0_days_2.45:4,-0.42506191190000003,0.1287882777,-0.2530045774
emb:0_days_control:1,-0.136849842,-0.0884603013,-0.0030708536
emb:0_days_control:2,-0.39477713940000003,0.166528916,-0.1849241919
emb:0_days_control:3,0.0096074983,0.1101661074,0.0864470425
emb:0_days_control:4,0.5220194831,-0.1882347221,0.1015480029
emb:1_days_2.45:1,3.2199355593,0.7916017189000001,-0.38158138750000004
emb:1_days_2.45:2,3.2092977195,0.7469161372,-0.32862970900000005
emb:1_days_2.45:3,3.6609603257,0.7460180288,-0.2990573307
emb:1_days_2.45:4,2.9742222514,0.7363121638,-0.4314785464
emb:1_days_control:1,3.8768914306,0.5886423649,-0.4439247154
emb:1_days_control:2,3.363209455,0.6978918233,-0.5194503488000001
emb:1_days_control:3,3.4625938767,0.6454007542,-0.7482583888000001
emb:1_days_control:4,3.8516528724,0.5525599763,-0.46262671720000004
espL:ko:1,0.5826168121,-0.0643954026,0.0297425734
espL:ko:2,-0.0500070385,0.0015583416,-0.0234107872
espL:wt:1,0.14936419450000002,-0.0906527597,0.014691560800000001
espL:wt:2,-0.14936419450000002,0.0906527597,-0.014691560800000001
esx_1:ko:1,0.5704615154,0.052181983300000005,0.1949827228
esx_1:ko:2,0.3281761897,0.3335103971,-0.0632520911
esx_1:wt:1,0.7705281649,0.0163601076,0.2607521937
esx_1:wt:2,-0.3242120753,-0.0424497317,-0.1938064286
esx_1:wt:3,-0.4463160896,0.0260896242,-0.0669457651
genotoxic:control:1,-0.34575988620000003,-0.1355218394,-0.1624999581
genotoxic:control:2,0.34575988620000003,0.1355218394,0.1624999581
genotoxic:growth_supplement:1,0.8498773764,0.4467659667,-0.0027345818
genotoxic:growth_supplement:2,0.9669746085,-0.2275656764,0.1432227371
growth:tss_expnt:1,2.6340960205,-0.1417486382,-1.3867082205
growth:tss_expnt:2,0.8408432723,-0.2841861846,-0.8893328454
growth:tss_expnt:3,1.5533826121,-0.31187379130000004,-1.151109155
growth:tss_starved:1,1.809144082,0.5027691329,-2.2441226907
growth:tss_starved:2,1.915210263,0.7136798752,-2.0139341664
growth:tss_starved:3,3.2734735414,0.41966477300000005,-1.8670279551000002
growth:wt_expn:1,0.1536381148,-0.0416975531,0.008773927
growth:wt_expn:2,-0.1591996457,0.0591556311,0.08209850710000001
growth:wt_expn:3,0.0055615308000000006,-0.017458078000000002,-0.09087243410000001
hs2:treated:1,0.6694591246,0.13320650080000002,0.2538834378
hs2:treated:2,0.9468064104,0.1279234896,0.1676943443
hs2:treated:3,0.1966024613,0.0213264029,0.155062751
hs2:untreated:1,0.2827235959,0.0340829173,-0.0167379306
hs2:untreated:2,-0.46096017800000005,-0.09923763320000001,-0.17248190970000002
hs2:untreated:3,0.1782365822,0.06515471590000001,0.1892198403
hypoxia:000h_.81_DO:1,-0.025906904,-0.011810861,0.0798797489
hypoxia:000h_.81_DO:2,0.2290588651,0.0288685687,-0.18949924810000002
hypoxia:000h_.81_DO:3,-0.2031519611,-0.0170577077,0.1096194992
hypoxia:017h_.57_DO:1,-0.275271225,0.007569446400000001,-0.07351954000000001
hypoxia:017h_.57_DO:2,-0.0999924782,0.2233111273,-0.19674752610000001
hypoxia:017h_.57_DO:3,0.8612988895,0.14622450480000002,-0.24615058080000002
hypoxia:023h_.42_DO:1,2.2128236072,0.2717542042,-0.132420661
hypoxia:023h_.42_DO:2,1.8931927488,0.4590529477,-0.7577048834
hypoxia:040h_.11_DO:1,-0.6471478073,0.1762317318,-0.3269035233
hypoxia:040h_.11_DO:2,0.5314697105,0.3085286018,-0.1216392627
hypoxia:041h_.09_DO:1,0.8830737708,0.18178686830000002,-0.37660912750000003
hypoxia:041h_.09_DO:2,-0.9466034113,0.2105879993,-0.5336133514
hypoxia:041h_.09_DO:3,-0.5320295803,0.2961984378,-0.4440113255
hypoxia:042h_.07_DO:1,0.4024940508,0.2445051306,-0.5920498177
hypoxia:042h_.07_DO:2,0.9798842025000001,0.2297069636,-0.7279651359
hypoxia:043h_.06_DO:1,0.8080090550000001,0.26983231690000004,-0.2414796885
hypoxia:043h_.06_DO:2,-0.0892179993,-0.0239367095,-0.4595789863
hypoxia:043h_.06_DO:3,-0.4143095281,0.1556501501,-0.3227264526
hypoxia:044h_.04_DO:1,1.2936525751999999,0.14415234940000002,-0.1018318642
hypoxia:044h_.04_DO:2,0.5067542344,0.4528933583,-0.5204631684000001
hypoxia:044h_.04_DO:3,0.47528362500000004,0.2232489373,-0.22244771900000002
hypoxia:047h_0_DO:1,0.6449293301,0.1688342381,-0.2652265131
hypoxia:047h_0_DO:2,0.2514339417,0.4401094499,-0.49175257710000003
hypoxia:047h_0_DO:3,-0.0556807751,0.2760505723,-0.4736174427
hypoxia:049h_0_DO:1,0.6518658898,0.1915478185,-0.3995440058
hypoxia:049h_0_DO:2,0.8162028561,0.4445801764,-0.39390451130000004
hypoxia:049h_0_DO:3,-0.0578819275,0.1797552895,-0.3589271888
hypoxia:050h_0_DO:1,0.11212472200000001,0.20444796480000002,-0.46597214330000003
hypoxia:050h_0_DO:2,1.7445712389999999,0.20671444790000001,-0.3639852873
hypoxia:050h_0_DO:3,0.051131781700000004,0.5416710964,-0.27811621880000004
hypoxia:052h_0_DO:1,1.2549505247,0.40855318360000004,-0.0131843401
hypoxia:052h_0_DO:2,1.7391297367,0.4448634286,0.27145342780000004
hypoxia:052h_0_DO:3,1.6909781328,0.3639228708,0.18498739660000002
hypoxia:054h_0_DO:1,1.0872814102,0.4677324955,-0.3766555861
hypoxia:054h_0_DO:2,1.0892600172,0.48328732830000004,0.0374124116
hypoxia:054h_0_DO:3,1.2893106832,0.48123568790000004,-0.0030449249
hypoxia:054h_0_DO:4,2.7096009026,0.38804972260000004,0.1860862768
hypoxia:054h_0_DO:5,0.2214810412,0.5264543553000001,-0.3529749097
hypoxia:070h_0_DO:1,-0.2093607103,0.4664377785,0.4192012174
hypoxia:070h_0_DO:2,-1.5225256503,0.3684214659,0.4418675419
hypoxia:088h_0_DO:1,-0.4914786451,0.3969109155,0.446621058
hypoxia:088h_0_DO:2,-0.8315328807,0.2910412499,0.38762721110000004
hypoxia:114.5h_.04_DO:1,0.7809126355,0.7446907248,-0.017869393600000002
hypoxia:114.5h_.04_DO:2,2.1334491627,0.9353910516,0.1078803624
hypoxia:114.5h_.04_DO:3,1.7006701478,1.0458194135,0.1853305891
hypoxia:115h_.06_DO:1,0.6937814909000001,1.09601087,-0.0398662528
hypoxia:115h_.06_DO:2,-0.2968371998,0.8024761253,0.071696069
hypoxia:115h_.06_DO:3,0.5875551482,0.8916385982,-0.0539782424
hypoxia:116h_.11_DO:1,0.7625624270000001,1.0117960533,-0.162589072
hypoxia:116h_.11_DO:2,-0.5145815315,0.893274738,-0.0839141245
hypoxia:116h_.11_DO:3,-0.45918185450000004,0.7429092673000001,0.24447096210000002
hypoxia:120h_.47_DO:1,-0.043954273,0.7666047279,-0.1891997203
hypoxia:120h_.47_DO:2,0.34276330250000003,0.7492167857,0.07890355240000001
hypoxia:120h_.47_DO:3,-0.1326282083,0.6295526271,-0.1057555332
kinase:DMSO_0h_F:1,5.8285497613,-0.5095421802,-0.0158721331
kinase:DMSO_0h_F:2,5.3283166328,-0.6201968680000001,-0.0097011965
kinase:DMSO_0h_F:3,6.0522127976,-0.5715283754,-0.0153808181
kinase:DMSO_0h_H:1,0.4751611766,0.1074813099,-0.148865449
kinase:DMSO_0h_H:2,1.0473274673,0.058140962000000004,-0.041887685200000004
kinase:DMSO_0h_H:3,2.1529219501,0.0175214076,0.2718844675
kinase:DMSO_0h_H:4,1.6977773308000002,0.11444026630000001,0.295709011
kinase:DMSO_0h_H:5,1.0101080231,0.1399545658,0.1095404646
kinase:DMSO_0h_H:6,0.8766235794,0.028544392800000002,0.0183178025
kinase:DMSO_0h_I:1,-0.8871522740000001,-0.0041964209,-0.1856891457
kinase:DMSO_0h_I:2,0.4053100143,-0.0081130953,0.0883926887
kinase:DMSO_0h_I:3,-0.0060389444,0.037394486500000004,-0.1468380797
kinase:DMSO_0h_I:4,0.2835419295,0.0491412119,0.012851646000000001
kinase:DMSO_0h_I:5,0.1276423824,-0.1069631976,0.2348799426
kinase:DMSO_0h_I:6,0.0766968921,0.0327370154,-0.0035970518000000003
kinase:pknD_T10_48h:1,6.4838571281,-0.4519636695,0.1692919444
kinase:pknD_T10_48h:2,6.249658248,-0.3556540295,0.080778765
kinase:pknD_T10_48h:3,5.8431898378,-0.4087692713,0.0867730956
kinase:pknL_T10_48h:1,7.4663645019,0.0376609096,0.3435761332
kinase:pknL_T10_48h:2,7.5954089635,0.0837260735,0.2883777061
kinase:pknL_T10_48h:3,7.6076842758000005,-0.0674965012,0.2643392287
kinase:pknL_T4_48h:1,11.9341528952,1.7601766665,-0.7418996079
kinase:pknL_T4_48h:2,9.6136511658,1.5027726592000001,-0.7418840396
kinase:pknL_T4_48h:3,11.4909867668,1.6343063673,-0.8053127232
kinase:T10_12h_F:1,6.563160348,-0.3817718679,0.1203361718
kinase:T10_12h_F:2,6.5122579192,-0.5100720762000001,0.1417026282
kinase:T10_12h_F:3,6.562799588,-0.4304970608,0.2167396417
kinase:T10_12h_H:1,6.6830430904,-0.8013321295,0.0776668241
kinase:T10_12h_H:2,7.5508837427,-0.6410059370000001,0.5054834574
kinase:T10_12h_H:3,6.9267038972,-0.6367243232,0.2227226039
kinase:T10_12h_I:1,3.9258882564,-0.5772777518000001,0.5858864819
kinase:T10_12h_I:2,3.261399256,-0.5402212630000001,0.1675259197
kinase:T10_24h_F:1,7.0979968782,-0.601713154,0.1588647745
kinase:T10_24h_F:2,7.8266987492,-0.4508026202,0.18451152880000002
kinase:T10_24h_F:3,6.847471197,-0.4930005075,0.0641829379
kinase:T10_24h_H:1,5.5886558568,-0.8036066715,0.1398143376
kinase:T10_24h_H:2,5.7167956787000005,-0.8082793274000001,0.0175434205
kinase:T10_24h_H:3,6.0290128322,-0.7541053507000001,0.0284110162
kinase:T10_24h_I:1,4.7601212931,-0.4567355253,0.1765467749
kinase:T10_24h_I:2,3.8289277788,-0.4364949936,0.1442105802
kinase:T10_48h_F:1,10.1378336413,-0.1415477661,0.1437106416
kinase:T10_48h_F:2,8.3840617869,-0.4080843964,0.1257417442
kinase:T10_48h_F:3,9.0459078319,-0.3744600892,0.1170291091
kinase:T10_48h_H:1,6.3345687738,-0.798584327,-0.2061255002
kinase:T10_48h_H:2,6.7720979746,-0.7130056344,-0.22459888200000003
kinase:T10_48h_H:3,7.2277982072,-0.6373671556,0.0070589924
kinase:T10_48h_I:1,4.4441370167,-0.4457377699,0.0094884696
kinase:T10_48h_I:2,5.1546404172999996,-0.38479928820000003,-0.008951611200000001
kinase:T10_48h_I:3,4.925796101,-0.4270200147,0.0963730188
kinase:T4 _48h_H:1,8.9684395567,1.0490384921,-0.9194448513000001
kinase:T4 _48h_H:2,8.3043505806,0.9590975322,-0.9426904701000001
kinase:T4 _48h_H:3,8.8361278378,0.9697034169000001,-0.8847373998
kinase:T4 20 _12h_I:1,3.6807941106,0.6405495599000001,-0.5474836482000001
kinase:T4 20 _12h_I:2,4.3839193922,0.5232651362,-0.40934811800000004
kinase:T4 20 _12h_I:3,3.6306919157,0.5288630979,-0.34512571280000004
kinase:T4_12h_F:1,7.2185331711,0.17878584020000002,-0.2948663433
kinase:T4_12h_F:2,7.5812122425,0.1663278753,-0.3319340919
kinase:T4_12h_F:3,7.5663890802000004,0.0358768958,-0.1802614042
kinase:T4_12h_H:1,6.6617208411,-0.0228445977,-0.08292283040000001
kinase:T4_12h_H:2,7.1414077069,-0.0048394299,-0.1921773467
kinase:T4_12h_H:3,6.2847812931,0.0891127305,-0.3101844965
kinase:T4_24h_F:1,8.1063975825,0.41960340220000003,-0.40839920160000004
kinase:T4_24h_F:2,7.8634366842,0.4227155508,-0.5018389917
kinase:T4_24h_F:3,8.0794984257,0.4509395745,-0.5320153486
kinase:T4_24h_H:1,7.0408906956,0.5913768743,-0.7655924733
kinase:T4_24h_H:2,7.2542018113,0.4855986162,-0.5107310812
kinase:T4_24h_H:3,6.8307263842,0.5134977098,-0.6994789594
