,A,HrcA
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-1.6245430896,-0.2668340093
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-0.6752407354000001,-0.17744436
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,0.014193909900000001,-0.019680629
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,0.4069323683,-0.3527194708
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.6205739466,-0.3776207057
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,-0.5637604151,0.211905638
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,2.7757755518,0.5997387094000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.6871952610000001,0.24380363060000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,-1.4397879038,0.045531558900000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-0.3744365288,0.1549390162
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,0.40987502600000003,0.2377023013
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,7.415307491,2.8245877489
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,7.4068341306,2.8525341068000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,8.2761896883,3.3119170904
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,10.9904770869,3.9578398821
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,5.9179384959,3.0379875339
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,9.8441244156,3.6245400098
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,13.3728681463,4.204146063
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,10.0416140618,3.7072353912000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,7.21653008,2.8476395653
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,11.9252672943,4.3590387158
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,11.4050625044,4.3600783781
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,8.2041401125,2.6760070882
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,5.6605692059,2.4838483308
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,7.0513926125,2.8942464064999998
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,8.9398487502,3.1786212918
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,7.3285944943,3.010109092
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,11.3590776802,3.1051089284
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,8.3274582868,3.4085662354
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,8.7587442631,3.0133004949
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,7.0123652988,2.8722103376
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,7.4178847313,2.7214357313
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.8196986442,-0.3133663756
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.4882504515,0.0935249996
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.33144819270000003,0.219841376
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-8.0634622244,-2.3129826145
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-6.4143799027,-1.7165069956
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-5.9726241415,-1.7505991519
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-4.931588987,-1.7752353276
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-0.0583851482,-0.06835366350000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.568555447,-0.09568703020000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.4583347186,0.0271070581
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,1.0852753137,0.1369336356
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,-2.5017048443,-0.3753751226
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-1.2913622688,0.055595876200000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,-2.6090011135999998,-0.4783332307
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,-2.0880852675,-0.1941824758
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-1.5775575931999999,-0.2077722558
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,-1.5033207681,-0.10306853610000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-0.724206105,-0.043121483200000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,-1.5595293815,-0.15168029090000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,0.061104770700000005,0.23964468260000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,0.4384780922,0.2312994734
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-0.6335907824,-0.1388197327
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,0.0858673493,0.047786916000000006
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,2.1246626985,0.5443521927
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,2.2210167962,0.4164307164
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,2.3049051577,0.40929090840000004
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,1.9245292583,1.9958917631
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,1.8786646035999999,1.8451888904
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,1.2281765682,1.8818903085
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-1.7725837437,-0.4225176158
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,3.9673538716000003,2.8282571424
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-0.9135538259,-0.9270339772
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,4.3452577761,3.0274037289
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-1.6878853983000002,-0.20384959660000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,5.9235372782999995,2.9664506424
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-2.1694880885,0.0962063747
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,9.7969835936,3.1428373801
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-2.3338753595,-0.5411080581000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,9.6862493914,3.0938556835
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-2.1472212044,-0.9251721340000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,16.4702203507,4.0876373224
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-1.1312275007,-0.1386810269
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-0.3919511331,-0.4164537769
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,1.5231786338000002,0.5551348037
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,1.2426223915,-0.5035820716
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,1.8043065389000001,-0.36336746810000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,2.4073636171,-0.1478692413
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-1.6981191981000001,-1.0546583499
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-0.09093909160000001,-0.8768211972000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,0.38317481270000003,-0.2212129209
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,1.4620741753,-0.6926385644
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,2.6177124648,-0.0580621423
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,1.572784708,-0.6157376960000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,4.7686926774,1.9686216473
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,5.3987916575,1.9523498131
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,5.0608028859,1.7494197217
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,1.2184890883,0.977348587
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,2.1931814144,1.1006212571
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,5.5220584641,1.1772228856
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,7.5380845298,2.0907763752
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,7.6733860528,1.9367873739
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,6.7129679454,1.6998273828000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,6.3453059209,1.3977898387
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,5.0468977229,1.4163656734
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,6.4465235989,1.5535022016
