,PSPTOB0077
SRX3159094,-0.0744266282
SRX3159095,0.8912101104
SRX3159096,-1.8234710687
SRX3159097,2.1176614962
SRX3159098,0.7763028889
SRX3159099,-0.842641623
SRX3158988,0.1864248473
SRX3158989,-0.0606457939
SRX3158990,0.40451944770000003
SRX3158991,-0.040206687000000005
SRX3158992,0.3014919576
SRX3158996,-0.4879168048
SRX3644656,-0.0816413119
SRX3644657,-0.1376733027
SRX3644658,0.2193146146
SRX3644659,0.0955854283
SRX3644660,0.1035782393
SRX3644661,0.2058293927
SRX3644662,-0.11226701600000001
SRX3644663,-0.3311741193
SRX3644664,0.0918795974
SRX3644665,0.19533381260000002
SRX3644666,-0.3899063826
SRX3644667,-0.1556778229
SRX3644668,-0.4263845224
SRX3644669,-0.1049796399
SRX3644670,-0.1150149018
SRX3644671,-0.43034290900000005
SRX3644672,-0.21030242200000002
SRX3644673,0.1071401517
