,A,UhpA,Crp,YeiE,UvrY
SRX5694347,-0.0035646243000000003,-0.3700567776,-0.0665078507,-0.038168294900000004,0.012953814400000001
SRX5694348,4.1854931739,-0.5487895728000001,0.0163008612,0.5357420298000001,0.3750142571
SRX5694349,0.7575999615,-0.0864972018,0.3281616036,0.0970162761,-0.15474381280000002
SRX5694350,1.8241626086,-1.140184229,-1.3897674496999999,-0.8421507738,-1.0919535941
SRX5694351,0.2866347313,-0.5572215931,-0.94657928,-1.3381715797,-0.7302492398
SRX5694352,0.5099280129,-0.8466708455,-0.11358356480000001,-0.31465283790000004,-0.31850088520000003
SRX5694353,1.3771737669,-0.2472546008,0.2090437913,0.3574883116,-0.42924687640000003
SRX5694354,3.1344902432,-0.2623758777,0.156288703,0.4025039124,-0.0044557837
SRX5694356,0.5110330661,-0.2719444397,0.1914919696,0.3629791819,-0.3000887572
SRX5694357,-0.4035681199,-0.3637516797,-1.6521756011000002,-0.7668568151,0.0434824999
SRX5694358,-0.0435831999,-2.1515064589,-0.2527058608,-2.3157520056,-2.6012696121000003
SRX5694359,-0.9556213632,0.411227791,-0.30657057660000003,-0.026405158,-0.615753902
SRX5694360,-1.3744563776,0.2936790926,-0.2669976047,0.2674090375,-0.4890753043
SRX5694361,0.3972066983,-1.0637068519,-1.0307723459,-0.7506061442,0.3116810418
SRX5694362,-1.4081807086,-0.0722864065,-0.0309958632,-0.2310957833,0.5782459688
SRX5694363,0.968777463,0.1533824922,-0.3804310446,-0.5995686880000001,-0.48090994400000003
SRX5694364,0.5244876053,0.8276424769,-2.3462003852,-1.0286839115,-0.7145908759
SRX5694365,1.5840263483,0.8923085738000001,-0.6041545277,-0.11687987990000001,1.5511666216000002
SRX5694366,0.4738618645,0.5655047937000001,-0.054980210200000004,-0.0223138604,-0.6116523621000001
SRX5694367,2.6090802483,-0.9067020279,-0.7076949831,-0.45097213070000003,-0.7885566436
SRX5694368,0.19802562240000002,0.9596005896,0.1102525246,0.0740008804,-1.1943158853
SRX5694369,1.9843056362,-0.0845532727,-0.0590977866,0.6554519129,0.0242513068
SRX5694370,1.5886025319,0.47930857060000004,-0.22081801820000002,0.061815378000000004,-0.5996720676
SRX5694371,1.5865532880000002,0.0771486472,-2.3057897995,-1.0486431011,-0.9427643039
SRX5694372,-0.9587053154,0.049929595300000004,-0.3165443482,-0.2022311856,-0.27977629460000003
SRX5694373,0.9064840149000001,-0.3824877149,-1.5399098517,-0.6832390591,-0.9472192942000001
SRX5694374,-0.7093743504000001,-3.5568791546,-0.3411830033,-2.7036245682,-2.2179044061
SRX5694375,0.5458925015,0.299687337,-0.0340696975,0.0891907475,-0.0504468998
SRX5694376,0.3507404286,-0.3549540504,-0.31705369640000003,-0.6147321665000001,0.020474606200000002
SRX5694377,0.0553080279,-2.0732437951,-0.5697764494,-3.2208403404,-2.2280933444
SRX5694378,-2.4763252455,0.450095793,-0.31765341210000003,0.5918240303,-0.2563407578
SRX5694379,0.5734380425,0.0977790488,-0.25011430100000004,-0.8104708519,-0.1930862827
SRX5694380,0.4181881216,0.18745461830000001,-0.8373204843000001,-0.7779789725,-0.5901185053
SRX5694381,0.39937488790000003,-0.20164634350000002,-1.2728116676,-1.7507216789000002,-0.24235469980000002
SRX5694382,0.7691856937,-0.3312237455,-0.025511662,0.22765245520000002,-0.1246611242
SRX5694383,0.5080761764,0.20958190610000002,0.1480773849,-0.010100825,0.2051225662
SRX5694384,-0.09605367890000001,-0.0028282984,0.1439389809,0.4735471477,-0.0886456583
SRX5694385,7.7678988363,0.1373868911,0.0779751018,0.3151335804,-0.09132400310000001
SRX5694386,6.4929034836,0.1908972055,-2.8414442095,-2.9987044683,-0.5963628786
SRX5694387,0.7879225047,0.39850811210000003,0.0426535923,0.0772604202,-0.5297759209
SRX5694388,-0.384489063,-0.1032753621,-1.6022828696,-1.3380884181,-1.0264530986
SRX5694389,0.2835137589,0.0886422191,-0.0800003088,-0.8126078794,-0.017399895500000002
SRX5694390,0.8401450668,0.39388902000000003,0.0001683552,-0.004064064300000001,-0.0236859284
SRX5694391,-0.199060809,0.1282227379,0.1315329539,0.5461161776,1.0295456661
SRX5694392,-0.47283593560000003,-0.0603577155,-0.1486598298,-0.6433182009,0.44226419910000003
SRX5694393,0.380615686,0.0405914171,0.232671539,0.5056037984,0.051909281
SRX5694394,0.1319358499,0.5108489845,0.2168248136,0.3973159287,-0.0202889757
SRX5694395,1.4813108726,0.1192076564,-0.3791651303,-0.5830967143,-0.5019217056
SRX5694396,-0.11010013930000001,-1.3666093457000001,-0.8353134788000001,-1.2644638784,-0.8074358504
SRX5694397,2.128109756,-0.1728174204,-0.0202364792,0.0831915471,-0.449255524
SRX5694398,3.1537707978,-0.6077862481,-0.0607073754,0.0035848022000000003,0.0719163543
SRX5694399,1.4984768656,-0.158974509,-0.2527744328,-0.5290040349,0.3132985498
SRX5694400,-1.2174667297,-0.0194334954,-0.1981004934,-0.08129995720000001,-0.3516032518
SRX5694401,2.5693356875999998,0.0356366367,-0.021523506600000002,0.8512865697,-0.2607458311
SRX5694402,7.4360766013,0.19115861990000002,-2.6700349591,-2.7335771396,-0.7464505568
SRX5694403,2.8735150382,-1.1626964088,-0.9103162108,-0.5265328336,-0.7656710131000001
SRX5694404,0.9861252816,0.5672898085,0.0943710534,0.24312916880000002,0.46214498740000004
SRX5694405,1.9919500203,-0.7938584145,-0.1829334597,0.1509746635,-0.4439072948
SRX5694406,3.1770174983,-0.0247220927,-0.3972091841,-0.6599096923000001,-0.7615152449
SRX5694407,1.6519384466,-0.678290091,-0.2638287498,-0.21345695250000002,-0.7261268790000001
SRX5694408,2.0970341038,-0.0750493234,0.0417388443,-0.3864059152,-0.8906955884000001
SRX5694409,2.2869306587000002,0.7871323398000001,-2.2693012292,-0.7368740096,-0.3235056572
SRX5694410,-0.8441815585,0.2429527431,-0.1972134109,-0.5938645798000001,0.23607988370000002
SRX5694411,-2.1890783115,-0.5779987751,-0.8663395759,-1.1349578708,-0.37507372720000004
SRX5694412,0.9813485447,0.8079159339,0.1259657223,0.2570859216,0.2108353018
SRX5694413,0.530767402,0.9209613772,-0.6476176532,0.3123931655,-0.3930340953
SRX5694414,-0.4337696951,-0.0005685954,-1.42088019,-1.2942272275,-0.2798497433
SRX5694415,0.9974767310000001,0.5664227177,0.007690172800000001,-0.2078588817,-0.1305879005
SRX5694416,0.497928221,-0.12646205060000001,0.0575483496,-0.042670736300000005,-0.0803145572
SRX5694417,1.7301355726,-0.8106024108000001,0.2665585241,0.1993106584,-0.2495479747
SRX5694418,2.6590608349,-0.8517852097,-1.9463157999,-1.2940419231,-1.1794429336
SRX5694419,2.2163108329,-0.5126464874000001,-1.5689931018,-0.7254464289,-0.7099210603
SRX5694420,1.8122076475000002,-0.3307101575,-0.0638843971,-0.1495501886,0.0375272776
SRX5694421,0.0114828515,-0.42351797500000005,-0.6176702001000001,-0.4492382448,-1.0657908121
SRX5694422,3.8470958467000003,0.0798905641,-0.058214080700000004,-0.1156497613,-0.2706270786
SRX5694423,1.4388412563,-0.4665160641,-0.3208467193,-0.4027892308,-0.5725575435
SRX5694424,1.7288726627000002,-0.4233986603,-0.3043319677,-0.3799655535,-0.3856418157
SRX5694425,0.1870986936,0.1492937608,0.2263080572,0.4558439523,-0.0519696294
SRX5694426,-0.2427491813,0.6416013015,-0.6604587882,0.3073329107,-0.4609157299
SRX5694427,1.7489609154,0.42524172600000004,0.1652363888,-0.0003762225,-0.3980874468
SRX5694428,2.1589871629,-0.2728932375,0.073808526,0.4800429055,-0.018182601200000002
SRX5694429,-1.6844694404,-0.6396012565,-1.4421129371,-1.3976793066,-0.3046382693
SRX5694430,0.7990195163,0.42807145150000003,0.0124821121,-0.13828852490000001,-0.37111977160000004
SRX5694431,1.3395448148,-0.2656738489,-0.0624036472,-0.3241864205,-0.0438401929
SRX5694432,-1.7917618714999999,0.3333741468,-0.3304413054,0.5614804184000001,-0.352274176
SRX5694433,0.6220561506,1.3980511043,-0.8187488844,-0.1402251518,-0.1127653901
SRX5694434,0.9478422209,-0.2996480626,-0.6212632720000001,-0.32423748150000004,-0.8153096301
SRX5694435,3.3985707106,-0.28858422980000004,-2.0377494386,-1.9567484218,-0.9873694935
SRX5694436,3.1128779639,0.8380366258,-2.3919325405,-0.8960840090000001,-0.3138004051
SRX5694437,3.2658047347,0.205998636,-0.2507206522,-0.1914270586,0.13233467100000001
SRX5694438,0.25270753360000003,0.5015053466,0.07346573220000001,-0.0935637872,-0.0826993712
SRX5694439,-0.7806028766,-3.0662471507,0.3143882568,-2.1995242513,-2.264847333
SRX5694440,-0.5178185133000001,0.1194391514,0.1617989176,0.46719202330000004,-0.023753413100000002
SRX5694441,-0.6225617372000001,-0.1788842629,-0.4081937196,-0.4398939334,0.2065069963
SRX5694442,0.7862055303000001,0.27304374400000003,-1.7002395932,-1.3625300074,-0.865787127
SRX5694443,-0.23492562290000002,0.3096797421,0.1538530863,0.2167243312,-0.5609552221
SRX5694444,1.3848856243,-0.0783702747,0.1414549701,-0.21715851960000002,0.0593455951
SRX5694445,2.2740939823,0.3579639508,-1.7943494913,-2.031537824,-1.0402020013
SRX5694446,1.9312267289,-0.1231682624,0.2193526747,0.15538849400000002,-0.1377736711
SRX5694447,-2.7226168337,0.38573696080000003,-0.3849941899,-0.352906104,0.34158863170000003
SRX5694448,-0.1609500369,1.2177999173,-0.732440443,-0.5638449391,-0.12196584960000001
SRX5694449,1.4982768394,0.5409150352000001,0.1017285234,0.059442670600000004,-0.5410904976
SRX5694450,0.7232406418,0.7075010085,-0.2163555027,-0.4421179785,-0.9416842841
SRX5694451,-1.2063058271,-0.7089682677,-0.1832599433,-0.240992956,-0.171887975
SRX5694452,-0.7316794470000001,-1.3821908493000001,-0.9702752261,-1.6164841972000001,-1.0399002519
SRX5694453,0.23924077270000002,0.9434230178,-0.7029806271,-0.2697203795,-0.5083159107
SRX5694454,0.3555252553,-0.1147257435,0.2689052974,0.1744437661,-0.038215377200000004
SRX5694455,2.1814886403,-0.9041995091,-1.7485042558,-0.6990455091000001,-0.9115786179
SRX5694456,-0.3215319613,0.6653448455000001,0.2638014382,-0.0050525259,-0.9964395061
SRX5694457,1.122519173,0.5751711171,0.1813226141,0.5519629282,-0.3341220875
SRX5694459,1.0648464933,0.0962172476,-0.0659537084,0.2802199908,-0.1394600403
SRX5694460,0.9530132275000001,0.0944554283,-2.6935232182,-1.7548318854,-0.5833404787
SRX5694461,0.1203693951,0.4780252011,-0.24608755940000002,-0.0607725453,-0.2871754809
SRX5694462,3.1705411141,0.43402099460000004,-1.4072956342,-1.3641557676,-0.5856573473000001
SRX5694463,-0.1028501757,0.4949111372,0.13500124700000002,-0.1237247675,-0.7148928569
SRX5694464,-0.9065265601,0.3822330393,-0.16266356510000002,0.0275327783,-0.1491911339
SRX5694465,0.3587984529,-0.15019898510000002,-0.08100398930000001,-0.13561207620000001,-0.6766640180000001
SRX5694466,5.477219766,0.10353540550000001,-0.0203257193,0.14993068480000002,0.278342336
SRX5694467,1.195328237,-0.22550845860000002,-0.0864598209,-0.0009809765000000001,-0.4758770801
SRX5694468,-1.1226087653,-3.0091514432,0.09512308080000001,-3.5341898368,-2.206486891
SRX5694469,-0.147243489,0.3167046398,0.056592892000000006,-0.11674246710000001,-0.5645287412000001
SRX5694470,-0.1828832183,-0.18285053210000002,-0.0203162279,-0.0949051526,0.043746445200000005
SRX5694471,-0.3655832825,0.2926565166,0.08127249760000001,0.10181467300000001,-0.41025301000000003
SRX5694472,0.0319372386,0.8311286197000001,-0.42764759150000003,0.0797256935,-0.4256378289
SRX5694474,2.4389911519,-0.45815152060000003,-0.3318785326,0.029359132000000003,-0.3438568812
SRX5694475,-1.8991234232,-0.2410415494,-0.1072682971,-0.0663049041,0.0058452148
SRX5694476,1.0931030573,-0.1115857875,0.2832759084,-0.0439556258,0.25343835870000003
SRX5694477,1.4405655484,-0.4222690961,-2.220698214,-1.603767007,-0.5680791192
SRX5694478,-0.6306194759,0.0376844907,-0.324421403,-0.6823436911,0.2727905781
SRX5694479,-0.1600326248,-0.5561232922,-2.078741852,-1.5117017421,-1.1168927626
SRX5694480,1.2769523562,-0.1960211339,-0.8986833081000001,-0.1382569626,-0.24289204890000002
SRX5694481,-1.2776745456,0.3110523221,-0.39061972300000003,-0.2604255132,0.2066311726
SRX5694482,2.1324007932,-0.3107174775,0.5302146851,0.40278735990000003,-0.3842249432
SRX5694483,1.3613601646,0.11002038580000001,-0.0648156579,-0.5340403366,-0.7393210945
SRX5694484,-1.5004718606,0.1140187351,-0.2015433442,0.298784412,-0.23157535110000002
SRX5694485,5.1196350221,0.760807077,0.0561230447,0.9272897499,0.7160108527
SRX5694486,-0.4513228261,-0.2161188659,0.1840419059,0.3152420778,-0.0688952773
SRX5694487,-1.5106108249,0.3227845715,-0.0687134662,0.27999080060000003,-0.3086660683
SRX5694488,3.3278339523,-0.4912141579,-0.0029101905,-0.0784510512,-0.0369335614
SRX5694489,1.3930670426,-0.037262455,-0.2414092729,-0.0842015965,-0.6951522421
SRX5694491,-0.8702512363,-0.19943654360000002,-1.3992598427,-0.9563874835,-1.0405037923
SRX5694492,0.4320040154,-0.0894495379,-1.4757436121,-0.6030900378,-0.7024913453
SRX5694493,-0.8239392323,-1.0227747474,-1.5239909109,-2.1659540846,-1.0905155428
SRX5694494,0.6114120783,0.6310498777,-0.5778881676000001,0.1182283928,-0.4046231322
SRX5694495,0.7235124804,0.37704866260000003,0.2383405456,0.5873375967000001,-0.1423964624
SRX5694496,1.1146898907,-0.41449145390000003,0.2231626615,0.395635901,-0.0542937877
SRX5694497,2.2702746629,-0.3837841987,-0.6145709097000001,-0.219410092,-0.574750426
SRX5694498,1.4408897428,0.0575880318,0.0065499987,-0.15455217940000002,-0.5371529618
SRX5694499,3.7207821677,-0.10946015790000001,-0.2166458346,0.10612875640000001,0.7184403234000001
SRX5694500,0.9102203993,-0.664476932,-0.6082655704000001,-1.0661481527,-0.249849759
SRX5694501,-1.8420683489,0.20991536930000002,0.012213341,0.1507630337,0.2017754035
SRX5694502,1.6175703290999999,-0.0385593901,-0.8489028276,-0.2264139855,1.6179174045
SRX5694503,2.9053291146999998,0.33759059550000003,-1.5276697252,-0.8733716929,-0.4814053079
SRX5694504,0.28712333630000003,0.0354582374,0.23647347670000002,0.3491677481,0.0197359983
SRX5694505,0.8665507098,0.0063347026,-2.8546736802,-1.5495245752,-0.6549492301000001
SRX5694506,-0.33033426520000003,0.23993719870000002,-0.6676717403,-0.5382364288,0.2666437826
SRX5694507,0.6129259083,-0.48749280640000003,0.10364661430000001,0.309980279,-0.0650214361
SRX5694508,0.7044183001000001,-0.0132903063,-0.8174938777,-0.268922324,-0.4451783419
SRX5694509,0.6895843649000001,-0.4289512359,-0.1972418484,-0.1367247372,-0.6551238742000001
SRX5694510,-0.040803318500000005,0.2696571003,-0.2550231206,-0.43907510580000003,-0.484636954
SRX5694511,0.6422051593,0.4674147427,-0.1637807405,0.10459662700000001,-0.1891549076
SRX5694512,-0.2911007182,-0.5126347663,-1.3135012281,-1.213218393,-1.0181463424
SRX5694513,1.2477687152,0.0510846513,-1.2176583871,-0.21176621410000002,-0.2906461858
SRX5694514,1.0129584249,0.18863283620000001,-2.7449780099,-1.4568154351,-0.5820236495000001
SRX5694515,7.5881416602,0.8083562256,0.1674650962,0.5534667129,0.086207909
SRX5694516,0.3280339677,-3.2162641341000002,0.7184192778,-2.1933756864,-1.9776520571
SRX5694517,-0.4005143854,0.3239293013,-0.0899811296,0.0420992795,-0.2107547751
SRX5694518,-0.8921900996000001,-0.0154582616,-0.0284053616,0.1651310621,-0.1450263141
SRX5694519,3.8344389896,-0.6475539711,-0.4440190169,-1.0032156391,-0.5960968682000001
SRX5694520,0.1375152774,0.44286230740000004,-0.3742459546,-0.0724348813,0.5471763459
SRX5694521,1.5729027162,-0.6790707034,-0.0823108953,-0.1769669595,-0.33377809140000003
SRX5694522,0.8429175226000001,0.41741077460000003,0.19009073370000001,0.2937714001,0.4347945214
SRX5694523,2.0764929255,1.0413290997,0.1230572979,0.2813256127,0.3021309863
SRX5694524,1.386522407,-0.0054586594,-0.3090692798,0.0541995342,-0.6758234366
SRX5694525,1.654905098,-0.5064946455,0.1271493457,-0.1017536933,-0.21243371630000002
SRX5694526,0.3368878951,-0.9799659601,-0.057352962300000004,-0.47444900500000003,-0.4240957227
SRX5694527,0.6247383688,-0.8005308767,-0.7911037301,-0.7916705659000001,-0.5026297936
SRX5694528,-0.1522116456,-0.5591718881000001,-2.2550692285,-1.4140990893,-1.0905289532
SRX5694529,3.7228786784,-0.027556380800000002,0.09459037740000001,0.4578189506,0.32800274760000003
SRX5694530,1.1478479938,0.1181405229,-0.3417330189,-0.2136496897,0.7082671719
SRX5694532,3.1625065833,-1.5556684923000001,-0.7655932475,-0.7203224195,-0.8259347135
SRX5694533,1.0676008405,0.9598131200000001,-0.8230648089,-0.26267835230000003,1.2922232102
SRX5694534,-1.6497677726000002,-0.057915753900000005,-1.0244460877,-1.1267462547,-0.3309369594
SRX5694535,-2.522007518,-0.049341098300000004,-0.3020521984,-0.0784843684,0.37077594810000003
SRX5694536,0.3735137297,-0.23904874720000002,0.0940214917,0.0652023473,-0.32894461540000003
