,A,GadX,GadW
minspan__wt_glc_anaero__1,7.4428535587999995,8.8695869427,8.6655509706
minspan__wt_glc_anaero__2,8.1375433892,8.6451543367,8.4037159442
minspan__wt_trp__1,3.442800784,8.6062149057,7.2663815924
minspan__bw_delcra_glc__1,3.0061743572,9.238065253,8.1044697039
minspan__bw_delcra_glc__2,3.2069345158,9.2235701939,8.0378282144
minspan__bw_delcra_trp__1,3.457737956,9.539019795,8.1835500568
minspan__bw_delmntr__1,-2.8746285990000002,6.1566402211,5.9148947414
minspan__bw_delnac_ade__1,-1.0996222546,8.4829624366,7.0571794402
minspan__bw_delnac_glc__1,0.4686936216,8.9142986937,8.0715616956
cra_crp__wt_ac__1,3.2464602043,8.7584424046,8.2635445178
cra_crp__wt_ac__2,4.3119360109,8.6851282191,8.2560377528
cra_crp__wt_fru__1,-0.7289088706,7.9551561229,7.5579843927
cra_crp__wt_fru__2,-1.2541698226,8.259565418,7.7173006907
cra_crp__delcra_ac__1,-1.0352535645,8.2269038317,6.6557141126
cra_crp__delcra_ac__2,-0.8960253091,8.0499904492,6.6589092682
cra_crp__delcra_fru__1,4.0052163854,9.1413900884,8.2438429471
cra_crp__delcra_fru__2,3.7361616316,8.910714868,8.3293028688
cra_crp__delcra_glc__1,-0.7414556089000001,8.2530191837,7.1537243036
cra_crp__delcra_glc__2,0.3185692419,8.341986755,7.1546429553
rpoB__wt_031__1,-2.4467024449,7.5084605162999996,6.5368415451
rpoB__wt_044__1,4.5101618404,8.4427336981,8.1026001193
rpoB__wt_lb__1,1.5349624172,8.4136702107,7.3436677752
rpoB__wt_lb__2,1.3892102374,8.3834959021,7.2922541138
rpoB__rpoBE546V_031__1,-1.9049273074,8.1013786235,7.3001785773
rpoB__rpoBE546V_044__1,0.0461537381,8.3200360604,7.4653282516
rpoB__rpoBE546V_lb__1,-6.3357989057,6.8873696351,6.209328937
rpoB__rpoBE546V_lb__2,-7.6054087873,6.6780012819,5.6219073084
rpoB__rpoBE546V_glc__1,-3.4315832203,7.5801730139,7.1683485511
rpoB__rpoBE672K_glc__1,-7.4055025737,6.2493959426,5.8292894184
rpoB__rpoBE672K_glc__2,-7.6068506169,6.1309239822,5.2780099705
rpoB__rpoBE672K_lb__1,-11.9362347438,4.9635476939,4.6446451458
rpoB__rpoBE672K_lb__2,-11.3362423362,4.7573626291,5.0651822263
crp__wt_fru__1,-3.6939064692,7.4675492072,5.845410816
crp__wt_glyc__1,-6.160670155,6.3544050005,4.9458237014
crp__wt_glyc__2,-5.5411918068,6.6160700222,5.104808887
crp__delar1_glyc__1,-0.233564818,8.2102191337,6.2292956186
crp__delar1_glyc__2,-0.26238541930000003,8.5479638314,6.6822459433
crp__delar1ar2_glyc__1,-1.0449513969,7.3245952708,6.3315174326
crp__delar1ar2_glyc__2,-1.0962343926,7.3104344512,6.0421906649
crp__delar1ar2_glyc__3,-0.3588051329,7.5550440868,6.2691604087
crp__delar2_glyc__1,3.3076227705,8.2758072165,6.5448930859
crp__delar2_glyc__2,3.3213872422,8.2091462356,6.8660012231
crp__delar2_glyc__3,3.336531998,8.2167379274,6.5865602746
crp__delcrp_fru__1,9.6240528299,9.7994264104,8.4450422907
crp__delcrp_fru__2,8.3635974591,9.2778396222,8.1874524933
crp__delcrp_fru__3,8.8084029218,9.8500072038,8.4743948373
crp__delcrp_glc__1,7.4476163257,9.2622220686,7.553230613
crp__delcrp_glc__2,7.9326972488,9.2127125701,7.6592288288
crp__delcrp_glc__3,7.7503497183,9.4727179963,7.6018595737
crp__delcrp_glyc__1,3.2377582826,8.0561436386,7.2102671501
crp__delcrp_glyc__2,2.7944368973,8.1399693123,7.0918684778
crp__delcrp_glyc__3,2.762719782,8.3338636263,7.351432948
glu__glu_ale3__1,-6.7946533102,4.7823752589,2.7751535714
glu__glu_ale4__1,-9.0590169887,3.845589306,4.0121237454
glu__glu_ale5__1,-8.9423493651,4.7511899903,4.684156312
glu__glu_ale6__1,-9.7583473643,4.4877639617,4.0627127686
glu__glu_ale8__1,-5.9768142268,5.7395047355,3.9342270577000003
glu__glu_ale9__1,-8.0914273148,4.450468151,4.3136790072
glu__glu_ale10__1,-5.5852130161,5.2812825056,4.9030961785
42c__wt_42c__1,0.8889579472,7.9184953557,5.4844540181
42c__42c_ale1__1,-3.0997735201,5.8902444494,4.2620432936
42c__42c_ale2__1,-9.2066246162,4.9412311193,4.4496579223
42c__42c_ale3__1,-6.291982389,5.6765207048,4.2752252895
42c__42c_ale4__1,-8.053524527,4.7407811207,3.338627741
42c__42c_ale5__1,-9.0188244123,5.2343559598,5.7811826524
42c__42c_ale6__1,0.11500053610000001,5.8216027693,4.4275172454
42c__42c_ale8__1,-4.3287630845,6.8334187626,4.8686325715
42c__42c_ale9__1,-7.162816773,6.0863680252,4.0809959793
42c__42c_ale10__1,-6.0842123832,5.9544121322,4.2942961639
ssw__wt_ac__1,10.921708046300001,10.1725902063,9.2039137319
ssw__wt_glc__1,3.7770456926,9.4492898124,8.6208951805
ssw__wt_glyc__1,3.4364304229,7.8886329331,6.4991576848
ssw__wt_xyl__1,1.3674273342,8.6298494037,7.1867778565
ssw__glc_ale1__1,-3.7193237217,7.4365708085,5.8457109746
ssw__glc_ale2__1,-4.8913872838,6.995879364,5.5952036197
ssw__glc_ale3__1,-4.7189118849,6.9659991968,4.8799433563
ssw__glyc_ale1__1,0.1935085591,7.7833841328,7.7997256616
ssw__glyc_ale2__1,-3.0577559174,7.3575982098,6.8277025835
ssw__xyl_ale1__1,-7.4858908212,6.3494999272,4.9545722365
ssw__xyl_ale2__1,-7.2346705349,5.7125188555,5.2022742126
ssw__xyl_ale3__1,-2.4079290048,7.7909212682,7.1250132483
ssw__glc_ac_ac2__1,-5.0562024196,8.2289250891,6.9147893757
ssw__glc_ac_glc1__1,-6.6577598969,7.4495330111,7.06797985
ssw__glc_ac_glc2__1,-1.5297434142,8.1456916735,7.0500035052
ssw__glc_glyc_glc__1,-3.1263415853,7.9857781067,6.2479562482
ssw__glc_glyc_glyc__1,-8.4497121463,6.2281817653000004,5.3340033891
ssw__glc_xyl_glc__1,-6.5710416594000005,6.2595903847,4.8836374064
ssw__glc_xyl_xyl__1,-8.9415190395,6.1991132527,5.5721969252
pgi__glu4_delpgi__1,-11.7631952883,4.2401804003,2.9735228967
pgi__pgi_ale1__1,-10.1725407979,5.8514276525,4.549577341
pgi__pgi_ale2__1,-8.5415590986,6.924532934,5.1325761952
pgi__pgi_ale3__1,-10.403571354,5.4547079303,4.3776086861
pgi__pgi_ale5__1,-10.2646288205,4.8073255908,3.9744894009
pgi__pgi_ale6__1,-10.7528666978,4.9700125359000005,3.5539856009
pgi__pgi_ale7__1,-10.0904422325,5.0847007491,3.6064235813
pgi__pgi_ale8__1,-8.840469888,5.3609490994,4.019606752
ica__wt_glc__1,-6.0187346755,6.1006282089,6.0274421033
ica__wt_glc__2,-5.6051752432,5.9977035896,6.2078895382
ica__wt_glc__3,-6.815451737,5.7685744163,5.6814785975
ica__wt_glc__4,-6.5460836362,6.9430768263000004,6.6768952682
ica__arg_sbt__1,-6.678002018,5.9402185787,3.4420236227
ica__arg_sbt__2,-6.2235766555,6.3141920711,3.8994149785000003
ica__cytd_rib__1,-3.592958094,7.1805506509,6.7787899598
ica__cytd_rib__2,-2.6160750565,7.3130387347,6.9029497616
ica__gth__1,-4.3562983566,8.5387849769,5.9179684557000005
ica__gth__2,-5.9968405211,7.8633584449,4.9096240995
ica__leu_glcr__1,-8.2207725075,6.08534889,4.7907079399
ica__leu_glcr__2,-8.3019698772,5.7767758162,4.5585379198
ica__met_glc__1,-4.5845162118000005,7.0188984069,5.9589018603
ica__met_glc__2,-4.153390799,6.610205243,5.6096191296
ica__no3_anaero__1,6.2785909496,9.8788564476,8.6058716357
ica__no3_anaero__2,6.2353930936,10.0832733509,8.6430080796
ica__phe_acgam__1,-4.1464991757,6.9816839804,6.2182260303
ica__phe_acgam__2,-4.7697996673,6.8353981138,6.057339824
ica__thm_gal__1,2.894200189,8.5404049448,6.8547315761
ica__thm_gal__2,2.1063536401,8.1526599941,6.7366648205
ica__tyr_glcn__1,-6.9015824023,5.9308181928,5.7301856883
ica__tyr_glcn__2,-6.3364024491,5.9524303357,5.9083154597
ica__ura_pyr__1,-5.2794424619,7.2579593629,6.6346940217
ica__ura_pyr__2,-3.5986305277,7.76216346,6.4501230484
ica__wt_glc__5,-5.0019314162,6.5960585939000005,6.2439843836
ica__wt_glc__6,-4.9408920015,6.8179237785,6.1861397629
ica__bw_delpurR_cytd__1,-9.4161818214,5.1149986925,4.5353663019
ica__bw_delpurR_cytd__2,-9.2860483031,4.9268328126,4.4824221795
ica__ade_glc__1,-8.0307621091,6.5326885749,5.5031157776
ica__ade_glc__2,-8.3860395261,6.7908815495,5.59764779
ytf__wt_glc__1,1.7300176457,9.2259248526,7.2265689553
ytf__wt_glc__2,1.9857184863000001,9.7602449792,7.471312881
ytf__delyafC__1,5.1349869389,9.8245962311,8.0473555142
ytf__delyafC__2,5.1288311196,9.9468230556,8.1632117311
ytf__delyeiE__1,5.7772140752,9.7912561633,8.5550945257
ytf__delyeiE__2,3.5709213459,8.9771022071,7.596056764
ytf__delyiaJ__1,6.1845944104,10.0570269342,8.2096282677
ytf__delyiaJ__2,6.97080929,10.5028122175,8.7810650386
ytf__delyieP__1,1.7211998151999999,9.3790812178,7.9110925516
ytf__delyieP__2,1.5932216913000001,9.296185060100001,7.8783071694
ytf__wt_ph5__1,5.0017101866,9.4879361958,8.4415754901
ytf__wt_ph5__2,3.990495518,9.6038639736,8.5534177599
ytf__wt_ph8__1,-1.3894009469,8.6242312505,7.2830657829
ytf__wt_ph8__2,-2.2357079258,8.6073620227,7.2933897887
ytf__delybaO__1,4.8639426072,9.5155286128,8.0556069655
ytf__delybaO__2,3.8428049904,9.6692507726,7.9167432808000004
ytf__delybaQ__1,0.1932264881,8.825841405,7.4217510331
ytf__delybaQ__2,-0.0008028427,8.7891907328,7.3979633657
ytf__delybiH__1,2.9782340344,9.7460309271,7.657631201
ytf__delybiH__2,2.9595726199000003,9.9122566958,8.0627999934
ytf__delydcI_ph5__1,2.5815412804999998,8.9418725443,7.9745367323
ytf__delydcI_ph5__2,2.6679179479,9.0893921067,8.1201802161
ytf__delydcI_ph8__1,-2.2584745231,8.5316737951,7.3771385955
ytf__delydcI_ph8__2,-3.8807667485,8.345738762,7.0255730116
ytf__delyddM__1,1.8627965797,9.2381599745,7.7919166316
ytf__delyddM__2,1.2232162554000001,9.0221672594,7.6486464877
ytf__delyheO__1,4.7855602895,9.5917858805,7.8654846544
ytf__delyheO__2,3.0596764724,9.4914240118,7.7524507877
fps__bw_glc__1,-1.1946011534,8.6856764529,7.1817867736
fps__bw_glc__2,-0.6372066039000001,8.7590717183,7.1114902315
fps__fps_thrA_ale1__1,-0.562178022,9.5331900659,8.3786225408
fps__fps_thrA_ale1__2,-0.2425011974,9.4187046056,8.2929085973
fps__fps_thrA_ale2__1,-1.2892673138,9.3889368243,8.3854951468
fps__fps_thrA_ale2__2,-1.4768946081,9.1952074165,8.2419782602
fps__fps_serB_ale1__1,0.4647243359,9.235838959,7.6516596945
fps__fps_serB_ale1__2,0.5762161321,9.0317392774,7.6963850838
fps__fps_serB_ale4__1,1.4450383333,10.248794184,7.7958556408
fps__fps_serB_ale4__2,1.2275988518,10.2971704751,8.0361427292
fps__fps_ptsI_ale1__1,-5.1989864426,8.1760162554,6.1273018358
fps__fps_ptsI_ale1__2,-5.7200028885,8.1830175404,6.3440736591
fps__fps_ptsI_ale3__1,-4.8646896295,8.028502146,6.0513919133
fps__fps_ptsI_ale3__2,-5.0839183532,8.036460201,5.9421315964
pal__lyx_ale2_f6__1,-3.3392876796,7.659108019,6.0121093102
pal__lyx_ale2__1,-10.7469181864,5.1717967895,3.5427223166
pal__lyx_ale2__2,-9.8988657341,4.8062148292,3.9967103154
pal__lyx_ale4__1,-10.7469181864,5.1717967895,3.5427223166
pal__lyx_ale4__2,-9.8988657341,4.8062148292,3.9967103154
pal__5drib_ale10_f18__1,-8.7403411175,6.3283560647,3.7311202178
pal__5drib_ale10_f18__2,-8.6672263141,6.3644614768,4.2794339598
pal__5drib_ale10__1,-9.184247058,5.4126709506,4.3543362191
pal__arab_ale14_f9__1,-1.489860865,7.7582604467,5.9080424155
pal__arab_ale14_f9__2,-1.494215925,7.1309047564,5.9116720188
pal__arab_ale14__1,-1.9946500238,7.2790080506,5.8440503719
pal__arab_ale14__2,-2.627634917,6.9832439856,5.5052741867
pal__arab_ale16__1,-7.1751947012,6.6027855192,5.6214663804
pal__arab_ale16__2,-7.3948250983,7.0366821575,5.7238527839
pal__tartr_ale26_f10__1,-6.8346056551,6.4368363613,4.4194502487000005
pal__tartr_ale26_f10__2,-5.2989001283,6.5541636582,5.0196449973
pal__tartr_ale26__1,-7.8091020807,5.8796031346,4.3908772555
pal__tartr_ale26__2,-8.0043286329,5.6419460521,4.4920144216
pal__tartr_ale28_f10__1,7.5930047298000005,9.8258963402,7.5621319395
pal__tartr_ale28_f10__2,5.9946604311,9.4603056917,6.7821415671
pal__tartr_ale28__1,-3.8917969765000002,7.788642648,5.6173384525
pal__tartr_ale28__2,-3.4938655586,8.0842541121,5.8389934611
efeU__delmenFentC_citr__1,2.8416456253,9.4363369704,7.8724996734
efeU__delmenFentC_citr__2,3.710380608,9.3200589086,7.5011665862
efeU__delmenFentC__1,4.173525632,9.6560678206,8.7735400272
efeU__delmenFentC__2,4.0151905611,9.5923235645,8.7322269302
efeU__menFentC_ale39__1,-3.8262804383,6.9911033076999995,5.3981701401
efeU__menFentC_ale39__2,-3.6565924881000003,7.0974122627,5.7264885929
efeU__menFentC_ale29__1,-1.9806801368,7.7233632973,5.8377519768
efeU__menFentC_ale29__2,-2.5439491515,7.5756129014999996,5.8379539601
efeU__menFentC_ale30__1,-4.5466991185,6.9109227567,5.7104166719
efeU__menFentC_ale30__2,-5.4665370863,6.5707458979,6.011966615
efeU__menFentCubiC_ale36__1,-0.67570579,8.4010251267,7.4671408006
efeU__menFentCubiC_ale36__2,-0.39970228350000003,8.360709801,7.2854446874
efeU__menFentCubiC_ale37__1,1.8696421154,9.3102858463,8.3264398037
efeU__menFentCubiC_ale37__2,2.0551616648,9.3251486725,8.4127276085
efeU__menFentCubiC_ale38__1,-5.4117017295,7.3709447824,7.4885123729
efeU__menFentCubiC_ale38__2,-5.710365376,6.9706933642,7.1281872621
