,A,FadR
LoTm_1,8.1565156911,1.7081
LoTm_2,9.2012140898,1.1177
LoTm_3,8.718934304,1.5545
HiOs_1,5.3694253974,1.2314
HiOs_2,5.5742234188,1.0334
HiOs_3,5.7514227967,1.1092
BMM_1,-1.1394011067,0.21610000000000001
BMM_2,-0.8443017478,-0.0816
BMM_3,-2.4486581821,-0.229
Heat_1,4.0129919423,0.2156
Heat_2,4.0207487216,-0.12760000000000002
Heat_3,4.7188973862,-0.2296
Cold_1,-5.9004640389,0.17750000000000002
Cold_2,-4.2451948888,-0.5132
Cold_3,-2.6108427696,-1.0042
Etha_1,6.9002498518,-1.5923
Etha_2,7.6532093833,-1.7039
Etha_3,5.8811873593,-1.4022000000000001
SMM_1,0.9735879959,0.4429
SMM_2,0.9145262839,0.4199
SMM_3,0.7058396783,0.5288
Salt_1,0.7181253901,-0.3048
Salt_2,0.9111900392000001,-0.4827
Salt_3,0.024227211000000002,-0.3468
Mt0_1,5.7878973398,0.7231000000000001
Mt0_3,7.4277507341,1.2156
M0t45_1,7.342278914,-0.0511
M0t45_2,5.7650815478,0.4368
M0t45_3,8.0446626134,0.6667000000000001
M0t90_1,19.3671055076,0.245
M0t90_2,24.6497849065,1.5363
M0t90_3,22.3319477609,1.1226
M40t45_1,9.0466150413,0.0381
M40t45_2,20.5079111071,1.3197
M40t45_3,7.0470626643,0.7215
M40t90_1,23.8876853477,0.859
M40t90_2,27.04558662,1.7098
M40t90_3,27.6334512951,1.8758
dia0_1,6.9631364553,0.9142
dia0_2,6.5968525153,1.0387
dia0_3,4.1604344783,0.7367
dia5_1,11.5438309861,0.7985
dia5_2,10.4550170449,0.7102
dia5_3,8.3025151029,0.41650000000000004
dia15_1,6.2058883794,0.7962
dia15_2,-0.5005611543,0.1325
dia15_3,2.8679258163,-0.5232
Diami_1,5.7937227437,-0.8298000000000001
Diami_2,3.7877902952999998,-0.1636
Diami_3,4.9833140406,-0.28750000000000003
Paraq_1,1.1520356814000001,-0.4184
Paraq_2,-0.23538842780000002,0.43410000000000004
Paraq_3,3.591925865,-1.0265
H2O2_1,1.0940903546,-0.11950000000000001
H2O2_2,0.16636792120000002,0.27590000000000003
H2O2_3,0.9723757922,-0.3826
Oxctl_1,3.8453225571000003,0.0037
Oxctl_2,3.6010600115,-0.11280000000000001
Oxctl_3,0.7765972543,0.40090000000000003
GM-0.1_1,3.6964142896,0.2262
GM-0.2_1,5.4902315764,0.1075
GM+5_1,3.5188865217,0.17450000000000002
GM+15_1,1.0945260173,-0.015300000000000001
GM+25_1,-1.2393804887,0.0114
GM+45_1,-0.1910180296,0.3403
GM+60_1,0.0758878112,0.09050000000000001
GM+90_1,0.9390887863,0.3423
GM+120_1,4.6796428229,-0.44530000000000003
GM+150_1,2.041664209,-0.0233
GM-0.1_2,2.3377925062,0.3296
GM-0.2_2,3.6005370842,0.7214
GM+5_2,2.1126894038,0.3154
GM+10_2,1.0874019625,-0.1085
GM+15_2,0.9583853756,-0.6141
GM+25_2,-0.7286155856000001,-0.2069
GM+45_2,0.5585031328,-0.9234
GM+60_2,2.8585705757,-0.8536
GM+90_2,1.3912124494,0.0603
GM+150_2,3.6295527677,-0.7036
GM-0.1_3,2.9908922006000003,0.34840000000000004
GM-0.2_3,2.135493074,0.189
GM+5_3,2.658862302,0.44320000000000004
GM+10_3,3.1466090092,-0.8983000000000001
GM+15_3,1.6519818751000002,-0.3541
GM+25_3,2.5295533247,-0.6847000000000001
GM+45_3,4.8448301178,-0.6131
GM+60_3,4.2054914932,-0.8158000000000001
GM+90_3,3.0233908825,0.0173
GM+120_3,3.9185272436,0.023700000000000002
GM+150_3,2.0443031113,0.332
MG-0.1_1,2.3761000312,0.49970000000000003
MG+5_1,0.1425903633,-0.1482
MG+10_1,-2.2353769497,0.26430000000000003
MG+15_1,-0.10586153,-0.7645000000000001
MG+25_1,-0.5823020588,-0.1689
MG+45_1,1.3268035364,-0.198
MG+120_1,4.676440609,-0.36010000000000003
MG+150_1,2.7987034499,0.11750000000000001
MG-0.1_2,2.322350977,-0.3183
MG-0.2_2,1.3026032589,0.1135
MG+5_2,-1.0222567329,-0.37120000000000003
MG+10_2,-1.8849730767000001,-0.21780000000000002
MG+15_2,-1.0693237654,0.46380000000000005
MG+25_2,-0.1383312707,-0.40790000000000004
MG+45_2,2.2982504676,-0.6659
MG+60_2,2.0199787775,-0.0376
MG+90_2,1.153390333,-0.3801
MG+120_2,2.5586973613,0.3718
MG-0.1_3,1.4006276180000001,0.9256000000000001
MG-0.2_3,2.2619196722,0.20750000000000002
MG+5_3,0.4770582605,-0.5584
MG+10_3,2.7734473688,-0.6451
MG+15_3,-1.5159123346999999,0.005200000000000001
MG+25_3,-0.7268677948000001,-0.1236
MG+45_3,-0.18513933030000002,0.455
MG+60_3,1.5440909331000001,-0.2245
MG+90_3,1.2359245063,0.2994
MG+120_3,3.7342091586,0.17500000000000002
MG+150_3,1.7569341085999999,-0.1406
