,A,RpoS,DhaR
abx_mega__dmso-10__2,1.3987827376,0.8062681238,0.06907837900000001
abx_mega__phos_h2o__3,0.1985325138,-0.4039469799,-0.20293327120000001
abx_mega__dmso-6__2,-0.6565511366,-0.38068987460000003,0.1031603137
abx_mega__rfp_ethanol__1,-8.2398722297,1.1971556762,0.3896169424
abx_mega__dmso-5__3,-0.7330082461,-0.0579672664,-0.17713731400000002
abx_mega__amyc-d_dmso__1,-8.2414549652,-1.1718080658,0.5211522047
abx_mega__sxt_dmso__1,-1.6742762675,-0.0579887361,-0.1761325876
abx_mega__dmso-1__1,-0.028243126400000002,-0.0090804595,-0.8603500405000001
abx_mega__pen_h2o__1,-1.5610464576,-0.2858089984,-0.1916549978
abx_mega__dmso-10__3,1.5197486637000002,0.7487499111,0.3200707239
abx_mega__nal_naoh__4,0.2256658933,-0.2880430808,-0.3446899201
abx_mega__cip_naoh__1,0.9204033492,-0.4022624342,-0.4502101868
abx_mega__pen_h2o__2,-2.2423020709,-0.102787711,-0.1364224791
abx_mega__ery_dmso__2,-9.7629044835,-0.5464442224,-0.0472628968
abx_mega__dmso-2__2,0.5342851474,-0.7664779575,1.5371815097
abx_mega__van_dmso__2,-5.0359303147,0.9269590489,-0.800486961
abx_mega__h2o-1b__1,0.4914093919,0.0122038535,-0.6129004
abx_mega__ery_h2o__1,-7.6026239269,-0.9940082433,-0.35495701760000004
abx_mega__bacit_h2o__1,-2.455516648,2.0411292587,-0.1095896477
abx_mega__chl_h2o__2,-8.9285165578,-0.3039589573,0.0168945844
abx_mega__str_h2o__2,-2.4159351765,-1.2338569192,0.6033145253000001
abx_mega__rfp_ethanol__2,-5.8197799499,1.5108161085,0.8498238505
abx_mega__polmyx_h2o__2,-0.10087762780000001,0.0882130678,0.0291233408
abx_mega__tric_h2o__1,0.6644883671,1.863543381,1.1281637323
abx_mega__cip_naoh__2,-1.4512844927000002,-0.7670528724,-0.2605665031
abx_mega__novo_h2o__3,-5.7172656232,-1.3988456439,-1.5298178512
abx_mega__bacit_dmso__1,-3.9840392255,0.1389480637,-0.0097905491
abx_mega__gen_h2o__1,-8.0114653074,0.6382039402,0.6377316167
abx_mega__bacit_dmso__2,-3.8963569183,0.6371311275,0.23050076160000002
abx_mega__chl_dmso__1,-5.8104633656,0.5891552134,0.182654602
abx_mega__bacit_h2o__2,-2.6267838047,1.1364192666,-0.2625709088
abx_mega__lvx_dmso__1,-2.1962552824,-0.1227754323,-0.7040506122
abx_mega__bacit_h2o__3,-3.1287241776,1.842083342,0.21990739080000002
abx_mega__nor_naoh__2,-0.5754645810000001,-0.3056609431,0.0324223034
abx_mega__amyc-d_dmso__2,-4.1239036413,-0.36055310500000004,0.2638314867
abx_mega__polmyx_h2o__3,1.0105021377,-0.7452061929,1.0724321685
abx_mega__naoh-6__1,0.5906375508,-0.19376253370000002,-0.3344419591
abx_mega__cst_h2o__2,-2.4932547378,-0.1069060403,0.4881579499
abx_mega__h2o-1b__2,-0.7410465423,0.1476735541,-0.3126815697
abx_mega__rfp_h2o__1,-8.1766563058,0.2184687528,1.3511889798
abx_mega__tet_h2o__1,-6.7016707072,-0.3321838082,-0.0331664426
abx_mega__flavo_dmso__1,-2.8701432721,1.1410073011,-0.1438815813
abx_mega__zeocin_h2o__1,1.221283222,0.5042714405000001,-0.052448465300000004
abx_mega__nor_naoh__3,-0.9502247199,-0.7028224034,-0.3994920133
abx_mega__rach_dmso__2,-1.6642545278,-0.3897788184,-0.9008720438000001
abx_mega__thio_dmso__2,-10.1439584745,0.6749000182,-0.1958888745
abx_mega__amyc-d_dmso__3,-8.8331579621,-1.0340379245,0.1359808026
abx_mega__rif_dmso__2,-3.6760711473,-0.5313228746,1.1090944427
abx_mega__amyc-d_dmso__4,-2.0145181616,-0.3395083618,-0.2876113024
abx_mega__teix_dmso__3,-0.8106539438,-0.0744392624,-0.4941300468
abx_mega__valin_dmso__1,-3.6819132996,-0.17103448070000002,0.49987007980000003
abx_mega__teix_dmso__4,-0.5229637956000001,-0.3425261498,-0.4505817371
abx_mega__ethanol-10__1,2.0207283801,0.7875061899,0.2060594927
abx_mega__inh_h2o__1,1.8009779717,0.12003723670000001,-0.3961966093
abx_mega__rif_dmso__3,-5.3129661275,-0.7659405174,-0.1525680569
abx_mega__van_dmso__3,-3.657697509,0.7263733076000001,-0.015582104500000001
abx_mega__doxo_dmso__1,1.5966439465,-0.6013224671,-0.367504757
abx_mega__tmp_dmso__1,-1.1166312495,-0.8785134040000001,-0.7750645831
abx_mega__ethanol-10__2,2.5328113024,0.7901452873,0.17600091310000002
abx_mega__tmp_dmso__2,-1.6929447222,-1.0691180943,-0.7678486514
abx_mega__amyc-d_dmso__5,-9.063587193,-1.224876475,0.12135810150000001
abx_mega__novo_h2o__4,-5.82427847,-0.8674783247000001,-0.1300681502
abx_mega__cro_h2o__2,-1.9714299794,-0.5275191918000001,-0.3677334212
abx_mega__cro_h2o__3,-2.1952127159,-0.5277439766,-0.2213393827
abx_mega__gen_h2o__2,-6.7877071157,0.5715646187,1.0828962634
abx_mega__phos_h2o__4,1.7402766297,-0.4801473545,0.7554609753
abx_mega__metro_dmso__2,-0.7336607561,-0.2058316979,-0.16035065910000001
abx_mega__ery_h2o__2,-6.7995651494,-0.4031858943,0.1803380591
abx_mega__sacet_h2o__1,-0.5283997851000001,0.5258567861,0.9992494177000001
abx_mega__nal_naoh__5,-0.1534713532,-1.0791491496,-0.5988093674
abx_mega__bacit_h2o__4,-3.3668936597,1.1625349641,-0.1445216121
abx_mega__cip_naoh__3,-1.692785941,-0.3946522053,-0.61642798
abx_mega__ethanol-8__1,0.8161020925,0.0892968809,0.06299529720000001
abx_mega__h2o-8a__1,-3.008443098,0.3895898545,0.4888031942
abx_mega__ery_h2o__3,-5.6537417074,-0.9798657269000001,-0.6456466209
abx_mega__flavo_dmso__2,-2.2677172094999998,-0.3558929129,-0.4302543039
abx_mega__rif_dmso__4,-5.3354282773,-0.3203433341,-0.2183727128
abx_mega__novo_h2o__5,-7.7864758399,-1.8907045999,-2.4189806294
abx_mega__teix_dmso__5,0.9454127600000001,0.5235856839,-0.7251671
abx_mega__naoh-2__1,1.3679424555,-0.6960164566,0.8643340339000001
abx_mega__novo_h2o__6,-7.1876022477,-1.5270626442,-1.7210095813000001
abx_mega__ctx_h2o__3,-2.5079756526,-0.4634139386,-0.6401490184
abx_mega__rach_dmso__3,-1.3314327718,-0.5227460333,-1.290204565
abx_mega__valin_dmso__2,-5.6085610624,-0.6079369570000001,0.24408231200000002
abx_mega__amyc-d_dmso__6,-8.9093781125,-0.5831907388,0.5382228122
abx_mega__dox_dmso__2,-0.9088539124,-0.5897015176,0.0120465033
abx_mega__teix_dmso__6,1.4120799815,0.33302975900000004,-0.7887392228000001
abx_mega__naoh-6__2,0.32301209610000003,-0.17128217310000002,-0.09335003700000001
abx_mega__inh_h2o__2,0.1352320592,0.6983107852,0.9578327413000001
abx_mega__chl_h2o__3,-6.5301979292,-0.047770770600000005,0.2794561047
abx_mega__nal_naoh__6,-0.2620705595,-0.7783978846,-0.6163861391000001
abx_mega__chl_dmso__2,-6.1479717157,0.5795485447000001,-0.0189204854
abx_mega__rach_dmso__4,0.040365761,-0.4604892508,-0.900344667
abx_mega__teix_dmso__7,1.3609291926,0.5469985911,-0.4624960958
abx_mega__ceru_ethanol__1,1.3385432782,1.9391797668000001,0.7029126428
abx_mega__dmso-7__1,-0.8722706015,-0.18206983540000002,-0.6851409325000001
abx_mega__naoh-6__3,0.7344811101000001,-0.2625622673,0.014443631600000001
abx_mega__phos_ethanol__2,1.139113329,0.6362886964000001,0.1197206383
abx_mega__metro_dmso__3,-0.8659499289,-0.24292153970000002,0.3378492323
abx_mega__van_dmso__4,-3.1057525804,0.6048608691,-0.8405439761
abx_mega__h2o-10__1,-0.2967879252,0.7306458363,0.11938966670000001
abx_mega__h2o-10__2,0.1599255917,0.47634399800000005,0.024188054
abx_mega__dmso-6__3,-0.4650321256,-0.3464694589,-0.0756141064
abx_mega__mem_dmso__1,-2.0628357250000002,-0.2505482308,-0.3895441348
abx_mega__ethanol-8__2,1.8149132284,0.6124656474,0.2980143684
abx_mega__chl_h2o__4,-6.4408490021,-0.0719270178,0.11991100240000001
abx_mega__van_h2o__1,-3.0643170454,0.6540059885,-0.490043023
abx_mega__dcs_h2o__1,1.1928367465,0.4711092564,0.1332648215
abx_mega__rif_dmso__5,-1.1926159975,-0.5450956153000001,0.3162184447
abx_mega__dox_dmso__3,-3.9134757543000003,0.2452439907,0.1531819676
abx_mega__mem_dmso__2,-3.2113421573,-0.1035126536,-0.40588663
abx_mega__lvx_dmso__2,-0.2609018462,-0.009095269900000001,-0.1245509811
abx_mega__tet_h2o__2,-8.8693860905,1.087692968,1.5565104664
abx_mega__phos_h2o__5,1.6833460413,-0.3560818886,0.4120108089
abx_mega__monac_dmso__1,-0.11109796670000001,1.7535099344,-0.2847639867
abx_mega__str_h2o__3,-0.032173636000000005,0.5170498195000001,0.1458174575
abx_mega__zeocin_h2o__2,-1.9775315633,-1.0193472069,1.7128704123
abx_mega__amyc-d_dmso__7,-9.5891282045,-0.523282682,0.9457261240000001
abx_mega__fidax_dmso__1,1.1872925396,0.43947406520000004,-0.3349049954
abx_mega__h2o-1a__1,-0.14553743830000002,0.0446724711,0.170733093
abx_mega__dox_dmso__4,0.168552119,-0.2893820741,-0.12751404900000002
abx_mega__lzd_dmso__2,-9.5822240599,-0.2117878394,0.0571228276
abx_mega__tet_h2o__3,-5.7438375283,-0.3179564891,-0.149664091
abx_mega__dmso-1__2,-1.4610393678,0.08899595980000001,-0.5684459486
abx_mega__sxt_dmso__2,-3.6682690367,0.028312995400000002,-0.0031378752
abx_mega__tric_ethanol__2,2.472848964,1.3392921219,0.4334115389
abx_mega__teix_dmso__8,-3.058527863,-0.9200105722,-0.7290904978
abx_mega__ramo_h2o__2,-1.028625279,1.5403945842,0.025716492400000002
abx_mega__inh_h2o__3,1.4133301316,0.5704792652,-0.3317594877
abx_mega__cst_h2o__3,-0.5525233148,0.1799193872,-0.2641141614
abx_mega__dmso-9__1,-0.1295080381,0.4667043355,0.21559108300000002
abx_mega__ethanol-8__3,3.1180388152,0.20339786340000002,0.2827499335
abx_mega__monac_dmso__2,-0.9605794129,1.7636918297,-0.5976606593
abx_mega__dmso-9__2,0.5115061382,0.3315411609,-0.0215079896
abx_mega__metro_dmso__4,-2.2675178054,-0.35813353740000003,-0.1275074438
abx_mega__ctx_h2o__4,-2.9374012868,-0.36327625890000004,-0.5677306963000001
abx_mega__zeocin_h2o__3,-3.7767740292000003,-0.9242360812,1.6547734097
abx_mega__bacit_h2o__5,-4.8452733535,1.1244853324,0.8429887147
abx_mega__reta_dmso__1,-7.3530706233,0.2482560155,-0.25262423700000003
abx_mega__ery_h2o__4,-8.5679373913,0.6052921899,1.0623171442
abx_mega__ceru_ethanol__2,-2.7880410423,1.6927350389,1.2514201717
abx_mega__fidax_dmso__2,1.6760951563000002,0.4568848408,-0.2830143638
abx_mega__novo_dmso__1,-4.7265686313,-0.9789359647,-1.4340430934000001
abx_mega__naoh-6__4,-0.42857444400000005,-0.16993395320000002,0.10197691960000001
abx_mega__amyc-d_dmso__8,-4.3340581136,-0.30292878300000003,0.6502605123
abx_mega__chl_dmso__3,-7.1382575201,0.5264198142000001,0.2501222285
abx_mega__nal_naoh__7,-0.9892871091000001,0.2397725474,0.1361743694
abx_mega__teix_dmso__9,1.6829198501,0.5519567652,-0.47301479760000004
abx_mega__ery_dmso__3,-6.5376547176,-0.2960727922,0.0992340121
abx_mega__tmp_dmso__3,-1.1735648291,-0.9535799394000001,-1.0056944489
abx_mega__sxt_dmso__3,-0.0045813813,0.1879820745,-0.3624146359
abx_mega__polmyx_h2o__4,0.53508813,-0.33462678430000004,1.5136934027
abx_mega__mem_dmso__3,-0.6725118558000001,0.4853458886,-0.0378463672
abx_mega__nal_naoh__8,1.2540946503,-1.5466922668,-0.3648229699
abx_mega__pen_h2o__3,0.44585625,0.3364849925,-0.3189871946
abx_mega__van_dmso__5,-2.9713141160000003,0.5538937326,-1.039924074
abx_mega__zeocin_h2o__4,-0.8283711650000001,-0.9333736147,1.7553726635
abx_mega__h2o-6__2,0.4233395735,-0.43851679990000003,0.019495756
abx_mega__tet_h2o__4,-6.7232173228,-0.6122638961,-0.3630698077
abx_mega__nor_naoh__4,0.576481958,0.0192414513,0.1821802455
abx_mega__cip_naoh__4,-1.0368817145,-0.4865215724,0.0513736188
abx_mega__tmp_dmso__4,-1.9561915051,-0.7272492188,-0.6186939713
abx_mega__reta_dmso__2,-7.9865589759,-0.1476290305,0.3755912004
abx_mega__mem_dmso__4,-2.0191907047,-0.46360405250000003,0.031090541500000003
abx_mega__dox_dmso__5,-3.2986246009,0.4989539183,-0.3341794279
abx_mega__tmp_dmso__5,-0.4315331282,0.3705406573,-0.27186021320000003
abx_mega__flavo_dmso__3,-0.7540996483,-0.1438542033,-0.4164591361
abx_mega__tmp_dmso__6,-2.6500873823,-0.5194117031000001,-0.6925601922
abx_mega__ceru_ethanol__3,1.0251681196,2.0305828611,0.8368549939000001
abx_mega__teix_dmso__10,-1.3046046706,-0.4654391383,-0.2213686023
abx_mega__novo_h2o__7,-5.1068899334,-1.4261023225,-1.389400731
abx_mega__fidax_dmso__3,1.1644103851,0.3766098639,0.19490400730000002
abx_mega__h2o-1a__2,0.5055229819,-0.1364564022,-0.2891949467
abx_mega__dcs_h2o__2,-1.8936634941000001,0.1286029695,-0.10204405350000001
abx_mega__cst_h2o__4,-1.7775541241,-0.0696890087,0.2349179304
abx_mega__van_h2o__2,0.3399275912,0.9030849996,-0.2290717461
abx_mega__pen_h2o__4,-1.8022856303,0.38838182590000003,-0.062185209500000005
abx_mega__h2o-8b__2,1.678135771,-0.0550770701,-0.1637363544
abx_mega__reta_dmso__3,-4.9378701409,-0.6307641964,-0.3173643437
abx_mega__dmso-7__2,-0.5685965488,-0.2597921773,-0.7268505689
abx_mega__rfp_h2o__2,-8.1464301313,-0.1763272148,1.1707309845
abx_mega__rif_dmso__6,-4.0470423221,-0.1529290586,1.0447594342
abx_mega__sxt_dmso__4,-1.1151028944,0.2706568916,-0.34116114210000004
abx_mega__cip_naoh__5,-0.1152047544,-0.8203963424,-0.59789812
abx_mega__dmso-9__3,-1.171575933,0.1585795959,-0.170932398
abx_mega__mem_dmso__5,-1.2263849337,-0.1142251222,-0.1642061195
abx_mega__tric_h2o__2,2.4918547045,1.8143817081,0.8918033361000001
abx_mega__phos_h2o__6,0.2600358139,-0.4731728442,-0.293386488
abx_mega__h2o-7__2,-0.3055450892,0.0620097399,-0.3262735261
abx_mega__h2o-10__3,-0.0196052642,0.3949410132,0.0793180036
abx_mega__h2o-8a__2,-2.7068099897,0.3263541776,0.23871410170000001
abx_mega__thio_dmso__3,-4.4808974101,-0.7083059624,-0.4832622245
abx_mega__lzd_dmso__3,-5.6727345852,-0.851641096,0.1166727001
abx_mega__monac_dmso__3,-2.9646735548,1.4811790611,-0.5468225342
abx_mega__polmyx_h2o__5,-2.5302978022,1.1931153627,0.0892111217
abx_mega__naoh-6__5,-0.050077335,0.223645429,0.3707078831
abx_mega__teix_dmso__11,-0.4407949324,-0.5212448198,-0.438025041
abx_mega__van_h2o__3,0.101702153,1.0658264478,-0.5279748757
abx_mega__teix_dmso__12,-1.8245918206,0.2623274617,-0.11251989300000001
abx_mega__dox_dmso__6,2.9552264024,-0.8602627439,0.4268790773
abx_mega__teix_dmso__13,-1.9676628768,0.6492284850000001,-0.9451556145000001
abx_mega__h2o-7__3,-1.4853324608,-0.0872275571,-0.32069727000000003
abx_mega__str_h2o__4,-2.4787976058,-1.6278754941,1.119759648
abx_mega__tec_h2o__3,-4.2702098317,0.5569903872,0.4291657997
abx_mega__phos_h2o__7,-0.26438826660000003,-0.5821665425,-0.3597562123
abx_mega__chl_h2o__5,-9.5548295863,-0.5569867189000001,0.2985984633
abx_mega__polmyx_h2o__6,0.9448526643,-0.8658739125,1.02567287
abx_mega__teix_dmso__14,-0.40664230160000003,-0.5061400461000001,-0.44016069100000005
abx_mega__rif_dmso__7,-3.3847845552,-0.007558000600000001,0.8495813035
abx_mega__ramo_h2o__3,-2.7199975335,1.1837010027,0.5390390544
abx_mega__fidax_dmso__4,-0.5257973718,0.3684639705,-0.210996602
abx_mega__teix_dmso__15,1.3082324404,0.7162084194,-0.40899574980000003
abx_mega__thio_dmso__4,-5.0946096718,-0.7495037573000001,-0.6773818363
abx_mega__rif_dmso__8,-4.8074961173,-0.2520943269,0.7129163519
abx_mega__reta_dmso__4,-7.5112256735,-0.1303226102,0.1441095679
abx_mega__inh_h2o__4,0.5754589011,1.2895415137000001,0.8280742858
abx_mega__novo_dmso__2,-2.9803243863,-1.0265109875,-1.399890615
abx_mega__dcs_h2o__3,-1.7469210901,-0.0724954515,-0.0068812011000000005
abx_mega__h2o-8b__3,-1.4515218825,0.0047803766000000004,0.1490677678
abx_mega__valin_dmso__3,-2.0937989709,-0.26600968140000003,-0.5871207526000001
abx_mega__h2o-2__1,1.7927394446,-0.7475409037,0.5870418128
abx_mega__cro_h2o__4,-0.4566390067,-0.21861527020000002,-0.039232079100000004
abx_mega__dcs_h2o__4,1.3836174006,0.5629342945,-0.3443511951
abx_mega__str_h2o__5,0.7043895025,0.21570166240000002,-0.37448421
abx_mega__h2o-8a__3,-2.1747463109,0.062023590600000005,-0.0167115354
abx_mega__dox_dmso__7,0.2546329026,-0.42882891900000003,-0.2702688844
abx_mega__doxo_dmso__2,2.2378581730000002,-0.7689727486,-0.5483276874
abx_mega__teix_dmso__16,-2.4490764244,0.7309834126,-0.9075447246
abx_mega__rfp_h2o__3,-9.417127403,-0.1501726563,1.2751878886
abx_mega__ethanol-10__3,2.7786643488,0.5169160205000001,-0.0667337464
abx_mega__naoh-2__2,1.5726150229,-0.6836513344,0.6041787287
abx_mega__van_h2o__4,-2.3645563814,0.6793260160000001,-0.187742174
abx_mega__sacet_h2o__2,0.9898997986,0.7371031941,1.3747941867
abx_mega__monac_dmso__4,-1.2155615850000001,1.9744757876999999,-0.4528396276
abx_mega__h2o-2__2,2.0708088232,-0.7213432398,0.7018085929
abx_mega__zeocin_h2o__5,0.7953795434,0.6477702467,0.1135559817
abx_mega__nor_naoh__5,-1.5723436459,0.020042852400000002,-0.27165606000000003
abx_mega__naoh-9__2,-1.0265893962,0.48593594510000004,0.3739491
abx_mega__dmso-7__3,-0.5140699160000001,-0.39806902200000005,-0.9990869434
abx_mega__van_h2o__5,-3.9174861187000003,0.4775086602,-0.5493263402
abx_mega__flavo_dmso__4,-1.6820441227,-0.2237540542,0.1381304769
abx_mega__novo_dmso__3,-5.0436698448,-1.2433446982,-1.8866414447
abx_mega__polmyx_h2o__7,-2.3765242547,-0.09469580500000001,0.1651940057
abx_mega__teix_dmso__17,0.6809524232,0.3882651955,-0.8592117004000001
abx_mega__doxo_dmso__3,1.1872863253000001,-1.0093608602,-0.4849850208
abx_mega__mem_dmso__6,-0.1276529171,0.4493025752,0.2998908417
abx_mega__h2o-1a__3,-0.3599855437,0.091783931,0.11846185370000001
abx_mega__bacit_dmso__3,-3.7287288129,0.062013330500000005,0.7812995991
abx_mega__dox_dmso__8,0.2579055427,-0.9358932155,0.6072895788
abx_mega__teix_dmso__18,-0.6635750409000001,-0.4164593802,-0.8646677642
abx_mega__h2o-6__3,0.3873834913,-0.0044865156,-0.0041568482
abx_mega__pen_h2o__5,-1.2049918923,-0.0383475161,-0.01766575
abx_mega__lzd_dmso__4,-3.4063501795,-0.7369655924,0.0138780425
abx_mega__daro__1,-6.0321330748,0.41317827430000004,0.3081975245
abx_mega__solv__1,-6.4846000236,0.604767283,0.0422978164
abx_mega__daro__2,-5.4790647865,0.7448858374,0.2002153993
abx_mega__daro__3,-3.8898203955,1.4155093927,0.6534395086
abx_mega__solv__2,-7.6160666697,-0.2457375582,-0.5554372999
abx_mega__solv__3,-4.7000182384,1.3219007904,0.6565982306
abx_mega__dmso-4__1,-3.328537798,-0.6830534858,0.8447228033
abx_mega__kirr_dmso__1,-9.7088774666,-0.6785606825,0.2507906196
abx_mega__kirr_dmso__2,-10.349231289,-0.4696651093,0.39575164700000004
abx_mega__kirr_dmso__3,-11.136976624,-0.46349901590000003,0.8454694453
abx_mega__dmso-4__2,-3.656326387,-0.3385525806,1.1140987058
abx_mega__dmso-4__3,-3.2725180112,-0.6918979069,0.497858371
ackA_pta__dnaA46_del_ackA__1,1.9899544652,1.3115418012,0.30458241350000004
ackA_pta__dnaA46_del_ackA__2,2.6504333941000002,2.719049273,0.5543265150000001
ackA_pta__dnaA46_del_ackA__3,1.4524438467,1.9266550545,-0.0182470557
ackA_pta__dnaA46_del_pta__1,0.7716482862,2.7159852568,1.393045307
ackA_pta__dnaA46_del_pta__2,-5.1644505869,0.8854595021,-0.5583938104
ackA_pta__dnaA46_del_pta__3,0.4635869161,1.3716701738000001,0.7628784511000001
ackA_pta__dnaA46__1,0.6507352243,-0.0180868505,-0.0027115971
ackA_pta__dnaA46__2,-1.8893119913,0.8312034412,-0.3624021724
ackA_pta__dnaA46__3,0.448864692,-0.0430751967,0.11612042930000001
ackA_pta__del_ackA__1,2.4122383947,1.8905631967,0.3763673138
ackA_pta__del_ackA__2,1.8495225996,3.0586390134,1.1717501041
ackA_pta__del_ackA__3,2.7703931222,1.1510770369,0.0460939025
ackA_pta__del_pta__1,-0.8871281314,0.09465619600000001,-0.6501122611
ackA_pta__del_pta__2,-4.4243338147,1.3046074190999999,-0.18063694330000002
ackA_pta__del_pta__3,1.44804166,0.7440262712,0.036361337
ackA_pta__wt__1,1.0974336994,0.5336637103,0.2317098001
ackA_pta__wt__2,-0.38747463530000004,-0.3890912637,-0.26082947500000003
ackA_pta__wt__3,-0.7099590641,-0.14457244660000002,0.0291196749
anticancer__5fu__1,3.5733370119,-1.4457715828,-0.6943447942000001
anticancer__5fu__2,4.3925081576,-1.5601079896,-0.9239974962
anticancer__cap__1,1.4899676889,0.810740581,-0.10865681170000001
anticancer__cap__2,1.9336720484,0.8647603072000001,-0.17920134540000002
anticancer__cap__3,1.8316727957999999,0.9669022083000001,-0.5121947014
anticancer__wt__1,-0.8950528228,-0.4381731909,-0.16725997350000002
anticancer__wt__2,0.21891094300000002,0.130608776,-0.1098878264
anticancer__wt__3,0.6761418797000001,0.3075644149,0.2771477999
anticancer__5fu__3,0.9958601497,-1.4681930284,-1.2723130988
bio_pln__aero_pln__1,-0.23954260830000002,-0.1546157778,0.1506932696
bio_pln__aero_pln__2,0.23954260830000002,0.1546157778,-0.1506932696
bio_pln__anaero_pln__1,-1.7803119985,-0.6446691254,0.2664632664
bio_pln__anaero_pln__2,-1.1573898302,-0.4501057755,-0.1824520611
biocide__bzcl_12h__1,-2.1884291328,0.1059205538,-0.435943681
biocide__bzcl_12h__2,-2.5096837413,1.3829855504,-0.19256078470000002
biocide__bzcl_12h__3,-2.2578875225,0.4041661848,-0.2755470662
biocide__etoh_12h__1,-1.6354807340000002,0.30663911790000004,-0.0317573826
biocide__etoh_12h__2,-1.4684229014,0.31144163620000004,-0.038958371900000004
biocide__etoh_12h__3,-1.7656499527,0.3127912652,0.0133659013
