,A,TyrR
abx_mega__cro_h2o__2,-0.2780535382,-0.34717004830000003
abx_mega__cro_h2o__3,-1.1269362564,-0.2511761502
abx_mega__gen_h2o__2,0.060487475500000006,-1.2044904644
abx_mega__phos_h2o__4,-1.1250694044,-0.0601890568
abx_mega__metro_dmso__2,0.5773869506,-0.6869676867000001
abx_mega__ery_h2o__2,2.2778307273,-0.8760116276000001
abx_mega__sacet_h2o__1,-0.41149265160000004,-0.5517107207
abx_mega__nal_naoh__5,-1.1050278087,-0.49883004220000005
abx_mega__bacit_h2o__4,-0.45084553790000004,-1.3687115751
abx_mega__cip_naoh__3,-1.2461640125,-0.8385793237
abx_mega__ethanol-8__1,-0.9759517345000001,0.13252544130000002
abx_mega__h2o-8a__1,-0.9396751354,-0.3765461128
abx_mega__ery_h2o__3,1.7316219979,-1.3453706388
abx_mega__flavo_dmso__2,-1.0350976003,-0.5801866841000001
abx_mega__rif_dmso__4,0.5603720132000001,-0.9981553084
abx_mega__novo_h2o__5,5.3749097235,-3.6005049028
abx_mega__teix_dmso__5,-0.7091995159000001,-0.4278854004
abx_mega__naoh-2__1,-0.9456399676,-0.498801166
abx_mega__novo_h2o__6,5.3451013357,-3.4974630621
abx_mega__ctx_h2o__3,-1.1934659271,-0.19172788770000002
abx_mega__rach_dmso__3,-1.2447588018,-1.1029073425
abx_mega__valin_dmso__2,-2.0583030978,-0.9640404105
abx_mega__amyc-d_dmso__6,1.8297260413,-1.9027572395
abx_mega__dox_dmso__2,-0.8747698033,-0.12454087200000001
abx_mega__teix_dmso__6,-1.6672503585,-0.4503341824
abx_mega__naoh-6__2,-0.41126028010000004,-0.061678442800000004
abx_mega__inh_h2o__2,0.31187222800000003,-0.25013424370000004
abx_mega__chl_h2o__3,0.6799209015000001,-1.5136618894
abx_mega__nal_naoh__6,-0.9838231077,-0.46171826450000003
abx_mega__chl_dmso__2,3.0718021776,-1.1390768832
abx_mega__rach_dmso__4,-0.32639234510000004,-0.6307608713
abx_mega__teix_dmso__7,-0.7050018484,-0.3607667576
abx_mega__ceru_ethanol__1,-0.0635989468,0.36896629070000003
abx_mega__dmso-7__1,0.3288641063,-0.46037572860000003
abx_mega__naoh-6__3,-0.448512202,0.0202923383
abx_mega__phos_ethanol__2,-0.4837120086,0.0890913058
abx_mega__metro_dmso__3,0.5258966167,-0.586714515
abx_mega__van_dmso__4,0.0469561327,-1.1727814186
abx_mega__h2o-10__1,-0.8673779827,-0.4446113076
abx_mega__h2o-10__2,-1.0121732813,-0.0484405285
abx_mega__dmso-6__3,-0.290427955,-0.5666143577
abx_mega__mem_dmso__1,-0.5516161126,-0.336860094
abx_mega__ethanol-8__2,-1.1225305001,0.16329152200000002
abx_mega__chl_h2o__4,0.057308863700000004,-1.6149551153
abx_mega__van_h2o__1,-0.3030523158,-0.7201455887
abx_mega__dcs_h2o__1,-1.296254755,-0.1300722118
abx_mega__rif_dmso__5,-0.7812767445000001,-0.33348620370000004
abx_mega__dox_dmso__3,-0.042644805300000005,-0.5706471334000001
abx_mega__mem_dmso__2,-1.6993388063000001,-0.9224374963
abx_mega__lvx_dmso__2,-1.0810472749,-0.6114461797
abx_mega__tet_h2o__2,2.1375762929,-1.0810895065
abx_mega__phos_h2o__5,-1.2660515846,-0.0386991858
abx_mega__monac_dmso__1,0.118874608,-0.8136771396
abx_mega__str_h2o__3,-1.9642007617,-0.0255038739
abx_mega__zeocin_h2o__2,-1.8431354539,-0.4588993045
abx_mega__amyc-d_dmso__7,2.3768629831,-1.8298684393
abx_mega__fidax_dmso__1,-0.8916597754000001,-0.11407811050000001
abx_mega__h2o-1a__1,-0.17944861010000002,0.0397933069
abx_mega__dox_dmso__4,-1.1422989873,-0.13040539680000002
abx_mega__lzd_dmso__2,0.6934603675000001,-1.3649029864
abx_mega__tet_h2o__3,0.5745819335,-0.6765779287
abx_mega__dmso-1__2,-0.07869602070000001,-0.8508064524000001
abx_mega__sxt_dmso__2,-0.3915397671,-0.8343233446
abx_mega__tric_ethanol__2,1.6111547333,-0.0887879849
abx_mega__teix_dmso__8,-1.2679047067,-0.5830391031000001
abx_mega__ramo_h2o__2,-1.2629948405,-0.5649864287
abx_mega__inh_h2o__3,-0.6423374388,0.0850693646
abx_mega__cst_h2o__3,0.6623391996,-0.20653608980000002
abx_mega__dmso-9__1,-0.3063219901,-0.1985691446
abx_mega__ethanol-8__3,-0.8675702956,0.3305073096
abx_mega__monac_dmso__2,0.6395389906,-1.5381047612
abx_mega__dmso-9__2,-0.5258471944,-0.1823440282
abx_mega__metro_dmso__4,0.49344110010000003,-0.4598673809
abx_mega__ctx_h2o__4,-1.2709317814,-0.3274594301
abx_mega__zeocin_h2o__3,-1.2271097396,-0.1321562237
abx_mega__bacit_h2o__5,-2.0710682153,-1.0459794307
abx_mega__reta_dmso__1,0.2637502988,-1.7611300406
abx_mega__ery_h2o__4,2.3173188422,-1.1446856207
abx_mega__ceru_ethanol__2,1.1542731376,-0.6585223418
abx_mega__fidax_dmso__2,-0.7875449388,-0.25785449390000004
abx_mega__novo_dmso__1,4.6617904312,-2.8068988150000003
abx_mega__naoh-6__4,-0.9147521794000001,-0.099125448
abx_mega__amyc-d_dmso__8,-0.0476212398,-0.8097266263
abx_mega__chl_dmso__3,2.6323409265,-1.1337783887
abx_mega__nal_naoh__7,-0.9225907669000001,-0.06584056790000001
abx_mega__teix_dmso__9,-0.8492235911,-0.201830061
abx_mega__ery_dmso__3,1.8553605887,-1.214697072
abx_mega__tmp_dmso__3,-0.8690618317000001,-0.6269279699
abx_mega__sxt_dmso__3,-0.9287138854,-0.2587906739
abx_mega__polmyx_h2o__4,-0.320082906,-0.6171930541
abx_mega__mem_dmso__3,-0.8770078790000001,-0.3431612632
abx_mega__nal_naoh__8,-2.296216897,-1.2061338476
abx_mega__pen_h2o__3,-0.7269287773,-0.030220258000000003
abx_mega__van_dmso__5,-0.0963942207,-1.2640217774
abx_mega__zeocin_h2o__4,-1.4594825249,-0.4500469986
abx_mega__h2o-6__2,-0.6796658834,-0.0043781287
abx_mega__tet_h2o__4,1.0990542822,-0.7373536555
abx_mega__nor_naoh__4,-0.5853738211,-0.13337167960000001
abx_mega__cip_naoh__4,-0.9628587525000001,-0.2134250184
abx_mega__tmp_dmso__4,-0.7382398418,-0.49193538340000004
abx_mega__reta_dmso__2,1.745104671,-1.6858541919
abx_mega__mem_dmso__4,-0.8895538286,-0.38387574700000004
abx_mega__dox_dmso__5,0.6475820006,-0.9536591090000001
abx_mega__tmp_dmso__5,-0.5019798002,-0.6723685530000001
abx_mega__flavo_dmso__3,-1.455957469,-0.45943949230000003
abx_mega__tmp_dmso__6,-1.4992097798000001,-0.7324409287
abx_mega__ceru_ethanol__3,1.7836229605,-0.48523233330000004
abx_mega__teix_dmso__10,-1.0725483505,-0.27904676170000003
abx_mega__novo_h2o__7,4.3485699629,-4.2393007419
abx_mega__fidax_dmso__3,0.4126801791,-0.2559738006
abx_mega__h2o-1a__2,0.2080214577,-0.0116849271
abx_mega__dcs_h2o__2,-1.1936721506,-0.18205732500000002
abx_mega__cst_h2o__4,0.32005427940000003,-0.3441635165
abx_mega__van_h2o__2,-1.261817806,-0.24029425100000001
abx_mega__pen_h2o__4,-0.6469138955,-0.1737365139
abx_mega__h2o-8b__2,-1.3448652241,0.2324935744
abx_mega__reta_dmso__3,0.9756478943,-1.5029471077
abx_mega__dmso-7__2,-0.2816293911,-0.6232283284
abx_mega__rfp_h2o__2,0.5389322705,-1.6088699093
abx_mega__rif_dmso__6,-0.31887372010000004,-0.6877477833
abx_mega__sxt_dmso__4,-0.6122352747,-0.3750761567
abx_mega__cip_naoh__5,-1.115110854,-0.2142525623
abx_mega__dmso-9__3,-0.1628358907,-0.3843200665
abx_mega__mem_dmso__5,0.0203109735,-0.3559418865
abx_mega__tric_h2o__2,-0.6591947809,0.3781586189
abx_mega__phos_h2o__6,-1.1693424774,-0.014777827
abx_mega__h2o-7__2,-0.47779036810000003,-0.1523047931
abx_mega__h2o-10__3,-1.1832979298,-0.0601002855
abx_mega__h2o-8a__2,-0.7860946521000001,-0.37987398850000004
abx_mega__thio_dmso__3,-0.0202836419,-0.9287092439
abx_mega__lzd_dmso__3,1.3863049025,-0.5724193078
abx_mega__monac_dmso__3,0.40602770990000003,-1.818765291
abx_mega__polmyx_h2o__5,0.4138280379,-0.27217368680000004
abx_mega__naoh-6__5,-0.5303478221,-0.1842086543
abx_mega__teix_dmso__11,-1.6913071579,-0.215405685
abx_mega__van_h2o__3,-0.7046567920000001,-0.5406639896000001
abx_mega__teix_dmso__12,-1.4226071716,-0.8008825428
abx_mega__dox_dmso__6,-0.5769848894,-0.35427455820000003
abx_mega__teix_dmso__13,-1.1554438795,-1.0930805293
abx_mega__h2o-7__3,-0.1245788521,-0.2973924987
abx_mega__str_h2o__4,-1.2560689274,0.0299510045
abx_mega__tec_h2o__3,-0.6018985973000001,-1.5851062794000002
abx_mega__phos_h2o__7,-1.1770687568,-0.1393828935
abx_mega__chl_h2o__5,2.4526422447,-1.6116766641
abx_mega__polmyx_h2o__6,-1.5028303905,-0.2604617758
abx_mega__teix_dmso__14,-1.331664213,-0.2984883762
abx_mega__rif_dmso__7,0.1299890065,-0.471968253
abx_mega__ramo_h2o__3,-0.7715623194,-0.49393909150000004
abx_mega__fidax_dmso__4,0.2905232035,-0.5357347453
abx_mega__teix_dmso__15,-0.43447745860000003,-0.24756741940000002
abx_mega__thio_dmso__4,0.7827397441,-1.0509563791
abx_mega__rif_dmso__8,-0.0134330574,-0.8095123790000001
abx_mega__reta_dmso__4,2.2472174864,-1.5479000349
abx_mega__inh_h2o__4,0.7859774355,-0.42924485160000003
abx_mega__novo_dmso__2,4.0652927174,-2.8277372123999998
abx_mega__dcs_h2o__3,-1.3613852078,-0.0517080592
abx_mega__h2o-8b__3,-0.4695182117,-0.0607958737
abx_mega__valin_dmso__3,-1.2794804302,-1.0101979731
abx_mega__h2o-2__1,-1.5587077272,-0.2072789892
abx_mega__cro_h2o__4,-1.8314681966,-0.2842684561
abx_mega__dcs_h2o__4,-1.3534158018,-0.0112544826
abx_mega__str_h2o__5,-1.4116656571,0.2569586185
abx_mega__h2o-8a__3,-1.0131207461,-0.4600428261
abx_mega__dox_dmso__7,-0.6878390360000001,-0.17645638700000002
abx_mega__doxo_dmso__2,-0.0082562411,-1.0370940666
abx_mega__teix_dmso__16,-1.2779483557,-1.1304685224
abx_mega__rfp_h2o__3,1.3390422321,-1.4551635736000001
abx_mega__ethanol-10__3,-1.51163811,0.24744983250000002
abx_mega__naoh-2__2,-0.6456546556,-0.12409477270000001
abx_mega__van_h2o__4,-0.46988529090000003,-0.8144400038
abx_mega__sacet_h2o__2,-0.1896940943,-0.7546340093
abx_mega__monac_dmso__4,0.7343465847,-1.3287493545
abx_mega__h2o-2__2,-1.7903682280000002,-0.3626129977
abx_mega__zeocin_h2o__5,-0.7491822252,0.0139405742
abx_mega__nor_naoh__5,-1.2235173945,-0.5942870676
abx_mega__naoh-9__2,-0.5210214897000001,-0.2433480932
abx_mega__dmso-7__3,-0.7706534719,-0.7649963686
abx_mega__van_h2o__5,-0.0984000052,-0.9436938083
abx_mega__flavo_dmso__4,-0.8228383774,-0.4343744718
abx_mega__novo_dmso__3,4.8104073978,-3.2419444708
abx_mega__polmyx_h2o__7,-0.131458645,-0.202058592
abx_mega__teix_dmso__17,-1.3813147477,-0.2784616721
abx_mega__doxo_dmso__3,-0.7339207097,-1.1293993569
abx_mega__mem_dmso__6,-0.38103169940000003,-0.3564396611
abx_mega__h2o-1a__3,-0.0285728477,-0.0281083798
abx_mega__bacit_dmso__3,-1.6043806397,-0.662185388
abx_mega__dox_dmso__8,-0.7287869616,-0.2762917974
abx_mega__teix_dmso__18,-1.0531787609,-0.7146773898000001
abx_mega__h2o-6__3,-0.6483741793000001,-0.0321651161
abx_mega__pen_h2o__5,-1.3436417022,-0.23022147340000002
abx_mega__lzd_dmso__4,1.6388853417,-0.26050621
abx_mega__daro__1,-1.0608837647,-1.4380484556
abx_mega__solv__1,0.1521457373,-1.6342131012
abx_mega__daro__2,-0.6024020573000001,-1.4066289616
abx_mega__daro__3,-0.7053192984000001,-1.1272126306999999
abx_mega__solv__2,-0.7702313433,-1.7091216532
abx_mega__solv__3,-0.7226621075,-1.2392260384
abx_mega__dmso-4__1,-1.1223376132,-0.6506979246
abx_mega__kirr_dmso__1,1.4007150144,-1.3333756119
abx_mega__kirr_dmso__2,2.0616095561,-1.2284183296
abx_mega__kirr_dmso__3,1.8175823654,-1.061493838
abx_mega__dmso-4__2,-0.8958718666000001,-0.6017125387000001
abx_mega__dmso-4__3,-0.5795094781,-0.4410582469
ackA_pta__dnaA46_del_ackA__1,-0.9650684622000001,-0.0144666936
ackA_pta__dnaA46_del_ackA__2,-0.9472249307,0.1759450299
ackA_pta__dnaA46_del_ackA__3,-1.2701138871,0.23847396950000002
ackA_pta__dnaA46_del_pta__1,-1.4783556926,0.4910431442
ackA_pta__dnaA46_del_pta__2,-1.456700572,-0.1038701597
ackA_pta__dnaA46_del_pta__3,-0.8228596579,0.5625131251000001
ackA_pta__dnaA46__1,-0.4305370605,0.0061762795
ackA_pta__dnaA46__2,-1.3444296178,0.1053474806
ackA_pta__dnaA46__3,-0.045849643100000004,-0.116477221
ackA_pta__del_ackA__1,-0.7619135183,-0.10691012200000001
ackA_pta__del_ackA__2,-0.4341866495,0.4206040964
ackA_pta__del_ackA__3,-0.5349276474,-0.0708439517
ackA_pta__del_pta__1,-0.6532431412,-0.1573303241
ackA_pta__del_pta__2,-1.0027668271,-0.2413825144
ackA_pta__del_pta__3,-0.6507175879,-0.1671762061
ackA_pta__wt__1,0.053877557000000006,0.20215648560000002
ackA_pta__wt__2,0.0550524956,-0.1434554235
ackA_pta__wt__3,-0.10893005260000001,-0.0587010621
anticancer__5fu__1,-0.5053537712,-0.2197082387
anticancer__5fu__2,-0.6771343409,-0.44173004790000003
anticancer__cap__1,-1.2138451907,0.050219541000000006
anticancer__cap__2,-1.3171708937,-0.0065674758
anticancer__cap__3,-1.0955741636,-0.1726218269
anticancer__wt__1,0.2435128634,0.0259139554
anticancer__wt__2,0.0974634078,0.029054408900000002
anticancer__wt__3,-0.3409762712,-0.0549683643
anticancer__5fu__3,0.0569986679,-0.373217132
bio_pln__aero_pln__1,-0.1421366248,0.1297119178
bio_pln__aero_pln__2,0.1421366248,-0.1297119178
bio_pln__anaero_pln__1,-0.2489124009,0.0299140037
bio_pln__anaero_pln__2,0.6825068469000001,-0.1150953942
biocide__bzcl_12h__1,0.0639520054,-0.31460778440000003
biocide__bzcl_12h__2,2.1983890484,0.20688746030000002
biocide__bzcl_12h__3,-0.46888822,-0.22018305640000002
biocide__etoh_12h__1,-1.8220390123999999,0.10810812900000001
biocide__etoh_12h__2,-0.8194693970000001,0.1214429226
biocide__etoh_12h__3,-2.1555451273,0.15589803100000002
biocide__gluald_12h__1,-1.933138134,-0.0059609071
biocide__gluald_12h__2,-1.8706565925,0.14418745130000002
biocide__gluald_12h__3,-2.2621654812,0.092744271
biocide__h2o2_12h__1,-0.1575044695,-0.0818996262
biocide__h2o2_12h__2,-0.1296656595,-0.0495755599
biocide__h2o2_12h__3,-2.2205990098,0.3007862803
biocide__2ppoh_12h__1,-4.2176948533,0.0771346405
biocide__2ppoh_12h__2,-4.1856831368,-0.0601166141
biocide__2ppoh_12h__3,-4.4072594155,-0.0944853979
biocide__paa_12h__1,-1.7581452109,0.0755735939
biocide__paa_12h__2,-1.9668275485,0.1429325568
biocide__paa_12h__3,0.0375888168,0.12182543750000001
biocide__phe_12h__1,-2.1639670535,0.3670959716
biocide__phe_12h__2,-2.0185349661,0.1592239159
biocide__phe_12h__3,-3.3357034065,0.2759912643
biocide__pvp-i_12h__1,0.9718144378,0.2157494156
biocide__pvp-i_12h__2,-1.4547677884999999,0.21547799920000002
biocide__pvp-i_12h__3,-0.22169286500000002,0.0486006805
biocide__bleach_12h__1,-2.4133337313,-0.0588322406
biocide__bleach_12h__2,-1.9307014910000002,0.2491296839
biocide__bleach_12h__3,-2.1346931982,0.1759327119
biocide__chx_12h__1,5.1223270346,0.5527719876
biocide__chx_12h__2,3.8484406395,0.22862462700000002
biocide__chx_12h__3,2.6546411098,0.2405367009
biocide__bzcl_30m__1,0.32912355330000004,-0.0089025466
biocide__bzcl_30m__2,0.21525393180000002,0.12578174250000002
biocide__bzcl_30m__3,0.1127492076,0.0979853311
biocide__phe_30m__1,0.9775280791000001,-0.30197371710000004
biocide__phe_30m__2,0.2953690606,0.050191289300000004
biocide__phe_30m__3,1.1310290738,-0.26350622690000003
biocide__pvp-i_30m__1,-0.9651061371,-0.1692936106
biocide__pvp-i_30m__2,-0.8697162436,-0.06532594900000001
biocide__pvp-i_30m__3,0.19101627740000002,-0.0972125325
biocide__ctrl_12h__1,-0.48990661350000003,-0.1212160339
biocide__ctrl_12h__2,0.1006062385,0.0279712033
biocide__ctrl_12h__3,-0.9041311646,-0.1339619668
biocide__ctrl_30m__1,-0.6462774858,0.1833368386
biocide__ctrl_30m__2,0.7538148691000001,-0.2267371403
biocide__ctrl_30m__3,-0.1075373833,0.043400301700000005
clpP__wt__1,0.150962871,-0.0338905573
clpP__wt_DPTA__1,-4.1094550924,0.8549997976
clpP__wt__2,0.44470335320000004,-0.1235067014
clpP__wt_DPTA__2,-3.4471881007,1.2238971516000001
clpP__wt__3,-0.5956662242,0.1573972588
clpP__wt_DPTA__3,-3.5987527135,0.9671205161
clpP__delclpP__1,0.0894423341,-0.3001324018
clpP__delclpP_DPTA__1,-3.0361177626,1.2239105575
clpP__delclpP__2,0.0352550986,-0.1676702961
clpP__delclpP_DPTA__2,-3.5480757757,1.0722294892
clpP__delclpP__3,-0.0978629511,-0.10650647490000001
clpP__delclpP_DPTA__3,-3.6498536975,1.2430148275
colombos2__delydcR__1,-5.0524944258,-0.08279632690000001
colombos2__delydcR__2,-3.6427145846,0.10161943350000001
colombos2__delydcR__3,-3.821718003,-0.0720423666
colombos2__delyjiR__1,2.0635916211,0.2623920463
colombos2__delyjiR__2,-0.009338415000000001,0.20879322320000002
colombos2__delyjiR__3,0.7877451009,0.45844299460000004
colombos2__wt__1,1.1156223603,0.0685160095
colombos2__wt__2,-1.0693373142,-0.0320932975
colombos2__wt__3,-0.046285046100000005,-0.036422712
crp_k100__ar1_ar2__1,0.9105512831,-0.1687597498
crp_k100__ar1_ar2__2,1.0281888285,0.25832922140000003
crp_k100__ar1_ar2__3,0.6072516589,-0.2716258197
crp_k100__wt__1,0.08889835360000001,0.0737252605
crp_k100__wt__2,0.0867266998,0.0424341378
crp_k100__wt__3,-0.1756250534,-0.1161593982
crp_k100__K100Q__1,0.7488902046,0.8814713075
crp_k100__K100Q__2,0.4308738755,0.2567247072
crp_k100__K100R__1,-0.2625689002,0.002203413
crp_k100__K100R__2,0.5635241868,0.2001718961
crp_k100__K100R__3,-0.0769131438,-0.2964296007
csrA__wt_t00__1,0.0850227269,-0.0583751412
csrA__wt_t02_30__1,-1.9448386572,-1.1437351732
csrA__wt_t05__1,-2.9254434415,-2.4744094465
csrA__wt_t10__1,-1.9690283192,-3.8624072573
csrA__wt_t15__1,-1.6167358453,-2.9831531001
csrA__delcsrA_t00__1,0.08507188780000001,0.0805211388
csrA__delcsrA_t02_30__1,-3.0374002336,-1.6888890073
csrA__delcsrA_t05__1,-2.7742775472,-2.9802124666000003
csrA__delcsrA_t10__1,-2.0079986117,-3.2404264465
csrA__delcsrA_t15__1,-1.5911100009,-2.8120786146
csrA__wt_t00__2,-0.0850227269,0.0583751412
csrA__wt_t02_30__2,-1.7415287293000001,-0.8413097226
csrA__wt_t05__2,-2.7429455028,-2.245630951
csrA__wt_t10__2,-2.2608551972,-3.9503987605
csrA__wt_t15__2,-1.2852816634,-2.8228092406
csrA__delcsrA_t00__2,-0.1471453696,-0.1317840303
csrA__delcsrA_t02_30__2,-2.5469437875,-1.8163090955999999
csrA__delcsrA_t05__2,-3.4410427166,-3.3687765085
csrA__delcsrA_t10__2,-2.0724660133,-3.4286544417
csrA__delcsrA_t15__2,-0.6690326126,-2.3346850696
cstr_pfr__str_0005m__1,-0.5887830482,0.0047486677000000005
cstr_pfr__str_0010m__1,-0.5618797961,-0.1890943454
