,A,GadX
ecoli_00197,-10.7281084403,-2.1694308705
ecoli_00198,-16.584337927900002,-3.7408427185
ecoli_00199,1.8816524991999999,0.4181332185
ecoli_00200,2.4883990548,0.8978764335
ecoli_00201,3.6854760772,1.1120384265
ecoli_00202,3.9573045524,1.2081581855
ecoli_00203,2.4219770795,1.0320698235
ecoli_00204,1.4610765716,0.1891227725
ecoli_00205,3.9193827998,1.2824518195
ecoli_00206,6.4651211446,1.6897983855
ecoli_00207,-0.1844477853,0.5667240005
ecoli_00208,0.7637747236,0.47487076650000004
ecoli_00209,5.1607696786,0.7212957745
ecoli_00210,5.018817307,0.7985534405
ecoli_00211,-1.8007960682,-0.1624804165
ecoli_00212,-2.4949036585,-0.16072864150000002
ecoli_00213,3.2218779036,0.7732569665
ecoli_00214,2.124424201,0.8706142305000001
ecoli_00215,-0.0117957002,0.0904018275
ecoli_00216,0.2169469782,0.07067158750000001
ecoli_00217,3.5164743288,0.8468115495
ecoli_00218,3.640035648,1.0371667175
ecoli_00219,2.3221933627,0.1551985165
ecoli_00220,2.8126402710000002,0.2612386195
ecoli_00221,-2.8857539093,-0.22314194950000002
ecoli_00222,-4.6053706079,-0.4702757265
ecoli_00223,0.9083963517,0.46440828850000004
ecoli_00224,0.32532554150000004,0.2945014865
ecoli_00225,3.3589278277,0.8779873095
ecoli_00226,2.0485043966,0.7393764735
ecoli_00227,-2.763103023,-0.22245717550000002
ecoli_00228,-1.5505272255,-0.0353967495
ecoli_00229,-2.0928072632,0.7113875855
ecoli_00230,-1.5766729860000002,0.5942760135
ecoli_00231,-4.1831812989,0.5811847715
ecoli_00232,-4.4676003935,0.4354840185
ecoli_00233,-1.3695651549,0.40046440250000004
ecoli_00234,-1.8267468048,0.2223255705
ecoli_00235,1.7599221713,1.1907886685
ecoli_00236,1.8335865563,1.3902241915
ecoli_00237,-7.5945018149,-0.6984725725
ecoli_00238,-7.519526843,-0.6216534885
ecoli_00239,-7.8980082469,-0.7241060875
ecoli_00240,-8.1719252273,-0.7588548975
ecoli_00241,-2.6918964532,-0.7624092985
ecoli_00242,-15.2240627833,-2.5247343665
ecoli_00243,-13.7317859129,-2.6254183175
ecoli_00244,-16.6924469985,-3.2007966515
ecoli_00245,-14.1677142735,-3.6088553385
ecoli_00246,-11.1015005086,-2.1381204855
ecoli_00247,-11.3500476973,-2.1636230915
ecoli_00248,-15.3015367253,-2.9189051295
ecoli_00249,-0.303420497,-0.6759124855
ecoli_00250,-1.2726130284,-1.2943004905
ecoli_00251,-0.7979184864000001,-1.1333685825
ecoli_00252,-2.2800252176,-1.4114338925
ecoli_00253,-8.5398689067,-1.7964047075
ecoli_00254,-9.4256178353,-1.3343431365
ecoli_00255,-7.9833023197,-2.0021755575
ecoli_00256,-7.3538644104,-1.8295724945
ecoli_00257,-13.5072052214,-2.4582644025000002
ecoli_00258,-13.513717851700001,-2.7993066385
ecoli_00259,11.2097746002,1.3234171565000001
ecoli_00260,9.584256016,0.9217125205000001
ecoli_00261,-2.1388256712000002,-0.5743875255
ecoli_00262,-2.9761263893,-0.3904157375
ecoli_00263,2.9589887498,0.7976262955000001
ecoli_00264,3.5505592191,0.6350549485
ecoli_00265,7.0790532755,0.9462921125
ecoli_00266,6.8324297339,0.8296804475
ecoli_00267,-10.6717691819,-1.6532818525000001
ecoli_00268,-10.9317134871,-1.5549126755
ecoli_00269,-11.7003645122,-0.9148278185000001
ecoli_00270,-12.0667915781,-1.0554260145
ecoli_00271,-13.2197215791,-1.8311730245
ecoli_00272,-13.2279281181,-2.0313747315
ecoli_00273,-4.4549341311,-0.2365744365
ecoli_00274,-4.9492465612,-0.2080952475
ecoli_00275,-0.5409468384,0.6232716375
ecoli_00276,-0.5283417828,0.6814589805
ecoli_00277,-6.7042671487,-1.3383443145
ecoli_00278,-7.9464905867,-1.7073409394999999
ecoli_00279,5.5919125777000005,0.8239774805000001
ecoli_00280,3.4439287388,0.3530768395
ecoli_00281,-9.009121457,-3.4045219585
ecoli_00282,-9.606712478,-2.5408321125
ecoli_00283,-7.4404988828,-2.4634371655000002
ecoli_00284,-7.2138820572,-2.3430090945
ecoli_00285,-13.3172120059,-2.5977299685
ecoli_00286,-13.92762211,-2.4144484425
ecoli_00287,-3.6924987569,-0.3398890935
ecoli_00288,-4.410341491,-0.5550009745
ecoli_00289,-11.2160143308,-1.6773367614999999
ecoli_00290,-10.0968709353,-1.5457851535
ecoli_00291,-2.0348370911,-0.030569382500000002
ecoli_00292,-1.3015032391,0.2102494235
ecoli_00293,3.3312435807,1.0049575165
ecoli_00294,3.1514453105999998,0.7656772155
ecoli_00295,-12.9159522785,-3.1584375015
ecoli_00296,-12.4305044118,-3.0311061725
ecoli_00297,2.7187245264,0.8257871095
ecoli_00298,2.7049469151,0.8404219115
ecoli_00299,-12.4558941831,-2.6943264825
ecoli_00300,-12.1954770013,-2.5546141815
ecoli_00301,-14.8283771173,-3.3907812855
ecoli_00302,-13.9117163814,-2.5651576625
ecoli_00303,2.3730013341,0.5069120205000001
ecoli_00304,1.9468712107,0.3972339755
ecoli_00305,-3.0129877423,-0.3103754655
ecoli_00306,-2.9878766729,-0.5030668555
ecoli_00307,-3.3053201179,-0.0625268975
ecoli_00308,-2.9229340128,-0.21366946050000002
ecoli_00309,-1.7481828491,0.1083524595
ecoli_00310,-1.4076366675,0.0130464585
ecoli_00311,-9.223053067,-0.9155298515
ecoli_00312,-6.6846260143,-0.1402682435
ecoli_00313,2.0162766299,0.2173478715
ecoli_00314,1.9867873298,0.3712992335
ecoli_00315,-3.8500887859,-0.4354938605
ecoli_00316,-3.4603880925,-0.3101468505
ecoli_00317,1.8063986196,0.25793786550000003
ecoli_00318,1.9804607770000002,0.1243607585
ecoli_00319,-13.1128934898,-2.0091461145
ecoli_00320,-12.5649911406,-2.1378836415
ecoli_00321,-9.9971165223,-0.5243469175000001
ecoli_00322,-9.8098423394,-0.4873598785
ecoli_00323,-7.2482853476,-2.2019184855
ecoli_00324,-6.6758678795,-1.9782261825
ecoli_00325,-1.7059322210999999,-1.2630418005
ecoli_00326,-0.5798843307,-0.5647255485
ecoli_00327,-10.7478021283,-1.5674874755000001
ecoli_00328,-10.3470488761,-1.6419698805
ecoli_00329,-8.2116531567,-0.9542591845
ecoli_00330,-7.6161400609,-1.0239043545
ecoli_00331,-6.8967459044,-0.2087909385
ecoli_00332,-6.5476438428,-0.4666404985
ecoli_00333,-8.5996202315,-0.4040261395
ecoli_00334,-10.1773800449,-1.4946212085
ecoli_00335,-11.1715836197,-2.4047770435
ecoli_00336,-10.796724962,-2.1639725495
ecoli_00337,-0.8295289611000001,-0.6526674225
ecoli_00338,-0.9115979332,-0.6526529945
ecoli_00339,-10.5780913975,-1.6291993305
ecoli_00340,-8.6128798484,-0.7954169875
ecoli_00341,-11.0581842014,-1.9723728605000002
ecoli_00342,-11.129766244,-2.1519356455
ecoli_00343,-4.3286189042,-0.3012293775
ecoli_00344,-4.2567361965,-0.26157538550000003
ecoli_00345,-6.3930351765,-0.5587236515
ecoli_00346,-5.725257474,-0.6518127225
ecoli_00347,-1.8837753772,-0.1543816975
ecoli_00348,-1.4329007691,-0.1050935425
ecoli_00349,-9.7669078405,-0.7090673635
ecoli_00350,-10.32483337,-0.7048534715
ecoli_00351,-10.0215620935,-0.39289340850000004
ecoli_00352,-13.6720338608,-1.4875947045
ecoli_00353,-9.6297638974,-0.6791849755
ecoli_00354,-10.6542831395,-1.0084784055
ecoli_00355,-8.4275450825,-1.0348139375
ecoli_00356,-8.5749969213,-0.9523703495
ecoli_00357,-13.0606511509,-1.2434492685
ecoli_00358,-12.2777922844,-1.0285970265
ecoli_00359,-10.0275099546,-1.6844179355
ecoli_00360,-10.2872009002,-1.6786213785
ecoli_00361,-13.4305446599,-2.3910121185
ecoli_00362,-12.9634912669,-2.0417512255
ecoli_00363,2.8416918751,1.7543605494999999
ecoli_00364,1.6298159728,1.2785649095
ecoli_00365,-13.7469077413,-2.5542012015
ecoli_00366,-15.3931210671,-3.0858233295
ecoli_00367,-12.2436626958,-2.8222592505
ecoli_00368,-12.3678807184,-3.5607856985
ecoli_00369,0.4067432428,1.1793834155
ecoli_00370,0.8436197040000001,1.2867231865
ecoli_00371,-14.8122914869,-3.1512241415
ecoli_00372,-14.647146788,-3.2363759945
ecoli_00373,-12.9122952899,-3.8070951395
ecoli_00374,-13.1932300675,-3.9466018225
ecoli_00375,-4.9502006189,0.2829123965
ecoli_00376,-5.3173080823,-0.10773344850000001
ecoli_00377,-13.720914685,-3.3159992445
ecoli_00378,-14.0499515056,-3.3844024245
ecoli_00379,-15.1021091301,-3.8432497475
ecoli_00380,-15.4560058857,-3.6479587465
ecoli_00381,-2.2528207645,0.8842419225
ecoli_00382,-2.2180665407,0.6343994645000001
ecoli_00383,-18.0623363612,-3.3793965905
ecoli_00384,-17.5815375614,-3.4699665395
ecoli_00385,-16.1423197761,-4.5628209695
ecoli_00386,-15.8088316539,-4.1191546185
ecoli_00387,-2.5470730505,-0.34966792550000003
ecoli_00388,-1.9241681568,-0.0607847225
ecoli_00389,-17.7223893329,-2.9914089544999998
ecoli_00390,-18.4678842771,-2.5756930475
ecoli_00391,-15.151897822,-5.0575483215
ecoli_00392,-15.5069460245,-4.7357063595
ecoli_00393,-10.633943053,-3.1895458985
ecoli_00394,-10.4792213596,-3.3054740445
ecoli_00395,-15.2702501931,-3.4337416445
ecoli_00396,-15.1339814187,-3.2745179155
ecoli_00397,-9.6545309588,-0.5305872175
ecoli_00398,-10.6728229833,-0.4867010205
ecoli_00399,-8.037108269,-3.7457702775
ecoli_00400,-8.8134957893,-4.0328969245
ecoli_00401,-15.9825318316,-4.3788427895
ecoli_00402,-16.2344520915,-3.5039167985
ecoli_00403,-8.1558717326,-0.8758368695000001
ecoli_00404,-10.9813313799,-0.9826416715
ecoli_00405,-6.2214148514,-3.8160395215
ecoli_00406,-6.4067203619,-3.9454299775
ecoli_00407,-14.9163995862,-2.8256511295
ecoli_00408,-15.1717322918,-3.2561358645
ecoli_00409,-7.8819024277,-0.5712976345
ecoli_00410,-8.6903804486,-1.0045334675
ecoli_00411,-13.1153909809,-3.3093762655
ecoli_00412,-12.86913972,-3.4860268235
ecoli_00413,-15.6280148189,-3.1051855765
ecoli_00414,-15.2868659912,-3.4675098265
ecoli_00415,-12.1642217293,-1.1078724515
ecoli_00416,-12.5785825183,-1.0550464685
ecoli_00417,-16.2681944415,-4.1969542575
ecoli_00418,-15.7284528336,-4.3973154865
ecoli_00419,-17.4597301606,-3.3716601805
ecoli_00420,-17.079975793,-3.4195799005
ecoli_00421,-15.6828199924,-1.2553401045
ecoli_00422,-15.4546404172,-1.3719617085
ecoli_00423,-8.3192339392,-3.2431795115
ecoli_00424,-8.552833398,-3.5326167705
ecoli_00425,-12.2783390406,-4.5219660274999995
ecoli_00426,-12.273133041,-4.3923327985
ecoli_00427,-15.0119241341,-3.0364218265
ecoli_00428,-15.4080117739,-2.8494140475
ecoli_00429,-16.704966145,-4.0004709705
ecoli_00430,-16.4096724904,-3.6069468645000002
ecoli_00431,-12.901113026099999,-1.1560178965
ecoli_00432,-13.245758297,-1.0773072675
ecoli_00433,-15.6394870531,-2.1676840635
ecoli_00434,-14.7243407641,-1.8858286725000002
ecoli_00435,-8.1892494743,-3.6257398265000003
ecoli_00436,-7.9326421505999996,-3.5884852235
ecoli_00437,-15.8996422408,-3.5244829175
ecoli_00438,-15.2307183887,-3.4908774675
ecoli_00439,-11.0013787849,-0.6056026815000001
ecoli_00440,-10.8859451988,-0.5445547695
ecoli_00441,-8.6269993588,-3.2420302425
ecoli_00442,-8.8374310967,-3.2604507415
ecoli_00443,-15.0933898462,-2.6962256495
ecoli_00444,-15.3012420329,-2.8921934445
ecoli_00445,-12.2965877783,-0.9720535895
ecoli_00446,-12.83588241,-0.8321317615
ecoli_00447,-8.851374204,-0.1733012495
ecoli_00448,-7.8554068485,0.0080658555
ecoli_00449,2.8018581413,1.7486966695000001
ecoli_00450,3.1228560005,1.2253895365
ecoli_00451,-3.0787762282,-0.09934461950000001
ecoli_00452,-3.0592885074,-0.1854348985
ecoli_00453,6.7107883439,2.5072357755
ecoli_00454,3.7565584456,1.3744828414999999
ecoli_00455,1.2511013399,-0.3470313385
ecoli_00456,1.0750003816,-0.7542443355
ecoli_00457,1.9430182165,0.4332007825
ecoli_00458,2.0489284537,0.42467531750000004
ecoli_00459,1.7792613523,0.6398247395000001
ecoli_00460,1.242366835,0.5155610635
ecoli_00461,3.5802262638,0.1966753785
ecoli_00462,2.6125431597,-0.5974463375
ecoli_00463,13.6158839112,1.8959563325
ecoli_00464,13.772027838,2.0164184855
ecoli_00465,15.4107286085,1.0881353935
ecoli_00466,15.8614969149,1.0361143475
ecoli_00467,-6.8663161001,-1.3436558275000001
ecoli_00468,-6.5438052233,-1.5047655885
ecoli_00469,15.4821635197,1.0435207435
ecoli_00470,15.1773264868,1.0310643945
ecoli_00471,3.4636578317,0.8470205245
ecoli_00472,3.5494255718,0.8895346105
ecoli_00473,13.2944448497,2.1972176255
ecoli_00474,13.3296097756,2.0450202455
ecoli_00475,-1.4691798286,-0.8860245095
ecoli_00476,-1.6669134136000001,-0.9309158215000001
ecoli_00477,-7.9251725527,-2.2985920215
ecoli_00478,-6.931798086,-1.8671731464999999
ecoli_00479,11.7194838826,2.2383458055
ecoli_00480,11.6280066102,2.2182433455
ecoli_00481,1.7778717915,0.8265091595
ecoli_00482,1.8917250364,0.8443563265
ecoli_00483,2.8291265,1.2144832495
ecoli_00484,2.6062239968,1.2570219795
ecoli_00485,-11.1669314271,-2.7592120675
ecoli_00486,-11.125358824,-2.6648017575000003
ecoli_00487,-13.2589066007,0.2475501635
ecoli_00488,-12.8748792642,0.34273692650000004
ecoli_00489,-10.3930922658,1.4882584545
ecoli_00490,-9.1863429116,1.4789908015
ecoli_00491,-12.2010829964,-2.0295518925
ecoli_00492,-12.2974086628,-2.0711293385
ecoli_00493,-6.8901962886,-0.1757048515
ecoli_00494,-6.9607585449,-0.2636573605
ecoli_00495,11.235527908,2.1757531355
ecoli_00496,11.163664943,2.2346417055
ecoli_00497,14.3860463427,0.7337686835
ecoli_00498,14.2080978198,0.6954903135
ecoli_00499,1.1928965204,0.4690406715
ecoli_00500,1.0386754111,0.43900201050000004
ecoli_00501,-7.0023341698,-2.2657093015
ecoli_00502,-7.4073696101,-2.2505761425
ecoli_00503,-2.1164775678,-0.00042488350000000004
ecoli_00504,-2.0877050329,-0.1263777595
ecoli_00505,9.1137393057,2.2861446555000002
ecoli_00506,9.144828581,2.3433017555
ecoli_00507,0.21387775450000002,-0.7060793375000001
ecoli_00508,0.9233480413,0.0040633085000000005
ecoli_00509,0.28310922250000004,-0.29241982050000004
ecoli_00510,0.28757616750000004,-0.1139734765
ecoli_00511,-12.1063517977,-3.0886637055
ecoli_00512,-12.6590742623,-3.5597368545
ecoli_00513,13.9210319284,0.3395115725
ecoli_00514,13.9693571649,0.37265735450000004
ecoli_00515,-11.253060204,-2.1483377385
ecoli_00516,-11.2163581472,-2.2895358315
ecoli_00517,-18.152609214800002,-2.2455441475
ecoli_00518,-18.4125387734,-1.8727066085000001
ecoli_00519,-17.2461279891,-1.2025628515
ecoli_00520,-17.8447861867,-1.5062737605
ecoli_00521,-17.1272385662,-1.5493173355
ecoli_00522,-16.6147999639,-1.1862457255
ecoli_00523,-17.7072417115,-1.1853379795
ecoli_00524,-8.9884345654,-1.1964541345
ecoli_00525,-8.588954620500001,-1.0649069425
ecoli_00526,-8.9002828303,-0.9070409075
ecoli_00527,-9.1621199109,-0.9347984775
ecoli_00528,-13.7437659456,-1.3658654385
ecoli_00529,-14.7561013182,-1.4859137685000001
ecoli_00530,-17.4174281556,-1.6589892695000001
ecoli_00531,-16.2209238029,-2.1241408185
ecoli_00532,-17.4193516852,-3.9744495785
ecoli_00533,-17.0327526871,-3.2141905515
ecoli_00534,-17.502491765,-3.6454655985
ecoli_00535,-17.3364482466,-3.0571738275
ecoli_00536,-16.7982759998,-3.2228566785
ecoli_00537,-15.7891737717,-2.5558169815
ecoli_00538,-16.8730034034,-3.7229127925
ecoli_00539,-16.4568973459,-3.7395608435
ecoli_00540,-12.9424904225,-2.4181037995
ecoli_00541,-12.2672206085,-2.1586707725
ecoli_00542,-13.4163722135,-2.4567430605
ecoli_00543,-13.4792287676,-2.5681765655
ecoli_00544,-14.6384051374,-3.3979328245
ecoli_00545,-14.3730648817,-3.1404112915
ecoli_00546,-17.6711265409,-3.2353385755
ecoli_00547,-18.2344705116,-3.4904977335
ecoli_00548,-18.2766677522,-3.5289851855
ecoli_00549,-18.2363835627,-3.8991743545
ecoli_00550,-18.0011433207,-3.8388878245
ecoli_00551,-17.8429783729,-3.6982202705000002
ecoli_00552,-16.3919585859,-3.5784519905
ecoli_00553,-17.6405542477,-3.5249896035
ecoli_00554,-16.8228589747,-2.9799758935
ecoli_00555,-16.3673230319,-3.4182113965
ecoli_00556,-16.6664216253,-3.3526316975
ecoli_00557,-16.2623358834,-2.6737957455
ecoli_00558,-16.9918860548,-2.3424051565
ecoli_00559,-17.9536562189,-2.4473434335
ecoli_00560,-18.526705764,-2.5960978895
ecoli_00561,-18.7493868114,-2.4723414025
ecoli_00562,-13.0599502666,-1.5289186055
ecoli_00563,-11.742745556300001,-1.9671963745
ecoli_00564,-15.7191766973,-2.3886745925
ecoli_00565,-15.4173344479,-2.3452510405
ecoli_00566,-16.3270994076,-2.9117031725
ecoli_00567,-16.4411131973,-2.6304047225
ecoli_00568,-16.3726117861,-2.6228781684999998
ecoli_00569,-16.1692567798,-2.8292612894999998
ecoli_00570,-16.6354300955,-2.9949753125000003
ecoli_00571,-16.5862148031,-3.1344185115
ecoli_00572,-16.4841192563,-2.9711011155
ecoli_00573,-16.979594511,-3.5873388625000002
ecoli_00574,-13.700177764,-3.3456958764999998
ecoli_00575,-14.088758276,-3.5571164655
ecoli_00576,-16.9729772703,-4.5613197255
ecoli_00577,-17.4528013084,-5.1711501915
ecoli_00578,-17.216371924,-4.8918322815
ecoli_00579,-19.3254618048,-5.5718622085
ecoli_00580,-16.5346410631,-3.3025953445000003
ecoli_00581,-15.2460273156,-3.5582142915
ecoli_00582,-14.0963996107,-1.4627465775
ecoli_00583,-13.5901750491,-1.7638707045
ecoli_00584,-16.6280077952,-1.8873082895
ecoli_00585,-16.4712671809,-1.6278747955
ecoli_00586,-17.021428223,-2.9277499885
ecoli_00587,-17.2656739909,-3.4649916625
ecoli_00588,-16.6596971251,-3.2420310665
ecoli_00589,-16.4579820168,-3.2524732935
ecoli_00590,-13.0621157872,-0.1540184375
ecoli_00591,-12.8077999771,-0.1278749335
ecoli_00592,-16.4673890463,-3.3681964765
ecoli_00593,-16.7008206955,-3.3037605515
ecoli_00594,-17.1116666084,-3.4287406115
ecoli_00595,-17.5089515063,-3.4470534114999998
ecoli_00596,-17.4766024727,-3.6226578985
