,A,Thi-box
M+G_1,-2.4701687997,-0.4867666666666679
M+G_2,-1.5530541627,-0.7175666666666682
M+G_3,-0.8449762162000001,-0.31186666666666696
Glu_1,-1.9698391726,-0.12156666666666816
Glu_2,-1.8026568965,-0.2392666666666674
Glu_3,-0.8814261599000001,-0.0005666666666677145
Fru_1,1.3064655256,-0.12186666666666746
Fru_2,-1.1825410683,-0.7112666666666669
Fru_3,-1.2195933576,-0.5527666666666669
Mal_1,-0.9246644895,-1.0733666666666668
Mal_2,-1.4745852892,-1.1805666666666674
Mal_3,-1.5482044822,-0.5074666666666676
G+S_2,-7.2318338674,-1.1454666666666675
G+S_3,-6.0749926172,-0.8391666666666673
Pyr_1,-6.2599340291,-1.135366666666668
Pyr_2,-6.6010479518,-0.6584666666666674
Pyr_3,-6.229911101,-0.8652666666666669
Gly_1,0.0774794659,-0.7317666666666671
Gly_2,0.9984903264,0.12643333333333295
Gly_3,-2.6768516726,-1.5660666666666678
Glucon_1,-4.9572040786,-1.2145666666666681
Glucon_2,-4.3998246428,-0.46336666666666737
Glucon_3,-5.4517407555,-2.5353666666666683
aero_1,-27.1558876679,-3.4664666666666673
aero_2,-26.446594665,-4.7140666666666675
aero_3,-28.523318511,-3.8382666666666676
nit_1,-30.9660305708,-3.4724666666666675
nit_2,-31.5460465598,-3.5257666666666676
nit_3,-30.8931775927,-3.8821666666666683
ferm_1,-32.0705411445,-3.972766666666667
ferm_2,-31.3955110066,-4.521266666666667
ferm_3,-31.099129141,-3.425766666666668
T-5.40H_1,-4.5417095905,0.1360333333333319
T-4.40H_1,-4.1132504963,-0.005866666666667797
T-3.40H_1,-3.8895501356,-0.1972666666666676
T-2.40H_1,-4.1922072723,-0.6691666666666674
T-1.40H_1,-3.3746435583,-0.660166666666667
T-1.10H_1,-2.9774735891,-0.8317666666666668
T-0.40H_1,-3.300292867,-0.7620666666666676
T0.0H_1,-4.3149219846,-1.205866666666667
T0.30H_1,-8.4768476337,-1.0001666666666669
T1.0H_1,-9.1301136642,-1.4393666666666682
T1.30H_1,-14.2380850179,-2.2075666666666667
T2.0H_1,-18.5845796266,-3.5947666666666667
T2.30H_1,-20.9421091347,-2.995866666666668
T3.0H_1,-23.8707325288,-3.6343666666666667
T3.30H_1,-25.1491402803,-3.137266666666667
T4.0H_1,-25.2230020959,-3.3363666666666685
T5.0H_1,-24.8517815726,-3.904466666666668
HPh_1,1.2722279621,0.10553333333333192
HPh_2,2.6327185183,-0.2976666666666681
HPh_3,2.1059901015,0.05143333333333189
LPh_1,3.5939455595,-0.017566666666667174
LPh_2,5.0682325069,0.19913333333333227
LPh_3,4.2162239743,-0.09306666666666707
LPhT_1,0.0801512742,-0.4790666666666681
LPhT_2,0.3136954997,-0.37026666666666763
LPhT_3,1.1559804131,-0.14176666666666726
SMMPr_1,-4.3487375624,-1.049266666666668
SMMPr_2,-4.3377124636,-0.7550666666666679
SMMPr_3,-4.5171283875,-0.7202666666666673
HiTm_1,1.7831095808000001,-0.432266666666667
HiTm_2,-0.0622855259,-0.4591666666666683
HiTm_3,0.8249096953,-0.38486666666666736
LoTm_1,-5.6232831164,-0.303466666666667
LoTm_2,-6.5324128452,-0.5670666666666673
LoTm_3,-6.0935180293,-0.6426666666666669
HiOs_1,-0.7357083902,0.5633333333333326
HiOs_2,-1.6127939900000001,0.24443333333333328
HiOs_3,-1.0640783685,0.7743333333333329
BMM_1,2.7508368472,0.29093333333333327
BMM_2,2.4249080527,0.24683333333333302
BMM_3,2.4119735774,-0.9136666666666677
Heat_1,-2.1997176004,-0.4076666666666675
Heat_2,-1.4320577782,-0.756966666666667
Heat_3,-3.5032626242,-2.024166666666668
Cold_1,-1.3968838983,-0.4403666666666677
Cold_2,-1.9394120581,-0.990966666666667
Cold_3,-4.0730446634,-2.5234666666666676
Etha_1,-12.0917906807,-2.1866666666666674
Etha_2,-13.2857783914,-2.8265666666666682
Etha_3,-11.4919334647,-2.205566666666668
SMM_1,-0.1427712031,-0.14146666666666796
SMM_2,-0.10281093420000001,-0.1762666666666668
SMM_3,0.2370502669,-0.10306666666666686
Salt_1,-4.3996239844,-1.472666666666667
Salt_2,-4.4469362678,-1.8410666666666682
Salt_3,-3.7996511912,-1.5005666666666677
Mt0_1,-25.4722063536,-4.220066666666668
Mt0_3,-23.550761208,-5.346466666666668
M0t45_1,-24.1176366221,-4.381866666666667
M0t45_2,-24.0814675536,-4.637566666666668
M0t45_3,-24.5061628431,-4.9899666666666675
M0t90_1,-25.8087399065,-4.764166666666668
M0t90_2,-27.594592883,-3.636966666666668
M0t90_3,-28.5522129155,-4.1881666666666675
M40t45_1,-24.4245779139,-5.668666666666667
M40t45_2,-26.2321520465,-4.256066666666667
M40t45_3,-25.1465178406,-5.042966666666667
M40t90_1,-26.6726621059,-4.480666666666668
M40t90_2,-27.8375171294,-3.809166666666668
M40t90_3,-29.1681952462,-3.5669666666666675
dia0_1,-24.6333650685,-4.7224666666666675
dia0_2,-24.7382653553,-4.590766666666667
dia0_3,-23.7800064796,-4.356766666666667
dia5_1,-24.6266446008,-4.698666666666668
dia5_2,-25.9902367376,-4.501466666666667
dia5_3,-26.1997599375,-4.658066666666668
dia15_1,-23.8272389552,-5.255366666666667
dia15_2,-24.0759502531,-4.369966666666668
dia15_3,-25.2391069971,-4.440566666666667
Diami_1,-24.0472251615,-4.388466666666668
Diami_2,-24.255194967,-4.765766666666668
Diami_3,-23.8379792281,-5.026366666666668
Paraq_1,-23.755915905,-5.276066666666667
Paraq_2,-22.3039341545,-5.027966666666668
Paraq_3,-23.437466456,-7.217666666666668
H2O2_1,-22.8235489895,-6.875766666666667
H2O2_2,-22.0728475321,-6.2666666666666675
H2O2_3,-21.9108536264,-6.638566666666668
Oxctl_1,-22.0049091614,-5.995666666666667
Oxctl_2,-21.8350824185,-5.777766666666668
Oxctl_3,-21.4963661381,-5.120366666666667
GM-0.1_1,-1.904828836,-0.9347666666666683
GM-0.2_1,-1.7779157884,-0.8981666666666683
GM+5_1,-2.0319824835,-0.7667666666666673
GM+15_1,-1.1083501269,-0.5916666666666668
GM+25_1,0.6480715552,0.8027333333333324
GM+45_1,-0.1662853659,0.14463333333333317
GM+60_1,0.2836960137,0.05803333333333249
GM+90_1,-0.4265439704,0.039333333333331666
GM+120_1,-4.0271598765,-2.031366666666667
GM+150_1,-3.1451635053,-0.8424666666666667
GM-0.1_2,0.2751850114,0.42653333333333165
GM-0.2_2,-1.0118198256,0.19313333333333205
GM+5_2,-0.6744355546,-0.2810666666666677
GM+10_2,0.14378553530000002,-0.2909666666666677
GM+15_2,-0.5933840784000001,-0.23056666666666814
GM+25_2,0.6173313036,0.7661333333333324
GM+45_2,0.15484845660000002,-0.5487666666666673
GM+60_2,-0.4002287148,-0.7700666666666667
GM+90_2,-1.0893617557,-0.02896666666666725
GM+150_2,-1.6750392139999999,-0.5163666666666682
GM-0.1_3,-1.2658823985,0.3266333333333318
GM-0.2_3,-0.611602706,0.46693333333333165
GM+5_3,-2.0227501497,-0.0019666666666680044
GM+10_3,-1.9891417987,-1.0396666666666672
GM+15_3,-1.6064793385,-0.46256666666666746
GM+25_3,-1.0442080366,-0.429566666666668
GM+45_3,-2.6402775131,-1.517666666666667
GM+60_3,-1.9077858705000001,-0.7893666666666679
GM+90_3,-1.4247660054,0.18283333333333296
GM+120_3,-4.4193751923,-0.9242666666666679
GM+150_3,-4.315671639,-1.8029666666666682
MG-0.1_1,-0.9233414084,-0.6040666666666681
MG+5_1,0.382132925,-0.2232666666666674
MG+10_1,1.86429732,0.43393333333333217
MG+15_1,1.1336615912,-0.20256666666666767
MG+25_1,1.1289213388000001,0.0845333333333329
MG+45_1,0.2128635382,-0.49826666666666775
MG+120_1,-3.6332416954999998,-1.206266666666668
MG+150_1,-3.1484086129,-0.6847666666666683
MG-0.1_2,-0.1508151519,-0.9757666666666669
MG-0.2_2,1.2308943424,-0.32516666666666794
MG+5_2,1.4137822453,-0.4997666666666678
MG+10_2,2.0693547661,-0.08926666666666705
MG+15_2,1.6887740264,0.9668333333333319
MG+25_2,0.6422860509,-0.5529666666666682
MG+45_2,0.13674228630000002,-1.0226666666666677
MG+60_2,0.3777030804,-0.5466666666666669
MG+90_2,0.46949510400000005,-0.8616666666666681
MG+120_2,-2.3054493312,0.18003333333333238
MG-0.1_3,1.5843553763,0.4263333333333321
MG-0.2_3,0.6817009975,-0.004066666666668439
MG+5_3,0.3368325961,-0.14476666666666738
MG+10_3,0.4278632216,-0.988266666666668
MG+15_3,2.4241116004,0.47103333333333275
MG+25_3,2.0708449905,0.3168333333333333
MG+45_3,1.9405745772,0.19943333333333157
MG+60_3,0.7009211291,-0.2182666666666666
MG+90_3,1.2126611834,0.3672333333333331
MG+120_3,-1.9378357284,-0.3344666666666676
MG+150_3,-2.5894554138,0.03823333333333245
