,A,TrpR
abx_mega__flavo_dmso__1,2.7182252811,-0.6479707324
abx_mega__zeocin_h2o__1,-0.2503318815,-0.0586403657
abx_mega__nor_naoh__3,0.27316667910000003,0.137186533
abx_mega__rach_dmso__2,5.7551025698,0.0653129258
abx_mega__thio_dmso__2,0.9691922827,-0.4302492578
abx_mega__amyc-d_dmso__3,-1.2992325666,0.2065889041
abx_mega__rif_dmso__2,0.0009272842000000001,0.38651493680000004
abx_mega__amyc-d_dmso__4,-1.0153836567,0.0948271755
abx_mega__teix_dmso__3,0.5372656238,0.0017588675
abx_mega__valin_dmso__1,0.4173607997,0.1885843418
abx_mega__teix_dmso__4,-0.15001190550000001,0.0619993074
abx_mega__ethanol-10__1,0.0090397389,-0.0370015037
abx_mega__inh_h2o__1,1.1254056363,-0.019019845400000002
abx_mega__rif_dmso__3,-1.2147425425,-0.8442758391
abx_mega__van_dmso__3,3.232583653,-0.3708009486
abx_mega__doxo_dmso__1,-0.3061661017,-1.1333348467
abx_mega__tmp_dmso__1,-1.0144283217,-0.1393440457
abx_mega__ethanol-10__2,1.4877047095,-0.3065648414
abx_mega__tmp_dmso__2,-0.5239538359,-0.0725217972
abx_mega__amyc-d_dmso__5,-1.3481610351,0.2408151556
abx_mega__novo_h2o__4,-0.9127199148,-0.7494511761
abx_mega__cro_h2o__2,4.3055210039,0.1335948655
abx_mega__cro_h2o__3,3.4474004747,-0.0935825446
abx_mega__gen_h2o__2,3.224588515,-0.4129081402
abx_mega__phos_h2o__4,5.4621993385,-0.5310973224000001
abx_mega__metro_dmso__2,-0.2105635409,0.4907439609
abx_mega__ery_h2o__2,1.8240351825,0.36836946270000004
abx_mega__sacet_h2o__1,2.7147546566000003,-1.1940726319000001
abx_mega__nal_naoh__5,-0.1988208928,0.0388801558
abx_mega__bacit_h2o__4,2.0957043672,0.1979635951
abx_mega__cip_naoh__3,2.5964004326,-0.3041773289
abx_mega__ethanol-8__1,2.0909469162,0.1707640293
abx_mega__h2o-8a__1,2.7012301676,-0.2671088571
abx_mega__ery_h2o__3,0.3211252119,-0.9273013072
abx_mega__flavo_dmso__2,4.9802968412,-0.2357434169
abx_mega__rif_dmso__4,-0.7735031572000001,-0.2897605337
abx_mega__novo_h2o__5,-3.7742029597,-1.1422303367
abx_mega__teix_dmso__5,0.4210256962,-0.010356737100000001
abx_mega__naoh-2__1,4.0689581657,-0.8569483794
abx_mega__novo_h2o__6,-3.2874582533,-1.1087102839
abx_mega__ctx_h2o__3,4.8781509042,0.3107989691
abx_mega__rach_dmso__3,4.5042938349,-0.1302100772
abx_mega__valin_dmso__2,1.5787222248,0.41351805
abx_mega__amyc-d_dmso__6,-0.2796410929,0.5228094435
abx_mega__dox_dmso__2,-0.282208703,-0.13165410700000002
abx_mega__teix_dmso__6,0.9282999089,0.0150529553
abx_mega__naoh-6__2,0.5253047774,0.2926953988
abx_mega__inh_h2o__2,3.3744043425,0.5092452342
abx_mega__chl_h2o__3,3.412910272,-0.9601605339
abx_mega__nal_naoh__6,-0.4732426717,0.1736220534
abx_mega__chl_dmso__2,2.8414582433,-0.1394004851
abx_mega__rach_dmso__4,4.8265192565,-0.1870301499
abx_mega__teix_dmso__7,0.8821431525000001,-0.012534569700000001
abx_mega__ceru_ethanol__1,1.4882192808,0.32316603790000004
abx_mega__dmso-7__1,3.6472972518,0.2588181455
abx_mega__naoh-6__3,0.4475532249,0.2963067712
abx_mega__phos_ethanol__2,0.5159896890000001,0.1172285342
abx_mega__metro_dmso__3,-1.108213901,-0.0100815492
abx_mega__van_dmso__4,1.4724074248,-0.8464743401
abx_mega__h2o-10__1,1.7624195027,-0.0950389192
abx_mega__h2o-10__2,1.0168274231,-0.20379354700000002
abx_mega__dmso-6__3,1.2454027404,0.0007386336
abx_mega__mem_dmso__1,3.9139731556,-0.1123559819
abx_mega__ethanol-8__2,0.1355981222,-0.0944107388
abx_mega__chl_h2o__4,3.2234985,-1.0109450627
abx_mega__van_h2o__1,1.6169107239,-0.529417911
abx_mega__dcs_h2o__1,1.1887559183,0.1555640232
abx_mega__rif_dmso__5,-0.3979923906,0.0392076019
abx_mega__dox_dmso__3,-0.08876382070000001,-0.0950704297
abx_mega__mem_dmso__2,2.7228861555,0.17124885920000002
abx_mega__lvx_dmso__2,2.7792372064,0.0765010156
abx_mega__tet_h2o__2,2.4908062885,-1.1265809135
abx_mega__phos_h2o__5,2.7075687525000003,-0.7578917899000001
abx_mega__monac_dmso__1,6.020600553,-0.5869941197
abx_mega__str_h2o__3,1.9654213891999999,-0.2124012046
abx_mega__zeocin_h2o__2,2.9567000636,0.3661977248
abx_mega__amyc-d_dmso__7,-0.42843456700000004,-0.095601294
abx_mega__fidax_dmso__1,-0.1531816275,0.1930533147
abx_mega__h2o-1a__1,0.4606677133,-0.2708677236
abx_mega__dox_dmso__4,-0.0561594434,-0.0108642145
abx_mega__lzd_dmso__2,0.9348422412,-0.3976094268
abx_mega__tet_h2o__3,-0.432423539,-1.4804837054
abx_mega__dmso-1__2,-0.7020853591,-0.41830291540000003
abx_mega__sxt_dmso__2,1.1426486006,0.4780057214
abx_mega__tric_ethanol__2,2.0128117268,-0.6255042498
abx_mega__teix_dmso__8,0.0399719818,0.0048662313
abx_mega__ramo_h2o__2,2.1074459592,-0.45683410420000004
abx_mega__inh_h2o__3,0.5819281243000001,0.0108147176
abx_mega__cst_h2o__3,0.6729747947,0.4293740098
abx_mega__dmso-9__1,3.4448462598000003,0.0966019271
abx_mega__ethanol-8__3,0.684569973,-0.0230223523
abx_mega__monac_dmso__2,4.1576024821,-1.3557137165
abx_mega__dmso-9__2,2.9270841367,0.0955915089
abx_mega__metro_dmso__4,-0.46145832880000004,-0.09346881700000001
abx_mega__ctx_h2o__4,5.566339235,-0.0479150657
abx_mega__zeocin_h2o__3,2.8604636071,0.7236558189000001
abx_mega__bacit_h2o__5,1.7258020648999999,0.24413965040000002
abx_mega__reta_dmso__1,0.5668934866,-1.1685209973
abx_mega__ery_h2o__4,3.2769810999,-0.6498090215
abx_mega__ceru_ethanol__2,4.4382903734,0.0949189102
abx_mega__fidax_dmso__2,0.2106471561,-0.021597536400000002
abx_mega__novo_dmso__1,-2.6863100727,-0.4499978518
abx_mega__naoh-6__4,0.1921106699,0.3063569906
abx_mega__amyc-d_dmso__8,0.0532709742,-0.15272793340000002
abx_mega__chl_dmso__3,2.8408920789,-0.4089571692
abx_mega__nal_naoh__7,2.7014604120000003,0.0281065443
abx_mega__teix_dmso__9,0.9491733871,-0.0867529831
abx_mega__ery_dmso__3,1.130161455,-1.5980482631
abx_mega__tmp_dmso__3,-1.0432002387,-0.3063174395
abx_mega__sxt_dmso__3,3.8435579402,-0.0581328357
abx_mega__polmyx_h2o__4,2.8141338583,-0.3656261449
abx_mega__mem_dmso__3,3.8229312826,0.12136514550000001
abx_mega__nal_naoh__8,3.3629539999,-1.2074351628
abx_mega__pen_h2o__3,0.0262538699,0.2556243265
abx_mega__van_dmso__5,2.5194996029,-0.9552309851
abx_mega__zeocin_h2o__4,3.6888376892,0.014718800700000001
abx_mega__h2o-6__2,0.2404763611,0.3056926533
abx_mega__tet_h2o__4,-0.2891625339,-1.3655575946
abx_mega__nor_naoh__4,1.4384196742,0.0086558254
abx_mega__cip_naoh__4,0.1011608638,0.1670025818
abx_mega__tmp_dmso__4,-0.9288387896,-0.17690725910000002
abx_mega__reta_dmso__2,1.8832142099,-1.2466541618
abx_mega__mem_dmso__4,5.2142864218,-0.15420947910000002
abx_mega__dox_dmso__5,1.2382560193,-0.9276087043000001
abx_mega__tmp_dmso__5,1.204328925,2.21487e-05
abx_mega__flavo_dmso__3,4.8425984829,-0.25967173660000004
abx_mega__tmp_dmso__6,7.9958345496,0.0734438504
abx_mega__ceru_ethanol__3,3.6807115980000003,-1.0271240136
abx_mega__teix_dmso__10,0.8114129537,0.0034341923
abx_mega__novo_h2o__7,-2.2624445226,-1.2247934757
abx_mega__fidax_dmso__3,1.5962207990000001,-0.1325874909
abx_mega__h2o-1a__2,-0.4672932708,0.1023243786
abx_mega__dcs_h2o__2,3.4940136452,0.138593087
abx_mega__cst_h2o__4,2.2006485403,0.013180061000000002
abx_mega__van_h2o__2,1.0796445186,0.0542437173
abx_mega__pen_h2o__4,1.0370520342,-0.2822428615
abx_mega__h2o-8b__2,1.4712409087,-0.19529312640000002
abx_mega__reta_dmso__3,0.8308525741,-1.7022735782
abx_mega__dmso-7__2,6.3592442227,-0.16031116980000001
abx_mega__rfp_h2o__2,0.5997831932000001,-1.0394038813
abx_mega__rif_dmso__6,-0.2401228134,-0.1593571449
abx_mega__sxt_dmso__4,3.827267581,-0.0662155063
abx_mega__cip_naoh__5,-0.8228135502,-0.1532569434
abx_mega__dmso-9__3,5.2141777967,0.4568350752
abx_mega__mem_dmso__5,3.1341782161,-0.31726038
abx_mega__tric_h2o__2,1.3704284046000001,0.3616158973
abx_mega__phos_h2o__6,0.5578748404,0.062479160400000004
abx_mega__h2o-7__2,3.8806712415,-0.3090068327
abx_mega__h2o-10__3,0.33532281820000004,-0.08891741930000001
abx_mega__h2o-8a__2,2.9909790674,-0.19748112750000002
abx_mega__thio_dmso__3,1.7930992006,-1.0287363788
abx_mega__lzd_dmso__3,0.8505460965,-0.8327823699
abx_mega__monac_dmso__3,2.6361955243,-0.8060881759
abx_mega__polmyx_h2o__5,2.4892545864,0.1794625889
abx_mega__naoh-6__5,1.1427972995,0.3335741573
abx_mega__teix_dmso__11,0.43768008880000003,0.1247092437
abx_mega__van_h2o__3,0.9420969261000001,-0.046743572500000004
abx_mega__teix_dmso__12,5.4772326642,-0.0005041759
abx_mega__dox_dmso__6,0.8502719856000001,-2.3316560564
abx_mega__teix_dmso__13,5.3970959496,-0.34731534680000004
abx_mega__h2o-7__3,3.5919160549,0.0447302796
abx_mega__str_h2o__4,1.6747298945,-1.8718155007
abx_mega__tec_h2o__3,6.5377243986,-0.1853306788
abx_mega__phos_h2o__7,0.4882140172,0.08753895540000001
abx_mega__chl_h2o__5,2.1614170946,-0.0938050554
abx_mega__polmyx_h2o__6,3.2944447911,-1.6964321662000001
abx_mega__teix_dmso__14,0.3978109784,-0.0016943089000000001
abx_mega__rif_dmso__7,0.6068096847000001,0.3298270022
abx_mega__ramo_h2o__3,3.3472786766000002,0.1015901074
abx_mega__fidax_dmso__4,2.2167886017,-0.27742669940000003
abx_mega__teix_dmso__15,0.8549713266000001,0.0464085417
abx_mega__thio_dmso__4,0.6728290366,-0.6133865126
abx_mega__rif_dmso__8,-0.42453371360000003,0.4461658907
abx_mega__reta_dmso__4,1.3705643023,-1.240522873
abx_mega__inh_h2o__4,3.0949279595,0.1990665241
abx_mega__novo_dmso__2,-2.2471036276,-0.8624407646000001
abx_mega__dcs_h2o__3,4.5100284217999995,0.43812664830000003
abx_mega__h2o-8b__3,3.0313755558,0.15551040800000002
abx_mega__valin_dmso__3,0.3641069451,-0.5171702413
abx_mega__h2o-2__1,3.4987991762,-0.8209300443
abx_mega__cro_h2o__4,0.9080130398,-0.13585790920000002
abx_mega__dcs_h2o__4,0.7793756757,0.0934972454
abx_mega__str_h2o__5,0.6131644417000001,-0.3046959836
abx_mega__h2o-8a__3,3.1063073607,-0.2991987045
abx_mega__dox_dmso__7,0.0812047884,-0.0691599775
abx_mega__doxo_dmso__2,-1.4989099879,-0.7136511531
abx_mega__teix_dmso__16,3.1539942230999998,-0.0800191344
abx_mega__rfp_h2o__3,1.3126665604,-0.9497025808
abx_mega__ethanol-10__3,0.47714861340000003,0.3323333318
abx_mega__naoh-2__2,2.1811441194,-1.0538000749
abx_mega__van_h2o__4,2.2414418925,-0.2990313746
abx_mega__sacet_h2o__2,3.6643942122,-0.8009668221
abx_mega__monac_dmso__4,4.0777359372,-0.8746376912
abx_mega__h2o-2__2,4.3574079617,-1.2660995276
abx_mega__zeocin_h2o__5,0.9966639359,-0.061014195400000006
abx_mega__nor_naoh__5,2.3036655616,0.0300286046
abx_mega__naoh-9__2,1.7242010694,-0.026729048800000002
abx_mega__dmso-7__3,6.6144484738,-0.6065314128
abx_mega__van_h2o__5,1.2807418412,-0.5956156175
abx_mega__flavo_dmso__4,4.7237504689000005,-1.1039222688
abx_mega__novo_dmso__3,-2.6901079409,-0.3410455176
abx_mega__polmyx_h2o__7,2.772155316,0.1210422917
abx_mega__teix_dmso__17,1.4226651992,0.2381902103
abx_mega__doxo_dmso__3,-1.7317438366,-1.2408453221
abx_mega__mem_dmso__6,2.384928709,0.0268946218
abx_mega__h2o-1a__3,0.0066255575,0.168543345
abx_mega__bacit_dmso__3,4.5450167872,0.0720945691
abx_mega__dox_dmso__8,1.4619044883,-0.8195891229000001
abx_mega__teix_dmso__18,1.4034322508,0.1885657285
abx_mega__h2o-6__3,1.4627908193999999,0.0950564076
abx_mega__pen_h2o__5,0.6131433606000001,-0.2545828995
abx_mega__lzd_dmso__4,0.2108211868,-0.5735153150000001
abx_mega__daro__1,2.745606435,-0.3267378591
abx_mega__solv__1,1.5844878618,-0.017491837700000002
abx_mega__daro__2,2.9670466635,-0.0925087322
abx_mega__daro__3,2.5525502331,-0.2093227258
abx_mega__solv__2,1.5455693587,-0.22787909680000001
abx_mega__solv__3,2.2493522643,0.1707369168
abx_mega__dmso-4__1,0.6926031945000001,0.1615599666
abx_mega__kirr_dmso__1,0.8756951273,-0.6920568452
abx_mega__kirr_dmso__2,1.0100517512,-0.6796964040000001
abx_mega__kirr_dmso__3,1.9835561957,0.1623641919
abx_mega__dmso-4__2,1.1154580987,0.4007413126
abx_mega__dmso-4__3,0.500469259,-0.11337073880000001
ackA_pta__dnaA46_del_ackA__1,-0.2989205793,0.5012556969
ackA_pta__dnaA46_del_ackA__2,0.8516928748,1.0454586714
ackA_pta__dnaA46_del_ackA__3,0.36426069050000004,0.8410244892000001
ackA_pta__dnaA46_del_pta__1,1.1618709883,1.0771530823
ackA_pta__dnaA46_del_pta__2,0.7937995661,0.0438972819
ackA_pta__dnaA46_del_pta__3,1.3403923264,0.6572033904
ackA_pta__dnaA46__1,-0.1108968409,0.1115214727
ackA_pta__dnaA46__2,1.6407572656,-0.0527659116
ackA_pta__dnaA46__3,-0.4294823433,0.0573095049
ackA_pta__del_ackA__1,-0.6440821465000001,0.7278946945
ackA_pta__del_ackA__2,0.3298387319,1.0223354817
ackA_pta__del_ackA__3,-0.9567621718,0.4042118018
ackA_pta__del_pta__1,-0.6512846149,-0.22856881510000002
ackA_pta__del_pta__2,-0.7100675367,0.0731377901
ackA_pta__del_pta__3,-0.2828317603,0.2868064895
ackA_pta__wt__1,0.054445448300000004,0.0600357829
ackA_pta__wt__2,0.1446907835,-0.0917212921
ackA_pta__wt__3,-0.1991362318,0.0316855092
anticancer__5fu__1,0.09815254450000001,0.1465884599
anticancer__5fu__2,0.3535304613,-0.07859975450000001
anticancer__cap__1,1.8385216735,0.6358986246
anticancer__cap__2,2.0540848626,0.3240352212
anticancer__cap__3,1.93185252,0.5533757577
anticancer__wt__1,-0.30016651380000003,0.0912703039
anticancer__wt__2,-0.06978088980000001,-0.1088521633
anticancer__wt__3,0.3699474036,0.0175818594
anticancer__5fu__3,0.8842991673,-0.49119097170000003
bio_pln__aero_pln__1,-0.0325962027,0.1785621154
bio_pln__aero_pln__2,0.0325962027,-0.1785621154
bio_pln__anaero_pln__1,0.3454929063,0.3972877796
bio_pln__anaero_pln__2,0.14952552060000002,0.42511884240000003
biocide__bzcl_12h__1,-0.148961337,0.4892872703
biocide__bzcl_12h__2,0.6066493900000001,0.6939460377000001
biocide__bzcl_12h__3,-0.3458311168,0.4233048259
biocide__etoh_12h__1,-1.4651550496,0.44286692050000004
biocide__etoh_12h__2,-0.6031614824,0.8730229854
biocide__etoh_12h__3,-1.0997405754,0.3351607855
biocide__gluald_12h__1,-0.7255803883,0.2754417449
biocide__gluald_12h__2,-1.4503592187,0.054495619
biocide__gluald_12h__3,-0.9435749122,0.4476775436
biocide__h2o2_12h__1,0.5269130138,-0.0323274053
biocide__h2o2_12h__2,-0.1430167235,0.5147027045
biocide__h2o2_12h__3,-0.40621229340000004,0.3846244566
biocide__2ppoh_12h__1,-2.2687302962,0.4829890483
biocide__2ppoh_12h__2,-1.9832486316,0.6086550416000001
biocide__2ppoh_12h__3,-1.7246500184,1.0863308249
biocide__paa_12h__1,0.7246121111,0.0526042854
biocide__paa_12h__2,0.0096025208,0.41649286420000003
biocide__paa_12h__3,1.8745895444,-0.2598530297
biocide__phe_12h__1,-1.310731924,0.6786177741
biocide__phe_12h__2,-1.3550303797,0.5449084947
biocide__phe_12h__3,-1.8087402012,0.5948237582
biocide__pvp-i_12h__1,1.9939253281,0.469611151
biocide__pvp-i_12h__2,0.19857864050000001,0.1799008812
biocide__pvp-i_12h__3,1.8044144986,0.19908736670000002
biocide__bleach_12h__1,-0.4712630427,0.4282060657
biocide__bleach_12h__2,-0.39838758620000003,0.1697912672
biocide__bleach_12h__3,-0.4720383943,0.17384416560000002
biocide__chx_12h__1,5.1207804038,0.8663089293
biocide__chx_12h__2,4.4244309669,0.5023006447
biocide__chx_12h__3,3.2914073129,0.5731170961000001
biocide__bzcl_30m__1,-0.8945001685,0.38408878690000003
biocide__bzcl_30m__2,-1.3067853017,0.4317804491
biocide__bzcl_30m__3,-1.0657517907,-0.0429167954
biocide__phe_30m__1,-0.1789150477,-0.43382942700000005
biocide__phe_30m__2,-0.4774684507,-0.416754108
biocide__phe_30m__3,0.168202495,-0.24057207700000002
biocide__pvp-i_30m__1,-0.38158539890000004,0.1310193896
biocide__pvp-i_30m__2,-0.32900758550000003,0.39014652050000004
biocide__pvp-i_30m__3,-0.0565993923,-0.2570001322
biocide__ctrl_12h__1,0.0101782425,0.4144748633
biocide__ctrl_12h__2,0.4241548684,0.48668068600000003
biocide__ctrl_12h__3,-0.2439808434,0.2469795293
biocide__ctrl_30m__1,-0.1046722223,0.2784578462
biocide__ctrl_30m__2,0.2855428486,-0.4495289986
biocide__ctrl_30m__3,-0.1808706263,0.1710711524
clpP__wt__1,-0.128528415,-0.2319352279
clpP__wt_DPTA__1,-3.3632217539,-0.837080279
clpP__wt__2,0.1611540403,-0.0087921642
clpP__wt_DPTA__2,-2.5177806558,-0.4329773155
clpP__wt__3,-0.0326256253,0.24072739210000002
clpP__wt_DPTA__3,-2.9927805318000003,-0.5218262203
clpP__delclpP__1,0.13801301870000002,0.1126762867
clpP__delclpP_DPTA__1,-3.2831961514,-1.0175192512
clpP__delclpP__2,-0.38280155730000004,-0.0182366752
clpP__delclpP_DPTA__2,-1.7822593701,-1.190990399
clpP__delclpP__3,-0.6226171772,0.2954797744
clpP__delclpP_DPTA__3,-1.6993976593,-1.2068636752
colombos2__delydcR__1,-4.1669401317,0.2565670225
colombos2__delydcR__2,-3.894689662,0.0398921193
colombos2__delydcR__3,-4.3890373415,-0.025749080400000002
colombos2__delyjiR__1,3.1346739179,0.0877812543
colombos2__delyjiR__2,-0.5924441114,-0.607757469
colombos2__delyjiR__3,1.7203596778999999,-0.29286205
colombos2__wt__1,0.8059185247,-0.1343535608
colombos2__wt__2,0.1778437884,0.0443584246
colombos2__wt__3,-0.9837623132000001,0.0899951361
crp_k100__ar1_ar2__1,5.2178748959,-0.7124246833
crp_k100__ar1_ar2__2,4.5107637293,-0.7111251476
crp_k100__ar1_ar2__3,4.0458827829,-0.1496705196
crp_k100__wt__1,-0.2284680694,0.0388943406
crp_k100__wt__2,0.27386666600000004,0.0316950329
crp_k100__wt__3,-0.0453985966,-0.0705893735
crp_k100__K100Q__1,-1.0057202107,0.0446734328
crp_k100__K100Q__2,-0.5382022681,0.010246849
crp_k100__K100R__1,-0.8619824947,0.5662655607
crp_k100__K100R__2,-0.36521913,0.22110441960000002
crp_k100__K100R__3,-1.0977851993,0.3411799866
csrA__wt_t00__1,0.938305257,0.0561190858
csrA__wt_t02_30__1,-0.28197295840000003,-1.8392864850000001
csrA__wt_t05__1,0.8327807913,-3.4563636849
csrA__wt_t10__1,-0.4459655916,-4.501590303
csrA__wt_t15__1,1.411631405,-2.4200418638
csrA__delcsrA_t00__1,-0.1336420106,0.0013455084
csrA__delcsrA_t02_30__1,-0.7937782364,-2.2448432877
csrA__delcsrA_t05__1,-0.3030150287,-4.174344675
csrA__delcsrA_t10__1,0.0355277877,-3.5475674892
csrA__delcsrA_t15__1,0.8304218063000001,-2.3315905756
csrA__wt_t00__2,-0.938305257,-0.0561190858
csrA__wt_t02_30__2,0.0550396167,-1.4363100598
csrA__wt_t05__2,0.49293506260000003,-3.87093643
csrA__wt_t10__2,-0.0722688705,-3.7643906202
csrA__wt_t15__2,0.4881140074,-3.2499604029
csrA__delcsrA_t00__2,0.4824763259,0.2341448029
csrA__delcsrA_t02_30__2,-0.39593596610000004,-1.8587548588
csrA__delcsrA_t05__2,0.3151133615,-3.8472867224
csrA__delcsrA_t10__2,-0.2423980102,-2.7994810414
csrA__delcsrA_t15__2,0.4905300348,-1.877455595
cstr_pfr__str_0005m__1,1.8148124478,-0.051097060400000005
cstr_pfr__str_0010m__1,2.5195825694,-0.26617192640000004
cstr_pfr__str_0025m__1,2.1275787505,-0.1697767158
cstr_pfr__str_0045m__1,1.6401170905,-0.2156192708
cstr_pfr__str_0075m__1,0.908424368,-0.2069700801
cstr_pfr__str_0120m__1,0.8438453034000001,-0.2672097302
cstr_pfr__str_0210m__1,0.6551062807,-0.0951205652
cstr_pfr__str_0330m__1,0.2830170877,-0.1580604004
cstr_pfr__str_1500m__1,0.1266398579,-0.1341905506
cstr_pfr__str_1560m__1,0.40882969690000004,-0.09540063600000001
cstr_pfr__str_1680m__1,0.6130131453000001,-0.1087213137
cstr_pfr__str_ref1__1,-0.09166244,-0.014599398900000001
