,A,NikR
minspan__bw_delcra_glc__1,11.8200071752,5.0779389297
minspan__bw_delcra_glc__2,11.9699011766,5.3345847878
minspan__bw_delcra_trp__1,12.2869961007,5.9934761924
minspan__bw_delmntr__1,12.8652449394,5.6472092244
minspan__bw_delnac_ade__1,5.476666859,4.054378667
minspan__bw_delnac_glc__1,5.0595990052,5.0475063551
cra_crp__wt_ac__1,6.1199667734,6.1292745748
cra_crp__wt_ac__2,5.736585552,6.2166015242
cra_crp__wt_fru__1,4.3635920385,6.2297407838
cra_crp__wt_fru__2,3.8157954204,6.8562612351
cra_crp__delcra_ac__1,2.9503261084,5.0728501275
cra_crp__delcra_ac__2,3.1524173852,5.3769485613
cra_crp__delcra_fru__1,1.9448883862000002,5.9074371046
cra_crp__delcra_fru__2,1.4068150909,5.8280106282
cra_crp__delcra_glc__1,1.8432939327,5.5437995591
cra_crp__delcra_glc__2,1.9128205305,5.4257633939
rpoB__wt_031__1,0.5442747139,5.5064543376
rpoB__wt_044__1,1.6449340883999999,5.8382618988
rpoB__wt_lb__1,4.3005072489,4.570637013
rpoB__wt_lb__2,4.4920075428,4.6097915286
rpoB__rpoBE546V_031__1,3.4039087024,6.1198353277
rpoB__rpoBE546V_044__1,1.4314778217000002,6.1572535558
rpoB__rpoBE546V_lb__1,4.2027970836,4.5030743493
rpoB__rpoBE546V_lb__2,5.692884613,4.8960466414
rpoB__rpoBE546V_glc__1,6.9117967054000005,5.8499492093
rpoB__rpoBE672K_glc__1,6.8213185288,4.8279924967
rpoB__rpoBE672K_glc__2,7.9216088743,4.8506643652
rpoB__rpoBE672K_lb__1,7.5371875123,4.7057243677
rpoB__rpoBE672K_lb__2,7.5808174175000005,4.6420621635
crp__wt_fru__1,1.1630615663000001,5.5104369727
crp__wt_glyc__1,1.7922920974,5.1692337494
crp__wt_glyc__2,1.4623130028,5.0356021798
crp__delar1_glyc__1,-0.4058591629,5.0985598841
crp__delar1_glyc__2,0.1455784711,5.4631684524
crp__delar1ar2_glyc__1,3.8538466917000003,5.2348229875
crp__delar1ar2_glyc__2,2.65859226,5.7817220364
crp__delar1ar2_glyc__3,4.0994316565,5.5858194589
crp__delar2_glyc__1,11.8903345549,6.003500835
crp__delar2_glyc__2,14.1317847164,6.2301178301
crp__delar2_glyc__3,14.7163885253,6.1077403957
crp__delcrp_fru__1,0.6425304374,5.6105770923
crp__delcrp_fru__2,0.5624464329000001,5.8240536726
crp__delcrp_fru__3,1.8293532825,5.7086125691
crp__delcrp_glc__1,2.9386500342,5.9823004641
crp__delcrp_glc__2,1.5820586636,6.1015124118
crp__delcrp_glc__3,0.6595344604000001,5.6008080044
crp__delcrp_glyc__1,1.9063683307,5.8568379245
crp__delcrp_glyc__2,1.2323125904,6.2514543974
crp__delcrp_glyc__3,2.2226639406,5.6943891707
glu__glu_ale3__1,1.5466908548,6.631119581
glu__glu_ale4__1,6.3783110013,5.5753412187
glu__glu_ale5__1,7.1061856224,5.6823309675
glu__glu_ale6__1,7.2785013234000004,5.301749028
glu__glu_ale8__1,-1.5101775986,6.5169361537
glu__glu_ale9__1,5.268857492,6.0883363891
glu__glu_ale10__1,3.3495200867,6.0781813825
42c__wt_42c__1,8.6640655976,5.3845772696
42c__42c_ale1__1,0.36203218260000003,6.0470492595
42c__42c_ale2__1,0.9466096038,5.8340729054
42c__42c_ale3__1,1.8911195884,6.6605288048
42c__42c_ale4__1,-0.0339165696,6.1901753462
42c__42c_ale5__1,1.6824883675,5.9750193320000005
42c__42c_ale6__1,1.2266092158,8.121052179
42c__42c_ale8__1,-2.177706604,6.214436904
42c__42c_ale9__1,2.1681273079,5.9149971438
42c__42c_ale10__1,-2.3863208164,6.9683630623
ssw__wt_ac__1,3.0463029699,5.4698855963
ssw__wt_glc__1,4.3090840653,5.7546701845
ssw__wt_glyc__1,13.4172516954,5.611067923
ssw__wt_xyl__1,5.9178343379000005,4.6199262269
ssw__glc_ale1__1,13.4206173461,6.4313006921
ssw__glc_ale2__1,9.0443559386,5.7440787367
ssw__glc_ale3__1,9.5757575165,5.8063352867999996
ssw__glyc_ale1__1,9.7694281155,5.2146522954
ssw__glyc_ale2__1,9.0895404169,5.3187237804
ssw__xyl_ale1__1,11.7853718606,6.1591218097
ssw__xyl_ale2__1,6.8831798595,5.5532195597000005
ssw__xyl_ale3__1,7.1498540552,5.4790103674
ssw__glc_ac_ac2__1,6.153223159,4.3875823558
ssw__glc_ac_glc1__1,4.5928983817999995,5.3778812717
ssw__glc_ac_glc2__1,15.5926071886,6.8171206353
ssw__glc_glyc_glc__1,8.9564065701,5.6364286115
ssw__glc_glyc_glyc__1,5.183886081,5.5385810516
ssw__glc_xyl_glc__1,14.2095303488,5.9009401401
ssw__glc_xyl_xyl__1,6.0979566221,4.9953147417
pgi__glu4_delpgi__1,5.5212436264,5.3797389857
pgi__pgi_ale1__1,3.9472994293,6.3451033123
pgi__pgi_ale2__1,2.6522996834,5.8922952426
pgi__pgi_ale3__1,2.9543480608,6.545081921
pgi__pgi_ale5__1,3.1211263927,6.357479094
pgi__pgi_ale6__1,3.4105491544,6.6263480307
pgi__pgi_ale7__1,3.0120575702,6.8395838871
pgi__pgi_ale8__1,2.1025305391,5.8503998734
ica__wt_glc__1,5.0932146731,4.2889353416
ica__wt_glc__2,5.9223927164,4.1338128102
ica__wt_glc__3,3.4252416027,5.7021143774
ica__wt_glc__4,2.9162742010000002,5.199127538
ica__arg_sbt__1,7.3293794478,3.8651152489
ica__arg_sbt__2,6.1449377961,3.9792339533
ica__cytd_rib__1,1.7743865312,3.8240571869
ica__cytd_rib__2,2.5792294599,3.2585260997
ica__gth__1,-0.1785611489,6.3883197384
ica__gth__2,0.1661522063,6.9736865233
ica__leu_glcr__1,2.7925833538,4.5721630047
ica__leu_glcr__2,3.0106766279,4.5500492486
ica__met_glc__1,5.4384193614,3.8475928906
ica__met_glc__2,5.00500147,4.3062438553
ica__no3_anaero__1,8.6561617491,5.1515769555
ica__no3_anaero__2,8.3788424278,5.161205458
ica__phe_acgam__1,5.0068029322,4.1631764561
ica__phe_acgam__2,5.1854636205,3.9786129346
ica__thm_gal__1,4.0002174498,4.3341178168
ica__thm_gal__2,4.7876051379,5.0038183984
ica__tyr_glcn__1,4.8170803735,4.1576271175
ica__tyr_glcn__2,5.2036983536,4.3979212434
ica__ura_pyr__1,2.0440560091,5.3065452851
ica__ura_pyr__2,2.8518676936,5.2394623297
ica__wt_glc__5,3.5763479398999998,5.2955287371
ica__wt_glc__6,2.4991465439000002,4.9470224585
ica__bw_delpurR_cytd__1,3.1957341054,4.5403570518
ica__bw_delpurR_cytd__2,2.3414824834,4.3462424705
ica__ade_glc__1,3.6077246604,5.5251627911
ica__ade_glc__2,3.8133885986,4.9738160934
ytf__wt_glc__1,2.9208791926,4.8656393424
ytf__wt_glc__2,4.5884978539,5.0224286182
ytf__delyafC__1,11.3099421939,6.3614470806
ytf__delyafC__2,1.936367085,5.2057432959
ytf__delyeiE__1,12.9640743608,6.6416642659
ytf__delyeiE__2,4.6301987466,4.9936787757
ytf__delyiaJ__1,12.6578960969,6.0033848635
ytf__delyiaJ__2,9.1720959269,5.5697429363
ytf__delyieP__1,12.1680955968,5.7446032897
ytf__delyieP__2,9.7332705217,5.7168171874
ytf__wt_ph5__1,2.5758937362000003,4.8112436736
ytf__wt_ph5__2,2.0028134076,5.4833333896
ytf__wt_ph8__1,1.9851077031000002,4.6598668588
ytf__wt_ph8__2,3.7754473418,4.9769370368
ytf__delybaO__1,15.5601477076,6.4415926185
ytf__delybaO__2,16.0482105692,6.28277917
ytf__delybaQ__1,2.5652670465,5.0115862355
ytf__delybaQ__2,4.6601362035000005,4.7090606449
ytf__delybiH__1,2.5194217798,4.638959142
ytf__delybiH__2,7.9620041315000005,4.9791400133
ytf__delydcI_ph5__1,1.7099281939000002,4.9832835296999995
ytf__delydcI_ph5__2,1.5928176703,5.309508559
ytf__delydcI_ph8__1,2.9947265131,4.6195822414
ytf__delydcI_ph8__2,2.1490406094,4.7390088983
ytf__delyddM__1,3.4869627789,5.7464172092
ytf__delyddM__2,2.891499721,5.667999491
ytf__delyheO__1,8.9303963217,5.1595545643
ytf__delyheO__2,14.0857018211,6.2635033861
fps__bw_glc__1,2.0116344438,4.9490897561
fps__bw_glc__2,1.0409878765,4.7983275618
fps__fps_thrA_ale1__1,0.733567399,5.8405879124
fps__fps_thrA_ale1__2,1.9472525871,4.9906552808
fps__fps_thrA_ale2__1,0.8703084705,5.2967035499
fps__fps_thrA_ale2__2,0.1894089542,5.358734725
fps__fps_serB_ale1__1,-0.0151489281,4.8531891126
fps__fps_serB_ale1__2,0.5973540827,5.3575230726
fps__fps_serB_ale4__1,0.6311913157,5.1867827993
fps__fps_serB_ale4__2,1.0221535605,5.4921382384
fps__fps_ptsI_ale1__1,1.6004202468000002,5.0452786701
fps__fps_ptsI_ale1__2,2.2476935908,4.6081340015
fps__fps_ptsI_ale3__1,1.6946466648,4.4584890248
fps__fps_ptsI_ale3__2,2.0775150669,4.5808313011
pal__lyx_ale2_f6__1,0.7195183498000001,4.6816452553
pal__lyx_ale2__1,2.9681252044,5.0515428872
pal__lyx_ale2__2,2.0828237049,4.6969279023
pal__lyx_ale4__1,2.9681252044,5.0515428872
pal__lyx_ale4__2,2.0828237049,4.6969279023
pal__5drib_ale10_f18__1,2.1196206948,5.1600679218
pal__5drib_ale10_f18__2,4.2407611681,4.838583608
pal__5drib_ale10__1,2.7071647543,5.2240662002
pal__arab_ale14_f9__1,0.5022025702,5.2718052762
pal__arab_ale14_f9__2,2.0311459831,5.4631909335
pal__arab_ale14__1,3.4541251989,5.2214864812
pal__arab_ale14__2,4.0517036972,5.1674522164
pal__arab_ale16__1,2.7899633646,5.5192549524
pal__arab_ale16__2,2.896927235,4.8723428778
pal__tartr_ale26_f10__1,1.5815127828,5.2460459199
pal__tartr_ale26_f10__2,2.7287438176,4.2112171199
pal__tartr_ale26__1,2.2382099961,5.2168557893
pal__tartr_ale26__2,2.3832070655,5.5771254719000005
pal__tartr_ale28_f10__1,0.7649750243,4.4376621473
pal__tartr_ale28_f10__2,0.21040707090000002,5.1439199367
pal__tartr_ale28__1,3.2606583348,4.8876814429
pal__tartr_ale28__2,3.256577837,5.4524740508
efeU__delmenFentC_citr__1,5.2543482664,4.37247723
efeU__delmenFentC_citr__2,4.4209323505,4.5746631797
efeU__delmenFentC__1,0.4248326284,4.806516648
efeU__delmenFentC__2,1.1864825674,5.0882599721
efeU__menFentC_ale39__1,5.8409598406,5.3440887476
efeU__menFentC_ale39__2,6.4130961345,5.2810949306
efeU__menFentC_ale29__1,8.2398743708,5.0986204838999996
efeU__menFentC_ale29__2,8.6664613315,5.5244374087
efeU__menFentC_ale30__1,6.8556541883,4.883179286
efeU__menFentC_ale30__2,7.6510609111,4.8136208008
efeU__menFentCubiC_ale36__1,1.7539675774,5.2037644697
efeU__menFentCubiC_ale36__2,2.7017247376,5.2691956394
efeU__menFentCubiC_ale37__1,2.1197206575,5.5120612721
efeU__menFentCubiC_ale37__2,1.8060434086,5.4388479641
efeU__menFentCubiC_ale38__1,5.0879748074,5.6238148335
efeU__menFentCubiC_ale38__2,4.5658168604,5.4157290985
