sample,BSU_misc_RNA_24
Cold_1,10.0587
Cold_2,9.7334
Cold_3,8.979
Etha_1,12.0525
Etha_2,11.6969
Etha_3,12.0122
SMM_1,12.0842
SMM_2,12.1152
SMM_3,12.1566
Salt_1,11.6639
Salt_2,11.663
Salt_3,11.6995
Mt0_1,9.6006
Mt0_3,9.2252
M0t45_1,9.5272
M0t45_2,9.3286
M0t45_3,9.8064
M0t90_1,10.0675
M0t90_2,10.4746
M0t90_3,10.795
M40t45_1,9.4206
M40t45_2,10.1048
M40t45_3,9.8173
M40t90_1,10.0777
M40t90_2,10.5946
M40t90_3,11.0379
dia0_1,9.9844
dia0_2,9.7821
dia0_3,9.9912
dia5_1,9.904
dia5_2,10.6272
dia5_3,10.4119
dia15_1,11.9536
dia15_2,12.4452
dia15_3,11.2084
Diami_1,11.1663
Diami_2,10.2306
Diami_3,10.5768
Paraq_1,9.1635
Paraq_2,9.4506
Paraq_3,7.6557
H2O2_1,8.998
H2O2_2,9.7425
H2O2_3,9.4887
Oxctl_1,9.295
Oxctl_2,8.9953
Oxctl_3,9.632
GM-0.1_1,12.0154
GM-0.2_1,12.0822
GM+5_1,11.9622
GM+15_1,11.9125
GM+25_1,12.2948
GM+45_1,12.418
GM+60_1,12.3031
GM+90_1,12.0758
GM+120_1,10.9481
GM+150_1,11.5808
GM-0.1_2,12.532
GM-0.2_2,12.9595
GM+5_2,12.2142
GM+10_2,12.1359
GM+15_2,12.0752
GM+25_2,12.1202
GM+45_2,11.126
GM+60_2,11.6513
GM+90_2,11.7598
GM+150_2,10.5605
GM-0.1_3,12.7235
GM-0.2_3,12.5427
GM+5_3,12.2633
GM+10_3,10.8678
GM+15_3,11.7756
GM+25_3,11.2719
GM+45_3,10.8585
GM+60_3,11.1781
GM+90_3,12.1379
GM+120_3,11.4715
GM+150_3,12.0554
MG-0.1_1,12.0289
MG+5_1,12.5168
MG+10_1,12.6981
MG+15_1,11.6218
MG+25_1,12.209
MG+45_1,12.1561
MG+120_1,11.7643
MG+150_1,11.9356
MG-0.1_2,11.3373
MG-0.2_2,11.9175
MG+5_2,12.152
MG+10_2,12.0739
MG+15_2,13.0969
MG+25_2,11.9292
MG+45_2,11.6216
MG+60_2,12.0952
MG+90_2,11.5616
MG+120_2,12.937
MG-0.1_3,12.7714
MG-0.2_3,12.3768
MG+5_3,11.8406
MG+10_3,11.4971
MG+15_3,12.1817
MG+25_3,12.4763
MG+45_3,12.8277
MG+60_3,11.9803
MG+90_3,12.5057
MG+120_3,12.3606
MG+150_3,11.8906
