,A,YlxR
Sw_1,-31.70725847,-2.1063333333
Sw_2,-32.2565215841,-1.2059333333
BT_1,-10.7994771292,-1.3468333333
BT_2,-10.7241973448,-1.9621333333000002
B36_1,-17.1478982098,-1.0740333333
B36_2,-16.5732939769,-1.1019333333
B60_1,-18.9530711036,-1.1358333333
B60_2,-19.0189677253,-1.3151333333
M9exp_1,0.6207272226,0.3448666667
M9exp_2,-0.4875963239,-0.0611333333
M9exp_3,-0.1331308987,-0.2837333333
M9tran_1,-3.4663283579,-0.5494333333
M9tran_2,-4.6439797577,-0.5753333333
M9tran_3,-2.6884902273,-0.38773333330000004
M9stat_1,-15.5002832466,-3.0629333333
M9stat_2,-15.991637059,-3.6042333333
M9stat_3,-15.1442568421,-3.6225333333
M+G_1,-1.8651943222,-0.28743333330000004
M+G_2,-1.3092541748,-0.5080333333
M+G_3,-0.39305736760000004,-0.7418333333
Glu_1,-1.5685340967,-0.2264333333
Glu_2,-0.8022427094,-0.1482333333
Glu_3,-0.8946360174,0.0371666667
Fru_1,-0.0932205066,-0.4006333333
Fru_2,-3.3191225976,-0.2283333333
Fru_3,-3.7120582808,-0.7643333333
Mal_1,-2.0052851555,-0.8880333333
Mal_2,-2.8182564621,-1.0148333333
Mal_3,-0.8915924996000001,-0.3495333333
G+S_2,-8.2500311681,-1.2306333333000001
G+S_3,-7.9175260286,-0.6687333333000001
Pyr_1,-9.4410277384,-1.4480333333
Pyr_2,-7.5311620255000005,-1.0866333333
Pyr_3,-7.8452724542,-1.2130333333
Gly_1,-4.920827563,-1.4646333333000001
Gly_2,-4.8046733462,-0.6024333333
Gly_3,-5.5119005156,-2.6718333333
Glucon_1,-5.319805356,-1.1944333333000001
Glucon_2,-6.1988735486,-0.7709333333
Glucon_3,-5.7390704966,-1.7058333333
aero_1,-10.3262931758,0.2952666667
aero_2,-11.9185166112,-0.4546333333
aero_3,-10.6292521232,0.3906666667
nit_1,-15.4869812232,-0.4601333333
nit_2,-14.8425844298,-0.1150333333
nit_3,-15.6207792741,-0.5051333333
ferm_1,-21.0280085474,-0.43873333330000003
ferm_2,-15.1892642611,-0.3749333333
ferm_3,-16.3330855743,-0.1536333333
T-5.40H_1,-3.1726634371,0.1424666667
T-4.40H_1,-2.3951276008,-0.07463333330000001
T-3.40H_1,-2.7654456444,-0.1335333333
T-2.40H_1,-2.1809895716,-0.4052333333
T-1.40H_1,-2.285850387,-0.4435333333
T-1.10H_1,-2.1263330633,-0.6758333333000001
T-0.40H_1,-4.0083081311,-0.6496333333000001
T0.0H_1,-3.2615296195,-0.7674333333000001
T0.30H_1,-7.2391085357,-2.9632333333
T1.0H_1,-5.6356369582,-2.6425333333000003
T1.30H_1,-8.3347868012,-2.5802333333
T2.0H_1,-11.0396267265,-2.4646333333
T2.30H_1,-12.3747625596,-1.3811333333
T3.0H_1,-13.74217367,-1.6453333333
T3.30H_1,-15.1447765493,-1.1975333333
T4.0H_1,-16.1782340371,-1.3437333332999999
T5.0H_1,-15.7707904871,-1.8649333333
HPh_1,-12.3953371863,0.046666666700000005
HPh_2,-11.0957669927,-0.10953333330000001
HPh_3,-12.3905394931,-0.2451333333
LPh_1,-12.6421909983,0.15156666670000002
LPh_2,-10.1718075642,0.5587666667
LPh_3,-11.0388676257,0.40046666670000003
LPhT_1,-30.2875461611,-1.9268333333
LPhT_2,-31.3096233391,-1.7416333333
LPhT_3,-30.8655582532,-1.4130333333
SMMPr_1,-2.2488232758,-0.5804333333
SMMPr_2,-1.8815267172,-0.5395333333
SMMPr_3,-2.0823697468,-0.2941333333
HiTm_1,-2.7571088338000003,-0.5445333333
HiTm_2,-1.5320052612000001,-0.7322333333000001
HiTm_3,-2.8336100529,-0.8805333333
LoTm_1,-11.5655896924,0.45936666670000004
LoTm_2,-12.6604739299,0.1881666667
LoTm_3,-12.1903376573,0.0888666667
HiOs_1,-5.2326828638,-0.5364333333
HiOs_2,-5.8562108798,-0.8705333333
HiOs_3,-5.2971252214,-0.7171333333000001
BMM_1,-0.884809774,-0.032633333300000004
BMM_2,-1.2918824721,-0.2174333333
BMM_3,-4.2048929031,-0.2200333333
Heat_1,-14.2847350099,-0.2443333333
Heat_2,-12.2744414759,-0.7318333333
Heat_3,-14.442170707,-0.8940333333
Cold_1,4.2070727992,1.1019666667
Cold_2,0.7876613802,0.4090666667
Cold_3,-0.8870808023000001,-0.3012333333
Etha_1,5.6515008823,-3.4260333333
Etha_2,2.1928109729,-3.9186333333
Etha_3,5.5386768125,-3.2826333333
SMM_1,-1.6502543549,-0.3601333333
SMM_2,-1.8108657124,-0.4398333333
SMM_3,-1.8187999623,-0.6148333333
Salt_1,-10.40381904,-0.2745333333
Salt_2,-11.5525759624,-0.6225333333
Salt_3,-10.5256030812,-0.4721333333
Mt0_1,-17.4116818856,-0.1612333333
Mt0_3,-17.7137967141,0.0859666667
M0t45_1,-14.067909533,-0.6103333333000001
M0t45_2,-20.5953814792,0.2156666667
M0t45_3,-18.8097076485,-0.2792333333
M0t90_1,-20.3924682124,-2.9053333332999998
M0t90_2,-25.384791437,-1.5508333333
M0t90_3,-23.7398866182,-2.6376333333
M40t45_1,-13.6196342869,-0.7233333333
M40t45_2,-24.1147996299,-1.9450333333
M40t45_3,-18.7775687601,-0.1400333333
M40t90_1,-20.7517866646,-2.7127333333
M40t90_2,-24.2111297797,-1.8630333333
M40t90_3,-24.5375725426,-2.4788333333
dia0_1,-17.8288592106,-0.1319333333
dia0_2,-20.0118142183,0.0600666667
dia0_3,-18.6372105942,0.3732666667
dia5_1,-15.0208828118,-1.2103333333
dia5_2,-13.8729289933,-1.4268333333
dia5_3,-13.2676638952,-1.1773333333
dia15_1,-8.8338323019,-0.4959333333
dia15_2,-15.6172280172,-0.0976333333
dia15_3,-22.399871938,-1.2747333333
Diami_1,6.8388093643,-1.1196333333
Diami_2,6.2357014459,-0.42813333330000003
Diami_3,5.5036180029,-0.5006333333
Paraq_1,-14.0348797507,0.3612666667
Paraq_2,-13.4930741939,0.5467666667000001
Paraq_3,-15.486779407,-0.6697333333000001
H2O2_1,-11.8493690435,0.0797666667
H2O2_2,-10.3531678529,0.23146666670000002
H2O2_3,-9.8492956943,-0.0022333333
Oxctl_1,-13.6198246063,0.055366666700000004
Oxctl_2,-10.216677006,0.09936666670000001
Oxctl_3,-13.3908134373,0.5605666667
GM-0.1_1,-1.2240656787,-0.6417333333
GM-0.2_1,-1.5629976253,-0.5117333333
GM+5_1,-1.6849203814,-0.7790333333
GM+15_1,0.1842021939,-0.49613333330000003
GM+25_1,1.2226491373,0.3591666667
GM+45_1,0.0567120189,-0.1126333333
GM+60_1,0.5666699567,-0.2356333333
GM+90_1,0.8843776711,0.0075666667
GM+120_1,0.2186777138,-0.8191333333
GM+150_1,-1.4194412162,-0.45183333330000003
GM-0.1_2,-0.5071531641,-0.0699333333
GM-0.2_2,-1.70826831,-0.1949333333
GM+5_2,0.1271175542,-0.48093333330000004
GM+10_2,-0.3737103175,-0.3417333333
GM+15_2,-1.6551972392,-0.8646333333
GM+25_2,0.1363643072,-0.1681333333
GM+45_2,0.6874076778,-1.1245333333
GM+60_2,-1.0714039629,-1.2637333333
GM+90_2,0.7505029074,-0.0948333333
GM+150_2,-2.5654146504,-1.1464333333
GM-0.1_3,-3.1881300189,-0.3299333333
GM-0.2_3,-1.7397518337,-0.4828333333
GM+5_3,-0.6771772675000001,-0.21883333330000002
GM+10_3,-0.6795657126,-1.3145333333
GM+15_3,-1.0206487972,-0.6375333333000001
GM+25_3,-0.2875872283,-0.9669333333000001
GM+45_3,-1.7631172657,-1.1256333333
GM+60_3,-1.1350676346,-1.0172333333
GM+90_3,-1.1014575481,-0.30713333330000003
GM+120_3,-2.4683061712,-0.3143333333
GM+150_3,-1.21812646,-0.3986333333
MG-0.1_1,-0.0534383618,-0.46943333330000003
MG+5_1,-0.7927459840000001,0.0101666667
MG+10_1,1.7944140026,0.24506666670000002
MG+15_1,1.1386932883,-0.6740333333
MG+25_1,-0.4442150633,-0.1647333333
MG+45_1,-1.5253286033,-0.0862333333
MG+120_1,-3.5122848091,-1.4213333333
MG+150_1,-0.1952424684,-0.2137333333
MG-0.1_2,-0.3093475996,-1.2413333333
MG-0.2_2,0.6534430922000001,-0.7280333333
MG+5_2,0.1873865743,-0.5846333333
MG+10_2,2.0923833306,-0.1411333333
MG+15_2,1.4493792459,0.5361666667
MG+25_2,-0.638741542,-0.5621333333
MG+45_2,-0.1220020108,-0.9011333333
MG+60_2,0.6712614282,-0.3804333333
MG+90_2,0.061976001100000004,-0.7374333333
MG+120_2,-2.9994970924,-0.28853333330000003
MG-0.1_3,-0.09113267080000001,0.1541666667
MG-0.2_3,-2.2901400061,-0.3695333333
MG+5_3,-3.0638713156,-0.5724333333
MG+10_3,-1.0728988395,-0.7065333333
MG+15_3,1.4527532504,0.0339666667
MG+25_3,-1.4125545532000001,0.1572666667
MG+45_3,0.9812523313,0.4733666667
MG+60_3,0.2027959219,-0.2964333333
MG+90_3,-1.14579846,-0.1429333333
MG+120_3,-4.485009338,-0.7191333333000001
MG+150_3,-1.9707795097,-0.3848333333
