,A,ImmR
C90_1,-3.5450108043,12.0593
C90_2,-9.684739907400001,12.3082
BI_1,-8.9727223603,11.309
BI_2,-9.1853510612,11.171
BC_2,-9.678087415,10.6931
BC/t_1,-6.1728019551,10.1164
BC/t_2,-2.2594226528,10.5982
BC_1,-6.3994405802,10.4236
Sw_1,-5.3100041854,8.8926
Sw_2,-7.6893799064,9.5634
BT_1,-7.1095044593,10.1609
BT_2,-6.1828716317,9.5698
B36_1,-10.2465377489,10.2219
B36_2,-10.552297898900001,10.3507
B60_1,-8.3534865925,10.1076
B60_2,-7.2356270896,10.7775
M9exp_1,-2.3558543807,13.2503
M9exp_2,-1.5899851118,12.9167
M9exp_3,3.9458394925,12.8029
M9tran_1,1.4254113176,12.8654
M9tran_2,0.5960480439,12.8956
M9tran_3,-2.3691943314,13.1622
M9stat_1,1.5481926714,11.0405
M9stat_2,4.9501328307,10.8663
M9stat_3,4.6527044916,10.4385
M+G_1,1.8466952979,11.8126
M+G_2,-1.5505036037000002,12.2483
M+G_3,-0.8229277111000001,11.5982
Glu_1,1.3337483846,12.7734
Glu_2,2.1460514329000002,12.0344
Glu_3,-1.5418433603000001,12.582
Fru_1,0.0407193303,12.1428
Fru_2,-4.7645733517,12.3678
Fru_3,-3.5350587394,11.9574
Mal_1,2.424091166,10.658
Mal_2,-0.2616814089,12.1133
Mal_3,0.4241940476,11.7517
G+S_2,1.4843556562,11.9591
G+S_3,0.057201826500000004,12.2654
Pyr_1,-0.8794722594000001,11.7636
Pyr_2,2.9558834959,11.9879
Pyr_3,3.5015395131,11.8418
Gly_1,7.3683527207,10.5579
Gly_2,7.5165580491,11.1512
Gly_3,9.159155558,9.8779
Glucon_1,1.1690312106,11.8122
Glucon_2,0.3971978633,12.0378
Glucon_3,3.5299021045,10.9568
aero_1,-6.1260793033,12.1291
aero_2,-1.9412515139000002,11.4668
aero_3,-4.4828796619,11.7684
nit_1,-4.1209426106,11.7142
nit_2,-0.35571482930000003,12.451
nit_3,-2.2441159389,11.7305
ferm_1,-3.8595482459,12.2328
ferm_2,-1.0438947728,11.168
ferm_3,-4.3483777835,11.8732
T-5.40H_1,-4.9253774209,13.075
T-4.40H_1,-4.4472210105,12.3557
T-3.40H_1,-1.2649865472,13.0076
T-2.40H_1,0.8505456842,12.9171
T-1.40H_1,7.996264951,13.4973
T-1.10H_1,14.3168581294,13.6297
T-0.40H_1,21.423609306,14.1432
T0.0H_1,25.5945367672,14.1405
T0.30H_1,35.0705324084,13.3626
T1.0H_1,28.6610948815,12.0588
T1.30H_1,26.2644657759,12.1477
T2.0H_1,19.3311755951,11.8556
T2.30H_1,16.9962130529,13.0508
T3.0H_1,12.5020767068,12.6052
T3.30H_1,9.8984026648,12.8474
T4.0H_1,8.2984613273,12.8429
T5.0H_1,4.7837937171,12.1774
HPh_1,6.4858880686,12.6285
HPh_2,7.1660442138,11.907
HPh_3,7.8739051578,12.067
LPh_1,5.1790683689,12.2048
LPh_2,2.1859841392,11.7536
LPh_3,0.4292282747,11.232
LPhT_1,2.3958041733,11.3039
LPhT_2,-0.46800471860000004,10.8429
LPhT_3,-1.8145079847,10.9132
SMMPr_1,-4.4811154912,12.7096
SMMPr_2,-2.6691230605,12.5676
SMMPr_3,-1.6154146090000001,12.7596
HiTm_1,4.0090083135,12.4916
HiTm_2,2.7269223317,13.7748
HiTm_3,2.5907262996,14.4915
LoTm_1,-6.429989392,11.1104
LoTm_2,-4.2439417746,10.9544
LoTm_3,-6.2783259002000005,10.9955
HiOs_1,14.572667493099999,13.1508
HiOs_2,13.2359445229,12.673
HiOs_3,15.4442435722,13.0805
BMM_1,-9.0758661805,12.6826
BMM_2,-8.0644660126,12.4078
BMM_3,-8.6927396793,12.3104
Heat_1,-3.7124857452,14.0711
Heat_2,-4.3394437482,13.8393
Heat_3,-1.6641440012,14.048
Cold_1,-10.3320283736,8.9937
Cold_2,-6.5591745852,8.4475
Cold_3,-4.8393955944,8.5979
Etha_1,-4.0316841297,9.4745
Etha_2,-1.2477027277000001,9.6059
Etha_3,-4.0379265107,9.5586
SMM_1,-6.7484033783,12.6629
SMM_2,-7.4844330427,12.6169
SMM_3,-7.5116621454,12.4884
Salt_1,-7.5050017968,11.2843
Salt_2,-7.0151666458,10.9019
Salt_3,-7.376099888,11.1806
Mt0_1,-9.6394772581,11.873
Mt0_3,-12.2279365046,11.9466
M0t45_1,-6.1605325754999996,12.5215
M0t45_2,-9.7772627736,11.7027
M0t45_3,-8.9294752651,12.9309
M0t90_1,-2.2306459261000002,11.3368
M0t90_2,-7.3988274961,12.0083
M0t90_3,-7.4341642262,11.9258
M40t45_1,-4.3295525532,11.8959
M40t45_2,-4.6632241135,13.1605
M40t45_3,-9.9933331939,13.0631
M40t90_1,-6.1221095005,11.3006
M40t90_2,-7.8059663938,12.0878
M40t90_3,-10.0128333277,12.1018
dia0_1,-9.610725162,12.0511
dia0_2,-9.2461634558,12.2459
dia0_3,-11.7668293312,12.2608
dia5_1,-7.741875374,12.5955
dia5_2,-7.6206084042,11.9812
dia5_3,-9.6670517718,11.9245
dia15_1,-8.9122869051,10.754
dia15_2,-9.4491180379,11.7367
dia15_3,-5.690792148,12.965
Diami_1,-4.6160508202,10.9806
Diami_2,-6.9231602628,11.6898
Diami_3,-4.7388372783,11.5929
Paraq_1,-7.038663651,11.2138
Paraq_2,-8.6754355629,12.2125
Paraq_3,-5.2543949586,11.0321
H2O2_1,-7.6649824634,11.4722
H2O2_2,-8.9996985661,11.3254
H2O2_3,-7.3106163162,11.0181
Oxctl_1,-3.7650318949,11.5376
Oxctl_2,-5.138083601,11.461500000000001
Oxctl_3,-8.884029505800001,12.1263
GM-0.1_1,1.6528600499000001,12.505700000000001
GM-0.2_1,2.089132395,12.3573
GM+5_1,2.0755637441,12.342600000000001
GM+15_1,-0.07488108830000001,12.3726
GM+25_1,-0.7659104442,12.9203
GM+45_1,-1.6836529923999999,12.812100000000001
GM+60_1,-2.5448817385,12.7406
GM+90_1,-3.4859020423000002,12.6285
GM+120_1,-1.5847576061000002,11.7823
GM+150_1,-1.458190409,12.4174
GM-0.1_2,3.8048245945,12.8366
GM-0.2_2,5.636819767,13.319
GM+5_2,2.9655487522,12.7102
GM+10_2,1.9508332867,12.4115
GM+15_2,2.6645175996,12.535
GM+25_2,1.868482817,12.8236
GM+45_2,-0.0022907385000000002,11.6389
GM+60_2,0.7521480197,12.1018
GM+90_2,-1.1878403225,12.8189
GM+150_2,-3.0725777473,11.8764
GM-0.1_3,0.46296254670000003,12.9506
GM-0.2_3,-0.6558797071,12.9221
GM+5_3,-1.6879183788,12.9007
GM+10_3,-2.0757803196,11.5934
GM+15_3,-1.8759791367,12.5642
GM+25_3,-2.1094656968,12.0941
GM+45_3,-2.4730230832,11.802
GM+60_3,-1.5118585437,11.7569
GM+90_3,-1.7034034768000001,12.9039
GM+120_3,-0.2018522988,12.5412
GM+150_3,-1.1635242582,12.9306
MG-0.1_1,1.1043030612,12.3803
MG+5_1,1.6921746845999999,12.8766
MG+10_1,1.9245083822,12.67
MG+15_1,2.7940250162,11.9537
MG+25_1,2.9338243122,12.6227
MG+45_1,4.9493938122,13.2439
MG+120_1,7.165411265,11.9759
MG+150_1,4.8358898928,12.912700000000001
MG-0.1_2,3.2500716807,11.6282
MG-0.2_2,2.3771199398,11.986
MG+5_2,3.3223315026,12.3494
MG+10_2,3.8141703401,12.5878
MG+15_2,5.0846825346,13.3937
MG+25_2,3.977788169,12.4068
MG+45_2,4.2944813658,11.7326
MG+60_2,5.5296245197000005,12.4684
MG+90_2,5.6786604001,11.9393
MG+120_2,9.0711239397,13.3046
MG-0.1_3,5.9543089222,13.2582
MG-0.2_3,7.0110953232,12.8118
MG+5_3,7.6789619098,12.561
MG+10_3,7.1874298919,12.2477
MG+15_3,7.5697937974,12.8823
MG+25_3,8.3685962102,13.1237
MG+45_3,8.0050618867,13.1232
MG+60_3,6.8364693214,12.1927
MG+90_3,9.5593512277,13.1325
MG+120_3,10.5717174703,13.2216
MG+150_3,6.2162055332,12.9214
