,A,PucR,TnrA,SigA
M9exp_1,-0.3467561267,8.7423,10.8527,13.9416
M9exp_2,0.4718114216,8.571,10.5916,13.5344
M9exp_3,-0.1250552949,8.355,10.3151,12.9987
M9tran_1,0.4068647785,8.3555,10.252,12.9718
M9tran_2,0.8460179098,8.3344,10.4915,12.9986
M9tran_3,-0.11990529850000001,8.5304,10.7395,13.2089
M9stat_1,0.6342591661,8.1252,10.0901,11.1238
M9stat_2,2.0832103596,8.1699,9.8405,10.8989
M9stat_3,1.6757110925,7.9154,9.7346,10.6334
M+G_1,2.2352217598,8.7033,9.6371,13.2264
M+G_2,-0.2849180523,8.4532,10.4453,13.4217
M+G_3,0.8053986412,8.4008,10.0633,13.511800000000001
Glu_1,-1.100367997,8.8153,11.1249,13.530100000000001
Glu_2,-0.3392540436,8.7622,10.615,13.6327
Glu_3,-0.1432116256,8.9538,10.9169,13.7226
Fru_1,0.09368274230000001,8.8832,10.6965,14.0674
Fru_2,-0.7082529385,8.9999,10.956,14.0951
Fru_3,-0.0485240215,8.533,10.3859,13.1654
Mal_1,1.2286011664,8.2147,9.7441,13.4585
Mal_2,-0.2516965901,8.4029,10.2131,13.6349
Mal_3,-0.2169259209,8.6377,10.0683,13.4566
G+S_2,-1.2075068358,8.4078,9.8887,13.9115
G+S_3,-1.3613628846,8.6674,10.6859,13.688
Pyr_1,0.043195711000000005,8.2707,10.7088,12.3939
Pyr_2,-1.5789453777,8.55,10.6649,13.5458
Pyr_3,-1.3709767959999999,8.4915,10.6801,13.0023
Gly_1,4.8454710782,8.2533,9.9683,12.5146
Gly_2,3.2591992003,8.7638,9.9309,13.6785
Gly_3,5.4247077976,8.1754,9.1621,12.1185
Glucon_1,1.5668564572,8.5023,10.386800000000001,12.7107
Glucon_2,-0.32737065400000004,8.6061,10.7721,13.0733
Glucon_3,4.3382996829,8.6675,9.8247,12.2186
aero_1,0.414999249,8.678,10.7008,14.1133
aero_2,1.1108961953,8.1113,9.1851,13.0753
aero_3,-0.4638114104,8.4318,10.1963,14.043
nit_1,-6.9798917903,8.0129,10.2582,13.5453
nit_2,-6.469602663,8.1155,10.74,13.5476
nit_3,-6.7152841854,7.8063,10.2272,13.1939
ferm_1,-4.807667038,7.8874,10.1252,13.3104
ferm_2,-1.8581776461000001,7.6657,9.9359,13.4516
ferm_3,-3.8494632219,8.0314,10.4702,14.084
T-5.40H_1,0.20745338900000002,8.9866,11.3301,13.7772
T-4.40H_1,1.1457357286,8.8643,11.3081,13.9864
T-3.40H_1,1.6466406217,8.8449,12.1429,13.7203
T-2.40H_1,2.0987471848,8.5406,11.9479,13.5645
T-1.40H_1,4.3757159206,8.6092,13.2774,13.5384
T-1.10H_1,4.9344714223,8.7038,13.4282,13.6837
T-0.40H_1,5.7471031299,8.8625,14.3757,13.1869
T0.0H_1,5.0847104583,8.5564,13.9685,13.1322
T0.30H_1,7.0181620994,8.7447,13.4535,12.4796
T1.0H_1,2.6585059955,8.4072,12.4126,12.338
T1.30H_1,2.9184842881,8.6021,12.075,12.2101
T2.0H_1,3.1821741807,8.5674,11.713799999999999,12.1585
T2.30H_1,1.3415580431,8.7896,12.1238,12.7417
T3.0H_1,0.3768413742,8.3109,11.4871,12.3403
T3.30H_1,-0.7987399891,8.6207,11.5262,12.2105
T4.0H_1,-1.6660911028,8.5811,11.3002,11.7531
T5.0H_1,0.2083384844,8.284,10.8493,11.4151
HPh_1,0.9912708723,8.4878,9.6973,13.9961
HPh_2,1.1508826945,7.971,9.642900000000001,13.8834
HPh_3,1.7908257170000002,8.302,9.9184,13.9816
LPh_1,0.7271792003,8.3892,9.6844,14.0627
LPh_2,0.3202953302,8.5047,9.9714,14.6632
LPh_3,1.4205447902000001,8.4105,9.7221,14.1228
LPhT_1,-0.7295798843,7.9571000000000005,9.9059,13.2688
LPhT_2,-1.4381782421,7.8128,9.676,13.1712
LPhT_3,-1.9182252422000001,8.0801,9.8053,13.3603
SMMPr_1,-0.708537551,8.1462,10.4211,14.0475
SMMPr_2,-0.0900747076,8.4084,10.2438,14.0387
SMMPr_3,0.0555084738,8.471,10.2908,14.0168
HiTm_1,0.0877017701,8.6271,9.1608,14.1183
HiTm_2,-2.8364772992000002,8.6132,10.0633,13.3113
HiTm_3,-2.3651486282,8.7479,10.7522,13.5911
LoTm_1,-1.7301351266,8.6192,11.8691,12.3657
LoTm_2,-1.3125913868999999,8.4461,11.5529,12.2284
LoTm_3,-1.8257117391,8.5552,11.3943,12.255700000000001
HiOs_1,0.1931836513,8.6418,10.9236,13.2213
HiOs_2,1.2545718288,8.5791,10.6846,13.1559
HiOs_3,0.2739861728,8.6433,10.6698,13.2773
BMM_1,-0.174844832,8.5574,10.2846,13.4498
BMM_2,0.1972531626,8.3497,10.1503,13.3205
BMM_3,0.30877982800000003,8.5152,9.9824,13.5462
Heat_1,-1.8201638334,8.9466,10.3836,13.2334
Heat_2,-1.6644064821,8.7102,10.0572,12.9985
Heat_3,-0.9776374873,8.7623,9.6843,12.9208
Cold_1,10.3405413649,11.0429,14.0081,14.8203
Cold_2,10.2653886914,10.1327,13.2944,14.1853
Cold_3,10.0940942347,9.6865,12.1401,13.7563
Etha_1,3.3522738324,7.7642,8.6843,12.8573
Etha_2,3.2306884668,7.8771,8.4891,12.7243
Etha_3,1.9570766319000001,7.6637,8.4855,12.9687
SMM_1,1.7334899402000001,8.4852,10.4839,13.5052
SMM_2,1.369702776,8.4041,10.6598,13.4164
SMM_3,1.0464256686,8.5235,10.7998,13.5245
Salt_1,1.8456113338,7.7887,9.6839,13.4812
Salt_2,1.7105635961,7.6411,9.3111,13.3286
Salt_3,1.6255987395,7.874,9.3717,13.5898
Mt0_1,-0.7849184691000001,8.5409,9.3873,14.1658
Mt0_3,-1.3843496936,8.429,9.5945,14.0834
M0t45_1,1.3648184561,8.3903,9.765,14.1543
M0t45_2,-0.5192795891,8.5577,9.8293,14.1846
M0t45_3,0.0856486912,8.6455,10.3005,14.2651
M0t90_1,0.49939876380000003,8.0282,9.8033,12.6548
M0t90_2,-2.9274181673,8.3042,11.1958,13.7437
M0t90_3,0.3197236759,8.3884,10.7504,13.3157
M40t45_1,2.049797727,8.363,9.0233,13.6425
M40t45_2,1.4335064675,8.6344,10.846,14.0392
M40t45_3,0.280053481,8.6392,10.569,14.097
M40t90_1,0.0252219604,8.1767,9.8261,13.0377
M40t90_2,-1.8682347395,8.4999,10.8184,13.1057
M40t90_3,0.1955466295,8.8045,10.7706,13.594
dia0_1,0.1447777294,8.4562,9.1393,13.697
dia0_2,-0.5272704351,8.4668,9.6697,13.836
dia0_3,-1.7282069916,8.5911,9.9619,14.2766
dia5_1,1.9095453885,8.3671,9.0658,12.4511
dia5_2,1.1662335549,8.3482,9.7587,12.4552
dia5_3,-0.044159113900000005,8.2052,9.5059,12.6806
dia15_1,1.0702988767,8.1715,8.9017,13.6394
dia15_2,0.2369304127,8.3493,9.8205,14.4124
dia15_3,0.6786576638,7.9986,9.1389,13.2235
Diami_1,2.941929209,8.0158,8.7792,12.3456
Diami_2,1.4334157382,7.825,8.713799999999999,12.9074
Diami_3,2.4265145015,8.1729,9.1397,12.8769
Paraq_1,2.3207642558,8.3452,9.7812,14.2324
Paraq_2,0.8458780498,8.3531,10.0497,14.4646
Paraq_3,3.4301644385,7.7274,8.6554,13.0518
H2O2_1,3.1238798887,8.3714,9.2636,13.9536
H2O2_2,2.4207755737,8.5218,9.9525,14.1817
H2O2_3,3.3809012201,8.6165,9.444,13.918800000000001
Oxctl_1,2.7008645122,8.4022,9.704,13.8599
Oxctl_2,2.554985122,8.3763,9.4142,13.7135
Oxctl_3,1.8237626021,8.5137,10.0183,14.478
GM-0.1_1,2.3718684659,8.5507,10.6625,13.419
GM-0.2_1,3.7717790840000003,8.8824,10.6579,13.3759
GM+5_1,2.1830470494,8.4026,10.6396,13.3714
GM+15_1,1.5967554316,8.6136,10.6629,13.531600000000001
GM+25_1,0.2997280314,8.7912,11.0168,13.8283
GM+45_1,0.7325456542000001,8.919,11.0263,13.8168
GM+60_1,0.11824216080000001,8.7868,10.6792,13.9334
GM+90_1,0.9974902106,8.8847,10.9178,13.8087
GM+120_1,3.4978732658,8.6472,10.072,12.8213
GM+150_1,0.7993714216000001,8.3797,10.2154,13.4015
GM-0.1_2,-0.05071229100000001,8.8721,11.0168,13.752
GM-0.2_2,1.3738349124,9.0388,11.1558,13.8708
GM+5_2,1.1810710247,8.6111,10.7393,13.4779
GM+10_2,1.0456129643,8.5848,10.7552,13.5433
GM+15_2,0.36503816310000003,8.5214,10.6991,13.2997
GM+25_2,0.2060320384,8.6464,10.6707,13.492
GM+45_2,1.5794190598,8.042300000000001,9.9072,13.0365
GM+60_2,1.9421973386,8.239,9.9032,12.8823
GM+90_2,0.7114068858,8.8958,10.2558,13.7723
GM+150_2,1.9217257112000001,7.9077,10.0026,12.7105
GM-0.1_3,0.9653732913,8.7629,11.0698,13.4343
GM-0.2_3,0.225317914,8.5783,11.1308,13.5552
GM+5_3,0.9540183192,8.8967,10.8627,13.5866
GM+10_3,1.8980083229,8.0935,9.7809,12.6924
GM+15_3,1.0027880388,8.5488,10.6757,13.3161
GM+25_3,1.8248427659000002,8.413,10.6223,13.1581
GM+45_3,3.6600463319000003,8.9056,10.4202,12.8715
GM+60_3,2.6023017111,8.453,10.3495,12.9321
GM+90_3,1.299232503,8.5347,10.5919,13.4402
GM+120_3,1.7504800874000002,8.8033,10.0528,13.4896
GM+150_3,0.2085885918,8.4253,10.6362,13.4983
MG-0.1_1,-0.0044962852,8.6628,10.7764,13.6023
MG+5_1,1.0656108998,8.6104,10.8878,13.617
MG+10_1,-0.6460308246,8.8285,10.8549,13.9654
MG+15_1,0.1370605023,8.2594,10.0373,13.1208
MG+25_1,-0.1798731762,8.5543,10.5185,13.7609
MG+45_1,-0.3042947109,8.3584,10.3318,13.5406
MG+120_1,1.5693884764,8.2532,9.4208,13.0947
MG+150_1,0.20244380480000002,8.3305,10.5693,13.2405
MG-0.1_2,1.1585033474,8.0075,9.7419,12.8072
MG-0.2_2,-0.3800902463,8.4522,10.266,13.3433
MG+5_2,-0.22514043390000002,8.5283,10.3748,13.3291
MG+10_2,-0.32865532740000003,8.5977,10.3526,13.6988
MG+15_2,-0.0405638527,9.1516,11.1088,14.3943
MG+25_2,0.4447821612,8.3624,10.2617,13.3344
MG+45_2,1.4343380985,8.2845,9.6874,12.8247
MG+60_2,0.9277788771000001,8.6202,10.1511,13.5254
MG+90_2,0.2494821402,8.0353,9.4605,13.0474
MG+120_2,-0.3157738851,8.4646,10.2887,13.4313
MG-0.1_3,-1.0497582287,9.1164,11.267,13.9857
MG-0.2_3,0.0078889527,8.5884,10.9377,13.6561
MG+5_3,0.1443812137,8.516,10.2178,13.3195
MG+10_3,3.1310330567999998,8.4482,9.9705,13.2006
MG+15_3,-0.2401820882,8.7992,10.9781,13.788
MG+25_3,-0.6922976229000001,8.6522,10.5128,13.6718
MG+45_3,-1.1275968699,9.0807,10.5884,13.7991
MG+60_3,1.6544220278,8.688,10.3994,13.3483
MG+90_3,-1.1861030871,8.5486,10.3749,13.5993
MG+120_3,-0.6726667698000001,8.2905,10.1051,13.1479
MG+150_3,-0.15793483500000002,8.3448,10.7111,13.0847
