,A,FecI
ecoli_00063,0.5398652845,-0.596019054
ecoli_00064,2.3151633475,1.587196861
ecoli_00065,2.8054141103,1.7312793929999999
ecoli_00066,1.7165886933,-0.259396936
ecoli_00067,2.3815659894,-0.005216186
ecoli_00068,-2.5037755886,-1.352267261
ecoli_00070,-2.0841319611,-1.751459729
ecoli_00071,-2.6611546093,-1.5132533910000001
ecoli_00072,-2.1110894426,-1.387125033
ecoli_00073,-0.1901471827,-3.272549941
ecoli_00074,1.6816784717000002,-3.381254552
ecoli_00075,-2.1802933849,-4.093445861
ecoli_00077,-1.9931270867,-3.852284257
ecoli_00078,-2.0672311894,-3.885309299
ecoli_00079,-0.4324109578,-3.606658775
ecoli_00080,-2.2219391018,-0.17046502200000002
ecoli_00081,-2.4987596058,-2.53821284
ecoli_00082,1.6112572915,0.373572995
ecoli_00083,1.8648773497,0.655017006
ecoli_00084,0.306848944,-0.5600884230000001
ecoli_00085,0.1256159195,-0.623870129
ecoli_00086,3.4424328875,2.510103107
ecoli_00087,2.9811165497000003,2.652395388
ecoli_00088,2.9794595351,1.917287417
ecoli_00089,3.2677546559,2.080063578
ecoli_00090,1.2105103365,0.027646551000000002
ecoli_00091,0.5004605434,-0.018255189
ecoli_00092,-0.9234780902,-1.250851075
ecoli_00093,-0.47565929290000003,-0.609529576
ecoli_00094,9.563220307,-1.460300804
ecoli_00095,9.06449731,-1.274850198
ecoli_00096,-0.4356976594,-1.177011826
ecoli_00097,-0.5676340475,-0.502360009
ecoli_00098,7.6824331358,-1.316879272
ecoli_00099,8.0766524176,-1.165726964
ecoli_00100,-0.0298965525,-0.026163330000000002
ecoli_00101,-0.6094987723,-0.46010014400000004
ecoli_00102,-0.5776163706,-0.48516152300000004
ecoli_00103,0.4975022163,-1.993016977
ecoli_00104,0.7373306996,-1.888380476
ecoli_00105,-1.1177648192,-0.48819728900000003
ecoli_00106,-1.070178955,-1.107752159
ecoli_00107,-1.1491586306000001,-0.9314725650000001
ecoli_00108,0.947531235,0.593016191
ecoli_00109,1.8893269484,0.711727478
ecoli_00110,-0.2958738997,-0.762967336
ecoli_00111,-0.1524397258,-0.594564763
ecoli_00112,-0.7923985193,-0.321192868
ecoli_00113,-0.4005695199,-1.73594359
ecoli_00114,-0.050540767,-2.059700585
ecoli_00115,-0.1312495367,-2.137373553
ecoli_00116,0.7737812135000001,0.144327652
ecoli_00117,0.0406943745,-0.12411693300000001
ecoli_00118,0.4905244026,0.06315645
ecoli_00119,1.8604311365,0.28335259
ecoli_00120,1.8274910138,0.266969167
ecoli_00121,1.7358707918,0.267001191
ecoli_00122,3.0721396229,1.809395219
ecoli_00123,2.8640379991,1.63437689
ecoli_00124,2.7604514555,1.6246162640000001
ecoli_00125,0.631192457,-1.017246011
ecoli_00126,1.2691813843,-0.202267564
ecoli_00127,0.1846424349,-0.26321926100000004
ecoli_00128,0.6654923569,-1.964687902
ecoli_00129,1.0651860115,-1.069266467
ecoli_00130,-0.15177130660000002,-0.7167399710000001
ecoli_00131,-0.20094087200000002,-1.8052679340000002
ecoli_00132,1.3471836193,-0.18281554
ecoli_00133,3.5551528803,-2.5297849450000003
ecoli_00134,3.4188110248,0.6307474820000001
ecoli_00135,2.8588316789,0.25651698300000003
ecoli_00136,3.2650219216,1.500385458
ecoli_00137,2.4444254061,-0.177369784
ecoli_00138,5.8573217959,-1.651595809
ecoli_00139,2.4391960871,1.023965103
ecoli_00140,3.5898614247,0.14041208800000002
ecoli_00141,3.1628785366,1.11790988
ecoli_00142,3.2172261923,1.373600931
ecoli_00143,-0.6113611585000001,-0.299001008
ecoli_00144,0.0717484216,-2.306027858
ecoli_00145,1.1378969804,-0.479982491
ecoli_00146,-1.3910619450000001,-2.9001073
ecoli_00147,-0.8898703908000001,-3.802378402
ecoli_00148,0.5547612405,-3.163735268
ecoli_00149,-0.5646793664,-2.840123186
ecoli_00150,0.1597002644,-3.531475148
ecoli_00151,2.0197168055,-1.6558122100000001
ecoli_00152,-0.34945485670000004,-0.5052823280000001
ecoli_00153,2.2988837382,-0.5487937190000001
ecoli_00154,-1.0871311497,-4.02567613
ecoli_00155,3.8480654871,0.7844389310000001
ecoli_00157,-0.9521075848,-1.359770031
ecoli_00158,0.4737545781,-0.8359810910000001
ecoli_00159,-1.0960113203,-2.829864744
ecoli_00160,-0.7521120795,0.31589384400000003
ecoli_00169,-1.4281716494,-1.642404928
ecoli_00170,-1.6138777368000001,-1.813670336
ecoli_00171,-0.0200329278,0.58344094
ecoli_00172,-1.3149271345,-0.18900367
ecoli_00173,-0.6211548395000001,-1.532533655
ecoli_00174,-1.4240731876,-1.5767364810000002
ecoli_00175,-0.9246762873000001,-2.918570465
ecoli_00176,-0.7359804299,-2.885980042
ecoli_00177,-1.2046267786,-0.118022808
ecoli_00178,-0.8272399879000001,-0.098197739
ecoli_00179,-1.2585883438,-1.8186582050000002
ecoli_00180,-1.4372124274,-1.362040182
ecoli_00181,-1.2585418234,-1.863261551
ecoli_00182,-2.1967323344,-1.655206269
ecoli_00183,0.6790544506,-0.013340787000000002
ecoli_00184,1.0290182756,0.19355365500000002
ecoli_00185,-1.2936519726,-1.2914808610000001
ecoli_00186,-1.6005000548,-1.2615816579999999
ecoli_00187,-0.7797534986,-1.3870707960000002
ecoli_00188,-1.0320548163,-1.229779501
ecoli_00189,-1.591755119,-2.09343573
ecoli_00190,-1.9343607462999999,-2.075932611
ecoli_00191,-0.8093313062,-0.24668679999999998
ecoli_00192,-0.28283218260000004,-0.478006568
ecoli_00193,-1.7004811583000001,-2.186491234
ecoli_00194,-1.363757138,-2.541671292
ecoli_00195,-0.8016760981000001,-1.275702102
ecoli_00196,-1.468279152,-1.569411412
ecoli_00197,-1.50517731,-1.577900099
ecoli_00198,0.5937854203,-1.252312485
ecoli_00199,-0.2709083605,0.374163338
ecoli_00200,-1.4625828250000001,-0.27981364000000003
ecoli_00201,-1.4831332326,-3.119574119
ecoli_00202,-0.9117555487000001,-2.681776139
ecoli_00203,-0.8467518794000001,-2.8467877660000003
ecoli_00204,-2.4941929684,-3.174558369
ecoli_00205,-2.5187539123000002,-3.449354143
ecoli_00206,-2.9471123477,-3.230973947
ecoli_00207,0.024127264500000002,-1.293511035
ecoli_00208,-0.1089004039,-1.187755636
ecoli_00209,-0.1096058682,-0.091517967
ecoli_00210,-0.2735963238,-0.22499933300000002
ecoli_00211,1.1798838442,1.007727576
ecoli_00212,1.6740616268,1.136305546
ecoli_00213,-1.8891199835,-3.340487236
ecoli_00214,-0.486608931,-2.685363439
ecoli_00215,-1.5358293104,-0.745929501
ecoli_00216,-1.4701130488,-0.850645987
ecoli_00217,1.2003689566,0.697839619
ecoli_00218,0.8020747632,1.291920081
ecoli_00219,-0.3255263648,-0.48402315700000004
ecoli_00220,-0.2539193691,-0.585624637
ecoli_00221,1.2648721694,1.407342797
ecoli_00222,0.5454368257000001,0.7792378790000001
ecoli_00223,-2.3282834829,-2.123767889
ecoli_00224,-2.6105366396000003,-1.890086465
ecoli_00225,-2.483294878,-3.265235164
ecoli_00226,-0.6126371539000001,-2.909370058
ecoli_00227,-1.5314152621,-1.0252929100000001
ecoli_00228,-2.084473741,-1.04046122
ecoli_00229,-2.193402166,-1.241813589
ecoli_00230,-1.9555441978,-1.348134707
ecoli_00231,-2.1392982211,-1.41899934
ecoli_00232,-2.2457579584,-1.43239524
ecoli_00233,-1.7671451592,-0.923205253
ecoli_00234,-1.9546710063,-0.8373428770000001
ecoli_00235,-0.658233882,-0.650402099
ecoli_00236,-0.7374418216,-0.347150067
ecoli_00237,-2.0798472479,-1.765617083
ecoli_00238,-1.667557514,-1.626312671
ecoli_00239,-2.2690464895,-1.734531347
ecoli_00240,-2.2729738585,-1.796494226
ecoli_00241,-0.908001755,-0.407227039
ecoli_00242,-1.1855215192,-0.981627452
ecoli_00243,-0.7739626748,-1.164571336
ecoli_00244,-1.6628663114000002,-1.218623637
ecoli_00245,-1.9812032688999999,-1.1259518210000001
ecoli_00246,0.0143765051,-1.082465171
ecoli_00247,-0.18251233120000002,-1.515235701
ecoli_00248,0.09274936310000001,-0.714706626
ecoli_00249,-0.9698743552,-0.580836833
ecoli_00250,-0.3683211598,-0.660414213
ecoli_00251,-0.1312549254,-1.69098598
ecoli_00252,0.053840459,-1.197354312
ecoli_00253,0.7122722859,-0.05750579200000001
ecoli_00254,0.8398048449000001,-0.225282587
ecoli_00255,2.9077956552,-0.32621028
ecoli_00256,2.9132437226,-0.111237522
ecoli_00257,2.2724355391,-0.350548299
ecoli_00258,2.6923717457,-0.06306703100000001
ecoli_00259,-0.9602627125000001,-1.171798487
ecoli_00260,1.4215269901,-0.547902549
ecoli_00261,-0.25939378090000004,-1.4254801910000001
ecoli_00262,0.0035970583000000003,-1.421767347
ecoli_00263,9.724464448,-1.338684276
ecoli_00264,9.4250407965,-1.662255048
ecoli_00265,6.8763022053,1.8574853550000001
ecoli_00266,6.5443699136,1.941226955
ecoli_00267,-1.0183308515,-3.336332618
ecoli_00268,-0.8554523635,-3.224286237
ecoli_00269,10.6352757386,-0.870935503
ecoli_00270,10.7744315719,-0.858111842
ecoli_00271,7.8622603923,-2.294464388
ecoli_00272,8.614429017500001,-1.572933291
ecoli_00273,2.7838099746,1.299835651
ecoli_00274,2.1607728267,1.190283305
ecoli_00275,2.7892858681,1.46329826
ecoli_00276,2.9604879385,1.292270847
ecoli_00277,-0.009988601500000001,-2.381480754
ecoli_00278,0.6181920365,-1.166375799
ecoli_00279,-0.8462930454,-1.758391615
ecoli_00280,0.24726915160000001,-1.098158136
ecoli_00281,0.6750882245000001,0.057742261
ecoli_00282,-0.911416929,-0.9983116790000001
ecoli_00283,0.8367380166,0.406927238
ecoli_00284,0.6791158766000001,0.39573523
ecoli_00285,-0.7085569235,-1.5469686440000001
ecoli_00286,-1.1301763038,-1.591130366
ecoli_00287,-1.7170672024,-2.403866106
ecoli_00288,-1.7690205568000001,-2.67891852
ecoli_00289,-0.6857274951,-0.27085987100000003
ecoli_00290,-0.3825239174,-0.524592438
ecoli_00291,-0.9273559412000001,-0.988737677
ecoli_00292,-1.8576093817000001,-1.381265762
ecoli_00293,-2.0257474242,-1.656525773
ecoli_00294,-2.1198713397,-1.296238014
ecoli_00295,0.335455691,-0.18086848800000002
ecoli_00296,-0.2668837168,-0.5236742790000001
ecoli_00297,-2.16990949,-1.7312712330000002
ecoli_00298,-2.1364252717,-1.623196816
ecoli_00299,0.0784798543,-1.9106349690000002
ecoli_00300,0.6536378943000001,-1.803407395
ecoli_00301,-0.8150912479,-2.794674547
ecoli_00302,-0.2101904792,-3.351493281
ecoli_00303,-1.8092330438,-1.561700402
ecoli_00304,-2.0339337928,-1.5429007110000001
ecoli_00305,-1.1264902222,-0.819219879
ecoli_00306,-1.7731654783000002,-1.332559172
ecoli_00307,-1.2823807743,-1.4011359190000001
ecoli_00308,-1.9599567032,-1.37997516
ecoli_00309,-0.726764708,-3.547904212
ecoli_00310,-0.7144640031,-2.6100080119999998
ecoli_00311,-2.4777380252,-4.062088144
ecoli_00312,-2.0081654877,-1.5643212750000002
ecoli_00313,-0.0367028339,0.32004202200000004
ecoli_00314,-0.4348186183,0.140469966
ecoli_00315,0.3580231963,-2.756030666
ecoli_00316,0.0884449412,-3.240988376
ecoli_00317,0.9179564776,-3.079839478
ecoli_00318,0.7285367346,-2.996956291
ecoli_00319,-1.5491318811,-1.206462691
ecoli_00320,-1.7338839831000001,-0.912775435
ecoli_00321,-2.3884573436,-1.141591314
ecoli_00322,-1.9044400904,-0.454515314
ecoli_00323,-1.5928502716000001,-1.507463706
ecoli_00324,-2.1992777237,-2.101416781
ecoli_00325,-1.8276186719,-1.371577087
ecoli_00326,-2.2421038531,-2.202947285
ecoli_00327,-0.8383126019,-2.223128597
ecoli_00328,-1.0323867371,-2.426200813
ecoli_00329,-0.483200911,-1.879392299
ecoli_00330,-0.4476037432,-1.47006342
ecoli_00331,-1.7754178691,-2.695482987
ecoli_00332,-1.6917265926,-2.361419384
ecoli_00333,-2.0977613542,-2.8968803
ecoli_00334,-2.173993637,-3.011456917
ecoli_00335,-1.5746745485,-1.463695918
ecoli_00336,-1.74787172,-2.476548467
ecoli_00337,-1.5905970546,-1.9410059140000002
ecoli_00338,-1.8078518024,-2.83006157
ecoli_00339,-1.696709932,-1.805841908
ecoli_00340,-1.4923576639,-2.25906579
ecoli_00341,-1.3847470145,-1.720387286
ecoli_00342,-1.8798974082000002,-1.4578346150000001
ecoli_00343,-2.0126899028,-4.913110613
ecoli_00344,-1.932479674,-5.113277505
ecoli_00345,-1.4106797516,-2.549348278
ecoli_00346,-1.4868544875,-2.871900078
ecoli_00347,-2.2022354069,-1.987642297
ecoli_00348,-2.345881473,-1.7902962530000002
ecoli_00349,-2.8207611003,-2.291232299
ecoli_00350,-2.7889856005,-1.9940351490000001
ecoli_00351,-2.5738131236,-2.943960094
ecoli_00352,-1.9966843632,-1.508579165
ecoli_00353,-2.7466585883,-2.167816643
ecoli_00354,-2.4224702071,-1.5826811219999999
ecoli_00355,-1.5588508805,-1.588359739
ecoli_00356,-1.5877542124000001,-1.6835215319999999
ecoli_00357,-1.6909042349,-1.499631289
ecoli_00358,-1.4648662064,-1.5320885510000002
ecoli_00359,-2.3050269264,-1.453349875
ecoli_00360,-2.3239873569,-1.514534638
ecoli_00361,-2.0020466913,-1.875411603
ecoli_00362,-2.2810596255,-1.439691533
ecoli_00363,-1.7206872604,0.207726711
ecoli_00364,-1.5243513966,0.385924588
ecoli_00365,-3.033961224,-1.044985598
ecoli_00366,-2.6628114632,-0.913605348
ecoli_00367,6.7545180729,-0.14086816800000002
ecoli_00368,6.4137008093,-0.593030127
ecoli_00369,-2.1380660379,0.44337969200000005
ecoli_00370,-1.0326812211,0.35777735400000005
ecoli_00371,-2.1752594506,-0.7418100160000001
ecoli_00372,-2.3428480376,-0.979220167
ecoli_00373,8.7627642026,0.041345151000000004
ecoli_00374,9.1208777476,0.14269330700000002
ecoli_00375,0.1055787116,-0.358405311
ecoli_00376,0.6230540050000001,-0.6646595470000001
ecoli_00377,-2.9553745658,-3.050622449
ecoli_00378,-3.1413748288,-2.876067309
ecoli_00379,7.7615967348,0.9407817650000001
ecoli_00380,8.1052971467,0.843281449
ecoli_00381,-0.5066824624,-0.9395689890000001
ecoli_00382,0.1896598179,-1.166099042
ecoli_00383,-1.9770434352000001,-1.053082637
ecoli_00384,-2.4364041589,-0.9194695930000001
ecoli_00385,9.8684777728,0.490197519
ecoli_00386,9.0801229968,0.288608074
ecoli_00387,0.2761727653,0.203929469
ecoli_00388,0.0340568662,0.11565020200000001
ecoli_00389,-1.7745857904,-3.754232263
ecoli_00390,-1.0286375452,-3.232904465
ecoli_00391,10.2288359377,1.066806649
ecoli_00392,10.3066562518,1.120506804
ecoli_00393,-2.8771810047,-2.139923754
ecoli_00394,-2.7282778036,-2.379201884
ecoli_00395,-0.5782548249,-1.4100674450000001
ecoli_00396,-0.5994704855,-1.868409259
ecoli_00397,0.9094644532,-1.018752671
ecoli_00398,0.7038737516,-1.066441297
ecoli_00399,-2.6042117205,-3.376899753
ecoli_00400,-2.0381474832,-2.2734293020000003
ecoli_00401,-1.6541191332,-1.611953653
ecoli_00402,-1.417418857,-1.251341192
ecoli_00403,-0.6250133131,-3.660751387
ecoli_00404,0.07768781,-2.346847845
ecoli_00405,-2.9208254499,-3.60338558
ecoli_00406,-3.0698043985,-3.570042806
ecoli_00407,-2.0053553921,-1.346994166
ecoli_00408,-1.5590473212,-1.270525774
ecoli_00409,0.7021323341,-1.421534148
ecoli_00410,1.3114937869,-1.109272654
ecoli_00411,-1.9114587790000002,-2.261959166
ecoli_00412,-2.6189442076000002,-2.027487347
ecoli_00413,-1.2412834212,-1.161733503
ecoli_00414,-0.34499374390000004,-1.109246558
ecoli_00415,1.7417041794,0.338323081
ecoli_00416,1.2681247582,-0.33619375
ecoli_00417,-2.3278137618,-2.140725625
ecoli_00418,-2.1216903051,-1.88096254
ecoli_00419,-0.9913465142000001,-1.341781233
ecoli_00420,-1.1339957006999999,-1.665368858
ecoli_00421,3.2877663006,0.010541028000000001
ecoli_00422,2.6422781418,-0.030597347
ecoli_00423,-2.6611082656000002,-2.341208375
ecoli_00424,-2.2647560522,-2.107574367
ecoli_00425,-3.0466294298,-2.5044289390000003
ecoli_00426,-2.7791687533,-2.744100725
ecoli_00427,-1.8096028912,-1.27888449
ecoli_00428,-1.4328743334,-1.3584234240000002
ecoli_00429,-2.1382271898,-1.5581325810000002
ecoli_00430,-1.4799819694,-1.583838244
ecoli_00431,0.8414232613,0.27105158
ecoli_00432,1.413392782,-0.237498326
ecoli_00433,1.3777202522,-0.43238743300000004
ecoli_00434,1.0320082304,-0.9409524930000001
ecoli_00435,-3.0595299694,-2.931051396
ecoli_00436,-3.0674035406,-2.364383808
ecoli_00437,-2.4519126584,-1.617337277
ecoli_00438,-1.5356619245,-1.641533065
ecoli_00439,0.37133819230000004,-1.785002895
ecoli_00440,-0.0339586375,-1.05746797
ecoli_00441,-3.6982927576,-3.236480456
ecoli_00442,-3.9690063846,-3.077713834
ecoli_00443,-3.3931913922,-2.141873295
ecoli_00444,-3.5714304593,-2.354069165
ecoli_00445,-1.469848991,-0.9863773640000001
ecoli_00446,-1.139251289,-0.738696421
ecoli_00447,-2.7310259921,-1.836270489
ecoli_00448,-2.3782818224,-1.92945814
ecoli_00449,-2.6575244617,-2.6701848200000002
ecoli_00450,-2.4697857799,-2.203884625
ecoli_00451,-1.7986108218,-2.6927706650000003
ecoli_00452,-1.8297976861,-2.735563865
ecoli_00453,-2.2977118937,-3.021345598
ecoli_00454,-1.7452936783,-2.430694476
ecoli_00455,0.6532429182,-1.671015082
ecoli_00456,1.2122397422,-1.643832814
ecoli_00457,-0.1146096357,-1.341949972
ecoli_00458,-0.2434744472,-1.33717377
ecoli_00459,-0.0020386650000000003,-2.319870436
ecoli_00460,0.07166074480000001,-2.296849911
ecoli_00461,-0.9199714959,-3.852407158
ecoli_00462,-0.5131453769000001,-3.15670072
ecoli_00463,-1.6465580282,-5.290203177
ecoli_00464,-1.9062490941,-4.92438617
ecoli_00465,-0.0846761612,0.512664837
ecoli_00466,-0.49487050250000003,0.535618131
ecoli_00467,1.1961769906,-4.11710334
ecoli_00468,0.5169428730000001,-3.576999444
ecoli_00469,-0.49615949610000004,0.423423922
ecoli_00470,-0.6825169113,0.46128209400000003
ecoli_00471,2.0234596012,-3.139757226
ecoli_00472,1.5129913338,-2.7634342800000002
ecoli_00473,-2.7335917096999998,-4.971196143
ecoli_00474,-2.3768808863,-4.619455363
ecoli_00475,7.8164754683,-1.565880163
ecoli_00476,7.6867538709000005,-1.479603198
ecoli_00477,8.4409868424,-1.863331738
ecoli_00478,7.94950299,-2.116445661
ecoli_00479,0.7360691891000001,0.9746205950000001
ecoli_00480,1.3442141641,1.058315866
ecoli_00481,2.8144445112,2.034881614
ecoli_00482,2.8105724735,2.039174603
ecoli_00483,-1.8489097062000002,-0.6712808530000001
ecoli_00484,-1.73715004,-0.677626334
ecoli_00485,-0.8837436862,-2.843829305
ecoli_00486,-0.8642582483,-2.95288773
ecoli_00487,0.7935050864000001,-2.479344357
ecoli_00488,1.2200222755,-3.224407337
ecoli_00489,-0.7875238317000001,-5.215609632
ecoli_00490,-0.8314669839000001,-5.016595056
ecoli_00491,8.1856779803,-2.093641539
ecoli_00492,7.7658663087,-2.309747278
ecoli_00493,1.4446713382,-0.231581221
ecoli_00494,1.4731323867000001,-0.198827933
ecoli_00495,2.3764204334,1.592721573
ecoli_00496,1.4665678074000001,1.652754826
ecoli_00497,-0.274498931,0.6069121980000001
ecoli_00498,-0.3410035335,0.638224062
ecoli_00499,2.8365415006,2.049011101
ecoli_00500,2.4230527887,2.024406952
ecoli_00501,8.5003741815,-0.5833244
ecoli_00502,8.621794799,-0.653107459
ecoli_00503,2.5692242675,-2.969613062
ecoli_00504,2.3582955139,-3.046979037
ecoli_00505,-1.2888818657,-3.9258812670000003
ecoli_00506,-1.7764550212999999,-4.639814825
ecoli_00507,-0.8183246501,-0.607471345
ecoli_00508,-0.6857653493,-0.56099009
ecoli_00509,-1.3959860434,-0.59771971
ecoli_00510,-1.0254152821,-0.729256251
ecoli_00511,-0.09316557290000001,-2.60025231
ecoli_00512,-0.4225165099,-2.696153853
ecoli_00513,-0.7027460231,0.42541442
ecoli_00514,-1.2813649312,0.42437058200000005
ecoli_00515,1.6676363771,-0.43236461
ecoli_00516,1.6584884565,-0.525964505
ecoli_00517,-1.2468458663,1.502219276
ecoli_00518,-1.7388967877,-0.439017131
ecoli_00519,-0.9239661702,-1.407912936
ecoli_00520,-1.0966472925,-0.33233228800000003
ecoli_00521,-0.0609510995,0.6831463160000001
ecoli_00522,-1.6430374677000001,0.35816418
ecoli_00523,-1.4847653763,-0.15488570100000001
ecoli_00524,1.2383566545,0.290543887
ecoli_00525,0.7346725483000001,0.18650649900000002
ecoli_00526,0.3416057101,0.290705325
ecoli_00527,0.6626253047,0.278322974
ecoli_00528,2.6045284416000003,1.393577856
ecoli_00529,1.4568051816,0.7345824710000001
ecoli_00530,-1.1633874507,0.314764572
ecoli_00531,1.5200878117,1.336612107
ecoli_00532,-2.164038235,-0.35865945200000005
ecoli_00533,-2.9142781449,0.001318977
ecoli_00534,-2.1862944632,-0.328206936
ecoli_00535,-3.3163028588,-0.058211469
ecoli_00536,-1.2865043441,-1.090248843
ecoli_00537,-0.9805111081000001,-0.9744788990000001
ecoli_00538,-1.6693372553999999,-1.193122571
ecoli_00539,-1.7941662011,-1.183816261
ecoli_00540,2.2198077164,2.12641001
ecoli_00541,1.6140457154,2.063615077
ecoli_00542,1.6239724684999999,2.373455524
ecoli_00543,1.6161192779,2.690371892
ecoli_00544,2.2814603219,1.8951696820000001
ecoli_00545,2.0805453309,2.00738802
ecoli_00546,-1.9115465563,-1.430382999
ecoli_00547,-1.5646587495,-1.023983001
ecoli_00548,-1.2451037871,-1.550972014
ecoli_00549,-0.6604567398,-1.88183626
ecoli_00550,-1.0459041789,-1.742946952
ecoli_00551,-0.8636482114,-1.6775582020000002
ecoli_00552,2.361458307,0.809584395
ecoli_00553,3.438926574,1.8732334800000001
ecoli_00554,0.5839969753,0.344910203
ecoli_00555,0.5394298661,0.35946979300000004
ecoli_00556,0.736413561,1.067521688
ecoli_00557,0.7423631318,1.408882303
ecoli_00558,-1.0206277655,-0.434423702
ecoli_00559,-0.10685609880000001,-0.19249553600000002
ecoli_00560,-1.5690970237,-1.616135638
ecoli_00561,-1.1290182433,-0.9595530600000001
ecoli_00562,-3.0435581612,-1.172828709
ecoli_00563,-3.3399305745,-0.704522033
ecoli_00564,-1.9335817207,-0.7524985160000001
ecoli_00565,-1.4675117075,-0.946937911
ecoli_00566,-2.5272921011,0.35227098100000004
ecoli_00567,-1.7220752111,0.47957652100000003
ecoli_00568,-1.9916097665999999,-1.619156055
ecoli_00569,-1.7104946114000001,-1.7594399040000002
ecoli_00570,-0.9366132256,-0.514263986
ecoli_00571,-0.7108687444,-0.363173939
ecoli_00572,-2.2977178552,0.557347169
ecoli_00573,-2.7877682517,0.18608147600000002
ecoli_00574,-2.5436057993,-3.10644077
ecoli_00575,-2.7337843693,-3.630357607
ecoli_00576,-1.5484545596000001,-4.089428604
ecoli_00577,-0.8458932778,-3.663026796
ecoli_00578,-1.0270297309,-3.12844697
ecoli_00579,0.015249523800000001,-4.420060156
ecoli_00580,-1.7723236772000002,-3.508454298
ecoli_00581,-1.8375191862,-3.949432533
ecoli_00582,-2.4135651362,-2.323276989
ecoli_00583,-2.8282723153,-2.198871746
ecoli_00584,-1.7516846291000001,-0.43866941400000004
ecoli_00585,-1.8017720385,-0.646924711
ecoli_00586,-1.5614682136,-1.387771604
ecoli_00587,-0.5473838102,-1.557715946
ecoli_00588,0.1233907273,-0.254295922
ecoli_00589,0.0882853474,-0.38758546
ecoli_00590,-0.6662239491,0.192335014
ecoli_00591,-1.3168951394000001,-0.24288277300000002
ecoli_00592,1.9993070363,-0.570733122
ecoli_00593,1.6088904596,-0.8973265340000001
ecoli_00594,0.3829902478,-0.932164556
ecoli_00595,0.389625814,-1.275521415
ecoli_00596,0.7746279408000001,-1.070142461
ecoli_00597,1.4455073907,-0.263543366
ecoli_00598,0.9999656856,-0.42453834
ecoli_00599,2.5347536201,0.161935299
ecoli_00600,-2.2475258557,-1.106643315
ecoli_00601,-3.2251388102,-2.376299228
ecoli_00602,-1.197795331,0.676572272
ecoli_00603,-1.2281747694,-0.752732684
ecoli_00604,-0.5819408477,1.635101298
ecoli_00605,-0.5673692174,0.284954364
ecoli_00606,-3.0545281548,-1.4791537620000001
ecoli_00607,-3.2144818357,-1.8945457060000002
ecoli_00608,-1.286869117,-0.7857821060000001
