,A,DksA
abx_media__rpmi_ctrl__1,10.32677502,-0.35661470300000003
abx_media__rpmi_ctrl__2,13.0333862394,-0.671837758
abx_media__camhb_ctrl__1,16.6337020002,-1.26582222
abx_media__camhb_ctrl__2,17.5945962387,-1.24608274
abx_media__m9_mero__1,-1.5348247277,-0.42951079600000003
abx_media__m9_mero__2,1.4821453215,-0.7076635280000001
abx_media__rpmi_mero__1,15.7252153537,-1.369813513
abx_media__rpmi_mero__2,15.0541500762,-1.003024202
abx_media__camhb_mero__1,21.5850387357,-2.024460382
abx_media__camhb_mero__2,21.5737181099,-2.102466215
abx_media__m9_trisulf__1,4.3475888871,-1.1510036590000001
abx_media__m9_trisulf__2,5.3201492274,-1.14110746
abx_media__rpmi_trisulf__1,19.6705399285,-1.548819377
abx_media__rpmi_trisulf__2,19.732166014,-1.640190636
abx_media__camhb_trisulf__1,17.2645258858,-1.601520266
abx_media__camhb_trisulf__2,17.4135363657,-1.6466810230000002
abx_media__m9_cef__1,5.691497913,-0.700302598
abx_media__m9_cef__2,7.5894761843000005,-0.7375415590000001
abx_media__rpmi_cef__1,16.8016212545,-2.298123142
abx_media__rpmi_cef__2,16.5721389228,-2.291802374
abx_media__camhb_cef__1,18.427402571400002,-1.6032851030000002
abx_media__camhb_cef__2,18.4006217173,-1.668433162
abx_media__m9_cipro__1,5.2644783007000004,-0.548736022
abx_media__m9_cipro__2,5.0295212012,-0.448751805
abx_media__rpmi_cipro__1,18.1848775384,-2.438067425
abx_media__rpmi_cipro__2,17.1342798519,-1.949130647
abx_media__camhb_cipro__1,19.3655339909,-1.759419408
abx_media__camhb_cipro__2,18.4762104482,-1.832295124
hot_tale__42c_ale3_30c__1,7.5717174296,-0.16828395100000001
hot_tale__42c_ale3_30c__2,6.2538358951,-0.15808277
hot_tale__42c_ale3_37c__1,4.3619623711,-0.174052737
hot_tale__42c_ale3_37c__2,5.0374409922,-0.300134351
hot_tale__42c_ale3_44c__1,-11.5232674007,-0.35372308700000005
hot_tale__42c_ale3_44c__2,-12.7236720246,-0.41834804600000003
hot_tale__hot_ale3_mid_30c__1,1.1555126053,-0.41948003300000003
hot_tale__hot_ale3_mid_30c__2,-0.3513829066,-0.341984428
hot_tale__hot_ale3_mid_37c__1,3.7673419612,-0.625350668
hot_tale__hot_ale3_mid_37c__2,3.9985205212,-0.39104282500000004
hot_tale__hot_ale3_mid_44c__1,-3.5897524011,-0.6706296860000001
hot_tale__hot_ale3_mid_44c__2,-5.4142047796,-0.37252681
hot_tale__hot_ale3_30c__1,0.6744094005,-0.6673598620000001
hot_tale__hot_ale3_30c__2,2.8787664552,-0.56107188
hot_tale__hot_ale3_37c__1,4.3527600783,-0.5495812760000001
hot_tale__hot_ale3_37c__2,4.5826688239,-0.518447031
hot_tale__hot_ale3_44c__1,-3.0979616495,-0.535002082
hot_tale__hot_ale3_44c__2,-1.1266038666,-0.652296745
hot_tale__hot_ale4_30c__1,6.8664961583,-0.00211112
hot_tale__hot_ale4_30c__2,7.1399938434,-0.07023604
hot_tale__hot_ale4_37c__1,6.3616221768,0.06492154
hot_tale__hot_ale4_37c__2,6.700249322,-0.02175881
hot_tale__hot_ale4_44c__1,-3.6377832959000003,-0.38030602100000005
hot_tale__hot_ale4_44c__2,-3.9856708551,-0.335214181
hot_tale__hot_ale8_30c__1,6.0190179905,-0.235860745
hot_tale__hot_ale8_30c__2,6.6670145891,-0.23975657900000003
hot_tale__hot_ale8_37c__1,5.3620564371,-0.212132966
hot_tale__hot_ale8_37c__2,4.9319595217,-0.168522109
hot_tale__hot_ale8_44c__1,-5.6929781788,-0.394216273
hot_tale__hot_ale8_44c__2,-5.196789343,-0.394200268
hot_tale__hot_ale9_mid_30c__1,3.9523495894,0.10642766000000001
hot_tale__hot_ale9_mid_30c__2,5.4551367575,0.04359902
hot_tale__hot_ale9_30c__1,7.8537053702,0.0901718
hot_tale__hot_ale9_30c__2,7.5088204948,0.012192699999999999
hot_tale__hot_ale9_mid_37c__1,5.389788662,-0.06652305
hot_tale__hot_ale9_mid_37c__2,4.3347787488,0.08088179
hot_tale__hot_ale9_37c__1,5.5970485965,-0.211555822
hot_tale__hot_ale9_37c__2,5.1083646468,-0.14378286
hot_tale__hot_ale9_mid_44c__1,-7.077761184,-0.112221
hot_tale__hot_ale9_mid_44c__2,-8.4677077705,-0.07825985
hot_tale__hot_ale9_44c__1,-4.6161027253,-0.513469999
hot_tale__hot_ale9_44c__2,-4.1938329115,-0.300721891
hot_tale__hot_ale10_30c__1,4.7469530989,-0.262335822
hot_tale__hot_ale10_30c__2,5.0550918966,-0.181188323
hot_tale__hot_ale10_37c__1,5.4806788339,-0.470599193
hot_tale__hot_ale10_37c__2,5.1799717855,-0.415462349
hot_tale__hot_ale10_44c__1,-6.5006660043,-0.11720648
hot_tale__hot_ale10_44c__2,-8.8426521759,-0.12861044
hot_tale__hot_ale16_30c__1,5.3418430326,-0.16001784
hot_tale__hot_ale16_30c__2,5.6104600498,-0.177432413
hot_tale__hot_ale16_37c__1,3.9893941717,0.00842335
hot_tale__hot_ale16_37c__2,4.0276797239,0.032337
hot_tale__hot_ale16_44c__1,-5.3448996309,0.20115012000000002
hot_tale__hot_ale16_44c__2,-7.4303445458,0.31535444
pdhr_ale__pdhR-13_51__1,-3.0820256301,-0.709479029
pdhr_ale__pdhR-13_51__2,-2.851599118,-0.746252334
pdhr_ale__pdhR-14_46__1,-6.9832820454,-0.35736464900000003
pdhr_ale__pdhR-14_46__2,-2.5732489604,-0.325139716
pdhr_ale__pdhR-15_51__1,-1.9255969233,-0.8787877550000001
pdhr_ale__pdhR-15_51__2,-3.1943284187,-0.776943791
pdhr_ale__pdhR-16_49__1,-4.722912698,-0.5672769590000001
pdhr_ale__pdhR-16_49__2,-4.1761052899,-0.253608451
tcs__del_atoC_LiAcet__1,0.6852998777,-1.085638746
tcs__del_atoC_LiAcet__2,2.2819633749,-0.9434681690000001
tcs__del_atoC_LiCl__1,-0.0981940329,-0.609602667
tcs__del_atoC_LiCl__2,1.2113810516,-0.529421017
tcs__del_atoC_m9__1,-2.3022991838999998,-0.6191831910000001
tcs__del_atoC_m9__2,-2.4913572704,-0.594161012
tcs__del_baeR_etoh__1,-28.8055566118,-1.380503462
tcs__del_baeR_etoh__2,-28.957481743,-1.271108159
tcs__del_baeR_lb__1,-19.0721255407,0.1935961
tcs__del_baeR_lb__2,-18.99677306,0.22101684
tcs__del_btsR_01xlb__1,-10.1507194909,0.31789951
tcs__del_btsR_01xlb__2,-10.2248097873,0.28933159999999997
tcs__del_btsR_lb__1,-10.5820783948,0.08273724
tcs__del_btsR_lb__2,-9.9086336345,-0.02615744
tcs__del_btsR_pyruvate__1,-8.5891782115,0.47339103
tcs__del_btsR_pyruvate__2,-8.3186126397,0.35575328
tcs__del_cpxR_etoh__1,-27.3891050715,-1.134445679
