,A,RpoH
ica__no3_anaero__1,3.5385215355,8.7773691001
ica__no3_anaero__2,3.6441215701000003,8.7280508076
ica__phe_acgam__1,2.3898588707,8.3185516787
ica__phe_acgam__2,1.307901266,8.277625385
ica__thm_gal__1,1.5086902849000001,8.5167814943
ica__thm_gal__2,1.3949631783,8.5610484309
ica__tyr_glcn__1,1.9736026219,8.2930700497
ica__tyr_glcn__2,1.5041735018,8.2764584664
ica__ura_pyr__1,0.5585043428,8.4045326148
ica__ura_pyr__2,-0.22749031800000002,8.6980680193
ica__wt_glc__5,3.7356010035000002,8.5490048476
ica__wt_glc__6,4.3543220357,8.6294696935
ica__bw_delpurR_cytd__1,4.5806467704,8.3678930858
ica__bw_delpurR_cytd__2,4.3447207009,8.3059063235
ica__ade_glc__1,2.061565768,9.196586733
ica__ade_glc__2,1.8917260045000002,9.0990550644
ytf__wt_glc__1,2.7599565335,8.7371000265
ytf__wt_glc__2,5.3505004664,8.9943210034
ytf__delyafC__1,-0.2867905254,9.1785605702
ytf__delyafC__2,0.40130901350000003,9.1527121355
ytf__delyeiE__1,-1.2191389491,8.5214080013
ytf__delyeiE__2,-0.42296892340000003,8.4234016752
ytf__delyiaJ__1,-0.029395335600000003,8.707638579
ytf__delyiaJ__2,1.8994675335000002,9.0098565666
ytf__delyieP__1,2.7483528702999998,9.384511614200001
ytf__delyieP__2,2.4937044195,9.7595907849
ytf__wt_ph5__1,2.7040417917,8.5120413133
ytf__wt_ph5__2,2.219818497,8.6412822563
ytf__wt_ph8__1,2.3631569388,8.8849771992
ytf__wt_ph8__2,2.5558944047,9.0470445977
ytf__delybaO__1,0.6678311991,9.0428758581
ytf__delybaO__2,2.1511287424,9.0906045365
ytf__delybaQ__1,3.2657238893000002,8.7217784536
ytf__delybaQ__2,3.4418622545,8.8632106996
ytf__delybiH__1,0.8183383278,9.5445148717
ytf__delybiH__2,2.149340779,9.9660519499
ytf__delydcI_ph5__1,0.9460921961000001,8.3277331914
ytf__delydcI_ph5__2,1.6594477676000001,8.3229653983
ytf__delydcI_ph8__1,2.8084415270000003,8.9688051367
ytf__delydcI_ph8__2,3.4325152722,8.8216266557
ytf__delyddM__1,-0.5474136915,9.0436200211
ytf__delyddM__2,-0.2882106559,9.0641817683
ytf__delyheO__1,0.2659496964,9.1502980122
ytf__delyheO__2,1.6789735828999999,9.2973483714
fps__bw_glc__1,2.0285990184,8.6011108048
fps__bw_glc__2,2.7913709187,8.7989967713
fps__fps_thrA_ale1__1,1.1497247232,9.0016081858
fps__fps_thrA_ale1__2,1.1754813064,8.7179156328
fps__fps_thrA_ale2__1,2.1464919205,8.4769676687
fps__fps_thrA_ale2__2,2.3855533909,8.4892692552
fps__fps_serB_ale1__1,1.5775999111,8.7385641415
fps__fps_serB_ale1__2,2.0621606266,8.5712101902
fps__fps_serB_ale4__1,-0.12574921760000002,8.9415431803
fps__fps_serB_ale4__2,0.4190571691,8.5126246803
fps__fps_ptsI_ale1__1,2.9494384689,8.8817490183
fps__fps_ptsI_ale1__2,2.8134572258,8.6941234042
fps__fps_ptsI_ale3__1,3.4384264947,8.5351640491
fps__fps_ptsI_ale3__2,3.760061378,8.6575304756
pal__lyx_ale2_f6__1,-0.6397016859,8.8913492163
pal__lyx_ale2__1,4.2569954057,8.3556828445
pal__lyx_ale2__2,3.7596652057,8.4091005703
pal__lyx_ale4__1,4.2569954057,8.3556828445
pal__lyx_ale4__2,3.7596652057,8.4091005703
pal__5drib_ale10_f18__1,0.1425061051,8.6400045999
pal__5drib_ale10_f18__2,-1.3499925718,8.6269150693
pal__5drib_ale10__1,0.8745528466,8.5387068798
pal__arab_ale14_f9__1,3.9316847268,9.0630442386
pal__arab_ale14_f9__2,3.8892342901,8.9404010505
pal__arab_ale14__1,0.060825098,8.0255073957
pal__arab_ale14__2,-0.42310678030000004,8.2243481069
pal__arab_ale16__1,-2.137485157,8.4353149082
pal__arab_ale16__2,3.3132750847,8.9352679572
pal__tartr_ale26_f10__1,-0.4292967755,8.7839624791
pal__tartr_ale26_f10__2,-0.0817204941,8.8288524131
pal__tartr_ale26__1,5.3208926772,8.4640266864
pal__tartr_ale26__2,2.7108433818,8.4806064569
pal__tartr_ale28_f10__1,5.3880854358,9.7071278705
pal__tartr_ale28_f10__2,3.912418945,9.7394614168
pal__tartr_ale28__1,2.5277516066,8.5856213437
pal__tartr_ale28__2,-0.0754835262,8.9415243405
efeU__delmenFentC_citr__1,1.7101128628,8.5181516138
efeU__delmenFentC_citr__2,2.2237650186,8.9388798141
efeU__delmenFentC__1,3.1727320945,8.854669371
efeU__delmenFentC__2,2.0677610708,8.7992772474
efeU__menFentC_ale39__1,-0.8183428406000001,9.5910318993
efeU__menFentC_ale39__2,-1.1648471428,9.3468038696
efeU__menFentC_ale29__1,-2.2474416182,9.4127920094
efeU__menFentC_ale29__2,-3.0959314119,9.2223942325
efeU__menFentC_ale30__1,3.9871309482,8.6277519035
efeU__menFentC_ale30__2,4.5407931846,8.7282496921
efeU__menFentCubiC_ale36__1,2.9518893796,8.9237578024
efeU__menFentCubiC_ale36__2,2.7962990564,8.8148099037
efeU__menFentCubiC_ale37__1,3.3750527121,8.6172732909
efeU__menFentCubiC_ale37__2,2.4830193349,8.7299183056
efeU__menFentCubiC_ale38__1,4.8342005065,8.4157154722
efeU__menFentCubiC_ale38__2,3.7177546504,8.62198988
