,A,SknR
ferm_1,3.1035628147,-0.5583666667
ferm_2,0.3756961652,-0.9186666667000001
ferm_3,7.0233354292,-0.5414666667
T-5.40H_1,8.1185979453,0.09263333330000001
T-4.40H_1,3.2168306259,-0.2323666667
T-3.40H_1,2.8431852855,-0.1514666667
T-2.40H_1,-0.5658895499000001,-0.4813666667
T-1.40H_1,1.4795211182,-0.4292666667
T-1.10H_1,6.8802024569,-0.4625666667
T-0.40H_1,8.3816656541,-0.1927666667
T0.0H_1,4.6285052559,-0.5254666667
T0.30H_1,-16.7076428611,-0.1814666667
T1.0H_1,-18.0488287652,-0.7450666667
T1.30H_1,-25.8573237573,-0.6626666667000001
T2.0H_1,-29.878084742,-1.0600666667
T2.30H_1,-13.5643375743,-0.3916666667
T3.0H_1,-14.6284758123,-0.7242666667000001
T3.30H_1,-13.3060727892,-0.5358666667
T4.0H_1,-7.5685538052,-0.5958666667
T5.0H_1,-16.5609903993,-1.3728666667
HPh_1,-5.8389345317,-0.07806666670000001
HPh_2,-3.8788993624,-0.3397666667
HPh_3,-8.4532540758,0.1628333333
LPh_1,-4.0404375335,-0.21836666670000002
LPh_2,4.0648926278,-0.17776666670000002
LPh_3,-6.9885641991,-0.2929666667
LPhT_1,-10.1368244139,0.21703333330000002
LPhT_2,-5.6866316315,-0.0234666667
LPhT_3,-4.424889565,0.0718333333
SMMPr_1,7.3328045913,-0.5628666667000001
SMMPr_2,2.099896047,-0.5949666667
SMMPr_3,1.8858104435,0.0038333333
HiTm_1,-9.3057435431,-0.39136666670000003
HiTm_2,-0.40436833850000004,-0.2123666667
HiTm_3,-1.8388625651,0.20043333330000002
LoTm_1,8.7302131315,0.4394333333
LoTm_2,6.1487188912,0.2045333333
LoTm_3,9.6987514178,-0.0366666667
HiOs_1,3.0403103548,0.054433333300000004
HiOs_2,-2.3075166716,-0.1406666667
HiOs_3,-0.19829714280000002,-0.06446666670000001
BMM_1,4.7194768620000005,-0.4282666667
BMM_2,1.2246385696,-0.7176666667
BMM_3,-0.6008126861,-0.3954666667
Heat_1,2.7593277761,-0.2788666667
Heat_2,5.2761381941,-0.7573666667000001
Heat_3,-5.09697189,-0.5062666667
Cold_1,5.8416920626,0.8190333333
Cold_2,-4.1906646009,0.6217333333
Cold_3,-12.4184466902,0.2918333333
Etha_1,-17.7363042973,-2.0649666667
Etha_2,-24.8517725986,-1.5073666666999999
Etha_3,-14.7729058602,-1.7155666667
SMM_1,-1.0379374554,-0.2519666667
SMM_2,1.8243879557,-0.2793666667
SMM_3,3.1772832767,-0.0963666667
Salt_1,-4.6624580091,-1.4871666667
Salt_2,-4.341774945,-1.5716666667
Salt_3,-4.2368402029,-1.4847666667000001
Mt0_1,-2.2560287116,-0.6904666667
Mt0_3,5.4389913919,-0.7785666667000001
M0t45_1,-3.1871281258,-0.5342666667
M0t45_2,1.9511925803999999,-0.4127666667
M0t45_3,5.9212968529,-0.0070666667
M0t90_1,-23.8994811653,-1.3740666667
M0t90_2,-0.16334198400000002,-0.5005666667
M0t90_3,-11.2917314092,-1.0517666667
M40t45_1,-11.1999707807,-0.9221666667
M40t45_2,-7.9820757138000005,0.1511333333
M40t45_3,9.4926263349,-0.1387666667
M40t90_1,-17.0686519751,-1.7586666667
M40t90_2,-3.8462985779,-0.6270666667
M40t90_3,-7.0693788493,-0.6124666667
dia0_1,-4.0686097195,-0.8052666667
dia0_2,-0.8806479211,-0.1009666667
dia0_3,7.3739059926,-0.0569666667
dia5_1,-8.2796876728,-0.8697666667
dia5_2,-6.6523858802,-1.3487666667
dia5_3,0.4300552304,-1.2562666667
dia15_1,1.7929216156,-3.0185666667
dia15_2,4.5462061941,-1.0864666667
dia15_3,-7.2134965539,-0.0648666667
Diami_1,-14.7487169794,-2.7608666667
Diami_2,-4.5109925392,-2.1301666667
Diami_3,-13.2695896606,-2.0813666667
Paraq_1,-7.8104332393,-1.5599666667
Paraq_2,2.5687648097,-0.9135666667000001
Paraq_3,-18.2749365707,-2.6662666667
H2O2_1,-5.2203031542,-1.6341666667
H2O2_2,-1.2518620235,-1.3499666667
H2O2_3,-8.3395221649,-1.7159666667
Oxctl_1,-18.019704943,-1.3099666667
Oxctl_2,-15.1860901265,-1.1465666667
Oxctl_3,-1.416200219,-0.8754666667000001
GM-0.1_1,-1.8423540723,-0.3947666667
GM-0.2_1,-11.6169179297,-0.7848666667
GM+5_1,-1.6783029936,-0.3138666667
GM+15_1,3.0106486071,-0.2204666667
GM+25_1,9.4848314338,0.1957333333
GM+45_1,4.7409139083,0.1706333333
GM+60_1,7.4258598163,0.1329333333
GM+90_1,3.1651641512,-0.2066666667
GM+120_1,-21.9553117204,-1.0678666667
GM+150_1,-8.5233920003,-0.3097666667
GM-0.1_2,8.2955687772,0.0657333333
GM-0.2_2,-3.0071056908,0.1889333333
GM+5_2,8.3331238651,-0.0660666667
GM+10_2,6.5460844988,-0.38976666670000004
GM+15_2,-1.2006814774,-0.23146666670000002
GM+25_2,3.3537031170000002,0.2235333333
GM+45_2,-1.2026209219,-0.9892666667000001
GM+60_2,-10.597248633,-0.7859666667
GM+90_2,-6.3753123461,0.0609333333
GM+150_2,-9.4607420497,-0.8528666667
GM-0.1_3,-0.3271542811,0.0653333333
GM-0.2_3,6.8830855366,-0.0005666667
GM+5_3,4.7966501893,0.1205333333
GM+10_3,-8.9533876271,-1.1124666667
GM+15_3,1.0383458967,-0.0788666667
GM+25_3,-7.6966096953,-0.42306666670000004
GM+45_3,-16.9210501419,-1.0036666667
GM+60_3,-14.508069842,-0.7645666667000001
GM+90_3,-8.8795035544,-0.25626666670000003
GM+120_3,-17.9056102843,-0.0729666667
GM+150_3,-2.4716052908,-0.3954666667
MG-0.1_1,3.2768078506,-0.1030666667
MG+5_1,-2.4314836297999998,-0.1508666667
MG+10_1,7.1541687809,0.0318333333
MG+15_1,-4.8966236977,-0.4323666667
MG+25_1,1.446430944,0.0015333333
MG+45_1,-2.6302694473,0.2513333333
MG+120_1,-14.1359443932,-0.7833666667
MG+150_1,-5.4746594881,-0.3427666667
MG-0.1_2,-4.4018339894,-0.8656666667
MG-0.2_2,1.5518905616,-0.3733666667
MG+5_2,4.5566512758,-0.35406666670000003
MG+10_2,4.3910676967,0.0011333333000000001
MG+15_2,1.4941662822000001,0.3798333333
MG+25_2,-2.3391647065,-0.45376666670000004
MG+45_2,-8.0475221685,-1.1825666667
MG+60_2,-2.524619343,-0.3753666667
MG+90_2,0.3355442984,-0.7402666667000001
MG+120_2,-0.2671136148,0.020433333300000002
MG-0.1_3,6.2321224275,0.5886333333
MG-0.2_3,-3.8012732947,0.2570333333
MG+5_3,-9.5468587052,0.1007333333
MG+10_3,-15.7658909652,-0.6324666667000001
MG+15_3,3.216442674,0.41453333330000003
MG+25_3,2.4987073912,0.2855333333
MG+45_3,6.076221984,0.24373333330000002
MG+60_3,-5.9301602696,-0.30866666670000004
MG+90_3,4.9152502588,0.18353333330000002
MG+120_3,-1.5687976287,0.0601333333
MG+150_3,-1.6312077126,0.1298333333
