,A,ResD
Diami_2,-3.9567589057,12.2554
Diami_3,-4.0634673801,12.1103
Paraq_1,0.3135271443,12.6777
Paraq_2,0.40282374,13.0268
Paraq_3,-1.4904530168,11.4446
H2O2_1,-1.4006088798,12.9753
H2O2_2,-1.6291559925999999,13.184
H2O2_3,-2.9487726102,12.8963
Oxctl_1,2.3784331388,12.5483
Oxctl_2,2.5140514194,12.3575
Oxctl_3,2.8035039125,13.016
GM-0.1_1,-1.0513008023000001,12.0012
GM-0.2_1,-1.6914868403,11.91
GM+5_1,-0.4048622209,11.8143
GM+15_1,3.8431167676999998,12.2581
GM+25_1,2.5048504643,12.3109
GM+45_1,0.030951102,12.2771
GM+60_1,-0.011316974700000001,12.0815
GM+90_1,-0.0813676073,12.2789
GM+120_1,-1.6096865278,11.2852
GM+150_1,0.6125612047,11.7133
GM-0.1_2,-0.6858661392000001,12.0812
GM-0.2_2,-2.2231927425,12.2682
GM+5_2,0.9147926091,12.3489
GM+10_2,6.0443924319,12.2617
GM+15_2,4.8401160323,12.0505
GM+25_2,3.3846479161,11.8051
GM+45_2,-1.2791438695,11.0178
GM+60_2,-1.6862527096000002,10.9621
GM+90_2,-0.0767567678,11.8229
GM+150_2,30.0602574206,13.8189
GM-0.1_3,-2.9374415993,12.0189
GM-0.2_3,-2.5249432054,11.713
GM+5_3,-2.1236160388,12.0271
GM+10_3,-0.46527114,10.8529
GM+15_3,0.7422789432,11.6582
GM+25_3,0.2634145559,11.2284
GM+45_3,-2.5495511395,11.14
GM+60_3,-1.3373522247,10.9514
GM+90_3,-1.4816875759,11.6849
GM+120_3,-0.1746959726,11.6072
GM+150_3,1.222118587,12.0852
MG-0.1_1,3.9317690845,13.0024
MG+5_1,4.9155016649,12.549900000000001
MG+10_1,3.9605897177,12.7248
MG+15_1,1.6465922256,11.6281
MG+25_1,0.7820311009,11.9287
MG+45_1,0.5984310029000001,12.0733
MG+120_1,-5.7300191798,10.7827
MG+150_1,0.5767463327,12.1198
MG-0.1_2,3.9615778180000003,12.2509
MG-0.2_2,5.2909599789,12.7683
MG+5_2,6.3698045287,12.3115
MG+10_2,5.1244078753,12.4499
MG+15_2,4.0538694316,13.0808
MG+25_2,2.7205498445,12.0743
MG+45_2,2.6715591852,11.5913
MG+60_2,4.1986612289,12.1644
MG+90_2,1.4348157006,11.6267
MG+120_2,-4.8712315869000005,12.0931
MG-0.1_3,8.514924715,13.8509
MG-0.2_3,7.6019959295,13.1179
MG+5_3,8.0294987277,12.2989
MG+10_3,5.0949867899,12.1488
MG+15_3,7.2873576502,12.97
MG+25_3,6.7050936603,12.5867
MG+45_3,7.5533294367,13.1891
MG+60_3,7.754388797,12.3172
MG+90_3,0.9287293381,12.4313
MG+120_3,-5.3983940107,11.8515
MG+150_3,-1.4768019302,11.8628
