,ReleaseDate,project,Media,Strain,Growth phase,Condition details,Reference,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_similar_replicates,passed_number_replicates,passed_replicate_correlations,PMID,doi,condition,full_condition_name,reference_condition,replicate,sample,n_replicates
SRX1081651,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1272-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,21.0
SRX1081652,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1272-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,21.0
SRX1081653,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1279-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,4.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,21.0
SRX1081654,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1279-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,5.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,21.0
SRX1081655,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1279-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,6.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,21.0
SRX1081656,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1438-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,7.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,21.0
SRX1081657,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1438-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,8.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,21.0
SRX1081658,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1438-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,9.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,21.0
SRX1081659,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1526-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,10.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,21.0
SRX1081660,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1526-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,11.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,21.0
SRX1081661,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1526-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,12.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,21.0
SRX1081662,2015-11-06 17:15:00,ME_vs_S,THY,MGAS2221-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,13.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,21.0
SRX1081663,2015-11-06 17:15:00,ME_vs_S,THY,MGAS2221-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,14.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,21.0
SRX1081664,2015-11-06 17:15:00,ME_vs_S,THY,MGAS2221-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,15.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,21.0
SRX1081665,2015-11-06 17:15:00,ME_vs_S,THY,MGAS5314-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,16.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,21.0
SRX1081666,2015-11-06 17:15:00,ME_vs_S,THY,MGAS5314-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,17.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,21.0
SRX1081668,2015-11-06 17:15:00,ME_vs_S,THY,MGAS5314-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,18.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,21.0
SRX1081669,2015-11-06 17:15:00,ME_vs_S,THY,SF370-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,19.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,21.0
SRX1081670,2015-11-06 17:15:00,ME_vs_S,THY,SF370-2,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,20.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,21.0
SRX1081671,2015-11-06 17:15:00,ME_vs_S,THY,SF370-3,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,21.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,21.0
SRX1081672,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1272-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,21.0
SRX1081673,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1272-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,21.0
SRX1081674,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1272-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,21.0
SRX1081675,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1279-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,4.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,21.0
SRX1081676,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1279-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,5.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,21.0
SRX1081677,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1279-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,6.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,21.0
SRX1081678,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1438-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,7.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,21.0
SRX1081679,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1438-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,8.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,21.0
SRX1081680,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1438-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,9.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,21.0
SRX1081681,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1526-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,10.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,21.0
SRX1081682,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1526-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,11.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,21.0
SRX1081683,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1526-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,12.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,21.0
SRX1081684,2015-11-06 17:15:00,ME_vs_S,THY,MGAS2221-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,13.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,21.0
SRX1081685,2015-11-06 17:15:00,ME_vs_S,THY,MGAS2221-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,14.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,21.0
SRX1081686,2015-11-06 17:15:00,ME_vs_S,THY,MGAS2221-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,15.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,21.0
SRX1081687,2015-11-06 17:15:00,ME_vs_S,THY,MGAS5314-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,16.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,21.0
SRX1081688,2015-11-06 17:15:00,ME_vs_S,THY,MGAS5314-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,17.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,21.0
SRX1081689,2015-11-06 17:15:00,ME_vs_S,THY,MGAS5314-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,18.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,21.0
SRX1081690,2015-11-06 17:15:00,ME_vs_S,THY,SF370-1,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,19.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,21.0
SRX1081691,2015-11-06 17:15:00,ME_vs_S,THY,SF370-2,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,20.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,21.0
SRX1081692,2015-11-06 17:15:00,ME_vs_S,THY,SF370-3,Stationary,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_early-stationary_OD1.8,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8,THY_None_WT_mid-exponential_OD1.0,21.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,21.0
SRX1962715,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_2,Mid-exponential,WT,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_WT_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential,THY_None_WT_exponential,1.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,3.0
SRX1962716,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_3,Mid-exponential,WT,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_WT_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential,THY_None_WT_exponential,2.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,3.0
SRX1962717,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_4,Mid-exponential,WT,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_WT_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential,THY_None_WT_exponential,3.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,3.0
SRX1962718,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_1,Mid-exponential,Del-ccpA,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_Del-ccpA_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential,THY_None_WT_exponential,1.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,4.0
