,A,sigH,Rv1828
MTS1338:over_expression:1,0.5703739924,0.311642762,-0.059339306
MTS1338:over_expression:2,-0.5703739924,-0.311642762,0.059339306
PAS:control:1,-0.2336015804,0.1215466719,-0.06885129770000001
PAS:control:2,0.4268746599,-0.17407239100000002,-0.0169621821
PAS:control:3,-0.1932730795,0.0525257191,0.08581347980000001
PAS:treated:1,3.6121696595,1.0457034949,0.2998567244
PAS:treated:2,4.198952932,1.1195981661,0.2779125991
PAS:treated:3,4.4242918029,0.9646039638,0.2922634618
THP-1:24h_THP_B_enriched:1,-1.2875092244,-0.0030573447000000003,0.10807949100000001
THP-1:24h_THP_B_enriched:2,1.2875092244,0.0030573447000000003,-0.10807949100000001
aminoimidazoles:02h_treated:1,-5.6289114447,0.2251996675,-0.0278554939
aminoimidazoles:02h_treated:2,-5.5391362665,0.0479498952,-0.0840069788
aminoimidazoles:24h_treated:1,-3.9193095641,0.4758324767,-0.0846064512
aminoimidazoles:24h_treated:2,-3.4081398524,0.3266513561,0.0018305675000000001
aminoimidazoles:untreated:1,0.14880980030000002,-0.0347839221,-0.0843047179
aminoimidazoles:untreated:2,0.1043859256,-0.0124380476,0.0644705144
aminoimidazoles:untreated:3,-0.2531957259,0.047221969700000005,0.0198342035
antibiotic:ctrl_24h:1,-0.3427048257,-0.1861700957,0.1553943522
antibiotic:ctrl_24h:2,0.19208455600000002,-0.0488938271,-0.1085978952
antibiotic:ctrl_24h:3,0.5888835171,-0.1553868706,0.0522938203
antibiotic:ctrl_4h:1,0.0913910963,-0.030318012000000002,-0.0686246469
antibiotic:ctrl_4h:2,-0.3767114928,-0.0251358674,0.1234844113
antibiotic:ctrl_4h:3,0.2853203965,0.0554538794,-0.054859764400000004
antibiotic:izd_4h:1,14.0405106539,-0.7322673601,0.7540810742
antibiotic:izd_4h:2,14.4609076594,-0.7486637583,0.9203021834
base:wt_glu_24:1,-1.0132906167,-0.1349370674,0.0953308972
base:wt_glu_24:2,0.9469307129000001,0.0033115637000000002,0.2260886493
base:wt_glu_24:3,-1.4633476024,-0.1574365249,0.1533946897
base:wt_glu_6:1,-1.5994940912,0.16614693730000002,0.1200669203
base:wt_glu_6:2,-0.12478599500000001,-0.0525764212,-0.11551701680000001
base:wt_glu_6:3,1.7242800862,-0.1135705162,-0.0045499034
base:wt_llac_24:1,4.752623398,0.2194091257,0.015297003000000002
base:wt_llac_24:2,4.2501288356,0.1549362847,-0.1712294101
base:wt_llac_24:3,2.5596416531,-0.2119390414,-0.2311929831
base:wt_llac_6:1,-7.8974360481,0.2094727743,0.1875917011
base:wt_llac_6:2,-7.9798123915,-0.18084534870000002,-0.2598248465
base:wt_llac_6:3,-7.1821562727,0.1751563347,0.0687815684
base:wt_pyr_24:1,1.2137696958,0.1908689321,-0.0470803227
base:wt_pyr_24:2,1.6108868547,0.11857535150000001,-0.3353732847
base:wt_pyr_24:3,2.2552672279,0.25783479330000003,-0.202421295
base:wt_pyr_6:1,-10.5692663436,-0.0450639575,-0.2601741327
base:wt_pyr_6:2,-9.3836630215,0.0730933945,0.0005146256
base:wt_pyr_6:3,-8.7411251072,0.2079123907,-0.1034741173
biofilm:biofilm:1,-4.717795677,1.0363648464,-0.5432955298000001
biofilm:biofilm:2,-4.804003215,1.0887329643,-0.4703632266
biofilm:planktonic:1,0.0533721733,0.020518295000000002,0.0120996991
biofilm:planktonic:2,-0.0533721733,-0.020518295000000002,-0.0120996991
btz043:0_days_.006:1,0.0967276688,-0.025876005900000002,0.0413659017
btz043:0_days_.006:2,-0.3129716609,0.0346163615,0.052941405100000005
btz043:0_days_.006:3,-0.0748181045,-0.1433063631,0.0278132386
btz043:0_days_control:1,0.0054503121,-0.009776712600000001,-0.0052572977
btz043:0_days_control:2,-0.0233543221,0.009893688900000001,-0.0011660671
btz043:0_days_control:3,0.01790401,-0.0001169762,0.0064233648
btz043:1_days_.006:1,6.9698754178,0.9080463358,0.0988266316
btz043:1_days_.006:2,7.2904324477,0.7354263471,0.0846234612
btz043:1_days_.006:3,7.2319730622,0.8432966544,0.06590809980000001
btz043:1_days_.006:4,6.829877173,1.0545729628,0.0809592702
btz043:1_days_control:1,6.9439672726,0.6572211906000001,-0.2614351246
btz043:1_days_control:2,6.8850782876,0.6604507003,-0.2241246846
btz043:1_days_control:3,6.9854129319,0.6498305268,-0.2735455303
btz043:1_days_control:4,7.1496009172,0.5611080664,-0.2624250045
clarithromycin:1_days_control:1,-0.0863883524,-0.012342837300000001,0.07248955110000001
clarithromycin:1_days_control:2,-0.0369236172,-0.050948680600000004,-0.0217388012
clarithromycin:1_days_control:3,0.1233119696,0.0632915178,-0.050750750000000004
cnpB:del:1,1.7815848785,-0.4357673678,0.1469893129
cnpB:del:2,0.6342259392,0.059522652700000005,0.2035993894
cnpB:del:3,1.0163473331,-0.6930859921,-0.1279066829
cnpB:wt:1,-0.720110487,-0.19431377500000002,-0.0416448047
cnpB:wt:2,0.37394770520000004,0.21038820400000002,0.1401032955
cnpB:wt:3,0.3461627818,-0.016074429,-0.0984584908
csoR:ko:1,3.3686203828,-0.21264067860000002,-0.2838040932
csoR:ko:2,2.9901973357,-0.33422600880000003,-0.2446452644
csoR:wt:1,-1.663963123,0.0710033959,0.0805084871
csoR:wt:2,1.663963123,-0.0710033959,-0.0805084871
dap:0_days_25:1,-0.0322843401,0.083878753,-0.031646554
dap:0_days_25:2,0.0948735466,0.1222173436,0.0106048814
dap:0_days_25:3,0.1483282236,0.0777061465,-0.0122724549
dap:0_days_25:4,0.2093204368,0.0531844276,-0.0432141666
dap:0_days_control:1,-0.0938311054,0.08959280230000001,-0.0990861386
dap:0_days_control:2,0.1868956507,-0.0132542969,-0.0372594725
dap:0_days_control:3,-0.3785941662,-0.0198422954,0.08986806500000001
dap:0_days_control:4,0.2855296209,-0.05649621,0.0464775461
dap:1_days_25:1,1.362847304,-0.0357211407,0.10051354500000001
dap:1_days_25:2,1.3269622056,0.0621399824,0.1088130759
dap:1_days_25:3,1.4351507415,-0.012383754200000001,0.0949271757
dap:1_days_25:4,1.7917617071,-0.057187391500000004,0.1398865791
dap:1_days_control:1,2.4415020661,-0.1432633297,0.0860066792
dap:1_days_control:2,2.1890053018,-0.0150445947,-0.027768079100000002
dap:1_days_control:3,2.2371430345,-0.0788486036,0.0559184389
dap:1_days_control:4,2.0839640014,-0.0857839039,-0.0402405665
degradosome:mutant_rnj:1,-3.4405017575,-0.4546251188,0.1611446317
degradosome:mutant_rnj:2,-4.835668917,-0.5507168177,0.1672354193
degradosome:mutant_rnj:3,-4.9774622537,-0.462282956,0.4175996266
degradosome:PNPase_ko:1,-11.6231082955,-0.1954937792,-0.10549214230000001
degradosome:PNPase_ko:2,-11.4590753746,-0.22807724310000002,-0.20917260240000002
degradosome:PNPase_ko:3,-11.8892086035,-0.1428016655,-0.23907192270000002
degradosome:Rnase_E_ko:1,-12.1051860615,1.4241018748,-0.7509363774000001
degradosome:Rnase_E_ko:2,-11.3565722286,1.3359149168,-0.4858722158
degradosome:Rnase_E_ko:3,-12.1288735692,1.3478720273,-0.8425075550000001
degradosome:wt_cas9_ctrl:1,4.3838806939,-0.7303858859,0.1531536429
degradosome:wt_cas9_ctrl:2,5.9396670292,-0.7704462573,0.21727816860000002
degradosome:wt_cas9_ctrl:3,-0.042522944,-0.8057664902,0.0233288161
degradosome:wt_expn:1,1.4295871703,0.061678957900000005,0.043561807200000004
degradosome:wt_expn:2,-0.1945370287,-0.0415773981,0.0371678655
degradosome:wt_expn:3,-1.2350501416,-0.020101559800000002,-0.0807296726
delam:0_days_.09:1,-0.1729314001,0.0344876269,-0.0228934012
delam:0_days_.09:2,-0.2659873539,0.0457478625,-0.0600541676
delam:0_days_.09:3,-0.035287500900000005,-0.0083630465,-0.07342281190000001
delam:0_days_.09:4,0.20958155280000001,0.0257386008,0.08013091060000001
delam:0_days_control:1,0.0128638724,-0.0288592977,0.0294148483
delam:0_days_control:2,-0.041452952200000004,-0.0556976016,-0.0487791408
delam:0_days_control:3,0.2596194026,0.0425261646,0.030933797500000002
delam:0_days_control:4,-0.23103032280000002,0.0420307347,-0.011569504900000001
delam:1_days_.09:1,-0.9436338731,0.0683812198,0.0105688104
delam:1_days_.09:2,-1.1422029803,-0.0249643822,0.0393965706
delam:1_days_.09:3,-1.0148031042,-0.09523226230000001,0.06981244660000001
delam:1_days_.09:4,-1.0815696082,-0.028212458000000003,0.0270520453
delam:1_days_control:1,-0.6669834891,-0.20839534740000001,0.012188824000000001
delam:1_days_control:2,-1.1660631691,-0.1217991375,-0.0523977593
delam:1_days_control:3,-0.8921713059,-0.1451239158,0.032870602
delam:1_days_control:4,-1.0516483662,0.0059771006,-0.043682915
dg_inh:both:1,-4.1113910566,-0.0274976892,-0.2503393194
dg_inh:both:2,-3.8441251735,-0.15807490230000001,-0.2350868687
dg_inh:both:3,-3.3408024243,-0.042264118100000005,-0.29923417420000004
dg_inh:dg:1,-4.4966281638,0.0699982056,-0.16499731080000002
dg_inh:dg:2,-4.822170197,0.0184284403,-0.2599157123
dg_inh:dg:3,-3.9495677282,-0.016058816,-0.1250951502
dg_inh:DMSO:1,0.0230811603,0.0189704335,0.027856623100000002
dg_inh:DMSO:2,-0.10238379930000001,-0.0355433822,-0.0207261524
dg_inh:DMSO:3,0.0793026389,0.0165729487,-0.0071304707000000005
dg_inh:inh:1,-3.6280532518,-0.0290583648,-0.22823277400000003
dg_inh:inh:2,-2.974091941,-0.0486094356,-0.2622667783
dg_inh:inh:3,-3.8934012479,-0.0414840152,-0.29680901860000003
dormancy:dormant_20d_rifampicin:1,-9.1082731679,-0.7931579554,-0.3350189597
dormancy:dormant_20d_rifampicin:2,-8.928865225100001,-0.7343046721,-0.2901105451
dormancy:dormant_20d_rifampicin:3,-9.7484336629,-0.7519751394,-0.2786483352
dormancy:dormant_no_treatment:1,-0.1257180911,0.0967690538,-0.0838320391
dormancy:dormant_no_treatment:2,-0.5463927326,-0.002329587,0.1566592003
dormancy:dormant_no_treatment:3,0.6721108236000001,-0.0944394669,-0.0728271612
eccE1:control:1,-0.058183047700000004,0.0498194433,0.010386415900000001
eccE1:control:2,0.058183047700000004,-0.0498194433,-0.010386415900000001
eccE1:delta_eccE1:1,-1.1778236327,-0.06814848230000001,-0.0226025587
eccE1:delta_eccE1:2,-0.6305956070000001,-0.1359634754,-0.09158425070000001
eccE1:delta_eccE1_eccE1_HA_comp:1,-0.5247993893,0.0769037231,0.1856612869
eccE1:delta_eccE1_eccE1_HA_comp:2,-0.4836354772,0.0814377691,0.1143845789
eccE1:delta_eccE1_empty_vector:1,0.6239705807,0.0112047815,0.0340839274
eccE1:delta_eccE1_empty_vector:2,0.6324236797,0.0787769601,0.0512755136
eccE1:delta_eccE1_myc_p1_HA_comp:1,3.1118161855,-0.23205702900000003,-0.14734150140000002
eccE1:delta_eccE1_myc_p1_HA_comp:2,2.703964101,-0.1542546139,-0.1067501423
eccE1:delta_eccE1_mycP1_eccE1_comp:1,0.5309509210000001,0.0036790549,0.0364481839
eccE1:delta_eccE1_mycP1_eccE1_comp:2,-0.10323055340000001,0.1002273226,0.12802100090000001
emb:0_days_2.45:1,-0.282109153,0.0761798099,-0.0737784215
emb:0_days_2.45:2,0.5893771354,-0.17306676040000002,-0.0721425332
emb:0_days_2.45:3,-0.2492530748,0.1726134509,-0.1526641047
emb:0_days_2.45:4,0.5033456061,-0.1430096126,-0.18672724170000002
emb:0_days_control:1,0.5341304994,0.0241771562,0.11854373800000001
emb:0_days_control:2,0.0944837255,-0.0646914179,-0.0311464524
emb:0_days_control:3,-0.0489687461,-0.0349254378,-0.049637431100000004
emb:0_days_control:4,-0.5796454787,0.0754396995,-0.037759854600000003
emb:1_days_2.45:1,-0.8506682584,0.8274727872000001,0.0440685321
emb:1_days_2.45:2,-1.3557780023000001,0.9000766356000001,0.0133294999
emb:1_days_2.45:3,-1.1187890548,1.001123085,0.1081162821
emb:1_days_2.45:4,-0.5849907997,0.8587893791000001,0.0461394422
emb:1_days_control:1,-3.1765276632,1.0156436773,0.0123212361
emb:1_days_control:2,-2.0036005835,0.8659947881000001,0.025459760600000002
emb:1_days_control:3,-1.3986316781,0.9057740701,-0.0012064897
emb:1_days_control:4,-2.4086275628,1.0045860461,-0.09470232640000001
espL:ko:1,0.22137607150000002,0.0019032550000000002,-0.0382890366
espL:ko:2,0.3803974155,-0.0630600332,-0.13571359060000002
espL:wt:1,0.0501640818,0.0356054332,0.0293916005
espL:wt:2,-0.0501640818,-0.0356054332,-0.0293916005
esx_1:ko:1,0.3097095338,0.038013332000000004,-0.1453760694
esx_1:ko:2,0.6081904553,0.1176608574,-0.0524573292
esx_1:wt:1,-0.8461001930000001,-0.1752873255,-0.0429726488
esx_1:wt:2,0.3033765781,0.0308250441,-0.0033386957000000003
esx_1:wt:3,0.542723615,0.1444622814,0.046311344500000004
genotoxic:control:1,0.1291567197,-0.0192651948,-0.0607739334
genotoxic:control:2,-0.1291567197,0.0192651948,0.0607739334
genotoxic:growth_supplement:1,1.9209593661,-0.1358874111,-0.1826061867
genotoxic:growth_supplement:2,1.9832895654,-0.041261863600000004,-0.0401606086
growth:tss_expnt:1,-1.1963032608,-1.6683731636,-1.4025389752000001
growth:tss_expnt:2,-0.8627504531,-1.2628821633,-0.8629528259
growth:tss_expnt:3,-0.06437213800000001,-1.803821046,-1.4434465579
growth:tss_starved:1,8.8559667671,-2.7226806938,-2.3359859124
growth:tss_starved:2,8.370965882,-2.8738657449,-2.4676728819
growth:tss_starved:3,8.7163759782,-2.6444855953,-1.5045333477
growth:wt_expn:1,0.6028051262,-0.0520886926,-0.0688654942
growth:wt_expn:2,-1.173504247,-0.0603981747,0.0414772016
growth:wt_expn:3,0.5706991208000001,0.1124868673,0.0273882927
hs2:treated:1,0.0102608955,-0.1855542576,-0.0823901049
hs2:treated:2,-0.035181603900000004,-0.2028425629,-0.0732569822
hs2:treated:3,-0.2411069912,-0.2020332212,-0.0690218008
hs2:untreated:1,0.7293566952,0.0129255564,0.0736568947
hs2:untreated:2,0.0689596539,-0.0229115164,-0.035355312300000004
hs2:untreated:3,-0.7983163491,0.00998596,-0.0383015824
hypoxia:000h_.81_DO:1,0.08284258200000001,0.23087215830000002,0.056728526300000005
hypoxia:000h_.81_DO:2,0.5247793916,-0.2551693491,0.0551796701
hypoxia:000h_.81_DO:3,-0.6076219736,0.0242971908,-0.1119081964
hypoxia:017h_.57_DO:1,7.9358687374,-0.1960675569,0.0866906642
hypoxia:017h_.57_DO:2,7.3128638629000005,-0.3494777275,0.0530003317
hypoxia:017h_.57_DO:3,9.9537840542,-0.3461379981,-0.0234158875
hypoxia:023h_.42_DO:1,11.1343140315,0.0197632859,0.2376756207
hypoxia:023h_.42_DO:2,10.9057386772,0.1142023336,0.1348253747
hypoxia:040h_.11_DO:1,11.5239556032,-0.23565816250000002,0.3013646419
hypoxia:040h_.11_DO:2,11.6630635584,-0.3853591772,0.17641250900000002
hypoxia:041h_.09_DO:1,10.5660190478,-0.1275768696,0.3383456617
hypoxia:041h_.09_DO:2,11.1890687689,-0.35567790650000003,0.1476167214
hypoxia:041h_.09_DO:3,10.9166146885,-0.2205760806,0.0890101959
hypoxia:042h_.07_DO:1,10.1475590223,0.0378670008,0.2019905578
hypoxia:042h_.07_DO:2,10.2229495171,-0.135639218,0.1881462848
hypoxia:043h_.06_DO:1,9.7791179058,-0.3000602056,0.2725406516
hypoxia:043h_.06_DO:2,9.9542182208,-0.47828261850000003,0.24401858850000002
hypoxia:043h_.06_DO:3,9.6769134513,-0.2041426723,0.21650563960000002
hypoxia:044h_.04_DO:1,9.2380320002,-0.2835216857,0.0360950903
hypoxia:044h_.04_DO:2,10.0678725817,-0.0211763848,0.35372672
hypoxia:044h_.04_DO:3,9.4781465363,-0.2199071252,0.1954684254
hypoxia:047h_0_DO:1,7.0718405426,0.0608203646,0.1009738002
hypoxia:047h_0_DO:2,8.5797928421,-0.26778144400000004,0.11515308590000001
hypoxia:047h_0_DO:3,10.5881723991,-0.18574300900000001,0.056418934500000004
hypoxia:049h_0_DO:1,11.4987680543,-0.09024140230000001,-0.1257826684
hypoxia:049h_0_DO:2,9.4856967568,-0.2844527122,0.0868467175
hypoxia:049h_0_DO:3,13.4467629588,0.129235956,0.022748067400000002
hypoxia:050h_0_DO:1,13.7079119101,0.13364546230000002,-0.0149891581
hypoxia:050h_0_DO:2,9.7513583264,-0.1250730656,-0.0990527294
hypoxia:050h_0_DO:3,11.7137484601,-0.1117923472,-0.0062647184
hypoxia:052h_0_DO:1,12.3111074481,-0.42981516680000004,-0.0234520491
hypoxia:052h_0_DO:2,9.9730143813,-0.2978397832,0.0986484083
hypoxia:052h_0_DO:3,10.0917586232,-0.087210536,-0.13619839420000002
hypoxia:054h_0_DO:1,9.7830011679,-0.0848659318,0.1908729881
hypoxia:054h_0_DO:2,8.8679757318,0.049261671900000005,-0.1036808134
hypoxia:054h_0_DO:3,9.3542890607,0.0140163045,-0.46216270940000004
hypoxia:054h_0_DO:4,8.4923228371,-0.19285971100000002,-0.0840263404
hypoxia:054h_0_DO:5,13.0731889533,-0.4679738479,0.0762083304
hypoxia:070h_0_DO:1,8.5978340993,-0.4798176759,-0.4866436048
hypoxia:070h_0_DO:2,6.8877945256,-0.6447464772,-0.487716688
hypoxia:088h_0_DO:1,8.120217046,-0.2744464064,0.0290341604
hypoxia:088h_0_DO:2,7.4402520817,-0.7053475586,-0.089656258
hypoxia:114.5h_.04_DO:1,2.0053681803,-0.2227807164,0.1309062098
hypoxia:114.5h_.04_DO:2,2.8359200666,-0.0372404571,0.063205544
hypoxia:114.5h_.04_DO:3,4.9445698966,0.0253591238,-0.0154231051
hypoxia:115h_.06_DO:1,3.4458571754,-0.2568346647,0.053084209900000005
hypoxia:115h_.06_DO:2,0.5773072729000001,-0.36134586500000004,0.1044133425
hypoxia:115h_.06_DO:3,1.583487114,-0.461091892,0.0226118238
hypoxia:116h_.11_DO:1,1.1233423267,-0.2615147511,0.2647975658
hypoxia:116h_.11_DO:2,0.0358674192,-0.4015678131,0.17925050820000002
hypoxia:116h_.11_DO:3,-0.8288515448,-0.5429583498,0.2618180591
hypoxia:120h_.47_DO:1,-5.2892362755,-0.2454131729,0.2159555636
hypoxia:120h_.47_DO:2,-5.8839942718,-0.2198930898,0.3230456037
hypoxia:120h_.47_DO:3,-4.5135810709,0.0602694864,0.13530131780000001
kinase:DMSO_0h_F:1,0.9139476924000001,-0.7705743691,0.1452837911
kinase:DMSO_0h_F:2,0.7882932714,-0.8214342755,0.1825138507
kinase:DMSO_0h_F:3,0.772407782,-0.7629835103,0.2141265055
kinase:DMSO_0h_H:1,1.033574608,-0.036038739300000004,0.2987951273
kinase:DMSO_0h_H:2,0.605269393,-0.2248708073,0.1756819482
kinase:DMSO_0h_H:3,-0.1644239748,-0.0477610321,0.10190136620000001
kinase:DMSO_0h_H:4,-0.009992741500000001,-0.0664508836,0.0719653338
kinase:DMSO_0h_H:5,0.4492487013,-0.1644448791,0.2763602383
kinase:DMSO_0h_H:6,-0.0996684053,-0.0377379565,0.2013298829
kinase:DMSO_0h_I:1,0.6928068186,-0.0749522249,-0.1320482248
kinase:DMSO_0h_I:2,-0.30792222480000003,0.0302071962,0.0990179858
kinase:DMSO_0h_I:3,-0.012869049700000001,-0.1098544459,0.0490419439
kinase:DMSO_0h_I:4,-0.5659194638,0.0356306521,0.22792923040000002
kinase:DMSO_0h_I:5,-0.39476523950000003,0.23475991270000002,-0.1296619037
kinase:DMSO_0h_I:6,0.5886691591000001,-0.1157910902,-0.1142790316
kinase:pknD_T10_48h:1,-0.3708256133,-0.6084559884,0.19746220620000002
kinase:pknD_T10_48h:2,-0.1648712142,-0.7177307836,0.1422684841
kinase:pknD_T10_48h:3,-0.267545801,-0.7411776706000001,0.1679693509
kinase:pknL_T10_48h:1,0.6553278093,-1.3879228068,0.4273109074
kinase:pknL_T10_48h:2,0.4439137474,-1.4050979064,0.4995943706
kinase:pknL_T10_48h:3,0.48757465850000004,-1.4251209211,0.42975717150000003
kinase:pknL_T4_48h:1,-3.711208092,-0.7559150908000001,0.6488793582
kinase:pknL_T4_48h:2,-3.3780436157000002,-1.1930683223,0.7043146371
kinase:pknL_T4_48h:3,-4.1463401027,-0.9474418678000001,0.651459719
kinase:T10_12h_F:1,0.022792638,-0.6048654263000001,0.3342435446
kinase:T10_12h_F:2,0.36240970910000003,-0.5302134679,0.3381921968
kinase:T10_12h_F:3,-0.7090288061000001,-0.603428474,0.2388936127
kinase:T10_12h_H:1,1.0874307725,-0.3697085734,0.5059192988
kinase:T10_12h_H:2,0.8843651782,-0.1942334853,0.5098463141
kinase:T10_12h_H:3,1.094783178,-0.2106765441,0.5848878357
kinase:T10_12h_I:1,2.7483589426,-0.1861256808,0.043277772400000004
kinase:T10_12h_I:2,2.7045589423000003,-0.5005129816,0.38996998190000004
kinase:T10_24h_F:1,-2.6922716507,-0.5875615270000001,0.2296024154
kinase:T10_24h_F:2,-2.9586312994,-0.48596580310000004,0.19429256490000002
kinase:T10_24h_F:3,-2.3184861272,-0.5594312897,0.256953596
kinase:T10_24h_H:1,0.3197114471,-0.6309734707,0.5404390985
kinase:T10_24h_H:2,0.4456387739,-0.6270405765,0.5490670052000001
kinase:T10_24h_H:3,-0.11932026350000001,-0.5539468554,0.7165582420000001
kinase:T10_24h_I:1,1.6502139207000002,-0.5789737060000001,0.0654619495
kinase:T10_24h_I:2,2.1561379101,-0.5706995828,0.2396116942
kinase:T10_48h_F:1,-2.3130284265,-0.5538279351000001,0.215968449
kinase:T10_48h_F:2,-5.2541841995,-0.47944370940000003,0.3516953326
kinase:T10_48h_F:3,-3.1619127279,-0.3837863757,0.2445809777
kinase:T10_48h_H:1,-0.8433817329000001,-0.6339365648,0.5884595922
kinase:T10_48h_H:2,-1.0439914859,-0.4970008784,0.5906329197
kinase:T10_48h_H:3,-0.7340783634,-0.4419609249,0.5021183252
kinase:T10_48h_I:1,1.2423486452999999,-0.6281552318,0.3603843749
kinase:T10_48h_I:2,0.8583144364,-0.6704184818000001,0.2710901736
kinase:T10_48h_I:3,0.95980876,-0.699611977,0.27263059970000003
kinase:T4 _48h_H:1,0.1477211433,-0.91741309,0.4781347755
kinase:T4 _48h_H:2,0.050967828900000005,-0.9880249525,0.42014004850000003
kinase:T4 _48h_H:3,-0.8906224917000001,-0.8662650804,0.4518485096
kinase:T4 20 _12h_I:1,1.3336049822,-0.7309625057,0.5254226158
kinase:T4 20 _12h_I:2,0.5185088331000001,-0.6400502639,0.47866590010000004
kinase:T4 20 _12h_I:3,1.3072296694,-0.5805992989000001,0.5535831102000001
kinase:T4_12h_F:1,-0.1034519338,-0.5838122091,0.286343599
kinase:T4_12h_F:2,-0.3394287418,-0.5471036597,0.3090532702
kinase:T4_12h_F:3,-0.34337834100000003,-0.49117471840000004,0.3070959426
kinase:T4_12h_H:1,0.5896099149,-0.3470010532,0.4024570798
kinase:T4_12h_H:2,1.2940502163,-0.2329047166,0.4953868388
kinase:T4_12h_H:3,1.6665412796,-0.44939792910000004,0.5429800472
kinase:T4_24h_F:1,-0.1082844064,-0.7669724256,0.23279874420000002
kinase:T4_24h_F:2,0.3451944933,-0.8662962404000001,0.22473745720000002
kinase:T4_24h_F:3,0.367570125,-0.7617183761,0.23652174280000002
kinase:T4_24h_H:1,2.2944341021,-0.9334973253000001,0.5555918248
kinase:T4_24h_H:2,1.851458417,-0.7837538147,0.5428594995
