,A,Fis,PurR,ihfB,ArgR,PepA,RutR
abx_mega__phos_ethanol__1,0.7184634080000001,0.1323222643,0.9262867545000001,-1.0835463994,0.2076746927,-0.27067309030000003,0.3265682917
abx_mega__teix_dmso__1,2.1355308879,0.2073111051,-0.382191416,-0.2108301915,-0.008881390500000001,-0.8526633271,0.2423733851
abx_mega__dmso-10__1,-1.5906252875,-0.25733282500000004,0.1608268145,-1.1932094615,-0.3502541664,-0.2777685057,-0.46340847830000004
abx_mega__van_dmso__1,-2.8395759075,-0.43288717800000004,-0.3797146656,0.5828825608,1.1391178527,-1.1358977934,1.02326354
abx_mega__ramo_h2o__1,0.6827613182000001,-0.1847626776,-0.2506380211,-0.9701385051,-0.4612621676,0.013205803700000001,0.0860311702
abx_mega__tec_h2o__2,3.6965073907,0.9230981104,0.4590271107,-0.8524414069,-0.3951761429,-0.0423765651,-0.0998694956
abx_mega__h2o-7__1,-0.306853876,0.418788309,-0.2262112198,-1.405760481,0.5788442827,-0.3687266397,-0.1305877498
abx_mega__cro_h2o__1,2.2536873427,0.2659133738,-0.1097901218,-2.0779262437,0.0388485992,-0.16716929690000001,-0.7394780229
abx_mega__tric_ethanol__1,-1.17726915,-1.8737666673,-1.597759788,-0.1903310601,0.2997925108,-0.0701611016,1.1253564746
abx_mega__nor_naoh__1,7.8489178316,-0.7529405576,-0.6973502906,-1.0812140072,-0.7844125351,-0.2677303857,-0.3739307441
abx_mega__teix_dmso__2,-1.501410511,0.40104904210000003,-0.3677205216,-0.026524093000000002,0.2972308097,-0.5124600972,-0.36202675700000003
abx_mega__nal_naoh__3,7.8709950155,-0.5866514008,-0.4054208729,-1.0022560843,-0.2652503171,-0.3331619099,-0.5520000786
abx_mega__novo_h2o__2,-4.2171773294,0.1670368142,-2.8663266717,-1.7171008209,-1.6198914233,-3.1829304971,-1.1484792902
abx_mega__dmso-10__2,-2.040535627,-0.18329488400000002,0.175079656,-0.8705550239000001,-0.0501388867,-0.13170231970000001,0.21289228500000001
abx_mega__phos_h2o__3,6.9964037753,-0.44714341750000003,-0.41796178040000004,-0.6341559143000001,-0.1343893817,-0.38018659390000004,-0.5372104830000001
abx_mega__dmso-6__2,-2.6675587864,-1.1044765928,-0.7215461969,0.5477587571,0.20309435050000002,-1.0543326249,0.0657896981
abx_mega__rfp_ethanol__1,4.8732871144,2.01999203,0.5792986026,-1.3179166312000001,0.44559000320000003,0.6860683764000001,0.17653680230000002
abx_mega__dmso-5__3,-2.0683119799,-0.11737753790000001,-0.3682340039,-0.09633023900000001,0.08753865470000001,-0.33679210530000003,-0.6376335254000001
abx_mega__amyc-d_dmso__1,1.4337154698,1.1007515523,0.5060178807,0.6487792296,0.3187975715,-0.4341670938,0.5247447858000001
abx_mega__sxt_dmso__1,-1.6634210768000002,-0.1059151671,-0.7928540342,-1.398343179,0.4218407289,-0.3148002669,-0.34764682880000003
abx_mega__dmso-1__1,-2.0186212464,-0.1809852853,-0.0374945458,-0.0548211138,0.15373844450000002,-0.5343763256,0.0308086952
abx_mega__pen_h2o__1,0.60957312,-0.4078044901,0.08753187230000001,-0.4764255264,-0.1511790997,-0.44330981500000005,-0.8846586127
abx_mega__dmso-10__3,-1.5516023568000001,-0.4056936109,-0.0380562053,-0.9915859493,-0.2346477129,0.056477577,-0.345711725
abx_mega__nal_naoh__4,1.9146011162,-0.2755809595,-0.1266266778,-1.1529412139,-0.46631842160000003,-0.2484817208,-0.0597104735
abx_mega__cip_naoh__1,1.9670646676999999,-0.0218445443,-0.1094064285,-1.0626874924,-0.3664711084,-0.2222160106,-0.16363937650000002
abx_mega__pen_h2o__2,2.4227645984,-0.3603364043,0.0246216029,-0.9260874235000001,-0.1793531932,-0.0301184351,-0.2663813043
abx_mega__ery_dmso__2,-0.26148132290000003,0.5386924691,1.4042502818,-1.3048554744,0.1489799943,-0.44048019320000004,-0.1536635308
abx_mega__dmso-2__2,-0.2901126637,-1.1777016044,-0.323556242,2.186138402,1.5501924288,-0.5608012490000001,-0.8468211359000001
abx_mega__van_dmso__2,-0.5845909397,0.4569554622,-0.2156636415,0.9100277827000001,1.1825516275,-1.1995209444000001,1.0205618326
abx_mega__h2o-1b__1,2.5981181591,0.62288687,0.4266018848,-0.8877531976,-0.311928184,-0.3160991222,-0.5616711160000001
abx_mega__ery_h2o__1,4.4217085357,2.3050038891,0.397011426,-1.5251338072,-0.5193190371,-0.7620733022,-0.5803586479
abx_mega__bacit_h2o__1,0.9839849020000001,-0.034645267800000004,0.0885600465,-1.4504833334,-0.15828179920000002,0.4939640655,-0.1183985803
abx_mega__chl_h2o__2,3.491798863,1.6454385256,1.0486614908,-1.2200697843000001,-0.4101693502,-0.1744860315,-0.3602700527
abx_mega__str_h2o__2,3.6051074201,-0.862049083,0.7220541446000001,1.7775761065,2.0288223657,0.0554046518,-2.0196870047
abx_mega__rfp_ethanol__2,1.1350036597,1.5046348551,0.4710066664,-1.2855187251,0.6757739267,0.7832582998000001,0.9971994055000001
abx_mega__polmyx_h2o__2,0.0780287333,-0.7560279758,-0.39947614600000003,-0.8769879084000001,-0.8759227256000001,-0.139493535,-0.4969738395
abx_mega__tric_h2o__1,-0.23773227530000002,-0.9570480503000001,-0.20159220090000002,-1.2793691829,0.7183462618,0.06896676040000001,1.2341304542
abx_mega__cip_naoh__2,6.5681608474,-0.2310521848,-0.49902500650000003,-1.080054735,-0.5121201941,-0.37186930700000004,-0.4259930455
abx_mega__novo_h2o__3,-3.9111570261,0.0384749824,-3.0382148493,-1.4207421173,-1.6824643862,-3.0362957817,-0.7119229235
abx_mega__bacit_dmso__1,-0.9880796485000001,-0.27164175360000004,-0.078141955,-0.36320266970000004,0.2160795164,-0.49389736440000004,-0.17549900840000002
abx_mega__gen_h2o__1,-1.8320941494,-0.9889467527,-0.4561840521,3.0734252999,1.7140744410000002,0.4570691075,0.4487182261
abx_mega__bacit_dmso__2,-0.984135398,-0.7642554466,-0.4656764259,-0.1474923579,0.0065176589,-0.5233196273,0.7104310509
abx_mega__chl_dmso__1,-1.0482841999999999,-0.2785421886,-0.0617493015,-0.8603384773,0.1269063832,0.1578235294,0.8297066716
abx_mega__bacit_h2o__2,2.8161240793,0.37938326920000004,-0.2777328982,0.0810143052,-0.12209469440000001,-0.387484331,-0.1326926113
abx_mega__lvx_dmso__1,0.0367910768,0.0592087638,-0.2161491384,-0.8766338815,0.3807995192,-0.6336117382,0.0644182013
abx_mega__bacit_h2o__3,0.9085655251,0.2957838322,0.2853828208,-1.0401998064,-0.08447442470000001,0.4089637745,0.2167730102
abx_mega__nor_naoh__2,8.1794096211,-0.9272936324000001,-0.7204470723,-1.1131732022,-0.791441825,-0.17703919210000002,0.0908651478
abx_mega__amyc-d_dmso__2,-1.357170197,1.1044165911,0.3120605394,1.1241333731,0.7167320923,-0.7063840763,-0.2705691383
abx_mega__polmyx_h2o__3,1.687321996,-1.0044740437,0.0838209533,1.0533152899,1.1751549561,0.26333220020000003,-0.24925158890000002
abx_mega__naoh-6__1,5.7440944977,-0.3681309666,-0.17583755750000002,-0.2205498512,-0.0473290579,-0.2340579358,-0.5084415404
abx_mega__cst_h2o__2,0.323147978,0.49882963830000004,0.39180368590000003,-0.9253991697,-0.3096924813,0.0163279773,0.13063402370000002
abx_mega__h2o-1b__2,4.024384777,0.566920077,1.1808541229,-0.6949207847000001,-0.5632048228000001,0.17935632,-0.0731951312
abx_mega__rfp_h2o__1,0.10677350640000001,2.0234284253,-0.09421475850000001,0.3662144094,0.2005178448,-0.148730002,0.40527049270000004
abx_mega__tet_h2o__1,1.6134721533,-0.22959920490000002,0.9088700137,-0.9221896544,-0.15178060840000002,-0.8828918894000001,-0.8002696952
abx_mega__flavo_dmso__1,0.3615341412,-0.0980294456,0.3244983893,-0.3053163494,0.11170401190000001,-0.9682121722,-0.195607945
abx_mega__zeocin_h2o__1,1.4073771837,-0.459732,0.040779265200000005,-1.4155199507,-0.1880702195,0.0941221762,0.0083407399
abx_mega__nor_naoh__3,4.9055975986,-0.3283958898,-0.4568023069,-1.0599211097,-0.789797488,-0.3118573792,-0.26233394190000003
abx_mega__rach_dmso__2,0.4804569253,0.5310775656,-0.8723131659000001,-1.4386345449,0.7778158108000001,-0.5179274489,-0.5993516946
abx_mega__thio_dmso__2,0.5281280485000001,1.8115914355,1.5415149753000001,-0.2803295697,-0.2367394311,-0.0475317144,0.8195800273
abx_mega__amyc-d_dmso__3,1.0955392815,1.6412196845,0.694648244,0.6293734383,0.6341918942,-0.4139893948,0.6181023671
abx_mega__rif_dmso__2,1.7716896787,0.5688580452,-0.2355910055,-0.2010869699,0.1096063387,-0.2431871568,0.7329470784000001
abx_mega__amyc-d_dmso__4,-1.5923307354,1.2367111817,0.2865921401,1.2525770415,0.1923868785,-0.7184988218,0.0169392531
abx_mega__teix_dmso__3,4.4312403754,0.5325024357,0.053220324400000005,-0.2896248806,-0.1178705679,-0.3477808189,-0.6572895954
abx_mega__valin_dmso__1,-1.9298918955,-0.4511907362,-0.0594892993,-0.5997892775,0.0583027355,-0.5449516824,0.7108205336
abx_mega__teix_dmso__4,-0.8955242227,0.277694506,-0.44861213640000003,0.1237988565,0.0331448763,-0.4939227519,-0.728822972
abx_mega__ethanol-10__1,2.2211710936,-1.0363960574,0.0632011614,-1.5734086149,0.1606146014,0.4342188903,0.3077219672
abx_mega__inh_h2o__1,1.3506322653,-0.5469996683,0.0054117126,-1.8638919299,-0.2603505538,0.3697939377,-0.7301579545
abx_mega__rif_dmso__3,-0.4053582523,2.0394370277,-0.2778612419,0.6829585180000001,0.6298231310000001,-0.25807182,0.1907652876
abx_mega__van_dmso__3,-1.9233216240000002,0.6814291384000001,-0.1072948533,0.9236742301,0.557409307,-0.5993730828,0.0581345812
abx_mega__doxo_dmso__1,1.6288198358,-0.0301321781,-0.5953244901,-1.7925095215,-0.1268373082,0.3125874797,-0.5970321903
abx_mega__tmp_dmso__1,6.2051868433,-0.1249819187,-0.3013399713,-1.0856227286,-0.543615127,-0.27413711150000003,-0.9598366177000001
abx_mega__ethanol-10__2,0.16262854670000002,-0.5284590883,-0.3613285639,-1.5969538419,-0.3176808927,0.0659697061,0.0825758989
abx_mega__tmp_dmso__2,5.8637834701,-0.1497972132,-0.31774538410000003,-1.1365814194000001,-0.5780173683000001,-0.3555580767,-0.8116475144
abx_mega__amyc-d_dmso__5,2.3156084263,2.0380877735,0.759585606,0.9335471945,0.6766792793,-0.426472032,0.5120577286
abx_mega__novo_h2o__4,-1.8598262347,0.0052233307,-3.3819087662,-0.9001345086,-0.6566205223,-2.1597229774,1.1216169783
abx_mega__cro_h2o__2,3.9508481282,0.4784042827,0.2304044084,-1.5787237146000002,-0.017438494000000002,-0.3247220248,-0.9339265238000001
abx_mega__cro_h2o__3,3.0334549714,-0.1817873103,-0.0723128847,-1.5363409356000002,-0.5652235872,-0.3304977633,-0.4126597367
abx_mega__gen_h2o__2,-2.2773116322,-1.6733663526,-0.37488641570000003,3.3245249795,1.9621189231,0.599649485,-0.3144388872
abx_mega__phos_h2o__4,1.7608688043,-1.4923286758,-0.1764897655,1.3672523569,1.2138005996,0.3267795358,-0.2665483341
abx_mega__metro_dmso__2,-0.0709462845,0.0575286216,-0.2489935416,-0.2511288672,-0.12910519040000001,-0.4633554339,-0.12388747630000001
abx_mega__ery_h2o__2,6.1816646978,2.0216415702,-0.1138623044,-1.2241393744,-0.3803293647,-0.7447846413,-0.5575082977
abx_mega__sacet_h2o__1,-2.6374330667,-1.5202731443,-1.2005588674,2.2712715973,1.3058942915,-1.0896988283,-0.8411734653
abx_mega__nal_naoh__5,5.0592022948,-0.37419296630000004,-0.2209728319,-1.1236160881,-0.5127771752,-0.4734014992,-0.7636422519
abx_mega__bacit_h2o__4,1.1990928628,0.6656975378000001,-0.1394178517,0.16848949670000002,-0.0720828062,-0.46350422150000004,0.1802003572
abx_mega__cip_naoh__3,2.6665838894,-0.285459375,-0.2745693699,-1.2601444012,-0.176206455,-0.2391516616,-0.1683302266
abx_mega__ethanol-8__1,1.0043939238,-0.5478844172,-0.8205431642000001,-1.4558741109,-0.2247742691,-0.3826586957,-0.2556954353
abx_mega__h2o-8a__1,0.7148513371,-0.9426291372000001,0.0561201795,-1.5760854295,-0.4444687908,-0.12479605590000001,-0.31050468200000003
abx_mega__ery_h2o__3,4.9142693956,2.365706667,0.4469581059,-1.4715961776,-0.1767281004,-0.5393403741,-0.8447984264
abx_mega__flavo_dmso__2,3.3550434467,0.44815050570000003,0.0829014497,-1.5589412839999999,0.0323636967,-0.020659928600000002,-0.5783375464
abx_mega__rif_dmso__4,-0.4479994042,2.2319022165,-0.3679836502,0.3994912939,0.2125138953,-0.1499786307,0.8436902014000001
abx_mega__novo_h2o__5,-3.2532764377,0.9714924580000001,-3.1599446912,-0.9678017240000001,-1.178492798,-2.7291952933,-0.3725789573
abx_mega__teix_dmso__5,-0.5463861368,-0.3183097434,0.1526517892,-0.9608040567,-0.39499873100000005,-0.1543723761,-0.09789062080000001
abx_mega__naoh-2__1,2.5113762088,0.4595702441,0.0082835212,1.2447894583,0.865195021,-0.0494999195,-0.45761554860000003
abx_mega__novo_h2o__6,-3.1229622816,0.3188663069,-2.7541232803,-1.191436742,-0.8542351032000001,-2.2680896343,-0.302332877
abx_mega__ctx_h2o__3,3.5449096252,-0.29555656550000003,0.3438281247,-1.9337324817,-0.45899308910000003,-0.0821072816,-0.9073219086000001
abx_mega__rach_dmso__3,0.5897890162,0.3466464765,-0.7109627645000001,-1.1366547883,0.17465804140000002,-0.5190934493,-0.7432248317
abx_mega__valin_dmso__2,-1.2382106708,-0.1199930824,0.2403336171,-0.7399595053,0.25468408400000003,-0.6204890606,0.8972063035000001
abx_mega__amyc-d_dmso__6,3.6605719136,1.8591924979,0.628689947,0.923138631,1.2556828550999999,-0.1861433421,1.6000578744
abx_mega__dox_dmso__2,4.5813015922,-0.8229845064,-0.48830091870000003,-0.6534829936000001,-0.2973678521,-0.3054759164,0.2066370323
abx_mega__teix_dmso__6,-0.9122612658,-0.0098665728,0.1271805425,-1.1495585992,-0.0730893153,-0.0075326983000000005,-0.4691911868
abx_mega__naoh-6__2,4.7095787588,-0.22942625560000002,-0.2012187537,-0.3206835072,-0.27134470180000003,-0.1819880376,-0.2453596556
abx_mega__inh_h2o__2,2.7728228402,-0.6399566405,-1.9844591682,-0.8808770448000001,1.1282616287,-0.27244841740000003,0.8034682436
abx_mega__chl_h2o__3,2.6739381119,0.4801023406,2.0308395533,-2.0232756272,-0.061174284100000004,0.5581275812000001,-0.0497386274
abx_mega__nal_naoh__6,7.1234598064,-0.30825317760000004,-0.35141646,-1.1867332256,-0.3583695699,-0.2756691745,-0.3916357191
abx_mega__chl_dmso__2,-1.795779231,-0.5175083398,-0.30937060180000003,-0.9006154946,0.2970029822,0.0516015254,0.5748277304
abx_mega__rach_dmso__4,-1.0557034024,-0.2185033082,-1.0373639798,-1.631366638,0.3322929899,-0.6440041793,-0.3931912864
abx_mega__teix_dmso__7,-0.2979166817,-0.2470005291,0.1859351304,-1.033868219,-0.2204222795,-0.0079476436,-0.2353594255
abx_mega__ceru_ethanol__1,-1.9041484741999999,-1.695413108,-0.9854712011000001,-0.7600665551,0.3702952198,-0.23286080280000002,1.1467933468
abx_mega__dmso-7__1,-2.2164021366,-0.0019591802,-0.9195390984,-0.4911206664,0.3559118598,-0.6153627514000001,-0.1962084873
abx_mega__naoh-6__3,5.4917253761,-0.41536759040000004,-0.1782413304,-0.30821672310000003,-0.0492054892,-0.2084827866,-0.9105672851000001
abx_mega__phos_ethanol__2,3.1998569024,-0.2445014006,0.204835178,-1.1953659872,-0.1605998124,0.2510373636,0.006323569
abx_mega__metro_dmso__3,0.4590440778,-0.24004343990000002,0.163491105,-0.137280135,-0.0275705127,-0.5450245539,-0.3211929797
abx_mega__van_dmso__4,-2.8894752376,0.13992067500000002,-0.2821283189,1.2171043994,0.9074626352,-0.8669799812000001,0.1650139665
abx_mega__h2o-10__1,1.2057552659,-0.722319177,0.37432614200000003,-1.5275886062000001,-0.34695274270000004,0.3469564666,-0.493156935
abx_mega__h2o-10__2,4.11635989,-0.4136282455,0.3068469748,-1.9308061206,-0.0993456892,0.5562876759000001,-0.6265638885
abx_mega__dmso-6__3,-2.1192261568,-0.5687207573,-0.8645460868,0.33441959600000004,-0.0343215247,-0.8923462323,-0.19518154440000002
abx_mega__mem_dmso__1,2.8355694423,0.483350804,-0.0470500529,-1.6562199957,-0.3204641914,-0.0938597672,-0.8801606057
abx_mega__ethanol-8__2,-0.097203205,-1.2496100656,-1.1301478506,-0.9106399612,-0.5536481077000001,-0.10980057480000001,0.4665033363
abx_mega__chl_h2o__4,1.7998316133,0.5186651994,1.9652529094000002,-1.9080504914,-0.0805815042,0.46438952840000003,-0.2400504015
abx_mega__van_h2o__1,2.5867162072000003,0.9782994344,0.1515233141,-0.9515812199,0.27930970720000003,-0.4592631354,-0.1134958011
abx_mega__dcs_h2o__1,2.6628278492,0.2113714276,0.8130670288,-1.2671154485,0.2356520288,0.4348296126,-0.42001782120000003
abx_mega__rif_dmso__5,4.6897103504,0.5784329789,-0.49253416980000003,-0.0163777134,0.275764761,-0.1940247389,0.3730907317
abx_mega__dox_dmso__3,1.5140899742,0.3899879865,0.5745170272,-1.1819124107,0.4809981323,-0.35024340060000003,0.1388046967
abx_mega__mem_dmso__2,0.0301540979,-0.12475402370000001,0.1910457092,-0.8976499983,0.3092722491,-0.5763396675,0.14956910340000001
abx_mega__lvx_dmso__2,-1.7999855482,-0.440646719,-0.6049088132,-0.7905816784,-0.1369530387,-0.6199636392,0.0665277519
abx_mega__tet_h2o__2,5.3604851288,0.9389394508000001,1.3103896929,-0.8527907562,-0.4011385912,0.7206110132,0.4886661758
abx_mega__phos_h2o__5,1.1402386421,-0.7376719052,-0.6249227034,1.3728449627,1.1925845616,-0.11084185910000001,-0.150991139
abx_mega__monac_dmso__1,-2.6556246358999998,0.3206533466,-1.2529772917,0.5807675425000001,1.2678152553,-0.6133663139000001,0.2589930279
abx_mega__str_h2o__3,0.6258103032,-0.8841602868,0.0740895226,-1.8941859509,-0.5676033857,0.7754102715000001,-0.977704267
abx_mega__zeocin_h2o__2,-0.1130431507,-1.0325870926,-0.10374878950000001,0.3180122541,0.587979534,-0.0662379344,0.0604098433
abx_mega__amyc-d_dmso__7,3.6855020299,1.9019208756000001,0.3542145385,0.8686363537,1.1528187451,-0.2957760788,1.6171901164
abx_mega__fidax_dmso__1,-1.9491994443,-0.0131461132,0.1233966489,-0.8441132099,-0.5267389828,-0.23479774750000001,-0.8159617506
abx_mega__h2o-1a__1,-0.7051289541,-0.1145241468,-0.0241069219,0.0625105212,0.1510924266,-0.0064509202,0.0678169052
abx_mega__dox_dmso__4,6.6924201434,-0.7914818317000001,-0.6402722099,-0.8835196625,-0.1936671666,-0.27556055100000004,-0.0254114923
abx_mega__lzd_dmso__2,0.74772317,0.4437090339,1.9240751119000001,-1.2250992002,-0.0964931641,-0.45278832020000004,0.46200175590000003
abx_mega__tet_h2o__3,2.7801390509,-0.1042384143,0.8842952365000001,-1.2535987095,-0.37037392350000004,-0.6090060752,-0.6278717292
abx_mega__dmso-1__2,-2.505784016,0.0120616401,0.25556191510000004,-0.15609256470000002,0.2789726771,-0.5588740621,-0.2994930349
abx_mega__sxt_dmso__2,0.1360270536,0.0576059274,-0.0012861263,-0.5219061525,-0.027626975800000002,-0.5950587681,-0.332267915
abx_mega__tric_ethanol__2,-1.986085384,-1.0213243068,-1.6350894675,-0.6248932219000001,0.0233681412,-0.5199324965000001,0.1340169813
abx_mega__teix_dmso__8,3.3987712248,0.5841235968,0.836158363,-0.8532571789000001,0.38911204200000005,-0.1317004088,-0.6608277358
abx_mega__ramo_h2o__2,0.6548721808,-0.0187767106,0.2351057527,-0.8440673101,-0.2875160788,0.3187852152,-0.19671678310000001
abx_mega__inh_h2o__3,0.4793828218,-0.35451390790000004,0.1339322538,-1.6423178196000001,-0.7328255253,0.1483487044,-0.3531141463
abx_mega__cst_h2o__3,1.2722877913000001,1.1103280613,0.6070589085,-0.7419004346,-0.7662018206000001,-0.1468435603,0.0627638301
abx_mega__dmso-9__1,-1.8968444274,-1.0845554723,-0.38275786910000004,-1.0228097095,-0.2220031036,-0.2597474694,0.5990907401000001
abx_mega__ethanol-8__3,-0.1999783691,-0.8564956914,-1.2444217901,-0.8209870645,-0.5030481316000001,-0.2728755231,-0.057411242800000005
abx_mega__monac_dmso__2,-2.5193431231,0.1351663382,-0.8019334014,0.5544799185,1.9199126784,-1.0106833729,0.3936761084
abx_mega__dmso-9__2,-2.3970133,-0.6193977612,-0.38829486420000003,-0.6908904131,-0.29759092130000003,-0.4081364819,0.0419764222
abx_mega__metro_dmso__4,-0.7892766361,-0.0234824324,0.061320185900000004,0.11122089040000001,0.4086579641,-0.7683515942,0.44198994220000004
abx_mega__ctx_h2o__4,4.1623063946,-0.182629971,0.1406918846,-2.1413952496,-0.0605921834,-0.13933528820000002,-0.6742015607
