,A,NorR2
Carbons__M9Na_GlcNAcGrowth_Stat__2,2.0839458551497256,-1.7456780305
Carbons__M9Na_GlcNAc_Mid__1,-2.2413906149735148,0.7012123035000002
Carbons__M9Na_GlcNAc_Mid__2,-0.0680695708459503,0.8224770975000002
Carbons__M9Na_Gluconate_Mid__1,-2.346249696247752,0.8927321825000001
Carbons__M9Na_Gluconate_Mid__2,-4.873565935389502,0.3747669985000001
Carbons__M9Na_Glucosamine_Mid__1,1.5532105033209698,0.4030917005000001
Carbons__M9Na_Glucosamine_Mid__2,1.0585529812362098,0.5327908095000002
Carbons__M9Na_Glycerol_Mid__1,-4.946144741920783,-1.5030960384999998
Carbons__M9Na_Glycerol_Mid__2,-5.970945834257954,-0.9313356555
Carbons__M9Na_Maltose_Mid__1,-1.1324245284509151,-0.0363962784999998
Carbons__M9Na_Maltose_Mid__2,-2.853668511770714,-0.0377437614999998
Carbons__M9Na_Mannitol_Mid__1,-1.8326361557127016,-0.4414634554999999
Carbons__M9Na_Mannitol_Mid__2,-3.715102728411397,-0.0763832084999998
Carbons__M9Na_Trehalose_Mid__1,-1.91782897985768,-0.9143549475
Carbons__M9Na_Trehalose_Mid__2,-0.4512934054414702,-0.0389396304999998
Carbons__M9Na_ethanol_Mid__1,12.711280753397295,-1.2288492005
Carbons__M9Na_ethanol_Mid__2,13.284642784302536,-1.0930768245
Carbons__M9Na_fructose_Mid__1,-3.210531491786579,0.1120335214999999
Carbons__M9Na_fructose_Mid__2,-2.8746205408858003,-0.5369256944999998
Carbons__M9Na_fumarate_Mid__1,-3.2931598650275764,0.4765089224999999
Carbons__M9Na_fumarate_Mid__2,-0.9184154950404552,-0.1637516004999999
Carbons__M9Na_glucoseGrowth_Late__1,-0.3677939547917137,-0.2768878154999998
Carbons__M9Na_glucoseGrowth_Late__2,0.4294648770397627,-0.3552066224999999
Carbons__M9Na_glucoseGrowth_Mid__1,-0.272064057967456,0.0361598524999999
Carbons__M9Na_glucoseGrowth_Mid__2,0.2720640579674589,-0.0361598524999999
Carbons__M9Na_glucoseGrowth_Stat__1,1.0497140661671909,-1.0118835475
Carbons__M9Na_glucoseGrowth_Stat__2,-1.0387056648745112,-1.3334575164999998
Carbons__M9Na_ribose_Mid__1,-3.9298837004358287,-1.8114993875
Carbons__M9Na_ribose_Mid__2,-6.91242524964108,-1.0854485324999998
Carbons__M9Na_succinate_Mid__1,-1.1701004167133826,-0.5117118455
Carbons__M9Na_succinate_Mid__2,1.6671348009137614,-0.3693407904999999
Carbons__M9Na_sucrose_Mid__1,1.1001099866125106,-0.4422377334999998
Carbons__M9Na_sucrose_Mid__2,0.4705857329966107,0.0224692834999999
Rich_TF_over_stress__LBv2_HapROver_Late__1,2.901727568624865,0.4856549955
Rich_TF_over_stress__LBv2_HapROver_Late__2,2.689559221530163,0.3407674045
Rich_TF_over_stress__LBv2_HapROver_Mid__1,-4.729197871064747,-0.2346750325
Rich_TF_over_stress__LBv2_HapROver_Mid__2,-4.908849633288959,0.1465770795000001
Rich_TF_over_stress__LBv2_HapROver_Stat__1,-2.0765904159239303,0.1484907374999999
Rich_TF_over_stress__LBv2_HapROver_Stat__2,-0.4863056145595978,-0.0593773794999998
Rich_TF_over_stress__LBv2_LuxOOver_Late__1,-4.197532634996189,0.3211950285
Rich_TF_over_stress__LBv2_LuxOOver_Late__2,-4.647980413071599,0.8862439365000001
Rich_TF_over_stress__LBv2_LuxOOver_Mid__1,-4.597065313599595,-0.3607843625
Rich_TF_over_stress__LBv2_LuxOOver_Mid__2,-4.463287311373493,0.0317706184999999
Rich_TF_over_stress__LBv2_LuxOOver_Stat__1,2.711570244720209,1.8772266445
Rich_TF_over_stress__LBv2_LuxOOver_Stat__2,3.637605274699492,1.6074996645
Rich_TF_over_stress__LBv2_QstROver_Late__1,2.1080498525224614,0.0113808855000001
Rich_TF_over_stress__LBv2_QstROver_Late__2,2.64140943969757,0.2121487875000001
Rich_TF_over_stress__LBv2_QstROver_Mid__1,-3.375353002892266,0.0734068435000001
Rich_TF_over_stress__LBv2_QstROver_Mid__2,-4.162866863787023,-0.0193628424999998
Rich_TF_over_stress__LBv2_QstROver_Stat__1,3.2595773085817736,0.6064622065000003
Rich_TF_over_stress__LBv2_QstROver_Stat__2,2.638770716648714,0.9570571425
Rich_TF_over_stress__LBv2_TfoXOver_Late__1,-4.984119183937922,-0.8513861644999999
Rich_TF_over_stress__LBv2_TfoXOver_Late__2,-5.164009995494405,-0.8060480685
Rich_TF_over_stress__LBv2_TfoXOver_Mid__1,-3.8785142010432825,0.7370388065000002
Rich_TF_over_stress__LBv2_TfoXOver_Mid__2,-4.705169816459912,-0.1698882774999999
Rich_TF_over_stress__LBv2_TfoXOver_Stat__1,-0.8267513653616912,1.6148421285
Rich_TF_over_stress__LBv2_TfoXOver_Stat__2,-0.702064402948754,1.3202006045
Salinity and Temperature Variations__20-300-T1__1,-0.3592203399514772,0.1123458109999999
Salinity and Temperature Variations__20-300-T1__2,0.3603061670877689,-1.388779794
Salinity and Temperature Variations__20-300-T2__1,0.3592203399514764,-0.1123458109999999
Salinity and Temperature Variations__20-300-T2__2,0.9983277045063814,-0.612302265
Rich_TF_over_stress__LBv2_LowpH_Mid__1,5.582087080272764,0.6115776415000003
Rich_TF_over_stress__LBv2_LowpH_Mid__2,6.0975884766697,1.3617827395000002
Rich_TF_over_stress__LBv2_highSalt_Mid__1,0.6209493460643815,-0.0033395634999999
Rich_TF_over_stress__LBv2_highSalt_Mid__2,0.5064751475055749,-0.1481112444999999
Carbons__M9Na_glucoseKanamycin_Mid__1,-1.4185131327004066,0.5721393795000003
Carbons__M9Na_glucoseKanamycin_Mid__2,5.53018214978347,0.4685291385000001
microgravity__R_wt__1,-0.4299288547701226,-0.0319590779999998
microgravity__R_wt__2,0.4299288547701259,0.0319590779999998
microgravity__R_s__1,0.4159742706460613,-0.167772674
microgravity__R_s__2,0.770757768061822,1.225665513
Competence_condition__OSS_TfoXOver_Stat__1,-9.953649151770673,-0.3080871780000001
Competence_condition__OSS_TfoXOver_Stat__2,-7.388417038383739,-1.1637605780000002
Competence_condition__OSS_VectorOnly_Stat__1,-0.6649737316931318,0.0929403269999999
Competence_condition__OSS_VectorOnly_Stat__2,0.6649737316931272,-0.0929403270000002
Competence_Recovery__LBv2_TfoXOver_Recov__1,1.2128808355266008,-0.1387347639999998
Competence_Recovery__LBv2_TfoXOver_Recov__2,2.1967720161725914,-0.1969725429999999
Competence_Recovery__LBv2_VectorOnly_Recov__1,-1.1505578737526987,0.1512645110000001
Competence_Recovery__LBv2_VectorOnly_Recov__2,1.1505578737527011,-0.1512645109999999
