,A,NreC,Rex
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,1.420089429,6.8249005165,8.9767674242
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,0.537991273,6.8067400907,8.8485047046
USA300_LAC_U01-Set004_CAMHB_Control_1,-1.712296017,7.8907734624,9.6691907319
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-1.291743206,7.8283034813,9.8017115888
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-1.2592514590000001,7.8235031602,9.8055431102
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-1.534889121,7.6661274514,9.728002575
USA300_LAC_U01-Set004_CAMHB_Control_2,-1.647843404,7.8460020207,9.7550180096
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-1.702098182,7.8367719865000005,9.6966670162
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-0.570199173,7.903078377,9.790874149
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-0.6376716060000001,7.4467584799,9.863403795
USA300_LAC_U01-Set004_R10LB_Control_1,-1.15744785,7.9616703537,9.4997120787
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,-1.170680248,7.8153596139,9.6175083178
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,-1.719956915,7.8983913217,9.5669182299
USA300_LAC_U01-Set004_R10LB_Control_2,-1.776724861,7.7358407338,9.4296610717
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,-1.214599063,7.7370439289,9.6097487367
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,-1.685219897,7.7242873759,9.501511855
USA300_TCH1516_U01-Set003_CAMHB_Control_2,2.613764453,6.166348653,8.2228057558
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,0.8563434550000001,6.1810279857,7.8594475708000004
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,0.5444518070000001,5.8706466574,7.8018835936
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,0.804522438,5.9848585414,7.7690697497
USA300_TCH1516_U01-Set003_CAMHB_Control_3,1.94226176,6.0314960668,7.960385968
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,2.563215704,6.0714157482,7.7640176049
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,0.55767001,5.8781175175,7.4590185128
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,0.8647726800000001,6.1670373858,7.9038153389
USA300_LAC_ICA-Set001_R10LB_Control_1,-2.050006574,6.8431582325,9.3028182332
USA300_LAC_ICA-Set001_R10LB_Control_2,-2.899983498,6.9762598636,9.2880955878
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-2.692281856,6.7086637228,9.3196323416
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-2.389421612,6.5820152658,9.3023258154
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-0.811400495,7.2656789442,8.9606089098
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,-0.276862488,7.2599366003,8.975002127
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,-2.487398529,7.5794103415,9.3259438944
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,-2.757011038,7.700458889,9.1822658927
USA300_TCH1516_BK-Set001_THB_Control_1,25.87601472,7.43559024,9.07517447
USA300_TCH1516_BK-Set001_THB_Control_2,37.30463489,9.4429247217,9.1676812328
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,7.891390342,6.6659424931,9.4934671148
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,5.724590318,6.6194367062,9.588223392
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,18.87225883,8.3302306278,9.499731658
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,6.915172726,6.4926827235,9.3772888789
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,39.75188703,10.2908420621,9.0169855333
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,27.03875628,8.1056218421,9.0571242001
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-0.488114584,7.1867674105,8.9098045175
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-0.6033412770000001,7.0903438885,8.900354655
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,0.7868353840000001,7.1769939243,9.0347743453
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,2.382028966,6.8595264652,9.0412673546
USA300_LAC_ICA-Set002_CAMHB_Control_1,-1.809908255,6.817026165,8.9531993133
USA300_LAC_ICA-Set002_CAMHB_Control_2,-0.633207099,6.9684605919,9.1450950862
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,-0.9371615320000001,7.3554611101,9.5575461651
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,-1.379081379,7.2904669784,9.5127890271
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,4.680890278,7.3484889496,9.2444792591
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,3.299936931,7.2828010996,9.2445094512
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,-0.43553016800000005,6.915865632,9.1756858188
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,0.6494516330000001,7.0378282146,9.1339839333
USA300_SNFM1_ICA-Set002_R10LB_Control_1,4.437694044,7.2940460164,9.2488244941
USA300_SNFM1_ICA-Set002_R10LB_Control_2,4.87841462,7.2353211298,9.2913811378
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,1.740120374,7.3383947131,9.2234571093
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,1.641587644,7.3097920438,9.206557753
USA300_SNFR19_ICA-Set002_R10LB_Control_1,3.116934802,7.3924811121000005,9.1433034677
USA300_SNFR19_ICA-Set002_R10LB_Control_2,4.191483137,7.5728780694,9.3181272219
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,0.290750234,6.7987971387,9.1234396261
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,-0.290750234,6.9114759148000005,9.1129152115
USA300_TCH1516_ICA-Set002_R10LB_Control_1,1.266477675,7.0586564271,8.9808462684
USA300_TCH1516_ICA-Set002_R10LB_Control_2,1.9191538750000001,7.1246684636,9.2227445067
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,-1.4864912430000001,6.7234332412,8.8231185986
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,-2.484632238,6.7238114297,9.2503294983
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,-0.44098097500000005,6.6759067152,8.871386482
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,-2.59538189,6.4994433062,9.2610688675
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-0.692330808,6.1580805735,8.7968094588
USA300_TCH1516_ICA-Set003_250nMParaquat_2,0.73656738,6.3930664443000005,8.5764654149
USA300_TCH1516_ICA-Set003_2gLGalactose_1,0.401298992,6.7274543940000004,8.4812800172
USA300_TCH1516_ICA-Set003_2gLGalactose_2,0.38257412900000004,6.6973523528,8.696531815
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,0.442308654,6.4630533594,8.8189916834
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,0.04671725,6.4990122853,8.449464023400001
USA300_TCH1516_ICA-Set003_Control_1,0.317090739,7.0915997967,9.1908497096
USA300_TCH1516_ICA-Set003_Control_2,0.575516637,6.6502444527,8.9945393101
USA300_TCH1516_ICA-Set003_StationaryPhase_1,9.648596631,7.6717781999,8.8844484372
USA300_TCH1516_ICA-Set003_StationaryPhase_2,11.84341614,8.0788713679,8.626948216
