,A,NadR
SRX5694372,0.8227050768,-0.0994122117
SRX5694373,-0.5419916888,0.6089693213
SRX5694374,-4.2350135887,-1.3885700756000001
SRX5694375,1.030479076,0.44225466410000003
SRX5694376,-1.2023565176,-0.7729865311
SRX5694377,-3.307127947,-2.1230837576
SRX5694378,0.9334369704000001,-0.6874571653
SRX5694379,-0.7130561719,0.14550453730000001
SRX5694380,0.33676584930000003,0.7475385467
SRX5694381,1.3086270340000001,-1.2358187216
SRX5694382,1.2391020677,0.12620345
SRX5694383,0.2586891711,0.20351876030000002
SRX5694384,0.0571566175,-0.0462530325
SRX5694385,0.8583503880000001,0.22084490580000002
SRX5694386,-0.8233770701,-0.8430630170000001
SRX5694387,0.11220210580000001,-0.0285203557
SRX5694388,0.9962878699000001,-0.41657009970000003
SRX5694389,-1.6516067632,-0.0572303511
SRX5694390,-0.24350688380000002,0.34253544410000003
SRX5694391,1.3837752858,0.2485932637
SRX5694392,-0.2401927128,0.40622223150000003
SRX5694393,0.9904143021,-0.06404546400000001
SRX5694394,0.6626000016,0.2950390893
SRX5694395,-0.6124121779,0.2267128052
SRX5694396,0.5956154861,-1.2582771448
SRX5694397,0.933241846,0.38869032600000003
SRX5694398,0.49452378290000004,0.344259617
SRX5694399,-0.20694992750000002,0.5088598675
SRX5694400,1.3701868809,-0.0598989716
SRX5694401,0.9412999661,0.46337544680000003
SRX5694402,-0.9404523467,-0.7980394382
SRX5694403,4.9830363206,-0.1553467134
SRX5694404,-0.5029361701,0.0288032537
SRX5694405,0.47916930550000003,0.5264872309
SRX5694406,0.6115959475,0.7727998109
SRX5694407,0.8611646543,0.5897598389
SRX5694408,0.6303098227,0.2821051835
SRX5694409,1.1948828656,-0.1932807342
SRX5694410,-2.4508296035,0.1812082845
SRX5694411,0.8276352948,-0.8112827371
SRX5694412,0.6962422747,-0.1602104064
SRX5694413,2.1857274924,0.6249000884
SRX5694414,0.9943935071000001,-1.3125966568
SRX5694415,-0.1708926513,0.45917821350000004
SRX5694416,-0.3293077016,0.0184148264
SRX5694417,1.0891062639,0.3206859734
SRX5694418,-0.27294109850000003,-0.2218637769
SRX5694419,-0.3375946952,-1.0406451389
SRX5694420,-1.9160649079,0.2124333874
SRX5694421,0.9701227825000001,0.7116848295
SRX5694422,1.904597892,0.1630649568
SRX5694423,-1.4025333997,0.3482973049
SRX5694424,-0.2269651383,0.0849315952
SRX5694425,0.6671561181,-0.0505625447
SRX5694426,-0.0295544353,-0.0411397973
SRX5694427,0.9111280431000001,0.6180425297000001
SRX5694428,0.9825531329,0.14700655170000002
SRX5694429,0.650303203,-1.6278965803
SRX5694430,0.5468426163,0.5238024587
SRX5694431,0.9239794861,0.4845646034
SRX5694432,1.0056167027,-0.22323642470000002
SRX5694433,2.1888991195,0.955553143
SRX5694434,1.282133874,0.27384820930000003
SRX5694435,-0.2186998399,0.1705094694
SRX5694436,0.8795430198,-0.8113115562000001
SRX5694437,0.6677172977,0.1361131478
SRX5694438,0.5936033729,0.3624082825
SRX5694439,-2.8904907655,-1.0778759739
SRX5694440,0.1349573066,-0.035194494300000004
SRX5694441,0.9907507542,-0.7175718321
SRX5694442,0.9683250116000001,-0.4408841177
SRX5694443,1.505867733,0.1702877853
SRX5694444,-0.1893197601,0.2241887014
SRX5694445,0.7992779538,-0.0709790495
SRX5694446,-0.7355862807,0.30929482010000003
SRX5694447,0.8031847803000001,-0.46657358390000003
SRX5694448,2.0788213504,-0.4329497894
SRX5694449,0.3741426198,0.5936072463000001
SRX5694450,0.1685514991,-0.8326624582000001
SRX5694451,1.4808346014,0.0698914588
SRX5694452,0.3733527485,-1.0807250408
SRX5694453,1.6779171294,0.8970527425
SRX5694454,0.2978639758,-0.36440593720000003
SRX5694455,-0.1727360262,-0.7186854592
SRX5694456,1.157411346,0.34315434310000004
SRX5694457,0.1922257744,0.4112364183
SRX5694459,-0.547674844,0.5034909471
SRX5694460,0.1525486223,-0.6696162027
SRX5694461,0.7931235051000001,-0.33976875440000004
SRX5694462,-0.3290115469,0.0165719987
SRX5694463,0.0435526596,0.389938541
SRX5694464,1.3792537215,-0.2147015783
SRX5694465,-0.0282830856,0.5745419616
SRX5694466,2.7046204543,0.7891664526000001
SRX5694467,-0.4447589562,0.27527275970000004
SRX5694468,-1.5479724446,-1.6449821777
SRX5694469,1.1075785848,0.4024405244
SRX5694470,0.3467519457,0.0931007955
SRX5694471,0.7039921908,0.3325052607
SRX5694472,0.18920601820000002,0.19501739710000002
SRX5694474,5.6964738146,0.162098976
SRX5694475,1.4422871183,0.2658397903
SRX5694476,1.0662086623,0.026924532600000002
SRX5694477,0.5694885874,-0.7967773856
SRX5694478,-0.6403690152,0.027357647000000002
SRX5694479,-0.6349186412000001,-0.1349020611
SRX5694480,0.1266430794,0.7235529154
SRX5694481,0.7588034807,-0.3345849208
SRX5694482,0.1239796789,0.2957496967
SRX5694483,0.6743815033,0.5162327459
SRX5694484,1.5198126395,-0.0991119785
SRX5694485,0.9797832664,0.6056233470000001
SRX5694486,0.5121836271,-0.0327926897
SRX5694487,1.2754556269,-0.5894667151
SRX5694488,0.5919141534,0.453524117
SRX5694489,0.5934232928000001,0.596274433
SRX5694491,1.0280892603,-0.9541843359000001
SRX5694492,0.7163653229,-0.9769616201
SRX5694493,0.420763276,-1.3588844173
SRX5694494,0.6520587306,0.4464966175
SRX5694495,0.6788673836,0.1035857572
SRX5694496,0.7984493880000001,-0.0468925701
SRX5694497,5.9389959872,-0.3974110629
SRX5694498,0.11248968370000001,0.6149921403
SRX5694499,-5.6572848631,0.0611417514
SRX5694500,-1.5519192816,0.0777225704
SRX5694501,1.4655350798,-0.3267322321
SRX5694502,-3.7005331485,-1.8239119863000002
SRX5694503,-1.7722281757,0.107026115
SRX5694504,0.3468999512,0.0109349275
SRX5694505,0.6421480677,-1.0583104229
SRX5694506,-1.1143383305,-0.2065616918
SRX5694507,1.0702921215,-0.0893521937
SRX5694508,0.5909285899,0.2736762287
SRX5694509,0.0443063308,0.2050680798
SRX5694510,0.7884641591,0.21622709
SRX5694511,0.1366686063,0.257951394
SRX5694512,1.0760179677,-0.7612641765
SRX5694513,0.0876359871,0.9303392571
SRX5694514,0.44518656230000003,-0.8405663883000001
SRX5694515,-0.7443205358,0.6812699606
SRX5694516,-3.548036719,-1.152553669
SRX5694517,0.2626805974,0.1643239411
SRX5694518,1.4893239986,0.17820749260000002
SRX5694519,-1.5750863144,0.4454039386
SRX5694520,-3.4510772941,-0.2093892287
SRX5694521,-0.2158518884,0.1215119132
SRX5694522,0.0223672658,0.1362120262
SRX5694523,0.2225647608,0.10308429300000001
SRX5694524,0.5847552381000001,0.2769368459
SRX5694525,0.2783546444,0.1253188201
SRX5694526,-1.4511678406000001,-0.4125725629
SRX5694527,-1.8275720944,0.21059641710000002
SRX5694528,-0.1973828788,-0.137479239
SRX5694529,0.5029500961,0.32752566
SRX5694530,-3.7706200876000002,-0.4360509207
SRX5694532,5.1979841358,-0.2071972926
SRX5694533,0.2496468862,-0.2906481593
SRX5694534,1.456905439,-1.6507702403
SRX5694535,1.1703098542,-0.29020289450000003
SRX5694536,0.47781447200000005,-0.1254890786
SRX5694537,0.1239863493,0.050493280200000004
SRX5694538,0.9096078987,0.4284494178
SRX5694539,-0.6590423894,0.0040646583
SRX5694540,4.2267421085,-0.38035973630000003
SRX5694541,1.3774244381,-0.0540363409
SRX5694543,-2.92902181,-1.1751273568
SRX5694544,1.4284565597,0.4671632758
SRX5694545,0.4268332735,0.38694998410000003
SRX5694546,1.0702389626,-0.5083208011
SRX5694547,1.0077538232,0.6563336315
SRX5694548,-0.0174442441,-0.1115156219
SRX5694550,0.6294260582,0.6044026729
SRX5694551,-1.5351558842,0.1721094827
SRX5694552,-0.9328377179,0.0490404235
SRX5694553,0.3251975731,-0.2586563301
SRX5694554,-0.6242354021000001,0.1822065898
SRX5694555,0.8284289944000001,-0.7472676997000001
SRX6072760,-1.6093114278,0.2422582479
SRX6072761,-1.075037888,0.49236678580000004
SRX6072762,-1.6348244961,0.5850257412000001
SRX6072763,-1.8719433347,1.1093109964
SRX6072764,-2.0647604606,0.0943956475
SRX6072765,-1.1369883352,0.8958717604
SRX6376491,0.49129851490000004,0.6078881556
SRX6376492,0.7878748003,-1.4054574832
SRX6376493,1.1603815862,-1.0372590239
SRX6376494,0.7536348991,-0.9555984618000001
SRX6376495,1.0717894316,0.8421077845
SRX6376496,-0.0275884619,0.6635663613
SRX2723951,0.2953098,0.7762625485
SRX2723952,1.0193096126,1.0753177486
SRX2723953,0.4249843555,0.7855618166
SRX2723954,1.2876026362,1.3380625718
SRX2723955,0.22211193840000001,-0.011685971100000001
SRX2723956,-0.2743132729,0.9889708441
SRX2723957,-0.052476558300000004,0.1128901721
SRX2723958,0.2939546165,-0.273447347
SRX2723959,-0.10373236620000001,0.1858608726
SRX2723960,0.1293353011,0.6977665213
SRX2723961,1.8058400324,1.277945847
SRX2723962,-0.0648782994,0.5296864799000001
SRX2723963,-0.5813252583,-0.4232452364
SRX2723964,0.9171707083,0.059717186900000004
SRX2723965,-0.1467579342,0.3242247326
SRX2723966,-0.085515059,0.2746439901
SRX2723967,-0.018072317100000002,-0.1596988373
SRX2723968,0.10358737600000001,-0.1149451528
SRX6977206,-0.2237281032,-0.6365596130000001
SRX6977207,0.2368371749,-0.7285929781
SRX6977208,0.5589675858,0.4990983346
SRX6977209,0.24472877010000002,0.32835793890000003
SRX6977210,0.6171413944,0.6156421203
SRX6977211,-0.034674072300000004,-0.12672402060000001
SRX6977212,-0.0229726243,-0.1258034918
SRX6977213,0.057646696600000005,0.2525275124
SRX6977214,-1.0009462895,-0.5243650403
SRX1153733,0.26794922400000004,0.0578995204
SRX1153734,-0.26794922400000004,-0.0578995204
SRX1153735,2.4972427067,-0.24248403810000002
SRX1153736,3.1558596463,-0.5312444612
SRX5204053,-0.4429275212,-0.0391705553
SRX5204054,-2.4795735273,0.239672765
SRX5204055,-0.7044032102000001,0.1330919942
SRX5204056,-2.8171859037,0.0105836972
SRX5204057,-2.233346577,0.0517684484
SRX5204058,-2.1918094722,-0.0775737313
SRX5204059,-1.2271369364,0.2269426064
SRX5204060,-2.2318795336,0.32941836550000003
SRX5204061,-2.0915411958,0.2318577265
SRX5204062,-0.8119626196,0.3229318449
SRX5204063,-1.1001909551,0.0241093925
SRX5204064,-1.8139281558,0.19019358290000002
SRX5204065,-2.6608207398,0.2824223336
SRX5204066,-2.3484501293,0.1320788082
SRX5204067,-3.1136963775,0.17331405100000002
SRX5204068,-0.4879425573,0.2794499498
SRX5204069,-0.7950723234,0.10713050190000001
SRX5204070,-0.8019475580000001,0.2958033328
SRX5204071,-0.6756024057000001,0.1297564159
SRX5204072,-2.4108283079,0.07130079410000001
SRX5204073,-1.4579707972,0.170879678
SRX5204074,-1.2030809211,0.1637363541
SRX5204075,-0.4225509036,0.2242801576
SRX5204076,-0.8603424629,0.139779003
SRX5204077,-1.0202394635,0.1363745512
SRX5204078,-0.41493247040000003,0.28570547290000003
SRX5204079,-1.2565805605,0.27970562730000004
SRX5204080,-1.969794478,0.3008625915
SRX5204081,-2.4364477406000002,0.2832049318
SRX5204082,-2.0773288351,-0.0236410337
SRX5204083,-0.9423435120000001,0.4124224801
SRX5204084,-0.6612053884,0.0965973111
SRX5204085,-0.6152103417,0.08659096620000001
SRX5204086,-2.1654194531,-0.16126431970000002
SRX5204087,-2.5784046978,0.22500808200000003
SRX5204088,-2.2076424486,0.1361259642
SRX5204089,-0.3695700161,0.24978150240000002
SRX5204090,-0.3452748718,0.1087078498
SRX5204091,0.46163365100000003,0.3901936509
SRX5204092,-2.1039076874,0.2779322692
SRX5204093,-1.4488228507,0.38599454320000004
SRX5204094,-0.6859998108,0.2638434254
SRX5204095,-0.1405193449,-0.0143335693
SRX5204096,0.3021777499,0.0416115613
SRX5204097,-0.1616584049,-0.027277992
SRX683459,0.2653720288,-0.3473917126
SRX683460,-1.5811560907,0.4849569737
SRX683461,-0.1304120329,0.0272519866
SRX683462,-1.1404688057,0.1683600827
SRX683463,-0.13495999590000002,0.320139726
SRX683464,-1.1992372029,0.24522732
SRX683465,0.7880790054,0.0825615459
SRX683466,-3.3760190096000002,1.6780280035000001
SRX683467,0.47895509080000004,0.0213032938
SRX683468,-2.9150184518,1.3761029837
SRX683469,0.7258808625000001,-0.0420492374
SRX683470,-1.7031698046,1.2994750708
SRX322077,0.5418420336,0.16593128540000002
SRX322078,0.3431636937,0.2588011417
SRX322079,-0.35583828770000003,0.0151712053
SRX322080,-1.5271898371,0.11198310700000001
SRX322081,-0.7086868948,0.070882164
SRX322082,-0.7062810818,0.2330749524
SRX322083,-1.1348874656,-0.1605591515
SRX322084,1.7244103771,-0.0955524386
SRX322085,-0.5895229115,0.2561115901
SRX2708592,-1.7769214223,1.1194568104
SRX2708593,-3.0225639169,1.3374711354
SRX2708594,-2.8475297593,1.312913972
SRX2708595,0.9515746583,-0.0790333841
SRX2708596,-0.7129722492,0.1119466159
SRX2708597,-0.2386024091,-0.0329132318
SRX2708598,1.2839082217,0.7822915971000001
SRX2708600,-0.052334946,0.4806521378
SRX2708601,0.3003508641,0.0602589252
SRX2708602,-0.0756069119,0.5201213328000001
SRX2708603,-0.2923489144,0.0316100047
SRX3073814,-0.0077658324,-0.1090056653
SRX3073815,-0.0712390905,0.2866403247
SRX3073816,0.0021920333,-0.39016950650000004
SRX3073817,-0.15332345190000002,-0.5305541746
SRX3073818,0.30824376400000003,-0.5584048194
SRX3073819,-0.0859502576,0.4374268443
SRX3073820,0.2278276128,0.7888173373
SRX3073821,-0.38587458080000003,0.2632761759
SRX3073822,0.6555661246000001,-0.2792837253
SRX3073823,-0.4314423222,-0.0829658684
SRX3073824,0.0077658324,0.1090056653
SRX3073825,-0.0246975051,0.7593959045
SRX3073826,-0.0689789683,-0.1287207844
SRX3073827,0.14891280070000001,-0.7670893809
SRX3073828,0.1473254438,-0.716980539
SRX3073829,-0.3399996837,0.39099211910000004
SRX3073830,0.3065325419,0.7281326085000001
SRX3073831,-0.4200829562,-0.1644824137
SRX3073832,-0.2679651917,-0.28615463080000003
SRX3073833,0.2996820503,-0.3664721413
SRX2391456,-0.7891761248,0.041828034800000004
SRX2391457,-1.6887449161,-0.2747439973
SRX2391458,-2.0515451309,-0.2532778637
SRX2391459,-2.9286435082,-0.2935484397
SRX2391460,-3.603414869,-0.0075364373000000005
SRX2391461,-3.5234268263,-0.047976075300000004
SRX2391462,-2.9118508834,-0.1194141967
SRX2391463,-2.3108770290000002,0.0146613069
SRX2391464,-2.2747267648,0.0134771452
SRX2391465,-1.8225811505,-0.0680825127
SRX2391466,-1.837149818,-0.0294673118
SRX2391467,-0.1867252069,-0.0023153218000000002
SRX2391468,-0.39547491090000003,-0.0930791358
SRX2391469,-0.31877323290000004,0.038738759000000005
SRX2391470,0.442187311,0.32657198
SRX2391471,-0.2622143644,0.0709657404
SRX2391472,-0.7370543825,0.0751096571
SRX2391473,-1.3944650226,-0.18394478320000002
SRX2391474,-2.0482313765,-0.29055901170000004
SRX2391475,-1.9326398193,0.12818971980000002
SRX2391476,-2.5071119004,0.0732593235
SRX2391477,-2.8118126862,-0.20948463420000002
SRX2391478,-4.1757991391000004,-0.2073162705
SRX2391479,-2.4460641597,0.1481866964
SRX2391480,-0.5466022872,-0.2223177338
SRX2391481,-1.1651416903,-0.0973619117
SRX2391482,-0.5462742184,-0.0126457598
SRX2391483,-1.3276992279,-0.0736055463
SRX2391484,-1.8505664928,-0.1061978863
SRX2391485,-2.0665345999999998,-0.2794655405
SRX2391486,-2.748311214,-0.3386084297
SRX2391487,-3.5789868182999998,-0.1732788264
SRX2391488,-3.7909517697,-0.1964673548
SRX2391489,-3.7347990725,-0.1875437079
SRX2391490,-2.8807752842000003,-0.10327217470000001
SRX2391491,-2.2358836396,-0.09747811070000001
SRX2391492,-1.9341061466,0.0654867392
SRX2391493,-1.8438106449,-0.0655394465
SRX2391494,-2.0509726546,-0.0384481906
SRX2391495,0.1867252069,0.0023153218000000002
SRX2391496,-0.7007474956,-0.0575226998
SRX2391497,-0.38099717710000003,-0.189847333
SRX2391498,-0.5445833234,0.1765993928
SRX2391499,-1.0131928407,0.0403350862
SRX2391500,-1.6383960516,-0.0598922062
SRX2391501,-2.0632529047,-0.2635914774
SRX2391502,-2.5419646891000003,-0.361391356
SRX2391503,-2.8921315522,0.06348818340000001
SRX2391505,-2.5315127295,-0.044395109
SRX2391506,-3.1059234299,-0.23768701920000002
SRX2391507,-3.7738953632000003,-0.2621848733
SRX2391508,-2.5948964884,0.0697776292
SRX2391510,-0.9611088609,-0.045395531100000004
SRX2391512,-0.8389187424000001,-0.0161524496
SRX2391513,-1.0479725273,-0.2345727612
SRX2391514,-1.6885228452,-0.1069191667
SRX5632598,-0.3731989149,0.42986136700000005
SRX5632599,-0.06980465870000001,0.21650773650000002
SRX5632600,2.516484042,0.9897514674000001
SRX5632601,1.1240858406,0.4206990137
SRX5632602,2.1230425084,0.5745795495
SRX5632603,1.5344440353,1.0630879881
SRX5632604,2.4137494868,0.8921840724000001
SRX5632605,2.608172069,0.8991007439
SRX5632606,-0.3602055792,0.3388671193
SRX5632607,0.8673534258000001,0.2334619679
SRX5632608,-0.2630599918,0.1602503234
SRX5632609,0.2160708883,0.1333188481
SRX5632610,0.22254994600000003,0.1088999679
SRX5632611,0.046989103500000004,-0.2935691715
SRX5632612,-0.8064280204000001,0.0163475366
SRX5632613,-0.25052143800000004,0.48105106500000006
SRX5632614,0.3745167313,0.018252342600000002
SRX5632615,0.3608438055,-0.0037886516000000003
ERX2874132,-1.2247528955,-0.4022666044
ERX2874133,-1.8887854047000001,-0.6801223618000001
ERX2874134,0.2025421605,-1.124659606
ERX2874135,-0.6664609411,-0.8342912443
ERX2874136,0.23997775940000002,-1.0961416667
ERX2874137,-0.8928215736,-0.9566240824000001
ERX2874138,-0.7756554095,-1.0449053427
ERX2874139,-0.9705868323000001,-0.9675571774
ERX2874140,-0.0538816088,-0.0289536599
ERX2874141,0.0538816088,0.0289536599
ERX2874142,1.400054936,-1.1085680655
ERX2874143,0.7501979403,-1.2670950166
ERX2874144,-0.2644067291,-0.5606354090000001
ERX2874145,-0.8038573148,-0.6330860189
ERX2874146,-0.1687210438,-0.25825979860000003
ERX2874147,-0.5789986512,-0.4284038543
SRX1300292,-1.1574331997,-0.0171292161
SRX1300293,1.1574331997,0.0171292161
SRX1300299,-0.2840879846,0.18557568700000002
SRX1300300,0.2351109431,-0.3619743005
SRX1300304,0.23313490990000002,-0.1775414432
SRX1300305,-0.1884828601,-0.0046382738
SRX1300306,0.783065611,-0.2580167834
SRX1300310,-0.13281937900000002,-0.08655850500000001
SRX1300311,-0.2531659672,0.0035980364000000003
SRX7291195,3.1294547822,-0.2407057363
SRX7291196,2.9309991551000003,-0.3684283305
SRX7291197,3.1581611398,-0.3301444945
SRX7291198,0.0064868611000000005,-0.1215654971
SRX7291199,-0.1150813225,0.13094917450000002
SRX7291200,0.10859446140000001,-0.0093836774
SRX7291201,3.3047030895000002,-0.3845338538
SRX7291202,3.1652766589,-0.2158862813
SRX7291203,3.0273300755,-0.3180546401
SRX7291204,0.10341045,0.0711238326
SRX7291205,0.2968604816,-0.050909125900000005
SRX7291206,0.11827958350000001,-0.0197170296
SRX2436955,-0.1062712562,0.35427181300000005
SRX2436956,-1.7135858180999999,0.1844754838
SRX2436957,-2.1615812888,-0.0152610457
SRX2436958,-1.2865305746,0.14032371800000001
SRX2436959,-0.1198684527,-0.1494984356
SRX2436960,-1.0268318773,0.24167499720000002
SRX2436961,-1.0069900818,0.3680893049
SRX2436962,-0.9842997352,0.2128068585
SRX2436963,-0.029318037,-0.2088442663
SRX2436964,-0.37567487050000004,-0.0154166046
SRX2436965,0.893805653,-0.7876658027000001
SRX2436966,-0.8917043487,-0.042124245500000004
SRX2436967,-0.8557303119,0.3642365187
SRX2436969,-0.4582748146,-0.1666916985
SRX2436970,-1.000967877,-0.003980288
SRX2436971,-0.4957962543,0.4012043234
SRX2437029,-0.9695190043,0.2576243086
SRX2437030,0.2237500497,0.32715078880000004
SRX2437031,-0.3564950125,0.0048647122
SRX2437032,-0.4804916675,0.13874947440000002
SRX2437033,0.6759576759,0.1846912293
SRX2437034,0.9731079006000001,-0.8104654280000001
SRX2437035,0.1105625013,0.21948418660000002
SRX2437036,-0.033798347900000004,0.2277204363
SRX2437037,-0.0133403394,0.0170410033
SRX2437038,-0.919880358,0.0763591326
SRX2437039,-0.4559225488,-0.0197737587
SRX2437040,0.2083221981,0.2052048675
SRX2437041,0.1879686949,0.35024048100000005
SRX2437042,0.3446021228,-0.0953288322
SRX2437043,0.1870098487,-0.10860716170000001
SRX2437044,0.8798107344,0.3118315754
SRX4705203,-0.60155857,0.0284927172
SRX4705204,-2.95568598,0.6503098516
SRX4705205,-3.0218877279,0.580667956
SRX4705206,-2.9174565825,0.47739463200000004
SRX4705207,-2.668694166,0.37289332550000004
SRX4705208,-3.1794868769,-0.1483165005
SRX4705209,-2.5637430309,0.2054008579
SRX4705210,-3.7457981685,0.37431407450000004
SRX4705211,-3.5659944135,0.43194075940000004
SRX4705212,-3.6845703278,0.34178382150000003
SRX4705213,0.9597433108000001,-0.14433684060000002
SRX4705214,0.8048738963000001,-0.338644113
SRX4705215,-0.4902739721,0.0805878567
SRX4705216,0.7147690003,-0.0787441428
SRX4705217,-1.0512536519,0.14966046800000002
SRX4705218,-0.9378585834000001,0.3314767717
SRX4705219,-2.5084413004,0.2938084265
SRX4705220,-2.2068971471,0.1246045415
