,A,AbaM
AB5075_gigAB__kan_WT__3.0,-1.1475066159,-0.4161991915
AB5075_gigAB__WT__1.0,1.1760957337,0.3955369792
AB5075_gigAB__WT__2.0,-1.2745003909000001,-0.08927932670000001
AB5075_gigAB__WT__3.0,0.09840465720000001,-0.30625765250000003
AB5075_med__CA-MHB__1.0,-0.2813346069,-0.5394075171
AB5075_med__CA-MHB__2.0,-3.1786066797,-0.5252384281
AB5075_med__CA-MHB_pH6__1.0,-0.9821067218,0.4478216743
AB5075_med__CA-MHB_pH6__2.0,1.3951527773,-0.4527613788
AB5075_med__RPMI+_pH7__1.0,0.1638751588,-0.3398347035
AB5075_med__RPMI+_pH7__2.0,2.4983595303,-0.6000748123
AB5075_med__RPMI+_pH6__1.0,1.9165914448999999,-0.6414309253
AB5075_med__RPMI+_pH6__2.0,0.022370085,-0.1033240465
AB5075_med__RPMI+_-HCO3__1.0,-1.3645197249,-0.3256509747
AB5075_med__RPMI+_-HCO3__2.0,-0.6752936519,0.15711705450000002
AB5075_med__LB__1.0,-0.1567289927,-0.1288133027
AB5075_med__LB__2.0,0.1567289927,0.1288133027
AB5075_med__M9+AA__1.0,1.4761799684,-0.751646907
AB5075_med__M9+AA__2.0,-1.0637222976,-0.4089989973
AB5075_med__M9-AA__1.0,1.6316549652,-0.4886069108
AB5075_med__M9-AA__2.0,-0.8953034218,-0.23472539990000002
AYE_adeB__WT__1.0,-0.3361320862,0.2736872504
AYE_adeB__WT__2.0,0.11277424150000001,-0.08747842360000001
AYE_adeB__WT__3.0,0.2233578447,-0.1862088268
AYE_adeB__adeB__1.0,0.6094564952,-0.5947009401000001
AYE_adeB__adeB__2.0,-1.2777009744,-0.7430695359
AYE_adeB__adeB__3.0,-1.1933621313,-0.5303577931
COL__0ug/ml__1.0,-0.2207457747,0.8536490985
COL__0ug/ml__2.0,0.2207457747,-0.8536490985
COL__0.25ug/ml__1.0,0.2574911593,-0.2305848165
COL__0.25ug/ml__2.0,0.41122655140000003,-0.1452296305
COL__1ug/ml__1.0,-2.8592041458,0.12251859450000001
COL__1ug/ml__2.0,-0.018919558200000002,-0.4025976525
H2O2__0ug/ml__1.0,0.9858791177,-0.1639883748
H2O2__0ug/ml__2.0,-0.9858791177,0.1639883748
H2O2__1.25ug/ml__1.0,-1.33389023,0.1652627036
H2O2__1.25ug/ml__2.0,-1.0593296933,0.2462132358
H2O2__2.5ug/ml__1.0,1.627027169,-0.699445948
H2O2__2.5ug/ml__2.0,-0.1579277205,-0.3554020802
H2O2__5ug/ml__1.0,5.7300728688,-1.1551921222
H2O2__5ug/ml__2.0,6.277180256,-1.100984068
MRP__0ug/ml__1.0,0.7805211686,-0.0416166521
MRP__0ug/ml__2.0,-0.7805211686,0.0416166521
MRP__25ug/ml__1.0,-0.1836276541,-0.13028045700000002
MRP__25ug/ml__2.0,-0.4630577535,-0.4893147572
MRP__100ug/ml__1.0,1.2899883208,-0.4590077923
MRP__100ug/ml__2.0,-0.07276222980000001,-0.9757217206000001
MRP__200ug/ml__1.0,0.9472550491,-0.3470663326
MRP__200ug/ml__2.0,-1.8007493965,-0.0295944248
growth__2h__1.0,1.2671977139,-0.002776768
growth__2h__2.0,-1.2671977139,0.002776768
growth__4h__1.0,-1.577729431,-0.4643656888
growth__4h__2.0,1.5341782048,0.0242928255
growth__6h__1.0,-0.3066219361,-1.5763812462
growth__6h__2.0,-2.6358565751,-0.5037079994
growth__8h__1.0,-0.5205454805,-1.1136430294
growth__8h__2.0,-2.2293942293,-0.9322040112000001
growth__10h__1.0,-0.0025952876,0.0451327357
growth__10h__2.0,-2.6588647717000002,0.36316883580000003
mutants__WT__1.0,0.3660078746,-0.24418481700000003
mutants__WT__2.0,-0.3660078746,0.24418481700000003
mutants__R7__1.0,-18.033027151,-0.497691207
mutants__R7__2.0,-19.5450321826,0.150670144
mutants__gacA__1.0,0.098437588,1.291282136
mutants__gacA__2.0,-0.17963777690000002,1.222017222
vacJ_LL-37__WT__1.0,0.0807003,0.0855563012
vacJ_LL-37__WT__2.0,-0.0807003,-0.0855563012
vacJ_LL-37__WT+LL-37__1.0,-0.271443973,-0.1604941001
vacJ_LL-37__WT+LL-37__2.0,0.1832226016,-0.6580583774000001
vacJ_LL-37__vacJ__1.0,-1.3637581071,-0.41122042270000003
vacJ_LL-37__vacJ__2.0,-3.0934050064,-0.4835051648
vacJ_LL-37__vacJ+LL-37__1.0,-2.7775328062,-0.8599096507
vacJ_LL-37__vacJ+LL-37__2.0,-2.1899234783,-0.6842511440000001
