,A,NsrR
omics__bw_ac__1,0.3912190486,0.5708816010000001
omics__bw_ac__2,0.23989955670000002,0.6523841450000001
omics__bw_fum__1,1.0136779788,0.050789862000000005
omics__bw_fum__2,1.5150792274,0.41931401300000004
omics__bw_glc__1,0.5708767637000001,0.367309645
omics__bw_glc__2,0.5242183713,0.44822874900000004
omics__bw_pyr__1,1.6678229221,1.105332901
omics__bw_pyr__2,1.3087359102,1.07491648
ompr__wt_nacl__1,-1.5156211949,0.281356205
ompr__wt_nacl__2,-2.7885019773,0.283185878
ompr__bw_delompr_nacl__1,-2.1729195002,0.581986051
ompr__bw_delompr_nacl__2,-2.7192502703,0.31094883900000003
minspan__wt_ade__1,0.07781397300000001,0.9553744260000001
minspan__wt_glc__2,0.0549011041,0.573144505
minspan__wt_glc__3,-1.0648217747,0.490582703
minspan__wt_glc__4,-0.444531485,0.636541926
minspan__wt_glc_anaero__1,-0.352361894,0.571206257
minspan__wt_glc_anaero__2,0.0044578335,1.229218782
minspan__wt_trp__1,0.6744314968,1.240223179
minspan__bw_delcra_glc__2,1.7124507374,1.136693301
minspan__bw_delcra_trp__1,0.3074967488,1.508709214
minspan__bw_delmntr__1,2.0021338861,1.012157494
minspan__bw_delnac_ade__1,-1.8418785613000002,1.711011552
minspan__bw_delnac_glc__1,-0.0899362593,0.6794163440000001
cra_crp__wt_ac__1,-0.2334044304,-0.44993362800000003
cra_crp__wt_ac__2,0.1606719455,-0.730063984
cra_crp__wt_fru__1,-0.1346205737,-0.131796416
cra_crp__wt_fru__2,-0.0290297474,-0.42652408300000005
cra_crp__delcra_ac__1,-0.3998199878,0.04454824
cra_crp__delcra_ac__2,0.1371781064,0.362808789
cra_crp__delcra_fru__1,0.33855015180000003,0.238047434
cra_crp__delcra_fru__2,0.5440139084,0.19114756800000002
cra_crp__delcra_glc__1,0.8738170528,0.0035918480000000003
cra_crp__delcra_glc__2,0.5855092934,-0.072678668
rpoB__wt_031__1,-0.45287402600000004,0.283735575
rpoB__wt_044__1,-0.9371436166,0.148529138
rpoB__wt_lb__1,1.2196416456999999,-0.24054387700000002
rpoB__wt_lb__2,0.7206353613,-0.18441849500000002
rpoB__rpoBE546V_031__1,0.2112709297,0.376919339
rpoB__rpoBE546V_044__1,0.35337149300000004,-0.190925167
rpoB__rpoBE546V_lb__1,0.7347724605,0.406909729
rpoB__rpoBE546V_lb__2,0.2774474692,0.09353382
rpoB__rpoBE546V_glc__1,-1.0843460369,0.519704221
rpoB__rpoBE672K_glc__1,-1.540968466,0.6174610140000001
rpoB__rpoBE672K_glc__2,0.1253749153,0.7298292460000001
rpoB__rpoBE672K_lb__1,2.1972476557,-0.02570023
rpoB__rpoBE672K_lb__2,1.13365153,0.243677882
crp__wt_fru__1,0.5669598325,0.61946109
crp__wt_glyc__1,0.8822581346,0.137116237
crp__wt_glyc__2,0.8664010310000001,0.30496300800000004
crp__delar1_glyc__1,2.6577683146,1.509348213
crp__delar1_glyc__2,2.8174749425,1.704118862
crp__delar1ar2_glyc__1,-0.8619411889,0.7504187840000001
crp__delar1ar2_glyc__2,-0.6315017492,0.68751336
crp__delar1ar2_glyc__3,-0.6871460248,0.648819624
crp__delar2_glyc__1,1.2801012381999999,0.781720563
crp__delar2_glyc__2,2.1102996432,0.58608858
crp__delar2_glyc__3,1.3026372433,0.611267863
crp__delcrp_fru__1,-0.33936209040000004,0.9577972990000001
crp__delcrp_fru__2,0.2283409303,0.899609019
crp__delcrp_fru__3,-0.49714516070000003,1.157776128
crp__delcrp_glc__1,-0.3766232315,0.746629363
crp__delcrp_glc__2,-0.8929067312000001,0.7202495160000001
crp__delcrp_glc__3,-0.2334359026,1.060534864
crp__delcrp_glyc__1,1.5584642696,0.704616101
crp__delcrp_glyc__2,2.1992761258,1.035891324
crp__delcrp_glyc__3,2.308186707,0.936870708
glu__glu_ale3__1,4.381292257,1.03058246
glu__glu_ale4__1,1.9777835537000001,-0.370654898
glu__glu_ale5__1,0.9619624427000001,-0.29044590800000003
glu__glu_ale6__1,2.9610452571,-0.742739204
glu__glu_ale8__1,3.9430785295,1.461755914
glu__glu_ale9__1,3.8417470999,0.565902303
glu__glu_ale10__1,3.5630481211,0.9057959550000001
42c__wt_42c__1,0.2162081234,0.23788202800000002
42c__42c_ale1__1,1.6077704324000002,0.58025079
42c__42c_ale2__1,2.4240292137,0.8425240340000001
42c__42c_ale3__1,1.7846782846,0.6109513630000001
42c__42c_ale4__1,3.4686502574,1.6439763649999999
42c__42c_ale5__1,1.7013704727999999,0.48512052600000005
42c__42c_ale6__1,0.7277345625,1.420329502
42c__42c_ale8__1,4.0983702185,1.526764446
42c__42c_ale9__1,0.4615260283,0.395020185
42c__42c_ale10__1,3.8931154996,1.258907849
ssw__wt_ac__1,-0.423872648,0.7145953570000001
ssw__wt_glc__1,-0.7193779022,-0.191093015
ssw__wt_glyc__1,-0.27733791900000004,1.329528588
ssw__wt_xyl__1,-0.1709479951,1.6739716119999999
ssw__glc_ale1__1,0.6405583022,1.616711031
ssw__glc_ale2__1,1.4879004369,1.765400675
ssw__glc_ale3__1,-1.2518968990000001,2.109269137
ssw__glyc_ale1__1,0.11858565580000001,1.334232926
ssw__glyc_ale2__1,-2.2553626455,2.155066257
ssw__xyl_ale1__1,1.734360369,1.803736969
ssw__xyl_ale2__1,0.8571970951000001,1.862583485
ssw__xyl_ale3__1,2.3802277584000002,1.494426113
ssw__glc_ac_ac2__1,1.3292519092,1.656863021
ssw__glc_ac_glc1__1,1.5479326251,2.066028364
ssw__glc_glyc_glc__1,2.4571622005,1.770613085
ssw__glc_glyc_glyc__1,1.2508066074,1.426342987
ssw__glc_xyl_glc__1,2.0544280868,1.224181075
ssw__glc_xyl_xyl__1,0.3296958948,0.849997175
ica__wt_glc__1,0.9931324271,0.10688059999999999
ica__wt_glc__2,0.7582066621,-0.050127576
ica__wt_glc__3,0.1509089854,0.6229227620000001
ica__wt_glc__4,0.3922903378,0.8642868840000001
ica__arg_sbt__1,0.4908183035,-0.279461236
ica__arg_sbt__2,-0.8556009194,0.049809
ica__cytd_rib__1,-0.1734577398,0.6155827030000001
ica__cytd_rib__2,0.319346034,0.595694165
ica__gth__1,1.383833871,0.934750571
ica__gth__2,1.4703081336000001,0.8873943030000001
ica__leu_glcr__1,-0.2212912319,-0.214215429
ica__leu_glcr__2,-0.3932229157,0.036752253000000006
ica__met_glc__1,0.9862424124,-0.468856521
ica__met_glc__2,1.0005314927,-0.10088342800000001
ica__no3_anaero__1,16.7182171816,0.642585794
ica__no3_anaero__2,15.8690058704,1.017106255
ica__phe_acgam__1,0.7877301311,-0.245326185
ica__phe_acgam__2,0.7355385028,-0.0013815140000000001
ica__thm_gal__1,0.3149829111,0.616521789
ica__thm_gal__2,0.29684950660000003,0.693664181
ica__tyr_glcn__1,1.9825785704,-0.09354770300000001
ica__tyr_glcn__2,2.0113754636,-0.036678569
ica__ura_pyr__1,0.3501071617,0.631704826
ica__ura_pyr__2,0.5837065023,0.8128784010000001
ica__wt_glc__5,0.35909715870000003,0.365455748
ica__wt_glc__6,0.7360988394,0.30462031700000003
ica__bw_delpurR_cytd__1,-0.0405798677,0.637337137
ica__bw_delpurR_cytd__2,0.7618139512000001,0.48519512600000003
ica__ade_glc__1,0.9797811713000001,0.6671293580000001
ica__ade_glc__2,-0.2790114849,0.150063036
ytf__wt_glc__1,0.3690824398,1.375020346
ytf__wt_glc__2,1.420260647,1.5943903060000002
ytf__delyafC__1,1.5487744569,1.287007022
ytf__delyafC__2,1.2267326854,1.57497783
ytf__delyeiE__1,-0.3596754384,0.881222201
ytf__delyeiE__2,-0.6626532362,0.9321288590000001
ytf__delyiaJ__1,0.3758109153,1.38238643
ytf__delyiaJ__2,0.572016764,1.48999328
ytf__delyieP__1,1.1761896485,1.0752321
ytf__delyieP__2,1.4696253632,1.22071496
ytf__wt_ph5__1,0.3954496205,0.45224404900000004
ytf__wt_ph5__2,0.6658301789000001,0.562443949
ytf__wt_ph8__1,-0.4047679644,0.767532875
ytf__wt_ph8__2,-0.48536335700000005,0.365316146
ytf__delybaO__1,1.2582869397,1.031927709
ytf__delybaO__2,0.8624766542000001,1.273783718
ytf__delybaQ__1,-0.5593240239,0.489803678
ytf__delybaQ__2,-0.1029980565,0.5922798890000001
ytf__delybiH__1,2.1451997475,1.426113889
ytf__delybiH__2,1.9557198829,1.936019291
ytf__delydcI_ph5__1,0.159473461,0.36276315800000003
ytf__delydcI_ph5__2,0.7137757542000001,0.42325857400000005
ytf__delydcI_ph8__1,0.2176162081,0.7392154870000001
ytf__delydcI_ph8__2,0.8335836997,0.422275304
ytf__delyddM__1,-0.4251099747,1.076306375
ytf__delyddM__2,-0.0291268603,1.202505729
ytf__delyheO__1,1.3186987411,1.101974871
ytf__delyheO__2,1.7395132488,1.245134886
fps__bw_glc__1,-0.990782555,0.383742878
fps__bw_glc__2,-0.8233983289,0.6239512420000001
fps__fps_thrA_ale1__1,-0.3096752319,0.948231845
fps__fps_thrA_ale1__2,-0.4832400491,0.753247207
fps__fps_thrA_ale2__1,-0.503550179,0.6558649520000001
fps__fps_thrA_ale2__2,-0.4016615496,0.851054626
fps__fps_serB_ale1__1,-0.36045482360000003,0.770431339
fps__fps_serB_ale1__2,-0.1922136882,0.7678160780000001
fps__fps_serB_ale4__1,-1.1433535464,1.3827214890000001
fps__fps_serB_ale4__2,-1.0452487764,1.227636981
fps__fps_ptsI_ale1__1,-0.0675822486,0.8525659600000001
fps__fps_ptsI_ale1__2,-0.5023482388,0.47796396700000005
fps__fps_ptsI_ale3__1,0.7414066966,0.4569358
fps__fps_ptsI_ale3__2,-0.0509825723,0.36197491200000004
pal__lyx_ale2_f6__1,-1.7844155713,0.97378712
pal__lyx_ale2__1,1.0251548223,0.9541000460000001
pal__lyx_ale2__2,0.8424740933,1.077946144
pal__lyx_ale4__1,1.1470232957,0.131049891
pal__lyx_ale4__2,0.7793556664,0.522995713
pal__5drib_ale10_f18__1,0.4830505009,1.020777141
pal__5drib_ale10_f18__2,0.9810804782,0.9885125250000001
pal__5drib_ale10__1,0.8158896715,0.810592379
pal__arab_ale14_f9__1,0.3563551151,0.9903396950000001
pal__arab_ale14_f9__2,0.17033924150000002,0.981049661
pal__arab_ale14__1,1.2433640257,0.658877441
pal__arab_ale14__2,-0.2015661191,0.6791661210000001
pal__arab_ale16__1,0.6704311559,0.834435688
pal__arab_ale16__2,1.2137933727,1.157040631
pal__tartr_ale26_f10__1,-0.6504664795,0.7292089580000001
pal__tartr_ale26_f10__2,-1.3865670368,1.232161977
pal__tartr_ale26__1,-1.4618691904,0.36645848000000003
pal__tartr_ale26__2,-0.7762918822,0.516112382
pal__tartr_ale28_f10__1,-0.6594151555000001,0.57765953
pal__tartr_ale28_f10__2,-0.2444844391,1.026604266
pal__tartr_ale28__1,0.074908871,0.8247927740000001
pal__tartr_ale28__2,0.6136905758,1.045127482
efeU__delmenFentC_citr__1,0.7510291646,0.925468645
efeU__delmenFentC_citr__2,0.7208040376,0.9538688670000001
efeU__delmenFentC__1,2.2085983041,0.6780740710000001
efeU__delmenFentC__2,2.017733986,0.892742997
efeU__menFentC_ale39__1,2.8872600811,0.831253101
efeU__menFentC_ale39__2,2.762926413,0.718026096
efeU__menFentC_ale29__1,3.4366606311,1.189449183
efeU__menFentC_ale29__2,3.0355610013,1.393560715
efeU__menFentC_ale30__1,2.8608396177,0.43229087
efeU__menFentC_ale30__2,1.6192088158,0.10220808
efeU__menFentCubiC_ale36__1,-0.7607200709,0.12539019
efeU__menFentCubiC_ale36__2,0.0154430496,0.544451651
efeU__menFentCubiC_ale37__1,-0.7124080051,0.949091039
efeU__menFentCubiC_ale37__2,-1.2516605965,0.6864461860000001
efeU__menFentCubiC_ale38__1,2.4472349672,0.694884685
efeU__menFentCubiC_ale38__2,2.3236034771,0.515929178
misc2__salc_glc__1,-1.0216229654,1.022317734
misc2__salc_glc__2,-2.0264038497,1.065135006
misc2__dbcn_glc__1,-1.0701815493,0.458567973
misc2__dbcn_glc__2,-0.6853648404,0.472411992
misc2__tyr_glc__1,1.6592232132,0.531847983
misc2__tyr_glc__2,1.7936983502000001,0.500970632
misc2__arg_cytd__1,0.9003342752,0.26820399300000003
misc2__arg_cytd__2,0.5029850528,0.184690757
misc2__delyheO_pyr__1,0.8777013578,0.189564944
misc2__delyheO_pyr__2,0.4018209381,0.37835849400000005
nquinone__delubiC__1,0.9667634717,0.709650544
nquinone__delubiC__2,0.9258647795,0.611358457
nquinone__ubiC_ale1__1,-0.0895554162,0.607924411
nquinone__ubiC_ale1__2,-0.22192742210000002,0.781731653
nquinone__ubiC_ale2__1,0.3017420199,1.092006887
nquinone__ubiC_ale2__2,0.3632845582,0.8122065180000001
nquinone__ubiC_ale3__1,0.6321110998,0.803293765
nquinone__ubiC_ale3__2,1.0743798349,0.5358112730000001
nquinone__ubiC_ale4__1,-0.124138594,0.624955346
nquinone__ubiC_ale4__2,0.2907971238,0.923784782
nquinone__delpdhR__1,0.5160207399,0.28280844
nquinone__delpdhR__2,0.730119013,0.6269040290000001
quinone__glu_ale4__1,0.8787643894,0.756326803
quinone__glu_ale4__2,1.8191783161,1.057514571
quinone__delmenF__1,0.7019093498,0.400688717
quinone__delmenF__2,0.6154921167,0.7107427550000001
quinone__menF_ale5__1,2.2178458711,1.249882412
quinone__menF_ale5__2,1.9461778781999999,1.297941029
quinone__menF_ale6__1,1.6692462329,1.1660236880000001
quinone__menF_ale6__2,1.5687429038,1.098273364
quinone__menF_ale7__1,1.4042066735,0.903624116
quinone__menF_ale7__2,1.413691051,1.079680733
quinone__menF_ale8__1,1.9290332772,1.444784618
quinone__menF_ale8__2,1.7939056083,1.1949712749999999
quinone__delmenFubiC__1,0.8183558201000001,0.42883041
quinone__delmenFubiC__2,0.9810013386,0.255626815
quinone__menFubiC_ale1__1,0.6099488852,0.6318579550000001
quinone__menFubiC_ale1__2,-0.08931354770000001,0.581330753
quinone__menFubiC_ale2__1,-0.1985635648,0.708557157
quinone__menFubiC_ale2__2,-0.8855717661,0.571641317
quinone__menFubiC_ale3__1,0.8728214662,0.114873733
quinone__menFubiC_ale3__2,1.3062169080000001,0.144851844
quinone__menFubiC_ale4__1,1.9944479517,1.2989273749999999
quinone__menFubiC_ale4__2,1.0879024383,1.460121864
oxyR__wt_glc__1,1.5160304506,1.069816933
oxyR__wt_glc__2,1.0763731713,1.1093584
oxyR__wt_h2o2__1,1.1042771046,0.9672556
oxyR__wt_h2o2__2,1.3089757838,1.338796387
oxyR__glu_ale4__1,2.0475313554,1.6650979110000002
oxyR__glu_ale4__2,1.8963724207000001,1.532888798
oxyR__glu_ale4_h2o2__1,2.3883911217,1.6501038010000002
oxyR__glu_ale4_h2o2__2,2.910994872,1.585783006
oxyR__oxyR_ale17__1,2.1639275449,1.389217607
oxyR__oxyR_ale17__2,2.7627866023000003,0.8921685490000001
oxyR__oxyR_ale17_h2o2__1,2.278590494,1.497127908
oxyR__oxyR_ale17_h2o2__2,1.1314109565,1.250463522
oxyR__oxyR_ale18__1,2.0352339464,0.6331102080000001
oxyR__oxyR_ale18__2,2.0567847206,0.983709052
oxyR__oxyR_ale18_h2o2__1,2.686869364,1.269005632
oxyR__oxyR_ale18_h2o2__2,2.4073432879,1.095039451
oxyR__oxyR_ale19__1,2.1681668438,1.037460322
oxyR__oxyR_ale19__2,3.0958427713,1.189093993
oxyR__oxyR_ale19_h2o2__1,2.3138313825,0.951650196
oxyR__oxyR_ale19_h2o2__2,2.048358203,0.933098839
oxyR__oxyR_ale20__1,2.7374852114,1.003372041
oxyR__oxyR_ale20__2,2.8633899873,0.9364004770000001
oxyR__oxyR_ale20_h2o2__1,2.6622345781,1.115316647
oxyR__oxyR_ale20_h2o2__2,2.6300655493000002,1.188677149
svns_pgi__BmePgi24_15__1,1.3591892631,1.375701736
svns_pgi__BmePgi24_15__2,1.4722649419,1.3287775609999999
svns_pgi__BmePgi24_26__1,1.3407800713,1.371573451
svns_pgi__BmePgi24_26__2,0.4520019038,1.447714559
svns_pgi__BmePgi24_41__1,1.0469849434,2.020700838
svns_pgi__BmePgi24_41__2,1.3160968423,1.461726916
svns_pgi__BmePgi24_52__1,1.8929036374,1.410342857
svns_pgi__BmePgi24_52__2,1.1020644196,1.273636691
svns_pgi__PaePgi2_34__1,1.1900775478,1.6699106220000002
svns_pgi__PaePgi2_34__2,0.246182905,1.721010076
svns_pgi__PaePgi2_63__1,1.9331999844,2.143185696
svns_pgi__PaePgi2_63__2,1.1089999853,2.043935335
svns_pgi__PaePgi24_54__1,2.2792332422,1.279695625
svns_pgi__PaePgi24_54__2,2.0478875069,1.48954053
svns_pgi__PaePgi24_90__1,1.9366087256000002,1.508249824
svns_pgi__PaePgi24_90__2,2.0224377648,1.426705257
abx_media__m9_ctrl__1,-2.0295372439,3.05732474
abx_media__m9_ctrl__2,-1.7116319244,2.079257369
abx_media__rpmi_ctrl__1,10.1152118672,2.578926918
abx_media__rpmi_ctrl__2,12.4928403275,2.256750844
abx_media__camhb_ctrl__1,0.3915338555,3.28376151
abx_media__camhb_ctrl__2,0.9051102248,3.20463127
abx_media__m9_mero__1,-1.7388374083,2.691435619
abx_media__m9_mero__2,-1.29390414,2.828403497
abx_media__rpmi_mero__1,11.0394954355,2.764338407
abx_media__rpmi_mero__2,10.1758447513,2.059896682
abx_media__camhb_mero__1,0.45675064530000004,2.40056424
abx_media__camhb_mero__2,0.1027800631,2.678641753
abx_media__m9_trisulf__1,-2.7332656051,3.078130682
abx_media__m9_trisulf__2,-2.9916991725,2.453833548
abx_media__rpmi_trisulf__1,6.0898267513,3.240827583
abx_media__rpmi_trisulf__2,7.0850909337,3.239905287
abx_media__camhb_trisulf__1,1.4202179725000001,3.776448266
abx_media__camhb_trisulf__2,1.6515836957999999,3.537329627
abx_media__m9_cef__1,-2.2909341306,2.335725206
abx_media__m9_cef__2,-1.7548492542,1.799949374
abx_media__rpmi_cef__1,11.8347874828,4.775369352
abx_media__rpmi_cef__2,12.4467061488,4.641865872
abx_media__camhb_cef__1,1.1671321631,3.134836878
abx_media__camhb_cef__2,0.9528079266,3.309202114
abx_media__m9_cipro__1,-1.3627106029,3.044954248
abx_media__m9_cipro__2,-1.7436180766,3.208762864
abx_media__rpmi_cipro__1,0.9573185585,4.499397372
abx_media__rpmi_cipro__2,0.7118615127,4.514474782
abx_media__camhb_cipro__1,0.0124601057,2.885850909
abx_media__camhb_cipro__2,0.1122279661,3.318283563
hot_tale__42c_ale3_30c__1,-0.1674553615,0.652571529
hot_tale__42c_ale3_30c__2,0.6505879857,0.44915811800000005
hot_tale__42c_ale3_37c__1,1.2473433954,0.613434338
hot_tale__42c_ale3_37c__2,-0.4453222197,0.27197197900000003
hot_tale__42c_ale3_44c__1,2.7888487411,0.673303151
hot_tale__42c_ale3_44c__2,2.7051644009,0.8815117880000001
hot_tale__hot_ale3_mid_30c__1,1.1242380865000001,0.520386421
hot_tale__hot_ale3_mid_30c__2,0.3582085347,0.660347118
hot_tale__hot_ale3_mid_37c__1,0.9652186143,0.5441919
hot_tale__hot_ale3_mid_37c__2,0.6047166195,0.263834985
hot_tale__hot_ale3_mid_44c__1,5.0504276483,1.830336498
hot_tale__hot_ale3_mid_44c__2,2.7730282413,1.281319579
hot_tale__hot_ale3_30c__1,0.7205228989,0.836291141
hot_tale__hot_ale3_30c__2,-0.6374927762,0.49128147400000005
hot_tale__hot_ale3_37c__1,0.1550151733,0.42061962700000005
hot_tale__hot_ale3_37c__2,0.3132606143,0.49736001100000005
hot_tale__hot_ale3_44c__1,2.3056618197,1.00283353
hot_tale__hot_ale3_44c__2,2.5879352885999998,0.878885754
hot_tale__hot_ale4_30c__1,-0.1563905599,0.469369209
hot_tale__hot_ale4_30c__2,0.17638879999999998,0.283251499
hot_tale__hot_ale4_37c__1,0.8631484220000001,0.500901328
hot_tale__hot_ale4_37c__2,0.9953295536000001,0.109377943
hot_tale__hot_ale4_44c__1,2.3311920569,0.90665089
hot_tale__hot_ale4_44c__2,2.3141163615,1.125835368
hot_tale__hot_ale8_30c__1,0.0493362212,1.346960485
hot_tale__hot_ale8_30c__2,-1.5678223493,1.5583456610000002
hot_tale__hot_ale8_37c__1,0.1587217336,1.15999766
hot_tale__hot_ale8_37c__2,-0.4868944041,1.315745744
hot_tale__hot_ale8_44c__1,0.9865262226,1.413897366
hot_tale__hot_ale8_44c__2,1.0558174593,1.580786066
hot_tale__hot_ale9_mid_30c__1,-0.3797672238,0.669912252
hot_tale__hot_ale9_mid_30c__2,0.48951788430000004,0.6017759610000001
hot_tale__hot_ale9_30c__1,0.1586782955,0.127915274
hot_tale__hot_ale9_30c__2,0.4206659653,0.237169341
hot_tale__hot_ale9_mid_37c__1,0.5974697684,0.45546976600000005
hot_tale__hot_ale9_mid_37c__2,0.7020650072,0.54775304
hot_tale__hot_ale9_37c__1,0.3834883895,0.48773944100000005
hot_tale__hot_ale9_37c__2,0.679805659,0.255922329
hot_tale__hot_ale9_mid_44c__1,1.3545846213,1.127376981
hot_tale__hot_ale9_mid_44c__2,2.9650840794,0.9589015660000001
hot_tale__hot_ale9_44c__1,1.4385508394,0.866656132
hot_tale__hot_ale9_44c__2,1.8969278396,0.822693549
hot_tale__hot_ale10_30c__1,-0.5659207953000001,0.42064787600000003
hot_tale__hot_ale10_30c__2,-0.046398133700000004,0.36414517900000004
hot_tale__hot_ale10_37c__1,0.7014183912,0.6824414040000001
hot_tale__hot_ale10_37c__2,0.8295172187000001,0.488565489
hot_tale__hot_ale10_44c__1,2.1978872711,0.576932898
hot_tale__hot_ale10_44c__2,2.4860555207,0.9690654510000001
hot_tale__hot_ale16_30c__1,-0.8246186318000001,0.570731673
hot_tale__hot_ale16_30c__2,-0.9833637694,0.32666916900000004
hot_tale__hot_ale16_37c__1,0.4128898525,0.7074518120000001
hot_tale__hot_ale16_37c__2,0.2670535674,0.6530824550000001
hot_tale__hot_ale16_44c__1,1.9289454014,0.962688596
hot_tale__hot_ale16_44c__2,2.283494106,0.862288892
pdhr_ale__pdhR-13_51__1,0.7677342396,1.8896921880000002
pdhr_ale__pdhR-13_51__2,1.4383107264000001,1.59313867
pdhr_ale__pdhR-14_46__1,0.4839760671,2.0549814299999998
pdhr_ale__pdhR-14_46__2,1.2302051693,1.8002385410000001
pdhr_ale__pdhR-15_51__1,1.5484004894,1.761252115
pdhr_ale__pdhR-15_51__2,1.3267848079,1.89606618
pdhr_ale__pdhR-16_49__1,1.145673258,1.8814794090000002
pdhr_ale__pdhR-16_49__2,0.9995649672,1.765012988
tcs__del_atoC_LiAcet__1,0.592574465,1.548578713
tcs__del_atoC_LiAcet__2,0.7427382032000001,0.744187327
tcs__del_atoC_LiCl__1,1.3087077016,1.005628391
tcs__del_atoC_LiCl__2,1.2324063877,0.9409918290000001
tcs__del_atoC_m9__1,0.8734213135000001,1.6106628600000001
tcs__del_atoC_m9__2,0.6809960151000001,1.4127570710000001
tcs__del_baeR_etoh__1,5.5581109918,1.456318291
tcs__del_baeR_etoh__2,5.5748429044,1.268819751
tcs__del_baeR_lb__1,3.3064096076,1.251054414
tcs__del_baeR_lb__2,2.9657069899,1.305773135
tcs__del_btsR_01xlb__1,-1.0145045058,2.054207888
tcs__del_btsR_01xlb__2,-1.083464824,1.990850333
tcs__del_btsR_lb__1,16.579817545,1.751729818
tcs__del_btsR_lb__2,16.8307682794,1.756318883
tcs__del_btsR_pyruvate__1,-1.2338450046,1.446498619
tcs__del_btsR_pyruvate__2,-0.9988307797,1.9683834720000002
tcs__del_cpxR_etoh__1,5.3027111023,2.076353832
tcs__del_cpxR_etoh__2,5.670557379,2.072519575
tcs__del_cpxR_lb__1,2.4730795775,1.7007101370000002
tcs__del_cpxR_lb__2,3.0756820351,0.8247374110000001
tcs__del_cusR_CuSO4__1,5.5952020155,0.8781103870000001
tcs__del_cusR_CuSO4__2,5.4856574747,1.41003419
tcs__del_cusR_lb__1,4.9287619702,1.342617221
tcs__del_cusR_lb__2,5.26185904,1.4214530920000001
tcs__del_kdpE_01-kcl__1,-1.2252482448,1.410123591
tcs__del_kdpE_01-kcl__2,-1.3580012232,1.004282357
tcs__del_kdpE_115-kcl__1,-1.5667639672,1.079412066
tcs__del_kdpE_115-kcl__2,-1.4289725774,1.334057072
tcs__del_phoB_m9__1,0.8939714663,1.598995118
tcs__del_phoB_m9__2,0.8788776275,1.5433192720000002
