,A,PyrR
BC_2,-24.0009903243,-0.9115666666666673
BC/t_1,-22.594647442,-1.3833666666666673
BC/t_2,-21.8026117193,-1.0605666666666664
BC_1,-23.1832596194,-1.447566666666667
Sw_1,-19.0109358906,-1.429266666666667
Sw_2,-19.8581258444,-1.1264666666666674
BT_1,-11.9367429729,-4.353366666666668
BT_2,-13.2536975386,-4.740266666666667
B36_1,-8.0182678277,-1.683366666666668
B36_2,-7.2227678268,-1.0937666666666672
B60_1,-12.2975954889,-0.9744666666666681
B60_2,-13.1033491968,0.31533333333333324
M9exp_1,0.12104134500000001,0.2986333333333331
M9exp_2,-0.7510361912,-0.10506666666666753
M9exp_3,0.6299948461,-0.19356666666666733
M9tran_1,-2.8641347733,-0.42216666666666747
M9tran_2,-4.2373033987,-0.32076666666666753
M9tran_3,-2.701462441,-0.06406666666666716
M9stat_1,-20.1676026201,-4.100066666666667
M9stat_2,-18.2468203534,-3.964966666666667
M9stat_3,-18.266506796,-4.082266666666667
M+G_1,-4.9672170471,-1.554966666666667
M+G_2,-1.0807877876,-0.3451666666666675
M+G_3,-2.4570498656,-1.0190666666666672
Glu_1,-0.9953672807,0.19063333333333254
Glu_2,-1.0037714025,0.18123333333333314
Glu_3,-0.9054527269,0.19973333333333265
Fru_1,0.6875921027,-0.37236666666666807
Fru_2,-2.8922210486,0.03693333333333193
Fru_3,-2.4913540991,-0.39376666666666793
Mal_1,-1.4965947671,-2.9998666666666676
Mal_2,-2.1943476369,-0.5775666666666677
Mal_3,-2.20749621,-1.8680666666666674
G+S_2,-11.0998766946,-1.282466666666668
G+S_3,-10.1900424296,-0.8960666666666679
Pyr_1,-8.0841970028,-0.8963666666666672
Pyr_2,-7.1427832086,-0.7788666666666675
Pyr_3,-8.1006089253,-0.7119666666666671
Gly_1,-2.6658175395,-4.675066666666668
Gly_2,-2.2029148948,-3.6248666666666676
Gly_3,-4.7269675393,-5.283366666666668
Glucon_1,-5.8397159936000005,-0.7180666666666671
Glucon_2,-4.0315760719,-0.35666666666666735
Glucon_3,-4.6743014024,-1.3178666666666672
aero_1,-1.4497904936000001,0.12923333333333176
aero_2,-3.5911049191,-2.3852666666666664
aero_3,1.3237787023,-1.785166666666667
nit_1,-1.9813045074,-0.4657666666666671
nit_2,-1.4582962418,-0.22756666666666803
nit_3,-3.3639445751,-0.40756666666666774
ferm_1,-1.8976659905000002,-0.07536666666666747
ferm_2,-0.026435353,0.474733333333333
ferm_3,-1.7801420229,0.1304333333333325
T-5.40H_1,-3.0299804841,-0.21526666666666827
T-4.40H_1,-3.0291962107,-0.4015666666666675
T-3.40H_1,-2.2571967459,-0.20956666666666734
T-2.40H_1,-2.3561017113,-0.2744666666666671
T-1.40H_1,-3.3696443577,-0.08546666666666702
T-1.10H_1,-3.3327638956,-0.30276666666666685
T-0.40H_1,-5.0442626998,-0.39656666666666673
T0.0H_1,-6.5363401474,-1.7497666666666678
T0.30H_1,-13.7345709206,-3.614766666666668
T1.0H_1,-13.9918640532,-4.355966666666667
T1.30H_1,-15.033167394,-4.081666666666667
T2.0H_1,-16.5641658856,-4.451966666666667
T2.30H_1,-19.2026828046,-3.7674666666666674
T3.0H_1,-20.9627084067,-4.180566666666667
T3.30H_1,-22.1028438478,-3.949466666666668
T4.0H_1,-23.976306582,-4.0010666666666665
T5.0H_1,-23.4403536564,-4.579666666666668
HPh_1,-2.0568944855,-0.1341666666666672
HPh_2,-2.6563809728,-0.5365666666666673
HPh_3,-3.0983521649,-0.20766666666666822
LPh_1,-2.6765537527000003,-0.17226666666666723
LPh_2,-0.4263493527,-0.010166666666666657
LPh_3,-1.6860640016000001,-0.4242666666666679
LPhT_1,-9.5727415822,-1.1872666666666678
LPhT_2,-16.0370729382,-2.700566666666667
LPhT_3,-21.359185626,-3.4446666666666665
SMMPr_1,-3.4545695776,-0.3949666666666669
SMMPr_2,-3.6458087796000003,-1.0294666666666679
SMMPr_3,-3.7500251801999998,-0.9668666666666681
HiTm_1,0.7133524032,-3.281666666666668
HiTm_2,3.2337217857000002,-1.2886666666666677
HiTm_3,-2.9871791582,-1.141866666666667
LoTm_1,-10.2902746438,-0.40086666666666737
LoTm_2,-11.0810730765,-0.6387666666666671
LoTm_3,-10.9157827081,-0.5785666666666671
HiOs_1,-5.5153472204,-0.3972666666666669
HiOs_2,-6.134740075,-0.6152666666666669
HiOs_3,-5.137180361,-0.5049666666666681
BMM_1,-1.1952377904,-0.14086666666666758
BMM_2,-1.2807825281,-0.21806666666666707
BMM_3,-4.6178294435,-0.5289666666666673
Heat_1,0.9549364361,0.03693333333333193
Heat_2,-0.9570835734,-0.3745666666666665
Heat_3,-3.5830319827,-0.6232666666666677
Cold_1,1.4771249714999999,1.4010333333333342
Cold_2,-0.17039850850000002,0.2056333333333331
Cold_3,-1.7449602093,-0.21116666666666717
Etha_1,-15.1350709213,-5.906866666666668
Etha_2,-15.5455526657,-5.927266666666668
Etha_3,-14.8158364972,-5.8253666666666675
SMM_1,-1.6162320883999999,-0.1446666666666676
SMM_2,-1.7145091324,-0.22036666666666704
SMM_3,-1.330675212,-0.09116666666666795
Salt_1,-8.095801089,-1.789766666666667
Salt_2,-8.56305892,-2.0433666666666674
Salt_3,-8.6274361346,-2.0787666666666667
Mt0_1,-4.4418771465,-0.06436666666666824
Mt0_3,-7.8875413585,0.12813333333333254
M0t45_1,-11.055642127,-2.3589666666666673
M0t45_2,-2.0374478576,-1.5868666666666673
M0t45_3,-7.4366196064,-1.253166666666667
M0t90_1,-22.8193282493,-4.359966666666667
M0t90_2,-25.4398019149,-2.874366666666667
M0t90_3,-26.775838824,-3.975666666666667
M40t45_1,-12.7618702295,-4.090466666666668
M40t45_2,-17.0720774062,-4.8794666666666675
M40t45_3,-7.9138867333,-1.3772666666666673
M40t90_1,-23.0385276748,-4.6603666666666665
M40t90_2,-25.2716806847,-3.094566666666667
M40t90_3,-25.8224383692,-4.067066666666667
dia0_1,-5.4651237469,-2.1008666666666667
dia0_2,-6.6431766154,-0.527566666666667
dia0_3,-0.8773798532,-0.41786666666666683
dia5_1,-13.0587893109,-1.6778666666666666
dia5_2,-16.3955566344,-2.222766666666667
dia5_3,-10.9067333287,-2.0974666666666675
dia15_1,-18.443495978,-1.230666666666668
dia15_2,-4.5332037333,0.5339333333333318
dia15_3,5.3537433306,0.8108333333333331
Diami_1,-24.5906427824,-3.901266666666668
Diami_2,-25.1289223297,-3.448566666666668
Diami_3,-24.6868668043,-3.173066666666667
Paraq_1,-13.4048092332,-0.6846666666666668
Paraq_2,-13.1674069699,-0.3927666666666667
Paraq_3,-14.0819747629,-1.8279666666666667
H2O2_1,-25.9180427953,-1.7076666666666682
H2O2_2,-25.6423925015,-1.672366666666667
H2O2_3,-26.2531137217,-1.7126666666666672
Oxctl_1,-17.2618589669,-1.3382666666666676
Oxctl_2,-17.5767481148,-1.2200666666666677
Oxctl_3,-16.6019182681,-0.8353666666666673
GM-0.1_1,-0.1523420435,-0.39376666666666793
GM-0.2_1,-0.3521920745,-0.23496666666666677
GM+5_1,-1.9360389416000001,-0.3504666666666676
GM+15_1,-0.8002656995,-0.24856666666666705
GM+25_1,-0.0222336866,0.603533333333333
GM+45_1,-0.2147450532,0.17383333333333262
GM+60_1,0.6358872575,0.029433333333333422
GM+90_1,1.6268351755000001,0.00043333333333350765
GM+120_1,-1.4535083658,-0.9400666666666666
GM+150_1,-2.6322108550000003,-0.13186666666666724
GM-0.1_2,1.0265708529,0.33853333333333246
GM-0.2_2,-0.3441636803,0.009333333333332305
GM+5_2,-0.7207313805000001,0.06153333333333322
GM+10_2,-1.0883459103,-0.22936666666666738
GM+15_2,-2.088559327,-0.16836666666666744
GM+25_2,-0.1116480928,0.14973333333333194
GM+45_2,-0.4067366727,-0.5134666666666678
GM+60_2,-0.8165362866,-0.7568666666666672
GM+90_2,0.28054789880000003,0.3091333333333335
GM+150_2,-3.5451719645,-0.5319666666666674
GM-0.1_3,-1.5694160704,0.1761333333333326
GM-0.2_3,-0.4153627936,0.2610333333333319
GM+5_3,-1.5752714918000001,0.12983333333333213
GM+10_3,-3.1122892823,-0.840366666666668
GM+15_3,-2.2109076247,-0.06876666666666686
GM+25_3,-2.9717355111,-0.08096666666666685
GM+45_3,-2.1965846148,-0.3175666666666679
GM+60_3,-1.9789586517000002,-0.6024666666666683
GM+90_3,-0.9651386968000001,-0.2024666666666679
GM+120_3,-1.3969459828000002,-0.4128666666666678
GM+150_3,-1.3649941892,-0.18216666666666725
MG-0.1_1,1.7093966291,-0.3894666666666673
MG+5_1,2.5647017241,-0.5773666666666681
MG+10_1,2.2686573053,0.11503333333333288
MG+15_1,0.9291393645,-0.2904666666666671
MG+25_1,0.6800543851,-0.03966666666666718
MG+45_1,-0.3884649859,-0.344966666666668
MG+120_1,-3.6890791679,-0.9194666666666667
MG+150_1,-0.48789737590000004,-0.2621666666666673
MG-0.1_2,0.2295005239,-1.0140666666666682
MG-0.2_2,0.6103381411000001,-0.39706666666666734
MG+5_2,2.5956917054,-0.4359666666666673
MG+10_2,2.2508704097,-0.2450666666666681
MG+15_2,2.2138991943,0.41463333333333274
MG+25_2,0.9083019513,-0.6203666666666674
MG+45_2,-0.4102957514,-0.8189666666666682
MG+60_2,0.4465962552,-0.25436666666666774
MG+90_2,0.7419272433,-0.5974666666666675
MG+120_2,-2.9276631513,-0.08376666666666743
MG-0.1_3,1.7685448593,0.19513333333333271
MG-0.2_3,-0.14817326890000002,-0.03796666666666759
MG+5_3,0.7627130630000001,-0.4236666666666675
MG+10_3,0.3187846936,-0.8787666666666674
MG+15_3,2.0131817066,0.25693333333333257
MG+25_3,1.185704905,0.01823333333333288
MG+45_3,1.1404805107,0.413433333333332
MG+60_3,0.0118197826,-0.11766666666666659
MG+90_3,0.6413003991,0.034733333333333505
MG+120_3,-2.9494547737000003,-0.5044666666666675
MG+150_3,-0.7629934373,0.2048333333333332
