,A,Crp,Nac,TorR
SRX5694321,-6.1688430092,-0.38942819040000004,-0.8698235163,-0.7525769107
SRX5694322,-9.2403783417,-1.1362642293,0.37273969090000003,1.0002483913
SRX5694323,-5.4203580371,-0.41342659340000004,0.11022600040000001,-1.1802752905
SRX5694324,-12.3766423864,-1.6036324816,-0.9428159685,-1.3911662337
SRX5694325,-6.3235554118,-0.5104274184,-1.5739353011000001,-0.6162078137
SRX5694326,-2.6676990951,-0.1584196907,0.8868843939000001,-1.5116381265
SRX5694327,-8.4418992708,-0.6589226995,-1.1635731407,-1.8685128039
SRX5694328,-1.485834425,0.1764471632,-0.1802947603,0.12378969670000001
SRX5694329,-3.9212460192,-0.5799739837,-0.11504925190000001,-0.3122486693
SRX5694330,1.7926139225000002,-0.6950204566,0.6945433161,-0.2540129094
SRX5694331,-1.1957598488,0.245553549,-0.958478983,-0.1507343155
SRX5694332,-1.8637680647,-0.24882076420000002,0.3043718098,0.44669079640000003
SRX5694334,-4.5734145473,-1.0972302127,-0.3781153508,-0.7831916378
SRX5694335,-7.7698987499,-2.0210704043,0.6793472024,0.514828949
SRX5694336,-8.5601738757,-1.6584843203,-1.4608523498000001,0.0039385655
SRX5694337,-7.1497751303,-0.2397944182,0.13156027,-1.604262516
SRX5694338,-0.3067599057,0.1989831632,0.3464092529,0.3602549463
SRX5694339,-1.1368202726,0.10670366340000001,-0.1387413508,-0.36907603040000003
SRX5694340,-4.9967948339,-0.1227589166,0.32694084090000003,-2.0745831356
SRX5694341,-13.5320051531,-1.4531793695,-0.7981338325,-0.812697137
SRX5694342,-6.7827415838,-1.642695013,0.2203794738,-0.7930279986000001
SRX5694343,-4.7515598219,-0.659556922,1.2663475316000001,0.5083146313
SRX5694344,-2.1061061777,-0.5482364304,-0.7832528718,-0.8923854209000001
SRX5694345,-1.4282654516,-0.1455592358,0.1635067698,-1.2876823597
SRX5694346,-4.6020831794,-0.6506498564000001,0.3019074833,0.0422885162
SRX5694347,-1.0059122651,-0.0665078507,0.1737248425,-0.7594484138
SRX5694348,-0.8174968405,0.0163008612,0.29925066110000004,0.5553887509000001
SRX5694349,-1.1349247164,0.3281616036,0.2195517523,-0.5799106452
SRX5694350,-3.7348563222,-1.3897674496999999,0.6375534961,-0.7524522274000001
SRX5694351,-5.4435988596,-0.94657928,-0.0445341756,-1.1197661263
SRX5694352,-3.1750880441,-0.11358356480000001,1.1441995016,-0.9635415545
SRX5694353,-0.2209230942,0.2090437913,1.2984097291,-0.9277197119
SRX5694354,-0.8156086520000001,0.156288703,0.08480540780000001,-0.1413480285
SRX5694356,0.4700226256,0.1914919696,1.5399425945,-1.1469423699
SRX5694357,-8.4716388066,-1.6521756011000002,-0.8646716205,-1.4425527938
SRX5694358,-8.1075787393,-0.2527058608,0.11668622070000001,-1.5916673735
SRX5694359,-5.3778220849,-0.30657057660000003,1.1862805591,-2.0010399011
SRX5694360,-5.0618777694,-0.2669976047,0.7897125569,-0.7434037376
SRX5694361,-7.722473293,-1.0307723459,0.2291508951,1.0572873213
SRX5694362,1.3590638539,-0.0309958632,0.3785502986,0.08243843420000001
SRX5694363,-2.7141211204999998,-0.3804310446,0.1744039269,-1.255774997
SRX5694364,-9.8477800507,-2.3462003852,0.0675435379,-1.7725750558
SRX5694365,-6.7046725326,-0.6041545277,-0.21662235500000002,1.1516334174
SRX5694366,-0.3838628468,-0.054980210200000004,0.2656524802,-0.3543353938
SRX5694367,-6.8394812068,-0.7076949831,-1.1456612943,-0.660096356
SRX5694368,-0.492501204,0.1102525246,1.0438947443,-0.7489837894
SRX5694369,-1.2277711755,-0.0590977866,0.9596312199,-0.1897573508
SRX5694370,-2.7491069513,-0.22081801820000002,-0.0309478735,-0.024462619
SRX5694371,-9.6511555436,-2.3057897995,-0.8259991282,-0.4862645155
SRX5694372,-3.4160095127,-0.3165443482,1.6245490787999999,-1.6896947931000001
SRX5694373,-4.6708204218,-1.5399098517,0.8887881482000001,-0.8344409241
SRX5694374,-9.4830135605,-0.3411830033,-1.0613605226,-1.4509173169
SRX5694375,-0.9658623238,-0.0340696975,0.5548929366,-1.1430689154
SRX5694376,-2.0168240736,-0.31705369640000003,1.1438115782,0.011607085900000001
SRX5694377,-9.4609561227,-0.5697764494,-1.9670270736000002,-2.6996297958
SRX5694378,-5.4422978540999996,-0.31765341210000003,-0.0542014043,-1.9476543955
SRX5694379,-4.4414668734,-0.25011430100000004,-0.1989900668,-2.0333954617
SRX5694380,-5.6444913295,-0.8373204843000001,0.32296212290000004,0.3096397207
SRX5694381,-12.0754843111,-1.2728116676,-0.7066913786,0.0900036889
SRX5694382,-4.2465689791,-0.025511662,-0.1358729271,0.1333843478
SRX5694383,-0.4578275566,0.1480773849,0.5100602039000001,-1.3411903705000001
SRX5694384,-1.5140498727,0.1439389809,-0.22567917640000001,-0.1321801998
SRX5694385,-7.2519092778,0.0779751018,-0.9551396578,1.1494486813
SRX5694386,-12.6032313552,-2.8414442095,-0.5739008254,-0.46259188290000003
SRX5694387,-0.5342335251,0.0426535923,0.1511828928,-0.42901212180000003
SRX5694388,-12.0607125494,-1.6022828696,-1.0966497324,-0.6257279854000001
SRX5694389,-2.0581771433,-0.0800003088,2.0409041782,-3.2891961343
SRX5694390,-0.832949703,0.0001683552,1.0178561359,-1.4027102747
SRX5694391,-4.5233923937,0.1315329539,0.7276275456,0.8553520308
SRX5694392,-2.6066657753999998,-0.1486598298,1.2851466629,-2.0761807394
SRX5694393,-0.9730813094,0.232671539,-0.3538792287,0.0330207712
SRX5694394,-1.2252836711,0.2168248136,0.6736876441,0.2666557515
SRX5694395,-2.1654572014,-0.3791651303,0.0540331953,-0.9592510036
SRX5694396,-5.5180428154,-0.8353134788000001,-0.10632785400000001,-0.5574577402
SRX5694397,-3.4933430164,-0.0202364792,-1.018014162,-0.3121118968
SRX5694398,-3.571423141,-0.0607073754,0.2862613476,-0.0018077198
SRX5694399,-2.3972221603,-0.2527744328,-0.2373925244,-1.0514659484
SRX5694400,-3.5183549161,-0.1981004934,1.1395579406,-1.1651527852
SRX5694401,0.6119427308000001,-0.021523506600000002,-0.1289235528,0.0024795783
SRX5694402,-11.0868059588,-2.6700349591,-1.317645706,-0.5983661308
SRX5694403,-1.8500023153,-0.9103162108,-0.544656961,-0.5556194248
SRX5694404,-0.71936081,0.0943710534,0.9927503863,-0.5466322989
SRX5694405,-2.9254412238,-0.1829334597,0.19345892250000002,-0.0744012493
SRX5694406,-5.5337464181,-0.3972091841,0.5645217246,-1.5522323443000001
SRX5694407,-5.3606868748,-0.2638287498,0.048526004000000005,-1.9030372461
SRX5694408,-0.0944602751,0.0417388443,0.8294417801,-1.5541032821
SRX5694409,-11.8774501851,-2.2693012292,0.6180819312,0.5436788401
SRX5694410,1.105348713,-0.1972134109,1.1923505993,-0.396560044
SRX5694411,-6.5903325864,-0.8663395759,0.9550370105,-1.7229452805
SRX5694412,-2.8775293620999998,0.1259657223,-0.5115036049,-0.343325637
SRX5694413,-2.3660702155,-0.6476176532,1.9573468044000002,0.6017383412
SRX5694414,-11.5974899386,-1.42088019,0.5861244136,-0.2371543646
SRX5694415,-1.4545462159,0.007690172800000001,1.2100397691,-1.2071639543
SRX5694416,0.32665777890000003,0.0575483496,-0.2608841934,-0.1682246858
SRX5694417,-2.7044293345,0.2665585241,0.22369775520000001,-0.2704334231
SRX5694418,-13.9846657736,-1.9463157999,-1.3118218891,-0.9519362488
SRX5694419,-7.6094037708,-1.5689931018,-1.1133825584,-0.0762186453
SRX5694420,0.5217994668,-0.0638843971,0.5938302618,-1.2618796393
SRX5694421,-6.5660336836,-0.6176702001000001,0.4713058231,-1.3944782242
SRX5694422,-7.0707692323,-0.058214080700000004,-0.1718854407,-0.49919452010000004
SRX5694423,-2.4478944901,-0.3208467193,0.4042925868,-1.1157874292
SRX5694424,-5.1016714162,-0.3043319677,-0.4094901696,-0.4815961017
SRX5694425,-1.5675578254,0.2263080572,0.6734751615,-0.43065788720000003
SRX5694426,-0.8925167793000001,-0.6604587882,0.8321887179,-0.4893862082
SRX5694427,-0.8547297570000001,0.1652363888,0.6142504334000001,-1.3051725408000001
SRX5694428,0.5000951612,0.073808526,0.0342886082,0.46242168850000004
SRX5694429,-6.4207574725,-1.4421129371,0.8492130701,-1.8477618723
SRX5694430,-1.4108011668,0.0124821121,1.1462558974000001,-1.0639252389
SRX5694431,-4.6545480752,-0.0624036472,-0.13498573860000002,-0.1240411082
SRX5694432,-5.3487269048,-0.3304413054,0.8347846694000001,-0.9164510444
SRX5694433,-3.3674441651,-0.8187488844,1.5732683526,1.0224934478
SRX5694434,-7.0006735249,-0.6212632720000001,0.15796097280000002,0.6286601679
SRX5694435,-13.2457134104,-2.0377494386,-0.1754265207,-0.9518941562000001
SRX5694436,-11.6483602002,-2.3919325405,0.4694627959,-0.1052334343
SRX5694437,-12.9869001437,-0.2507206522,-0.2365843448,0.7115395365
SRX5694438,-0.7335823639,0.07346573220000001,1.0842542795,-1.4416688659
SRX5694439,-9.1675486008,0.3143882568,-1.071233936,-0.7134332685
SRX5694440,-1.6992215126999999,0.1617989176,0.103068081,-0.0445241282
SRX5694441,-2.8891775817000003,-0.4081937196,0.12117918230000001,-0.0349885256
SRX5694442,-12.4746418216,-1.7002395932,-1.0071227255,-0.6624719793
SRX5694443,-2.0197661285,0.1538530863,1.548007996,-0.9262386105
SRX5694444,-0.2585350268,0.1414549701,0.6413980821,-1.7305777477
SRX5694445,-8.83595493,-1.7943494913,-3.7671316664,-2.9399379941
SRX5694446,-0.3521228785,0.2193526747,1.16105998,-1.0644935462
SRX5694447,-4.7875592619,-0.3849941899,0.5690059028000001,-1.1857771612999999
SRX5694448,0.7435157323,-0.732440443,1.6295848441,-0.9373763926
SRX5694449,-1.1123696928,0.1017285234,0.8092006588,-1.5499422864999999
SRX5694450,2.6768828108,-0.2163555027,1.5508706502,0.246286793
SRX5694451,0.0889058331,-0.1832599433,0.8532396746,-0.33376319660000003
SRX5694452,-4.8800989307,-0.9702752261,0.37540806660000003,-1.1206970331
SRX5694453,-0.719442027,-0.7029806271,0.7633057399000001,-0.6005377017
SRX5694454,-1.0387001118,0.2689052974,-0.2615254057,-0.1563591697
SRX5694455,-9.2594416684,-1.7485042558,-1.6055369253,-0.2804330674
SRX5694456,-1.0763178648,0.2638014382,0.4685763036,-0.5457914957000001
SRX5694457,-2.5445444477,0.1813226141,-0.5885674106000001,-0.2295728501
SRX5694459,-2.5383634638,-0.0659537084,0.8940897926,-0.5387495017
SRX5694460,-11.8511378727,-2.6935232182,0.26797232,-1.4604350842
SRX5694461,-4.0555300913,-0.24608755940000002,1.1407464826,-1.4137090162
SRX5694462,-10.4299147859,-1.4072956342,0.1017208634,-1.1006868408
SRX5694463,0.554300396,0.13500124700000002,2.7619330079,-1.404782359
SRX5694464,-1.1208995872,-0.16266356510000002,1.420346598,-2.2291187808
SRX5694465,-3.4136381495,-0.08100398930000001,2.3929088480000003,-1.0348501559
SRX5694466,-9.1657191063,-0.0203257193,-0.7246422727,0.07052161480000001
SRX5694467,-0.5034117081,-0.0864598209,0.5744719764,-0.9814714192
SRX5694468,-8.7000305285,0.09512308080000001,-1.085685015,-1.3433413314
SRX5694469,-1.1007655415,0.056592892000000006,1.5831362403,-1.4663597203
SRX5694470,-0.3654911196,-0.0203162279,-0.0710414012,0.26587260020000003
SRX5694471,-0.7893710361,0.08127249760000001,0.9273458729,-0.7518923789
SRX5694472,-0.4111445765,-0.42764759150000003,0.2744130252,-0.5607885157
SRX5694474,-1.5100726073000001,-0.3318785326,-0.2263040957,-0.1325674633
SRX5694475,-2.1374977061,-0.1072682971,2.0746682866,-0.7174818351000001
SRX5694476,0.0658054107,0.2832759084,0.6552318836000001,-0.92004019
SRX5694477,-10.0330152143,-2.220698214,-0.0629230969,-1.7000522898
SRX5694478,-3.177618302,-0.324421403,0.7829797796,-1.6272205136
SRX5694479,-7.7738793982,-2.078741852,1.1245227913,0.5720513154
SRX5694480,-4.2961407361,-0.8986833081000001,-0.0430839778,-0.1391671733
SRX5694481,-5.067319538,-0.39061972300000003,1.1025384536,-1.8297599892
SRX5694482,-1.0289526722,0.5302146851,-0.2778481349,0.2466938887
SRX5694483,-3.1406516851,-0.0648156579,1.4959828381,-1.5228740022
SRX5694484,-1.4580491027,-0.2015433442,1.3914740486000001,-1.7851342103
SRX5694485,-3.0350400393,0.0561230447,-0.1652876623,0.5237060041
SRX5694486,-1.3203857913000001,0.1840419059,-0.1389714109,-0.25024855
SRX5694487,-2.4979680611,-0.0687134662,0.723854905,-0.2514906435
SRX5694488,-2.8676034866,-0.0029101905,0.3124016258,0.26494073890000003
SRX5694489,-3.2648006281,-0.2414092729,-0.23641273810000002,-0.8041135079
SRX5694491,-9.9509188008,-1.3992598427,-0.8668586420000001,-1.2194340631
SRX5694492,-9.9718020883,-1.4757436121,-1.0430530042,-1.1809586871
SRX5694493,-6.476025703,-1.5239909109,1.7722864627,-1.2807535359
SRX5694494,-5.4833753244,-0.5778881676000001,0.1997568555,-0.1374687393
SRX5694495,-1.3715543761,0.2383405456,-0.2226447558,-0.0215354808
SRX5694496,-0.9706472070000001,0.2231626615,-0.258168695,-0.9480682125000001
SRX5694497,-2.0141659975,-0.6145709097000001,-0.9163146615000001,-1.0359986465
SRX5694498,-2.1822760069,0.0065499987,1.4693707471000002,-1.6090659337000002
SRX5694499,0.7646940498,-0.2166458346,0.7150457751,1.0061706903
SRX5694500,-4.5589820894,-0.6082655704000001,0.07583423560000001,-2.0143629746
SRX5694501,-3.440211079,0.012213341,1.291088201,-1.107632114
SRX5694502,-2.4938483696000002,-0.8489028276,0.36654976440000003,-0.9445956744
SRX5694503,-8.2820052644,-1.5276697252,-0.3690385224,-0.20780028250000002
SRX5694504,-1.4200641342,0.23647347670000002,-0.5893430229000001,-0.08039064650000001
SRX5694505,-13.1622646062,-2.8546736802,-0.4808899045,-0.6464345047000001
SRX5694506,1.9264526949,-0.6676717403,0.7444431812000001,0.3201258186
SRX5694507,-1.1046515798,0.10364661430000001,-0.0138354436,-1.429834788
SRX5694508,-3.9151347763,-0.8174938777,0.6852941224,-0.2454056152
SRX5694509,-3.8015708913,-0.1972418484,-0.23832150770000002,-0.24123482200000002
SRX5694510,-2.0750693064,-0.2550231206,1.9400481498,-1.6288766759
SRX5694511,-0.9483306168000001,-0.1637807405,0.6046582118,-1.4625096694
SRX5694512,-9.5323630509,-1.3135012281,-1.06112634,-1.6452168668
SRX5694513,-4.3476360234,-1.2176583871,1.2622380304,0.4428735696
SRX5694514,-11.7221760795,-2.7449780099,-0.13228293030000002,-1.2436742039
SRX5694515,-5.7052276233,0.1674650962,-0.46696047490000003,0.8735172847
SRX5694516,-7.2809652112,0.7184192778,-1.477964131,-0.6719385942
SRX5694517,-1.5699714914,-0.0899811296,0.6117606495,-0.37733769570000003
SRX5694518,-2.2615499808,-0.0284053616,1.6416177001,-0.4317252374
SRX5694519,-2.9805338006,-0.4440190169,-0.1815506941,-1.3577074486
SRX5694520,2.9983779714,-0.3742459546,0.6904965633,0.6491026828
SRX5694521,-0.1818765775,-0.0823108953,0.8435732233000001,-0.4213987726
SRX5694522,-0.9312802237000001,0.19009073370000001,0.9029916877,-0.49952232950000003
SRX5694523,-2.3546389902,0.1230572979,0.3300730986,-0.5699067505000001
SRX5694524,-4.7177376621,-0.3090692798,-0.9328049156,-0.8692367033
SRX5694525,-3.0502171679,0.1271493457,-0.3031465747,-0.719723831
SRX5694526,-3.9165093334,-0.057352962300000004,0.6875714852,-1.4562038794
SRX5694527,-6.3167340578,-0.7911037301,-0.7847177972,-3.1686241086
SRX5694528,-8.7924448298,-2.2550692285,1.3542945381,0.1273458795
SRX5694529,-2.1070050115,0.09459037740000001,-0.0274323778,0.4477540224
SRX5694530,1.5086513429,-0.3417330189,-0.2605703387,1.1076025521
SRX5694532,-1.8735343392,-0.7655932475,-0.8142179441,-0.7140407148
SRX5694533,-6.9818386273,-0.8230648089,0.511384126,0.8674104367000001
SRX5694534,-7.0451408095,-1.0244460877,0.39782831830000004,-1.7428722273
SRX5694535,3.2099274631,-0.3020521984,0.9123597937000001,1.5356553832
SRX5694536,-1.0963657408,0.0940214917,-0.2919931189,-0.14280660850000002
SRX5694537,-0.017788125000000002,0.0455558508,1.1180473804,-0.691286309
SRX5694538,-0.5799259838,0.22416250880000002,0.7286423974,-0.6011030735
SRX5694539,-3.8397200839,-0.4554145486,0.17225984060000002,-1.8956070018000002
SRX5694540,-3.8833599624,-0.9496879326000001,-0.667774905,-0.881578045
SRX5694541,-1.9814513679,-0.14394191280000002,1.8164839995,-1.6274215645
SRX5694543,-9.2472425736,0.257330798,-1.753110805,-0.8009554115
SRX5694544,-3.6783519436,-0.3373228733,0.1985831996,-0.09116728560000001
SRX5694545,-0.9202561295,0.035948117,0.2684613957,-1.9640775632
SRX5694546,-5.244372322,-0.3182627866,0.9832348351,-4.3742249802
SRX5694547,-0.1697099317,-0.1118469182,1.3841968244,-0.9952698144000001
SRX5694548,0.0388333407,-0.0372321217,0.3319255946,-0.09764791440000001
SRX5694550,-5.9301202002,-0.4922607946,-0.6844576438000001,0.4134968379
SRX5694551,-1.7735731677,-0.4416388787,1.5333279613,0.060529975800000003
SRX5694552,-0.3347840856,0.0105278607,0.3388338716,-1.4435463849
SRX5694553,-0.5112467359,0.2876777482,-0.6240908853,0.36119014990000003
SRX5694554,1.6500956998,-0.1645882529,0.0752412231,-0.2071376134
SRX5694555,-6.7945422616,-0.8421746734000001,-0.9903852110000001,-1.4275565203
SRX6072760,-6.8209206731,-0.7797289048,-1.7191430479,-0.4038510073
SRX6072761,-11.4013856578,-0.9412126322000001,-1.8100612349,-0.0788584053
SRX6072762,-3.7817960246,-0.555678611,-1.7947747233,-0.2998911906
SRX6072763,-2.9820692154,-0.38526479500000005,-1.7144332711999999,0.0757173152
SRX6072764,-12.7179608819,-1.0984957077,-1.615025008,-0.0445006316
SRX6072765,-3.8008933903,-0.4458656036,-1.738712852,0.0173530753
SRX6376491,-3.4189413868000003,-0.23661516940000002,0.7294082574,0.708378426
SRX6376492,-10.9536641485,-1.8181327083,-0.9231830809,-0.5155147872
SRX6376493,-11.573058554,-2.037821897,-0.9981840043,-0.6280072801000001
SRX6376494,-12.964457782,-2.2059426753,0.2046410616,0.2270243056
SRX6376495,-3.8348516943,-0.4792645071,0.8008637587,0.5336738821
SRX6376496,-2.7787812986000002,-0.054275376300000004,0.6915994487,0.0157998917
SRX2723951,0.8177485021,1.2971935035,0.6064848255,0.5673085962000001
SRX2723952,1.5121391765999999,2.020927993,0.8944753291,0.8514691231
SRX2723953,1.0370619743,0.5760517667,0.10559736680000001,0.9218031523
SRX2723954,4.476736646,2.383091682,1.9302215302999999,0.9557157301
SRX2723955,1.106271015,1.2512872247,0.7340561775000001,0.1945679979
SRX2723956,0.4882242257,1.4331106707,0.6840671914,0.5020882455
SRX2723957,1.1487859725,0.1517886605,0.1894606848,0.0657084429
SRX2723958,0.9779865664,-0.2646015759,-0.240492855,0.41460956190000003
SRX2723959,1.3851284346,0.256464884,0.011981449600000001,0.0107396987
SRX2723960,-0.31130078640000003,0.9591927252,0.3059985086,0.37474769550000003
SRX2723961,4.2247290262,2.5388323397,1.711321613,0.8403568434
SRX2723962,-0.1247014169,0.9744724369000001,0.4314850139,0.0815755292
SRX2723963,-0.0809377886,-0.30103145470000003,0.15568167060000002,-0.157120746
SRX2723964,2.3474253399,1.2020478367,0.4967961188,0.201381738
SRX2723965,0.1744608323,0.7380002376,0.6303059599,0.2351902683
SRX2723966,0.053151299900000004,0.0829169912,-0.0029181725000000003,0.1793579941
SRX2723967,0.1080989109,-0.075921268,0.1148494453,-0.26871484700000003
SRX2723968,-0.16125021080000002,-0.006995723200000001,-0.1119312727,0.0893568529
SRX6977206,-13.4364431881,-0.2546401567,-0.3698144666,0.3459115795
SRX6977207,-12.5069904871,-0.30518404320000003,-0.486949145,0.4857461308
SRX6977208,-2.4426681491,-0.5181824078,0.7173463922000001,0.49053472130000003
SRX6977209,-5.0816583073,-0.675081557,0.20699598200000002,0.4097141597
SRX6977210,-4.7661313088,-0.7835359689,0.041763804,0.5527040293000001
SRX6977211,0.1280392367,0.2440588662,0.12451109390000001,-0.029492666400000003
SRX6977212,0.14779111550000001,-0.0309117965,-0.0106837327,-0.3564862058
SRX6977213,-0.2758303522,-0.21314706960000002,-0.1138273612,0.3859788722
SRX6977214,-15.3866002325,-0.39514538390000004,-0.2249885859,0.5342859019
SRX1153733,0.059390348100000004,0.1831441383,0.0431396313,0.068239141
SRX1153734,-0.059390348100000004,-0.1831441383,-0.0431396313,-0.068239141
SRX1153735,0.0195260012,-0.1003374077,-0.026105742100000003,0.0531060155
SRX1153736,-1.0921718826,-0.0489066405,-0.4376281288,-0.4280031701
SRX5204053,1.7810801117000001,-0.1152614403,-0.5754432389,0.26759402250000003
