,A,RcnR
SRX5694500,-1.2413716514,-2.4203201898
SRX5694501,-0.5358703349,-1.0411936657
SRX5694502,0.0387564226,-0.6081457126
SRX5694503,-0.4732432818,-1.1822457769
SRX5694504,0.2677535,-0.5441676882
SRX5694505,4.5645573682,1.9675742449
SRX5694506,1.5202259679,0.24201970860000002
SRX5694507,-0.2242872381,-0.4772470513
SRX5694508,0.4798400325,0.4391689549
SRX5694509,-0.0834690676,-0.676477619
SRX5694510,0.6613801348,-0.6514441213000001
SRX5694511,-1.3453169812,-1.1929143195
SRX5694512,1.2763647799,-0.7363409517
SRX5694513,1.3522247087,1.5526648926000002
SRX5694514,2.1774190618,0.5483743554
SRX5694515,-0.5267427601,-1.3355925607999999
SRX5694516,0.5177214760000001,-0.22340711740000002
SRX5694517,-1.5757580492,-1.1396289732
SRX5694518,0.18210054280000001,-0.3800583705
SRX5694519,-0.5766019508,-1.0972337265
SRX5694520,0.8082515859,0.4183917884
SRX5694521,-1.3378792003,-1.2523725136000001
SRX5694522,-1.688278167,-1.6574938650000002
SRX5694523,-2.9148236302,-0.6208080297
SRX5694524,-1.0546919702,-1.4744406463
SRX5694525,0.44532157040000003,-0.45741025
SRX5694526,-1.5044281784,-2.4428189875
SRX5694527,0.7785700072,-1.1044837345
SRX5694528,1.0853678781,0.6893938612
SRX5694529,-1.8322610252,-1.7420232795000001
SRX5694530,-2.7858786089,-3.0378990862
SRX5694532,1.3781504497000001,-0.8236851148000001
SRX5694533,-0.20538856190000002,-0.6333736659
SRX5694534,0.33024735850000003,-0.9941559161
SRX5694535,0.7801822277,-1.3510610359
SRX5694536,-1.1578350722,-1.0724932314
SRX5694537,-0.6766731186,-0.9298327956
SRX5694538,0.2610696665,-0.6423771673
SRX5694539,-2.2203554634,-3.0528021877000002
SRX5694540,1.5794654256,-0.5869951588
SRX5694541,-2.7353316893,-5.0974644827
SRX5694543,0.7038459456,-0.6191304953
SRX5694544,-0.5457360769,-0.8977501088000001
SRX5694545,-2.6842861639,-2.6429572011999998
SRX5694546,-2.4655396518,-0.8935663859
SRX5694547,0.8949665949000001,-0.2500410162
SRX5694548,0.0408037772,0.0407392134
SRX5694550,1.0725002455000001,0.5574219189
SRX5694551,0.0989167442,-0.0404894952
SRX5694552,-0.1631384297,-0.6441428517000001
SRX5694553,0.11367969280000001,-0.49795249950000003
SRX5694554,-1.1442025656,-0.6930471279
SRX5694555,2.5080679942,0.53035341
SRX6072760,-0.6425018855,-1.1850899789
SRX6072761,-0.41136838950000004,-2.7009845178000003
SRX6072762,-0.6025626350000001,-1.5457614375
SRX6072763,-0.8510560756000001,-1.6535361307
SRX6072764,-0.0247694537,-1.7173465361
SRX6072765,-0.7359029643,-1.3880184382
SRX6376491,0.5128561864,0.4324378911
SRX6376492,4.3083982011,1.9722978071
SRX6376493,4.3447137009,2.0786181658
SRX6376494,3.4204096515,2.0575162483
SRX6376495,0.6007405915,0.5298592756
SRX6376496,0.0801723464,0.7916096821
SRX2723951,-1.7234163942,-0.055149544200000004
SRX2723952,-2.3640107138,-0.3881732966
SRX2723953,-1.9762176773000002,-0.9915181719
SRX2723954,-2.4827344747,0.303430564
SRX2723955,-2.325533636,-0.7845231618
SRX2723956,-1.0411833493,0.11390256700000001
SRX2723957,-0.4211476999,-0.20481933500000002
SRX2723958,-1.0212944075000001,-1.1024871145
SRX2723959,-0.9394507933,0.1335608301
SRX2723960,-1.3393040094,-0.2113728577
SRX2723961,-1.6825854545999999,0.34542906830000003
SRX2723962,-0.9095450234,-0.2504769496
SRX2723963,-0.6224635029000001,-0.5505151699
SRX2723964,-1.7760230728000002,-0.8505297202000001
SRX2723965,-1.0718851797,-0.332760367
SRX2723966,0.045245369,0.0382264952
SRX2723967,0.0978229157,0.0172838518
SRX2723968,-0.1430682847,-0.055510347
SRX6977206,0.9614756087,-0.4290220986
SRX6977207,0.7586830845,0.2180299664
SRX6977208,-0.4312162686,0.2530359859
SRX6977209,-0.1858909239,0.2298183178
SRX6977210,0.8912253991,0.3874143615
SRX6977211,0.508335662,-0.0019043204
SRX6977212,-0.18219347290000001,0.2458455272
SRX6977213,-0.3261421892,-0.2439412069
SRX6977214,1.1141422413,-0.47819595200000004
SRX1153733,0.0736422065,-0.0065028346
SRX1153734,-0.0736422065,0.0065028346
SRX1153735,0.2537445554,-0.1298138925
SRX1153736,0.313420313,-0.5908692564
SRX5204053,0.13378794430000002,-0.17159047730000002
SRX5204054,0.586202157,-0.1365902441
SRX5204055,0.40917600400000004,0.40520796810000004
SRX5204056,0.1991632444,0.839967093
SRX5204057,0.4077234514,1.1974582828
SRX5204058,0.8148464651,1.1856457401
SRX5204059,-0.3802558106,0.5356499685
SRX5204060,0.3855267959,0.7499282553000001
SRX5204061,-0.2025584714,0.6767583261
SRX5204062,-0.058289112000000004,0.376689896
SRX5204063,0.7645192755,0.2651704674
SRX5204064,0.9514254489,0.5256677576000001
SRX5204065,-0.6839192313,0.7522452408
SRX5204066,-0.6443576563,0.39525375890000003
SRX5204067,-0.0014457394,1.1469183234
SRX5204068,0.3811950472,0.8119233013
SRX5204069,-0.07144796760000001,0.0014232457
SRX5204070,0.3678331346,1.0622011608
SRX5204071,0.8441295325,0.5190500445
SRX5204072,0.3322721818,0.2408251465
SRX5204073,1.5255679106,0.2637201597
SRX5204074,1.0828484605,0.3314406446
SRX5204075,0.41739526060000004,0.5845848861
SRX5204076,0.5317680393,0.7179003391000001
SRX5204077,1.2985085067,0.3832155625
SRX5204078,0.9102096869,0.1744567279
SRX5204079,0.9271277345000001,0.5738155541000001
SRX5204080,1.4949626961,0.2224500453
SRX5204081,1.6221825161,0.6904507833
SRX5204082,1.116092731,0.1142006465
SRX5204083,0.7620603744000001,0.6884172912000001
SRX5204084,0.6006671453,0.6634360168
SRX5204085,-0.0715202523,0.4823742026
SRX5204086,-0.4032355085,0.12441078850000001
SRX5204087,-0.726748095,0.24334494010000002
SRX5204088,0.109426118,-0.4757699299
SRX5204089,0.9620426001000001,0.7835897114
SRX5204090,0.0837237673,-0.4370968705
SRX5204091,0.8411421363,0.2651570502
SRX5204092,-0.1942493194,0.5253940616
SRX5204093,-0.5431367004000001,0.5186655351
SRX5204094,0.018154176600000002,1.1591874697
SRX5204095,-0.6036850073000001,-0.0951229855
SRX5204096,0.16029983890000002,0.041119811400000005
SRX5204097,0.44338516840000003,0.0540031741
SRX683459,-0.3004448315,-0.12168922110000001
SRX683460,-2.8007590006000003,-1.0549804464
SRX683461,0.7837766627,0.4269316804
SRX683462,-4.3809323086,0.6849333329
SRX683463,-0.4833318312,-0.30524245920000004
SRX683464,-2.6155527565,-0.060545182200000006
SRX683465,-0.3010685839,0.0027708844
SRX683466,-2.9928996537,-0.23423292310000002
SRX683467,-0.32357798260000004,-0.2330674807
SRX683468,-2.8395163856,-0.0351917389
SRX683469,0.2072642328,0.0508668883
SRX683470,-1.1187994778,0.5078194065
SRX322077,2.2134010494,0.4837909953
SRX322078,2.2573974191,0.6917896370000001
SRX322079,2.3884302946,0.7741427103
SRX322080,1.1023405574,0.32082958510000004
SRX322081,2.1301030998,0.8966060864000001
SRX322082,0.9606686044,0.4105604116
SRX322083,-0.4006549368,0.1036098642
SRX322084,0.9448735345,0.0668266337
SRX322085,-0.5442185977,-0.1704364979
SRX2708592,-0.6542833632,-2.2790905562
SRX2708593,-1.5975422021,-1.221580109
SRX2708594,0.10922111670000001,-1.162676371
SRX2708595,0.1634988218,-0.0852665584
SRX2708596,0.1644896677,-0.0679287127
SRX2708597,-0.32798848950000004,0.1531952712
SRX2708598,0.3984567513,0.1265018154
SRX2708600,-2.5304174246,-0.0690841339
SRX2708601,0.2161094859,0.23449923090000002
SRX2708602,0.2894578946,-0.2658564096
SRX2708603,-0.1350044969,-0.8377603294
SRX3073814,-0.2432793137,-0.3500952875
SRX3073815,-3.7423637409,-1.4851574939
SRX3073816,-4.554209768,-2.9306057242
SRX3073817,-3.6550589695999998,-2.9311549981000002
SRX3073818,-2.522703383,-1.8443856132
SRX3073819,0.1063350034,0.2368509067
SRX3073820,-3.888961903,-1.865790943
SRX3073821,-4.2393306283,-3.6814481711
SRX3073822,-5.475815978,-3.4677271627
SRX3073823,-4.5282606046,-4.168646094
SRX3073824,0.2432793137,0.3500952875
SRX3073825,-3.5839594117,-1.5001627496
SRX3073826,-4.4531161482,-3.5346891274
SRX3073827,-4.8737967464,-3.4793717172
SRX3073828,-3.5108205942,-2.3846566909
SRX3073829,-0.0064730299,-0.1841400258
SRX3073830,-4.2061083984,-2.8310478461
SRX3073831,-4.2755019275,-4.168646094
SRX3073832,-4.1884414969,-3.0401561727
SRX3073833,-2.3760929104,-0.6578328012
SRX2391456,-0.4176874225,0.08055178980000001
SRX2391457,-0.5286905704,-0.4257913458
SRX2391458,-0.6249532237000001,-0.5256750993
SRX2391459,0.0332906065,0.220340836
SRX2391460,0.37280057650000004,0.2425182435
SRX2391461,0.2733250828,0.23263439100000002
SRX2391462,0.1311427578,0.1672767134
SRX2391463,-0.0563548558,0.1488934586
SRX2391464,-0.10914797080000001,-0.0082000284
SRX2391465,-0.1536741241,0.15181867400000001
SRX2391466,-0.2207855708,-0.09418950870000001
SRX2391467,-0.0004081809,0.0759265761
SRX2391468,-0.3850063124,-0.026580142900000003
SRX2391469,-0.4185651892,-0.018507854100000002
SRX2391470,-0.1494703271,0.32420590520000003
SRX2391471,-0.3914214844,-0.3242789645
SRX2391472,-0.3945446751,-0.275940144
SRX2391473,-0.7184507489,-0.6314802064
SRX2391474,-0.8004956284,-0.6085996461000001
SRX2391475,0.0329958938,0.0707785848
SRX2391476,0.1849608915,0.1276440855
SRX2391477,0.4145187671,0.0850387873
SRX2391478,-0.5233619998,-0.192877704
SRX2391479,0.47954828110000003,0.2222138056
SRX2391480,0.6730212377,0.055902012300000005
SRX2391481,0.2771738581,-0.0504736395
SRX2391482,0.1841717182,-0.1348297948
SRX2391483,0.0789042286,0.0544112272
SRX2391484,-0.1583115971,0.0359339792
SRX2391485,-0.1671804111,-0.4197530814
SRX2391486,0.1471116629,-0.3007706606
SRX2391487,0.47749281520000003,0.1275734231
SRX2391488,0.5587304106000001,0.2608431876
SRX2391489,0.3584484075,0.14586481710000002
SRX2391490,0.1262390753,-0.1423541684
SRX2391491,0.0732070861,0.1243111388
SRX2391492,0.171984208,0.3125022002
SRX2391493,-0.009636076300000001,0.1693240282
SRX2391494,0.23538131680000002,-0.0101772767
SRX2391495,0.0004081809,-0.0759265761
SRX2391496,0.23517761110000002,0.1287879954
SRX2391497,0.0441664021,0.1396096842
SRX2391498,-0.0365869956,0.12224900600000001
SRX2391499,-0.5592049951,-0.2908548784
SRX2391500,0.2246246874,0.014609296300000001
SRX2391501,0.2059252467,-0.084231443
SRX2391502,-0.1742425624,-0.3237536375
SRX2391503,0.8573069244,0.48265494140000004
SRX2391505,0.4385065134,0.1172456884
SRX2391506,0.3894450544,0.0914291596
SRX2391507,0.4340260066,0.0128300264
SRX2391508,0.9588504917,0.2944679786
SRX2391510,0.4390540465,-0.024126270800000002
SRX2391512,0.2359443988,-0.049684531000000004
SRX2391513,0.2788823045,-0.1389333419
SRX2391514,-0.09964233780000001,-0.0718760759
SRX5632598,0.619538468,0.5136453375
SRX5632599,0.37136098640000004,0.7737681406
SRX5632600,-0.47166390350000004,0.006342205
SRX5632601,0.1941367672,0.9402370712
SRX5632602,-0.19734363670000002,1.0971002593999999
SRX5632603,-2.2924096354,1.6437851009000002
SRX5632604,0.5448460855,0.9907716580000001
SRX5632605,0.8913452809,0.8434188998000001
SRX5632606,0.7331936330000001,0.9178727412000001
SRX5632607,0.9224691315,1.1705518205
SRX5632608,0.0142761364,-0.7993780204000001
SRX5632609,0.7467188054,1.4178903197000001
SRX5632610,1.6343895518,0.880902873
SRX5632611,-0.7609949418,-0.6185122993000001
SRX5632612,0.4942517393,-0.361220423
SRX5632613,1.1084880608,0.7671738443
SRX5632614,1.2217245543,0.2954963453
SRX5632615,0.7663560831,-0.2976454061
ERX2874132,0.7324610305,0.45544649130000003
ERX2874133,0.2596575508,-0.133087535
ERX2874134,1.4106338073,0.20431219180000001
ERX2874135,1.1560045734,0.42451354760000004
ERX2874136,0.8655390310000001,0.7293141512
ERX2874137,-0.0850862527,0.420271416
ERX2874138,0.6381399657,0.5937252550000001
ERX2874139,0.38779258520000004,0.5513622688
ERX2874140,-0.20380181660000002,-0.0742418973
ERX2874141,0.20380181660000002,0.0742418973
ERX2874142,0.33474881,0.1239840692
ERX2874143,0.126734434,0.4602852865
ERX2874144,0.3134368836,-0.26257707680000003
ERX2874145,0.6734798685000001,-0.2776560973
ERX2874146,0.3203043642,0.44165121020000003
ERX2874147,-0.0110834373,0.0557517217
SRX1300292,0.7690487159,-0.30502978880000003
SRX1300293,-0.7690487159,0.30502978880000003
SRX1300299,1.2343026765,-0.6119969477
SRX1300300,-3.027338396,-4.3301388937
SRX1300304,0.3822307958,-0.3962913387
SRX1300305,1.4693559526,0.8715971375
SRX1300306,0.6625262359,0.26467740500000003
SRX1300310,0.37158263890000004,-0.8399027805
SRX1300311,1.2193914711,-0.60768078
SRX7291195,-0.7904801697,0.1633644579
SRX7291196,-0.7473474512,0.1599814198
SRX7291197,-0.7581686660000001,0.2870337563
SRX7291198,0.1851479574,0.0218285675
SRX7291199,-0.11266314570000001,0.1101716948
SRX7291200,-0.0724848117,-0.1320002623
SRX7291201,-0.8713747282000001,-0.0009351046000000001
SRX7291202,-0.674263754,0.43037558140000004
SRX7291203,-0.7501827702,0.1810234645
SRX7291204,-0.1457146124,0.011935486300000001
SRX7291205,-0.3505869419,-0.13224385800000002
SRX7291206,-0.14569284600000001,-0.000868921
SRX2436955,-0.0958192026,0.3655942729
SRX2436956,0.826712921,0.6649173938
SRX2436957,1.23447333,0.7751118462000001
SRX2436958,0.5219775382,0.5858905998
SRX2436959,1.4411481510000002,0.229745212
SRX2436960,-0.7828170646,0.09811755300000001
SRX2436961,-0.0892899481,0.3942728539
SRX2436962,-1.4118086478,-0.1090352574
SRX2436963,1.3770042932,0.5366494551000001
SRX2436964,-1.1434183723,0.2107071507
SRX2436965,3.957729723,1.7708349646000001
SRX2436966,0.0060884375,0.0991720973
SRX2436967,-0.3874955446,0.5390047139
SRX2436969,1.668352949,0.6933137534
SRX2436970,0.0101866435,0.3036047834
SRX2436971,-0.6151457686,0.1472337507
SRX2437029,-1.3934029005,0.010706633
SRX2437030,-0.0302172479,0.35372083660000003
SRX2437031,0.16738290960000002,0.1253478167
SRX2437032,-0.4717985187,0.0034614168
SRX2437033,-1.5396490981,-0.7782360272000001
SRX2437034,3.9572823395,1.3945166261
SRX2437035,1.2200343867,0.6124287568
SRX2437036,1.0675094428,0.7974097198000001
SRX2437037,-1.6810080354,0.1491885413
SRX2437038,-0.1193463421,0.0613001752
SRX2437039,0.3225052143,0.4013885756
SRX2437040,1.7682846620000001,0.8631514198
SRX2437041,-0.1538707796,0.319600314
SRX2437042,-1.1104695807,-0.6649362042
SRX2437043,-1.768208787,-0.1958420307
SRX2437044,-1.8544763197,-0.5467339981
SRX4705203,2.2582434963,1.0197736708
SRX4705204,-1.7634382755,-0.6462469024
SRX4705205,-1.293468006,-0.3223771247
SRX4705206,-1.3204391098000001,-0.4453162798
SRX4705207,0.3053176369,0.6727742244
SRX4705208,-0.145285291,0.4480310642
SRX4705209,0.6336862787,0.33377696020000003
SRX4705210,-1.3285984161,-0.4534026169
SRX4705211,-1.5989826823,-0.1710055875
SRX4705212,-1.2661002328,-0.0412986778
SRX4705213,0.533647718,-0.1521992805
SRX4705214,0.7490585948,0.0046980904
SRX4705215,-0.6564451279,0.0618704323
SRX4705216,0.4661832909,0.0195585174
SRX4705217,-0.6471044042,-0.0774864247
SRX4705218,-0.4453400716,0.143558665
SRX4705219,-0.38973854020000004,-0.1532542005
SRX4705220,0.6953246959,-0.0441239182
SRX4705221,-1.88731697,-0.9652885592
SRX4705222,-0.6429133956,-0.6638786783
SRX4705223,2.2264689529,0.8347840834
