,A,PvdS
co_culture__mono_25__4.0,2.1070941626,0.3358038716
co_culture__mono_35__4.0,2.3748646831,0.4501179381
co_culture__mono_45__4.0,1.8654759129,-0.4316180759
co_culture__mono_40__4.0,2.6307059858,0.5141697609
co_culture__b_thai_30__4.0,-30.5784439017,-1.9407237265
co_culture__b_thai_40__3.0,-33.3828133642,-2.1868877338
co_culture__b_thai_35__4.0,-32.8779693688,-2.102320507
co_culture__c_viol_25__4.0,5.2179061154,1.1690796923
co_culture__c_viol_35__4.0,5.0411975951,1.4475876186
co_culture__c_viol_12.5__3.0,4.6675261256,1.03867311
co_culture__c_viol_12.5__4.0,4.0297155647,1.0387566504
co_culture__b_thai_12.5__3.0,-37.0439209966,-5.8710048592
co_culture__mono_12.5__4.0,-0.0018623239,-0.11583350640000001
co_culture__c_viol_30__3.0,6.4408931812,1.31949367
co_culture__b_thai_c_viol_35__4.0,-37.4053423668,-4.0946458986
immunity_2__WT_sid2__1.0,-1.3742844369,-0.12413254800000001
immunity_2__WT_pad4__1.0,0.7094819960000001,-0.0209773314
immunity_2__WT_PS__1.0,9.7926985655,1.1852191713
immunity_2__WT_sid2__2.0,-0.3546679692,-0.0203378273
immunity_2__WT_pad4__2.0,2.005573458,-0.010350953900000001
immunity_2__WT_PS__2.0,7.941545273,0.7343286789
immunity_2__WT_sid2__3.0,1.7289524061,0.1444703753
immunity_2__WT_pad4__3.0,2.6051789433,-0.0842382359
immunity_2__WT_PS__3.0,9.9215133204,0.7339932617
immunity_in_vitro__WT_MM__1.0,1.9118498931,0.6031564604
immunity_in_vitro__WT_MM__2.0,-1.5079238377,-0.5112491175
immunity_in_vitro__WT_MM__3.0,-1.5066338026000001,-0.7591300507000001
immunity_in_vitro__WT_MM__4.0,1.1027077472,0.6672227078
immunity_isolated__WT_DE__1.0,0.26222046720000003,-0.4933208928
immunity_isolated__WT_DEPS__1.0,-0.4480741663,-0.4214693608
immunity_isolated__WT_WT__1.0,0.2932431835,-0.07183739680000001
immunity_isolated__WT_npr1__1.0,-0.1143817716,-0.0557653425
immunity_isolated__WT_DE__2.0,0.1288891009,-0.06307869220000001
immunity_isolated__WT_DEPS__2.0,0.816344783,-0.1760831784
immunity_isolated__AvrRpt2_WT__1.0,-18.3780494394,-2.1882250946
immunity_isolated__AvrRpt2_npr1__1.0,-11.3515376284,-1.5085553536
immunity_isolated__AvrRpt2_DE__1.0,-19.4097800091,-2.7784856612
immunity_isolated__AvrRpt2_DEPS__1.0,-4.4452020735,-0.6042515104
immunity_isolated__WT_WT__2.0,-1.3673693248,-0.7875573472
immunity_isolated__WT_pad4__1.0,0.2345262593,-0.9103598876000001
immunity_isolated__WT_PS__1.0,0.8846982723,-0.9341553332
immunity_isolated__AvrRpt2_WT__2.0,-21.095995859,-2.9725104652
immunity_isolated__AvrRpt2_sid2__1.0,-15.1186666255,-2.4335159641
immunity_isolated__AvrRpt2_pad4__1.0,-18.9932142429,-2.5805668864999998
immunity_isolated__AvrRpt2_PS__1.0,-7.5419178879,-1.7943105434
immunity_isolated__WT_WT__3.0,2.6186539998000002,-0.0008445688
immunity_isolated__WT_sid2__1.0,2.9835941792,0.046634922100000004
immunity_isolated__WT_pad4__2.0,3.0858022516,-0.23444216980000002
immunity_isolated__WT_PS__2.0,2.7106124572,-0.3194993788
immunity_isolated__AvrRpt2_WT__3.0,-20.9580901882,-3.132267242
immunity_isolated__AvrRpt2_sid2__2.0,-13.3436040454,-1.9198657268
immunity_isolated__AvrRpt2_pad4__2.0,-15.9679830338,-2.3837250153
immunity_isolated__AvrRpt2_PS__2.0,-3.9767274797,-1.4730051864
immunity_isolated__WT_WT__4.0,0.2956481745,-0.5717649107
immunity_isolated__WT_npr1__2.0,-0.2868477186,-0.4182578509
immunity_isolated__AvrRpt2_WT__4.0,-24.0080452218,-2.6679633216000003
immunity_isolated__AvrRpt2_npr1__2.0,-15.2225718021,-2.4521456477
immunity_isolated__AvrRpt2_DE__2.0,-20.9438424222,-2.349358842
immunity_isolated__WT_WT_mock__1.0,0.7251418544,-0.4556212619
immunity_isolated__WT_WT__5.0,-0.2816552624,0.0803421292
immunity_isolated__WT_SP__1.0,-3.0983752371,-0.5250459955
immunity_isolated__AvrRpt2_b2b3__1.0,-23.9792634016,-2.7179894345
immunity_isolated__WT_WT__6.0,0.45700909570000003,0.3473496102
immunity_isolated__WT_SP__2.0,-1.8035852473,0.0868830303
immunity_isolated__AvrRpt2_WT__5.0,-23.380412845,-2.8311837484
immunity_isolated__AvrRpt2_b2b3__2.0,-22.1039034661,-2.4163420876
immunity_isolated__WT_WT__7.0,-0.4361354911,-0.08548973750000001
immunity_isolated__WT_sid2__2.0,1.2049504774,0.0606698592
immunity_isolated__WT_pad4__3.0,1.2203397067,0.0638845086
immunity_isolated__WT_PS__3.0,0.6471980562,-0.2531251681
immunity_isolated__AvrRpt2_WT__6.0,-14.901552670000001,-1.8678921439
immunity_isolated__AvrRpt2_sid2__3.0,-12.7655042018,-1.7404379367
immunity_isolated__AvrRpt2_pad4__3.0,-7.1375709877,-1.1119242046
immunity_isolated__AvrRpt2_WT__7.0,-22.9885317676,-2.8045614647
immunity_isolated__AvrRpt2_npr1__3.0,-12.438983285599999,-1.4710078467
immunity_isolated__AvrRpt2_DE__3.0,-14.2775390527,-1.7909783108
immunity_isolated__AvrRpt2_DEPS__2.0,-1.9970803252,-0.21448940360000002
immunity_isolated__AvrRpt2_RR__1.0,-0.0444710184,0.2013795384
immunity_isolated__AvrRpt2_WT__8.0,-29.2777485092,-2.7537148542
immunity_isolated__AvrRpt2_RR__2.0,-0.22011369090000002,0.7668222158
immunity_isolated__WT_WT_mock__2.0,2.0733373523,0.3443030985
immunity_isolated__WT_WT_SA__1.0,-2.7037896589,-0.3497977474
immunity_isolated__WT_WT_chitin__1.0,-6.0691915781,-0.4988953574
immunity_isolated__WT_WT_SA__2.0,-0.5854798722,-0.053103783200000004
immunity_isolated__WT_WT_mock__3.0,1.1118972207,0.17626885750000001
immunity_isolated__WT_WT_chitin__2.0,-2.5743682978,-0.16521225720000002
immunity_isolated__WT_WT_SA__3.0,-1.168312298,-0.0492041381
immunity_isolated__WT_WT__8.0,1.9574904245,0.4126967512
immunity_isolated__AvrRpt2_WT__9.0,-24.4300513636,-3.3472203989000002
immunity_isolated__AvrRpt2_WT__10.0,-19.1331797052,-2.627903011
immunity_isolated__WT_WT__9.0,1.7834660249,0.3857143765
immunity_isolated__AvrRpt2_WT__11.0,-14.9596516935,-2.1546614888
immunity_isolated__WT_WT__10.0,-0.6465783708,0.06375467330000001
immunity_isolated__WT_pad4__4.0,0.22955260900000002,-0.125089061
immunity_isolated__WT_PS__4.0,-1.1297246661,-0.28165592970000003
immunity_isolated__AvrRpt2_WT__12.0,-20.3633964385,-2.0778759096
immunity_isolated__AvrRpt2_pad4__4.0,-13.6223203411,-1.8078282463000002
immunity_isolated__AvrRpt2_PS__3.0,-7.0934235691,-1.0909642464
immunity_isolated__WT_WT__11.0,-3.6198055256,-0.0800257092
immunity_isolated__WT_stp__1.0,-2.9729517758,0.0547388097
immunity_isolated__AvrRpt2_WT__13.0,-23.6620082856,-2.7873960604
immunity_isolated__AvrRpt2_stp__1.0,-22.6006205611,-2.5016496851
immunity_isolated__WT_WT__12.0,-1.0539669282,0.3076621297
immunity_isolated__WT_stp__2.0,-0.7830166806000001,0.1695062357
immunity_isolated__AvrRpt2_WT__14.0,-28.485239525,-2.3491159668
immunity_isolated__AvrRpt2_stp__2.0,-28.6315481207,-2.3816326141
immunity_no_isolation__WT_WT_mock__1.0,9.6065604092,1.171398943
immunity_no_isolation__WT_WT_flg22__1.0,-6.9466421196,0.19397938920000002
immunity_no_isolation__WT_WT_flg22__2.0,-7.7757379363,-1.6340128497
immunity_no_isolation__WT_WT_flg22__3.0,-9.553792637699999,-0.474797931
immunity_no_isolation__WT_WT_mock__2.0,-6.3070469193,-0.8983406047
immunity_no_isolation__WT_WT_mock__3.0,-3.2995134898,-0.27305833830000004
immunity_time__mock_1hpi__1.0,-1.0567385645,-0.3983554462
immunity_time__mock_1hpi__2.0,-0.0704703683,0.0145488353
immunity_time__mock_1hpi__3.0,1.1272089326999999,0.3838066109
immunity_time__flg22_1hpi__1.0,2.3418802911,-0.17206818240000002
immunity_time__flg22_1hpi__2.0,4.3149611886,-0.0705315524
immunity_time__flg22_1hpi__3.0,5.7899291899000005,0.3317083705
immunity_time__mock_3hpi__1.0,-2.416569768,-1.2369614343
immunity_time__mock_3hpi__2.0,-1.9022429426,-0.9434442075
immunity_time__mock_3hpi__3.0,-3.557992816,-1.8598497983
immunity_time__flg22_3hpi__1.0,-2.7119321764,-0.7402100645
immunity_time__flg22_3hpi__2.0,-3.2122743009,-0.5416175263
immunity_time__flg22_3hpi__3.0,-1.8809426894999999,-0.7846500137
immunity_time__mock_5hpi__1.0,-7.3789575813,-1.5902479044
immunity_time__mock_5hpi__2.0,-4.2929355248,-1.2565208548
immunity_time__mock_5hpi__3.0,-7.3496543651,-1.4075917481
immunity_time__flg22_5hpi__1.0,-3.7187823491,-0.8909896728000001
immunity_time__flg22_5hpi__2.0,0.6588192646000001,-0.4149716607
immunity_time__flg22_5hpi__3.0,-3.6027590273,-0.8950548339000001
