,A,ModE
SRX5694337,1.6163180052000001,-0.5656035777
SRX5694338,-1.7234312445,0.5266171302
SRX5694339,-0.5088687086,0.3130975669
SRX5694340,1.9429414641,0.34825109530000004
SRX5694341,1.1693206217,-0.3492791139
SRX5694342,-1.5916525183,0.2716295325
SRX5694343,-1.2420234053,0.0290295453
SRX5694344,0.2996662371,0.4239427592
SRX5694345,2.498429991,0.197120701
SRX5694346,-0.0597442534,0.21351301520000002
SRX5694347,-1.6927501219,0.4507695318
SRX5694348,-2.9218286468,1.0954433749
SRX5694349,-0.39390026180000004,0.1282388285
SRX5694350,-1.1332593713,-1.5949116485000001
SRX5694351,-3.3203737639,-0.4559342638
SRX5694352,-0.3392417814,0.07718769140000001
SRX5694353,1.1495833666,0.5071701109
SRX5694354,-1.726584725,0.7800406671
SRX5694356,2.682130504,0.5052972719000001
SRX5694357,-1.4636165691,0.2407619684
SRX5694358,-0.5233119666,-1.3550079631
SRX5694359,-0.0169630699,-0.1216305679
SRX5694360,-0.5103506879,0.1067975761
SRX5694361,-1.7591468724000001,1.6704430975
SRX5694362,-0.8081525245000001,1.7262955685999999
SRX5694363,-2.2589700301,0.345240836
SRX5694364,-2.7610615499,-0.8691085540000001
SRX5694365,-5.332131813,1.6862180555
SRX5694366,-1.2822659464,0.33382177100000004
SRX5694367,1.2096470026000001,-0.1181278632
SRX5694368,0.21364306660000001,-0.029473524
SRX5694369,0.8710905923000001,0.5844432967000001
SRX5694370,-3.2652189603,0.222366411
SRX5694371,-1.5738790561,-0.6488912826000001
SRX5694372,-0.1253495536,0.24351422320000002
SRX5694373,-2.0342118314,-1.4017012266
SRX5694374,0.5288509472,-1.2986423598
SRX5694375,-0.008153774,0.3378535466
SRX5694376,0.045372329600000004,1.4517583971999999
SRX5694377,0.1273302133,-1.2229568063
SRX5694378,-2.8315007455,0.274118401
SRX5694379,0.6314175213000001,0.28809658660000004
SRX5694380,-0.22372402230000002,0.27866624570000004
SRX5694381,-3.499141754,-0.0224184758
SRX5694382,0.5121257836,0.4582658318
SRX5694383,0.718368282,0.5343813507
SRX5694384,0.4333164552,0.6842692165
SRX5694385,-3.6068563875,1.4324266963
SRX5694386,-3.493913199,-0.1404471612
SRX5694387,-1.4979207749,0.2490167539
SRX5694388,-3.1941043368,-0.3154206552
SRX5694389,2.2829870382,0.45015010910000003
SRX5694390,-0.8268572844000001,0.7751591194
SRX5694391,-3.1086571757,1.2852020633
SRX5694392,1.9461989381,0.5456820485
SRX5694393,-0.17337896120000001,0.6007059065
SRX5694394,-0.3405629336,0.44414627030000003
SRX5694395,-1.9158282764,0.6060512374
SRX5694396,-2.9849841972,-0.1306306904
SRX5694397,-2.7294208684,0.37797055360000004
SRX5694398,-2.7555227937,0.5333886878
SRX5694399,0.7656194283000001,0.7167790890000001
SRX5694400,0.1351395693,0.0896397323
SRX5694401,-1.7561580432000001,0.6365125064
SRX5694402,-2.5665942246,-0.47395596830000003
SRX5694403,4.5500904856,-0.44728802240000004
SRX5694404,-0.1906733361,0.6501941196000001
SRX5694405,-1.0782734687,-0.3494389364
SRX5694406,-2.006901322,-0.22315787650000002
SRX5694407,-0.8009951644000001,0.0760532049
SRX5694408,-1.9294648767,0.0520037584
SRX5694409,-1.4753682242,-0.0655653623
SRX5694410,-0.4502944337,1.5679871246000001
SRX5694411,-3.2890184854,0.245604595
SRX5694412,-3.6793162212,0.3722676616
SRX5694413,-0.8959076141000001,1.3668967931
SRX5694414,-4.1374288999,0.2720448583
SRX5694415,-0.7752632439,0.35148037930000003
SRX5694416,0.2639923692,-0.1224246742
SRX5694417,0.0318357477,0.6942297686000001
SRX5694418,-2.0514445432,-0.018163912600000002
SRX5694419,-0.9852254463000001,-0.6644419228
SRX5694420,0.8718786361,0.0224810038
SRX5694421,-3.2603657627000002,-0.13211430570000002
SRX5694422,-1.0930640191,0.5959873429
SRX5694423,-1.9702640111,-0.11172140800000001
SRX5694424,-0.171942734,-0.0485226667
SRX5694425,-0.8462780335000001,0.6583367789
SRX5694426,-1.7072943932,0.014076712000000002
SRX5694427,-0.1932045829,0.0037722519
SRX5694428,-0.7216149550000001,0.8503323787
SRX5694429,-2.6205605612,0.065041547
SRX5694430,0.3199830618,0.2650919239
SRX5694431,-2.1317544877,0.6542792861000001
SRX5694432,-1.4938638949,0.1830482467
SRX5694433,-0.5681539409,1.309509501
SRX5694434,0.9600415683,0.025603130300000002
SRX5694435,-1.6097815912,-0.5667330539000001
SRX5694436,-1.788619008,-0.1167415036
SRX5694437,-3.8135145266,1.0043362311
SRX5694438,-0.3413699723,0.3573652395
SRX5694439,0.4692754588,0.0491137611
SRX5694440,0.5222627337,0.7136323096
SRX5694441,0.2972537756,0.49124046520000003
SRX5694442,-2.5470906838,-0.1776472617
SRX5694443,1.7359608446,0.1203394014
SRX5694444,-2.0292759401,0.5464989562
SRX5694445,0.6190398049,-0.3332144837
SRX5694446,1.5809574121,0.5068711812
SRX5694447,3.0377310284,0.5044298082
SRX5694448,-3.8098268462,1.7335421085
SRX5694449,-0.2598412472,0.1816284735
SRX5694450,0.5990713,0.5657694921
SRX5694451,4.3028496027,0.0826401606
SRX5694452,-2.8459338880000002,-0.1840936303
SRX5694453,0.038557751,1.331956183
SRX5694454,0.2614819756,0.7849183648
SRX5694455,-1.3790451732,-0.6913532341
SRX5694456,-0.8464431203,0.522222733
SRX5694457,-0.4640911723,0.452443146
SRX5694459,1.2193192389,0.6867453649
SRX5694460,-0.9791610752000001,-0.3132446535
SRX5694461,-0.5136311879000001,0.2254458657
SRX5694462,-1.4553774877,0.1626749766
SRX5694463,3.3474232513,0.4174117141
SRX5694464,-0.15292994840000002,0.2553306354
SRX5694465,3.9759110402,0.1191090056
SRX5694466,-4.8033246585,0.572887943
SRX5694467,-2.5557149914,0.2413393563
SRX5694468,-0.4242804832,-1.279298284
SRX5694469,-0.8061358879,0.2983603631
SRX5694470,0.008687273,-0.0073403223
SRX5694471,-1.7936901594,0.1805855089
SRX5694472,-1.922580356,0.1546295476
SRX5694474,3.0888956778,-0.0675901896
SRX5694475,4.1014162413,0.2674816518
SRX5694476,-1.1610622294,0.7238910025
SRX5694477,-0.2493364167,-0.2974565288
SRX5694478,2.4890657741,0.4169401043
SRX5694479,-1.7456088903,-0.6787149323
SRX5694480,-1.3229294776,-0.8891469509000001
SRX5694481,2.1971534127,0.3110710304
SRX5694482,-0.9166386476,0.2982337802
SRX5694483,1.880168442,0.195054197
SRX5694484,-2.3179877256,-0.0358773718
SRX5694485,-2.7733121482,1.5570650109000002
SRX5694486,1.1472886014,0.3603399329
SRX5694487,0.5465998027,0.2563986118
SRX5694488,-2.5114924847999998,0.4890009878
SRX5694489,-2.6394434853,0.2419019131
SRX5694491,0.38058745450000003,-0.2087597689
SRX5694492,-1.2844018483,0.19689376520000001
SRX5694493,-4.2470468642,-0.5094430080000001
SRX5694494,1.2143339589,0.1600284129
SRX5694495,-0.3491786375,0.7854811777
SRX5694496,1.3765879708,0.408114864
SRX5694497,2.0336202619,-0.22225925740000002
SRX5694498,-0.917891942,0.3908116767
SRX5694499,-4.5937046607,1.5236148465000001
SRX5694500,-2.0394830351,0.0752444555
SRX5694501,1.0063159515,0.09705425250000001
SRX5694502,-3.4711805967,1.5121964594000001
SRX5694503,-2.75226036,0.9638417502000001
SRX5694504,0.9270918423000001,0.4543483547
SRX5694505,-1.2573980665,-0.3829537028
SRX5694506,-4.5575731555,1.8269029803999999
SRX5694507,1.9075177947,0.4391088858
SRX5694508,-1.792906321,-0.2384796774
SRX5694509,0.7406408794,-0.06551133690000001
SRX5694510,1.6844019928,0.0647783054
SRX5694511,-1.2711032894,0.5855224391
SRX5694512,-0.0104547391,-0.4353337635
SRX5694513,-2.1730654589,-0.7599708215000001
SRX5694514,-0.9404681935,-0.3791241688
SRX5694515,-3.2724429909,1.8652685028
SRX5694516,-1.7277892644000001,0.1445414488
SRX5694517,-1.1870731971,0.2137166238
SRX5694518,1.6887536388000002,0.1628329134
SRX5694519,-2.7936596514,-0.18080403690000002
SRX5694520,-4.8000545981,1.9794349218
SRX5694521,-2.1569438484,0.5303229961
SRX5694522,-1.1644874444,0.5551437909
SRX5694523,-1.7393447734,0.38080797590000004
SRX5694524,-2.5166266177,-0.0434101916
SRX5694525,0.009355241700000001,0.5534205238000001
SRX5694526,-1.1352690683,0.21972866740000002
SRX5694527,-1.2765522316,0.3071487404
SRX5694528,-1.0364360446,-1.1158455408
SRX5694529,-2.5299907396,1.1342015368
SRX5694530,2.24982986,1.4189476348
SRX5694532,4.124070214,-0.5236693856
SRX5694533,-3.9048057988,2.0048202441
SRX5694534,-3.2413651123,0.07925483500000001
SRX5694535,-1.4770762425,1.8280347883
SRX5694536,-2.6135784206,0.5626886789000001
SRX5694537,0.8806592319000001,0.1669318479
SRX5694538,1.2377942206,0.1690329844
SRX5694539,2.5224942289,0.5593729602
SRX5694540,4.8829348843,-0.5517792923
SRX5694541,-1.445361223,0.0825676506
SRX5694543,-0.3582983562,-0.2465803026
SRX5694544,1.3515488791,-0.0049597037
SRX5694545,0.40824342820000004,0.43848903910000003
SRX5694546,0.082287567,-0.0165842343
SRX5694547,-1.8732063269,0.4286189822
SRX5694548,-0.2726796422,0.1297649965
SRX5694550,-1.3369580940999999,0.2103179339
SRX5694551,-1.2101137702,1.934991633
SRX5694552,-1.613815483,0.413864347
SRX5694553,0.20737406690000001,0.24281222330000002
SRX5694554,-1.2085153783,-0.1521037403
SRX5694555,-1.5463016218,0.5465621557
SRX6072760,-2.9596096494,-0.2188229768
SRX6072761,-1.7771947505,-0.0149956787
SRX6072762,-3.1844248928,-0.2967102929
SRX6072763,-2.2934414875,0.1103898694
SRX6072764,-3.7948569612,-0.46789921830000003
SRX6072765,-3.5000815315000002,-0.0023692837
SRX6376491,1.9130596777000002,0.6638352748
SRX6376492,-1.197083646,-0.2004947077
SRX6376493,-1.1685710889,-0.1962689726
SRX6376494,-1.6829633744999999,0.0362683144
SRX6376495,0.7231147225,0.7929158535
SRX6376496,0.9020154849,0.4645451882
SRX2723951,-1.2079736331,0.6643180341
SRX2723952,-0.7895910500000001,0.4724102214
SRX2723953,-1.0240643312,0.17820178990000002
SRX2723954,-1.25747532,0.9171479093
SRX2723955,-0.966852586,0.3450586107
SRX2723956,-1.0235765965,0.36692246170000004
SRX2723957,-0.3668490641,0.39675334560000003
SRX2723958,-0.4137336459,-0.2582178216
SRX2723959,-0.57040946,0.0935063356
SRX2723960,-1.088810754,0.9109471876
SRX2723961,-1.6628705655,1.0351027993
SRX2723962,-2.2810249136,0.1483852082
SRX2723963,-0.4715895021,0.214291849
SRX2723964,-1.2761832552999999,0.2631403215
SRX2723965,-0.7727929391,0.298261645
SRX2723966,0.0489637568,-0.025726421200000002
SRX2723967,-0.2533449028,-0.013878064800000001
SRX2723968,0.204381146,0.0396044859
SRX6977206,0.3575328057,-0.7501642165
SRX6977207,0.5662141848000001,-0.41151707270000004
SRX6977208,-1.6445341097,0.7255424060000001
SRX6977209,-1.2203355816,0.7329903652
SRX6977210,-1.5402766840000002,0.8050710751
SRX6977211,0.0505374559,-0.2009661916
SRX6977212,0.056733332500000004,0.0656258425
SRX6977213,-0.1072707884,0.1353403491
SRX6977214,0.07946006130000001,-0.47409423650000004
SRX1153733,0.25357787660000003,0.10380648120000001
SRX1153734,-0.25357787660000003,-0.10380648120000001
SRX1153735,1.1099898721,-0.0806516711
SRX1153736,0.5006587017,-0.31507021500000004
SRX5204053,-1.5913780898,-0.3091754798
SRX5204054,-1.4795416288,-0.0888400983
SRX5204055,-1.6394507183,-0.2758200662
SRX5204056,-2.6631137445,0.6149861913
SRX5204057,-2.5338273027,0.421902912
SRX5204058,-3.1225113487,0.3846105473
SRX5204059,-1.3365800361,0.22478912080000002
SRX5204060,-0.6908450053,0.0972226769
SRX5204061,-2.1029045003,-0.1381976482
SRX5204062,-1.0690307797,-0.1274562534
SRX5204063,0.061281343700000004,-0.4372778832
SRX5204064,-1.2773785457,0.0449458563
SRX5204065,-4.4056033592,0.40511391
SRX5204066,-4.2355013958,0.32043302020000003
SRX5204067,-3.5724229812,0.28441879870000003
SRX5204068,-1.4931524885,-0.063589065
SRX5204069,-1.8686585753,-0.0426289225
SRX5204070,-2.0656159179,-0.1628878383
SRX5204071,-2.589062611,0.3458992382
SRX5204072,-3.2782105077,0.1027955983
SRX5204073,-2.3715800205,0.23689739840000001
SRX5204074,-2.2292874917,-0.0462014334
SRX5204075,-1.9574202786,-0.3246942841
SRX5204076,-1.6311001793000002,-0.1144974035
SRX5204077,-0.6199811826,-0.0081700541
SRX5204078,-0.9762783626,0.11705398500000001
SRX5204079,-1.3639366661,-0.0355700163
SRX5204080,-1.9587185094000001,0.4437163839
SRX5204081,-2.3298089372,0.1550178258
SRX5204082,-1.4110946244,0.08833130460000001
SRX5204083,-1.6965056088,-0.20410107500000002
SRX5204084,-2.1165638802,0.0766963334
SRX5204085,-0.15210794,-0.0619113601
SRX5204086,-1.9163814705000002,-0.1117739038
SRX5204087,-2.3858630312,-0.1646955246
SRX5204088,-0.22279449240000002,0.0041898832
SRX5204089,0.3118273373,-0.1475213274
SRX5204090,-1.0557823322,-0.0461960788
SRX5204091,-1.6729342149000002,-0.1357317975
SRX5204092,-0.6724740726,-0.0384346691
SRX5204093,-0.48056142220000003,-0.0836237133
SRX5204094,-0.8874193029,-0.14895981390000002
SRX5204095,0.1215410722,0.1083739444
SRX5204096,-0.6116037608,-0.16637535520000002
SRX5204097,0.4900626885,0.0580014107
SRX683459,0.16700590170000001,0.5235537855
SRX683460,0.7652826665,0.5940149342000001
SRX683461,0.1064332786,-0.5963969086
SRX683462,0.5016133429,1.5315420727
SRX683463,-0.27343918030000003,0.07284312300000001
SRX683464,2.4889524451,1.0512163215
SRX683465,2.7073032501,0.9612444357000001
SRX683466,1.49210562,-0.2529901683
SRX683467,1.4891110914,0.2661731046
SRX683468,3.5033376831,0.1405284422
SRX683469,2.167151061,0.0737965678
SRX683470,3.9027775802,0.5467444182
SRX322077,0.6016570983,0.07672885060000001
SRX322078,-0.405010079,0.15762054
SRX322079,0.3876225042,0.1968156989
SRX322080,-3.0074382261,0.3653584387
SRX322081,-2.2340047674,0.0025449096
SRX322082,-0.5628445233,0.2616610339
SRX322083,-0.1029442113,0.3675580596
SRX322084,0.2262165854,-0.08158164500000001
SRX322085,-0.1232723741,-0.2859764145
SRX2708592,-2.4585970772,0.8560035679
SRX2708593,-1.7639570197,0.936766191
SRX2708594,-1.6928253137,0.5093518037
SRX2708595,0.540005342,-0.32268751560000003
SRX2708596,-0.6447094346000001,0.1132485104
SRX2708597,0.1047040926,0.2094390052
SRX2708598,0.2945812508,0.5215928904
SRX2708600,0.0396511894,0.0651108052
SRX2708601,0.7596979238,0.017571748300000002
SRX2708602,0.8985571480000001,0.0867883274
SRX2708603,-0.2573510435,0.054177528700000005
SRX3073814,0.4901229674,-0.3672886602
SRX3073815,-0.10253025190000001,-1.3680836477
SRX3073816,-0.7610784188,-2.2265248656
SRX3073817,-0.16449109280000002,-3.672757041
SRX3073818,-0.2763894061,-2.7082063154
SRX3073819,-2.1200119318,0.3109882198
SRX3073820,-1.5549502222,-1.9981593415
SRX3073821,-0.725697331,-3.054960168
SRX3073822,-1.0880597254,-3.4137750134
SRX3073823,-2.1420372924,-3.5993209221
SRX3073824,-0.4901229674,0.3672886602
SRX3073825,-0.0758609187,-1.361928397
SRX3073826,-0.9312248630000001,-2.3255427867
SRX3073827,-0.3810809651,-2.6865874173
SRX3073828,0.9399257033,-3.0904058876
SRX3073829,-2.0389608644,-0.15973642500000002
SRX3073830,-0.5514030418,-2.0674226706
SRX3073831,-0.34880067000000003,-2.4191515552
SRX3073832,0.0715785273,-3.3719159562
SRX3073833,-0.7093921557,-2.1733450219
SRX2391456,-0.0498498844,0.0888773285
SRX2391457,-0.1278109845,-0.241159164
SRX2391458,-0.0431898303,0.057287194900000005
SRX2391459,0.5610770758,0.028806256800000003
SRX2391460,0.8634396829000001,0.1057950896
SRX2391461,0.8995383259,0.057383041600000004
SRX2391462,0.6987548386,0.1446825911
SRX2391463,0.862634707,0.1958008319
SRX2391464,0.7181024073000001,0.2843761731
SRX2391465,0.1391723819,0.0105315713
SRX2391466,0.3367823011,0.1062207825
SRX2391467,0.0262268009,0.023439245600000002
SRX2391468,0.1034099505,-0.0975291315
SRX2391469,-0.1556493642,-0.09334649090000001
SRX2391470,-0.08424661180000001,-0.3729091675
SRX2391471,-0.06932361270000001,-0.5545917914
SRX2391472,0.47347402120000004,-0.36427108750000003
SRX2391473,0.1801804623,-0.1983170699
SRX2391474,0.4157960721,-0.0774033778
SRX2391475,0.8328800879,-0.3795479827
SRX2391476,1.0224807685,-0.28126209950000003
SRX2391477,0.8078313019000001,-0.1573822684
SRX2391478,0.9087045318,0.0348626835
SRX2391479,1.0930581598,-0.0751734119
SRX2391480,0.6744498107,-0.0871273526
SRX2391481,0.5748892307,0.0305114325
SRX2391482,0.4103393657,-0.1394558095
SRX2391483,0.4150339791,0.0177663653
SRX2391484,0.4431241714,-0.1790094548
SRX2391485,0.3127760539,-0.1245229103
SRX2391486,0.3903091517,-0.0042127117
SRX2391487,0.6881237693000001,0.0049536227
SRX2391488,0.7920343217,-0.07887217960000001
SRX2391489,0.9822401984,-0.033783658700000004
SRX2391490,0.8145768825,0.0975332835
SRX2391491,0.9409370165000001,0.18027438810000002
SRX2391492,0.8967167210000001,0.2722555051
SRX2391493,0.9973323139,0.1048804145
SRX2391494,0.4334724213,-0.049560556900000004
SRX2391495,-0.0262268009,-0.023439245600000002
SRX2391496,0.3856389065,-0.1330307829
SRX2391497,0.0365605591,0.052086496
SRX2391498,0.6240354575,-0.4760404976
SRX2391499,0.6196222170000001,-0.39962452200000004
SRX2391500,1.037163793,-0.3969406662
SRX2391501,0.2403278986,-0.2015498122
SRX2391502,0.4181703013,-0.18133479090000001
SRX2391503,1.6698183736,-0.2482906107
SRX2391505,1.802941998,-0.1827790961
SRX2391506,1.1727339518,-0.06260932550000001
SRX2391507,0.7687272844,0.0721449489
SRX2391508,1.0773368312,-0.3068933505
SRX2391510,0.5946449725,-0.22458215410000001
SRX2391512,0.5050583573,-0.3945451574
SRX2391513,0.21402399130000002,-0.1565465593
SRX2391514,0.4019149742,-0.0102602031
SRX5632598,1.0087487731,0.3548150781
SRX5632599,0.3686105297,0.3647933674
SRX5632600,-0.3956275899,-0.1648572697
SRX5632601,1.6249033236,0.1704634638
SRX5632602,6.1633746273,0.3407990455
SRX5632603,1.2605217781,0.5351491912
SRX5632604,4.8429334138,0.5649747964
SRX5632605,5.6868364803,0.3652280103
SRX5632606,1.3196533881999999,0.26447977710000004
SRX5632607,0.6184887748,0.13160615920000002
SRX5632608,-0.3303410934,-0.0111893277
SRX5632609,-0.1110088551,0.0650298049
SRX5632610,1.879088864,0.33333408880000004
SRX5632611,0.44134994850000003,-0.0538404772
SRX5632612,-0.1291834948,0.0372438847
SRX5632613,0.4461132156,0.3073007118
SRX5632614,1.3050643397,-0.0432909882
SRX5632615,2.5483731034,0.31072212660000004
ERX2874132,0.14589959300000002,0.39556632700000005
ERX2874133,0.9309803218,0.6903561544
ERX2874134,1.6265846229,1.3188795415
ERX2874135,1.8778976605,1.3662896815
ERX2874136,2.1514778445,1.2870728896
ERX2874137,2.5760020064,0.9951331917
ERX2874138,0.1981195489,0.5499286826
ERX2874139,0.5909703755,0.6673458560000001
ERX2874140,-0.069158856,-0.1493786436
ERX2874141,0.069158856,0.1493786436
ERX2874142,0.7267580570000001,1.3365244843
ERX2874143,0.4248871481,1.5419060823000001
ERX2874144,0.4321694904,0.6524313996000001
ERX2874145,0.8137749995,0.5285248423
ERX2874146,0.41745895400000005,0.3493453963
ERX2874147,0.8787060354,0.6046713703000001
SRX1300292,-0.07019184590000001,0.2236876042
SRX1300293,0.07019184590000001,-0.2236876042
SRX1300299,0.1538172374,0.0844384603
SRX1300300,-0.9129983506,-0.5870700823
SRX1300304,-0.0773223588,-0.8263540054
SRX1300305,0.1930651857,-0.1710754049
SRX1300306,0.4253257351,-0.1785037696
SRX1300310,-0.5415236903,-0.7246680028
SRX1300311,-0.4273995269,-0.10485608040000001
SRX7291195,-0.9512533951000001,-0.1881326746
SRX7291196,-0.8541634271,-0.2185755046
SRX7291197,-0.7700973397,-0.2449794699
SRX7291198,0.1866936144,0.0230589908
SRX7291199,-0.0441837666,0.0205333819
SRX7291200,-0.1425098478,-0.0435923726
SRX7291201,-1.120275458,-0.28044211010000003
SRX7291202,-1.0437898627,-0.23790453790000002
SRX7291203,-1.2242734229,-0.2106982977
SRX7291204,0.0528737856,0.12348276650000001
SRX7291205,-0.049980613900000005,0.12535496940000002
SRX7291206,0.24004549400000003,0.0091182536
SRX2436955,-0.2013059797,0.1810361957
SRX2436956,2.7187801939,0.7520853576000001
SRX2436957,3.2325640942,0.5286248100000001
SRX2436958,0.7448335153000001,0.6369424167000001
SRX2436959,-0.5754522941,0.1366961009
SRX2436960,0.3246760139,0.7845555093000001
SRX2436961,-0.0566473751,0.6280154763
SRX2436962,1.9424385810000002,0.33111361040000004
SRX2436963,0.2674321465,0.3089156795
SRX2436964,2.5883506448,0.1169282972
SRX2436965,0.968925193,-0.052335626600000004
SRX2436966,0.7762067643,0.7727137961
SRX2436967,-0.3388008498,0.4402026737
SRX2436969,0.6632497085,0.7385769336
SRX2436970,0.522325205,0.9141307992000001
SRX2436971,-0.09068429900000001,0.6168735708
SRX2437029,1.2220631843,0.5553649974
SRX2437030,-0.22115486750000002,0.1234621707
SRX2437031,-0.47242955700000006,-0.25634156080000003
SRX2437032,0.1794401666,0.1268014392
SRX2437033,-0.030308421500000002,-0.4111357135
SRX2437034,0.5430613831000001,-0.11564787750000001
SRX2437035,1.3780348777,0.38228946950000003
SRX2437036,1.3154070424,0.36661422060000004
SRX2437037,2.8784226961,0.4206490278
SRX2437038,1.0484289603999999,0.7218424509
SRX2437039,-0.5272243482,-0.2915883998
SRX2437040,1.2350534496,0.3463266222
SRX2437041,0.0171758402,-0.0614836219
SRX2437042,0.09167254150000001,-0.3612594381
SRX2437043,2.6112404249,0.38165356180000004
SRX2437044,0.40362005770000003,0.009334958800000001
SRX4705203,-1.6941568711000001,-0.2553389149
SRX4705204,-0.6103549816,-0.3290530326
SRX4705205,-1.0816856951,-0.2416120078
SRX4705206,-1.4343587649,-0.45053574
SRX4705207,-2.2720158632,-0.1158331678
SRX4705208,-1.5253627243999999,0.2165349075
SRX4705209,-2.2731086516,0.1607489038
SRX4705210,-1.4338623848,0.2309926254
SRX4705211,-1.962322954,0.2289053436
SRX4705212,-1.90166512,0.4126294991
SRX4705213,-0.345966592,0.1992489383
SRX4705214,0.0880981826,0.0300757434
SRX4705215,-0.0963527663,-0.1809865837
SRX4705216,0.08318268320000001,0.0932010171
SRX4705217,0.1845799418,-0.0911120279
SRX4705218,0.0864585507,-0.050427087200000005
SRX4705219,-1.3112163464,-0.162036964
SRX4705220,-1.7564932387,0.0326897562
SRX4705221,-0.2535025332,-0.16184045800000002
SRX4705222,-1.403947392,-0.142794835
SRX4705223,-1.3456798544,-0.0640556064
