,A,PurR
minspan__wt_glc__2,-0.45714947910000003,8.2572171678
minspan__wt_glc__3,-0.2643328836,8.3053119053
minspan__wt_glc__4,-0.3740496424,8.2392376683
minspan__wt_glc_anaero__1,-9.4577541458,8.3864847902
minspan__wt_glc_anaero__2,-10.0998416385,8.3461943962
minspan__wt_trp__1,-7.6287222001,6.4881950706
minspan__bw_delcra_glc__1,-7.2461129651,7.6611714593
minspan__bw_delcra_glc__2,-7.0854101253,7.6897081416
minspan__bw_delcra_trp__1,-12.0414438504,8.0511525235
minspan__bw_delmntr__1,-5.6566379221,7.2285573376
minspan__bw_delnac_ade__1,-5.5745249072,6.59981592
minspan__bw_delnac_glc__1,-2.4546901482,8.4472416536
cra_crp__wt_ac__1,-4.2106219951,7.9358653148
cra_crp__wt_ac__2,-4.0429450345,8.0551013092
cra_crp__wt_fru__1,-2.1331711079,7.8537974717
cra_crp__wt_fru__2,-2.0506894992,7.9253655689
cra_crp__delcra_ac__1,-8.9494720682,8.552593219
cra_crp__delcra_ac__2,-9.4225000855,8.6197754063
cra_crp__delcra_fru__1,-0.2979827729,8.4610267155
cra_crp__delcra_fru__2,-0.0570407868,8.4086639502
cra_crp__delcra_glc__1,0.0704946483,8.5416858591
cra_crp__delcra_glc__2,0.4597117471,8.4939988028
rpoB__wt_031__1,-2.2510602091,7.8531661784
rpoB__wt_044__1,0.803084734,8.238901877
rpoB__wt_lb__1,-18.9016378754,6.4637099339
rpoB__wt_lb__2,-18.7011189957,6.7807420023
rpoB__rpoBE546V_031__1,-2.3982855408,8.507821206300001
rpoB__rpoBE546V_044__1,-1.8208293786,8.3562693955
rpoB__rpoBE546V_lb__1,-19.914564708,7.594157921
rpoB__rpoBE546V_lb__2,-20.2459310502,7.6593369918
rpoB__rpoBE546V_glc__1,-1.9737055113,8.5316436523
rpoB__rpoBE672K_glc__1,-2.0330818456,8.5941836991
rpoB__rpoBE672K_glc__2,-1.8904878232,8.6087103904
rpoB__rpoBE672K_lb__1,-15.2991262134,7.9456350928
rpoB__rpoBE672K_lb__2,-14.9967427616,7.9940666187
crp__wt_fru__1,0.2625530788,8.4218248323
crp__wt_glyc__1,-1.6778347925000001,8.6651888042
crp__wt_glyc__2,-1.5700469971,8.616386899
crp__delar1_glyc__1,-2.5024817904,6.5035897173
crp__delar1_glyc__2,-4.6549776294,6.1209241845
crp__delar1ar2_glyc__1,-1.320695449,8.5325695064
crp__delar1ar2_glyc__2,-0.9269693211000001,8.5107588452
crp__delar1ar2_glyc__3,-1.8983602708,8.5902538793
crp__delar2_glyc__1,-5.5305963776,8.2226126529
crp__delar2_glyc__2,-4.5955991594,8.1438294213
crp__delar2_glyc__3,-5.0810016777,8.2240436877
crp__delcrp_fru__1,-2.690274188,8.4348401399
crp__delcrp_fru__2,-2.7266654712,8.2840796514
crp__delcrp_fru__3,-2.7818711581,8.2206638709
crp__delcrp_glc__1,-2.5683536532,8.4547241155
crp__delcrp_glc__2,-2.0757476982,8.5664896544
crp__delcrp_glc__3,-2.1639657307,8.4122072431
crp__delcrp_glyc__1,-2.7354297579,8.3470880841
crp__delcrp_glyc__2,-3.3792180733,8.2729109294
crp__delcrp_glyc__3,-3.7598419459,8.1891726253
glu__glu_ale3__1,-10.1874325367,7.7075528529
glu__glu_ale4__1,-7.1500381123,8.9065321396
glu__glu_ale5__1,-7.5180959052,8.5935166672
glu__glu_ale6__1,-1.1032277086,8.5394343393
glu__glu_ale8__1,-10.116362176,7.3135085672999995
glu__glu_ale9__1,-4.8810069237,7.9329210057
glu__glu_ale10__1,-7.2730802961,8.0198123477
42c__wt_42c__1,-1.3359998413,8.8555986828
42c__42c_ale1__1,-13.6463519926,6.5108150986
42c__42c_ale2__1,-7.0223026188,8.660082536800001
42c__42c_ale3__1,-7.7463995802,9.1062027509
42c__42c_ale4__1,-7.3932519182,7.2447034358
42c__42c_ale5__1,-10.6873559402,8.9000810562
42c__42c_ale6__1,-9.3879992136,7.263132766
42c__42c_ale8__1,-6.8760088816,6.623557681
42c__42c_ale9__1,-8.9426005773,8.6603495373
42c__42c_ale10__1,-11.3711731914,7.1190034624
ssw__wt_ac__1,-17.8369337098,8.2478414674
ssw__wt_glc__1,-4.6150270559,8.3685470907
ssw__wt_glyc__1,-18.0424813313,7.0551791335
ssw__wt_xyl__1,-17.912173654,7.7056564388
ssw__glc_ale1__1,-18.3664167299,8.753240164
ssw__glc_ale2__1,-14.217309655,8.6770124161
ssw__glc_ale3__1,-15.221088568,8.2912564251
ssw__glyc_ale1__1,-9.9012417397,8.4124800145
ssw__glyc_ale2__1,-8.8162059666,8.3527656558
ssw__xyl_ale1__1,-15.1457703471,8.5372564144
ssw__xyl_ale2__1,-11.0813685776,8.6903829018
ssw__xyl_ale3__1,-10.2504874458,8.3444748519
ssw__glc_ac_ac2__1,-9.2430309647,7.7290747281000005
ssw__glc_ac_glc1__1,-11.8759747935,8.1367266268
ssw__glc_ac_glc2__1,-16.2453414316,6.002034616
ssw__glc_glyc_glc__1,-11.7831084074,7.8334175096
ssw__glc_glyc_glyc__1,-8.9449528088,8.1923077757
ssw__glc_xyl_glc__1,-3.0933647544,8.3910065692
ssw__glc_xyl_xyl__1,-6.8042450657,8.6172595544
pgi__glu4_delpgi__1,-15.0142535184,8.5863043891
pgi__pgi_ale1__1,-9.0913393809,8.8743031339
pgi__pgi_ale2__1,-14.8510207792,8.668605746
pgi__pgi_ale3__1,-8.293266679,8.7216124663
pgi__pgi_ale5__1,-8.3491021013,8.8423305647
pgi__pgi_ale6__1,-8.8449813414,8.7979989776
pgi__pgi_ale7__1,-7.8971683885,8.8627058881
pgi__pgi_ale8__1,-7.6556369438,8.8417685026
ica__wt_glc__1,-5.4861080258,8.6216617582
ica__wt_glc__2,-5.4734843558,8.6454856488
ica__wt_glc__3,-5.1970562037,8.8226752359
ica__wt_glc__4,-6.0929983428,8.7703825555
ica__arg_sbt__1,-8.3434496398,7.9733054582000005
ica__arg_sbt__2,-8.4332808291,8.1853725718
ica__cytd_rib__1,-23.7854606633,7.4495879721
ica__cytd_rib__2,-23.1295240763,7.3973410536
ica__gth__1,-19.6210534629,8.9765583437
ica__gth__2,-19.0609851568,8.920834298
ica__leu_glcr__1,-8.6719083076,8.6714096465
ica__leu_glcr__2,-8.1273971088,8.5745985951
ica__met_glc__1,-4.0523264634,8.7157700882
ica__met_glc__2,-3.7721633901000002,8.7284180261
ica__no3_anaero__1,-9.5034712499,8.4434145457
ica__no3_anaero__2,-9.481850078,8.5071499216
ica__phe_acgam__1,-6.4243110808,9.0936312315
ica__phe_acgam__2,-6.8085545584,9.1145158769
ica__thm_gal__1,-10.1605263686,7.4408582161
ica__thm_gal__2,-10.7795157952,7.5923736921
ica__tyr_glcn__1,-5.3290731158,8.5458309044
ica__tyr_glcn__2,-5.6975103215,8.5740668199
ica__ura_pyr__1,-8.8083515754,8.5539325824
ica__ura_pyr__2,-14.047306981,8.6316721634
ica__wt_glc__5,-8.2827108912,8.875577644
ica__wt_glc__6,-8.2534601612,8.9496604166
ica__bw_delpurR_cytd__1,-16.6173196096,0.8895091249
ica__bw_delpurR_cytd__2,-16.3590471072,0.9205474973000001
ica__ade_glc__1,-8.0827578539,8.0987124311
ica__ade_glc__2,-8.240341912,8.0022232561
ytf__wt_glc__1,-0.8480113582000001,7.9428823775
ytf__wt_glc__2,-0.9474888090000001,7.7707894779
ytf__delyafC__1,-11.7157034339,7.3310015779
ytf__delyafC__2,-11.3154570632,7.235325143
ytf__delyeiE__1,-6.7994537527,8.7651390651
ytf__delyeiE__2,-4.5710498619,8.7494060535
ytf__delyiaJ__1,-7.8515945005,7.1092730497
ytf__delyiaJ__2,-9.1188201422,7.1450115935
ytf__delyieP__1,-3.9470337541,7.3368593955
ytf__delyieP__2,-7.5602714234,7.3309677431
ytf__wt_ph5__1,-1.2970720491,8.3961177325
ytf__wt_ph5__2,-1.1330918523,8.4837863672
ytf__wt_ph8__1,-2.9122819877,8.6818340731
ytf__wt_ph8__2,-2.760530858,8.8923456177
ytf__delybaO__1,-7.6392920928,7.1545173606
ytf__delybaO__2,-7.883810637,7.2930076431
ytf__delybaQ__1,-2.1934926971,8.766335572300001
ytf__delybaQ__2,-1.6117053677,8.8345167927
ytf__delybiH__1,-1.5918585154,7.1714866472
ytf__delybiH__2,-6.2346612291,6.4415867915
ytf__delydcI_ph5__1,-0.3992509172,8.4952754929
ytf__delydcI_ph5__2,-0.583144054,8.3285295608
ytf__delydcI_ph8__1,-3.9519082493,8.7418366162
ytf__delydcI_ph8__2,-1.8315485149000001,8.7611575055
ytf__delyddM__1,-4.2042904949,8.6378316272
ytf__delyddM__2,-4.1372990435,8.6719250963
ytf__delyheO__1,-9.4263999204,7.0617450583
ytf__delyheO__2,-8.9958836615,7.2052937627
fps__bw_glc__1,-1.5338422432,8.869295938
fps__bw_glc__2,-1.2229173858,8.8994565947
fps__fps_thrA_ale1__1,-4.613697612,9.1135666013
fps__fps_thrA_ale1__2,-3.9935620498,9.0067489474
fps__fps_thrA_ale2__1,-4.0546358565,9.0007734275
fps__fps_thrA_ale2__2,-3.900539894,9.0461043737
fps__fps_serB_ale1__1,-4.4143943059,8.7315972412
fps__fps_serB_ale1__2,-3.5061843481,8.7429102449
fps__fps_serB_ale4__1,-7.4836216822,8.3474012459
fps__fps_serB_ale4__2,-6.927210978,8.20584215
fps__fps_ptsI_ale1__1,-8.2930627843,8.798085821
fps__fps_ptsI_ale1__2,-8.0301385266,8.6399668808
fps__fps_ptsI_ale3__1,-3.985394793,8.6811177223
fps__fps_ptsI_ale3__2,-4.160438531,8.6092902322
pal__lyx_ale2_f6__1,-7.8364534035,8.3845781102
pal__lyx_ale2__1,-9.2129628569,8.5588582828
pal__lyx_ale2__2,-9.3475569607,8.4715670176
pal__lyx_ale4__1,-9.2129628569,8.5588582828
pal__lyx_ale4__2,-9.3475569607,8.4715670176
pal__5drib_ale10_f18__1,-11.049401361,8.3225091614
pal__5drib_ale10_f18__2,-11.1213604116,8.3509937159
pal__5drib_ale10__1,-15.3156180491,8.4940003193
pal__arab_ale14_f9__1,-3.39860742,8.4039370276
pal__arab_ale14_f9__2,-4.0434388274,8.3055035402
pal__arab_ale14__1,-9.3310030523,8.4499972616
pal__arab_ale14__2,-9.3606360152,8.5147877751
pal__arab_ale16__1,-4.7044229119,8.4657772869
pal__arab_ale16__2,-5.259015491,8.6252349875
pal__tartr_ale26_f10__1,-18.2821424908,8.4262858633
pal__tartr_ale26_f10__2,-22.2947736927,8.2168727416
pal__tartr_ale26__1,-14.0254105341,8.3868533996
pal__tartr_ale26__2,-11.7549027978,8.2855536218
pal__tartr_ale28_f10__1,-20.3124971846,8.4290280328
pal__tartr_ale28_f10__2,-21.9735942993,8.5363195418
pal__tartr_ale28__1,-10.7632155861,8.2014165049
pal__tartr_ale28__2,-10.9022155096,8.4740962478
efeU__delmenFentC_citr__1,-0.6025459246,8.5121898888
efeU__delmenFentC_citr__2,-0.591508453,8.2005626589
efeU__delmenFentC__1,-4.8630455945,8.6329058789
efeU__delmenFentC__2,-5.5781972548,8.52398395
efeU__menFentC_ale39__1,-10.7886372871,7.4365760749
efeU__menFentC_ale39__2,-11.4493179881,7.3788725224
efeU__menFentC_ale29__1,-12.9161573658,6.6163864401
efeU__menFentC_ale29__2,-12.4999115552,6.4688715934
efeU__menFentC_ale30__1,-5.1820278845,8.7411457753
efeU__menFentC_ale30__2,-6.211924905,8.9057978754
efeU__menFentCubiC_ale36__1,-10.7085909555,8.9485302352
efeU__menFentCubiC_ale36__2,-10.8932380138,8.8755834273
efeU__menFentCubiC_ale37__1,-4.1132366863,8.728465223
efeU__menFentCubiC_ale37__2,-4.3031792955,8.8318026889
efeU__menFentCubiC_ale38__1,-1.6737088212,8.5788397427
efeU__menFentCubiC_ale38__2,-2.2744909575,8.6874294802
