,A,CsgD,RpoS,CpxR,FliZ,BtsR
acid__delgadw_ph5__1,-0.8121669954494414,0.2869455169999995,0.13294699599999935,-0.10232901400000037,0.5825865305,0.15552945849999933
acid__delgadw_ph5__2,-0.558362108443174,0.3553311849999989,0.028727889000000676,0.016478088999999585,0.8773572265,-0.1696210985000004
acid__delgade_ph5__1,-1.4230989958183935,0.7253128699999989,0.245873005,0.0034160189999994373,0.30831335650000025,-0.011485246500000379
acid__delgade_ph5__2,-1.5204475416674217,0.6722059249999992,0.3536770219999994,-0.023407665000000574,0.6903257665000001,0.18372356049999986
oxidative__wt_pq__1,1.1613581115423,0.8068567579999995,2.4493267319999994,0.16153106299999995,0.6379101804999999,-0.7754807875000003
oxidative__wt_pq__2,1.25334368561313,0.6581134889999998,2.150239471999999,0.2448777880000001,0.6319914995000002,-0.6519271775000002
oxidative__deloxyr_pq__1,0.8521962379535557,0.7623574329999991,1.9186836320000005,-0.10101905500000008,0.5573718185000001,-0.6496301435000005
oxidative__deloxyr_pq__2,1.403888858833699,0.7203367129999991,1.8757188320000004,-0.11828549100000176,0.6224436555000001,-0.6936894945000001
oxidative__delsoxr_pq__1,0.8994895061162415,1.7013806969999994,2.1746498119999997,0.1309688960000006,0.7196819015000001,-0.6605761675000004
oxidative__delsoxr_pq__2,1.2008727646291857,1.5761734129999994,2.132365622,0.16416381700000038,0.1697800475000002,-0.5743270965000011
oxidative__delsoxs_pq__1,1.5716674684160952,1.775583240999998,2.4270615719999995,0.5578435850000005,0.6189384354999999,-0.7462437495000005
oxidative__delsoxs_pq__2,1.7715116329849294,1.7157113519999996,2.475274892,0.5878657159999996,0.8666765095000001,-0.5246088725
nac_ntrc__wt_csn__1,-0.3363873102682019,1.3600962799999987,1.849426562,0.4790759760000008,0.8967490334999999,-0.7331625605000003
nac_ntrc__wt_csn__2,-0.4868057177236862,1.3659564799999986,1.8262455620000004,0.4322015300000004,0.6943545345000001,-0.6948758355000004
nac_ntrc__wt_cytd__1,-0.061106340449642,-1.4245774100000004,0.9658633820000002,0.20730917799999915,-0.17596980350000013,-0.7579426125000008
nac_ntrc__wt_cytd__2,0.5789813541897206,-1.3292896450000002,0.8995555819999996,0.15735161099999928,0.4355141155000002,-0.8039465935000001
nac_ntrc__wt_gln__1,0.5025029224947363,-0.4075208280000009,1.143877011999999,0.6617181129999992,0.9296836405,-0.808671801500001
nac_ntrc__wt_gln__2,0.8221869128669254,-0.111068029000001,1.201356272,0.5436341450000004,0.7808863245000001,-0.735601806500001
nac_ntrc__bw_delnac_csn__1,0.2940265962612078,2.007248354999998,2.1708239119999995,0.7312337370000002,0.9823133014999996,-0.05574996050000092
nac_ntrc__bw_delnac_csn__2,0.3744268323127878,1.0181110579999997,2.3634965119999998,0.8983527499999989,0.5109296264999998,-0.37756620650000094
nac_ntrc__bw_delnac_cytd__1,0.6963322139183455,-0.4111611590000006,1.560056101999999,0.36012009299999903,0.4909895845000003,-0.2824232345000004
nac_ntrc__bw_delnac_cytd__2,-0.1346523917827686,-0.5697657510000003,1.5728261719999992,0.2821744499999994,0.3315756375000003,-0.1412460985000008
nac_ntrc__bw_delnac_gln__1,0.1227351658936539,0.3130321379999996,1.4617363419999998,0.37726644600000014,1.1338019695000003,-0.6042938115000007
nac_ntrc__bw_delnac_gln__2,0.2123577927815047,0.4530896869999994,1.4067977519999992,0.4431282119999995,0.8423167795000001,-0.3686735245000001
nac_ntrc__bw_delnac_nh4__1,-0.9238844940263468,-0.4907301270000009,0.3601772620000005,-0.045097728,4.1206323985000015,0.010371337499999632
nac_ntrc__bw_delnac_nh4__2,-0.5445278041174633,-0.8451831220000008,0.3699574519999995,-0.04723138200000143,4.1800953755000005,-0.2652228265000005
misc__wt_no_te__1,-1.017951154291388,1.6426698339999994,0.924456952,0.26560557600000045,0.4729487655,-0.30688066250000023
misc__wt_no_te__2,-0.8933531762780436,0.8973421549999987,0.42003344199999937,0.2146137449999994,0.4528387015000002,-0.4729037855000007
misc__bw_delcbl__1,-1.0573599998589265,0.03076403099999947,0.244772523,-0.36555257100000027,0.33305877750000024,0.31940149949999963
misc__bw_delcbl__2,-0.923807904213604,0.06306859499999895,0.07157739500000028,-0.2906720360000001,0.4261567565000002,0.24382020949999905
misc__bw_delfabr__1,0.1294226454472747,-1.3331455070000002,-0.2551086290000004,-0.4935052310000003,5.0187083265,0.3845681684999995
misc__bw_delfabr__2,-0.00591364767562,-1.3613574350000004,-0.16277256400000084,-0.4060639290000001,5.066561258500001,0.2867119014999995
misc__bw_delfadr__1,-1.0087468494593037,-0.13224664700000055,0.10687962199999924,-0.1312389310000004,2.3434754144999994,-0.17852865050000055
misc__bw_delfadr__2,-1.395851810860162,0.01095154699999945,0.19751071299999975,-0.08853386200000024,2.6874843104999995,-0.04356737650000042
misc__nitr_031__1,-1.0875090170048514,0.9546058309999994,1.1360686920000005,0.5611967260000004,0.27166378850000017,-0.5931653355000002
omics__wt_glu__1,-0.3537783085478302,0.2119378399999992,-0.23051727,1.100875521999999,0.9750987565000004,-0.5825948125
omics__wt_glu__2,-0.2620221886436819,0.014139412999999657,0.043958795,1.237183525999999,1.1510341975000005,-0.11945458750000082
omics__wt_gly__1,-0.8746099057818865,-0.5275816800000008,-0.016657597000000024,0.8329352329999988,0.7552429835000001,-0.3997597665000008
omics__wt_gly__2,-0.5987382152902451,-0.8220901390000009,-0.015329333000000387,0.8644454469999996,0.5501307025000002,-0.5585283145000002
omics__wt_thr__1,0.4240244516803468,-1.096230363000001,-0.27653058900000005,1.4414006530000003,1.0339362845000002,-0.16470919850000065
omics__wt_thr__2,0.7894021303784676,-0.7301206100000002,-0.3382411019999996,1.424536454,1.1341204635000004,-0.3027200595000004
omics__bw_ac__1,-0.6638224827150507,-0.16482524900000062,1.014675532,0.28175522899999983,2.0972930665000002,1.6220064174999989
omics__bw_ac__2,-0.2573750415840148,-0.33159411600000066,0.9779118219999994,0.18871575600000054,2.2616698835,1.4272188124999987
omics__bw_fum__1,-0.4931580252210724,-2.083663326000001,0.7274200319999995,-0.18006717500000047,3.5078887705,1.4606617034999996
omics__bw_fum__2,-1.3649116385074629,-2.0315734190000008,0.7373106620000005,-0.03133615099999965,3.2427790975000006,1.281621134499999
omics__bw_glc__1,-2.4255919999295386,0.2839314309999992,0.3882324019999999,-0.05962031700000025,0.8449404514999999,0.12334551749999978
omics__bw_glc__2,-1.7051357768270825,0.3345697190000001,0.39518415200000057,-0.05159600200000014,0.8526082915000002,0.0979981814999995
omics__bw_pyr__1,-1.317340885311782,-1.1113217580000008,1.0398495719999996,0.06354272799999983,0.5572991685000002,1.7395990015000002
omics__bw_pyr__2,-2.276333196911834,-0.8038042800000005,1.1488143320000006,0.03154883799999908,1.0259083734999999,1.7183728515
ompr__wt_nacl__1,3.6306453524191302,-1.9859207670000003,1.6465871120000006,0.4702779589999988,1.3184003295000002,-1.1563843635000004
ompr__wt_nacl__2,3.601860239676033,-2.0451169600000005,1.759748342,0.595664833999999,0.9939089384999996,-1.6205879505000005
ompr__bw_delompr_nacl__1,4.264449801398128,-6.009046678000001,0.7287601719999994,0.25057528500000004,2.0060834594999997,-1.4762248445000004
ompr__bw_delompr_nacl__2,3.908854109376573,-6.009046678000001,0.5739272920000005,0.3172897099999989,1.7740441545000003,-1.566019568500001
minspan__wt_ade__1,1.19341218193808,-0.6233766040000006,-0.41096649500000026,-0.3030168849999999,1.2541238005000004,-0.4595413875000007
minspan__wt_glc__2,0.2272596955132044,1.1609458959999994,0.11574757800000054,-0.36628151499999984,4.3815072635000005,-0.6389207845000007
minspan__wt_glc__3,0.3875467492610657,1.2121841389999997,0.02785716100000002,-0.399056936,4.554246175499999,-0.2417250525000005
minspan__wt_glc__4,0.0942305629430185,0.9855438339999996,0.04818290200000064,-0.19743255100000034,4.5180164875000015,-0.2506862585000009
minspan__wt_glc_anaero__1,-0.2253980033611474,0.13831454599999926,-0.27702965699999993,-0.5197233610000005,5.3340936845,-0.4027397935000003
minspan__wt_glc_anaero__2,-1.0046466922616342,-0.3801165960000006,-0.08955874199999947,-0.12398103200000055,5.023899622500001,-0.4398564315000009
minspan__wt_trp__1,0.5704289986003688,-0.6607995300000002,0.016084042999999326,-0.2162847720000016,4.8530707655,1.0207633204999995
minspan__bw_delcra_glc__2,0.8193296906977205,0.42921792099999934,0.268831166,-0.001049202000000804,1.1910176015000005,0.2677688174999995
minspan__bw_delcra_trp__1,0.3932919685623042,0.2823307039999996,0.03030116299999896,-0.35165597900000023,1.3416767905000002,0.6516471904999994
minspan__bw_delmntr__1,0.94909011180061,-1.2729974850000003,0.12121000099999968,-0.23384402600000165,6.3040545975,0.8749943084999998
minspan__bw_delnac_ade__1,0.1694869582977063,0.363416419,0.08339037800000071,-0.8379328600000004,1.9550858975,0.2636337624999996
minspan__bw_delnac_glc__1,-0.3224993477588028,2.1001946329999988,0.41288737200000014,-0.5596798390000002,4.1933784014999995,-0.04713846150000034
cra_crp__wt_ac__1,0.2096698500132904,0.2539872319999992,0.34391979199999945,0.9140202239999996,2.0863480225,0.9081226344999996
cra_crp__wt_ac__2,-0.1476274986780174,0.20981448599999908,0.2228516109999994,0.8884851660000006,2.2137390515,0.7592637794999995
cra_crp__wt_fru__1,-0.6430591574426768,-0.2199848720000004,0.32115443200000016,1.1341513560000005,3.0051012785000006,0.4895837204999998
cra_crp__wt_fru__2,-0.9177609552956728,0.05216474099999946,0.2865428439999995,1.0825676909999995,2.9457264435000012,0.4599132784999993
cra_crp__delcra_ac__1,-0.6059029615408691,-0.2701729560000006,0.5809128020000003,0.2633023829999992,0.08114764450000013,2.0558524395
cra_crp__delcra_ac__2,-0.8945118939997321,-0.6776476590000007,0.6237719419999994,0.1941985639999988,0.12816781350000014,2.045469345499999
cra_crp__delcra_fru__1,-1.1556921815473646,1.452455724,0.4457110719999999,0.10536876399999963,0.4770984125000002,-0.4885821255000007
cra_crp__delcra_fru__2,-0.8588236520102392,1.3113892669999991,0.527806022,0.08491888400000036,0.9094384725000002,-0.3647369625000003
cra_crp__delcra_glc__1,-0.725897669616935,0.7493367780000009,-0.06741425999999963,-0.20316713600000025,0.6681787854999999,-0.2236883895000004
cra_crp__delcra_glc__2,-0.771777552038372,0.7735473399999986,-0.00946141200000028,0.001045006000000015,0.4221365595000002,-0.02379773750000069
rpoB__wt_031__1,0.4541242979546105,-0.415668268000001,0.4189900820000005,-0.0881102070000015,-0.0717035694999999,0.6884255334999994
rpoB__wt_044__1,-0.7307214448384726,0.33963071199999906,-0.0027066280000003213,0.18025788299999945,-0.1423367044999999,-0.5611728505000002
rpoB__wt_lb__1,-1.7954693900192158,-1.6431092340000006,0.5912388619999991,0.1812719989999998,-0.1963407324999995,0.8679233384999989
rpoB__wt_lb__2,-1.4000673586882844,-1.5937278750000008,0.5552148619999997,0.12299757899999975,-0.40409104049999994,0.9859388434999996
rpoB__rpoBE546V_031__1,0.5111084655436958,-0.3358176020000005,1.0753228020000003,-0.006805957000000973,-0.2067885734999999,-0.25185500350000023
rpoB__rpoBE546V_044__1,2.125020766510637,0.13516701399999942,1.0465195620000003,0.08366097600000089,0.18565785450000005,-0.10282893350000057
rpoB__rpoBE546V_lb__1,1.1036957342074118,-2.0616719880000005,0.6638522620000007,-0.1912389430000001,-1.1840552505,0.6989152315
rpoB__rpoBE546V_lb__2,-0.6790387467729516,-2.160692036000001,0.6135239919999993,-0.19221227700000032,-0.7583225675,0.5134001774999994
rpoB__rpoBE546V_glc__1,-1.899260346385343,-1.8740810660000005,0.12999292800000006,-0.4553603750000006,-0.5579261015000001,-0.10821354650000092
rpoB__rpoBE672K_glc__1,-2.508361715015015,-3.458976245000001,-0.9269440880000008,-1.013562137000001,-0.9710645665000001,-0.2746976275000001
rpoB__rpoBE672K_glc__2,-3.2048754528377987,-3.3453605690000017,-0.9221537669999992,-0.9952300150000006,-1.3668724365,-0.14427052150000108
rpoB__rpoBE672K_lb__1,-0.9971018981305364,-3.796281602000001,-0.9664375940000004,-1.0593134480000002,-1.9124584375,0.7063598974999987
rpoB__rpoBE672K_lb__2,0.0544007720821083,-4.108626977000002,-0.8909124800000008,-0.905674349,-1.6813022565,0.8392628874999994
crp__wt_fru__1,-0.7108114686390943,-1.3461865110000009,-0.08924797200000079,-0.3217010880000002,3.0828900655,1.2133425615000002
crp__wt_glyc__1,0.4318640717442992,-1.8486322270000004,0.382196532,-0.4651945660000001,4.1592213895,1.1866154444999992
crp__wt_glyc__2,-0.2221833924497487,-1.7542890470000003,0.29671736199999893,-0.6120343730000002,4.2036952715,1.2558234094999996
crp__delar1_glyc__1,-1.137482652765451,-0.551910211,0.457625371999999,0.4912308969999994,-0.21203657550000002,-0.5929306125
crp__delar1_glyc__2,0.1434547944387527,-0.8503923790000005,0.3320905520000004,0.6718286339999988,-0.016764282499999617,-0.4582642315000012
crp__delar1ar2_glyc__1,-1.4241756259644769,0.7058146289999998,0.19362971600000026,0.21348961300000013,0.0396532525000004,-0.9652364135000004
crp__delar1ar2_glyc__2,-2.0595677726737724,0.8588621219999997,0.33613993200000003,0.262500897999999,-0.3215081724999997,-1.1123398735000007
crp__delar1ar2_glyc__3,-1.7506156790232483,1.0959175209999987,0.2143648299999992,0.26276246699999994,0.007580906499999873,-0.9171026865000008
crp__delar2_glyc__1,-0.805588019722552,1.2332599279999992,1.187215512,0.2358484000000001,4.797669577500002,-0.06491308250000039
crp__delar2_glyc__2,-0.6620198197814466,1.3343725259999992,1.0412096020000003,0.2514501979999988,4.7755386925,-0.11518641850000046
crp__delar2_glyc__3,-0.6314881167681655,0.9316017489999996,1.0004265120000009,0.23161323200000086,4.6683172545,0.15650306349999887
crp__delcrp_fru__1,-1.5543456008866516,1.2219755099999992,1.4035451519999995,0.4703877120000009,0.3131223325000003,-0.8444706505000004
crp__delcrp_fru__2,-0.5435355331004987,0.9429565099999992,1.3121425020000004,0.5585201160000004,0.8349664615000001,-1.5259258865000005
crp__delcrp_fru__3,-0.3073570118540315,1.218921689,1.3327748219999993,0.4309364119999993,0.6571297524999999,-0.7401474195000004
crp__delcrp_glc__1,-0.8598763255825557,1.090391746999999,1.2202025120000002,0.4773843820000003,0.1476371255000002,-1.2638495925000006
crp__delcrp_glc__2,-1.4663541402650402,1.1477606189999996,1.232196922,0.4978502429999985,0.02773427649999993,-0.9971175795000008
crp__delcrp_glc__3,-1.1715168531453657,0.9847408099999989,1.218558562,0.5282161520000006,-0.13939277049999976,-1.3583613045000005
crp__delcrp_glyc__1,-2.317694986518745,1.4000046289999997,1.4730303219999996,0.39621902299999867,-0.42160214450000005,-1.2575624225000004
crp__delcrp_glyc__2,-1.8826224559623803,1.4021126030000008,1.491695502000001,0.4577779999999994,0.3144922115000002,-1.1100478935000004
crp__delcrp_glyc__3,-1.28035355553631,1.6009688759999978,1.4256353120000007,0.3608085709999997,0.4606783614999999,-1.2891182895000002
glu__glu_ale3__1,-0.3883921441374101,-3.2179243930000005,0.7930836120000002,-0.3773450460000003,2.5352766335000005,-1.5996277295000003
glu__glu_ale4__1,-0.5656237667718667,-3.4488662460000006,-0.2613450630000003,-0.6650056679999999,3.9573553185,-0.4926388605000005
glu__glu_ale5__1,0.1659104793141959,-3.2399054080000007,-0.923966688,-0.7392019890000006,5.1222717875,0.2342417214999992
glu__glu_ale6__1,-1.9740129187786304,-3.8778762820000017,-1.0723884590000008,-1.228548538,2.4543408625000005,-0.8971973705000007
glu__glu_ale8__1,-0.8985703722736048,-2.7959610610000007,0.8990942620000002,-0.07749206000000086,4.746845778500001,-0.7515890785000003
glu__glu_ale9__1,-1.7576868682611364,-3.4780452730000007,-0.267016099000001,-0.3186936100000004,2.0248335165,-0.500563539499999
glu__glu_ale10__1,-0.234079709998388,-2.9707386640000006,-0.0609958190000004,-0.5078915770000005,4.2520938505000005,-1.3820435655000003
42c__wt_42c__1,-4.572020465484159,-0.8372606980000006,-0.2815316019999994,0.04235050399999984,-0.8665179694999998,0.2558501094999999
42c__42c_ale1__1,-0.7554348444631315,-2.2694417050000006,-0.4853856130000001,-0.08140992999999952,5.8174084575,1.5124655654999994
42c__42c_ale2__1,-0.6630697861594673,-2.192958238000001,-0.28717722000000023,-0.2993300960000003,5.3387393125,-0.11911776550000043
42c__42c_ale3__1,-1.7255087350481142,-1.7507923720000005,-0.5307598339999995,-0.16394340200000102,4.9630866115000005,-0.16877623250000084
42c__42c_ale4__1,0.2824208014530305,-3.2473090570000003,-0.06679679299999998,0.379172831,3.9972084685,0.052677027499999696
42c__42c_ale5__1,-1.3227438659008448,-1.7950855790000009,-0.4238999000000003,-0.5727183949999999,4.6761670575,-0.09922526950000066
42c__42c_ale6__1,-0.0074619717674315,-5.798302105,-1.6790261920000005,0.3501597489999995,0.6404688255000002,0.01728518249999933
42c__42c_ale8__1,0.0478650540342904,-3.673409818000001,-0.6158962060000004,0.5503156459999996,0.3683441955000002,0.3179956794999992
42c__42c_ale9__1,-2.3819372365304803,-2.239743463000001,-0.5299862819999994,-0.2170998950000005,5.6739275225000005,0.4849534254999997
42c__42c_ale10__1,0.5707007230936952,-3.760223850000001,-0.5234000390000002,0.5084994829999996,4.6544471844999995,0.2982023984999991
ssw__wt_ac__1,-1.709476506368418,1.2567479240000001,1.2230336019999992,-0.10001132200000028,0.36663045149999984,0.8788910865000004
ssw__wt_glc__1,-1.092301639024144,2.260456904,-0.6345283510000002,-0.36318077100000057,3.725633443500001,-0.6717551725000002
ssw__wt_glyc__1,-0.3308069572978215,-1.843085265000001,-0.13753819100000084,-0.719950688,0.9330735595,1.2541738324999994
ssw__wt_xyl__1,-0.7376681906353528,-0.2112486140000005,0.2429983199999999,-1.174384379,-0.15999174849999998,1.0909405965000003
ssw__glc_ale1__1,-0.1108315687017411,-1.4291808860000008,0.7432752320000002,-0.6727073389999987,-0.5656171794999998,0.22689968149999906
ssw__glc_ale2__1,0.4764683699379478,-1.0852061850000003,0.426754171999999,-0.574474489,-0.8554596884999999,-0.5880107595000004
ssw__glc_ale3__1,-1.122342867934229,-2.4983948550000004,-0.5801338450000006,-0.6221487129999996,-2.1896761165000003,0.9706694364999996
ssw__glyc_ale1__1,-0.1334889434996611,-1.5880760810000003,0.2539637250000002,-0.33934005799999944,-0.5797748994999998,0.5297178194999992
ssw__glyc_ale2__1,-1.4337065386142909,-1.4019930760000008,-0.7526172219999996,-0.6629369270000005,-0.5692611894999997,0.7650633884999989
ssw__xyl_ale1__1,-0.7748177673798148,-1.7238342270000002,0.07102489999999939,-1.0568479990000004,4.6835979645,-0.2677057894999999
ssw__xyl_ale2__1,1.9546105010198835,-2.7343368420000003,0.11657292900000014,-0.6113435970000003,5.551170580499999,0.10303725849999967
ssw__xyl_ale3__1,-2.1230489889691326,-1.5540003850000002,-0.2888721400000005,-0.5419173439999998,1.1594914845000002,0.04289462649999986
ssw__glc_ac_ac2__1,1.639481280867257,-2.2297381350000007,-0.9307193809999994,-0.9939558750000002,-0.27418160150000004,0.9126131964999996
ssw__glc_ac_glc1__1,-0.8922935368575159,-1.2774295300000011,-0.209421098,-1.419592047000001,1.3787361164999998,-0.3794988585000008
ssw__glc_glyc_glc__1,0.0612763184702921,-1.3132631280000011,0.5182240819999997,-0.5577164370000016,-0.32180141949999985,-0.6795947265000004
ssw__glc_glyc_glyc__1,-1.688634086374377,-2.1558621580000006,0.4607958520000004,-0.7676497070000003,0.8967422384999999,0.034370261499999444
ssw__glc_xyl_glc__1,-0.0496503171783521,-3.4470923780000007,-0.6348894549999997,-0.5886135189999999,-0.5950591704999999,-0.2045153795000001
ssw__glc_xyl_xyl__1,-0.99042795403625,-2.9176976790000007,-0.2640025520000009,-0.9350712320000004,-1.0817489105,0.4431746374999994
ica__wt_glc__1,-1.0640289837348549,-1.3459176590000013,-0.7602189819999996,-0.7688033560000003,6.1669126775,0.4488267934999994
ica__wt_glc__2,-0.5080852786763016,-1.5261490190000009,-0.8536889090000006,-0.7857402710000017,6.265191691499998,0.3405093684999993
ica__wt_glc__3,0.3374780005279028,-1.2190005160000013,0.049913985999999966,-0.4796212600000001,5.6536483915,-0.21079927250000008
ica__wt_glc__4,0.1594652742847515,0.12199192499999968,0.09081191900000007,-0.5672737640000003,6.0562814365,-0.3014883165000004
ica__arg_sbt__1,0.4172277339791581,-1.6092990900000004,0.5891611220000001,-0.3142978040000006,5.9665554385,1.0260161025
ica__arg_sbt__2,0.2810244089661446,-1.2292877580000008,0.3881980019999993,-0.3614628010000001,6.0066817355,0.9953518115000001
ica__cytd_rib__1,1.882760519947017,-1.3300860200000004,0.765180341999999,-0.1575187850000006,7.1670466815,0.5528845004999994
ica__cytd_rib__2,1.8104141723141696,-0.8111334880000003,0.6480234419999995,-0.1751804020000005,7.0568887815000005,0.5937951824999992
ica__gth__1,1.1529933003963373,0.9868203459999992,0.8912684019999997,0.14429520399999873,1.5501604154999995,-0.9550871905000003
ica__gth__2,1.6187697881560976,0.4046276539999996,1.0063285620000002,0.12843688699999944,1.1826361005,-1.3816337355000003
ica__leu_glcr__1,0.2882412705633414,-0.6044806670000007,-0.2369398530000009,-0.6865956830000002,6.607469386499998,0.8409880444999995
ica__leu_glcr__2,0.4713548967688537,-0.7029001760000009,-0.3034178609999998,-0.6907604840000001,6.5862655585,0.9995847174999994
ica__met_glc__1,-0.1842916284034899,-2.3338715670000005,-1.022815705000001,-1.049996104,5.6087098955,0.08433313050000013
ica__met_glc__2,-0.1118077846015988,-2.680452217000001,-1.102207818,-1.0960093569999998,5.601418006499999,0.008164904499999182
ica__no3_anaero__1,0.8502894741927549,-0.9412287040000012,-0.1954281790000003,-0.334290405,3.0703254155,-0.8607018515000004
ica__no3_anaero__2,0.7080840990931344,-0.9611276140000014,-0.12172514500000098,-0.2699431760000017,2.8770384125,-0.6444788895000002
ica__phe_acgam__1,-0.6598979135591461,-1.5458860870000004,-0.4922668249999997,-0.8230421510000001,5.5731782925000015,0.1880132014999996
ica__phe_acgam__2,-0.9546782681686282,-1.9065943470000004,-0.5852651299999998,-0.9343981029999996,5.598629852500001,0.23544608149999924
ica__thm_gal__1,-0.4769133780503395,0.6538108879999998,0.6066152819999999,-0.2144420150000004,6.2784109005,0.9190443544999995
ica__thm_gal__2,-0.3632880503244267,0.4543772490000002,0.668510972,-0.17771774700000087,6.2026037275000006,1.0038869754999995
ica__tyr_glcn__1,0.2347738193728177,-2.2856752380000005,-0.5756726790000002,-0.8420201860000001,6.6878752295,0.4709818334999989
ica__tyr_glcn__2,0.5302594015599041,-2.1915635240000007,-0.5077214810000008,-0.7380973890000001,6.622192792500001,0.5880085104999999
ica__ura_pyr__1,0.4210669912606662,0.10965339099999928,0.20881733899999946,-0.5114708829999994,6.069734669500001,0.9896623744999989
ica__ura_pyr__2,0.6320302401888963,-0.02553767700000087,0.4469161219999993,-0.4768279990000002,5.859044859500001,1.5342898915000005
ica__wt_glc__5,0.3781641719260648,-0.809132549000001,-0.443233116,-0.5089311240000001,5.961330161499999,0.05221476349999943
ica__wt_glc__6,0.0195246957924166,-0.5384142750000009,-0.3440205879999993,-0.4703625070000008,5.9373745735000005,-0.1883448465000006
ica__bw_delpurR_cytd__1,-0.4280607373769906,-1.7158658750000004,-1.10661481,-0.7971133620000009,5.8886808854999995,0.016049203499998832
ica__bw_delpurR_cytd__2,-1.723983226001714,-1.1816537570000003,-0.40072797000000016,-0.8056899479999995,5.467736190499999,0.2724366984999991
ica__ade_glc__1,-0.6863382299339539,-1.2607218410000005,-0.4128361290000005,-0.663226345,5.5311636645,-0.18008265150000113
ica__ade_glc__2,-2.3818343148217376,-1.7130136160000005,-1.293643015999999,-1.0200041020000006,5.916674062500001,0.19895358949999944
ytf__wt_glc__1,-0.4559188965313409,0.5024858009999997,0.3419649420000006,0.11603962599999915,0.7988317645,-0.17824113850000067
ytf__wt_glc__2,-1.3935395607546404,0.5898567380000008,0.6804132620000001,0.3661071109999998,1.1603687675000005,-0.06909623950000032
ytf__delyafC__1,-0.2115530999174848,-0.5257996460000003,0.5565448419999992,0.11510076100000075,0.7678407195000001,0.8709713514999997
ytf__delyafC__2,0.2550237737008516,-0.6921840220000002,0.6846965419999993,0.12215718499999895,0.7913504124999999,0.7630248894999996
ytf__delyeiE__1,-0.4286300940967845,0.2001177659999991,0.24851932099999985,-0.0164444390000007,0.5775477475000002,0.5444553465000004
ytf__delyeiE__2,-0.3419203831237165,0.6847568309999987,0.07231935399999934,-0.10683157899999962,0.042220806500000034,-0.0055801505000001575
ytf__delyiaJ__1,0.3567580034364037,0.1557320769999997,0.6024993319999989,0.2525872790000001,0.4760628384999999,0.5785845404999996
ytf__delyiaJ__2,0.4621526016813472,0.3819082829999996,0.775933062,0.32036506999999936,0.9899565295000006,0.5453803454999999
ytf__delyieP__1,-0.9120565289901142,-0.7720910650000006,0.6228551420000006,0.21932070999999986,0.23222274749999985,0.2368365834999988
ytf__delyieP__2,-0.0755908969494019,-0.6295913550000014,0.7701409819999991,0.6311852689999995,0.6627407065000002,0.0064921054999995675
ytf__wt_ph5__1,-1.988119959768196,0.005986810999999648,0.4666802919999995,-0.12323564100000173,-0.20416924749999987,-0.1532433665000008
ytf__wt_ph5__2,-1.5289256255072758,0.15931240699999893,0.4907947220000004,-0.10666200100000013,0.5288535345,-0.13503524950000045
