,A,HutP
Mal_1,0.9814143123000001,0.966333333333333
Mal_2,2.5443591176,0.7136333333333322
Mal_3,0.47622825350000003,2.026933333333332
G+S_2,4.4525541885,2.0611333333333324
G+S_3,3.3846511318,2.0869333333333326
Pyr_1,2.8834998140000003,0.8218333333333323
Pyr_2,2.2826275607,0.8716333333333335
Pyr_3,1.9910243649,0.9429333333333325
Gly_1,2.7611070385,0.12773333333333348
Gly_2,1.7554938915,1.1996333333333329
Gly_3,4.4791112495,-0.12026666666666763
Glucon_1,2.33916633,0.08703333333333241
Glucon_2,1.9253388048,1.0981333333333332
Glucon_3,4.2782186022,0.9016333333333328
aero_1,-1.6854274315,0.028533333333331967
aero_2,2.1457397015,-0.5744666666666678
aero_3,-1.3753206013,0.9751333333333321
nit_1,-0.4709436134,-0.6703666666666663
nit_2,-0.6852976930000001,-0.08906666666666752
nit_3,-0.8252343905,0.040133333333333354
ferm_1,-2.9518235811,-1.1911666666666676
ferm_2,-2.4830436401,-0.15626666666666722
ferm_3,-2.2566208864,-0.5378666666666678
T-5.40H_1,-0.9010733092000001,1.2690333333333328
T-4.40H_1,-0.3198137914,0.8716333333333335
T-3.40H_1,0.08476471420000001,0.7923333333333336
T-2.40H_1,-0.0024744189000000002,0.4600333333333335
T-1.40H_1,0.05778299,0.20863333333333323
T-1.10H_1,-0.2879324948,0.41463333333333274
T-0.40H_1,0.6323776611,0.19423333333333304
T0.0H_1,0.9439595740000001,1.9796333333333322
T0.30H_1,4.2764959985,1.5926333333333336
T1.0H_1,3.3651138764,2.0985333333333323
T1.30H_1,8.1995544702,2.304033333333333
T2.0H_1,11.4646092914,2.806233333333333
T2.30H_1,15.1693209393,3.430133333333332
T3.0H_1,17.2065234684,2.872633333333333
T3.30H_1,18.8035312144,3.055533333333333
T4.0H_1,18.5799661024,2.9429333333333325
T5.0H_1,17.1116096,1.8766333333333325
HPh_1,0.7561835324,-0.1997666666666671
HPh_2,0.6216755929000001,-0.5609666666666673
HPh_3,1.917038673,-0.4701666666666675
LPh_1,-0.5144141059,-0.31106666666666705
LPh_2,-1.342169375,-0.08886666666666798
LPh_3,0.030302149900000002,-0.7751666666666672
LPhT_1,1.1834169918,-0.022566666666667956
LPhT_2,0.054864122800000005,0.15733333333333377
LPhT_3,-0.0615544732,0.18973333333333287
SMMPr_1,0.6214186838,-0.15616666666666745
SMMPr_2,1.7489084092,-0.09986666666666721
SMMPr_3,0.8544436343,0.4192333333333327
HiTm_1,1.7748230048,0.7516333333333325
HiTm_2,-0.8660129120000001,0.48493333333333233
HiTm_3,0.0382728929,0.8565333333333331
LoTm_1,-2.8128288603,-0.8103666666666669
LoTm_2,-3.4461792549,-0.9469666666666665
LoTm_3,-3.0826083485,-1.051966666666667
HiOs_1,3.1978105968,0.6481333333333321
HiOs_2,3.4136728796,0.5314333333333323
HiOs_3,3.2875883588,0.46073333333333366
BMM_1,-1.0082503017,0.682833333333333
BMM_2,-1.0590221574,0.5822333333333329
BMM_3,-0.8246461129,0.32523333333333326
Heat_1,-1.5446476659,0.8930333333333333
Heat_2,-2.0380175512,0.8290333333333333
Heat_3,-1.4599274912,0.37373333333333214
Cold_1,2.650234803,-2.1238666666666663
Cold_2,5.0282810609,-2.313766666666668
Cold_3,5.0806466031,-2.3840666666666674
Etha_1,-0.9575173502000001,-2.001966666666668
Etha_2,-0.4854618899,-2.0521666666666665
Etha_3,-1.91637244,-2.051566666666668
SMM_1,-0.567543526,0.08743333333333325
SMM_2,-0.8396205838,0.19663333333333277
SMM_3,-0.9379048849,0.35263333333333335
Salt_1,0.6433442485,-1.8974666666666664
Salt_2,1.2365450527,-2.0316666666666663
Salt_3,0.6548936525,-2.092366666666667
Mt0_1,-1.9096472368000001,-1.7036666666666669
Mt0_3,-2.578211805,-0.5076666666666672
M0t45_1,-6.9136308284,-1.0790666666666677
M0t45_2,-5.9156615845000005,0.14173333333333282
M0t45_3,-6.5543789765,-0.8601666666666663
M0t90_1,1.9543144641999999,1.1893333333333338
M0t90_2,4.243726469,2.014333333333333
M0t90_3,2.4859845233,2.137833333333333
M40t45_1,-5.9620655189,-0.11976666666666702
M40t45_2,-3.0942262981,1.6661333333333328
M40t45_3,-7.7204308462,-0.788966666666667
M40t90_1,2.9887022181000003,1.1006333333333327
M40t90_2,3.6646904393,1.6028333333333329
M40t90_3,0.3529514225,1.8666333333333327
dia0_1,-3.485618674,-1.3208666666666673
dia0_2,-3.9911317746,-0.9989666666666679
dia0_3,-3.6081755274000002,-0.8187666666666669
dia5_1,-6.3304162989,-0.4912666666666663
dia5_2,-6.2996912042,-0.20726666666666738
dia5_3,-7.0899858686,-0.39156666666666773
dia15_1,-1.3323732049,-1.9019666666666666
dia15_2,-1.3133351634000001,-3.007266666666667
dia15_3,-0.36985604120000004,-1.8958666666666666
Diami_1,-1.0832385399,-1.421166666666668
Diami_2,-3.9511723718000002,-1.2120666666666668
Diami_3,-0.6801438336,-1.4492666666666665
Paraq_1,0.2902383183,-2.378166666666667
Paraq_2,-1.5528558204,-2.102666666666668
Paraq_3,0.9784817965,-3.0068666666666672
H2O2_1,-0.4218763964,-2.800366666666667
H2O2_2,-0.8200075920000001,-2.6564666666666668
H2O2_3,1.6690644958,-2.8615666666666675
Oxctl_1,1.5359764011,-2.2179666666666673
Oxctl_2,1.3189353968,-1.9842666666666666
Oxctl_3,-2.0371386295,-2.3197666666666663
GM-0.1_1,1.2412701297,0.9730333333333334
GM-0.2_1,2.7957380416,0.7897333333333325
GM+5_1,0.9893425037,0.3480333333333334
GM+15_1,-0.2104686012,0.702633333333333
GM+25_1,-1.6243130232,0.4604333333333326
GM+45_1,-0.5970468018,0.6464333333333325
GM+60_1,-1.1152202713000001,0.5341333333333331
GM+90_1,-0.378498685,0.5581333333333323
GM+120_1,3.9879663629,-0.2091666666666665
GM+150_1,0.8518981887,0.059333333333333016
GM-0.1_2,-0.43249296940000004,1.297933333333333
GM-0.2_2,0.9497163032,0.8610333333333333
GM+5_2,-0.7326324216,0.8449333333333335
GM+10_2,-1.179168409,0.6278333333333332
GM+15_2,-0.2810181664,0.34243333333333226
GM+25_2,-1.6649199356,0.41763333333333286
GM+45_2,-0.931378028,-0.38576666666666704
GM+60_2,2.4190314398,0.12153333333333194
GM+90_2,0.46155211960000003,0.23623333333333285
GM+150_2,-0.1170438607,-0.43796666666666795
GM-0.1_3,0.7986830006000001,1.307833333333333
GM-0.2_3,0.1428094631,1.1490333333333336
GM+5_3,0.5856908318,0.932033333333333
GM+10_3,0.8274906757,-0.27336666666666787
GM+15_3,0.2767924597,0.37733333333333263
GM+25_3,0.1700611515,0.1901333333333337
GM+45_3,1.5365210013000001,0.08463333333333267
GM+60_3,1.6223128128000002,-0.11066666666666691
GM+90_3,0.024541960300000002,-0.6691666666666674
GM+120_3,2.4042101243,0.15163333333333284
GM+150_3,-0.45148989900000003,-0.32936666666666703
MG-0.1_1,0.2792998031,1.0180333333333333
MG+5_1,1.3523932072,0.27083333333333215
MG+10_1,-0.6799872596000001,-0.030266666666667774
MG+15_1,0.6177992643,-0.8257666666666665
MG+25_1,0.8021487641,0.05873333333333264
MG+45_1,2.4888324292,0.6712333333333333
MG+120_1,1.2934081392,0.8002333333333329
MG+150_1,-0.6717388979000001,-0.1463666666666672
MG-0.1_2,0.3617946366,0.07663333333333355
MG-0.2_2,-0.33000874280000003,0.6359333333333321
MG+5_2,0.1864682,-0.39426666666666677
MG+10_2,-0.2023314978,-0.4319666666666677
MG+15_2,-0.44394303430000004,-0.09826666666666739
MG+25_2,1.4154970098000001,-0.11116666666666752
MG+45_2,1.9593488761,-0.03496666666666748
MG+60_2,0.9543105103,0.236933333333333
MG+90_2,-0.3776539721,0.038733333333333064
MG+120_2,-0.016035826,0.9215333333333326
MG-0.1_3,-0.0035127731000000003,1.5165333333333333
MG-0.2_3,1.2002587059,1.0161333333333324
MG+5_3,2.0819700005,-0.07816666666666805
MG+10_3,4.08915725,-0.38956666666666706
MG+15_3,-0.4592722185,-0.0899666666666672
MG+25_3,0.1744652914,0.36623333333333363
MG+45_3,-0.2843370079,1.0381333333333327
MG+60_3,0.9367455022000001,0.8145333333333333
MG+90_3,-1.3196905389,0.7565333333333335
MG+120_3,-0.7140394001,0.6468333333333334
MG+150_3,-2.1600347159,0.5060333333333329
