,A,PuuR,RpoS
SRX3073833,-1.1397621477,-0.3486632474,0.3531091729
SRX2391456,-0.08632649960000001,0.1512469092,0.213414118
SRX2391457,-0.6182940679000001,-0.039892394500000004,-0.22549421890000002
SRX2391458,-0.8065933407,0.452499753,-0.058439903700000004
SRX2391459,-0.6045368219,0.30340009700000004,-0.16247405180000002
SRX2391460,-0.5258319604,0.1652324255,-0.1317305358
SRX2391461,-0.3431892176,0.1856703499,-0.028977580200000002
SRX2391462,-0.7962033405000001,0.1843317051,-0.0269183526
SRX2391463,-0.6782314561,0.22825972,0.0030864833
SRX2391464,-1.0748750427,0.2563993365,-0.1260736549
SRX2391465,-0.6024889997,0.2869891739,-0.0071009044
SRX2391466,-0.40529099760000004,0.17872203820000002,-0.07065822220000001
SRX2391467,-0.1796552194,-0.0019695334,-0.0439860596
SRX2391468,-0.4897197283,-0.2389851023,0.0331372216
SRX2391469,0.15617560660000002,0.1382555174,-0.0420898373
SRX2391470,-0.3571751326,-0.09724829110000001,0.6090305182
SRX2391471,-0.8947247183,-0.1939439191,0.16230046850000002
SRX2391472,-0.7083887563,0.1934825604,0.2343889959
SRX2391473,-0.6836582775000001,0.22716458920000002,0.0016003146
SRX2391474,-0.1134240977,0.36135417270000003,-0.10262556490000001
SRX2391475,-1.2803727753,0.2367132644,0.263338674
SRX2391476,-0.9633911184,0.0251122586,0.3080094476
SRX2391477,-0.9435264582,0.15347405690000002,-0.053261284000000006
SRX2391478,0.059413284600000005,-0.1671187811,-0.0478062818
SRX2391479,-1.2827013045,0.2016608836,0.24986148560000002
SRX2391480,-1.2783403886,0.1928214681,0.2597858686
SRX2391481,-0.9778603487,0.2336566857,0.1956587998
SRX2391482,-0.8566113277,0.0686810781,0.3444429299
SRX2391483,-0.7266714332,0.20636417910000002,-0.0919173263
SRX2391484,-0.428964707,0.1003898309,-0.1559284193
SRX2391485,-0.4031562354,-0.044622237700000005,-0.3117323329
SRX2391486,-0.285624176,0.42301427890000004,-0.3549788984
SRX2391487,-0.2520327183,0.4215894845,-0.2191486229
SRX2391488,-0.699210365,0.3015104844,-0.2554337699
SRX2391489,-0.8649355047,0.1119537661,-0.15975841840000002
SRX2391490,-0.9332183315,0.2186745022,-0.15243856690000002
SRX2391491,-0.8337620535,0.2782637334,-0.14854090690000002
SRX2391492,-0.2924911913,0.4257255546,0.0533523106
SRX2391493,-0.946057082,0.2878225807,-0.0942249879
SRX2391494,-0.9899738342000001,0.2033906856,-0.06799396270000001
SRX2391495,0.1796552194,0.0019695334,0.0439860596
SRX2391496,-0.0807183154,-0.0626387019,-0.0276449604
SRX2391497,-0.6667685363,0.2456178827,-0.1012084702
SRX2391498,-0.9276656876,-0.1414723601,0.30589295710000003
SRX2391499,-0.6119567422000001,-0.22687527340000002,0.0795924583
SRX2391500,-0.9309072509,0.2508798255,0.0206000678
SRX2391501,-0.6688096613,0.4129358621,-0.3247070877
SRX2391502,-0.21369637090000002,0.3908029123,-0.39807763690000003
SRX2391503,-0.4091279503,0.2396683587,0.045134451900000004
SRX2391505,-1.0053462639,0.1901778128,0.1301877645
SRX2391506,-0.740271726,0.07041740540000001,-0.13219797960000002
SRX2391507,-0.7478087265000001,0.1764054863,-0.2535108333
SRX2391508,-0.9775917516,0.32269677880000003,0.48425317040000004
SRX2391510,-1.5251409893,0.12403382060000001,0.2794221789
SRX2391512,-1.3454883246,0.0655401892,0.3854533687
SRX2391513,-1.0845013386,0.05692855,0.1738750254
SRX2391514,-1.0546347263,0.1271512683,0.019325781900000002
SRX5632598,0.7714997873,-0.721856701,0.9622415594
SRX5632599,-0.1898989906,-0.5290392102,0.7550729143
SRX5632600,-1.9253561355,2.7333908775999998,1.8153011222000002
SRX5632601,-1.3993278397,1.5627183971,1.6305390598
SRX5632602,-1.6943123888,1.5786686363,2.66022843
SRX5632603,-0.0218824039,2.1076024314,2.0770640183
SRX5632604,-1.6665683147,2.1543099715,2.5665020116
SRX5632605,-1.5239596211,2.2089418462,2.8456212339
SRX5632606,-0.0255138351,0.49860304920000004,1.1736554388
SRX5632607,1.0004307363,-0.5061332012,0.2661366081
SRX5632608,-0.2372113562,0.1161679409,-0.0111502136
SRX5632609,0.7534484514,0.057018682300000005,0.2054542597
SRX5632610,-3.6230552459,-0.7211263773000001,0.7391266073
SRX5632611,-0.5162370952,-0.17318662310000002,-0.19430404610000002
SRX5632612,0.4841110367,-0.1748433815,0.7199340907
SRX5632613,-0.8202988372000001,-0.13716555290000002,1.2277820302
SRX5632614,0.8359468402,-0.4562299971,0.0215407991
SRX5632615,0.27512333840000003,-0.1882892762,-0.0150692206
ERX2874132,0.0744746649,-0.9182416215,0.0663741888
ERX2874133,0.7635397342,-0.6147475102000001,0.4506381236
ERX2874134,0.6581119185000001,-3.0949335575,0.28768228490000003
ERX2874135,0.633150356,-3.2548546499,0.1535386401
ERX2874136,0.7673302381,-2.8728945119000002,0.15565523180000002
ERX2874137,1.1827881122,-3.4696197791,0.131350726
ERX2874138,1.1992580592,0.011053342300000001,0.7917607625
ERX2874139,0.6465756913,0.2436587841,0.6527340802
ERX2874140,-0.0077719233000000006,-0.124018844,-0.0220604303
ERX2874141,0.0077719233000000006,0.124018844,0.0220604303
ERX2874142,0.922290652,-1.9256449256,1.0835072224
ERX2874143,1.055731926,-2.0602583786,0.9596565713
ERX2874144,-0.0015397684,0.6239803972,0.5855899905
ERX2874145,0.055911583200000003,0.7590920559000001,0.5974975256
ERX2874146,0.2590345251,0.6761013623000001,0.3973549986
ERX2874147,-0.07123306900000001,0.7490362128,0.3463440169
SRX1300292,-2.2833609793000003,0.2546985396,0.0319115236
SRX1300293,2.2833609793000003,-0.2546985396,-0.0319115236
SRX1300299,3.032264425,-0.4790744132,0.1755425277
SRX1300300,4.3559272353,-0.4083601203,0.024489941100000003
SRX1300304,2.4874138115,-0.0042119995,-0.2854373702
SRX1300305,1.5639265653,0.23134583790000002,0.3764522019
SRX1300306,1.4670771515,0.18944387370000002,0.2949215998
SRX1300310,3.1203356224,0.5001979012000001,-0.0268914219
SRX1300311,2.3627998378,0.41829124500000003,0.056630553900000005
SRX7291195,-0.44556382310000003,0.9809210214,0.8425441532
SRX7291196,-0.2243626088,1.0162954835,0.6879051231000001
SRX7291197,-0.6047096277,0.8102363286,0.6686345142
SRX7291198,0.1492280179,-0.07202470650000001,-0.5242501190000001
SRX7291199,-0.0835115258,0.039857876800000004,0.3029605819
SRX7291200,-0.0657164921,0.0321668296,0.22128953710000002
SRX7291201,-0.47500119160000004,0.9665750061,0.5729494946
SRX7291202,-0.6435250228,0.9074601328,0.8031390428
SRX7291203,-0.8155315133000001,0.7471549984,0.5992687779
SRX7291204,-0.14533775170000002,-0.14159343970000002,-0.2291631891
SRX7291205,0.08372896340000001,-0.15762734750000001,-0.18907728040000002
SRX7291206,0.385169297,0.0720927472,-0.1244349435
SRX2436955,-0.40585713240000004,0.7034288052000001,1.097039597
SRX2436956,2.4300990316,0.5637354827000001,-0.9273947829
SRX2436957,3.0044688968,0.5361407033,-1.0439189205
SRX2436958,2.49637984,0.5732228517,-0.8374599219000001
SRX2436959,1.443782246,0.7253463914,-0.0241568321
SRX2436960,1.066230185,0.45589332190000004,-0.0860494442
SRX2436961,0.7242293021,0.4139005479,-0.2103483814
SRX2436962,0.8692620609,0.3723743794,-0.7525754931
SRX2436963,1.6705497338000002,0.3559764481,-0.0423046222
SRX2436964,-1.3798699226,-0.6792954885,-2.0566938058
SRX2436965,3.5712475318,1.6101369485,-0.9828317065000001
SRX2436966,1.1289083693,0.3442010994,-0.5097708088
SRX2436967,0.0145113072,0.2243659269,-0.2337895701
SRX2436969,1.7472377678000002,0.6476555306,0.5081283672
SRX2436970,1.4128670555,0.47150355850000003,-0.47408949180000004
SRX2436971,-0.3509698738,0.1367014018,-0.6043009345
SRX2437029,0.1952344816,0.5757354027,-0.6240025128000001
SRX2437030,-0.19519534600000002,0.5727984237,0.9201684831
SRX2437031,0.4272798309,0.0576395132,0.4262621594
SRX2437032,-0.0238116329,0.2735851827,-0.0907873793
SRX2437033,-2.3030778819,-0.31900156420000003,-0.6271696783
SRX2437034,3.708700264,1.457180285,-0.9878038137
SRX2437035,1.4301829495,0.9419539171,0.1061579939
SRX2437036,1.5169790408,0.89532973,0.0811030881
SRX2437037,-0.7829391799000001,0.057030104000000005,-1.4706241186
SRX2437038,0.9206994227,0.2670946507,-0.4671100716
SRX2437039,0.0761328807,0.173160479,0.291305217
SRX2437040,1.6957964357000002,1.1544588324,0.0806200884
SRX2437041,-0.1258247989,0.5443066995,1.2349298928
SRX2437042,-1.6212572378,-1.1404540319,-0.5168503485
SRX2437043,-0.6715204762,-0.3290993868,-1.5198680512
SRX2437044,-1.4168357067000001,-0.7739079491,0.0755731168
SRX4705203,0.7452325877,-0.0485051741,0.6045900864
SRX4705204,-0.5156300719,-0.3989710661,0.6665521292000001
SRX4705205,-0.4014315811,-0.31453187520000003,0.5463657323000001
SRX4705206,-0.5500031992000001,-0.506834158,0.6278999625
SRX4705207,0.6637122974,0.9509207456000001,1.5070312818
SRX4705208,0.7527566663,0.1624113486,0.8280153045
SRX4705209,0.794287254,0.6013802239,1.5406839391
SRX4705210,0.0617038767,-0.1067005402,2.2125833362
SRX4705211,0.3367524424,-0.3146639725,1.7876219128000002
SRX4705212,0.406200121,-0.0827304585,1.9715246501
SRX4705213,0.3916096233,0.1432445922,-0.2027626566
SRX4705214,0.14826851800000002,-0.2904062821,-0.1722772558
SRX4705215,-0.4109075299,-0.043880581,-0.0238262804
SRX4705216,-0.1553900638,0.0929315751,-0.3323414589
SRX4705217,-0.10953182530000001,-0.1231162955,0.09276473390000001
SRX4705218,0.1359512777,0.2212269912,0.6384429179000001
SRX4705219,-0.9496006803,-0.1098905049,1.0306032465
SRX4705220,-0.5834150443,-0.22972919490000002,1.0620790756
SRX4705221,-0.3573905888,-0.3169243486,1.1761166277
SRX4705222,-1.0341074408,-0.1611853037,1.0781661632
SRX4705223,0.7523508453000001,-0.08107207770000001,0.5970242542
SRX4705224,0.4858579563,-0.2883428994,0.41313108940000004
SRX4705225,-0.7197449615,-0.3519360774,0.6560503050000001
SRX4705226,-0.5089382923,-0.8079979746,0.5163063446
SRX4705227,-0.2811817862,-1.0744446185,0.5921911449
SRX4705228,-1.0342923964,-0.3377645292,0.4145018807
SRX4705229,-1.1272579906,-0.2071758648,0.3385546109
SRX4705230,-0.5972146513000001,-0.2693934602,0.6707933292
SRX4705231,-1.1746164384,-0.3938838603,1.0105470486
SRX4705232,-0.4308196347,-0.2365830729,1.2598023969
SRX4705233,-2.0318505916,0.2375879837,1.8700815334
SRX4705234,-0.0631779412,-0.2063653433,1.2053437335
SRX4705235,1.3470751133,-0.5536557878,0.8512096507
SRX4705236,-0.36679238210000004,-0.0558602876,1.0336142905
SRX4705237,1.4549094624,-0.32459232190000004,0.8297124726
SRX4705238,1.3065961303,-0.5387903463,0.9577840338
SRX2038319,-0.1159603647,0.96162084,0.6428626927000001
SRX2038320,-0.28772747460000003,-0.16861636400000002,0.5569332490000001
SRX2038321,-0.9293407556000001,0.9305676684,0.45583812900000004
SRX2038322,-1.1461143753,0.2136019562,-0.0059625017
SRX2038323,-2.3115671519,-1.3181835324,-0.7958093834000001
SRX2038324,-0.852542283,-0.8451803935000001,-0.9913625079
SRX2038325,-2.4280969426,0.9647628474000001,0.8636873724
SRX2038326,-2.9520190459,0.33661776720000003,0.9692145481000001
SRX2038327,-0.49638810780000003,0.43551569900000003,0.5484635499
SRX2038328,-0.5579974385,0.6682151311,0.47975582850000004
SRX2038329,0.807713121,0.25714299,0.0560243226
SRX2038330,-0.6077365813,0.0501262139,-0.4189636936
SRX2038331,0.0060185498,0.2050228923,-0.9782229419
SRX2038332,-1.0735142031,1.0637562681,0.5822594640000001
SRX2038334,-1.1896418625,-1.6935880229,-1.0677223828
SRX2038335,-1.0675165584,-0.8176667382,-0.6452112251000001
SRX2038336,-1.0753068493,-0.7897609515,0.1060509201
SRX2038337,0.4200058277,-0.1666014476,-0.601614632
SRX2038338,0.8421231453,-0.2071787468,-0.7106380433
SRX2038339,0.2202043632,0.6163020932000001,0.48744292520000004
SRX2038340,-0.6390128055000001,-0.8100079574,-0.1201034834
SRX2038341,-0.2970311185,-1.1542468578,-0.49547265960000003
SRX2038342,0.6165254415,-0.4618337187,-0.7485561418000001
SRX2038343,0.5415661984,-0.8458043995000001,-0.1073952073
SRX2038344,0.18800886790000002,-0.8429300045,-0.5009317645
SRX2038345,0.6440702789,0.4554213883,-0.8764053693
SRX2038346,1.0088880736,0.8151641087,0.2653966235
SRX2038347,0.1822234401,1.2391853757,0.8576571565000001
SRX2038348,1.1403706183,0.9956111168,0.5060509845
SRX2038349,1.7848967202,-0.55051956,-0.7526508004
SRX2038350,-0.2293826977,-0.8624606148,-0.6745435179
SRX2038351,-0.4768981192,-0.7147406717,-0.2096922728
SRX2038352,-1.03471256,-0.8324863617,-0.5210191926000001
SRX2038353,-0.667373852,-1.2717360993,-0.9885591913
SRX2038354,-0.3055115896,-0.9484986592,-0.5335854546000001
SRX2038355,-0.9019199601000001,-1.1765888719,-0.6650077532
SRX2038356,-0.9285584773000001,-1.3472389006,-0.6734272628
SRX2038357,-0.7261627806000001,-0.7544420931,0.0677753505
SRX2038358,0.7839014083,-0.8085487492000001,-0.6635944368000001
SRX2038359,0.17094532980000002,-0.7630461802,0.24001536340000001
SRX2038360,-0.36641591,-1.1689776687,-0.39957036030000004
SRX2038361,-0.4052256936,-0.7544153959000001,0.13779702600000002
SRX2038362,-0.0609077203,-1.0558813468,-0.2892728428
SRX2038363,0.15116445380000001,-0.5058621135,0.063880307
SRX2038364,-0.2655945669,-0.190777664,-0.0446195849
SRX2038365,0.7485341788000001,1.1759667093,0.6790029578
SRX2038366,-0.3014939392,1.2331214374,0.5657041852
SRX2038367,1.1105398351,1.0934136995000001,0.7180691943
SRX2038368,0.1914307599,-0.7516903022,-0.4285660378
SRX2038369,-0.39925684580000004,-1.1242443491,-0.37244374420000004
SRX2038370,-0.925459087,-0.9382313390000001,-0.5556808697
SRX2038371,0.7453465689000001,-0.1440620896,-0.1552247884
SRX2038372,-0.7873953298,-0.8184655456000001,-0.6178347536000001
SRX2038373,-0.15706024470000002,-0.6959848761,-0.1980209816
SRX2038374,-0.8369811976,-0.6799615504000001,-0.2259185498
SRX2038375,-0.6337274212,-0.94201007,-0.7817842324000001
ERX530520,-0.0636337165,-0.0198559212,-0.0242983062
ERX530521,0.0632932991,0.4658513255,0.7349939390000001
ERX530522,1.7476439118,0.8536300949000001,0.42723498790000003
ERX530523,1.8831495428,0.5364990863,0.2324750193
ERX530524,0.0636337165,0.0198559212,0.0242983062
ERX530525,1.4813126301000001,0.4738727753,0.6642612716
ERX530526,-1.0045788586,-0.14857887990000002,0.43708541440000004
ERX530527,1.5984387522999999,0.7609024783,0.7065415546
ERX3212443,-3.2219127052,0.828958266,0.9454235623
ERX3212444,-2.4188343822,1.3194730955,0.7759384872
ERX3212445,-2.5007667896,1.3344791659,0.5711733054
ERX3212446,-2.129344402,1.5608977799,0.9374318935
ERX3212447,-2.0339169632,1.4471830007,0.910492182
ERX3212448,-2.4349214377,1.5126714337,0.8612305479
ERX3212449,0.0728229583,0.1064172807,-0.037221874200000005
ERX3212450,-0.16727078650000002,0.11261565700000001,0.0013268786
ERX3212451,0.0944478282,-0.2190329377,0.0358949956
ERX3212452,0.3045582224,-1.5480785178,-0.0877083962
ERX3212453,0.1388579631,-1.4957212119,-0.044082464
ERX3212454,0.22573429860000002,-0.9144817034,0.0040361203
SRX7478973,0.2589332183,-0.2163267307,-0.3611764005
SRX7478974,-0.24591778790000002,0.1156792033,0.0771642025
SRX7478975,-0.0130154303,0.1006475274,0.2840121979
SRX7478976,-0.7449245290000001,-0.0030551414,0.1505303285
SRX7478977,0.0896378917,-0.08238500330000001,0.1160648475
SRX7478978,-0.3712061748,0.2785065257,0.3506432363
SRX7478979,-0.0169538738,0.0084858661,1.0733189414
SRX7478980,-0.09092394520000001,0.0842491159,0.9355091798
SRX7478981,0.0624604178,-0.0155041951,0.6864147749
SRX7478982,-0.22921536080000002,-0.2201200934,1.4027260516
SRX7478983,-0.3617030048,0.0355728388,1.1597094079999999
SRX7478984,0.22071590670000002,-0.0643305721,1.2837350512
ERX1521038,1.0162255022,0.5721001755,-0.5141281642000001
ERX1521039,-0.8480241572,0.2658758579,0.4709148805
ERX1521040,0.7885620648,0.6018400253,-0.4309899782
ERX1521041,-0.7903845803,0.2961079549,0.5072233562
ERX1521042,-0.9927521198,0.23038479250000002,0.0010033149
ERX1521043,0.08046034690000001,0.0278065603,0.1241556788
ERX1521044,-0.549913466,0.2641153249,-0.095928678
ERX1521045,0.549913466,-0.2641153249,0.095928678
SRX621182,1.9341267908000002,-1.4858795737000001,-1.6296757112
SRX621183,1.9219138790999999,-1.0450427728,-1.5207212803
SRX621184,4.7010364934,-1.3328531264,-2.1551091053
SRX621185,4.0137582582,-1.3885541539,-2.271826186
SRX621188,3.4064146916,-1.7166650283,-8.919357295
SRX621189,3.6626474871,-1.5338630673,-8.5537604829
SRX621190,-0.4481961772,0.5696668885,0.2355117427
SRX621191,0.4481961772,-0.5696668885,-0.2355117427
SRX621192,2.461330831,-1.6426038727,-3.123507769
SRX621193,2.3263073354,-1.3838021678999999,-2.652046765
SRX6489436,0.30639773530000003,-0.8689913602,-0.07601669750000001
SRX6489437,1.7755709667000001,-0.3517093428,-0.2865615411
SRX6489438,0.3385524025,-0.07959121520000001,0.200378254
SRX6489439,-0.4133965123,-0.2619441569,-0.2852539933
SRX6489440,0.26143055200000004,-0.027140615000000003,-0.38528219900000005
SRX6489441,0.15196596040000002,0.28908477200000005,0.6705361923000001
SRX6489442,1.2866468304,-0.155813325,-0.2520204133
SRX6489443,1.6074411041,-0.060220559400000005,-0.561476191
SRX6489444,0.2660883911,-0.1733428937,0.3723034616
SRX6489445,0.4615940283,-0.15648120910000002,-0.4987923756
SRX6489446,0.723422526,0.1557969566,-0.40853676120000004
SRX6489447,-0.4288620869,-0.33958445,0.4330006176
SRX6489448,1.5498053872000002,-0.2256929588,-0.1061310161
SRX6489449,2.8854877476,0.16261644590000002,-0.26026007500000004
SRX6489450,1.2195491871,0.8675000957000001,1.1858326733
SRX6489451,0.6130806791,-0.5853110672,0.1802800029
SRX6489452,1.7070201467000001,1.1461714971,0.0778207767
SRX6489453,0.4166537367,0.17656728230000002,0.5343687421000001
SRX6489454,0.3480300974,0.1073719596,0.0135547038
SRX6489455,1.3232794601,0.4978212992,0.2293122333
SRX6489456,-0.3204535562,0.2991580495,0.5407124442
SRX6489457,-1.2823771274,-0.01381641,0.8095686286
SRX6489458,0.5150739991000001,1.1486856356,1.2513711449
SRX6489459,0.7556005021000001,0.6013749669,1.548525294
SRX6489460,0.200143505,0.38600256650000003,0.8769834036
SRX6489461,0.38136189260000003,1.0002792314,1.2547770457
SRX6489462,0.4275956166,0.8326842918,1.1842660553
SRX6489463,-0.0953937296,0.6398884224,1.1372458531
SRX6489464,0.3092636754,0.7420935896,1.1463289075
SRX6489465,-0.1373376881,1.0102538325,1.7365144753
SRX6489466,0.24886655870000002,0.3821671712,1.1354345071
SRX6489467,0.3485246738,1.0267327185,1.3896646958
SRX6489468,0.5582253322,1.1535920522,1.7925796462
SRX6489469,0.6666489652,0.663653794,1.4298720576
SRX6489470,-0.2622180995,1.5511545389,1.5256808674
SRX6489471,0.9023645846,0.8794255278,1.7725243485000002
SRX6452027,-1.1249374946,0.5244072623,0.8576281599000001
SRX6452029,-0.0989675757,-0.0624700107,-0.0357922916
SRX6452030,-1.5305996012,0.8229554007000001,1.0718098388
SRX6452031,-0.5118793293,1.2088994284,2.7106892852
SRX6452044,-1.1423768193,1.6445830896,2.5173608643
SRX6452045,-0.9408177475,1.0642834441,2.0887380381
SRX6452046,-0.8542795223,0.4026319806,1.6333807607000002
SRX6452047,-1.2761543777,1.5909657013,1.8894668441
SRX6452048,0.0989675757,0.0624700107,0.0357922916
SRX6452059,-1.0717421357,1.5074284522,1.1493698707
SRX1828491,0.6771587044,0.0308880045,0.1023595369
SRX1828492,0.9940599311,0.096120382,0.1403495972
SRX1828493,1.1586392284,-0.2962568132,0.2159801222
SRX1828494,0.0172823925,0.5070027359,0.9006441864
SRX1828495,0.9765973012,0.4629803712,0.2114957314
SRX1828496,0.5725040680000001,0.14460440330000002,0.0341085542
SRX1828497,2.2216878346,-0.0726490722,0.0574789951
SRX1828498,1.8309704118,-0.24927381740000001,0.1905253961
SRX1828499,0.9924634377,0.2601160436,0.2715029668
SRX1828500,1.2475107397,0.09897837770000001,0.3383597293
SRX1828501,0.7930081076000001,0.0669415978,-0.0762878141
SRX1828502,2.1788622061,-0.15265792320000002,0.0644537729
SRX1828503,1.2699559742,0.8007410141,0.4682717709
SRX1828504,0.8341985323000001,0.9128090137,0.4622266492
SRX1828505,1.0071043216,0.023744186900000002,0.10568250550000001
SRX1828506,1.8372027731,-0.1972777833,0.1224065695
SRX1828507,1.1392168520000001,-0.20677778330000002,0.0291191404
SRX1828508,-1.1392168520000001,0.20677778330000002,-0.0291191404
SRX3796953,0.2096665405,-0.21697122770000002,-0.0916816194
SRX3796954,-0.2096665405,0.21697122770000002,0.0916816194
SRX3796955,2.187706143,0.8884788622,2.344864249
SRX3796956,-0.016460081300000002,0.9070350702000001,2.4750359464000002
SRX3796957,-0.2980495801,-0.1619865249,-1.3283950462
SRX3796958,0.3938945263,-0.027698102800000002,-0.7012450246
SRX3796959,-0.6991586859000001,-0.076126595,-0.4062392875
SRX3796960,-0.281427633,-0.1193056833,-0.34427511600000005
SRX3796961,-0.7199555731,-1.4954139301,0.5652722018
SRX3796962,-0.006447653,-1.566583083,0.3501828524
SRX3796963,0.8077360417,0.1057291316,-0.80333658
SRX3796964,-0.38121376360000003,0.1257174114,-0.6902801887000001
SRX3796965,1.1434903325,-1.1336455970000001,-2.9091474858
SRX3796966,0.7192358709000001,-0.9886286647,-2.3521656947
SRX3796967,-2.8751953396000003,-0.7185720081,0.47658346360000003
SRX3796968,-3.4059032734,-1.2539419774,0.729636558
SRX3796969,-0.6224277467,1.0137555399,0.7320597323
SRX3796970,-0.4918986979,0.6420067481,0.5104468489
SRX3796971,0.7635034777,-0.0010003784,-0.0841837064
SRX3796972,-0.1257738877,0.4212361955,-0.0998972396
SRX3796973,-2.466022004,-0.7546855931,1.9498139023
SRX3796974,-1.8019393800999999,1.1705373775,1.9358189895
SRX3796975,-0.40383991690000004,-0.2988227948,-0.6457053986
SRX3796976,0.0028151491,-0.2581128326,-0.4989868059
SRX3796977,-1.3189609168,-0.31525337800000003,-0.1532633284
SRX3796978,-0.3822804822,-0.5468754605,-0.046939220100000005
SRX3796979,-0.6040027198,-1.2147855172,0.687795469
SRX3796980,-1.0303680466,-1.305376797,0.6605843735
SRX3796981,0.5300800327,0.44531690160000004,-1.0321942078
SRX3796982,-0.056163443,0.22263751850000002,-0.8593466625
SRX3796983,1.2085680931,-1.3303914099,-2.7138238342000003
SRX3796984,0.963040608,-1.6521030502,-2.7299371422
SRX3796985,-1.5425394526,-1.246957916,0.7771902454
SRX3796986,-2.0653757011,-1.0205796408,0.797993669
SRX3796987,-0.8141693549,1.2591104081,1.279288052
SRX3796988,-2.7902741901,1.3668341089,1.7053157904
SRX2568270,1.2089707397,0.5238802768,0.1461162477
SRX2568271,2.362963739,-0.7881909745,-0.020551822
SRX2568272,1.987003021,-0.1098985219,0.15772488810000002
SRX2568273,4.0930809168,0.3666680868,0.3089530048
SRX2568274,5.3964656575,0.47788846560000003,0.2899842541
SRX2568275,-1.2089707397,-0.5238802768,-0.1461162477
SRX2568276,-2.7580921380000003,-1.9899731572000001,0.1798188618
SRX2568277,2.79888473,-0.37021701500000004,0.2526851056
SRX2568278,4.0302718237,-1.339823099,0.4086042501
SRX2568279,5.9246318643,0.2579463994,0.3222732267
SRX3421856,-0.0362274079,-0.0850245079,-0.07999675860000001
SRX3421857,0.0362274079,0.0850245079,0.07999675860000001
SRX3421858,2.9270346408,1.7925902021,2.21455483
SRX3421859,3.0041662913,2.0340881326,2.2086473136
SRX3421860,-1.0710235957,-0.9481757896,1.0580199114
SRX3421861,-1.6776570092,-0.5628736861,1.2026957582
SRX3421868,1.8067685736999999,1.2585419443,2.6979928653
SRX3421869,2.7354048435,1.0099931058,2.6302038766
SRX2606337,-0.3990457137,-0.3171125504,-0.5337059959
SRX2606338,-0.6420177285,-0.20498193350000002,-0.1635605399
SRX2606339,-1.4408944953,-0.7705348497000001,0.1325029659
SRX2606340,-1.9641529454,-0.7988738785,0.8571396955
SRX2606341,-0.7519579200000001,2.4395559982,1.8040685218
SRX2606342,1.6171303506,1.8878793039000001,2.5588181405
SRX2606343,1.0627850533,1.0533139384,2.1459085474
SRX2606344,1.2144909509,1.3661540491,3.5449880117
SRX2606345,0.7741474243,1.6466897271,4.1241387708
SRX2606346,-0.7950716832,-0.8589875035000001,0.2977607853
SRX2606347,0.25394268400000003,-0.0092650706,0.0968916092
SRX2606348,-0.0209898625,0.0560205321,-0.284636787
SRX2606349,-2.2323316136,-0.9756914912,0.3814882827
SRX2606350,-1.4473111555,-1.1260490094,0.8690545116
SRX2606351,-0.4752618717,2.1939472591999998,1.8463263833
SRX2606352,1.8454363821,1.8839066844999999,2.4568582165
SRX2606353,0.46239168750000004,-0.1317604904,0.5165504453
SRX2606354,1.178746968,1.1390668288999999,3.5279899726
SRX2606355,1.1525785491,1.277792505,3.7561546539
SRX2606356,-2.0818875743,-0.9418198924000001,0.8064589602000001
SRX2606357,0.14510302960000002,0.3263776211,0.4368143867
SRX2606358,-0.5114424828,-0.2964376436,-0.11785692700000001
SRX2606359,-1.6368150336,-0.5091473216,1.1255933549
SRX2606360,-1.5166788673,-0.8098871808,1.2018958327
SRX2606361,-1.2849513144,2.0382785127,1.0764145541
SRX2606362,1.8504010752000002,1.8720573346,2.708395189
SRX2606363,0.6686683305000001,0.5963032772,1.2190296143000001
SRX2606364,0.8913970689,1.0172073012,3.5203569044
SRX2606365,0.7595370172,1.0390829751,3.7505145403
SRX2606366,-1.2609408322,-0.8408377233000001,0.9223888326
SRX3648427,-1.2957786051,0.2719739286,1.2813327857
SRX3648428,-1.0078939046,0.20649452100000001,1.2918556638
SRX3648429,-1.0513141426,0.3202614247,1.0617941999
SRX3648430,-0.7330503708,0.1583717353,0.3899976357
SRX3648431,-1.3130906018,0.192211883,0.38265135850000004
SRX3648432,-1.2397533496,-0.055383049600000005,-0.5066040390000001
SRX3648433,-0.3236437823,0.6874437048,0.4890193962
SRX3648434,-0.096647885,0.1421570735,-0.1720930533
SRX3648435,-0.1148122054,-0.3397307416,-1.0793935658
SRX3648436,1.1517074694,-0.49409697350000004,-1.628562212
SRX3648437,1.4333596301,-0.43922123620000003,-1.8506553259
SRX3648438,2.0595813955,-0.4513209469,-1.9486581607
SRX3648439,-1.0067563126,0.3740951926,-0.3863526714
SRX3648440,-0.8752745833000001,0.029671758200000002,-0.9344155819000001
SRX3648441,-0.6605314825,-0.1089724037,-1.8430642022
SRX3648442,2.1814868872,0.4082492915,-0.8777755761
SRX3648443,2.3298830736,-0.1840860147,-1.3232566766
SRX3648444,1.7358429251,-0.5007268803,-1.7497224228000001
SRX3648445,-1.1897722916,0.5414620294,1.2737024227
SRX3648446,-1.1352528296,-0.0484949701,1.0669748566
SRX3648447,-0.7793946037,0.2006582321,0.637671764
SRX3648448,-0.2710119588,0.3121090902,0.5841203684
SRX3648449,-0.0943729418,0.35593186930000004,0.4824521506
SRX3648450,-0.8773747413,-0.0952054725,0.1844250812
SRX3648451,0.5802535945,0.0280466893,0.22881093560000001
SRX3648452,0.5520981567000001,-0.3111991145,-0.7688513023
