,A,RpoN,FhlA
nac_ntrc__bw_delnac_gln__1,3.8568367192,0.3080251985,1.4650726170000001
nac_ntrc__bw_delnac_gln__2,4.0539643349,0.2967956055,1.482808745
nac_ntrc__bw_delnac_nh4__1,-0.5116389194000001,-0.2040379745,-0.019686067
nac_ntrc__bw_delnac_nh4__2,0.2188241864,-0.2513449025,0.05411376800000001
misc__wt_no_te__1,0.091965903,0.4210455765,0.39245423100000004
misc__wt_no_te__2,0.4155906078,0.3409092855,0.206991427
misc__bw_delcbl__1,0.7233842685,0.26062700850000003,-0.168349733
misc__bw_delcbl__2,-0.1211414313,0.3284104245,-0.122556016
misc__bw_delfabr__1,-0.20134423710000002,0.12483548650000001,-0.837718434
misc__bw_delfabr__2,-0.1337428176,0.1031144385,-0.687147735
misc__bw_delfadr__1,-1.0083353976,0.2262561375,-0.25790947000000003
misc__bw_delfadr__2,-0.2483522088,0.2539545305,-0.14253474800000002
misc__nitr_031__1,2.3466140077,0.3646965855,1.059070408
omics__wt_glu__1,-0.0061738784,0.2962516995,0.493143639
omics__wt_glu__2,-0.4001448421,0.4666522205,0.585601422
omics__wt_gly__1,0.7207534475,0.08866842550000001,0.18593820900000002
omics__wt_gly__2,1.0477530357,0.0568323675,0.19224328400000001
omics__wt_thr__1,6.4171173441,0.7135937785,0.9121993190000001
omics__wt_thr__2,4.7446531296,0.7710917565000001,1.011126579
omics__bw_ac__1,-0.7699958247,0.2626952735,0.19786508500000002
omics__bw_ac__2,-1.7933329046000002,0.2125339715,0.26435983300000004
omics__bw_fum__1,0.6921722778,-0.0719943285,-0.550192436
omics__bw_fum__2,-0.3573565615,-0.1321674075,-0.5638958150000001
omics__bw_glc__1,1.0534606899,0.08772091650000001,-0.006920968
omics__bw_glc__2,0.5704743715,0.0866318205,-0.1286253
omics__bw_pyr__1,-2.4371642093,0.13049388650000002,-0.715541164
omics__bw_pyr__2,-0.3770832785,0.0750394705,-0.640191806
ompr__wt_nacl__1,3.8150069112000002,0.8458476445,1.35883457
ompr__wt_nacl__2,3.4725442833,0.7361582905,1.44294594
ompr__bw_delompr_nacl__1,2.6050309298,0.3376980425,1.495733009
ompr__bw_delompr_nacl__2,3.0829462896,0.3812324995,1.500430694
minspan__wt_ade__1,-1.8121089020999999,-0.23121805050000002,-0.025212483
minspan__wt_glc__2,-0.772829489,-0.2809332425,0.0025195950000000003
minspan__wt_glc__3,-0.8813965709,-0.2902247825,-0.09018322100000001
minspan__wt_glc__4,-0.3222619177,-0.2054288275,0.18960958500000002
minspan__wt_glc_anaero__1,12.9299714321,0.0389202145,0.659311029
minspan__wt_glc_anaero__2,13.6793425344,0.0609900175,0.41206551300000005
minspan__wt_trp__1,1.3561793155,0.1072953325,1.235197323
minspan__bw_delcra_glc__2,3.0914859972,0.0527145325,0.399276677
minspan__bw_delcra_trp__1,5.9505645471,0.1089791855,1.27094115
minspan__bw_delmntr__1,1.6536478921,0.2383428175,0.28810039800000004
minspan__bw_delnac_ade__1,-0.9867418751,0.0018527365,-0.08995399800000001
minspan__bw_delnac_glc__1,0.6349659917,-0.3356794605,-0.24032467200000002
cra_crp__wt_ac__1,0.32802465950000004,0.1917987605,0.5523830780000001
cra_crp__wt_ac__2,0.0980984371,0.1532170935,0.572035771
cra_crp__wt_fru__1,-0.2277296313,0.2657675905,0.47564564000000004
cra_crp__wt_fru__2,-0.8431775332,0.3237425105,0.389759727
cra_crp__delcra_ac__1,-0.5546583557,-0.023381640500000002,-0.085945713
cra_crp__delcra_ac__2,0.5067253032,-0.1429831305,-0.11112896200000001
cra_crp__delcra_fru__1,-0.4396668206,0.10736111150000001,0.24849087200000003
cra_crp__delcra_fru__2,-1.1774018764,0.12499276150000001,0.17611198
cra_crp__delcra_glc__1,-0.2189624088,-0.0261596815,-0.015097675000000001
cra_crp__delcra_glc__2,-0.0380643109,-0.1007299425,-0.056208194
rpoB__wt_031__1,0.6820696463,-0.056968540500000005,0.068473289
rpoB__wt_044__1,0.3680390027,0.22376482050000002,0.43370221800000003
rpoB__wt_lb__1,0.2996435972,-0.028158271500000002,0.6285199450000001
rpoB__wt_lb__2,-0.1895714269,0.0103283685,0.648468628
rpoB__rpoBE546V_031__1,1.1688273012,-0.1267133255,0.241043888
rpoB__rpoBE546V_044__1,1.6273105823,0.023719754500000002,0.18908670700000002
rpoB__rpoBE546V_lb__1,0.8151118446000001,-0.013294588500000001,0.565476223
rpoB__rpoBE546V_lb__2,1.0063427564,-0.0162517615,0.171347263
rpoB__rpoBE546V_glc__1,1.0261322102,-0.5141145255,-0.20248484900000002
rpoB__rpoBE672K_glc__1,-0.3814970609,-0.2027603775,-0.94889113
rpoB__rpoBE672K_glc__2,-1.0557632974,-0.22850633750000002,-0.5909782100000001
rpoB__rpoBE672K_lb__1,1.6207944592999999,-0.6724268015,-1.190094315
rpoB__rpoBE672K_lb__2,1.1277715574,-0.5883223085,-0.935080219
crp__wt_fru__1,-0.27684935380000003,-0.2614936275,-0.470216962
crp__wt_glyc__1,0.3056202629,-0.4111413085,-0.7891948080000001
crp__wt_glyc__2,-0.4340270518,-0.31615505250000003,-0.6803612440000001
crp__delar1_glyc__1,0.4582196385,0.6530569715,0.25136748200000003
crp__delar1_glyc__2,1.8411923684,0.6094381865,0.583352364
crp__delar1ar2_glyc__1,0.6010346089,0.41063416150000004,0.46465750400000005
crp__delar1ar2_glyc__2,0.6154539784,0.39263840650000004,0.538134404
crp__delar1ar2_glyc__3,0.20089404360000002,0.3384137365,0.46845624500000005
crp__delar2_glyc__1,1.9994881119,0.23901305750000001,0.8025394090000001
crp__delar2_glyc__2,1.5094259788,0.3881425055,0.777127086
crp__delar2_glyc__3,2.1230260504,0.5417163865,0.826555664
crp__delcrp_fru__1,1.0591259539,0.48734105450000004,1.022206714
crp__delcrp_fru__2,0.0233253644,0.6076043145000001,0.95017381
crp__delcrp_fru__3,1.0155359289,0.4631423375,1.134820874
crp__delcrp_glc__1,0.8210905244000001,0.6373608285,0.9303788540000001
crp__delcrp_glc__2,0.9034681205,0.6669930295000001,1.022508267
crp__delcrp_glc__3,-0.028280458600000002,0.5979555295,1.064405056
crp__delcrp_glyc__1,-0.6685126867,0.4546922765,0.789891243
crp__delcrp_glyc__2,-1.6161238184,0.47694144850000003,0.911109555
crp__delcrp_glyc__3,-0.0369965471,0.4892179915,1.006448989
glu__glu_ale3__1,1.9351093421,-0.1601779305,-1.280001952
glu__glu_ale4__1,0.558541299,-0.2800279565,-0.8870904580000001
glu__glu_ale5__1,-0.3354557493,-0.6870798615,-0.872256825
glu__glu_ale6__1,0.1584443902,-0.5723060855000001,-1.227482067
glu__glu_ale8__1,1.8868848593,0.1635734905,-0.392373548
glu__glu_ale9__1,0.6657752398,0.0031536635000000003,-1.171839104
glu__glu_ale10__1,1.2787011632,-0.2871971685,-1.50467283
42c__wt_42c__1,1.353229588,0.0244120205,-0.20012206300000002
42c__42c_ale1__1,4.5339352208,0.3491200385,1.763185944
42c__42c_ale2__1,0.9779242637000001,-0.3153191495,-0.738032554
42c__42c_ale3__1,0.7200502233,0.09912298550000001,-0.537694295
42c__42c_ale4__1,2.4845328472,-0.1073433455,-0.409932336
42c__42c_ale5__1,2.3746271102,-0.2023175995,-0.21194374800000002
42c__42c_ale6__1,2.9882880121,0.8135905605,1.679854766
42c__42c_ale8__1,0.38227228500000004,0.32016739250000004,-0.356358326
42c__42c_ale9__1,1.2385181211,-0.0553719955,-0.35759776600000004
42c__42c_ale10__1,2.0984533483,0.21542995750000002,-0.348871192
ssw__wt_ac__1,0.8677213421000001,-0.2178078165,0.735682091
ssw__wt_glc__1,-0.2554469183,-0.2212727485,0.295767114
ssw__wt_glyc__1,1.5107794054,-0.2125297985,0.800631037
ssw__wt_xyl__1,16.0581682583,0.4108722805,0.160926685
ssw__glc_ale1__1,1.7672711915,-0.7788251875000001,-0.8995438920000001
ssw__glc_ale2__1,4.6623839486000005,-0.0637925315,0.16637532100000002
ssw__glc_ale3__1,5.1901605535,0.2370279345,1.616751005
ssw__glyc_ale1__1,0.054026629300000004,-0.3120889155,-0.573966859
ssw__glyc_ale2__1,8.5997741135,0.2020547685,1.779844253
ssw__xyl_ale1__1,4.6726654946,-0.1082888095,-0.113540466
ssw__xyl_ale2__1,1.8209796304,-0.1497820355,-0.5184438530000001
ssw__xyl_ale3__1,3.1719225867,-0.3262490615,-0.16262901500000002
ssw__glc_ac_ac2__1,0.6385898172000001,-0.0901773505,1.276277127
ssw__glc_ac_glc1__1,2.5934318855000003,-0.28990390050000003,-0.9710761830000001
ssw__glc_glyc_glc__1,1.1074616991,-0.2741644015,-0.5120822070000001
ssw__glc_glyc_glyc__1,-0.5589084189,-0.45250245850000004,-0.729956942
ssw__glc_xyl_glc__1,1.2210805823,-1.0410889935,-0.475672042
ssw__glc_xyl_xyl__1,-0.5751771786000001,-0.8552477355,-0.777561566
ica__wt_glc__1,-0.43380489250000004,-0.5082379055,-1.341090036
ica__wt_glc__2,-0.5623347966000001,-0.4994340875,-1.3999152750000001
ica__wt_glc__3,-0.4811445989,-0.1040741495,-0.9403971240000001
ica__wt_glc__4,-1.084447763,-0.2792215905,-0.9978530750000001
ica__arg_sbt__1,2.3205021977999998,-0.2671002145,-0.9182272340000001
ica__arg_sbt__2,-0.3622588235,-0.3823479205,-1.299519221
ica__cytd_rib__1,0.6983353280000001,0.1386887865,0.6654330430000001
ica__cytd_rib__2,2.3600497971,0.12476168450000001,0.681775715
ica__gth__1,1.7560435991,0.3953586515,1.103116445
ica__gth__2,2.3191117863,0.5102487215,0.864259851
ica__leu_glcr__1,0.0181770952,-0.2586659055,-1.195246813
ica__leu_glcr__2,-0.8144675359,-0.3374765535,-0.8894565750000001
ica__met_glc__1,-0.4745083526,-0.8079442385000001,-1.754679491
ica__met_glc__2,0.0039800978,-0.8131288585,-1.628636996
ica__no3_anaero__1,11.7155526878,0.023476880500000002,0.059496933
ica__no3_anaero__2,11.926560317,0.012221922500000001,-0.074550791
ica__phe_acgam__1,-0.0027746368000000003,-0.5329956575,-1.328540946
ica__phe_acgam__2,-0.3952653687,-0.5109843565000001,-1.771822116
ica__thm_gal__1,0.13307833730000002,-0.1857659965,-0.20898893300000002
ica__thm_gal__2,1.6103970014,-0.0851485565,-0.24214433100000002
ica__tyr_glcn__1,-0.97358449,-0.3903549005,-1.279333758
ica__tyr_glcn__2,-0.6001795042,-0.3410315705,-0.9518618240000001
ica__ura_pyr__1,-1.4474044777000001,-0.3768134025,-1.281428632
ica__ura_pyr__2,-2.482965883,-0.4399327825,-1.0501585900000001
ica__wt_glc__5,-0.0001048336,-0.5177360115,-0.871979892
ica__wt_glc__6,0.11378556990000001,-0.49115702850000004,-0.67486357
ica__bw_delpurR_cytd__1,0.4544506739,-0.7443637615,-1.388184865
ica__bw_delpurR_cytd__2,0.8223051045,-0.7433956735,-1.507844267
ica__ade_glc__1,-0.1140636871,-0.7138325825,-1.590145727
ica__ade_glc__2,-0.5221392441,-0.8051262665000001,-1.286463292
ytf__wt_glc__1,-1.3089684047,-0.2177005135,-0.785919361
ytf__wt_glc__2,-1.4321554995,-0.1777278635,-0.412653472
ytf__delyafC__1,0.7056785709000001,0.1175472515,0.927524816
ytf__delyafC__2,0.33725326840000003,0.1546335705,0.767563846
ytf__delyeiE__1,-1.4054843381,0.0250697845,0.318529565
ytf__delyeiE__2,-0.0062553506,-0.1486100975,-0.19523446900000002
ytf__delyiaJ__1,0.5154890196,0.08753290150000001,0.9632136440000001
ytf__delyiaJ__2,0.9892078096,0.23139318550000001,0.762388273
ytf__delyieP__1,-0.0182739386,0.21411362450000002,0.592195062
ytf__delyieP__2,0.027636895600000003,0.2065327435,0.347888258
ytf__wt_ph5__1,-1.0406544801,-0.1566763185,0.08018346900000001
ytf__wt_ph5__2,-0.6231528863,-0.1216764105,0.257940604
ytf__wt_ph8__1,0.23341070290000002,-0.2880566235,-0.564211541
ytf__wt_ph8__2,0.45603389250000004,-0.3517970845,-0.5407400720000001
ytf__delybaO__1,1.1797330446,0.08682374550000001,0.8983751120000001
ytf__delybaO__2,0.2457263807,0.11715476650000001,1.091627829
ytf__delybaQ__1,-0.2298542398,-0.36648127750000004,-0.256884671
ytf__delybaQ__2,-0.31427978970000003,-0.4210866755,-0.021744899
ytf__delybiH__1,-1.5008747226999999,-0.08041245350000001,-0.7968718260000001
ytf__delybiH__2,-0.0609728246,0.1485691505,-0.22344603000000002
ytf__delydcI_ph5__1,-0.2257366124,-0.2860461955,-0.074428642
ytf__delydcI_ph5__2,-0.5917731624,-0.2915660545,0.002038168
ytf__delydcI_ph8__1,-0.8178969971000001,-0.19775634250000002,-0.69675875
ytf__delydcI_ph8__2,-0.8750452270000001,-0.4303054455,-1.047940951
ytf__delyddM__1,0.0684222886,0.0436795175,0.054573763000000004
ytf__delyddM__2,-0.9777810377,0.0510243685,-0.151100395
ytf__delyheO__1,1.0062870123,0.0094733505,0.8229417680000001
ytf__delyheO__2,0.1769864756,0.024496082500000002,0.8010121480000001
fps__bw_glc__1,-0.723851149,-0.5196136545,-0.6319432420000001
fps__bw_glc__2,-0.0039764329,-0.6788874785,-0.9333703590000001
fps__fps_thrA_ale1__1,-0.26806128760000003,-0.3205594465,-0.514937132
fps__fps_thrA_ale1__2,-0.0934264184,-0.42812930250000003,-0.675418116
fps__fps_thrA_ale2__1,-0.3517345787,-0.4658414105,-0.759328333
fps__fps_thrA_ale2__2,-0.012998267400000001,-0.4076242355,-0.455893417
fps__fps_serB_ale1__1,0.3329252381,-0.3878105415,-0.28490058
fps__fps_serB_ale1__2,-0.0743706049,-0.3348743525,-0.240893666
fps__fps_serB_ale4__1,-0.1431296949,-0.1907283005,0.19968707400000002
fps__fps_serB_ale4__2,0.43733245,0.10126346950000001,0.37585697700000004
fps__fps_ptsI_ale1__1,0.0095033089,-0.8559759545000001,-0.636885385
fps__fps_ptsI_ale1__2,-0.33816215180000003,-0.7988730515,-0.28916820400000004
fps__fps_ptsI_ale3__1,-0.46782823,-0.8056928055,-0.889748764
fps__fps_ptsI_ale3__2,-0.19895613410000001,-0.8484199965,-0.841234916
pal__lyx_ale2_f6__1,0.38099152210000004,-0.3722573105,0.6356548710000001
pal__lyx_ale2__1,0.3664122911,-0.5214724065,0.175810764
pal__lyx_ale2__2,0.1110076215,-0.4881702405,0.340229416
pal__lyx_ale4__1,-0.328553598,-1.0848582725,-1.120419893
pal__lyx_ale4__2,-0.10749694230000001,-1.0038269125,-0.74836547
pal__5drib_ale10_f18__1,1.603497406,0.6129173255,0.357053585
pal__5drib_ale10_f18__2,1.7012563517000001,0.6364002815,0.36501144300000005
pal__5drib_ale10__1,1.7674782504,0.013956801500000001,0.6403125
pal__arab_ale14_f9__1,0.6172491462,-0.3592717405,0.371028053
pal__arab_ale14_f9__2,0.25611966410000003,-0.2363246525,0.349112505
pal__arab_ale14__1,0.27682574,-0.6221584905,-0.7693325710000001
pal__arab_ale14__2,-1.0591839101,-0.6037325335,-1.155766484
pal__arab_ale16__1,2.2377580288,-0.3419427795,0.39508559800000004
pal__arab_ale16__2,1.8370522194,-0.20152948750000002,0.669990545
pal__tartr_ale26_f10__1,0.8031303298,-0.3747926055,0.607691887
pal__tartr_ale26_f10__2,1.3034174813,-0.35274892150000003,0.932364158
pal__tartr_ale26__1,0.47026151120000004,-0.45010071150000003,0.218205541
pal__tartr_ale26__2,-0.2637408525,-0.3057581085,0.0075551820000000006
pal__tartr_ale28_f10__1,0.6205178469,-0.4779141955,1.149987571
pal__tartr_ale28_f10__2,0.42536346080000004,-0.48248354050000003,1.2922559580000001
pal__tartr_ale28__1,-0.4365657505,-0.5465418105000001,-0.504346998
pal__tartr_ale28__2,0.6504373443,-0.6007871505,-0.381312529
efeU__delmenFentC_citr__1,0.228219796,-0.3912163105,-0.230221941
efeU__delmenFentC_citr__2,-0.16431024330000002,-0.5284220465,-0.693663319
efeU__delmenFentC__1,-1.8721398215,0.08356590650000001,0.30782696800000003
efeU__delmenFentC__2,-1.8540744093,0.053814073500000004,0.20179038500000002
efeU__menFentC_ale39__1,1.9812570475000002,-0.3340089295,-0.44149795300000005
efeU__menFentC_ale39__2,2.0039077551,-0.2956222475,-0.09014701400000001
efeU__menFentC_ale29__1,1.5440207447,-0.0378373955,-1.54927912
efeU__menFentC_ale29__2,3.3663933611,-0.0412327315,-1.276296095
efeU__menFentC_ale30__1,2.3574652441,-0.7487878285,-1.161925149
efeU__menFentC_ale30__2,2.0610209969,-0.7009630315000001,-1.645163405
efeU__menFentCubiC_ale36__1,-1.3442160948000001,-0.18203062050000002,-0.272315888
efeU__menFentCubiC_ale36__2,-1.1334701516,-0.2151145645,-0.253532468
efeU__menFentCubiC_ale37__1,-1.4077442136,-0.0737356045,-0.7297917580000001
efeU__menFentCubiC_ale37__2,-1.2241426512,-0.0430306665,-0.530349037
efeU__menFentCubiC_ale38__1,0.2710179142,-0.0768021715,-1.107868684
efeU__menFentCubiC_ale38__2,0.6461837943000001,-0.2355697055,-0.9876585170000001
misc2__salc_glc__1,-0.7755832662000001,0.1359028115,1.266036921
misc2__salc_glc__2,-0.2140634882,0.44392921550000003,1.336211462
misc2__dbcn_glc__1,-1.2274866878,-0.6235655355,-1.8183526890000001
misc2__dbcn_glc__2,-1.0267348544,-0.4320346105,-1.3703557690000001
misc2__tyr_glc__1,-0.1643911422,-0.2007496575,-0.8243443300000001
misc2__tyr_glc__2,-0.1165171512,-0.1041754705,-0.719050152
misc2__arg_cytd__1,1.0388944597,-0.6218984005,-0.963270018
misc2__arg_cytd__2,1.3254293352,-0.5839646795,-1.047004892
misc2__delyheO_pyr__1,0.0821022705,-0.45300003250000004,-0.417895736
misc2__delyheO_pyr__2,0.2166964536,-0.5385766335000001,-0.7490836590000001
nquinone__delubiC__1,-0.28657944290000004,-0.3668799975,-0.9630661060000001
nquinone__delubiC__2,-0.8203995105,-0.3155679335,-1.012400104
nquinone__ubiC_ale1__1,0.0474915609,-0.1009341795,-0.018553636000000002
nquinone__ubiC_ale1__2,-1.1712763122,-0.2546691535,0.002268562
nquinone__ubiC_ale2__1,0.3719116965,-0.40340550750000004,0.189305215
nquinone__ubiC_ale2__2,0.4761882693,-0.3678198875,0.041761104
nquinone__ubiC_ale3__1,-0.031676099400000005,-0.8875475355,-1.575441671
nquinone__ubiC_ale3__2,-0.6413490512000001,-0.7537812915000001,-1.599807572
nquinone__ubiC_ale4__1,-0.9253277688,-0.32932624050000003,-0.23451527300000002
nquinone__ubiC_ale4__2,-0.0872795325,-0.1580608585,0.086249873
nquinone__delpdhR__1,0.06290171700000001,-0.6353274335,-1.25277588
nquinone__delpdhR__2,-0.8325450345000001,-0.7252746255,-1.2770564
quinone__glu_ale4__1,1.7451605839000002,-0.5979053565,-0.918616426
quinone__glu_ale4__2,1.5484707466,-0.36403217250000003,-0.052657017
quinone__delmenF__1,-0.9534746109000001,-0.1925102585,-0.167502394
quinone__delmenF__2,-0.2742993333,-0.4212613405,-0.37452273
quinone__menF_ale5__1,0.7197898095,0.0905275655,-0.48979552400000004
quinone__menF_ale5__2,1.7959189865,-0.028343522500000003,-0.548745141
quinone__menF_ale6__1,3.1311608802,-0.0886333495,-0.091206071
quinone__menF_ale6__2,1.8932265971,0.0306147075,-0.12106273000000001
quinone__menF_ale7__1,3.9554406437000003,-0.0059721975,0.801440086
quinone__menF_ale7__2,3.7831128875999998,0.0742940055,0.590475768
quinone__menF_ale8__1,1.8817382056,-0.1555023795,1.100885267
quinone__menF_ale8__2,1.4379068792,0.0782791145,0.175203844
quinone__delmenFubiC__1,-0.7954840231,-0.2155050915,-0.298608908
quinone__delmenFubiC__2,-0.0076499185,-0.2042967585,-0.264474408
quinone__menFubiC_ale1__1,3.515888331,-0.1498709755,1.315010247
quinone__menFubiC_ale1__2,3.984922635,-0.1392940585,1.422065717
quinone__menFubiC_ale2__1,2.7034576536,0.0115364335,1.483318629
quinone__menFubiC_ale2__2,3.5654164779,0.0398572935,1.480933861
quinone__menFubiC_ale3__1,-0.28277612550000003,-0.5764822375,-0.56039624
quinone__menFubiC_ale3__2,0.3693656717,-0.4922614065,-0.711761733
quinone__menFubiC_ale4__1,1.4003395332,-0.32117187350000004,-0.916301193
quinone__menFubiC_ale4__2,2.495694553,-0.2823155285,-0.8236762620000001
oxyR__wt_glc__1,-0.3677986019,-0.6475323565000001,-1.265823099
oxyR__wt_glc__2,-0.3726766824,-0.5660511595000001,-1.102007987
oxyR__wt_h2o2__1,0.7203981315,-0.6317375725000001,-1.155675309
oxyR__wt_h2o2__2,0.44382954950000003,-0.2562616105,-0.486116093
oxyR__glu_ale4__1,1.358333727,-0.2800959135,0.342125434
oxyR__glu_ale4__2,1.9985862962,-0.20979638350000002,0.07497923100000001
oxyR__glu_ale4_h2o2__1,3.9301376118,-0.1113272695,0.403477839
oxyR__glu_ale4_h2o2__2,10.0148406739,-0.1168814145,0.271788225
oxyR__oxyR_ale17__1,0.4131753486,-0.3211070615,-1.531526608
oxyR__oxyR_ale17__2,0.6925872129,-0.4334807255,-1.60443505
oxyR__oxyR_ale17_h2o2__1,0.6150272059,-0.32854685850000004,-1.3888708730000001
oxyR__oxyR_ale17_h2o2__2,0.3836812965,-0.4067040685,-1.6544119400000001
oxyR__oxyR_ale18__1,0.7601555057,-0.7690475815000001,-1.851666714
oxyR__oxyR_ale18__2,0.1715725175,-0.7896709075,-1.931891905
oxyR__oxyR_ale18_h2o2__1,1.6015928042,-0.5079082875,-1.5063742740000001
oxyR__oxyR_ale18_h2o2__2,1.1784589695,-0.5136062095,-1.652422149
oxyR__oxyR_ale19__1,0.5200896786,-1.0488298425,-2.66501451
oxyR__oxyR_ale19__2,0.5785860688000001,-0.7677674225000001,-1.695559035
oxyR__oxyR_ale19_h2o2__1,0.45433339500000003,-1.0040422965,-2.306046504
oxyR__oxyR_ale19_h2o2__2,0.23873901830000002,-0.9743311685,-2.2453620020000002
oxyR__oxyR_ale20__1,0.9060666368,-0.7348181785,-1.9108471599999999
oxyR__oxyR_ale20__2,0.9694733929,-0.7374540895,-2.280330343
oxyR__oxyR_ale20_h2o2__1,1.2684629027,-0.5476945355,-2.263840129
oxyR__oxyR_ale20_h2o2__2,0.9861739756000001,-0.5966921155,-2.130770412
svns_pgi__BmePgi24_15__1,-0.6549010473,-0.5030088485,-0.64537186
svns_pgi__BmePgi24_15__2,-0.5421826732,-0.47050639050000004,-0.413797945
svns_pgi__BmePgi24_26__1,-0.1347860714,-0.6809120685000001,-1.255439817
svns_pgi__BmePgi24_26__2,-0.10781937800000001,-0.7789388945,-1.10767002
svns_pgi__BmePgi24_41__1,0.6082962015,-0.5732511435000001,-0.29808376400000003
svns_pgi__BmePgi24_41__2,0.3456759955,-0.7276872855000001,-0.8363728210000001
svns_pgi__BmePgi24_52__1,-0.3022011892,-0.5727720955,-0.700189653
svns_pgi__BmePgi24_52__2,0.175698301,-0.6420311575000001,-1.003691498
svns_pgi__PaePgi2_34__1,-0.3782351568,-0.2539979485,-0.376576719
svns_pgi__PaePgi2_34__2,-0.0591191908,-0.2463934045,-0.46087496800000005
svns_pgi__PaePgi2_63__1,0.2184048121,-0.2773780415,-0.541170449
svns_pgi__PaePgi2_63__2,0.5175738597,-0.2895602155,-0.384920288
svns_pgi__PaePgi24_54__1,-0.09405881940000001,-0.15440206550000002,-0.959598276
svns_pgi__PaePgi24_54__2,-0.6685321032,-0.1285630515,-0.9613800840000001
svns_pgi__PaePgi24_90__1,-0.8846431164,-0.3563040015,-0.5536832540000001
svns_pgi__PaePgi24_90__2,-0.3834442353,-0.2940268075,-0.520794654
abx_media__m9_ctrl__1,4.1408493618,-0.19254825350000002,0.14120211700000002
abx_media__m9_ctrl__2,2.0047700923,-0.0069729905,0.06624787900000001
abx_media__rpmi_ctrl__1,1.5581026187,-1.4277807655,-2.152301894
abx_media__rpmi_ctrl__2,2.5636546597,-0.7138445255,-1.162488013
abx_media__camhb_ctrl__1,1.815017003,-1.6206768645,-2.036333354
abx_media__camhb_ctrl__2,2.6786093636,-1.5540019985,-1.7749610690000002
abx_media__m9_mero__1,3.5224144187,-0.6042016265,-1.4777068610000001
abx_media__m9_mero__2,2.7323347307,-0.32353194750000003,-0.214420826
abx_media__rpmi_mero__1,2.3834916622,-1.1787768155,-1.92398869
abx_media__rpmi_mero__2,1.4233355513000001,-1.2187590125,-1.688170311
abx_media__camhb_mero__1,2.2519800238,-1.8631709255,-2.447664594
abx_media__camhb_mero__2,2.4501000682000003,-1.6599600125,-2.246189013
abx_media__m9_trisulf__1,0.7036583422,0.2735606665,-0.423363751
abx_media__m9_trisulf__2,3.5979376789,0.2572504015,-0.366045404
abx_media__rpmi_trisulf__1,1.4820344701,-0.5835285005,-1.8269273830000001
abx_media__rpmi_trisulf__2,1.6805995107,-0.5953394565,-1.544583196
abx_media__camhb_trisulf__1,1.2487830457,-0.5203182055,-1.444099714
