,A,Fnr,SigA
Pyr_3,2.482719558,-0.1569333333,-0.4892666667
Gly_1,4.1229685563,0.7166666667,-0.9769666667
Gly_2,1.1749798754,1.2370666667,0.1869333333
Gly_3,7.8446544749000005,0.23346666670000002,-1.3730666667
Glucon_1,4.7656118011,-1.3083333333,-0.7808666667
Glucon_2,2.8741426235,-1.0107333333,-0.4182666667
Glucon_3,6.3980778484,-0.3312333333,-1.2729666667
aero_1,-0.8139766022,0.030966666700000003,0.6217333333
aero_2,3.905243115,0.10616666670000001,-0.4162666667
aero_3,1.7341018239000001,1.8510666667,0.5514333333
nit_1,27.3423734452,4.8969666667,0.053733333300000005
nit_2,27.4433811149,5.0039666667,0.0560333333
nit_3,26.6557088469,4.5735666667,-0.2976666667
ferm_1,26.5828659245,4.7644666667,-0.1811666667
ferm_2,29.0125225234,4.8501666667,-0.0399666667
ferm_3,27.5673411122,4.9151666667,0.5924333333
T-5.40H_1,-1.8538355724,-0.6485333333000001,0.2856333333
T-4.40H_1,-1.9930777934,-0.7171333333000001,0.4948333333
T-3.40H_1,-1.8040945632,-0.7990333333,0.2287333333
T-2.40H_1,-0.526933657,-1.0702333333,0.0729333333
T-1.40H_1,-0.6083632219,-1.0059333333,0.0468333333
T-1.10H_1,-1.1745758416,-0.8280333333000001,0.19213333330000001
T-0.40H_1,-0.7897470541,-0.7146333333,-0.30466666670000003
T0.0H_1,0.5366484180000001,-1.1856333333,-0.3593666667
T0.30H_1,4.5732915417,0.6351666667,-1.0119666667
T1.0H_1,4.4894169083,-0.8908333333,-1.1535666667
T1.30H_1,5.9254279645,-0.1456333333,-1.2814666667
T2.0H_1,6.8094316092,-0.3009333333,-1.3330666667
T2.30H_1,4.9383621302,-0.0028333333,-0.7498666667
T3.0H_1,5.2963067121,-0.3604333333,-1.1512666667
T3.30H_1,4.9149878846,6.66667e-05,-1.2810666667000001
T4.0H_1,3.6547495135,-0.0097333333,-1.7384666667
T5.0H_1,4.7277742035,-0.6044333333,-2.0764666667
HPh_1,-1.092651998,-0.7189333333,0.5045333333
HPh_2,-1.399386053,-1.0119333333,0.39183333330000003
HPh_3,-1.4469244773,-0.45723333330000004,0.49003333330000004
LPh_1,-0.8657214026000001,-0.7732333333,0.5711333333
LPh_2,-3.3716641335,-0.39233333330000003,1.1716333333
LPh_3,-1.2778536543999999,-0.6442333333,0.6312333333
LPhT_1,1.4559354049,0.8925666667000001,-0.2227666667
LPhT_2,0.6513260209,1.5155666667,-0.3203666667
LPhT_3,1.118736603,1.9672666667,-0.1312666667
SMMPr_1,-3.2962198723,-0.5695333333,0.5559333333
SMMPr_2,-1.9959362633,0.7972666667,0.5471333333
SMMPr_3,-2.451877833,0.8768666667,0.5252333333
HiTm_1,4.3058817692,0.2850666667,0.6267333333
HiTm_2,1.7770221786,0.7259666667,-0.1802666667
HiTm_3,2.2826067813,0.6285666667,0.0995333333
LoTm_1,0.4128483463,-1.4847333333,-1.1258666667
LoTm_2,0.8872350887,-1.4720333333,-1.2631666667
LoTm_3,0.5607883808,-1.5179333333,-1.2358666667
HiOs_1,2.9923680774,-1.0492333333,-0.2702666667
HiOs_2,4.0486666591,-1.1304333333,-0.3356666667
HiOs_3,3.5571513766000002,-0.9922333333000001,-0.2142666667
BMM_1,-2.2352166051,-0.8746333333,-0.0417666667
BMM_2,-1.8612635987,-1.0112333333,-0.1710666667
BMM_3,-1.1473287342,-0.9865333333,0.0546333333
Heat_1,-0.0497894377,-0.5513333333,-0.2581666667
Heat_2,-0.0624611334,-0.9131333333,-0.49306666670000004
Heat_3,1.5607425393,-0.8318333333,-0.5707666667
Cold_1,-5.5814658205,-1.5346333333,1.3287333333
Cold_2,-3.6601243257,-1.9489333333,0.6937333333
Cold_3,-2.110247018,-2.0602333333,0.2647333333
Etha_1,8.816497714,-1.1789333333,-0.6342666667
Etha_2,9.0444433096,-1.2034333333,-0.7672666667
Etha_3,8.3613420197,-1.2585333333,-0.5228666667
SMM_1,-2.0613084141,-0.6254333333000001,0.0136333333
SMM_2,-1.907790611,-0.8320333333000001,-0.07516666670000001
SMM_3,-1.9547696215,-0.8782333333000001,0.0329333333
Salt_1,1.5067773452000002,-1.8087333333000002,-0.0103666667
Salt_2,1.5738882044,-1.9330333333,-0.1629666667
Salt_3,1.1659883158,-1.8555333333,0.0982333333
Mt0_1,3.2220589962,0.0475666667,0.6742333333
Mt0_3,1.4419364491,0.26586666670000003,0.5918333333
M0t45_1,37.2884860916,5.7764666667,0.6627333333000001
M0t45_2,6.2344123756,1.7626666667,0.6930333333
M0t45_3,35.8790106244,5.8228666667,0.7735333333000001
M0t90_1,20.0135181516,3.3941666667,-0.8367666667
M0t90_2,21.9629149273,4.5728666666999995,0.2521333333
M0t90_3,21.0064534242,3.9461666667,-0.1758666667
M40t45_1,35.8213266552,5.2418666667,0.1509333333
M40t45_2,34.9824861752,5.3243666667,0.5476333333
M40t45_3,34.614812278,5.6521666667,0.6054333333
M40t90_1,21.2158705079,3.5891666667,-0.45386666670000003
M40t90_2,22.5431329093,4.6023666667,-0.3858666667
M40t90_3,21.6414048314,4.3107666667,0.1024333333
dia0_1,1.7691292199,1.0609666667,0.20543333330000002
dia0_2,0.1994481088,-0.0078333333,0.34443333330000003
dia0_3,3.1852200327,1.6835666667,0.7850333333
dia5_1,10.7415733576,0.6735666667,-1.0404666667
dia5_2,5.913212524,-0.5183333333,-1.0363666667
dia5_3,6.0842339255,-0.2820333333,-0.8109666667000001
dia15_1,2.0349564866,-0.6610333333,0.1478333333
dia15_2,-0.030830122600000003,-0.5310333333,0.9208333333000001
dia15_3,2.8060173528,0.3940666667,-0.2680666667
Diami_1,6.5278528852,-0.9437333333000001,-1.1459666667
Diami_2,3.9915426700000003,-0.5372333333,-0.5841666667000001
Diami_3,5.6938331598000005,-0.5660333333,-0.6146666667
Paraq_1,3.3592059789,-0.1681333333,0.7408333333
Paraq_2,1.708735769,0.06546666670000001,0.9730333333000001
Paraq_3,3.9712236287,-1.1600333333,-0.43976666670000003
H2O2_1,1.4549875382000002,0.27596666670000003,0.4620333333
H2O2_2,2.2804670752,0.4698666667,0.6901333333
H2O2_3,3.8650980044,-0.0547333333,0.4272333333
Oxctl_1,3.7337549604999998,0.1933666667,0.3683333333
Oxctl_2,4.3332978809,0.2083666667,0.2219333333
Oxctl_3,2.0740537669,0.5704666667,0.9864333333
GM-0.1_1,-0.4567419051,-0.9408333333000001,-0.0725666667
GM-0.2_1,1.1115884039,-0.8388333333,-0.1156666667
GM+5_1,-1.1982962625,-0.4762333333,-0.12016666670000001
GM+15_1,-1.1850656135,0.43976666670000003,0.0400333333
GM+25_1,-1.9536689132,0.5529666667,0.3367333333
GM+45_1,-0.6624762459,0.2016666667,0.32523333330000004
GM+60_1,-0.7752495681,0.1340666667,0.4418333333
GM+90_1,-1.2589408129,0.0375666667,0.3171333333
GM+120_1,3.6535252631,-0.6769333333,-0.6702666667
GM+150_1,1.1244178262,-0.44723333330000004,-0.0900666667
GM-0.1_2,-2.3609734645,-0.5784333333,0.2604333333
GM-0.2_2,-1.001161361,-0.5621333333,0.37923333330000003
GM+5_2,-2.7997317481,-0.1580333333,-0.0136666667
GM+10_2,-2.9374474009,0.8797666667,0.0517333333
GM+15_2,-1.5185402416,0.8337666667,-0.1918666667
GM+25_2,-1.6113468613,0.6326666667,0.00043333330000000004
GM+45_2,-0.1506910705,-0.6524333333,-0.4550666667
GM+60_2,2.1943451312,-0.3868333333,-0.6092666667000001
GM+90_2,0.5892773488,0.1812666667,0.2807333333
GM+150_2,22.9688551754,3.7670666667,-0.7810666667
GM-0.1_3,-0.2551312696,-0.8438333333,-0.0572666667
GM-0.2_3,-0.3209779277,-0.9868333333,0.0636333333
GM+5_3,-0.31413260190000003,-0.6522333333,0.09503333330000001
GM+10_3,1.9672790445000001,-1.0901333333,-0.7991666667
GM+15_3,-0.0622311732,-0.2520333333,-0.1754666667
GM+25_3,1.7036361314000001,-0.23393333330000002,-0.3334666667
GM+45_3,3.8560729505999998,-0.4161333333,-0.6200666667
GM+60_3,3.6251058047,-0.6515333333000001,-0.5594666667
GM+90_3,1.2156797252,-0.3193333333,-0.0513666667
GM+120_3,2.3605964705,0.1219666667,-0.0019666667
GM+150_3,-0.3102941506,-0.3220333333,0.0067333333
MG-0.1_1,-1.1476087297,0.5574666667,0.1107333333
MG+5_1,-0.9223241143,0.8886666667,0.1254333333
MG+10_1,-1.9531681414,0.9591666667000001,0.4738333333
MG+15_1,0.38742659890000003,0.053666666700000004,-0.3707666667
MG+25_1,-0.5216425857,0.0545666667,0.26933333330000003
MG+45_1,-0.10251973190000001,-0.1920333333,0.0490333333
MG+120_1,4.4385269286,-1.8876333333000002,-0.39686666670000004
MG+150_1,0.6637784496,-0.7730333333,-0.2510666667
MG-0.1_2,0.2330693982,0.0325666667,-0.6843666667
MG-0.2_2,-1.2900963385,0.5327666667000001,-0.1482666667
MG+5_2,-0.9943306037,0.9418666667000001,-0.1624666667
MG+10_2,-0.6562394027,0.9326666667,0.20723333330000002
MG+15_2,-1.3791831503,1.3975666667,0.9027333333
MG+25_2,-0.0482652854,0.1463666667,-0.1571666667
MG+45_2,1.1310686113,-0.1223333333,-0.6668666667
MG+60_2,1.081128993,0.7893666667,0.033833333300000004
MG+90_2,0.8105922288,-0.5555333333,-0.4441666667
MG+120_2,1.0166055678,-1.4197333333,-0.0602666667
MG-0.1_3,-2.1182292474,1.8483666667,0.49413333330000003
MG-0.2_3,-0.8262333859000001,1.4701666667,0.1645333333
MG+5_3,0.49097384530000004,1.4567666667,-0.1720666667
MG+10_3,2.917014567,1.2354666667,-0.2909666667
MG+15_3,-1.3115961555,1.7571666666999999,0.2964333333
MG+25_3,-0.8584252272,1.4585666667,0.18023333330000002
MG+45_3,-0.8819911233000001,1.6715666667,0.3075333333
MG+60_3,1.0720406868,1.3501666667,-0.14326666670000002
MG+90_3,-0.8563928921,0.20576666670000002,0.1077333333
MG+120_3,0.966508601,-1.5892333333000002,-0.3436666667
MG+150_3,0.42265726470000003,-0.7577333333,-0.4068666667
