,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
120,ICA__bw_delpurR_cytd,5.5810840767,0.1436992467099436,2.0,194.0,5.6826947885,195.0,5.4794733649000005,,,,,,,,
121,ICA__ade_glc,5.0864157495,0.2366999804741571,2.0,196.0,5.2537879108,197.0,4.9190435882,,,,,,,,
122,yTF__wt_glc,4.86004161,0.1549747181268933,2.0,198.0,4.7504579359,199.0,4.9696252841,,,,,,,,
123,yTF__delyafC,5.1211148224,0.20461113363560055,2.0,200.0,4.9764329023,201.0,5.2657967425,,,,,,,,
124,yTF__delyeiE,4.9883022331,0.12967484478954444,2.0,202.0,4.896608271,203.0,5.0799961952,,,,,,,,
125,yTF__delyiaJ,4.839712645900001,0.10327189958136589,2.0,204.0,4.7666883854,205.0,4.9127369064,,,,,,,,
126,yTF__delyieP,5.58996881945,0.1659712912851257,2.0,206.0,5.707328245,207.0,5.4726093939,,,,,,,,
127,yTF__wt_ph5,4.61942280465,0.11486485211428368,2.0,208.0,4.5382010888,209.0,4.7006445205,,,,,,,,
128,yTF__wt_ph8,4.4515221199,0.0703207988142344,2.0,210.0,4.5012464336,211.0,4.4017978062,,,,,,,,
129,yTF__delybaO,4.9794499228,0.26498060927316786,2.0,212.0,5.1668195085,213.0,4.7920803371,,,,,,,,
130,yTF__delybaQ,5.0098427323,0.01439999766783944,2.0,214.0,5.0200250683,215.0,4.9996603963,,,,,,,,
131,yTF__delybiH,5.1994782833999995,0.14960536543361388,2.0,216.0,5.093691315,217.0,5.3052652518,,,,,,,,
132,yTF__delydcI_ph5,5.13041053425,0.001555751944782468,2.0,218.0,5.131510617,219.0,5.1293104515,,,,,,,,
133,yTF__delydcI_ph8,5.71880324365,0.22555407145490683,2.0,220.0,5.8782940571,221.0,5.5593124302,,,,,,,,
134,yTF__delyddM,5.3904592000000005,0.21624989685915455,2.0,222.0,5.5433709685,223.0,5.2375474315,,,,,,,,
135,yTF__delyheO,5.0454964887500005,0.20887651622030529,2.0,224.0,5.1931944898,225.0,4.8977984877,,,,,,,,
136,False Positives__bw_glc,5.3904200818,0.11190659516405359,2.0,226.0,5.3112901695,227.0,5.4695499941,,,,,,,,
137,False Positives__fps_thrA_ale1,7.5646150416,0.03070628521418714,2.0,228.0,7.5429024191,229.0,7.5863276641,,,,,,,,
138,False Positives__fps_thrA_ale2,8.1817014671,0.05424612211416564,2.0,230.0,8.2200592679,231.0,8.1433436663,,,,,,,,
139,False Positives__fps_serB_ale1,5.0286387804,0.12384585246523985,2.0,232.0,5.1162110225,233.0,4.9410665383,,,,,,,,
