sample,b3528
fps__fps_thrA_ale1__1,5.655911389046401
fps__fps_thrA_ale1__2,5.82513351399383
fps__fps_thrA_ale2__1,5.421969777256581
fps__fps_thrA_ale2__2,5.531718008897481
fps__fps_serB_ale1__1,5.659348799096921
fps__fps_serB_ale1__2,5.60594268279209
fps__fps_serB_ale4__1,5.1340701706870995
fps__fps_serB_ale4__2,4.87998211681556
fps__fps_ptsI_ale1__1,8.279673474703491
fps__fps_ptsI_ale1__2,8.27901424821619
fps__fps_ptsI_ale3__1,8.12996037255416
fps__fps_ptsI_ale3__2,7.915525404834889
pal__lyx_ale2_f6__1,8.852303107545449
pal__lyx_ale2__1,8.60657092427291
pal__lyx_ale2__2,8.47095605651757
pal__lyx_ale4__1,8.60657092427291
pal__lyx_ale4__2,8.47095605651757
pal__5drib_ale10_f18__1,11.375797405215499
pal__5drib_ale10_f18__2,11.3399536236483
pal__5drib_ale10__1,9.991877757121552
pal__arab_ale14_f9__1,7.431884264715201
pal__arab_ale14_f9__2,7.35988093407068
pal__arab_ale14__1,7.873426763927389
pal__arab_ale14__2,8.004151891637301
pal__arab_ale16__1,8.64233608707223
pal__arab_ale16__2,8.34101714109407
pal__tartr_ale26_f10__1,11.3063909826234
pal__tartr_ale26_f10__2,11.362493108558901
pal__tartr_ale26__1,11.0719884790187
pal__tartr_ale26__2,11.1051775035885
pal__tartr_ale28_f10__1,10.2950663933867
pal__tartr_ale28_f10__2,10.757997382946401
pal__tartr_ale28__1,11.4926305599095
pal__tartr_ale28__2,11.417667951678801
efeU__delmenFentC_citr__1,6.82784768640978
efeU__delmenFentC_citr__2,6.74158529538416
efeU__delmenFentC__1,3.99940587540955
efeU__delmenFentC__2,4.22248251011976
efeU__menFentC_ale39__1,4.63345883647781
efeU__menFentC_ale39__2,4.3166643168643395
efeU__menFentC_ale29__1,5.9969251652388005
efeU__menFentC_ale29__2,6.02036073382642
efeU__menFentC_ale30__1,5.58349772001646
efeU__menFentC_ale30__2,5.900015076813361
efeU__menFentCubiC_ale36__1,5.29066804693308
efeU__menFentCubiC_ale36__2,5.37986392875751
efeU__menFentCubiC_ale37__1,5.70103112270709
efeU__menFentCubiC_ale37__2,5.5521922049523695
efeU__menFentCubiC_ale38__1,5.15693008884778
efeU__menFentCubiC_ale38__2,5.10653714762635
