,A,GcvA
misc__bw_delfabr__2,0.9027983354,-0.1920022245
misc__bw_delfadr__1,-0.3047871514,-0.24888904550000002
misc__bw_delfadr__2,0.0737733602,-0.2448048355
misc__nitr_031__1,-0.5886008226,0.1855368295
omics__wt_glu__1,0.6443430483,0.6665107225
omics__wt_glu__2,1.2704280402,0.4047883105
omics__wt_gly__1,7.1539632032,0.39702372150000004
omics__wt_gly__2,7.0381576384,0.5253776765
omics__wt_thr__1,1.9046207807000002,0.48048894350000004
omics__wt_thr__2,1.9951994955,0.4687181185
omics__bw_ac__1,-0.6757962698000001,0.27127758150000003
omics__bw_ac__2,-1.4130224261,0.09827258450000001
omics__bw_fum__1,0.2032913582,0.0937473575
omics__bw_fum__2,0.5223570218,-0.0497664925
omics__bw_glc__1,-0.6864584088,0.5069315685
omics__bw_glc__2,-0.5842132727,0.3032141185
omics__bw_pyr__1,-1.4093766511,0.2544111585
omics__bw_pyr__2,-1.8253776618000002,0.31625904850000003
ompr__wt_nacl__1,-4.8226401555,-0.2422783645
ompr__wt_nacl__2,-4.9288059663,-0.3726423555
ompr__bw_delompr_nacl__1,-5.262000615,0.2021931495
ompr__bw_delompr_nacl__2,-5.3630218512,0.2807094445
minspan__wt_ade__1,-5.7877640784,0.4393333715
minspan__wt_glc__2,-3.6396869291,0.4343279205
minspan__wt_glc__3,-3.6966965594,0.1320319315
minspan__wt_glc__4,-3.739961594,0.3272571675
minspan__wt_glc_anaero__1,-4.1259327472,0.5112252935
minspan__wt_glc_anaero__2,-3.3177234160999998,0.6039150985
minspan__wt_trp__1,-4.2221868551,0.4017392215
minspan__bw_delcra_glc__2,-5.4914457518,0.4181639045
minspan__bw_delcra_trp__1,-2.722819291,0.4471267155
minspan__bw_delmntr__1,-4.4046200636,0.4466618705
minspan__bw_delnac_ade__1,1.4357813758,-0.0147105095
minspan__bw_delnac_glc__1,-4.9031785554,0.3392603165
cra_crp__wt_ac__1,-0.6189995856,0.4125576935
cra_crp__wt_ac__2,-0.8591657688000001,0.43477580450000003
cra_crp__wt_fru__1,0.495085039,0.5921635775
cra_crp__wt_fru__2,0.0217560478,0.5480442975
cra_crp__delcra_ac__1,-2.8216577446,0.0038148795
cra_crp__delcra_ac__2,-3.1598749712,-0.0190809155
cra_crp__delcra_fru__1,-2.9101511697999998,0.2792343095
cra_crp__delcra_fru__2,-3.0893980183,0.1793478915
cra_crp__delcra_glc__1,0.1107951437,-0.1430060575
cra_crp__delcra_glc__2,0.19480208240000002,-0.1309893185
rpoB__wt_031__1,-1.2291846684,-0.4695287005
rpoB__wt_044__1,-0.6889227579,-0.2361497545
rpoB__wt_lb__1,5.3613049182,-0.3949328405
rpoB__wt_lb__2,5.173282294,-0.5654493375
rpoB__rpoBE546V_031__1,-2.0823451313,-0.057399976500000005
rpoB__rpoBE546V_044__1,-2.1010641927,0.0591552875
rpoB__rpoBE546V_lb__1,3.7159750299,-0.15651412250000002
rpoB__rpoBE546V_lb__2,3.8150820568,-0.4437542795
rpoB__rpoBE546V_glc__1,-0.0045501886,0.0132699375
rpoB__rpoBE672K_glc__1,0.9332678977000001,-0.2474151315
rpoB__rpoBE672K_glc__2,0.7557337696,-0.2749895385
rpoB__rpoBE672K_lb__1,2.0692106087,-0.29526845150000003
rpoB__rpoBE672K_lb__2,2.2378016116,-0.3702216975
crp__wt_fru__1,-0.43484744000000003,-0.0453739425
crp__wt_glyc__1,-0.09420567860000001,-0.12388831750000001
crp__wt_glyc__2,-0.092729744,-0.0781756115
crp__delar1_glyc__1,-0.6812548054,0.8539247665
crp__delar1_glyc__2,-1.7516990501,0.9331214515
crp__delar1ar2_glyc__1,0.46655197730000003,0.22057661050000002
crp__delar1ar2_glyc__2,0.8665627962,0.3120313735
crp__delar1ar2_glyc__3,0.8675523764,0.3863340715
crp__delar2_glyc__1,-2.5504713074,0.13433801850000002
crp__delar2_glyc__2,-2.9617152774,0.2384457735
crp__delar2_glyc__3,-2.6834632629,0.4926786195
crp__delcrp_fru__1,-2.7888924617,0.5640441745
crp__delcrp_fru__2,-2.7034498431,0.4006380735
crp__delcrp_fru__3,-3.2873159793,0.7240652125
crp__delcrp_glc__1,-0.32449884500000004,0.1116710135
crp__delcrp_glc__2,-0.5782830552,0.3906601825
crp__delcrp_glc__3,-1.3607838492,0.2038577375
crp__delcrp_glyc__1,-0.3331208685,0.0717141075
crp__delcrp_glyc__2,-1.1163750793,0.34792108250000003
crp__delcrp_glyc__3,-1.0609192868,0.2926495505
glu__glu_ale3__1,1.1615813774000001,0.3753439015
glu__glu_ale4__1,2.3799452172,0.1715543205
glu__glu_ale5__1,2.4370980920000003,-0.0790167375
glu__glu_ale6__1,2.6139088643,-0.3566495095
glu__glu_ale8__1,0.4674549945,0.42476238250000004
glu__glu_ale9__1,-3.7790014421,0.27017660050000003
glu__glu_ale10__1,1.5599210862000001,0.1748446595
42c__wt_42c__1,-0.5835085191,0.1448845655
42c__42c_ale1__1,-4.4895125407,0.3421230805
42c__42c_ale2__1,0.7813092755000001,0.6240852235000001
42c__42c_ale3__1,0.26051539300000004,-0.0531113005
42c__42c_ale4__1,0.3468079767,0.8435951805
42c__42c_ale5__1,-1.9096520684,-0.0588467845
42c__42c_ale6__1,-3.5519199094,-0.0637746505
42c__42c_ale8__1,-5.5472977978,0.9992939535
42c__42c_ale9__1,0.8727059905000001,0.2422319185
42c__42c_ale10__1,-1.0067515568,0.36469785450000003
ssw__wt_ac__1,-2.9263299578,0.2826265385
ssw__wt_glc__1,-4.1293863697,0.1456692625
ssw__wt_glyc__1,-5.1265665815,0.5039119935
ssw__wt_xyl__1,2.0485975941,-0.1060515645
ssw__glc_ale1__1,-4.8979791032,0.2597131815
ssw__glc_ale2__1,-4.2362183942,0.4075993975
ssw__glc_ale3__1,-4.3963024587,0.5996534265
ssw__glyc_ale1__1,-3.7471955027,0.5734524935
ssw__glyc_ale2__1,-4.7815881156,0.5625989495
ssw__xyl_ale1__1,-5.7935572724,0.5522191895
ssw__xyl_ale2__1,-2.3148557636,0.6612872975
ssw__xyl_ale3__1,-2.6877964051000003,0.6991334075
ssw__glc_ac_ac2__1,-4.5566495089,0.0286639965
ssw__glc_ac_glc1__1,-4.1015363713,0.3898267845
ssw__glc_glyc_glc__1,-3.4562573808,0.2659773505
ssw__glc_glyc_glyc__1,-5.0361392993,0.2609265915
ssw__glc_xyl_glc__1,-4.2189758699,0.5814189475
ssw__glc_xyl_xyl__1,-3.5616482671,-0.048788411500000003
ica__wt_glc__1,2.1960123365,0.1802630845
ica__wt_glc__2,1.9448666611,0.1546144495
ica__wt_glc__3,-0.8850298508000001,0.0866374605
ica__wt_glc__4,-1.888912805,0.4795497245
ica__arg_sbt__1,0.977406285,-0.3438650495
ica__arg_sbt__2,1.2051600282,-0.3223028745
ica__cytd_rib__1,-4.3876182829,0.31693194550000003
ica__cytd_rib__2,-4.5294831615,0.3627010155
ica__gth__1,-0.3283717277,0.2920059025
ica__gth__2,-0.7995017552,-0.042410695500000005
ica__leu_glcr__1,0.2510027825,0.21792348250000002
ica__leu_glcr__2,0.3296850598,0.1599857765
ica__met_glc__1,-0.6447111938,0.0114202955
ica__met_glc__2,-0.0440417534,-0.15765345050000001
ica__no3_anaero__1,-4.4957057795,0.6321665385
ica__no3_anaero__2,-4.7547749685,0.7272579695
ica__phe_acgam__1,-1.5523450250000002,0.027584076500000002
ica__phe_acgam__2,0.1664267981,-0.0634275935
ica__thm_gal__1,-4.3275094814,0.2731059165
ica__thm_gal__2,-4.1071685188,0.21651206850000002
ica__tyr_glcn__1,-1.1718029375,0.0596675745
ica__tyr_glcn__2,-1.371849487,0.1683125975
ica__ura_pyr__1,-2.474376808,0.5621811425000001
ica__ura_pyr__2,-2.9366670165,0.35150450450000004
ica__wt_glc__5,-3.0512401045,0.3462490595
ica__wt_glc__6,-3.3930357749,0.3247194845
ica__bw_delpurR_cytd__1,-0.1527000668,0.2624439505
ica__bw_delpurR_cytd__2,-5.3051504374,0.39798118050000003
ica__ade_glc__1,-5.6185312642,0.5019691665
ica__ade_glc__2,-0.3447664378,0.3853749735
ytf__wt_glc__1,-0.7158829302,0.6416907435
ytf__wt_glc__2,-0.9812618634,0.8283027645000001
ytf__delyafC__1,-5.7543675717,0.9166632885
ytf__delyafC__2,-5.4425578523,0.9042592125000001
ytf__delyeiE__1,-5.0448788897,0.9662460165000001
ytf__delyeiE__2,-4.4603049733,0.7119788635000001
ytf__delyiaJ__1,-5.7815348882,0.7639586875000001
ytf__delyiaJ__2,-5.5705867813,0.8390553275
ytf__delyieP__1,-4.3230221335,1.0073460965
ytf__delyieP__2,-3.0346069372,0.8643619695
ytf__wt_ph5__1,-0.9074835619,0.8051874065
ytf__wt_ph5__2,-1.4914804523,0.6419049545000001
ytf__wt_ph8__1,-1.3872842401,0.46984588050000003
ytf__wt_ph8__2,-1.4384546595,0.38285997850000003
ytf__delybaO__1,-5.3254196856,0.7266069535
ytf__delybaO__2,-4.7217097894,1.0572344285
ytf__delybaQ__1,-0.6672054757,0.6657170705000001
ytf__delybaQ__2,-0.7015479017,0.4964055965
ytf__delybiH__1,-1.9250487103,0.7621876805000001
ytf__delybiH__2,-4.0518357901,0.8799733055000001
ytf__delydcI_ph5__1,-1.2796874478,0.41408903150000004
ytf__delydcI_ph5__2,-1.1991408011,0.5019277735000001
ytf__delydcI_ph8__1,-1.7892742253,0.3607948845
ytf__delydcI_ph8__2,-1.0079739712,0.34827576050000003
ytf__delyddM__1,-3.7050169619,0.8088248805
ytf__delyddM__2,-3.7498102411,0.5689665715000001
ytf__delyheO__1,-5.0167620799,0.8243609425
ytf__delyheO__2,-4.6011369673,0.7960748355
fps__bw_glc__1,-3.6550413941,0.5027163325
fps__bw_glc__2,-4.1453315235,0.47891423250000004
fps__fps_thrA_ale1__1,-2.7422580378,0.4826448645
fps__fps_thrA_ale1__2,-2.9518802083,0.5873133925
fps__fps_thrA_ale2__1,-2.6237613889,0.6474634025
fps__fps_thrA_ale2__2,-2.62025367,0.4953872635
fps__fps_serB_ale1__1,-4.0187067649,0.5407469175
fps__fps_serB_ale1__2,-4.013031383,0.6264753315
fps__fps_serB_ale4__1,-3.518279167,0.35903480050000003
fps__fps_serB_ale4__2,-3.5702583122,0.7172241435000001
fps__fps_ptsI_ale1__1,-2.7086436322000003,0.0102754065
fps__fps_ptsI_ale1__2,-2.5830420261,0.2585200965
fps__fps_ptsI_ale3__1,-1.8328169557,0.2874761095
fps__fps_ptsI_ale3__2,-1.9505400463,0.1970380545
pal__lyx_ale2_f6__1,-2.5284389777,0.1687603665
pal__lyx_ale2__1,-0.9132597473,0.1258094125
pal__lyx_ale2__2,-1.0990963359,0.2421641115
pal__lyx_ale4__1,0.8297052233000001,-0.057303690500000004
pal__lyx_ale4__2,0.6804528922,-0.2051838555
pal__5drib_ale10_f18__1,-2.582937143,0.0217623135
pal__5drib_ale10_f18__2,-2.7933054255,0.23227141650000002
pal__5drib_ale10__1,-2.9465471812,0.2248673615
pal__arab_ale14_f9__1,-1.751303128,0.5355455655
pal__arab_ale14_f9__2,-1.9426470873000001,0.4131347685
pal__arab_ale14__1,-2.4625829453,-0.0518322765
pal__arab_ale14__2,-1.8921583174,0.1541074385
pal__arab_ale16__1,0.9221096256,0.41002110750000004
pal__arab_ale16__2,0.13176271550000002,0.44919091250000004
pal__tartr_ale26_f10__1,-3.4311206442,-0.1016252125
pal__tartr_ale26_f10__2,-3.4598649089,0.2294316295
pal__tartr_ale26__1,-2.927442981,0.036919837500000004
pal__tartr_ale26__2,-3.0302018683,-0.1864342995
pal__tartr_ale28_f10__1,-4.1601584181,0.20979658950000002
pal__tartr_ale28_f10__2,-4.104511817,0.3351855765
pal__tartr_ale28__1,-3.2753452867,-0.0037082005
pal__tartr_ale28__2,-2.5445235526000003,0.0476197105
efeU__delmenFentC_citr__1,-0.4705302635,0.6507313225
efeU__delmenFentC_citr__2,-0.20132914000000002,0.5921573565
efeU__delmenFentC__1,-4.1331696953,0.6284339185000001
efeU__delmenFentC__2,-3.7338801556,0.6978845715
efeU__menFentC_ale39__1,-5.2996707209,0.048233159500000004
efeU__menFentC_ale39__2,-5.4893954773,0.1498333705
efeU__menFentC_ale29__1,-5.8545469411,-0.0330326825
efeU__menFentC_ale29__2,-5.9929168239,-0.23346863550000002
efeU__menFentC_ale30__1,-3.9917341503,0.4763262395
efeU__menFentC_ale30__2,-4.713449958,0.2482715345
efeU__menFentCubiC_ale36__1,-3.279609393,0.4736606035
efeU__menFentCubiC_ale36__2,-2.9856274043,0.5040932195
efeU__menFentCubiC_ale37__1,-4.4755177962,0.7023725425
efeU__menFentCubiC_ale37__2,-4.3954962432,0.6021728785
efeU__menFentCubiC_ale38__1,-4.2295007677,0.6212788035
efeU__menFentCubiC_ale38__2,-4.4195765149,0.47325274450000004
misc2__salc_glc__1,-0.8541155323,0.8820539155
misc2__salc_glc__2,-1.0532732365,0.7000695835
misc2__dbcn_glc__1,0.6517438674,-0.4263838165
misc2__dbcn_glc__2,-0.4271006556,-0.47631861350000004
misc2__tyr_glc__1,-3.1527567859,0.4099454315
misc2__tyr_glc__2,-3.184261306,0.5197160175000001
misc2__arg_cytd__1,-0.1958008255,0.2796713735
misc2__arg_cytd__2,0.1498748757,0.2353257135
misc2__delyheO_pyr__1,-3.1355070047,0.2869266885
misc2__delyheO_pyr__2,-2.2841459376,0.2673536895
nquinone__delubiC__1,-1.2678044026,0.4758869845
nquinone__delubiC__2,-2.112868898,0.6088175735
nquinone__ubiC_ale1__1,-4.3529452883,0.4532264475
nquinone__ubiC_ale1__2,-4.1737428958,0.7708689315
nquinone__ubiC_ale2__1,-4.0351327412,0.7370433405
nquinone__ubiC_ale2__2,-4.0700210045,0.6829133375
nquinone__ubiC_ale3__1,-1.7958652903,0.2645965495
nquinone__ubiC_ale3__2,-2.0461829382,0.2923210365
nquinone__ubiC_ale4__1,-4.6242214237,0.6833058735
nquinone__ubiC_ale4__2,-4.382162417,0.8033946915
nquinone__delpdhR__1,0.5270299215,0.1189900935
nquinone__delpdhR__2,0.5893784546,0.1911553575
quinone__glu_ale4__1,-3.325624534,0.4481146415
quinone__glu_ale4__2,-2.9507140354,1.1091705875
quinone__delmenF__1,-0.4845743015,0.5555470425
quinone__delmenF__2,-0.7315874052,0.5815312715000001
quinone__menF_ale5__1,-4.9929873672,0.2698759925
quinone__menF_ale5__2,-5.1875827477,0.3762970165
quinone__menF_ale6__1,-4.7462385426,0.5125643295
quinone__menF_ale6__2,-5.0891519921,0.1462886485
quinone__menF_ale7__1,-5.3074229864,0.33333099250000003
quinone__menF_ale7__2,-5.5602869986,0.2370983885
quinone__menF_ale8__1,-6.6332218979,0.3935865605
quinone__menF_ale8__2,-7.3247991911,0.6922836795
quinone__delmenFubiC__1,-1.5479033191,0.4941685865
quinone__delmenFubiC__2,-1.7874880313000001,0.4216930895
quinone__menFubiC_ale1__1,-5.5416861612,0.1489679045
quinone__menFubiC_ale1__2,-5.7900756302000005,0.1254113745
quinone__menFubiC_ale2__1,-6.3321712309,0.1822485165
quinone__menFubiC_ale2__2,-6.0085250157,0.21590865850000002
quinone__menFubiC_ale3__1,-3.563788369,0.3101191185
quinone__menFubiC_ale3__2,-3.6815981922,0.0707226155
quinone__menFubiC_ale4__1,-5.2657376036,0.5906413705
quinone__menFubiC_ale4__2,-5.3154941003000005,0.3649930135
oxyR__wt_glc__1,1.2432296596,0.2256038545
oxyR__wt_glc__2,0.6975709379,0.3642399955
oxyR__wt_h2o2__1,0.32344077450000003,0.1692516835
oxyR__wt_h2o2__2,-2.2470631341,0.36734317650000003
oxyR__glu_ale4__1,-2.6651062861,0.8054202855
oxyR__glu_ale4__2,-3.0868587258,0.8860498155000001
oxyR__glu_ale4_h2o2__1,-2.471356745,0.9979964505000001
oxyR__glu_ale4_h2o2__2,-3.3346756232,0.8930626635000001
oxyR__oxyR_ale17__1,-4.396211933,0.7896041775
oxyR__oxyR_ale17__2,-4.2244639985,0.5184705145
oxyR__oxyR_ale17_h2o2__1,-4.4748919291,0.6364151545
oxyR__oxyR_ale17_h2o2__2,-4.2392422655,0.5399212605
oxyR__oxyR_ale18__1,0.5091297698,-0.1176071935
oxyR__oxyR_ale18__2,-1.5760327149000002,0.0329872435
oxyR__oxyR_ale18_h2o2__1,-2.8407013645,0.4268553325
oxyR__oxyR_ale18_h2o2__2,-2.3987161579,0.2949857805
oxyR__oxyR_ale19__1,1.3030100359,0.012973083500000001
oxyR__oxyR_ale19__2,-1.5004523485,0.1758947115
oxyR__oxyR_ale19_h2o2__1,1.3154398032999999,0.1677988845
oxyR__oxyR_ale19_h2o2__2,1.7600673243,0.0640052895
oxyR__oxyR_ale20__1,-2.3280729653,0.3285853345
oxyR__oxyR_ale20__2,-2.0225869662,0.2929978625
oxyR__oxyR_ale20_h2o2__1,-3.7582145648000003,0.5323979075
oxyR__oxyR_ale20_h2o2__2,-3.7910182887,0.5088865965
svns_pgi__BmePgi24_15__1,-0.5356459304,0.5223463065
svns_pgi__BmePgi24_15__2,-0.3103766881,0.4045158655
svns_pgi__BmePgi24_26__1,0.47017427510000004,0.4415642125
svns_pgi__BmePgi24_26__2,0.44608104940000004,0.5650489505
svns_pgi__BmePgi24_41__1,-4.8521127068,0.6534562365000001
svns_pgi__BmePgi24_41__2,0.5776627806,0.4376411075
svns_pgi__BmePgi24_52__1,-0.7462121835000001,0.5149517115
svns_pgi__BmePgi24_52__2,0.7240448183,0.5001188545
svns_pgi__PaePgi2_34__1,-0.4915862221,1.1875313105
svns_pgi__PaePgi2_34__2,-0.3569040369,0.9093305955000001
svns_pgi__PaePgi2_63__1,-0.9877580220000001,0.9841948905000001
svns_pgi__PaePgi2_63__2,-1.057025402,0.9684792655000001
svns_pgi__PaePgi24_54__1,-0.5915309763000001,0.6940084905
svns_pgi__PaePgi24_54__2,-0.6441964298,0.5702762995
svns_pgi__PaePgi24_90__1,-0.2747403761,0.6753628215
svns_pgi__PaePgi24_90__2,-1.2621132649,0.7159353475
abx_media__m9_ctrl__1,-4.6729300311,0.5313885325000001
abx_media__m9_ctrl__2,-4.8629513197000005,0.21477940450000002
abx_media__rpmi_ctrl__1,1.3045686561,0.4171542515
abx_media__rpmi_ctrl__2,2.4836586761,0.7395594025000001
abx_media__camhb_ctrl__1,-5.5206271138,-0.0453932815
abx_media__camhb_ctrl__2,-4.7278099561,0.0087399055
abx_media__m9_mero__1,-6.4185180787,0.35962217550000003
abx_media__m9_mero__2,-4.783527589,0.33557114050000003
abx_media__rpmi_mero__1,1.4648693947,0.4877521285
abx_media__rpmi_mero__2,1.4958091162,0.21830378450000001
abx_media__camhb_mero__1,-6.1680887452,-0.34655597050000003
abx_media__camhb_mero__2,-5.2273312431,-0.0848226135
abx_media__m9_trisulf__1,-6.1551171224,-0.3275582835
abx_media__m9_trisulf__2,-5.4947838471,-0.0859325665
abx_media__rpmi_trisulf__1,-6.3427421309,0.1568901905
abx_media__rpmi_trisulf__2,-6.5938596765,0.3640933075
abx_media__camhb_trisulf__1,-5.7317299426,0.6843898905
abx_media__camhb_trisulf__2,-5.5270275329,0.5180381175000001
abx_media__m9_cef__1,-4.2719359714,-0.0119884445
abx_media__m9_cef__2,-3.9654059568,-0.047480045500000005
abx_media__rpmi_cef__1,-2.9938537376000003,1.3693115745
abx_media__rpmi_cef__2,-2.6577638347,1.4389712495
abx_media__camhb_cef__1,-2.8696564758000003,0.2125323375
abx_media__camhb_cef__2,-3.3074844458,0.2719911755
abx_media__m9_cipro__1,-4.0854809872,-0.14824128150000002
abx_media__m9_cipro__2,-4.2976735206,-0.0743212075
abx_media__rpmi_cipro__1,-3.7091479375,0.5864432615
abx_media__rpmi_cipro__2,-3.9378363665,0.3837475355
abx_media__camhb_cipro__1,-4.450816465,-0.0877595665
abx_media__camhb_cipro__2,-5.0680953625,-0.0749135725
hot_tale__42c_ale3_30c__1,1.5123427741,0.3397913165
hot_tale__42c_ale3_30c__2,1.3730357505000002,0.26425310550000003
hot_tale__42c_ale3_37c__1,0.49986345670000004,0.5442755395000001
hot_tale__42c_ale3_37c__2,0.5782460169,0.3179510095
hot_tale__42c_ale3_44c__1,-2.8525798132,1.2231145575
hot_tale__42c_ale3_44c__2,-2.4835650789,1.1076418375000001
hot_tale__hot_ale3_mid_30c__1,-0.24974768200000003,0.5668964305
hot_tale__hot_ale3_mid_30c__2,2.2281843436,0.32068844150000003
hot_tale__hot_ale3_mid_37c__1,-0.0401654472,0.3796768585
hot_tale__hot_ale3_mid_37c__2,-0.6006086974,0.32551523250000003
hot_tale__hot_ale3_mid_44c__1,-1.9503791829,0.8950332015
hot_tale__hot_ale3_mid_44c__2,-2.7065833797,1.0286799065
hot_tale__hot_ale3_30c__1,2.2455327915,0.1441232825
hot_tale__hot_ale3_30c__2,2.3757668026,0.0253298365
hot_tale__hot_ale3_37c__1,0.3558560645,0.0580064365
hot_tale__hot_ale3_37c__2,0.4072108148,0.1704042825
hot_tale__hot_ale3_44c__1,-1.5916388343999999,0.7729067915000001
hot_tale__hot_ale3_44c__2,-1.8129721638,0.7457656445
hot_tale__hot_ale4_30c__1,0.32317797930000003,0.2126117535
hot_tale__hot_ale4_30c__2,0.0961335765,0.2497402255
hot_tale__hot_ale4_37c__1,-2.2845281502,0.3352829385
hot_tale__hot_ale4_37c__2,-1.6256982078000002,0.4069339475
hot_tale__hot_ale4_44c__1,-2.1527569311,0.9127588025000001
hot_tale__hot_ale4_44c__2,-2.9189649784,0.9846428515000001
hot_tale__hot_ale8_30c__1,-2.7037455166,0.053494134500000005
hot_tale__hot_ale8_30c__2,-2.3265331181,0.0859148145
hot_tale__hot_ale8_37c__1,-2.0958799759,0.3738182725
hot_tale__hot_ale8_37c__2,-2.2933980172,0.3503346375
hot_tale__hot_ale8_44c__1,-4.3144696946,0.9605991115
hot_tale__hot_ale8_44c__2,-4.2347776214,0.9080230725
hot_tale__hot_ale9_mid_30c__1,-5.4281992879,0.4623254935
hot_tale__hot_ale9_mid_30c__2,-4.7733139608,0.3028733045
hot_tale__hot_ale9_30c__1,0.9245392973000001,0.1870248935
hot_tale__hot_ale9_30c__2,0.9595916479000001,0.2751463125
hot_tale__hot_ale9_mid_37c__1,-4.1593168718,0.42022436550000003
hot_tale__hot_ale9_mid_37c__2,-4.3387079141000005,0.4985226575
hot_tale__hot_ale9_37c__1,-3.9493035927,0.34456736450000003
hot_tale__hot_ale9_37c__2,-3.6739829336,0.3683195815
hot_tale__hot_ale9_mid_44c__1,-3.7983030725,0.9459425565
hot_tale__hot_ale9_mid_44c__2,-2.9252083702,1.0390166465
hot_tale__hot_ale9_44c__1,-2.9988514011,0.7997153195000001
hot_tale__hot_ale9_44c__2,-3.1135206753,0.6302673565
hot_tale__hot_ale10_30c__1,-0.5934883987,0.1391591185
hot_tale__hot_ale10_30c__2,-0.7153662671000001,0.0834793395
hot_tale__hot_ale10_37c__1,-1.8129771797,0.2650969105
hot_tale__hot_ale10_37c__2,-2.0498087654,0.2979856695
hot_tale__hot_ale10_44c__1,-3.2696153716,0.6410206855
hot_tale__hot_ale10_44c__2,-2.610965362,0.7837729625000001
hot_tale__hot_ale16_30c__1,-4.0541456049,0.2490970455
hot_tale__hot_ale16_30c__2,-3.6055912481,0.35281715150000004
hot_tale__hot_ale16_37c__1,-2.0726867417,0.29595832650000004
hot_tale__hot_ale16_37c__2,-1.9829499961,0.3338065745
hot_tale__hot_ale16_44c__1,-0.7229129726,0.8467232785000001
hot_tale__hot_ale16_44c__2,-0.7414968151,0.9644691645000001
pdhr_ale__pdhR-13_51__1,-3.4496596533,0.2664810105
pdhr_ale__pdhR-13_51__2,-3.0065236979,0.2340153355
pdhr_ale__pdhR-14_46__1,-3.6865150313,0.24239973250000002
pdhr_ale__pdhR-14_46__2,-3.4540340196,0.29957640750000003
pdhr_ale__pdhR-15_51__1,-4.1070188862,0.3102658145
pdhr_ale__pdhR-15_51__2,-3.9085395813,0.3862255305
pdhr_ale__pdhR-16_49__1,-3.8308072817000003,0.5118076315
pdhr_ale__pdhR-16_49__2,-3.6988963289,0.30744522150000003
tcs__del_atoC_LiAcet__1,-3.0333186942,0.20947066250000002
tcs__del_atoC_LiAcet__2,-2.7617754981,-0.0352380135
tcs__del_atoC_LiCl__1,-2.9160142541000003,0.0290956085
tcs__del_atoC_LiCl__2,-3.1686706937,0.0633888965
tcs__del_atoC_m9__1,-3.8920166198,0.0482716115
tcs__del_atoC_m9__2,-3.912672268,-0.0383470475
tcs__del_baeR_etoh__1,4.0681321266,0.29980271950000004
tcs__del_baeR_etoh__2,4.5463671671,0.2787594355
tcs__del_baeR_lb__1,5.1444373248,-0.3634337295
tcs__del_baeR_lb__2,5.2743943027,-0.4265797425
tcs__del_btsR_01xlb__1,-2.8792128183,0.0261928705
tcs__del_btsR_01xlb__2,-4.0270720085,0.0298679785
