,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A
26,Carbon__M9Na_ribose_Mid,2.8234566452239407,2.232699623575411,2.0,52.0,1.2446996010411155,53.0,4.402213689406766
27,Carbon__M9Na_succinate_Mid,4.055934546628462,0.5222604483293279,2.0,54.0,3.686640642069268,55.0,4.425228451187657
28,Carbon__M9Na_sucrose_Mid,-4.486406839913357,0.4522405138794133,2.0,56.0,-4.806189174004779,57.0,-4.166624505821935
29,TF__LBv2_HapROver_Late,-1.8879540866938669,0.6960462801698454,2.0,58.0,-2.380133131421636,59.0,-1.3957750419660977
30,TF__LBv2_HapROver_Mid,1.3240977579324609,1.7482853685765951,2.0,60.0,2.560322197502194,61.0,0.087873318362728
31,TF__LBv2_HapROver_Stat,-3.293727958642698,0.5131617481361642,2.0,62.0,-3.656588110595323,63.0,-2.930867806690073
32,TF__LBv2_LuxOOver_Late,2.4840674844134183,0.2876224193062534,2.0,64.0,2.687447247526151,65.0,2.280687721300686
33,TF__LBv2_LuxOOver_Mid,-5.718336611392164,0.11884864702326199,2.0,66.0,-5.634297927147169,67.0,-5.802375295637159
34,TF__LBv2_LuxOOver_Stat,-9.287131682525533,1.2168192801640962,2.0,68.0,-8.426710518042968,69.0,-10.1475528470081
35,TF__LBv2_QstROver_Late,-2.215697382983345,1.0764211048741326,2.0,70.0,-2.9768420456521603,71.0,-1.4545527203145303
36,TF__LBv2_QstROver_Mid,-8.172134927873705,0.9252184821460505,2.0,72.0,-8.826363190678302,73.0,-7.517906665069108
37,TF__LBv2_QstROver_Stat,-11.460716499638238,0.6312304873945692,2.0,74.0,-11.907063857766628,75.0,-11.01436914150985
38,TF__LBv2_TfoXOver_Late,2.1429011734594132,1.3215444929776679,2.0,76.0,3.07737424608366,77.0,1.2084281008351667
39,TF__LBv2_TfoXOver_Mid,-6.596920397597383,0.1782114108100182,2.0,78.0,-6.470905900528797,79.0,-6.722934894665968
40,TF__LBv2_TfoXOver_Stat,-9.31628053355736,0.7371887784882619,2.0,80.0,-8.795009349273684,81.0,-9.83755171784104
41,Stress-I__20-300-T1,-0.6778219876250609,1.3006806075741688,2.0,82.0,0.2418980901484727,83.0,-1.5975420653985943
42,Stress-I__20-300-T2,-1.666523647204937,2.0147247840925737,2.0,84.0,-0.2418980901484751,85.0,-3.0911492042613986
43,Stress-II-1__LBv2_LowpH_Mid,-4.726495929097613,0.2785077052143552,2.0,86.0,-4.923430616067388,87.0,-4.529561242127839
44,Stress-II-1__LBv2_highSalt_Mid,-4.58792490322227,0.6423300954561136,2.0,88.0,-4.13372893696505,89.0,-5.042120869479491
45,Stress-II-2__M9Na_glucoseKanamycin_Mid,-3.827511961957457,0.8574385142032511,2.0,90.0,-4.433812549801094,91.0,-3.2212113741138206
46,Stress-III__R_wt,3.885780586188048e-16,0.3239344138162056,2.0,92.0,-0.2290562206691278,93.0,0.2290562206691286
47,Stress-III__R_s,-4.77388769176033,0.18217321128115385,2.0,94.0,-4.645071778712897,95.0,-4.902703604807764
48,Competence-condition__OSS_TfoXOver_Stat,26.317029569073192,3.6258224058373245,2.0,96.0,23.753185958527496,97.0,28.880873179618884
49,Competence-condition__OSS_VectorOnly_Stat,8.798517470154366e-15,0.644887169589803,2.0,98.0,0.4560040907171576,99.0,-0.45600409071714
50,Competence-Recovery__LBv2_TfoXOver_Recov,-3.891804591114011,1.9950749571893767,2.0,100.0,-2.481073559909942,101.0,-5.30253562231808
51,Competence-Recovery__LBv2_VectorOnly_Recov,1.2212453270876722e-15,2.6061070932523274,2.0,102.0,-1.8427959981370816,103.0,1.842795998137084
