,A,cusR,yedW,cueR
nac_ntrc__bw_delnac_nh4__2,-0.91892592044,7.246351510830669,6.304148564262491,6.02658246823622
misc__wt_no_te__1,-6.58147674128,5.86450237261244,6.06118818474996,7.035564140835849
misc__wt_no_te__2,-2.9965519748799996,6.913552659818749,6.217513196097991,6.83737905966959
misc__bw_delcbl__1,0.8396750240620001,7.39118988939237,6.13134419474486,6.215721744492309
misc__bw_delcbl__2,0.664250214574,7.246343556181261,6.050813927525559,6.33832269499153
misc__bw_delfabr__1,1.20179597659,7.47694740131719,6.04682747813826,6.3033631901913
misc__bw_delfabr__2,1.12596237331,7.25620749088241,5.46516712284614,6.00970682642352
misc__bw_delfadr__1,-1.28237073752,7.03386362869593,5.982499624336901,6.289148481225951
misc__bw_delfadr__2,-1.5618665306900001,7.09123233251065,6.32485861532735,6.48412929065758
misc__nitr_031__1,-3.92712851036,6.969765980329571,5.56490045412843,7.7516438481562195
omics__wt_glu__1,-8.457539126030001,6.2487652179457704,5.424957374165361,6.73777580478572
omics__wt_glu__2,-7.78706777906,6.28515357888418,5.4726003524643,6.83441605720271
omics__wt_gly__1,-9.97188134854,5.76714207089591,5.52457068435187,6.715509175392519
omics__wt_gly__2,-9.87549186253,5.800462563137049,5.315987119690231,6.9120834755700304
omics__wt_thr__1,-6.11153140566,6.6480243118177995,5.21692763850377,7.595468575465469
omics__wt_thr__2,-6.203211599219999,6.6891494984509805,5.1717222458650305,7.36741443973266
omics__bw_ac__1,2.2399599279299998,8.99734179834589,6.578064402642711,7.529578660963299
omics__bw_ac__2,2.33732096759,8.97773760381035,6.73567082426611,7.2530273754482995
omics__bw_fum__1,-0.579328130775,7.98203306798379,6.29399910384606,7.06708395529361
omics__bw_fum__2,-0.674876171912,8.134480064438009,6.47299429396047,7.05249329901822
omics__bw_glc__1,1.58962680725,8.75153288462281,7.210871732917419,7.31826669718941
omics__bw_glc__2,1.83078665815,8.69536355627634,7.12182480877424,7.447294006454849
omics__bw_pyr__1,0.466392984547,8.71075946781326,6.73171999874491,6.92927829565562
omics__bw_pyr__2,0.688064827818,8.85574772986807,6.87482790186278,7.01395756251462
ompr__wt_nacl__1,-11.3377972025,4.61614948408963,6.27279271140276,6.8128285907075705
ompr__wt_nacl__2,-12.9869980695,4.66559285415118,6.60842880729939,7.0175119783204005
ompr__bw_delompr_nacl__1,-11.4236099419,5.36712821300166,5.79488947782358,6.125133972112139
ompr__bw_delompr_nacl__2,-11.0508151908,5.29161793178442,5.8314338401476595,6.46886551971348
minspan__wt_ade__1,-6.32209222931,5.638972368314709,6.65915556779533,6.1674906459082495
minspan__wt_glc__1,-10.175225644400001,5.69905388788875,5.268761458858879,5.93830738999617
minspan__wt_glc__2,-10.3937429477,5.352193660433089,5.83243889373674,6.29261849042104
minspan__wt_glc__3,-9.916410822080001,5.25701802626778,5.89435175422931,5.71914001373784
minspan__wt_glc__4,-9.62489126852,5.7749181047509595,5.859430914629001,6.2885123866941
minspan__wt_glc_anaero__1,-13.154312838,5.1523599336639405,5.465779452172849,7.000384114906759
minspan__wt_glc_anaero__2,-13.724253148199999,5.64013029096381,4.5270458643007006,7.125201877242461
minspan__wt_trp__1,3.84341069612,7.315963839867231,6.40588507731153,6.029988817973269
minspan__bw_delcra_glc__1,-3.1239383580799998,7.16082949151726,6.13278700560782,6.6851434927540305
minspan__bw_delcra_glc__2,-3.3145606559500003,7.07478429344314,6.234361648115259,6.5187625353084195
minspan__bw_delcra_trp__1,4.2760772851199995,7.5735452481144,6.71296139343309,6.34675577872442
minspan__bw_delmntr__1,2.88301667608,8.44333381095556,6.291580263494519,6.516151206171711
minspan__bw_delnac_ade__1,-6.75928216099,5.37758313784201,6.574118203723629,5.55938691885714
minspan__bw_delnac_glc__1,-10.5851302215,5.28367308847454,6.728922384392001,6.17377841081672
cra_crp__wt_ac__1,-0.566069492864,7.6622753511522905,5.171880785382981,7.155843161763741
cra_crp__wt_ac__2,-0.512145864363,7.69195545617609,5.149037796227129,7.32834511234056
cra_crp__wt_fru__1,0.12232940306,7.6397285355269196,5.62633124572477,6.88814045947705
cra_crp__wt_fru__2,-0.182619990077,7.66867884779474,5.85938791208696,6.84591891458591
cra_crp__delcra_ac__1,-3.42156739624,7.357154702071901,6.30122626709404,7.00586399163077
cra_crp__delcra_ac__2,-3.89183717673,7.261870010856639,5.93857893811723,7.21288598242682
cra_crp__delcra_fru__1,-5.5798155518699994,6.228980378796389,5.83414890411408,7.17914850579362
cra_crp__delcra_fru__2,-5.34714778868,6.1847892678797605,5.83305216955859,7.297474845611889
cra_crp__delcra_glc__1,0.825841621533,7.29249811285416,6.19989504757087,6.566024787319349
cra_crp__delcra_glc__2,0.5999594140119999,7.27486519172165,6.22091372203624,6.431687381727
rpoB__wt_031__1,-11.4932623925,5.164863213163629,5.57863185059209,6.512005537475691
rpoB__wt_044__1,-13.243554647,5.44967486285691,5.3644614603587994,7.04669194884771
rpoB__wt_lb__1,-14.555604459100001,5.43415843242574,5.621511928261381,6.44733362153198
rpoB__wt_lb__2,-13.6776027658,5.28722701250123,5.63643944923153,6.61009868175025
rpoB__rpoBE546V_031__1,-12.4971947479,5.26235407894899,5.54034623765689,6.5343938470914695
rpoB__rpoBE546V_044__1,-13.2773144031,4.99138979705222,5.048494166800481,7.008895166348809
rpoB__rpoBE546V_lb__1,-12.367546985399999,5.55176686985913,5.45393999185408,6.115712879139481
rpoB__rpoBE546V_lb__2,-13.155464496199999,5.62291347249367,5.45148877841878,5.7971738508875
rpoB__rpoBE546V_glc__1,-12.0827922852,5.65226882474884,6.224606813935179,6.425993980807821
rpoB__rpoBE672K_glc__1,-9.09052633118,5.20806778988701,4.96783326933668,4.44429035072975
rpoB__rpoBE672K_glc__2,-9.02507937845,5.9165180634968495,5.55049722209278,4.18213076669213
rpoB__rpoBE672K_lb__1,-13.135588842799999,5.501199926551481,4.461946531696481,4.85918611610831
rpoB__rpoBE672K_lb__2,-13.2522118076,5.20533573967946,5.32711900685558,4.90616324225145
crp__wt_fru__1,2.23877181041,8.36005252809154,6.69405753030086,5.92845782314695
crp__wt_glyc__1,-1.0132123813200002,7.23955968207209,5.96125073654062,5.91427558599988
crp__wt_glyc__2,-0.9064851613830001,7.27791769550135,6.1250838996181,5.980954067033559
crp__delar1_glyc__1,0.640557638847,7.812633192563,5.55643949748638,6.33785419492208
crp__delar1_glyc__2,1.46131154725,8.21021225807375,5.63859561924596,6.513649006749509
crp__delar1ar2_glyc__1,0.693705948315,7.68737728698596,5.74358330046378,6.46526813841146
crp__delar1ar2_glyc__2,0.639244155436,7.83362035717371,5.5732996917460405,6.3086451494860105
crp__delar1ar2_glyc__3,0.7943165810930001,7.97663087606139,5.92275870048043,6.284832901195919
crp__delar2_glyc__1,1.19165925676,7.328417394280191,5.296801215659969,6.42387617447672
crp__delar2_glyc__2,1.31207448386,7.23929731301362,5.237885303076999,6.39748720877983
crp__delar2_glyc__3,2.05293958239,7.53586869519542,5.414242251200401,6.740103727707321
crp__delcrp_fru__1,0.021281571098700002,8.062305087144,5.700531894943779,7.33678335394833
crp__delcrp_fru__2,0.29420776877300003,7.89968709330573,5.93590491502274,7.20190926718679
crp__delcrp_fru__3,0.522017059361,8.13703541459539,6.08685907894359,7.206108989331501
crp__delcrp_glc__1,1.20575354992,8.35849322034465,5.6846603866395595,7.042620452872901
crp__delcrp_glc__2,1.2770107528499999,8.19693721807913,5.7648920694807995,7.0766733013818595
crp__delcrp_glc__3,1.25087083797,8.29448342627224,5.77186176043159,6.86146953359069
crp__delcrp_glyc__1,-13.6418450361,6.13517043211936,5.45204952256897,6.3715575234097805
crp__delcrp_glyc__2,-13.987529389,6.0131427714654695,5.414323989911099,6.604485941411849
crp__delcrp_glyc__3,-14.1401627651,5.57437493262819,5.96235488242965,6.684124379076169
glu__glu_ale3__1,-1.21916878392,6.677130251397309,4.8945238231843495,7.15878591213403
glu__glu_ale4__1,-4.83864182886,5.28264882016024,3.23730287598568,6.251720084733731
glu__glu_ale5__1,-7.46449174005,5.1851832369624296,4.94167950534518,6.14150687460564
glu__glu_ale6__1,-3.11681480474,5.31372233478271,3.8533770137336405,5.2439937699716195
glu__glu_ale8__1,4.9284140678199995,7.27528505265097,4.8560855580528095,7.12501495520031
glu__glu_ale9__1,-4.19196521815,5.07144762821499,4.29779743108436,6.83054164144238
glu__glu_ale10__1,-2.25525213044,6.855035371804299,5.112078530158509,7.039660405024629
42c__wt_42c__1,-8.45937912608,6.02171392977327,5.75228921572563,6.38519393862391
42c__42c_ale1__1,-3.17102656241,4.441866616528951,3.6403057332712,6.528923567639491
42c__42c_ale2__1,2.0414490454400003,7.171167493914349,5.16097758363555,6.747485772092411
42c__42c_ale3__1,1.1230413605,7.488177125241621,5.80876490039867,6.962716634118411
42c__42c_ale4__1,2.7298962964599998,7.824075371391141,5.656574297852581,7.73150791141935
42c__42c_ale5__1,0.72593374958,6.5875459557385705,5.797334475766821,6.27509836519351
42c__42c_ale6__1,-5.29557701556,4.32794540286606,3.33698830650142,7.909163716494549
42c__42c_ale8__1,4.2612688871,8.43790607894461,5.6429129277955,7.76887075768497
42c__42c_ale9__1,-0.0469654296557,7.06970486623235,4.44142943171591,6.03469951833796
42c__42c_ale10__1,5.710119850669999,8.99344730281567,6.29624783979412,7.64971614083331
ssw__wt_ac__1,-2.39080514705,7.412844012924889,6.459053920606411,7.75273429328716
ssw__wt_glc__1,-11.357636582,5.32085634893412,6.115743299159269,6.38090634432613
ssw__wt_glyc__1,0.188823458687,6.32992436539046,5.82953825274549,7.09248640501886
ssw__wt_xyl__1,-12.506923642,5.30558129927616,6.842807800275871,6.61242010151112
ssw__glc_ale1__1,1.7611391639099998,5.22060278927232,5.414442001096551,5.97881850926273
ssw__glc_ale2__1,-12.3794585112,4.31000655450799,5.78372749589517,6.16948797096154
ssw__glc_ale3__1,0.83621972318,5.60963525629571,5.16863652306759,6.237678121653451
ssw__glyc_ale1__1,-12.451862508800001,5.326069537110911,6.09820141916126,6.38543301642038
ssw__glyc_ale2__1,-1.38510284592,6.106171505500469,6.24264617037215,6.0683309705878
ssw__xyl_ale1__1,4.3629430964199996,8.293184636501321,7.44789321577504,6.78270989075276
ssw__xyl_ale2__1,3.0688781738700004,8.42512326872831,7.396945792767321,6.1615950407954205
ssw__xyl_ale3__1,4.18796221992,8.105349985955469,7.17196022081778,6.48424872999104
ssw__glc_ac_ac2__1,2.11378466198,7.74325603187536,6.84710293937683,5.45811536740928
ssw__glc_ac_glc1__1,3.45970920072,7.96021202510829,7.78827956054559,6.74994522150414
ssw__glc_ac_glc2__1,-3.4328407318900003,5.30900309971135,5.913893211963139,5.536079024696799
ssw__glc_glyc_glc__1,3.49145457034,7.54761449379375,7.38744630470801,6.64561508385949
ssw__glc_glyc_glyc__1,2.47091065502,7.175918155323241,6.9276688408905605,6.0602085549593605
ssw__glc_xyl_glc__1,4.86504336021,8.66411498200417,7.32125623332504,5.778698567644151
ssw__glc_xyl_xyl__1,0.488511061391,7.457610995241589,6.84363766801288,5.86723789089685
pgi__glu4_delpgi__1,-5.557217549550001,6.267470075034809,3.8598006262536098,6.852458978028491
pgi__pgi_ale1__1,-11.8185566234,5.18165534682063,5.20645630561771,6.47915823246185
pgi__pgi_ale2__1,-12.279193598800001,5.10324779128719,6.0861714815511,6.89925717079188
pgi__pgi_ale3__1,-7.42005632954,5.555653491863179,4.817952320827049,6.67910172412493
pgi__pgi_ale5__1,-11.3771861707,5.23651531695588,4.7172646653248895,6.455285272646691
pgi__pgi_ale6__1,-10.3525472686,5.13231430023931,4.49854852405167,6.54869911294932
pgi__pgi_ale7__1,-11.893689155499999,5.25501006143964,5.195553052635731,6.67215034453429
pgi__pgi_ale8__1,-10.070314443200001,5.27201037196567,4.920206027340651,6.37508516875769
ica__wt_glc__1,2.48964018159,7.80481673369645,6.925495464382871,4.3649128691394905
ica__wt_glc__2,3.2971314135000003,7.76246791815359,6.9562719720136394,4.27758139790722
ica__wt_glc__3,-12.5464991723,5.442973747818379,5.71805175160182,5.839812729682901
ica__wt_glc__4,-12.476478905899999,5.94435587702354,6.60162266315995,5.43874582895481
ica__arg_sbt__1,2.9216848589,7.975213610423401,7.316302431218769,5.534092598326629
ica__arg_sbt__2,3.10070544542,8.41175424581786,7.34123971929878,5.3364283027961905
ica__cytd_rib__1,4.0645038719999995,8.24923238891983,6.96067709210101,5.625688395259651
ica__cytd_rib__2,3.38262879227,8.23259060375225,6.93104385992792,5.3859224542503
ica__gth__1,-7.547973428680001,6.846290339811571,6.29275276609602,7.55126443367473
ica__gth__2,-8.95610193166,6.51557561486924,5.711709792238361,7.880425450450129
ica__leu_glcr__1,2.40876828275,7.66222242082332,6.87601553635831,4.90857173212249
ica__leu_glcr__2,2.08714924296,7.786763505745371,6.939318141663589,4.75583018453564
ica__met_glc__1,-0.0265312111513,6.8641779851313,6.557918326133269,4.57032160319794
ica__met_glc__2,-1.34632147795,6.915944095348309,6.45187248836543,4.63204984337065
ica__no3_anaero__1,-13.5197871078,5.66228697847653,6.26606671637704,6.62425895272902
ica__no3_anaero__2,-13.595608093800001,5.5971552407792,6.55510993498496,6.64125605291163
ica__phe_acgam__1,-5.27023078579,6.3157724884299,6.15233028365906,4.96024886654041
ica__phe_acgam__2,-4.303325217769999,6.34420521067196,6.301708872378041,4.6380869928015
ica__thm_gal__1,2.14201224065,8.09930966059242,6.520820370609179,5.8742948459839495
ica__thm_gal__2,1.79692049973,7.93006021761156,6.19619169084524,5.8367520493558205
ica__tyr_glcn__1,-6.35036164026,5.982872278375879,6.087172832546309,4.61894907816863
ica__tyr_glcn__2,-3.8088795810300002,6.48729658843467,6.188487072433749,4.54259812498451
ica__ura_pyr__1,-4.86756086518,6.66542340771608,6.75575321000858,4.685748202248769
ica__ura_pyr__2,0.7321350655869999,8.01736280684022,7.29216800053836,5.508465571418459
ica__wt_glc__5,1.48396102009,7.5347439953314606,6.744554962255401,5.134282054845389
ica__wt_glc__6,1.7404244051299997,7.49108957866379,6.64588135203079,4.75911001862404
ica__bw_delpurR_cytd__1,1.03543944994,7.37683615286184,6.692828136471291,4.95281906056858
ica__bw_delpurR_cytd__2,0.978570652725,7.69914536555089,6.8764050815606605,4.54961191269825
ica__ade_glc__1,-0.0696519377647,8.301587867990671,7.31529082250682,5.38166384568375
ica__ade_glc__2,0.119745342749,8.379445414153299,7.353479396585809,5.475658475838831
ytf__wt_glc__1,0.5843378139800001,7.651455728793921,7.256928031919191,6.14758632293251
ytf__wt_glc__2,1.9634972662299999,8.47610134596566,7.880565523001129,6.1981976814685495
ytf__delyafC__1,-3.57234079746,6.221626607564731,6.71727877256385,6.42508961954387
ytf__delyafC__2,-4.85557730824,6.06298732233382,6.71021880769256,6.3893383394375896
ytf__delyeiE__1,-9.11704883214,6.048063594332549,7.26850733176677,5.946970947391289
ytf__delyeiE__2,-10.3389166115,5.71699814651587,7.13012376846787,5.84667035663324
ytf__delyiaJ__1,-9.16294479357,5.39870598445825,6.76302726453722,6.467101045107841
ytf__delyiaJ__2,-11.485300206300002,5.48729442304574,7.00019207034158,6.849826270960059
ytf__delyieP__1,4.888698354930001,7.815263296434259,7.419921409433281,6.57144013769375
ytf__delyieP__2,6.02275750132,8.90261737407044,8.47489312573248,6.59893007385531
ytf__wt_ph5__1,-6.18186587836,6.10074548000869,6.70786532509187,6.163384021720691
ytf__wt_ph5__2,-5.87834850171,6.338790684131809,6.756958394795211,6.061593180474389
ytf__wt_ph8__1,-8.79128452218,5.795411376916679,6.692518866890009,5.57767761889282
ytf__wt_ph8__2,-8.71510883887,5.79396340531908,6.7619070674604105,6.082512954757299
ytf__delybaO__1,-5.69045638472,5.7621714871563,6.34788057594706,6.326668090186139
ytf__delybaO__2,2.59243830416,6.8748982205902305,7.194913174374389,6.3232236238135195
ytf__delybaQ__1,0.478253062808,7.72103872577376,7.114784341065639,5.8584944383233095
ytf__delybaQ__2,0.272692658844,7.77982821440212,7.130651296718731,5.67311146583049
ytf__delybiH__1,1.88891848247,8.649642463265291,8.022785297580059,6.42344398714164
ytf__delybiH__2,4.50952182999,9.11551640623482,8.43672833278184,7.1281384283873495
ytf__delydcI_ph5__1,-7.55306641212,6.31354140246938,6.5763619630228,5.76246220074803
ytf__delydcI_ph5__2,-7.689627505730001,5.97445674056848,6.515824101487781,6.02612952642509
ytf__delydcI_ph8__1,-13.2170148595,5.706757625443769,6.783608303055309,5.794868080791169
ytf__delydcI_ph8__2,-4.08962722574,6.577662862697441,7.05653707065591,5.3856112572866
ytf__delyddM__1,-2.2842362754299996,7.135490758028049,7.30115400962934,5.99738450701496
ytf__delyddM__2,0.9712272436470001,7.71691542153214,7.43608998469658,6.06078306162971
ytf__delyheO__1,-8.04961097365,5.703179829561431,6.186328360122549,6.387647027042839
ytf__delyheO__2,2.2965762358200004,7.21238404966197,6.704645801400289,6.22322499361022
fps__bw_glc__1,1.19818908456,8.09134609692458,7.6893652259842,5.81756605110736
fps__bw_glc__2,0.604691490909,8.10019476577275,7.29729914946381,5.770247824840371
fps__fps_thrA_ale1__1,0.809395246057,8.19950626541079,7.74898949987355,6.190824232762999
fps__fps_thrA_ale1__2,1.22045124291,8.063091673670419,7.55874623328848,5.70218084376257
fps__fps_thrA_ale2__1,1.5665351699899999,8.27918974552487,7.71102477387961,6.01624895008373
fps__fps_thrA_ale2__2,1.50081290789,8.22712175689569,7.52724396424016,5.92975382953141
fps__fps_serB_ale1__1,0.00895615884347,7.81213149911127,7.11689918477068,6.101292469640629
fps__fps_serB_ale1__2,0.318628996782,7.8359209733385,6.9076782976335505,5.943606655848909
fps__fps_serB_ale4__1,0.115402831806,8.46619812765736,7.70832842184858,6.72397365727753
fps__fps_serB_ale4__2,0.823918087982,8.426518793719401,7.67625633217499,6.95038044201812
fps__fps_ptsI_ale1__1,-0.0369234083662,8.18807584391865,7.65635969995191,5.83335168089578
fps__fps_ptsI_ale1__2,0.45622032986,8.18621547040831,7.42960570519865,5.8320691887625005
fps__fps_ptsI_ale3__1,1.1036348576200001,8.15862357622651,7.40920774246434,5.57394941250185
fps__fps_ptsI_ale3__2,0.572173356266,8.1252308693197,7.36245412582891,5.70639986790887
pal__lyx_ale2_f6__1,-1.26424540331,7.740213056073049,6.83576327121006,6.47490514538303
pal__lyx_ale2__1,0.910031251251,7.857092491617401,6.32132383782943,5.72147481481334
pal__lyx_ale2__2,0.6496543487399999,7.5586626006924496,6.191112642991341,5.5194388048953495
pal__lyx_ale4__1,0.910031251251,7.857092491617401,6.32132383782943,5.72147481481334
pal__lyx_ale4__2,0.6496543487399999,7.5586626006924496,6.191112642991341,5.5194388048953495
pal__5drib_ale10_f18__1,-0.841978949462,7.600061061741299,5.987203266336781,6.577674382658559
pal__5drib_ale10_f18__2,0.314778552211,7.82704489550965,6.039166488745401,6.6052620798078205
pal__5drib_ale10__1,1.9783917179900004,8.07959642877422,6.73484849714831,6.62129342040213
pal__arab_ale14_f9__1,2.15891637292,8.42214805831573,6.82127353603301,6.665505567588121
pal__arab_ale14_f9__2,2.68862574995,8.56063053780062,7.2660351459227694,6.38863804776263
pal__arab_ale14__1,1.79904441862,7.8406824878771,6.934301894551701,5.91444223968323
pal__arab_ale14__2,2.45977135058,8.06724402271741,7.2942541190232095,5.86731192624387
pal__arab_ale16__1,0.762256674507,8.19338109945733,7.37875549995453,6.344588943820031
pal__arab_ale16__2,4.907945364090001,9.353363393695789,7.9756684921006595,6.581583340818599
pal__tartr_ale26_f10__1,0.6907969832649999,7.624452156227809,6.05934729012668,6.35369666217353
pal__tartr_ale26_f10__2,-0.769488984439,7.22101607307107,5.826363664875539,6.534861063860579
pal__tartr_ale26__1,3.11897894587,8.09930268729937,6.39356822417526,5.98650177990062
pal__tartr_ale26__2,5.54291317834,8.86295794940202,6.82701562900562,5.918548188897001
pal__tartr_ale28_f10__1,-0.9126279563840001,7.72503015967793,6.10332680111758,7.646631003138539
pal__tartr_ale28_f10__2,6.78027882655,10.1485879715146,7.991479059966919,7.77231925321223
pal__tartr_ale28__1,3.55309835296,8.81132100116463,7.06749529239055,6.39694242308331
pal__tartr_ale28__2,2.81063050641,9.10490386196275,7.24491089850351,6.4811782320048605
efeU__delmenFentC_citr__1,-0.579357347407,7.444237071405281,6.588855099308269,5.798522472304129
efeU__delmenFentC_citr__2,-0.924746883224,7.599297142278281,6.70251338579181,5.631319486094379
efeU__delmenFentC__1,0.5537417929330001,8.29769644181631,7.5150584150555,6.45351486888661
efeU__delmenFentC__2,0.7359508566490001,8.4305827809529,7.553293750785119,6.359314942855709
efeU__menFentC_ale39__1,5.11483727884,8.61888537082781,7.12059836768342,5.32329644422063
efeU__menFentC_ale39__2,5.05621223072,8.263398606119232,6.58143607144646,5.5655651333396605
efeU__menFentC_ale29__1,3.7681584567,7.12063689780444,6.04298187139547,5.4892805238627504
efeU__menFentC_ale29__2,0.8812975875299999,5.72328501404034,5.59345364022429,5.863628073666919
efeU__menFentC_ale30__1,1.7974432154700002,7.493557121959929,6.86375625794628,4.9685773559992406
efeU__menFentC_ale30__2,-0.24902620095,7.1888470491497305,6.59528781868156,4.969719134235361
efeU__menFentCubiC_ale36__1,2.16883420313,8.152770052605309,6.898735863054419,5.515678217530089
efeU__menFentCubiC_ale36__2,2.24602277504,8.20110388246699,7.03769713582835,5.5675281793825695
efeU__menFentCubiC_ale37__1,0.914375685965,8.01510256117703,7.34688844299425,5.684548580712
efeU__menFentCubiC_ale37__2,0.609234701002,7.79069011717645,7.19726774731583,5.46866955630526
efeU__menFentCubiC_ale38__1,-2.0290982454299997,6.3393422590247095,7.34823270522508,5.07329351371705
efeU__menFentCubiC_ale38__2,-0.635340397139,6.68038181193032,7.51170259476154,5.459711816267201
