,A,Crp,CytR
SRX5694397,-1.1856700442,-0.0202364792,0.855417736
SRX5694398,0.1432014252,-0.0607073754,0.7767639695
SRX5694399,-1.7551064682000002,-0.2527744328,-0.0565772178
SRX5694400,0.0667072584,-0.1981004934,0.9052330293
SRX5694401,2.1235017435,-0.021523506600000002,0.313794887
SRX5694402,-8.6289817344,-2.6700349591,-0.7231724415
SRX5694403,-4.2545830681,-0.9103162108,0.2556416595
SRX5694404,1.5945083713,0.0943710534,0.8316564660000001
SRX5694405,-3.4462230336,-0.1829334597,-0.0853959063
SRX5694406,-3.8055195555,-0.3972091841,1.3041239505
SRX5694407,-1.3522294203,-0.2638287498,1.4166810901
SRX5694408,0.4290349303,0.0417388443,1.0170706148
SRX5694409,-13.7104112803,-2.2693012292,-0.4857601311
SRX5694410,0.6782421525,-0.1972134109,1.5892285151999999
SRX5694411,-4.7428633857,-0.8663395759,-1.5672475764
SRX5694412,0.7497683314,0.1259657223,0.3718831702
SRX5694413,-6.0537594601,-0.6476176532,1.4355756219
SRX5694414,-10.8832207355,-1.42088019,-2.3749946958
SRX5694415,0.7225792938000001,0.007690172800000001,0.1346803142
SRX5694416,0.078173352,0.0575483496,0.0587507606
SRX5694417,-2.1681805178999998,0.2665585241,0.1021392233
SRX5694418,-13.8156781869,-1.9463157999,-1.3355457992
SRX5694419,-7.4226287726,-1.5689931018,-0.8149650675000001
SRX5694420,-0.7552167885000001,-0.0638843971,0.2530553353
SRX5694421,-2.2989152846,-0.6176702001000001,0.8221116102
SRX5694422,-2.4779466696,-0.058214080700000004,-0.1961487497
SRX5694423,-1.7477266891,-0.3208467193,0.735011673
SRX5694424,-2.2874488957,-0.3043319677,0.4371171804
SRX5694425,1.7209096509,0.2263080572,0.2611625722
SRX5694426,-2.3656214708,-0.6604587882,0.2900688396
SRX5694427,0.5974487489,0.1652363888,0.7988544757
SRX5694428,2.9233250168,0.073808526,-0.0320124542
SRX5694429,-6.7040747095,-1.4421129371,-2.019091619
SRX5694430,0.3640501915,0.0124821121,0.3451267465
SRX5694431,-5.5883202344,-0.0624036472,-0.3184251902
SRX5694432,-0.22905431650000002,-0.3304413054,1.3466301346
SRX5694433,-7.9818590678,-0.8187488844,2.1716476819
SRX5694434,-10.4033279357,-0.6212632720000001,-0.3000654305
SRX5694435,-12.1878041213,-2.0377494386,-0.8032295947
SRX5694436,-12.900271572,-2.3919325405,-1.0159370203
SRX5694437,-11.4701522544,-0.2507206522,-0.2304228479
SRX5694438,1.3791548868,0.07346573220000001,0.2734492494
SRX5694439,-6.5721448554,0.3143882568,-1.9166286393
SRX5694440,-0.3664711134,0.1617989176,0.1125612913
SRX5694441,-5.4190483067,-0.4081937196,-0.3024426161
SRX5694442,-15.5110050727,-1.7002395932,-1.4244139509
SRX5694443,0.4304926871,0.1538530863,0.870386968
SRX5694444,1.9445960716,0.1414549701,0.4892468707
SRX5694445,-12.9667248874,-1.7943494913,-1.3585586801
SRX5694446,2.1544056583,0.2193526747,0.64173771
SRX5694447,-0.21089849030000002,-0.3849941899,0.8597681234000001
SRX5694448,-2.3814590717,-0.732440443,1.8779378584000002
SRX5694449,-0.1794998724,0.1017285234,0.8719636127
SRX5694450,2.1460785477,-0.2163555027,1.5043853888
SRX5694451,1.1088667119,-0.1832599433,0.4317389099
SRX5694452,-6.4217265964,-0.9702752261,-2.147583415
SRX5694453,-5.3662828737,-0.7029806271,1.1496169885
SRX5694454,-0.2955965048,0.2689052974,-0.0956645131
SRX5694455,-8.1733400496,-1.7485042558,-0.8797066125
SRX5694456,-0.5176554925,0.2638014382,0.6609234648
SRX5694457,-1.9322842699,0.1813226141,0.3620682702
SRX5694459,-0.8840765196,-0.0659537084,0.4880553153
SRX5694460,-11.3147219122,-2.6935232182,-0.4451627858
SRX5694461,0.058601561,-0.24608755940000002,1.0065346269
SRX5694462,-6.9811282247,-1.4072956342,-0.0323318727
SRX5694463,0.5909718868,0.13500124700000002,1.2084907832
SRX5694464,0.2505141244,-0.16266356510000002,1.3458333302
SRX5694465,-0.1246511071,-0.08100398930000001,1.8220341469
SRX5694466,-6.4872517558,-0.0203257193,-0.1650564166
SRX5694467,-0.8910904215000001,-0.0864598209,0.5843962538
SRX5694468,-7.1054480034,0.09512308080000001,-1.5767123852
SRX5694469,-0.3791434232,0.056592892000000006,0.11214951000000001
SRX5694470,-0.1078612308,-0.0203162279,-0.3070332416
SRX5694471,-0.6845022521,0.08127249760000001,1.4441572618
SRX5694472,-2.8740930963,-0.42764759150000003,0.3830529225
SRX5694474,0.2048441568,-0.3318785326,0.5805247579
SRX5694475,-0.7033794018,-0.1072682971,1.6445230416
SRX5694476,2.411919696,0.2832759084,0.18212255030000002
SRX5694477,-7.7204254816999995,-2.220698214,-0.1499756401
SRX5694478,0.3284989427,-0.324421403,1.0060939637
SRX5694479,-10.3005996141,-2.078741852,-0.7160946295
SRX5694480,-8.2610478665,-0.8986833081000001,0.1385296197
SRX5694481,-0.33995086750000003,-0.39061972300000003,0.7747353935
SRX5694482,-0.1085833935,0.5302146851,0.480430552
SRX5694483,0.2059529569,-0.0648156579,1.0157436523
SRX5694484,0.33579243740000003,-0.2015433442,0.9189605464
SRX5694485,-1.719827294,0.0561230447,0.9528513319
SRX5694486,0.366783213,0.1840419059,0.0372385393
SRX5694487,0.3650030714,-0.0687134662,0.9366431227
SRX5694488,-0.0291209873,-0.0029101905,1.0299373222
SRX5694489,-2.0067191416,-0.2414092729,0.8407346547000001
SRX5694491,-4.3316723012,-1.3992598427,0.3708601279
SRX5694492,-7.6806573726,-1.4757436121,-0.6309457487
SRX5694493,-7.4233616676,-1.5239909109,-2.4390459928
SRX5694494,-3.1702810302,-0.5778881676000001,0.933602001
SRX5694495,-1.7298310508,0.2383405456,0.5379073999999999
SRX5694496,-0.43202866030000003,0.2231626615,0.24560985330000001
SRX5694497,0.0072706642000000005,-0.6145709097000001,0.4131433074
SRX5694498,-0.7364187861,0.0065499987,1.5710670679
SRX5694499,0.1386630029,-0.2166458346,1.7093387583
SRX5694500,-1.679302762,-0.6082655704000001,1.1023782864
SRX5694501,0.14995276,0.012213341,0.9943551972
SRX5694502,-3.0690026207,-0.8489028276,1.9387980211
SRX5694503,-6.9415210185,-1.5276697252,2.2392135996
SRX5694504,-0.36755292040000004,0.23647347670000002,0.2691519767
SRX5694505,-14.3649962074,-2.8546736802,-1.8274041444
SRX5694506,-2.0049943787,-0.6676717403,2.1995378657
SRX5694507,-0.43326197980000003,0.10364661430000001,0.15078354700000002
SRX5694508,-5.4202304458,-0.8174938777,0.1769789712
SRX5694509,-3.1533138529,-0.1972418484,0.8926182477
SRX5694510,-0.5057444264000001,-0.2550231206,0.4832656563
SRX5694511,1.2371268397,-0.1637807405,0.5440759569
SRX5694512,-4.3166833581,-1.3135012281,0.11222297440000001
SRX5694513,-8.7802392306,-1.2176583871,0.4733277407
SRX5694514,-10.6721614007,-2.7449780099,-0.7323889598000001
SRX5694515,-3.9026507417,0.1674650962,1.3327062946
SRX5694516,-2.7491772376,0.7184192778,-1.4764800394
SRX5694517,-0.8375329032000001,-0.0899811296,1.3090791085
SRX5694518,0.1047516253,-0.0284053616,1.1186685777
SRX5694519,-2.1984530868,-0.4440190169,0.0893297671
SRX5694520,0.15104732310000002,-0.3742459546,2.1517923708
SRX5694521,0.34811005310000004,-0.0823108953,1.2693641418000001
SRX5694522,2.0793082848,0.19009073370000001,0.9288638391
SRX5694523,1.3234538771,0.1230572979,0.25837516
SRX5694524,-1.3167145925,-0.3090692798,0.820549105
SRX5694525,-1.1370537311,0.1271493457,-0.1489807133
SRX5694526,4.1559855943,-0.057352962300000004,-0.1085045686
SRX5694527,-2.1799249319,-0.7911037301,1.0802293647
SRX5694528,-11.8424887742,-2.2550692285,-0.47857589920000004
SRX5694529,1.9360745614,0.09459037740000001,0.5947425660000001
SRX5694530,-0.6193926141,-0.3417330189,1.8122876793
SRX5694532,-3.7394864465,-0.7655932475,0.206387763
SRX5694533,-7.7052644957,-0.8230648089,0.9306820842
SRX5694534,-5.7149981756,-1.0244460877,-1.8256810194000002
SRX5694535,0.29256552480000003,-0.3020521984,2.2401055031
SRX5694536,1.2712175581,0.0940214917,0.8468668019000001
SRX5694537,-0.6720650963,0.0455558508,1.3456806525
SRX5694538,-0.2405855309,0.22416250880000002,0.9634880178
SRX5694539,-0.0924269397,-0.4554145486,1.1258706664
SRX5694540,-5.0296418173,-0.9496879326000001,0.1211058747
SRX5694541,-0.7773465007,-0.14394191280000002,1.1806759674
SRX5694543,-5.7854836085,0.257330798,-1.8320861748000001
SRX5694544,-0.6773282089,-0.3373228733,1.016232174
SRX5694545,2.1979371844,0.035948117,0.4443853742
SRX5694546,3.1688370361000002,-0.3182627866,-0.3945222679
SRX5694547,-0.7256414628000001,-0.1118469182,1.1318182505
SRX5694548,0.0296878788,-0.0372321217,0.24828248100000003
SRX5694550,-8.4174964906,-0.4922607946,-0.1240257262
SRX5694551,-1.5058854131000001,-0.4416388787,2.5279970662
SRX5694552,-1.1776632293,0.0105278607,0.5549767894000001
SRX5694553,-0.07848193,0.2876777482,0.4205802215
SRX5694554,0.30723717770000003,-0.1645882529,0.5408451196
SRX5694555,-4.9174085711,-0.8421746734000001,-0.30695671680000003
SRX6072760,-4.6684543824,-0.7797289048,1.2310428206
SRX6072761,-7.4406308148,-0.9412126322000001,0.01356486
SRX6072762,-4.1565206977999996,-0.555678611,1.2418072983
SRX6072763,-3.7227339055,-0.38526479500000005,1.3772207277000001
SRX6072764,-8.9164433767,-1.0984957077,-0.5896560895
SRX6072765,-3.7385994932,-0.4458656036,1.5248336903
SRX6376491,-5.4875101227,-0.23661516940000002,0.5880749373
SRX6376492,-12.6502257976,-1.8181327083,-0.9739377952
SRX6376493,-12.6394166351,-2.037821897,-1.2983128356
SRX6376494,-16.7391184148,-2.2059426753,-1.4206785166
SRX6376495,-5.8827918332,-0.4792645071,0.5435285426
SRX6376496,-5.3299744181,-0.054275376300000004,0.11727186120000001
SRX2723951,2.5930893149000003,1.2971935035,0.706255996
SRX2723952,5.4455469308,2.020927993,1.5073034548000002
SRX2723953,1.9939670477,0.5760517667,0.3230405179
SRX2723954,7.645825525,2.383091682,2.7890828204
SRX2723955,5.6535582588,1.2512872247,0.9882273263
SRX2723956,0.5950202490000001,1.4331106707,0.7459238517
SRX2723957,1.0272768294,0.1517886605,0.2394982304
SRX2723958,-0.557244205,-0.2646015759,-0.5381335889000001
SRX2723959,0.9616424721000001,0.256464884,0.35837429330000004
SRX2723960,1.6901341703,0.9591927252,1.1378502404
SRX2723961,7.6466523574,2.5388323397,2.5855670748
SRX2723962,1.1754130118,0.9744724369000001,0.3990610593
SRX2723963,-0.5335902683,-0.30103145470000003,-0.7318622657
SRX2723964,6.1932209243,1.2020478367,1.2767323822
SRX2723965,2.2919867558,0.7380002376,0.5280316927
SRX2723966,0.815209242,0.0829169912,0.5359578617
SRX2723967,-0.3907511617,-0.075921268,-0.3519492652
SRX2723968,-0.42445808030000004,-0.006995723200000001,-0.1840085965
SRX6977206,1.6243962818000002,-0.2546401567,-1.0791244183
SRX6977207,2.0945590435,-0.30518404320000003,-0.8518591581
SRX6977208,8.2485137172,-0.5181824078,0.21972557580000002
SRX6977209,7.768497938,-0.675081557,-0.20633860580000002
SRX6977210,8.0971218002,-0.7835359689,-0.18437002530000002
SRX6977211,-0.3759940263,0.2440588662,-0.46690975910000004
SRX6977212,0.1606219653,-0.0309117965,0.0797210493
SRX6977213,0.215372061,-0.21314706960000002,0.38718870980000003
SRX6977214,0.7465221862,-0.39514538390000004,-1.616766136
SRX1153733,-0.1882013808,0.1831441383,0.0322299968
SRX1153734,0.1882013808,-0.1831441383,-0.0322299968
SRX1153735,-2.1831392076,-0.1003374077,0.0933832611
SRX1153736,-1.0787299803,-0.0489066405,-0.37615003010000003
SRX5204053,-0.45334987720000003,-0.1152614403,0.39325938190000004
SRX5204054,0.45086249180000004,0.33069778580000003,-0.15992346300000002
SRX5204055,-0.417824503,0.0395780566,0.16675047710000002
SRX5204056,2.3370534238,0.0799160108,0.8062286427
SRX5204057,2.83032194,0.13476163600000002,0.7549231723000001
SRX5204058,1.9369334559,0.1271931801,0.7429243845
SRX5204059,1.4036994751,0.3101981754,0.2326351301
SRX5204060,0.7586276332,0.16749059400000002,0.049060499300000004
SRX5204061,0.9145214378000001,0.2033144985,0.2074044635
SRX5204062,0.746345863,0.0350800225,0.1821844333
SRX5204063,0.5888847182,-0.018607714600000002,-0.010631321400000001
SRX5204064,0.4477542647,0.0177745832,0.054886497400000005
SRX5204065,0.4673555299,0.1296212176,1.1761881908
SRX5204066,0.197623913,0.0410003929,1.0962213244
SRX5204067,0.5741494412,0.1329939336,0.9392735713
SRX5204068,1.8751082378000001,-0.0046637408,0.2558446311
SRX5204069,1.1976529716,-0.0345939636,0.28963046940000003
SRX5204070,2.1147540003,-0.0639964626,-0.2055711277
SRX5204071,3.3212608595,0.2637505564,0.0323883309
SRX5204072,2.8559477487000002,0.1366857256,0.15064938220000001
SRX5204073,2.3939713975,0.12908140170000001,-0.0083001945
SRX5204074,0.7589455678,-0.0130459532,-0.0413177987
SRX5204075,0.5935353523,-0.051017588700000005,0.27966120980000003
SRX5204076,1.9362368757000001,-0.0771750924,-0.5451889053
SRX5204077,0.2938179681,0.0070308263,0.079236227
SRX5204078,0.3039227597,-0.0562055273,0.1640870136
SRX5204079,0.3387174788,-0.019864096300000002,0.2550562012
SRX5204080,1.8323960512,0.1456210242,0.169742563
SRX5204081,1.6213697627,0.0296414633,-0.1637791976
SRX5204082,1.674567742,0.1012229557,-0.2098253213
SRX5204083,-0.0938188872,0.0599384649,-0.22523349350000002
SRX5204084,-0.1540566201,0.1659899168,-0.0750358233
SRX5204085,-0.1801236883,0.13117654180000002,-0.0629512746
SRX5204086,1.6156361581,-0.45115989980000004,0.3527334559
SRX5204087,2.8122836289,-0.042227577700000005,0.7524926236
SRX5204088,1.2859082749000001,-0.3036384238,0.3789980034
SRX5204089,0.22344668850000002,0.0831416516,-0.11136751710000001
SRX5204090,0.06527749420000001,0.1639234027,-0.0995190802
SRX5204091,0.5801108493,-0.0031211273,-0.22011731180000002
SRX5204092,0.15431998400000002,-0.0810982225,0.334535183
SRX5204093,-0.4559295586,-0.1099524013,0.2149224352
SRX5204094,-0.15346998350000002,0.0403956206,0.2529104824
SRX5204095,0.08943445400000001,0.2016413779,-0.0165502168
SRX5204096,0.5672952197000001,-0.2203103585,0.0407581219
SRX5204097,-0.6567296738,0.0186689805,-0.0242079051
SRX683459,-0.5004939864,-0.0666339028,-0.15726378330000002
SRX683460,3.3530178194999998,0.503766096,-1.5845696442000001
SRX683461,0.009978442,-0.1321270107,0.1532614917
SRX683462,1.6350465446,0.4881845549,-1.845827579
SRX683463,0.4905155445,0.1987609135,0.0040022916
SRX683464,3.1618197642,0.5070739993,-0.5215518547
SRX683465,-0.48324911600000003,-0.8734644257,0.2241002199
SRX683466,4.1081984889,0.0105121308,-1.8274629717000002
SRX683467,0.1361844188,-0.3758395962,0.1529206022
SRX683468,3.4398632301,-0.080117849,-1.6803232038
SRX683469,0.0946469466,-0.5751663553,0.08121677170000001
SRX683470,4.8091285753,-0.1688967908,-1.5319699934000002
SRX322077,0.2398447621,-0.0693545751,-0.0182603413
SRX322078,-0.0396452479,-0.33321683020000004,0.18804740650000001
SRX322079,0.9414226097,-0.0393089613,0.0680733862
SRX322080,0.3356156976,-0.099687806,-0.1113316807
SRX322081,0.9803502849000001,0.25691065290000004,0.0765491185
SRX322082,0.6391710217000001,0.162327729,-0.0255196339
SRX322083,0.4823593518,0.2204930321,-0.5331442903
SRX322084,-0.5534891121000001,-0.4360373755,0.22816821850000002
SRX322085,0.0711297603,0.2155443434,0.3049760718
SRX2708592,-17.0722839497,-1.2995977401,-2.1081317227
SRX2708593,-16.0468599349,-1.3858488461,-2.3082874590999998
SRX2708594,-15.7063187304,-1.1551255076,-1.8681780219
SRX2708595,0.0555806047,-0.0264047357,0.2753881939
SRX2708596,0.42202691000000003,0.1464903964,-0.272121219
SRX2708597,-0.4776075146,-0.1200856607,-0.0032669748
SRX2708598,-0.9254492027000001,-0.2522707463,-0.8542663388
SRX2708600,0.2463383009,-0.2711134562,1.0450035172
SRX2708601,1.6281669545000002,-0.0595239595,-0.6920496689
SRX2708602,-0.6671767216000001,0.5050291552,-0.5059655983
SRX2708603,1.5450442762,0.0660056332,-0.0692393635
SRX3073814,0.283535941,-0.13018558560000001,-0.3434957276
SRX3073815,2.0344577735,-1.1339696385,-3.0735973586
SRX3073816,4.9704628812,-2.4550083112,-5.8421114305
SRX3073817,2.9221299193,-4.1870252178,-4.9044885201
SRX3073818,-1.2833434011,-3.2111292318,-3.7979694125
SRX3073819,-1.7088329496,0.3613869819,0.359895888
SRX3073820,0.9832045507,-0.6674396287000001,-2.6041858658
SRX3073821,2.6237841194,-2.2221447579,-5.2955087755
SRX3073822,1.3548849381,-3.4198734015,-4.400251049
SRX3073823,0.1784318524,-3.2339359789,-3.8724070311
SRX3073824,-0.283535941,0.13018558560000001,0.3434957276
SRX3073825,1.8865766073999999,-1.2511893155,-2.7108729899
SRX3073826,4.3338940783,-2.3292575708,-5.6890381364
SRX3073827,2.7147143186,-4.1135135934000004,-4.8923127575
SRX3073828,-0.8256755975000001,-3.434645459,-4.399639562
SRX3073829,-1.6861457191,0.1876233269,-0.1421650634
SRX3073830,1.2946253749,-1.1638283926,-3.1087800786
SRX3073831,2.5145679722,-2.0312934097,-5.4454549669
SRX3073832,1.6123853684,-3.5341055024,-4.2947528463
SRX3073833,0.0010127241,-3.0369515843,-3.5891601296999998
SRX2391456,0.8703260909,0.1036371583,0.3472561689
SRX2391457,0.7864540409,-0.2296760947,0.10467953
SRX2391458,-0.10388627630000001,0.0383571309,0.0124656934
SRX2391459,0.0596296074,0.0360981407,0.0019309898
SRX2391460,-0.2646927803,0.0112518975,0.0651651942
SRX2391461,0.2123400564,0.0065400067,0.047307322000000006
