,A,Crp,PlaR,ihfB
abx_mega__dox_dmso__1,-1.9274370318,-1.3002511837,-0.3963484684,-1.5186830960000002
abx_mega__phos_ethanol__1,-1.5041372853000001,0.3379205155,-0.4388282827,-1.0835463994
abx_mega__teix_dmso__1,-1.4092071469,-0.6834405493,0.19600573340000002,-0.2108301915
abx_mega__dmso-10__1,-1.9786934709000001,0.1656640608,-0.1360044483,-1.1932094615
abx_mega__van_dmso__1,1.12871238,-0.9934080376000001,0.0966754474,0.5828825608
abx_mega__ramo_h2o__1,-2.3561229249,-0.3443110079,-0.7045993203,-0.9701385051
abx_mega__tec_h2o__2,-2.0849650737,-0.9407234058,-0.5756020804,-0.8524414069
abx_mega__h2o-7__1,-1.0839403751,-0.0040549861000000005,-0.9904190570000001,-1.405760481
abx_mega__cro_h2o__1,-0.9112746126,-0.1478341465,-1.3083835735,-2.0779262437
abx_mega__tric_ethanol__1,-2.1988618548,-0.1558928562,-0.021938198500000002,-0.1903310601
abx_mega__nor_naoh__1,-0.5450152051,0.2764607147,0.6149323821,-1.0812140072
abx_mega__teix_dmso__2,1.7037080069,-0.14661147630000002,0.5514776645,-0.026524093000000002
abx_mega__nal_naoh__3,-0.5224685151,0.2201400917,0.7286666472000001,-1.0022560843
abx_mega__novo_h2o__2,2.4316259921,0.1874058842,-0.46357422070000004,-1.7171008209
abx_mega__dmso-10__2,-1.405259976,0.0513472187,0.1929785874,-0.8705550239000001
abx_mega__phos_h2o__3,-1.1560566955,0.3866879371,0.0655780364,-0.6341559143000001
abx_mega__dmso-6__2,1.3215445794,-0.0602559214,0.36410629450000004,0.5477587571
abx_mega__rfp_ethanol__1,1.9434465655,-1.4743546362,-0.8047192481000001,-1.3179166312000001
abx_mega__dmso-5__3,2.0522094103,-0.13444608700000002,1.0707671105,-0.09633023900000001
abx_mega__amyc-d_dmso__1,3.50501115,-1.621907484,0.6969982426,0.6487792296
abx_mega__sxt_dmso__1,-1.4684379915,-0.0376343135,-1.1994616676,-1.398343179
abx_mega__dmso-1__1,-0.1534686435,-0.0810478849,0.0791742566,-0.0548211138
abx_mega__pen_h2o__1,-1.0718600334,0.1296583874,-1.0821356281,-0.4764255264
abx_mega__dmso-10__3,-2.0168579427,0.2017965224,0.415081321,-0.9915859493
abx_mega__nal_naoh__4,-0.0402647155,0.1490464558,0.13672508690000001,-1.1529412139
abx_mega__cip_naoh__1,-0.547588112,0.2623448043,0.0146130287,-1.0626874924
abx_mega__pen_h2o__2,-1.7733406247999999,-0.22631582460000002,-0.8190960729000001,-0.9260874235000001
abx_mega__ery_dmso__2,5.539056726,-1.9945889461,1.4541209323,-1.3048554744
abx_mega__dmso-2__2,-5.2015050021,-0.303318389,0.5212682163,2.186138402
abx_mega__van_dmso__2,-0.8454548271000001,-0.9213934478,0.0940343394,0.9100277827000001
abx_mega__h2o-1b__1,-1.8760228422,-0.5542551321,-0.9829033887,-0.8877531976
abx_mega__ery_h2o__1,-0.30166217770000003,-2.4371824129,-1.0600838836,-1.5251338072
abx_mega__bacit_h2o__1,-1.049489532,-0.6975730314,-0.6412218351,-1.4504833334
abx_mega__chl_h2o__2,-0.3493212197,-2.788252041,-0.487153649,-1.2200697843000001
abx_mega__str_h2o__2,-1.3347471048,-0.46271994780000003,0.1007075939,1.7775761065
abx_mega__rfp_ethanol__2,1.1685276534,-1.0117169578,0.3219843563,-1.2855187251
abx_mega__polmyx_h2o__2,-0.1416910612,-0.1729404675,-0.9418520639,-0.8769879084000001
abx_mega__tric_h2o__1,-2.2048139661,0.2138522692,-0.0530863499,-1.2793691829
abx_mega__cip_naoh__2,0.6924822059,0.22403181360000002,0.8182632836,-1.080054735
abx_mega__novo_h2o__3,3.4967866903,-0.09237995040000001,-0.5652261808,-1.4207421173
abx_mega__bacit_dmso__1,4.6683604812,-0.38942819040000004,0.6308598069,-0.36320266970000004
abx_mega__gen_h2o__1,-0.3161669004,-1.1362642293,0.6614015144000001,3.0734252999
abx_mega__bacit_dmso__2,4.2988420662,-0.41342659340000004,0.9674713641,-0.1474923579
abx_mega__chl_dmso__1,-1.386801854,-1.6036324816,1.3842609747,-0.8603384773
abx_mega__bacit_h2o__2,-0.9749523087,-0.5104274184,0.1789919871,0.0810143052
abx_mega__lvx_dmso__1,-1.1968785291,-0.1584196907,0.0059330913,-0.8766338815
abx_mega__bacit_h2o__3,-1.6648277205,-0.6589226995,-0.22069925640000002,-1.0401998064
abx_mega__nor_naoh__2,0.6266893821,0.1764471632,0.8969288736000001,-1.1131732022
abx_mega__amyc-d_dmso__2,6.3347661886,-0.5799739837,1.336529551,1.1241333731
abx_mega__polmyx_h2o__3,-2.0288037514,-0.6950204566,1.1314494977,1.0533152899
abx_mega__naoh-6__1,-0.8591226579000001,0.245553549,0.5052495297,-0.2205498512
abx_mega__cst_h2o__2,4.612873059,-0.24882076420000002,0.21617150970000001,-0.9253991697
abx_mega__h2o-1b__2,-1.4540631101,-1.0972302127,-0.27246919070000003,-0.6949207847000001
abx_mega__rfp_h2o__1,4.270390441,-2.0210704043,0.327779427,0.3662144094
abx_mega__tet_h2o__1,-0.0848393437,-1.6584843203,-1.3136373225,-0.9221896544
abx_mega__flavo_dmso__1,-3.503198111,-0.2397944182,0.10161381380000001,-0.3053163494
abx_mega__zeocin_h2o__1,-0.8341294084,0.1989831632,-0.37903488280000003,-1.4155199507
abx_mega__nor_naoh__3,-0.0361769517,0.10670366340000001,0.8943854854000001,-1.0599211097
abx_mega__rach_dmso__2,-2.0205590662,-0.1227589166,-0.5378273642,-1.4386345449
abx_mega__thio_dmso__2,-1.1114469040000001,-1.4531793695,-0.2009788404,-0.2803295697
abx_mega__amyc-d_dmso__3,2.57334109,-1.642695013,0.8759909709,0.6293734383
abx_mega__rif_dmso__2,6.9344278263,-0.659556922,1.2109936025999999,-0.2010869699
abx_mega__amyc-d_dmso__4,0.7627964919,-0.5482364304,0.8126140477,1.2525770415
abx_mega__teix_dmso__3,-0.42002628140000003,-0.1455592358,-0.1648479216,-0.2896248806
abx_mega__valin_dmso__1,6.8131696183,-0.6506498564000001,0.9708458066000001,-0.5997892775
abx_mega__teix_dmso__4,1.2325044886,-0.0665078507,0.1337263304,0.1237988565
abx_mega__ethanol-10__1,-0.7322093392,0.0163008612,-0.0692886545,-1.5734086149
abx_mega__inh_h2o__1,-0.8736288820000001,0.3281616036,-1.1554506163,-1.8638919299
abx_mega__rif_dmso__3,0.1514259171,-1.3897674496999999,-0.6428322053000001,0.6829585180000001
abx_mega__van_dmso__3,5.3123710723,-0.94657928,0.09993830590000001,0.9236742301
abx_mega__doxo_dmso__1,1.2515792258,-0.11358356480000001,-0.9940747165,-1.7925095215
abx_mega__tmp_dmso__1,-0.8277984895,0.2090437913,0.40860314280000004,-1.0856227286
abx_mega__ethanol-10__2,-0.5082854904,0.156288703,-0.8008948957,-1.5969538419
abx_mega__tmp_dmso__2,-0.6958899814,0.1914919696,0.036421543800000004,-1.1365814194000001
abx_mega__amyc-d_dmso__5,0.0478806933,-1.6521756011000002,0.40506453130000003,0.9335471945
abx_mega__novo_h2o__4,3.5261600606,-0.2527058608,-1.1187433015,-0.9001345086
abx_mega__cro_h2o__2,1.3121157175,-0.30657057660000003,-0.6564255325,-1.5787237146000002
abx_mega__cro_h2o__3,-0.6016616020000001,-0.2669976047,-1.0075438085,-1.5363409356000002
abx_mega__gen_h2o__2,-1.3641172419,-1.0307723459,0.7379671937000001,3.3245249795
abx_mega__phos_h2o__4,0.0160741657,-0.0309958632,0.9496545822,1.3672523569
abx_mega__metro_dmso__2,-1.4867107878999999,-0.3804310446,1.7100893127,-0.2511288672
abx_mega__ery_h2o__2,-0.5204533871,-2.3462003852,-0.47755382690000003,-1.2241393744
abx_mega__sacet_h2o__1,-2.6014257826,-0.6041545277,-0.9615725396,2.2712715973
abx_mega__nal_naoh__5,-0.4339713638,-0.054980210200000004,0.7428182282,-1.1236160881
abx_mega__bacit_h2o__4,-0.9001602234,-0.7076949831,0.0909986946,0.16848949670000002
abx_mega__cip_naoh__3,-0.5434205403,0.1102525246,-0.3693853219,-1.2601444012
abx_mega__ethanol-8__1,-1.2851281442,-0.0590977866,-1.259071077,-1.4558741109
abx_mega__h2o-8a__1,-0.7125311010000001,-0.22081801820000002,-1.0963538618,-1.5760854295
abx_mega__ery_h2o__3,-0.6856252588,-2.3057897995,-1.1951698397000001,-1.4715961776
abx_mega__flavo_dmso__2,-0.8756801198,-0.3165443482,-1.212250161,-1.5589412839999999
abx_mega__rif_dmso__4,2.4760258407,-1.5399098517,0.1628523831,0.3994912939
abx_mega__novo_h2o__5,2.1792259895,-0.3411830033,-0.31892886270000004,-0.9678017240000001
abx_mega__teix_dmso__5,-1.3680170154,-0.0340696975,-0.3204540319,-0.9608040567
abx_mega__naoh-2__1,-2.1955938163,-0.31705369640000003,0.37133382070000004,1.2447894583
abx_mega__novo_h2o__6,1.2285468822,-0.5697764494,-1.1377966255,-1.191436742
abx_mega__ctx_h2o__3,-0.4481790941,-0.31765341210000003,-1.3788635665,-1.9337324817
abx_mega__rach_dmso__3,-1.3461987223,-0.25011430100000004,-0.1527053904,-1.1366547883
abx_mega__valin_dmso__2,6.4389337748,-0.8373204843000001,1.2258647021,-0.7399595053
abx_mega__amyc-d_dmso__6,-0.7959098304000001,-1.2728116676,1.0174156233,0.923138631
abx_mega__dox_dmso__2,4.8640917933,-0.025511662,2.1365765361,-0.6534829936000001
abx_mega__teix_dmso__6,-0.7441281183,0.1480773849,-0.796161281,-1.1495585992
abx_mega__naoh-6__2,-0.6150326998,0.1439389809,0.4911703794,-0.3206835072
abx_mega__inh_h2o__2,-2.6633340050000003,0.0779751018,0.1576855165,-0.8808770448000001
abx_mega__chl_h2o__3,-0.35925167880000003,-2.8414442095,-1.2282053002,-2.0232756272
abx_mega__nal_naoh__6,0.3906506433,0.0426535923,0.6667160787,-1.1867332256
abx_mega__chl_dmso__2,1.6228191632,-1.6022828696,1.2347019494,-0.9006154946
abx_mega__rach_dmso__4,-1.2063821663,-0.0800003088,-0.6681324024,-1.631366638
abx_mega__teix_dmso__7,-1.5895953592,0.0001683552,-0.2338163792,-1.033868219
abx_mega__ceru_ethanol__1,-0.6527976937000001,0.1315329539,-0.711926774,-0.7600665551
abx_mega__dmso-7__1,-0.8077261022000001,-0.1486598298,-0.2708157321,-0.4911206664
abx_mega__naoh-6__3,-1.2560983172,0.232671539,0.4534583795,-0.30821672310000003
abx_mega__phos_ethanol__2,-1.395484508,0.2168248136,0.0951657516,-1.1953659872
abx_mega__metro_dmso__3,-2.6281031755,-0.3791651303,1.6538618491000001,-0.137280135
abx_mega__van_dmso__4,2.4819082231,-0.8353134788000001,-0.0094288172,1.2171043994
abx_mega__h2o-10__1,-0.7103447799,-0.0202364792,-0.6281670896,-1.5275886062000001
abx_mega__h2o-10__2,-0.4823946968,-0.0607073754,-0.2851496452,-1.9308061206
abx_mega__dmso-6__3,-0.8525337344,-0.2527744328,1.2425513156,0.33441959600000004
abx_mega__mem_dmso__1,-1.5517142038,-0.1981004934,-1.1696552736,-1.6562199957
abx_mega__ethanol-8__2,-1.1835142594999999,-0.021523506600000002,-0.9507610932,-0.9106399612
abx_mega__chl_h2o__4,0.508199529,-2.6700349591,-1.3977035542,-1.9080504914
abx_mega__van_h2o__1,0.013383187900000001,-0.9103162108,-0.6956878599,-0.9515812199
abx_mega__dcs_h2o__1,-1.7712724578999999,0.0943710534,-0.5089399178,-1.2671154485
abx_mega__rif_dmso__5,1.1470538805000001,-0.1829334597,0.1701655914,-0.0163777134
abx_mega__dox_dmso__3,-0.9102449236,-0.3972091841,-0.07924707930000001,-1.1819124107
abx_mega__mem_dmso__2,-1.2493062262,-0.2638287498,-0.8322084792000001,-0.8976499983
abx_mega__lvx_dmso__2,-1.3448909835,0.0417388443,-0.1165433798,-0.7905816784
abx_mega__tet_h2o__2,0.3600264859,-2.2693012292,-0.1727950531,-0.8527907562
abx_mega__phos_h2o__5,-2.7323879777,-0.1972134109,0.8149746812,1.3728449627
abx_mega__monac_dmso__1,0.08136946,-0.8663395759,-0.3451737317,0.5807675425000001
abx_mega__str_h2o__3,-1.4234758795,0.1259657223,-1.1105560913,-1.8941859509
abx_mega__zeocin_h2o__2,7.9770281594,-0.6476176532,1.0347452863,0.3180122541
abx_mega__amyc-d_dmso__7,0.4132035865,-1.42088019,0.4256400047,0.8686363537
abx_mega__fidax_dmso__1,-2.0246635357,0.007690172800000001,-0.6946659283000001,-0.8441132099
abx_mega__h2o-1a__1,0.5941966119000001,0.0575483496,0.0471941567,0.0625105212
abx_mega__dox_dmso__4,0.7395194820000001,0.2665585241,0.6935974840000001,-0.8835196625
abx_mega__lzd_dmso__2,-2.3220724855,-1.9463157999,-0.3503967384,-1.2250992002
abx_mega__tet_h2o__3,-0.3494105064,-1.5689931018,-1.0357474089,-1.2535987095
abx_mega__dmso-1__2,-0.6634522814,-0.0638843971,-0.28179698410000004,-0.15609256470000002
abx_mega__sxt_dmso__2,-3.3554153415,-0.6176702001000001,-0.4036753433,-0.5219061525
abx_mega__tric_ethanol__2,-1.6385751913000002,-0.058214080700000004,-0.9594911733,-0.6248932219000001
abx_mega__teix_dmso__8,-1.598354724,-0.3208467193,-0.49356222730000004,-0.8532571789000001
abx_mega__ramo_h2o__2,-0.4086755983,-0.3043319677,-0.42017398780000004,-0.8440673101
abx_mega__inh_h2o__3,-1.2091634514,0.2263080572,-0.4231261063,-1.6423178196000001
abx_mega__cst_h2o__3,-0.6917392949000001,-0.6604587882,0.2231343818,-0.7419004346
abx_mega__dmso-9__1,-1.1752696379,0.1652363888,-0.46977156740000003,-1.0228097095
abx_mega__ethanol-8__3,-0.9301962621000001,0.073808526,-1.1019444852,-0.8209870645
abx_mega__monac_dmso__2,0.3042460275,-1.4421129371,-0.2570227738,0.5544799185
abx_mega__dmso-9__2,-1.2369563511,0.0124821121,-0.2596257206,-0.6908904131
abx_mega__metro_dmso__4,3.6150042595,-0.0624036472,0.8409509209,0.11122089040000001
abx_mega__ctx_h2o__4,-0.6768611176,-0.3304413054,-1.9625981254,-2.1413952496
abx_mega__zeocin_h2o__3,9.021756354,-0.8187488844,1.892723748,0.6797201304
abx_mega__bacit_h2o__5,8.0750614703,-0.6212632720000001,0.8784878293,-0.0813581815
abx_mega__reta_dmso__1,-0.7748501315,-2.0377494386,-0.8175548636000001,-0.8155494813
abx_mega__ery_h2o__4,0.3603360571,-2.3919325405,-0.9245280272,-1.0687696929
abx_mega__ceru_ethanol__2,-1.4823785778,-0.2507206522,0.1846355173,0.3147754193
abx_mega__fidax_dmso__2,-1.167119181,0.07346573220000001,-0.3085692889,-0.7102352016
abx_mega__novo_dmso__1,4.2124941429,0.3143882568,-0.067477912,-0.8855864517
abx_mega__naoh-6__4,-2.0376359276,0.1617989176,0.5408885488,-0.3273901919
abx_mega__amyc-d_dmso__8,4.9792378931000005,-0.4081937196,0.9510253876,1.1375522752
abx_mega__chl_dmso__3,0.3324847627,-1.7002395932,0.8383525777,-0.8341317912
abx_mega__nal_naoh__7,-1.1197444954,0.1538530863,-0.9429161399,-0.7477767726
abx_mega__teix_dmso__9,-0.2150503598,0.1414549701,-0.4258940344,-1.2438504318999999
abx_mega__ery_dmso__3,2.0717558379,-1.7943494913,1.4075050646,-1.3600939619
abx_mega__tmp_dmso__3,-1.1278833304,0.2193526747,0.3436377908,-1.2032978044
abx_mega__sxt_dmso__3,-1.0604114005,-0.3849941899,-1.5205613276999999,-1.5183364254
abx_mega__polmyx_h2o__4,-0.4324272052,-0.732440443,1.0614286534,0.8265102893
abx_mega__mem_dmso__3,-1.566550181,0.1017285234,-0.6849636677000001,-0.8085937780000001
abx_mega__nal_naoh__8,-0.7033360519,-0.2163555027,0.7642758247,0.6144673881
abx_mega__pen_h2o__3,-1.0600843133,-0.1832599433,-0.696436061,-0.7307318690000001
abx_mega__van_dmso__5,2.4780828367,-0.9702752261,-0.0350374216,1.0924749437
abx_mega__zeocin_h2o__4,6.4463683279,-0.7029806271,0.4974321158,0.6265042858000001
abx_mega__h2o-6__2,-1.4993648541,0.2689052974,0.1082159412,-0.1930641951
abx_mega__tet_h2o__4,-0.9179883231,-1.7485042558,-0.8468542409,-1.1221989695
abx_mega__nor_naoh__4,-0.6204884759,0.2638014382,0.0484689835,-0.8893847205000001
abx_mega__cip_naoh__4,0.0879984811,0.1813226141,1.0136165547,-1.1343377475
abx_mega__tmp_dmso__4,-0.9833433207000001,-0.0659537084,0.4745626352,-1.2139028339
abx_mega__reta_dmso__2,-0.1419917896,-2.6935232182,-0.8115963698,-0.8070874991
abx_mega__mem_dmso__4,-0.8686116526000001,-0.24608755940000002,-1.3835307167,-2.112586486
abx_mega__dox_dmso__5,-1.3816950842,-1.4072956342,-0.5945607296000001,-1.1911668779
abx_mega__tmp_dmso__5,-1.913729272,0.13500124700000002,0.5245197037,-0.9323923927000001
abx_mega__flavo_dmso__3,-0.1703266246,-0.16266356510000002,-1.0013346507,-1.3161077135
abx_mega__tmp_dmso__6,-1.2567990073,-0.08100398930000001,-0.2654979393,-1.3777511591
abx_mega__ceru_ethanol__3,-4.0791603947,-0.0203257193,-0.10432417120000001,-0.1171657056
abx_mega__teix_dmso__10,-0.6843900756,-0.0864598209,-0.2702306689,-0.49182771470000003
abx_mega__novo_h2o__7,4.2310853507,0.09512308080000001,-0.2993342572,-1.4181288842
abx_mega__fidax_dmso__3,-1.2412259527,0.056592892000000006,-0.31702053680000003,-0.1270655376
abx_mega__h2o-1a__2,0.28983533,-0.0203162279,-0.09702288390000001,0.019027187600000002
abx_mega__dcs_h2o__2,-2.2920648680999998,0.08127249760000001,-0.45780401540000004,-1.3556210419
abx_mega__cst_h2o__4,-1.1209674562,-0.42764759150000003,-0.2974904659,-0.8715800265
abx_mega__van_h2o__2,-0.5381696597,-0.3318785326,-0.4757284391,-1.0604877154
abx_mega__pen_h2o__4,-1.1991481907,-0.1072682971,-0.5719331798,-1.21089239
abx_mega__h2o-8b__2,-0.7242296044000001,0.2832759084,-1.1248817343,-1.8870095360999999
abx_mega__reta_dmso__3,0.5016044243000001,-2.220698214,-0.8784177998,-1.3888387334
abx_mega__dmso-7__2,-1.0975232178,-0.324421403,-0.4299151591,-0.8358051031
abx_mega__rfp_h2o__2,3.7662423864,-2.078741852,-0.2812253997,0.5651488816
abx_mega__rif_dmso__6,4.5100698359999996,-0.8986833081000001,1.4497728632,0.2685785134
abx_mega__sxt_dmso__4,-1.6660607995999999,-0.39061972300000003,-1.2754901373,-1.6003623698
abx_mega__cip_naoh__5,-0.32075468020000003,0.5302146851,0.0551707518,-1.1976275807
abx_mega__dmso-9__3,-2.2706578801,-0.0648156579,-0.243038896,-0.7254365348
abx_mega__mem_dmso__5,-1.9526441561999999,-0.2015433442,-1.1921119832,-1.5497718291
abx_mega__tric_h2o__2,-1.5906312428,0.0561230447,0.21912132,-1.4148320002
abx_mega__phos_h2o__6,-0.9633028356000001,0.1840419059,-0.027629563500000003,-0.5654554842
abx_mega__h2o-7__2,-1.6881775085,-0.0687134662,-0.8205135756,-0.9495107329
abx_mega__h2o-10__3,-0.8850175987000001,-0.0029101905,-0.37641099100000003,-1.5245136858000001
abx_mega__h2o-8a__2,0.1107134924,-0.2414092729,-0.820440825,-1.1641195583
abx_mega__thio_dmso__3,-2.0155258035,-1.3992598427,-1.1183247942,-2.5741590835
abx_mega__lzd_dmso__3,-0.33115427480000004,-1.4757436121,-0.25331688,-1.0544668967
abx_mega__monac_dmso__3,-0.27593641550000003,-1.5239909109,0.0591096278,0.8937663383000001
abx_mega__polmyx_h2o__5,-2.6248015298,-0.5778881676000001,-0.1332363558,-1.0658638001
abx_mega__naoh-6__5,-1.2854770125,0.2383405456,0.6152505942000001,-0.4030416777
abx_mega__teix_dmso__11,-1.3542785578,0.2231626615,-0.2593643654,-0.3592908259
abx_mega__van_h2o__3,-0.2968568689,-0.6145709097000001,-0.9936652141000001,-1.4169871254
abx_mega__teix_dmso__12,-0.8171117973,0.0065499987,-0.08804777550000001,-0.7704255608
abx_mega__dox_dmso__6,0.2323669052,-0.2166458346,1.0962480291,1.4216113671000001
abx_mega__teix_dmso__13,-1.2947979384,-0.6082655704000001,-0.1234356751,-0.5411210531
abx_mega__h2o-7__3,-0.8565277398000001,0.012213341,-0.8849790691,-1.3035955075
abx_mega__str_h2o__4,0.6407115059,-0.8489028276,-2.7068619097,1.3887672586
abx_mega__tec_h2o__3,-2.4229706537,-1.5276697252,0.6622265097000001,0.8136457702000001
abx_mega__phos_h2o__7,-1.6544284955,0.23647347670000002,0.27827305010000003,-0.698496408
abx_mega__chl_h2o__5,-0.063975719,-2.8546736802,-0.7017964213,-1.103713867
abx_mega__polmyx_h2o__6,0.723940091,-0.6676717403,1.2185822277,1.2386235294
abx_mega__teix_dmso__14,-1.3735230621,0.10364661430000001,-0.0351326252,-0.2659310432
abx_mega__rif_dmso__7,1.5615737599,-0.8174938777,1.3218047156,-0.0737889784
abx_mega__ramo_h2o__3,-1.2825362705,-0.1972418484,-0.5802136906,-0.9006875255000001
abx_mega__fidax_dmso__4,-1.506608073,-0.2550231206,-0.051280008,0.2081297598
abx_mega__teix_dmso__15,-1.65274731,-0.1637807405,-0.108914143,-1.3784560639
abx_mega__thio_dmso__4,-0.5423718844000001,-1.3135012281,-1.1877402057,-2.3822049737
abx_mega__rif_dmso__8,5.7184756842,-1.2176583871,1.7350563786,0.4239930953
abx_mega__reta_dmso__4,0.20948203880000002,-2.7449780099,-0.8590139056,-1.4708029085
abx_mega__inh_h2o__4,-3.0586630493,0.1674650962,-0.2659831914,-1.7224261519000001
abx_mega__novo_dmso__2,4.9799157725,0.7184192778,-0.4257404476,-1.5435894269000001
abx_mega__dcs_h2o__3,-1.7587472750000002,-0.0899811296,-1.3978625443000001,-1.8093958038
abx_mega__h2o-8b__3,-0.5156682026,-0.0284053616,-0.8981708504,-0.9876997408
abx_mega__valin_dmso__3,-0.5273053255,-0.4440190169,-0.042751876800000005,-0.3076214923
abx_mega__h2o-2__1,-0.3179008655,-0.3742459546,0.7748623974000001,2.3779477235
abx_mega__cro_h2o__4,0.1074570542,-0.0823108953,-0.44707679510000004,-0.6260783282
abx_mega__dcs_h2o__4,-1.4465832772,0.19009073370000001,-0.2309088189,-1.3243610216000001
abx_mega__str_h2o__5,-0.5523589908000001,0.1230572979,-0.5475985879,-1.913245468
abx_mega__h2o-8a__3,-0.4498914033,-0.3090692798,-1.4353460382,-1.8270254236999999
abx_mega__dox_dmso__7,-0.5691806719,0.1271493457,0.2224131536,-0.5718133694
abx_mega__doxo_dmso__2,1.7607194751000002,-0.057352962300000004,-1.5586486982999999,-1.692727136
abx_mega__teix_dmso__16,-2.3951231023,-0.7911037301,-0.1097584057,-0.6914483507
abx_mega__rfp_h2o__3,3.3893840205,-2.2550692285,-0.0915661952,0.45608091370000003
abx_mega__ethanol-10__3,-0.8718091912,0.09459037740000001,-0.6536234371,-1.6076887017
abx_mega__naoh-2__2,-1.3986724634,-0.3417330189,0.4352284326,1.7492043202
abx_mega__van_h2o__4,-0.8650990614,-0.7655932475,-0.5762634347,-0.7823283851
abx_mega__sacet_h2o__2,-1.6606325743,-0.8230648089,-0.0153891446,2.1890417573
abx_mega__monac_dmso__4,0.0809448298,-1.0244460877,-0.2882628169,0.4806726161
abx_mega__h2o-2__2,-2.1325567703,-0.3020521984,1.0757071604,2.1503019243
abx_mega__zeocin_h2o__5,-0.24103066210000001,0.0940214917,-0.833368156,-1.9090493219
