,A,GlpR
ecoli_00098,2.710593641,-0.27914408300000004
ecoli_00099,2.8489420758,-0.284847497
ecoli_00100,-0.3976166937,-0.28543994
ecoli_00101,-0.0465079657,-0.45289395
ecoli_00102,-0.221679283,-0.690227229
ecoli_00103,1.7390172464,-0.547393711
ecoli_00104,2.2559012492,-0.8455406860000001
ecoli_00105,2.8816163698,-0.521566176
ecoli_00106,21.9994745253,-0.34716462400000003
ecoli_00107,22.2753474752,-0.243036403
ecoli_00108,19.3483910485,-0.360412954
ecoli_00109,20.6972706306,-0.48522769
ecoli_00110,12.4093810603,0.386518448
ecoli_00111,12.4634970235,0.5116414890000001
ecoli_00112,13.0273470232,0.45845357900000006
ecoli_00113,21.1097433786,-0.611506222
ecoli_00114,20.8792139411,-0.600114027
ecoli_00115,20.7093770653,-0.365979386
ecoli_00116,4.6426589549,-0.201091599
ecoli_00117,4.6101669652,-0.145725189
ecoli_00118,4.3785553814,-0.093629211
ecoli_00119,4.2591830162,-0.019589274
ecoli_00120,4.498587624,0.038948896000000004
ecoli_00121,4.4536977672999996,-0.065491507
ecoli_00122,11.4198341533,0.07699945700000001
ecoli_00123,11.3886458469,0.13166809000000002
ecoli_00124,11.1556677003,0.24154961100000003
ecoli_00125,0.7165699235,-0.46269429700000003
ecoli_00126,-0.1160954086,0.254078315
ecoli_00127,0.8477775073,-0.143039508
ecoli_00128,-0.6065576517,0.056460994
ecoli_00129,0.9036388189000001,-0.018134138
ecoli_00130,0.4672964879,-0.201080801
ecoli_00131,-0.7403782533000001,-0.32441258300000003
ecoli_00132,-0.016370765500000002,-0.15673336100000002
ecoli_00133,0.22778974030000002,-0.6357146060000001
ecoli_00134,-0.4983770705,0.257516692
ecoli_00135,0.2549223553,0.583422408
ecoli_00136,0.7361585593000001,-0.40042046800000003
ecoli_00137,0.1367085694,0.098370936
ecoli_00138,2.0587725991,0.116072088
ecoli_00139,0.1673543545,-0.330187442
ecoli_00140,-0.1269733869,0.475039423
ecoli_00141,-0.2924590944,-0.7100532730000001
ecoli_00142,1.3939900996,-1.070306958
ecoli_00143,-1.0950919689,-0.0049433540000000005
ecoli_00144,22.631149507700002,-0.37123411300000003
ecoli_00145,-0.49626600600000004,-1.57046481
ecoli_00146,20.3469071372,-0.203856756
ecoli_00147,0.371588116,-0.966998079
ecoli_00148,0.2247798922,-1.287364835
ecoli_00149,19.4391658332,-0.13121143300000002
ecoli_00150,0.18336350880000002,-0.992577963
ecoli_00151,2.5506809113999998,-0.36006729200000004
ecoli_00152,0.4964966133,-0.25526925300000003
ecoli_00153,2.1204183695,-0.344516567
ecoli_00154,0.1167284103,-1.5522769790000002
ecoli_00155,0.9925827147,-1.2686728760000001
ecoli_00157,17.9246032008,-1.897700498
ecoli_00158,19.5209403634,-1.931153138
ecoli_00159,-0.9564813207,-0.8172944050000001
ecoli_00160,0.42785061550000003,-0.5668599280000001
ecoli_00169,-0.3063020272,-1.23124187
ecoli_00170,-0.048815127800000004,-1.162757389
ecoli_00171,-0.1775498667,-0.9901835720000001
ecoli_00172,-0.7364001776,-1.195954057
ecoli_00173,3.9988188332,-1.528180593
ecoli_00174,3.4592483808,-1.270961893
ecoli_00175,4.6940696739,-2.241838438
ecoli_00176,4.7618284609,-2.101720037
ecoli_00177,1.7921463712999999,-1.329295289
ecoli_00178,2.224957557,-0.7702354370000001
ecoli_00179,1.1522978308,-1.146669498
ecoli_00180,1.4210963574,-1.2203529340000001
ecoli_00181,-0.4523128162,-1.275664063
ecoli_00182,-0.5547485569,-1.261745044
ecoli_00183,-1.2297145605,-1.5122890039999999
ecoli_00184,-1.10637772,-1.399776562
ecoli_00185,-0.2940346621,-1.164851755
ecoli_00186,-0.3790258997,-1.074839196
ecoli_00187,1.0765597979,-1.188940304
ecoli_00188,1.3026351867,-1.005169026
ecoli_00189,-0.30206466260000003,-1.235228672
ecoli_00190,-0.0582833773,-1.150305394
ecoli_00191,0.2518476549,-1.364621626
ecoli_00192,0.5054639549000001,-1.335382343
ecoli_00193,-0.5973472062,-1.024161821
ecoli_00194,-0.90985994,-0.985055007
ecoli_00195,-0.8651864720000001,-1.047027155
ecoli_00196,-0.5903009413,-0.9591620730000001
ecoli_00197,-0.933408306,-0.9921211520000001
ecoli_00198,-0.8655240989,-0.9578064230000001
ecoli_00199,0.227101918,-1.028978315
ecoli_00200,0.5631631999,-1.076767622
ecoli_00201,0.2797214065,-1.302289735
ecoli_00202,0.44039166900000004,-1.365766067
ecoli_00203,-0.034458707400000003,-0.5602020050000001
ecoli_00204,-0.3102955785,-0.616914331
ecoli_00205,0.1386244292,-1.378983058
ecoli_00206,0.24760704500000003,-1.470334693
ecoli_00207,-0.1459035121,-1.110405271
ecoli_00208,0.0533346467,-1.268023057
ecoli_00209,-0.080561216,-0.9808921060000001
ecoli_00210,-0.4041413615,-0.8338710920000001
ecoli_00211,-0.6631455131,-0.9193239550000001
ecoli_00212,-0.4044833846,-0.976345938
ecoli_00213,0.5441827625,-1.624385693
ecoli_00214,0.3605230204,-1.269982564
ecoli_00215,-0.3153696709,-1.106748563
ecoli_00216,-0.5693430816,-0.904087964
ecoli_00217,0.7276528919,-1.5298214520000002
ecoli_00218,0.6615165694,-1.607655628
ecoli_00219,-0.5745250084,-0.9467292620000001
ecoli_00220,-0.2037814897,-0.836315596
ecoli_00221,-0.5835548545,-0.8726686870000001
ecoli_00222,-0.9508721414,-1.262049692
ecoli_00223,-0.2745836745,-0.732400115
ecoli_00224,-0.3711791895,-0.68616779
ecoli_00225,0.4272466641,-1.6912771430000002
ecoli_00226,0.26272732800000004,-1.344137267
ecoli_00227,-0.672870527,-0.9394622850000001
ecoli_00228,-1.1483997127,-1.093616152
ecoli_00229,-0.6213239927,-0.681174224
ecoli_00230,-1.1688736388,-0.7739284590000001
ecoli_00231,-0.3738550091,-0.779300053
ecoli_00232,-0.6596510578,-0.70313178
ecoli_00233,-0.8849597056,-0.826971443
ecoli_00234,-0.7310963809000001,-0.7468777390000001
ecoli_00235,-0.3729990007,-0.998309772
ecoli_00236,0.058793100800000005,-0.916107972
ecoli_00237,2.3438617496,-1.518042997
ecoli_00238,3.2131080482,-1.3362301109999999
ecoli_00239,17.8342016253,-1.220355245
ecoli_00240,17.253102019,-1.326056315
ecoli_00241,2.803712525,-1.098516101
ecoli_00242,2.5103793369,-0.626949502
ecoli_00243,2.8560169132,-0.593922288
ecoli_00244,3.0109658391,-1.054358465
ecoli_00245,3.5830618296,-1.040247515
ecoli_00246,4.5164877994,-1.1217678
ecoli_00247,4.4159196581,-1.125088657
ecoli_00248,5.9776566287,-0.739093632
ecoli_00249,1.9990847395,-0.763021595
ecoli_00250,1.5396011254,-0.8317769380000001
ecoli_00251,0.6428176248,-0.7771742110000001
ecoli_00252,0.6426177768,-0.8029038740000001
ecoli_00253,1.9105417371,-0.308677554
ecoli_00254,1.5452470630000001,-0.505049704
ecoli_00255,2.7292655962,-0.864440681
ecoli_00256,2.8866497955,-1.138193908
ecoli_00257,2.8958715244,-0.900017006
ecoli_00258,2.9679080335,-0.9127629030000001
ecoli_00259,4.2607409403,-1.222144951
ecoli_00260,2.7206043159,-1.200211864
ecoli_00261,2.1565842502,-1.079483642
ecoli_00262,1.8596660071,-0.842160165
ecoli_00263,0.016599669,-1.13739056
ecoli_00264,-0.2826945601,-1.128522759
ecoli_00265,0.3328955113,-1.186268605
ecoli_00266,0.0335233467,-1.123125892
ecoli_00267,1.4015023791,-1.7249671800000002
ecoli_00268,1.3698349948000001,-1.779302809
ecoli_00269,0.8325957402,-1.070486643
ecoli_00270,1.4135220622,-1.098697842
ecoli_00271,0.2992231112,-0.714746022
ecoli_00272,-0.2972740533,-0.790718753
ecoli_00273,0.121833176,-0.749090068
ecoli_00274,0.11156146800000001,-0.664728902
ecoli_00275,0.28614756890000004,-0.560838503
ecoli_00276,0.5438854282,-0.7817858520000001
ecoli_00277,1.744728687,-0.6492109420000001
ecoli_00278,1.9474833401,-0.8741335480000001
ecoli_00279,-1.1001983522,-0.9368265750000001
ecoli_00280,-0.5860191164,-0.7069336770000001
ecoli_00281,-1.0777625567,-0.8985417720000001
ecoli_00282,-0.9143652678,-0.911382816
ecoli_00283,-0.07876460660000001,-1.062090037
ecoli_00284,-0.1810358716,-0.9217179790000001
ecoli_00285,-0.9127429073000001,-0.8585983770000001
ecoli_00286,-0.7582227087000001,-0.888464804
ecoli_00287,1.3909387684,-0.9158523110000001
ecoli_00288,1.3091696839,-1.245480754
ecoli_00289,1.534139582,-1.057939637
ecoli_00290,1.1858709986,-1.130849596
ecoli_00291,1.216958202,-0.6307086590000001
ecoli_00292,0.9805454283,-0.897103336
ecoli_00293,0.7558667622,-0.797428028
ecoli_00294,0.7047214089,-0.9402087360000001
ecoli_00295,0.0644449876,-1.443955576
ecoli_00296,0.2923208409,-1.302424108
ecoli_00297,0.8368092462000001,-0.984808042
ecoli_00298,1.1772605233,-0.9376989330000001
ecoli_00299,-0.7231915306000001,-0.912311183
ecoli_00300,-0.196803941,-1.095802599
ecoli_00301,-0.2748057377,-0.7296594860000001
ecoli_00302,0.0655247108,-0.752773514
ecoli_00303,-0.26441149340000003,-1.09032134
ecoli_00304,-0.3425691199,-1.083059106
ecoli_00305,0.5365625506,-1.5130529080000001
ecoli_00306,0.0401159865,-2.041372953
ecoli_00307,0.5706917803,-1.692005017
ecoli_00308,0.38290501190000004,-1.692399599
ecoli_00309,1.6144846231,-1.619581796
ecoli_00310,1.295345373,-1.6426365490000001
ecoli_00311,0.9745649776,-1.9984054599999999
ecoli_00312,0.33889605100000003,-2.0881464
ecoli_00313,-0.5101659185,-1.143619366
ecoli_00314,-0.1856278009,-1.055059846
ecoli_00315,0.190451966,-1.838766793
ecoli_00316,-0.1721400031,-1.918724155
ecoli_00317,0.040245495900000004,-1.86400751
ecoli_00318,-0.38508969660000003,-1.908189968
ecoli_00319,0.009206480500000001,-0.804374299
ecoli_00320,-0.1191245404,-1.067378479
ecoli_00321,0.8026900851000001,-1.593906348
ecoli_00322,0.2957978999,-1.247644313
ecoli_00323,-0.5921446436000001,-0.5516543740000001
ecoli_00324,-0.589370535,-0.699269044
ecoli_00325,-0.6630538168,-0.653255746
ecoli_00326,-0.0726237921,-0.42942742500000003
ecoli_00327,-0.2393816863,0.15457537400000002
ecoli_00328,-0.3742603873,0.126812321
ecoli_00329,-0.4751624223,0.09696378600000001
ecoli_00330,-0.5799120028,-0.08776752900000001
ecoli_00331,-0.6004006538000001,0.186885617
ecoli_00332,-0.46347414060000003,-0.028457366
ecoli_00333,-0.2853049807,0.042497093
ecoli_00334,-0.40181380790000004,0.34616640800000004
ecoli_00335,-0.6386111899,-0.438886873
ecoli_00336,-0.550294144,-0.354735307
ecoli_00337,-0.9275114918,-0.323210694
ecoli_00338,-0.4609110456,-0.19975869000000002
ecoli_00339,-1.3301491364,0.08792976100000001
ecoli_00340,-1.0046799326,0.19587541600000002
ecoli_00341,-1.4697895945,0.16044841
ecoli_00342,-1.1618251583,0.13052475700000002
ecoli_00343,-0.17640662070000002,0.9056956260000001
ecoli_00344,-0.8852120321,0.845616692
ecoli_00345,-0.7024091788,0.557401464
ecoli_00346,-0.5701566421,0.536823617
ecoli_00347,-0.3986784244,-0.550011252
ecoli_00348,-0.2671620301,-0.45508072400000005
ecoli_00349,-0.7554235625,-0.494066983
ecoli_00350,-0.6879794491,-0.594858667
ecoli_00351,0.34393275370000004,-0.052922692
ecoli_00352,-0.3446579075,-0.530959653
ecoli_00353,-0.42089609050000004,-0.46363825300000006
ecoli_00354,-0.4618117143,-0.662964698
ecoli_00355,-0.3484828689,-0.303898802
ecoli_00356,-0.39976105500000003,-0.36519837200000005
ecoli_00357,-0.5209311065000001,-0.275536908
ecoli_00358,-0.4599787185,-0.174937274
ecoli_00359,-0.6057654293,-0.381707173
ecoli_00360,-0.47998996460000004,-0.37122145100000004
ecoli_00361,-0.9521281649000001,-0.455420021
ecoli_00362,-0.9910240183000001,-0.256678579
ecoli_00363,0.069171033,-0.945205092
ecoli_00364,0.16307456680000001,-1.000636376
ecoli_00365,4.2368942222,-1.1439346989999999
ecoli_00366,6.0946149988,-0.6289949370000001
ecoli_00367,8.6531845049,-0.9609363580000001
ecoli_00368,9.7383570215,-1.017461242
ecoli_00369,-0.2725392969,-1.085423769
ecoli_00370,0.0955943752,-1.134886085
ecoli_00371,4.3433452729,-1.149149459
ecoli_00372,3.8830532955,-1.271512226
ecoli_00373,4.7261121509,-1.268850967
ecoli_00374,5.9809724642,-1.159563304
ecoli_00375,0.4261572173,-0.8534896460000001
ecoli_00376,0.7605858528,-0.840509135
ecoli_00377,1.855169111,-0.814883813
ecoli_00378,1.9269112233999999,-0.9188137430000001
ecoli_00379,4.3526640411,-0.018803984000000003
ecoli_00380,4.7081188262,-0.13776839400000002
ecoli_00381,0.5013105170000001,-1.190645435
ecoli_00382,0.2911739095,-1.061329291
ecoli_00383,6.9061313973,-0.6000638570000001
ecoli_00384,6.7387613746,-0.49511849100000005
ecoli_00385,5.1594401139,-0.501673875
ecoli_00386,4.82971076,-0.68894458
ecoli_00387,1.1329406954,-0.537222501
ecoli_00388,1.5569036721,-0.860101526
ecoli_00389,6.6437961334,-0.266421353
ecoli_00390,6.2545068152,0.14514705900000002
ecoli_00391,4.0245728234,-0.9082584370000001
ecoli_00392,4.4493458056,-0.744077909
ecoli_00393,-0.6330045630000001,-1.469251066
ecoli_00394,-0.0845835036,-1.376331953
ecoli_00395,-0.4649778263,-1.085349645
ecoli_00396,-0.6916409008000001,-0.966885604
ecoli_00397,-0.2235334682,-0.304625986
ecoli_00398,-0.1469329458,-0.333626337
ecoli_00399,-0.5777952929,-1.236484282
ecoli_00400,-0.31157556680000004,-1.09508222
ecoli_00401,-0.8335481257,-1.004271515
ecoli_00402,-1.0250581655,-0.9863172550000001
ecoli_00403,-0.8156888835,-0.26087096200000004
ecoli_00404,-0.46063752760000004,-0.6346904090000001
ecoli_00405,-0.055053522800000004,-1.47023838
ecoli_00406,-0.41964842300000005,-1.4267258630000001
ecoli_00407,-0.6939140212,-1.095330464
ecoli_00408,-0.5220696609000001,-1.134791104
ecoli_00409,-0.39173103810000004,-0.9334801660000001
ecoli_00410,-0.1832583176,-0.627441103
ecoli_00411,-0.2742331121,-1.7157246499999999
ecoli_00412,-0.4248447832,-1.470364595
ecoli_00413,-1.4007762806000001,-1.328440845
ecoli_00414,-0.9286078325,-0.9484461080000001
ecoli_00415,-0.48459632820000004,-0.365717516
ecoli_00416,-0.7525013061,-0.8129193450000001
ecoli_00417,0.0753479053,-1.462851517
ecoli_00418,0.0947613639,-1.268263498
ecoli_00419,-0.3554415864,-1.1405408160000001
ecoli_00420,-0.4099598405,-0.939206984
ecoli_00421,0.8146103085,-0.095223394
ecoli_00422,0.8533529846000001,-0.25001950500000003
ecoli_00423,-0.502622439,-1.171764966
ecoli_00424,-0.4231681746,-1.2524812170000001
ecoli_00425,-0.6837122061,-1.334148999
ecoli_00426,-0.1167847355,-1.261712342
ecoli_00427,-1.0584547757,-1.087271169
ecoli_00428,-1.1036440041,-0.9115261330000001
ecoli_00429,-0.7213141352,-1.152085171
ecoli_00430,-1.020650719,-1.302768062
ecoli_00431,-0.8997972348000001,-0.32619303600000005
ecoli_00432,-0.4044453757,-0.199195522
ecoli_00433,-0.0061193222,-0.5721530140000001
ecoli_00434,0.1404679453,-0.51065745
ecoli_00435,-0.9187579653,-1.113651177
ecoli_00436,-0.8364869395000001,-1.196123328
ecoli_00437,-1.047252129,-1.270044507
ecoli_00438,-1.3237892685000001,-1.168242011
ecoli_00439,0.5437987223,-0.585241808
ecoli_00440,0.2883012602,-0.41348572800000005
ecoli_00441,-1.1990048619,-1.467520736
ecoli_00442,-1.1495834732,-1.240618557
ecoli_00443,-1.3166159659,-1.20467075
ecoli_00444,-1.4107978432000001,-1.040919679
ecoli_00445,-0.11467306860000001,-0.302643912
ecoli_00446,-0.1652529314,-0.347591712
ecoli_00447,-1.1016778579,-0.46374329700000005
ecoli_00448,-1.0080518155,-0.623495208
ecoli_00449,-0.0775724404,-0.763286012
ecoli_00450,-0.0396618243,-0.8181448100000001
ecoli_00451,-1.0873266451,-1.05436847
ecoli_00452,-1.0742144847,-0.9613135220000001
ecoli_00453,-0.5581029965000001,-1.073612474
ecoli_00454,0.1951014395,-0.8183174240000001
ecoli_00455,0.4595087967,-1.5277928969999999
ecoli_00456,0.22102982240000002,-1.190127997
ecoli_00457,0.3542966757,-1.227850625
ecoli_00458,0.32475772010000004,-1.324669394
ecoli_00459,-0.07750650910000001,-1.3598439199999999
ecoli_00460,0.5669290541,-1.196667817
ecoli_00461,21.7182352871,-3.687042556
ecoli_00462,22.3139415942,-3.595362102
ecoli_00463,4.6327773742,-2.362902556
ecoli_00464,4.5785903896,-2.332650415
ecoli_00465,7.7010546694,-1.884914699
ecoli_00466,4.6063000356,-2.096501241
ecoli_00467,23.7136597374,-0.721083337
ecoli_00468,23.8371005161,-0.8543898240000001
ecoli_00469,4.5044621851999995,-1.941142067
ecoli_00470,4.627778492,-1.86928071
ecoli_00471,20.968043368300002,-3.306815212
ecoli_00472,21.3042761978,-3.006493751
ecoli_00473,5.5675255673,-2.526464995
ecoli_00474,5.6527955687,-2.224474907
ecoli_00475,21.8161555913,-0.6757529750000001
ecoli_00476,21.675961713,-0.654805669
ecoli_00477,25.9041672228,-1.041460971
ecoli_00478,25.5129709083,-1.082128085
ecoli_00479,-0.019872698,-0.933633327
ecoli_00480,-0.049160042800000005,-0.97352262
ecoli_00481,-0.3171270829,-1.087461125
ecoli_00482,-0.3968249092,-1.437419154
ecoli_00483,-0.0009278011,-1.273321194
ecoli_00484,0.033972871200000004,-1.363810401
ecoli_00485,0.7862767853,-2.458710194
ecoli_00486,0.5582849942,-2.455714779
ecoli_00487,25.278449355,-2.215551577
ecoli_00488,25.3478027856,-1.849378355
ecoli_00489,5.8121242682,-1.794791675
ecoli_00490,5.6717694628,-1.900618122
ecoli_00491,23.990155409,0.090564662
ecoli_00492,23.8664046642,0.089814763
ecoli_00493,21.5266990893,-0.290448025
ecoli_00494,21.7396627784,-0.24078795
ecoli_00495,0.49570653670000003,-1.625443051
ecoli_00496,0.061534408500000005,-1.6732519620000001
ecoli_00497,4.1678043087,-2.140442163
ecoli_00498,3.9919621288,-2.148078562
ecoli_00499,-0.2176910007,-1.460332675
ecoli_00500,-0.3652509731,-1.287347413
ecoli_00501,24.5272391404,-0.509579388
ecoli_00502,24.8081859491,-0.669651659
ecoli_00503,24.7997313421,-1.976273589
ecoli_00504,24.8693064198,-1.880417451
ecoli_00505,6.8780692018,-2.158478244
ecoli_00506,7.2448096608,-2.414391049
ecoli_00507,0.38655855780000004,-1.421891968
ecoli_00508,0.11571707860000001,-1.575355544
ecoli_00509,0.3802771679,-1.506384524
ecoli_00510,0.3866025751,-1.469861538
ecoli_00511,0.34995260300000003,-2.053777247
ecoli_00512,0.22186293640000002,-2.005186918
ecoli_00513,4.5365272471,-2.11206659
ecoli_00514,4.5657458726,-2.053625823
ecoli_00515,21.4609388983,-0.006239765
ecoli_00516,21.4770924533,-0.027172971
ecoli_00517,1.2561273973,-0.523801304
ecoli_00518,1.7236609833,-0.7579495070000001
ecoli_00519,2.62682398,-1.346483786
ecoli_00520,1.4839212473,-1.424340114
ecoli_00521,1.896666643,-1.765840279
ecoli_00522,1.8933520894,-1.8492333790000002
ecoli_00523,2.8015209538,-1.950097433
ecoli_00524,0.9110515536,-0.34404986200000004
ecoli_00525,0.317441972,-0.43814598400000004
ecoli_00526,0.5498487721,-0.592404561
ecoli_00527,1.0167085849,-0.5019744660000001
ecoli_00528,6.6247301423,0.359910267
ecoli_00529,8.8510311229,-0.546059052
ecoli_00530,5.8035264575,-0.143292563
ecoli_00531,5.7358538165,0.415607184
ecoli_00532,3.201560867,-2.122324422
ecoli_00533,2.9715462658,-2.218730935
ecoli_00534,3.4589820918,-2.140288675
ecoli_00535,2.9042496528,-1.994081987
ecoli_00536,7.6809554515,-1.68525567
ecoli_00537,8.0108015908,-1.596667521
ecoli_00538,8.174838628,-1.728210742
ecoli_00539,8.3683794219,-1.807592698
ecoli_00540,4.8236608865,-1.638774933
ecoli_00541,4.6959786642,-1.499693854
ecoli_00542,4.7526117594,-1.565687328
ecoli_00543,3.6357728299,-1.5878644240000002
ecoli_00544,6.7540742123,-0.56266214
ecoli_00545,6.2004254523,-0.7681662290000001
ecoli_00546,4.9101696831,-0.650751882
ecoli_00547,5.3316928173,-0.5829924
ecoli_00548,6.8683104889,-0.7045568910000001
ecoli_00549,7.0499958925,-0.870278454
ecoli_00550,5.950460312,-0.9304309420000001
ecoli_00551,6.5391808845,-0.7410278
ecoli_00552,1.7436641409,-1.118650152
ecoli_00553,1.7240225516,-1.096364242
ecoli_00554,2.6162570493,-1.044670473
ecoli_00555,2.5403326717,-0.96168124
ecoli_00556,3.0753534998,-1.182502607
ecoli_00557,2.6179802539,-1.234346262
ecoli_00558,2.113637273,-1.158374757
ecoli_00559,3.0743366679,-0.8401848080000001
ecoli_00560,6.6820584329,-1.5162506260000002
ecoli_00561,5.2999239891,-0.955764543
ecoli_00562,5.1090590843,-0.101300176
ecoli_00563,5.4677282809,-0.05602074
ecoli_00564,-0.5834237014,-0.978574707
ecoli_00565,-0.3514354125,-0.93352804
ecoli_00566,1.3711118395000002,-1.286111923
ecoli_00567,2.1993716968,-1.28623193
ecoli_00568,-0.6481679369000001,-0.90131704
ecoli_00569,-1.0730228473,-0.9375954910000001
ecoli_00570,-1.0028406859,-1.239442339
ecoli_00571,-0.7328887904,-1.102330819
ecoli_00572,1.136149522,-0.99312563
ecoli_00573,2.4117801389,-1.067516072
ecoli_00574,7.2733672976,-1.731075106
ecoli_00575,6.0913512748,-1.657863235
ecoli_00576,7.7161839979,-0.7056976650000001
ecoli_00577,6.687639356,-0.773968765
ecoli_00578,6.7867373229,-0.7689232930000001
ecoli_00579,8.3976629991,-0.901324871
ecoli_00580,10.495202429,-1.106361274
ecoli_00581,9.3113049265,-1.177077994
ecoli_00582,0.998293113,-0.760852654
ecoli_00583,0.6996077539000001,-0.857056616
ecoli_00584,1.8785060006,-2.044819389
ecoli_00585,1.968646737,-2.119174751
ecoli_00586,-0.3781333261,-1.709870321
ecoli_00587,0.0152159196,-1.241837311
ecoli_00588,0.017465147400000002,-1.484155798
ecoli_00589,-0.3226133097,-1.206270358
ecoli_00590,2.6282618173,-1.580506503
ecoli_00591,2.6732950797,-1.582244891
ecoli_00592,2.7432909643,-1.680853841
ecoli_00593,2.3572411039,-1.56265611
ecoli_00594,6.6355731864,-1.300177094
ecoli_00595,7.4485131129,-1.3306276270000001
ecoli_00596,7.4734970315,-1.000609031
ecoli_00597,7.1790350861,-1.561559917
ecoli_00598,8.0113806604,-0.8730294890000001
ecoli_00599,8.0359850965,-1.535351114
ecoli_00600,3.8407263716,-0.44236956800000005
ecoli_00601,4.6189134797,-0.641451894
ecoli_00602,5.3843118216,-0.8699899230000001
ecoli_00603,5.8673923751,-0.7614102420000001
ecoli_00604,3.2882600314,-0.49310457300000005
ecoli_00605,5.9147875395,-0.721658055
ecoli_00606,3.5799653826,-0.737984862
ecoli_00607,3.2515861227,-1.982470063
