,A,RpoE
nac_ntrc__bw_delnac_gln__1,4.4524584112,1.7000723765
nac_ntrc__bw_delnac_gln__2,3.5377196553,1.7166699455
nac_ntrc__bw_delnac_nh4__1,-0.1220016143,0.5111228075
nac_ntrc__bw_delnac_nh4__2,0.0841327864,0.45004628550000003
misc__wt_no_te__1,2.1172817372,1.5056228725
misc__wt_no_te__2,2.4811429842,1.3159307155
misc__bw_delcbl__1,1.9824546512999999,0.6810712315
misc__bw_delcbl__2,1.3263011178,0.7640849665
misc__bw_delfabr__1,0.0928182974,0.35054005850000003
misc__bw_delfabr__2,-0.0503833273,0.3612891345
misc__bw_delfadr__1,2.4955745176,0.9311366925000001
misc__bw_delfadr__2,1.9926071162,1.0281805335
misc__nitr_031__1,2.2012509632,1.5672049795
omics__wt_glu__1,-0.5990977547,0.2445839205
omics__wt_glu__2,-0.26863230400000004,0.3532411885
omics__wt_gly__1,-0.2385886607,0.4081792455
omics__wt_gly__2,-0.5826043613,0.4602919525
omics__wt_thr__1,-1.4256073419,1.1189491645
omics__wt_thr__2,-1.0938128021,1.1675043105
omics__bw_ac__1,0.016522434000000003,0.46603643250000004
omics__bw_ac__2,-0.028768639000000002,0.5757037105
omics__bw_fum__1,-0.8406908277,0.1267291615
omics__bw_fum__2,-0.7131676729,0.08981206750000001
omics__bw_glc__1,2.2779324365,0.8670816715
omics__bw_glc__2,2.3371184734,0.8323480785
omics__bw_pyr__1,0.8464414020000001,0.8699898615
omics__bw_pyr__2,0.4845685329,0.7577018175
ompr__wt_nacl__1,-3.0004757752,0.5889603235
ompr__wt_nacl__2,-3.67177241,0.5200807705
ompr__bw_delompr_nacl__1,4.5436685445,1.7644149415000001
ompr__bw_delompr_nacl__2,4.3124020661,1.8123358925000002
minspan__wt_ade__1,2.8340261637,2.0831759015
minspan__wt_glc__2,0.6604982689000001,0.8802842815
minspan__wt_glc__3,1.0625386656,0.8476663655000001
minspan__wt_glc__4,0.8091696316,0.8682659385
minspan__wt_glc_anaero__1,0.2659836771,0.9570892965000001
minspan__wt_glc_anaero__2,-0.0813306392,1.1292113865
minspan__wt_trp__1,1.1579394558,1.5261132035
minspan__bw_delcra_glc__2,1.8853088595,1.0838652535
minspan__bw_delcra_trp__1,2.2257096377,1.8047222855
minspan__bw_delmntr__1,-1.9135981091,0.5681054315
minspan__bw_delnac_ade__1,1.8119810249000001,1.8081508035
minspan__bw_delnac_glc__1,2.1993588833,0.9837405605
cra_crp__wt_ac__1,-1.1162111547,0.6725525085
cra_crp__wt_ac__2,-1.4721059381,0.6138341965
cra_crp__wt_fru__1,-2.8278158651,-0.0683381925
cra_crp__wt_fru__2,-2.0723847252,0.10676542550000001
cra_crp__delcra_ac__1,0.6345828183000001,1.3301475055
cra_crp__delcra_ac__2,1.1640619152,1.5807734115
cra_crp__delcra_fru__1,2.8232933327,1.0318305935
cra_crp__delcra_fru__2,2.5349581364000002,1.0395589045
cra_crp__delcra_glc__1,1.7249912981,0.5512385615000001
cra_crp__delcra_glc__2,1.7227208432999999,0.5130602795
rpoB__wt_031__1,1.1614987421,1.1830196625
rpoB__wt_044__1,1.3141413057,1.0423428925
rpoB__wt_lb__1,6.7217041074,1.7455784035000002
rpoB__wt_lb__2,6.6152917468,1.7837340445
rpoB__rpoBE546V_031__1,0.8794668433,1.2587560165
rpoB__rpoBE546V_044__1,0.5475944067,1.2203609515
rpoB__rpoBE546V_lb__1,1.8543329524,0.7423416795000001
rpoB__rpoBE546V_lb__2,2.1003788457,0.7712577695
rpoB__rpoBE546V_glc__1,0.013409124500000001,0.0905825495
rpoB__rpoBE672K_glc__1,-1.1649382799999999,0.1148294205
rpoB__rpoBE672K_glc__2,-0.6972492488,0.19139527650000002
rpoB__rpoBE672K_lb__1,-1.7841040791,-0.3644073235
rpoB__rpoBE672K_lb__2,-2.5365521277000003,-0.2314586075
crp__wt_fru__1,0.2303764121,0.2775491485
crp__wt_glyc__1,-1.7789045532,-0.0751101705
crp__wt_glyc__2,-1.3194888746,-0.0360453045
crp__delar1_glyc__1,2.3912712818,1.9262847335000002
crp__delar1_glyc__2,1.7161076249,1.6081376674999999
crp__delar1ar2_glyc__1,5.1015751629,1.7292994635
crp__delar1ar2_glyc__2,5.0612061577,1.6265455825
crp__delar1ar2_glyc__3,5.0351058081,1.5740228725
crp__delar2_glyc__1,4.803246346,1.9376832665000001
crp__delar2_glyc__2,4.4771287193,1.8490691095
crp__delar2_glyc__3,4.9663519363,1.5539204365
crp__delcrp_fru__1,4.1902883085,2.0920074605
crp__delcrp_fru__2,3.8765396047,2.0887012935
crp__delcrp_fru__3,3.9194045637,2.0958375915
crp__delcrp_glc__1,5.0446653926,2.4048997735
crp__delcrp_glc__2,5.0472149409,2.3170983935000002
crp__delcrp_glc__3,5.5318191378,2.3323685435
crp__delcrp_glyc__1,3.5125423335,1.8503408195
crp__delcrp_glyc__2,3.2813463287999998,1.7751611615
crp__delcrp_glyc__3,3.0630586597,1.8565217015000002
glu__glu_ale3__1,-1.078188432,0.5231560845000001
glu__glu_ale4__1,-2.3268083534,-0.4269600395
glu__glu_ale5__1,0.6606442764,0.0542120925
glu__glu_ale6__1,-2.8415207571,-1.0932917205
glu__glu_ale8__1,-2.2416596275,0.38964546650000004
glu__glu_ale9__1,-3.0634301873,0.46184481650000003
glu__glu_ale10__1,-1.2602125613,0.4077663435
42c__wt_42c__1,2.6047831629,1.1621150605000001
42c__42c_ale1__1,-3.7840270229,-0.0716937785
42c__42c_ale2__1,-1.8851634252,0.2313087135
42c__42c_ale3__1,1.2898518702000001,0.3737578715
42c__42c_ale4__1,-2.8605075265,0.5416096265
42c__42c_ale5__1,-1.7279205005,-0.36373756150000003
42c__42c_ale6__1,-1.9441533484,0.2033526125
42c__42c_ale8__1,-1.3004407195,0.9616333395000001
42c__42c_ale9__1,0.0431067127,-0.0287294955
42c__42c_ale10__1,-3.2978560915,0.1744519165
ssw__wt_ac__1,5.1234699531,2.0161845465
ssw__wt_glc__1,0.6044625592,0.4023022855
ssw__wt_glyc__1,1.3238904412,0.8313336305
ssw__wt_xyl__1,-0.1515747986,1.3129809295000001
ssw__glc_ale1__1,-2.0079167084,-0.26306769150000003
ssw__glc_ale2__1,-1.9319106842,0.6429678235
ssw__glc_ale3__1,-0.4909796039,0.7543626855000001
ssw__glyc_ale1__1,-2.9856350339,-0.3782012765
ssw__glyc_ale2__1,0.0081111915,1.0225509545
ssw__xyl_ale1__1,-4.1646752551,-0.2606105955
ssw__xyl_ale2__1,-3.3867040937,-0.7795132335
ssw__xyl_ale3__1,-1.3045612814,-0.0844257575
ssw__glc_ac_ac2__1,-2.2592743965,0.2221097575
ssw__glc_ac_glc1__1,-2.353610882,-0.5134596215
ssw__glc_glyc_glc__1,-1.6781877193999999,0.3216285215
ssw__glc_glyc_glyc__1,-3.4518541869,-0.1852867665
ssw__glc_xyl_glc__1,-2.6200574732,-0.3321212785
ssw__glc_xyl_xyl__1,-3.1195851503,-0.7373528545
ica__wt_glc__1,-1.8197790659000002,0.1417351795
ica__wt_glc__2,-1.6063912604000001,0.1649436145
ica__wt_glc__3,-0.45458787640000003,0.31937732350000003
ica__wt_glc__4,-0.1601121109,0.8042477625000001
ica__arg_sbt__1,-4.0935579896,0.10478140050000001
ica__arg_sbt__2,-2.807848332,-0.013411754500000001
ica__cytd_rib__1,0.3246752717,1.1688772855
ica__cytd_rib__2,-1.5589189302,0.9218480475
ica__gth__1,6.8081926321,2.7578701335
ica__gth__2,7.2379472182,2.6753919035
ica__leu_glcr__1,-2.5913712147,0.1573050135
ica__leu_glcr__2,-2.519852933,0.17824612450000002
ica__met_glc__1,-2.5727070694,-0.1096682825
ica__met_glc__2,-2.6003491239,-0.2346687275
ica__no3_anaero__1,1.6691052392999999,1.8091102925
ica__no3_anaero__2,1.5901520104,1.8533968404999999
ica__phe_acgam__1,-1.5954969124,0.0358549385
ica__phe_acgam__2,-1.3971502222,0.061855888500000004
ica__thm_gal__1,-1.4981028109,0.7084737585
ica__thm_gal__2,-1.7220045081,0.6938309095
ica__tyr_glcn__1,-2.7821018598,-0.0187230845
ica__tyr_glcn__2,-2.6231216548000003,-0.0086753895
ica__ura_pyr__1,-0.4879945444,1.0743113685
ica__ura_pyr__2,0.8220303895000001,1.4192280555
ica__wt_glc__5,-0.7831150796,0.3389995315
ica__wt_glc__6,-0.6289344418,0.4249338835
ica__bw_delpurR_cytd__1,-1.4967523061,0.1862263945
ica__bw_delpurR_cytd__2,-0.9374793306,0.5334355895
ica__ade_glc__1,-0.8726152876000001,0.5706701965000001
ica__ade_glc__2,-1.4655363721999999,0.1895059375
ytf__wt_glc__1,-1.1667956697,0.9004854815000001
ytf__wt_glc__2,-0.8941725918000001,0.9941944445
ytf__delyafC__1,-2.7862950762,0.8645998015
ytf__delyafC__2,-2.6242005475,0.7684870125000001
ytf__delyeiE__1,-3.0972622604,0.3911769885
ytf__delyeiE__2,-2.6873450535,0.3856457305
ytf__delyiaJ__1,-0.8105163731,1.5479787605
ytf__delyiaJ__2,0.4236607247,2.2094680335
ytf__delyieP__1,-2.4337052821,0.8542557965
ytf__delyieP__2,-1.7483652882,0.8262089945000001
ytf__wt_ph5__1,2.9245571226,1.5482009665
ytf__wt_ph5__2,2.7905583034,1.5743899295000001
ytf__wt_ph8__1,0.2090254583,0.9142745335
ytf__wt_ph8__2,-0.37163024580000004,0.8616219385
ytf__delybaO__1,-2.8687259194,0.7981012075
ytf__delybaO__2,-2.6928369437,0.6987697965
ytf__delybaQ__1,-0.0243190449,0.7784099305000001
ytf__delybaQ__2,-0.12265620240000001,0.8695207135
ytf__delybiH__1,-0.8808940875,1.3848466115
ytf__delybiH__2,-1.586359832,1.3103111995
ytf__delydcI_ph5__1,2.8903862281,1.3379795815
ytf__delydcI_ph5__2,2.6895173944,1.3237961335000001
ytf__delydcI_ph8__1,1.5210443832,1.4065664275
ytf__delydcI_ph8__2,0.7672973836,0.9738323275
ytf__delyddM__1,0.7351855179,1.2450217925
ytf__delyddM__2,1.2377569932,1.3024427935
ytf__delyheO__1,-2.7316551215000002,0.9499962345
ytf__delyheO__2,-2.8194250232,0.7242416245000001
fps__bw_glc__1,0.0219380046,0.7128644975
fps__bw_glc__2,-0.0307629749,0.6404729015
fps__fps_thrA_ale1__1,0.0684758516,0.7987248505000001
fps__fps_thrA_ale1__2,-0.0952502237,0.7389979415
fps__fps_thrA_ale2__1,-1.2208580731,0.6798376835000001
fps__fps_thrA_ale2__2,-1.1429304705,0.6981809125
fps__fps_serB_ale1__1,0.6768292816,1.2872376645
fps__fps_serB_ale1__2,0.4579849036,1.2159247395000001
fps__fps_serB_ale4__1,2.7494073303,2.1387762735
fps__fps_serB_ale4__2,1.6779790023,2.1380479335
fps__fps_ptsI_ale1__1,0.8051371702,0.9764509655
fps__fps_ptsI_ale1__2,0.4027928993,0.9997681785
fps__fps_ptsI_ale3__1,-1.2877196147,0.5284679845
fps__fps_ptsI_ale3__2,-1.0304568151,0.5742229275
pal__lyx_ale2_f6__1,1.6264833881,1.1285212175
pal__lyx_ale2__1,-2.0677914837999998,-0.0576221965
pal__lyx_ale2__2,-1.6164227221,-0.0910596795
pal__lyx_ale4__1,0.0352718708,0.0585048805
pal__lyx_ale4__2,0.1356760823,0.1874267705
pal__5drib_ale10_f18__1,8.9533635416,2.2943955235
pal__5drib_ale10_f18__2,8.5551137335,2.1456621035
pal__5drib_ale10__1,1.0416315493,0.4460324485
pal__arab_ale14_f9__1,-0.6414715913,0.2663496715
pal__arab_ale14_f9__2,-0.21355099930000002,0.4343475765
pal__arab_ale14__1,-1.8325052646,-0.5023052355000001
pal__arab_ale14__2,-0.9258109547000001,-0.3709494345
pal__arab_ale16__1,-2.7845743042,-0.5058954395
pal__arab_ale16__2,-1.4376173137000001,-0.0429347415
pal__tartr_ale26_f10__1,5.1443760537,1.5770912314999999
pal__tartr_ale26_f10__2,5.1876927967,1.7250250285000002
pal__tartr_ale26__1,5.7766024154,1.3155909115
pal__tartr_ale26__2,5.7978347515,1.3335580425
pal__tartr_ale28_f10__1,2.5284968936,1.8071490445
pal__tartr_ale28_f10__2,4.0993587634,2.0560867675
pal__tartr_ale28__1,0.0833943489,0.6952438945
pal__tartr_ale28__2,2.128173949,0.9946410935000001
efeU__delmenFentC_citr__1,-0.4396959909,1.0901923335
efeU__delmenFentC_citr__2,-0.33226735900000004,1.1401419935
efeU__delmenFentC__1,0.1536425501,1.4329771215
efeU__delmenFentC__2,0.10945038080000001,1.4992426095
efeU__menFentC_ale39__1,-1.5204798541,0.7282715115
efeU__menFentC_ale39__2,-1.770250946,0.6233403525
efeU__menFentC_ale29__1,-3.2192401714,0.6556799735000001
efeU__menFentC_ale29__2,-3.4119045584,0.5851686995000001
efeU__menFentC_ale30__1,-2.3310336294000003,-0.14736488050000002
efeU__menFentC_ale30__2,-1.8941749704,0.0142219245
efeU__menFentCubiC_ale36__1,6.9897013782,1.7872011855
efeU__menFentCubiC_ale36__2,6.6590967736,1.7309211705
efeU__menFentCubiC_ale37__1,8.3400139301,2.3176229235
efeU__menFentCubiC_ale37__2,8.1342725008,2.3610370635
efeU__menFentCubiC_ale38__1,1.0073777577,1.1318567115
efeU__menFentCubiC_ale38__2,1.088306177,0.9490627745
misc2__salc_glc__1,1.5062284336,1.2110537015
misc2__salc_glc__2,1.6493983791,1.0883536665
misc2__dbcn_glc__1,-0.23069121050000002,-0.1041878255
misc2__dbcn_glc__2,0.6097503832,-0.0344567855
misc2__tyr_glc__1,-0.7803210876000001,0.7546903165000001
misc2__tyr_glc__2,-1.0288943613,0.8488313985
misc2__arg_cytd__1,-1.8061294937999999,0.11557682250000001
misc2__arg_cytd__2,-1.8078018597,0.0875718395
misc2__delyheO_pyr__1,-0.3425637246,1.0421383045
misc2__delyheO_pyr__2,-0.4402700882,0.9850747275
nquinone__delubiC__1,0.8664074832,1.0259848915
nquinone__delubiC__2,0.1634002773,0.8735625845
nquinone__ubiC_ale1__1,0.6772104705,0.9462933675
nquinone__ubiC_ale1__2,0.1741779366,0.8551434885
nquinone__ubiC_ale2__1,1.2405019082,1.1514610115
nquinone__ubiC_ale2__2,1.8388614029,1.0618720595
nquinone__ubiC_ale3__1,-0.6985997882,0.44746232550000004
nquinone__ubiC_ale3__2,-0.9835884953,0.3935174005
nquinone__ubiC_ale4__1,1.4636544648,1.1713003945
nquinone__ubiC_ale4__2,1.0303568811,1.1755922035
nquinone__delpdhR__1,-1.9411924765,0.2703244005
nquinone__delpdhR__2,-1.6882826744,0.2439819115
quinone__glu_ale4__1,-2.3063932724000002,-0.1449321405
quinone__glu_ale4__2,-1.7283718972000002,0.3450102255
quinone__delmenF__1,0.3965124014,0.8836824105000001
quinone__delmenF__2,-0.21671059850000002,0.7306294785
quinone__menF_ale5__1,-2.1786666558,1.1536191065
quinone__menF_ale5__2,-2.3862253575,1.0339662745
quinone__menF_ale6__1,-2.171983881,1.0074137695
quinone__menF_ale6__2,-1.7708152244000002,1.0316602705
quinone__menF_ale7__1,-2.7510732393,0.8435635425
quinone__menF_ale7__2,-2.7297347787,0.8980393925
quinone__menF_ale8__1,-3.7569086344000002,0.6194384435
quinone__menF_ale8__2,-3.0107458193,0.9589410765
quinone__delmenFubiC__1,1.0769741088,0.9308492425
quinone__delmenFubiC__2,1.3675356925,1.0578771465
quinone__menFubiC_ale1__1,-2.5983454052,0.5515918365
quinone__menFubiC_ale1__2,-2.2908083202,0.5435002275
quinone__menFubiC_ale2__1,-2.0465032622,0.7734609715
quinone__menFubiC_ale2__2,-1.9536785095,0.7490654855000001
quinone__menFubiC_ale3__1,0.7082287798,0.3471251965
quinone__menFubiC_ale3__2,0.7325324272,0.24925231350000002
quinone__menFubiC_ale4__1,-1.5657200342,0.6526351725
quinone__menFubiC_ale4__2,-1.9025244093,0.6031010235
oxyR__wt_glc__1,-1.0638969693,0.2645449295
oxyR__wt_glc__2,-0.6942439473,0.2134621495
oxyR__wt_h2o2__1,-0.8603766925,0.3409951885
oxyR__wt_h2o2__2,0.1720377427,0.6198998735
oxyR__glu_ale4__1,-0.0188204068,0.7444057175000001
oxyR__glu_ale4__2,-0.5743117086,0.3645153915
oxyR__glu_ale4_h2o2__1,0.1716222482,0.7617186845
oxyR__glu_ale4_h2o2__2,-1.0028382236,0.6826195975
oxyR__oxyR_ale17__1,-1.0910169473,0.6771278275
oxyR__oxyR_ale17__2,-1.4870673204,0.6133922205
oxyR__oxyR_ale17_h2o2__1,-0.3010259857,0.7407697155
oxyR__oxyR_ale17_h2o2__2,-0.6804841943000001,0.3510550605
oxyR__oxyR_ale18__1,-1.3662405507,-0.09594657250000001
oxyR__oxyR_ale18__2,-0.5004743604,0.1044795485
oxyR__oxyR_ale18_h2o2__1,-1.5361330507000002,0.2536288775
oxyR__oxyR_ale18_h2o2__2,-1.5819759691000002,0.3401819145
oxyR__oxyR_ale19__1,-1.513010677,-0.033577380500000004
oxyR__oxyR_ale19__2,0.20547640450000001,0.5268959095
oxyR__oxyR_ale19_h2o2__1,-1.096377392,-0.041963321500000005
oxyR__oxyR_ale19_h2o2__2,-1.6122658579,-0.0524409065
oxyR__oxyR_ale20__1,-3.7069241292,-0.2433235165
oxyR__oxyR_ale20__2,-3.5838896866,-0.2205747485
oxyR__oxyR_ale20_h2o2__1,-2.3513920134,0.1767958585
oxyR__oxyR_ale20_h2o2__2,-2.2067687304,0.1669155035
svns_pgi__BmePgi24_15__1,-0.3301483047,0.40604551050000004
svns_pgi__BmePgi24_15__2,-0.6939685854000001,0.4450049545
svns_pgi__BmePgi24_26__1,-1.5013175053999999,0.00027183350000000003
svns_pgi__BmePgi24_26__2,-1.2222927618,0.1865215155
svns_pgi__BmePgi24_41__1,0.1430349321,0.3947760775
svns_pgi__BmePgi24_41__2,-1.2415460414,0.0211155825
svns_pgi__BmePgi24_52__1,-1.0014942633,0.2209155815
svns_pgi__BmePgi24_52__2,-1.0260499008,0.0253631025
svns_pgi__PaePgi2_34__1,-1.4936865965,0.5893182545
svns_pgi__PaePgi2_34__2,-2.0923641831,0.6692998895000001
svns_pgi__PaePgi2_63__1,-2.1012681712,0.5696290935
svns_pgi__PaePgi2_63__2,-2.000760297,0.4090705025
svns_pgi__PaePgi24_54__1,1.9537645855,1.6382958735000002
svns_pgi__PaePgi24_54__2,2.1342502769,1.7247965795
svns_pgi__PaePgi24_90__1,1.7759788083,1.4679489845
svns_pgi__PaePgi24_90__2,1.549474083,1.6107388005
abx_media__m9_ctrl__1,4.3311860014,1.8980135155000002
abx_media__m9_ctrl__2,4.9866977854000005,1.9927778105
abx_media__rpmi_ctrl__1,-3.2349829771,-0.4360897455
abx_media__rpmi_ctrl__2,-2.1686450243,-0.3561642215
abx_media__camhb_ctrl__1,-4.9728572181,-0.8934040875
abx_media__camhb_ctrl__2,-4.832615477,-1.1326144695
abx_media__m9_mero__1,5.5379277934,2.3016839235
abx_media__m9_mero__2,5.2373587837,1.9221052175
abx_media__rpmi_mero__1,-0.9072576149,-0.030384636500000003
abx_media__rpmi_mero__2,-0.5325522027,0.1328133665
abx_media__camhb_mero__1,-3.3413225428,-1.2040953905
abx_media__camhb_mero__2,-3.775451264,-1.2706913065
abx_media__m9_trisulf__1,4.039478688,1.6890383215
abx_media__m9_trisulf__2,4.8998456121,1.8041049805
abx_media__rpmi_trisulf__1,-0.6424143078,-0.0081006965
abx_media__rpmi_trisulf__2,-0.3036986674,0.1120998515
abx_media__camhb_trisulf__1,1.4066081766,0.8096793575
abx_media__camhb_trisulf__2,1.1720614683,0.6548634275
abx_media__m9_cef__1,7.6895660104,2.2577960435
abx_media__m9_cef__2,8.119748165,2.2290895235
abx_media__rpmi_cef__1,-1.3300774455,0.5101599605
abx_media__rpmi_cef__2,-1.2033539937,0.6172793505
abx_media__camhb_cef__1,0.7475647013000001,0.24969572750000002
abx_media__camhb_cef__2,0.6988608132,0.2639933205
abx_media__m9_cipro__1,5.1882899301,1.7261698035
abx_media__m9_cipro__2,6.0462045557,1.9920205395
abx_media__rpmi_cipro__1,-4.187439358,-0.7713769245000001
abx_media__rpmi_cipro__2,-3.9829264773,-0.7221959305
abx_media__camhb_cipro__1,-0.4456427201,-0.25497972750000003
abx_media__camhb_cipro__2,-0.8320262329,-0.0722793925
hot_tale__42c_ale3_30c__1,0.1484416032,0.4104746775
hot_tale__42c_ale3_30c__2,-0.2485633723,0.4369934435
hot_tale__42c_ale3_37c__1,0.11098847710000001,0.5644101795
hot_tale__42c_ale3_37c__2,-0.23800470640000002,0.5254742525
hot_tale__42c_ale3_44c__1,5.0589243129,2.3107251335
hot_tale__42c_ale3_44c__2,4.7103133501,2.3653397735
hot_tale__hot_ale3_mid_30c__1,-1.3641223291,1.0513734645
hot_tale__hot_ale3_mid_30c__2,-1.1006618249,0.8941921625
hot_tale__hot_ale3_mid_37c__1,-1.8227673518,0.2869830325
hot_tale__hot_ale3_mid_37c__2,-1.8708352447,0.3250900715
hot_tale__hot_ale3_mid_44c__1,0.8601856295,1.4698625305
hot_tale__hot_ale3_mid_44c__2,1.2885809963,1.6524358965000001
hot_tale__hot_ale3_30c__1,-2.5986303154,0.36863288050000004
hot_tale__hot_ale3_30c__2,-2.0903884345,0.4584996435
hot_tale__hot_ale3_37c__1,-2.8409449605,-0.16695593250000001
hot_tale__hot_ale3_37c__2,-2.6485908915,-0.0720356425
hot_tale__hot_ale3_44c__1,0.1373990448,1.2163896665
hot_tale__hot_ale3_44c__2,0.5318926519,0.9036179965000001
hot_tale__hot_ale4_30c__1,-1.2447237567,0.2267345255
hot_tale__hot_ale4_30c__2,-1.6613252630000002,0.2292018305
hot_tale__hot_ale4_37c__1,-2.9224139511000002,-0.06769691850000001
hot_tale__hot_ale4_37c__2,-3.2790951091,0.055602687500000005
hot_tale__hot_ale4_44c__1,-0.8634255648,0.8633062305
hot_tale__hot_ale4_44c__2,-0.6482793533,1.0136367245
hot_tale__hot_ale8_30c__1,-1.9445555658,-0.025017848500000002
hot_tale__hot_ale8_30c__2,-1.4935439462,-0.0573494035
hot_tale__hot_ale8_37c__1,-2.7833458981,0.010758776500000001
hot_tale__hot_ale8_37c__2,-3.3579146297999998,-0.0336290805
hot_tale__hot_ale8_44c__1,-1.5129153661,1.0220260795
hot_tale__hot_ale8_44c__2,-1.918098791,0.8745537185000001
hot_tale__hot_ale9_mid_30c__1,-0.3604026147,0.6187006715000001
hot_tale__hot_ale9_mid_30c__2,-0.4831363065,0.43200512750000003
hot_tale__hot_ale9_30c__1,-0.7044422655,0.3655671585
hot_tale__hot_ale9_30c__2,-0.7701386413,0.29992870050000003
hot_tale__hot_ale9_mid_37c__1,-1.5357743482,0.2791902115
hot_tale__hot_ale9_mid_37c__2,-1.2625747323,0.3259478715
hot_tale__hot_ale9_37c__1,-2.3874826279,-0.08582223950000001
hot_tale__hot_ale9_37c__2,-2.4038253781,0.07918132950000001
hot_tale__hot_ale9_mid_44c__1,3.3988536644,1.8720228775
hot_tale__hot_ale9_mid_44c__2,4.3765888738,2.0858477705
hot_tale__hot_ale9_44c__1,-0.2650546441,0.9869954185
hot_tale__hot_ale9_44c__2,-0.6216793572,0.8324684865
hot_tale__hot_ale10_30c__1,-1.2129179963,0.4837509855
hot_tale__hot_ale10_30c__2,-1.9811699019,0.4250319005
hot_tale__hot_ale10_37c__1,-2.9554184876000003,-0.0204531435
hot_tale__hot_ale10_37c__2,-3.3410163284,0.0298808235
hot_tale__hot_ale10_44c__1,0.1917805236,1.4651262135
hot_tale__hot_ale10_44c__2,0.4303761152,1.6895113665000001
hot_tale__hot_ale16_30c__1,-0.5834983854,0.5257951105
hot_tale__hot_ale16_30c__2,-0.3150407126,0.5668378975
hot_tale__hot_ale16_37c__1,-1.3630159364,0.3230714135
hot_tale__hot_ale16_37c__2,-1.4167215874,0.2928073505
hot_tale__hot_ale16_44c__1,0.3864977344,1.1836845655000001
hot_tale__hot_ale16_44c__2,1.2554178818000001,1.3130090525
pdhr_ale__pdhR-13_51__1,-0.27855578340000003,0.5055617105
pdhr_ale__pdhR-13_51__2,0.20386622270000002,0.6543046865000001
pdhr_ale__pdhR-14_46__1,1.6994542662,0.9187497425000001
pdhr_ale__pdhR-14_46__2,1.4841221912,0.9000688555
pdhr_ale__pdhR-15_51__1,0.3781718173,0.7842089845
pdhr_ale__pdhR-15_51__2,0.8332863092,0.9064251755
pdhr_ale__pdhR-16_49__1,2.371908341,1.1825671465
pdhr_ale__pdhR-16_49__2,1.812739687,1.3932466325
tcs__del_atoC_LiAcet__1,0.1753998963,0.8508692105000001
tcs__del_atoC_LiAcet__2,1.2408501033000001,0.9007693745
tcs__del_atoC_LiCl__1,1.1277276635,0.9956656715000001
tcs__del_atoC_LiCl__2,1.7494173370000001,1.0740678035
tcs__del_atoC_m9__1,0.2990464022,0.9601190095000001
tcs__del_atoC_m9__2,0.2841270915,0.9822619585000001
tcs__del_baeR_etoh__1,0.103220821,1.0810881105
tcs__del_baeR_etoh__2,-0.10239790300000001,1.0556117825
tcs__del_baeR_lb__1,-0.7434223412000001,0.8435424125000001
tcs__del_baeR_lb__2,-0.7464951699,0.8474939545
tcs__del_btsR_01xlb__1,2.3787410429999998,2.2346715635
tcs__del_btsR_01xlb__2,2.3805660538,2.2313108235
tcs__del_btsR_lb__1,3.5861649816,1.3733040815
tcs__del_btsR_lb__2,3.7630468377,1.4224507735
tcs__del_btsR_pyruvate__1,2.0295189076,2.0712347805
tcs__del_btsR_pyruvate__2,1.8849046997,2.0821921565
tcs__del_cpxR_etoh__1,1.0993801902,1.4058931675
